Orthogroup	Euclidium_syriacum	Conringia_planisiliqua
OG0000030	ESY2_g33562_DN1_SP0_c0.t1	CP10_g43326_DN2_SP0_c.t1
OG0000030	ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1	CP13_g19590_DN2_SP0_c.t1
OG0000031	ESY5_g789_DN1_SP0_c0.t1, ESY10_g14035_DN1_SP0_c44.t1, ESY10_g15212_DN1_SP0_c0.t1	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1
OG0000031	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	CP34_g51549_DN2_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1
OG0000032	ESY1_g7080_DN3_SP0_c33.t1	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1
OG0000032	ESY15_g65701_DN1_SP0_c88.t1	CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1
OG0000032	ESY3_g28065_DN2_SP0_c0.t1	CP14_g23530_DN1_SP0_c.t1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	CP1_g40963_DN3_SP0_c.t1, CP6_g9072_DN3_SP0_c.t1, CP1_g40962_DN3_SP0_c.t1, CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	ESY3_g27680_DN2_SP0_c0.t1	CP8_g52211_DN2_SP0_c.t1
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1, CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1, CP26_g51195_DN2_SP0_c.t1
OG0000036	ESY7_g17009_DN2_SP0_c60.t1	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1
OG0000038	ESY21_g55792_DN2_SP0_c0.t1	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1
OG0000040	ESY9_g43776_DN1_SP0_c0.t1	CP19_g18411_DN2_SP0_c.t1
OG0000040	ESY7_g17207_DN1_SP0_c0.t1	CP5_g2115_DN2_SP0_c.t1
OG0000040	ESY7_g16531_DN2_SP0_c0.t1	CP13_g20255_DN1_SP0_c.t1
OG0000041	ESY6_g46303_DN3_SP0_c0.t1	CP1_g39386_DN1_SP0_c.t1
OG0000041	ESY8_g61336_DN1_SP0_c0.t1	CP14_g23198_DN3_SP0_c.t1, CP14_g22621_DN3_SP0_c.t1, CP3_g15154_DN3_SP0_c.t1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	CP7_g44255_DN1_SP0_c.t1, CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP14_g22619_DN2_SP0_c.t1, CP34_g51569_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1, CP3_g15155_DN2_SP0_c.t1
OG0000042	ESY17_g39786_DN2_SP0_c77.t1, ESY1_g9008_DN2_SP0_c16.t1, ESY3_g28214_DN2_SP0_c7.t1	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	CP37_g11369_DN1_SP0_c.t1
OG0000042	ESY17_g39785_DN1_SP0_c100.t1	CP15_g34874_DN3_SP0_c.t1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	CP6_g9916_DN1_SP0_c.t1
