Orthogroup	Euclidium_syriacum	Conringia_planisiliqua
OG0004315	ESY9_g45360_DN3_SP1_c0.t1	CP4_g24861_DN3_SP1_c.t1
OG0004316	ESY9_g44939_DN2_SP1_c0.t1	CP4_g24972_DN3_SP7_c.t1
OG0004317	ESY18_g63045_DN3_SP0_c0.t1	CP20_g4410_DN3_SP0_c.t1
OG0004318	ESY8_g59540_DN3_SP2_c0.t1	CP16_g55022_DN3_SP2_c.t1, CP16_g55023_DN2_SP0_c.t1
OG0004319	ESY13_g57116_DN2_SP5_c0.t1	CP7_g45206_DN3_SP5_c.t1
OG0004320	ESY5_g5004_DN2_SP0_c0.t1	CP1_g36633_DN3_SP0_c.t1
OG0004321	ESY3_g32325_DN3_SP0_c0.t1, ESY3_g32322_DN3_SP0_c0.t1, ESY3_g32326_DN3_SP0_c0.t1	CP3_g14799_DN3_SP0_c.t1
OG0004322	ESY10_g15298_DN2_SP0_c0.t1	CP2_g48538_DN3_SP0_c.t1
OG0004323	ESY2_g34427_DN2_SP0_c0.t1	CP1_g37052_DN3_SP0_c.t1, CP2_g48581_DN1_SP0_c.t1
OG0004324	ESY10_g15486_DN3_SP8_c0.t1	CP2_g48584_DN3_SP5_c.t1
OG0004326	ESY12_g51397_DN3_SP0_c0.t1	CP4_g24016_DN3_SP0_c.t1
OG0004328	ESY12_g51674_DN2_SP0_c0.t1, ESY7_g19193_DN1_SP0_c0.t1	CP4_g24067_DN3_SP0_c.t1
OG0004329	ESY12_g51710_DN3_SP1_c0.t1	CP4_g24085_DN3_SP6_c.t1
OG0004330	ESY12_g51730_DN3_SP5_c0.t1	CP4_g24099_DN3_SP5_c.t1
OG0004331	ESY3_g29085_DN3_SP0_c0.t1	CP12_g30488_DN3_SP0_c.t1
OG0004332	ESY12_g51839_DN2_SP5_c0.t1	CP4_g24155_DN3_SP8_c.t1
OG0004334	ESY12_g51517_DN3_SP4_c0.t1	CP4_g24413_DN3_SP4_c.t1
OG0004335	ESY12_g51528_DN3_SP0_c0.t1, ESY1_g11311_DN1_SP0_c0.t1	CP4_g24418_DN3_SP0_c.t1
OG0004336	ESY12_g51563_DN3_SP0_c0.t1	CP4_g24441_DN3_SP0_c.t1
OG0004337	ESY10_g14862_DN3_SP8_c0.t1	CP13_g19773_DN3_SP8_c.t1
OG0004338	ESY10_g14871_DN3_SP0_c0.t1	CP13_g19779_DN3_SP1_c.t1
OG0004339	ESY10_g14894_DN3_SP6_c0.t1	CP13_g19787_DN3_SP6_c.t1
OG0004340	ESY3_g31638_DN3_SP0_c0.t1	CP10_g42576_DN3_SP0_c.t1
OG0004341	ESY3_g31607_DN1_SP0_c0.t1	CP10_g42600_DN1_SP0_c.t1
OG0004342	ESY11_g54096_DN3_SP0_c0.t1	CP10_g42676_DN3_SP8_c.t1
OG0004343	ESY3_g31438_DN3_SP6_c0.t1	CP10_g42683_DN2_SP6_c.t1
OG0004344	ESY3_g30727_DN3_SP8_c0.t1	CP10_g42801_DN3_SP8_c.t1
OG0004345	ESY3_g31029_DN3_SP4_c0.t1	CP10_g42969_DN3_SP2_c.t1
OG0004346	ESY3_g31225_DN3_SP8_c0.t1	CP10_g43088_DN3_SP8_c.t1
OG0004347	ESY3_g31307_DN3_SP0_c0.t1	CP10_g43147_DN2_SP1_c.t1
OG0004348	ESY3_g31357_DN3_SP0_c0.t1	CP10_g43168_DN3_SP0_c.t1
OG0004349	ESY7_g17735_DN3_SP0_c0.t1	CP10_g43217_DN3_SP7_c.t1
OG0004350	ESY3_g30162_DN3_SP5_c0.t1	CP10_g43269_DN3_SP8_c.t1
OG0004351	ESY2_g36296_DN3_SP7_c18.t1	CP7_g46398_DN3_SP7_c.t1, CP10_g43309_DN3_SP6_c.t1
OG0004352	ESY3_g30287_DN3_SP4_c0.t1	CP10_g43346_DN3_SP6_c.t1
OG0004353	ESY3_g30335_DN3_SP8_c0.t1	CP10_g43376_DN3_SP8_c.t1
OG0004354	ESY3_g30352_DN3_SP3_c0.t1	CP10_g43390_DN3_SP3_c.t1
OG0004355	ESY3_g30496_DN3_SP0_c0.t1	CP10_g43452_DN3_SP4_c.t1
OG0004356	ESY3_g30569_DN3_SP0_c0.t1	CP12_g29872_DN3_SP1_c.t1
OG0004357	ESY3_g30564_DN3_SP0_c0.t1	CP12_g29877_DN3_SP0_c.t1, CP12_g29876_DN3_SP0_c.t1
OG0004358	ESY3_g30560_DN3_SP2_c0.t1	CP11_g32324_DN3_SP0_c.t1
OG0004359	ESY2_g37075_DN3_SP0_c0.t1, ESY3_g30652_DN3_SP8_c0.t1	CP12_g29948_DN3_SP8_c.t1
OG0004360	ESY11_g54969_DN3_SP0_c0.t1	CP12_g29825_DN3_SP0_c.t1
OG0004361	ESY3_g29842_DN3_SP2_c0.t1	CP12_g30053_DN3_SP3_c.t1
OG0004362	ESY3_g29632_DN2_SP0_c0.t1	CP12_g30206_DN3_SP0_c.t1
OG0004363	ESY3_g29547_DN3_SP6_c0.t1	CP12_g30239_DN3_SP5_c.t1
OG0004364	ESY3_g29397_DN3_SP0_c0.t1	CP12_g30301_DN3_SP0_c.t1
OG0004365	ESY3_g29259_DN3_SP0_c0.t1, ESY9_g42739_DN3_SP0_c0.t1, ESY9_g42741_DN3_SP0_c0.t1	CP12_g30371_DN3_SP0_c.t1
OG0004366	ESY3_g29229_DN2_SP0_c0.t1	CP12_g30400_DN3_SP3_c.t1, CP12_g30399_DN3_SP3_c.t1
OG0004367	ESY3_g29144_DN2_SP0_c0.t1	CP12_g30446_DN3_SP0_c.t1
OG0004368	ESY3_g29123_DN3_SP8_c0.t1	CP12_g30460_DN3_SP8_c.t1
OG0004369	ESY3_g29100_DN3_SP6_c0.t1	CP12_g30478_DN3_SP6_c.t1
OG0004370	ESY8_g61321_DN3_SP0_c0.t1	CP5_g1730_DN3_SP0_c.t1, CP5_g1729_DN3_SP0_c.t1, CP5_g1728_DN3_SP2_c.t1
OG0004371	ESY17_g40164_DN3_SP5_c0.t1	CP5_g1840_DN3_SP5_c.t1
OG0004371	ESY2_g35314_DN3_SP5_c0.t1	CP9_g28072_DN3_SP5_c.t1
OG0004372	ESY6_g50044_DN1_SP0_c0.t1, ESY15_g64825_DN3_SP1_c0.t1	CP2_g48819_DN3_SP3_c.t1
OG0004373	ESY3_g28277_DN3_SP1_c0.t1	CP12_g30754_DN3_SP4_c.t1
OG0004374	ESY3_g28514_DN3_SP0_c0.t1	CP12_g30683_DN3_SP1_c.t1
OG0004375	ESY3_g28757_DN3_SP0_c0.t1	CP12_g30605_DN3_SP3_c.t1
OG0004376	ESY3_g28970_DN3_SP5_c0.t1	CP12_g30547_DN3_SP8_c.t1
OG0004377	ESY3_g28985_DN2_SP0_c0.t1	CP12_g30534_DN3_SP1_c.t1
OG0004378	ESY3_g28987_DN3_SP8_c0.t1	CP12_g30533_DN3_SP8_c.t1
OG0004379	ESY8_g59331_DN3_SP0_c0.t1, ESY3_g29055_DN3_SP0_c0.t1	CP12_g30507_DN2_SP0_c.t1, CP12_g30508_DN3_SP0_c.t1
OG0004380	ESY2_g34376_DN3_SP1_c0.t1	CP5_g1997_DN3_SP2_c.t1, CP9_g27685_DN3_SP3_c.t1
OG0004381	ESY7_g16981_DN3_SP8_c0.t1	CP8_g54474_DN3_SP8_c.t1
OG0004382	ESY1_g10199_DN3_SP8_c0.t1	CP3_g14201_DN3_SP8_c.t1
OG0004384	ESY5_g5386_DN3_SP8_c0.t1	CP1_g36531_DN3_SP8_c.t1
OG0004385	ESY5_g5165_DN3_SP8_c0.t1	CP1_g36724_DN3_SP8_c.t1
OG0004387	ESY5_g4734_DN3_SP1_c0.t1, ESY5_g4587_DN3_SP0_c0.t1	CP1_g36888_DN3_SP5_c.t1
OG0004388	ESY5_g4455_DN3_SP4_c0.t1	CP1_g37071_DN3_SP8_c.t1
OG0004389	ESY5_g3258_DN2_SP0_c0.t1	CP3_g13769_DN1_SP0_c.t1, CP1_g37195_DN3_SP0_c.t1
OG0004391	ESY5_g3355_DN3_SP8_c0.t1	CP1_g37257_DN3_SP8_c.t1
OG0004392	ESY5_g3734_DN3_SP8_c0.t1	CP1_g37489_DN3_SP8_c.t1
OG0004393	ESY5_g3839_DN3_SP0_c0.t1, ESY5_g3822_DN3_SP0_c0.t1	CP1_g37554_DN3_SP0_c.t1
OG0004394	ESY5_g3831_DN3_SP0_c0.t1	CP1_g37562_DN3_SP0_c.t1
OG0004395	ESY5_g3854_DN3_SP7_c0.t1	CP1_g37574_DN3_SP8_c.t1
OG0004396	ESY5_g3065_DN3_SP7_c0.t1	CP7_g46088_DN3_SP7_c.t1
OG0004397	ESY5_g2459_DN3_SP8_c0.t1	CP7_g45634_DN3_SP8_c.t1
OG0004398	ESY2_g34833_DN3_SP0_c6.t1, ESY5_g2360_DN3_SP0_c0.t1, ESY5_g2355_DN3_SP0_c0.t1	CP7_g45576_DN3_SP3_c.t1
OG0004399	ESY5_g2251_DN3_SP8_c0.t1	CP7_g45521_DN3_SP6_c.t1
OG0004400	ESY2_g35711_DN3_SP1_c0.t1	CP9_g28784_DN3_SP7_c.t1
OG0004401	ESY2_g35529_DN3_SP1_c0.t1	CP9_g28637_DN3_SP6_c.t1
OG0004403	ESY2_g33537_DN3_SP1_c0.t1	CP2_g48952_DN3_SP3_c.t1, CP10_g43863_DN3_SP2_c.t1
OG0004404	ESY2_g34226_DN3_SP0_c0.t1	CP2_g49987_DN3_SP0_c.t1, CP2_g49983_DN3_SP0_c.t1
OG0004405	ESY8_g59974_DN1_SP0_c0.t1	CP13_g19070_DN3_SP0_c.t1
OG0004407	ESY3_g31697_DN3_SP0_c0.t1	CP18_g11848_DN2_SP1_c.t1
OG0004408	ESY8_g59709_DN2_SP0_c0.t1	CP5_g176_DN3_SP6_c.t1
OG0004409	ESY4_g26342_DN3_SP0_c0.t1	CP5_g326_DN3_SP0_c.t1
OG0004410	ESY10_g14247_DN3_SP0_c0.t1	CP5_g493_DN3_SP1_c.t1
OG0004411	ESY4_g25966_DN3_SP8_c0.t1	CP5_g692_DN3_SP8_c.t1
OG0004412	ESY20_g12922_DN3_SP0_c0.t1	CP8_g54658_DN3_SP0_c.t1
OG0004413	ESY4_g25833_DN3_SP8_c12.t1	CP5_g646_DN3_SP8_c.t1
OG0004414	ESY4_g25785_DN3_SP4_c0.t1	CP5_g630_DN3_SP4_c.t1
OG0004415	ESY4_g25682_DN3_SP1_c0.t1	CP5_g618_DN3_SP0_c.t1
OG0004416	ESY4_g25056_DN3_SP0_c0.t1	CP5_g799_DN3_SP1_c.t1
OG0004417	ESY4_g24932_DN3_SP0_c0.t1	CP5_g839_DN3_SP0_c.t1
OG0004418	ESY4_g24874_DN3_SP0_c0.t1	CP5_g860_DN3_SP0_c.t1
OG0004419	ESY66_g40366_DN3_SP0_c0.t1	CP12_g30735_DN3_SP1_c.t1
OG0004419	ESY16_g61695_DN3_SP2_c0.t1	CP12_g30736_DN3_SP8_c.t1
OG0004420	ESY3_g31417_DN3_SP0_c0.t1	CP7_g44326_DN2_SP1_c.t1
OG0004421	ESY20_g13064_DN3_SP3_c0.t1	CP8_g54560_DN3_SP5_c.t1
OG0004422	ESY20_g13051_DN3_SP0_c11.t1	CP8_g54569_DN3_SP0_c.t1
OG0004423	ESY4_g23950_DN2_SP0_c0.t1, ESY11_g54964_DN3_SP0_c0.t1	CP5_g1171_DN2_SP0_c.t1
OG0004425	ESY19_g41914_DN2_SP0_c0.t1	CP7_g45170_DN3_SP0_c.t1
OG0004427	ESY2_g37955_DN3_SP0_c0.t1	CP1_g38248_DN3_SP0_c.t1
OG0004428	ESY2_g37516_DN3_SP0_c0.t1	CP1_g38097_DN3_SP1_c.t1
OG0004429	ESY2_g37002_DN3_SP0_c0.t1	CP6_g7480_DN3_SP7_c.t1
OG0004434	ESY12_g51366_DN3_SP0_c0.t1	CP13_g19253_DN3_SP0_c.t1
OG0004435	ESY16_g61769_DN3_SP0_c0.t1	CP4_g26534_DN3_SP0_c.t1
OG0004437	ESY4_g26607_DN3_SP0_c0.t1	CP1_g38307_DN3_SP0_c.t1, CP1_g38310_DN3_SP0_c.t1, CP1_g38311_DN1_SP0_c.t1
OG0004440	ESY2_g36807_DN3_SP4_c0.t1	CP9_g29536_DN3_SP8_c.t1
OG0004440	ESY2_g36809_DN3_SP0_c0.t1	CP9_g29535_DN3_SP1_c.t1
OG0004451	ESY26_g42410_DN3_SP0_c0.t1	CP19_g18366_DN3_SP1_c.t1
OG0004452	ESY1_g8346_DN3_SP1_c0.t1	CP3_g14681_DN3_SP0_c.t1
OG0004453	ESY9_g45424_DN3_SP0_c0.t1	CP20_g4037_DN3_SP0_c.t1, CP4_g24826_DN3_SP0_c.t1
OG0004454	ESY11_g54659_DN3_SP2_c0.t1	CP12_g30761_DN3_SP4_c.t1, CP5_g1963_DN3_SP3_c.t1
OG0004455	ESY10_g14438_DN3_SP4_c0.t1	CP13_g19589_DN3_SP8_c.t1
OG0004457	ESY5_g4965_DN1_SP0_c0.t1	CP1_g36611_DN3_SP0_c.t1
OG0004458	ESY7_g17246_DN3_SP6_c0.t1	CP11_g32282_DN3_SP6_c.t1
OG0004459	ESY1_g12579_DN3_SP8_c0.t1	CP3_g13059_DN2_SP8_c.t1
OG0004460	ESY7_g17326_DN3_SP0_c0.t1	CP11_g32344_DN3_SP0_c.t1
OG0004461	ESY7_g17396_DN2_SP0_c0.t1	CP11_g32388_DN3_SP0_c.t1
OG0004462	ESY7_g17490_DN3_SP0_c0.t1	CP11_g32458_DN3_SP0_c.t1, CP11_g32457_DN3_SP0_c.t1
OG0004463	ESY7_g17557_DN3_SP8_c0.t1, ESY2_g33357_DN3_SP2_c0.t1	CP11_g32488_DN3_SP8_c.t1
OG0004464	ESY11_g53869_DN3_SP8_c0.t1, ESY4_g24639_DN3_SP0_c0.t1	CP10_g43904_DN3_SP8_c.t1
OG0004465	ESY7_g17706_DN3_SP3_c0.t1	CP11_g32595_DN3_SP8_c.t1
OG0004466	ESY7_g17753_DN3_SP0_c0.t1	CP11_g32624_DN3_SP4_c.t1
OG0004468	ESY7_g18408_DN3_SP0_c0.t1	CP11_g32653_DN3_SP0_c.t1
OG0004469	ESY7_g18385_DN3_SP0_c0.t1	CP11_g32670_DN3_SP3_c.t1
OG0004470	ESY7_g18347_DN3_SP0_c0.t1	CP11_g32693_DN3_SP0_c.t1
OG0004471	ESY7_g18292_DN2_SP0_c0.t1	CP11_g32726_DN3_SP0_c.t1
OG0004472	ESY7_g18251_DN3_SP0_c0.t1	CP11_g32750_DN3_SP0_c.t1
OG0004474	ESY1_g6966_DN3_SP0_c100.t1	CP2_g50746_DN2_SP0_c.t1
OG0004475	ESY7_g18088_DN3_SP0_c0.t1	CP11_g32849_DN3_SP1_c.t1
OG0004476	ESY7_g18049_DN3_SP8_c0.t1	CP11_g32875_DN3_SP8_c.t1
OG0004477	ESY6_g50436_DN2_SP0_c0.t1	CP4_g24995_DN3_SP0_c.t1, CP11_g32937_DN3_SP0_c.t1
OG0004478	ESY7_g17800_DN3_SP8_c0.t1	CP11_g33006_DN3_SP8_c.t1
OG0004479	ESY7_g18638_DN3_SP7_c0.t1	CP11_g33084_DN3_SP8_c.t1
OG0004480	ESY8_g58315_DN3_SP4_c0.t1	CP11_g31982_DN3_SP5_c.t1
OG0004482	ESY9_g42989_DN3_SP0_c0.t1	CP19_g18139_DN3_SP1_c.t1
OG0004483	ESY13_g56962_DN3_SP7_c0.t1	CP19_g18173_DN3_SP7_c.t1, CP8_g52692_DN3_SP0_c.t1
OG0004484	ESY8_g59045_DN3_SP0_c0.t1	CP4_g26079_DN2_SP0_c.t1, CP4_g26080_DN3_SP0_c.t1
OG0004485	ESY8_g58987_DN3_SP8_c0.t1	CP4_g25961_DN3_SP8_c.t1
OG0004486	ESY8_g58966_DN3_SP6_c0.t1	CP4_g25940_DN3_SP8_c.t1
OG0004487	ESY8_g58756_DN3_SP3_c0.t1	CP4_g25789_DN3_SP4_c.t1
OG0004489	ESY8_g58720_DN3_SP8_c0.t1	CP4_g25766_DN3_SP8_c.t1
OG0004490	ESY8_g58668_DN1_SP0_c0.t1, ESY6_g49645_DN3_SP0_c0.t1	CP4_g25726_DN3_SP3_c.t1
OG0004492	ESY8_g58623_DN3_SP0_c0.t1, ESY8_g58620_DN3_SP0_c0.t1	CP4_g25711_DN3_SP0_c.t1
OG0004493	ESY8_g58448_DN3_SP8_c0.t1	CP4_g25598_DN3_SP8_c.t1
OG0004494	ESY20_g12699_DN3_SP0_c0.t1	CP4_g25494_DN2_SP0_c.t1
OG0004495	ESY20_g12720_DN3_SP0_c0.t1, ESY20_g12721_DN3_SP0_c0.t1	CP4_g25482_DN3_SP1_c.t1
OG0004496	ESY20_g12777_DN3_SP8_c0.t1	CP4_g25447_DN3_SP8_c.t1
OG0004497	ESY20_g12835_DN3_SP0_c0.t1	CP4_g25411_DN3_SP2_c.t1
OG0004498	ESY20_g12848_DN3_SP0_c0.t1, ESY20_g12847_DN3_SP0_c0.t1	CP4_g25404_DN3_SP0_c.t1
OG0004500	ESY5_g5048_DN2_SP0_c0.t1	CP1_g36653_DN3_SP0_c.t1
OG0004500	ESY20_g12907_DN3_SP0_c0.t1	CP13_g20253_DN3_SP0_c.t1
OG0004502	ESY13_g56420_DN3_SP0_c5.t1	CP19_g18069_DN3_SP3_c.t1
OG0004503	ESY4_g25644_DN3_SP0_c0.t1	CP1_g38596_DN2_SP0_c.t1, CP1_g38593_DN3_SP2_c.t1
OG0004504	ESY4_g22577_DN3_SP0_c0.t1	CP7_g45094_DN3_SP2_c.t1
OG0004507	ESY4_g22807_DN3_SP0_c0.t1	CP7_g45066_DN3_SP0_c.t1
OG0004508	ESY4_g22901_DN3_SP4_c0.t1	CP7_g45038_DN3_SP8_c.t1
OG0004509	ESY4_g23034_DN3_SP5_c0.t1	CP7_g45006_DN3_SP3_c.t1
OG0004510	ESY4_g23224_DN3_SP0_c0.t1	CP7_g44973_DN3_SP1_c.t1
OG0004511	ESY6_g48882_DN2_SP0_c0.t1	CP7_g44949_DN3_SP0_c.t1
OG0004512	ESY4_g23308_DN3_SP0_c0.t1	CP7_g44918_DN1_SP0_c.t1
OG0004514	ESY6_g46622_DN3_SP1_c0.t1, ESY8_g60287_DN3_SP1_c0.t1	CP5_g1366_DN3_SP5_c.t1, CP9_g28610_DN3_SP2_c.t1
OG0004515	ESY4_g23544_DN3_SP8_c0.t1	CP7_g44887_DN3_SP8_c.t1
OG0004516	ESY4_g23720_DN3_SP0_c0.t1, ESY4_g23753_DN3_SP0_c0.t1	CP7_g44826_DN2_SP1_c.t1
OG0004517	ESY16_g61973_DN3_SP2_c0.t1	CP7_g44776_DN3_SP3_c.t1
OG0004518	ESY10_g14357_DN3_SP0_c0.t1	CP13_g19557_DN3_SP1_c.t1
OG0004519	ESY10_g14299_DN3_SP8_c0.t1	CP13_g19530_DN3_SP8_c.t1
OG0004520	ESY10_g14169_DN3_SP8_c0.t1	CP13_g19486_DN3_SP8_c.t1
OG0004521	ESY6_g50334_DN3_SP8_c0.t1	CP2_g47622_DN3_SP8_c.t1
OG0004522	ESY6_g50495_DN3_SP0_c0.t1	CP2_g47747_DN3_SP4_c.t1
OG0004523	ESY6_g50655_DN3_SP0_c0.t1	CP2_g47838_DN3_SP0_c.t1, CP12_g30901_DN3_SP0_c.t1
OG0004524	ESY11_g52759_DN3_SP0_c0.t1, ESY1_g11452_DN3_SP0_c0.t1, ESY17_g40094_DN3_SP0_c0.t1, ESY6_g50726_DN3_SP0_c0.t1	CP2_g47893_DN3_SP1_c.t1
OG0004525	ESY6_g50733_DN3_SP6_c0.t1	CP2_g47901_DN3_SP7_c.t1
OG0004526	ESY6_g49629_DN3_SP0_c0.t1	CP2_g47935_DN3_SP0_c.t1
OG0004527	ESY6_g49743_DN3_SP1_c0.t1	CP2_g47995_DN3_SP0_c.t1, CP2_g47994_DN3_SP0_c.t1
OG0004528	ESY1_g8455_DN3_SP8_c0.t1	CP3_g14657_DN3_SP8_c.t1
OG0004529	ESY6_g49391_DN3_SP0_c0.t1, ESY6_g49390_DN3_SP0_c0.t1	CP2_g48086_DN3_SP0_c.t1
OG0004530	ESY6_g49511_DN3_SP0_c0.t1	CP2_g48162_DN3_SP0_c.t1
OG0004531	ESY6_g49717_DN3_SP0_c0.t1	CP2_g48257_DN3_SP3_c.t1
OG0004532	ESY10_g14218_DN2_SP0_c0.t1	CP13_g19510_DN1_SP0_c.t1
OG0004533	ESY6_g49962_DN3_SP0_c0.t1	CP2_g48450_DN3_SP4_c.t1
OG0004534	ESY6_g49943_DN3_SP0_c0.t1	CP2_g48471_DN3_SP5_c.t1
OG0004535	ESY6_g49942_DN3_SP8_c0.t1	CP2_g48472_DN2_SP8_c.t1
OG0004536	ESY6_g49895_DN3_SP8_c0.t1	CP2_g48517_DN3_SP8_c.t1
OG0004537	ESY17_g40001_DN3_SP0_c0.t1	CP5_g1999_DN3_SP5_c.t1
OG0004538	ESY6_g49236_DN3_SP0_c0.t1	CP8_g54302_DN3_SP5_c.t1
OG0004539	ESY6_g49181_DN1_SP0_c0.t1	CP8_g54262_DN3_SP6_c.t1
OG0004540	ESY6_g49158_DN3_SP0_c0.t1	CP8_g54239_DN3_SP0_c.t1
OG0004541	ESY6_g49157_DN3_SP8_c0.t1	CP8_g54237_DN3_SP8_c.t1
OG0004542	ESY6_g49147_DN3_SP0_c0.t1	CP8_g54228_DN3_SP0_c.t1
OG0004543	ESY6_g49129_DN3_SP0_c0.t1	CP8_g54214_DN2_SP0_c.t1
OG0004544	ESY6_g49104_DN2_SP0_c0.t1	CP8_g54195_DN2_SP0_c.t1
OG0004545	ESY6_g49037_DN3_SP0_c0.t1	CP8_g54167_DN3_SP2_c.t1
OG0004546	ESY6_g49003_DN3_SP8_c8.t1	CP8_g54135_DN3_SP7_c.t1
OG0004547	ESY6_g48874_DN3_SP0_c0.t1	CP8_g54036_DN3_SP2_c.t1
OG0004548	ESY6_g48828_DN3_SP0_c0.t1	CP8_g54005_DN3_SP0_c.t1
OG0004549	ESY6_g48716_DN3_SP0_c0.t1	CP8_g53946_DN3_SP0_c.t1
OG0004550	ESY6_g48694_DN2_SP0_c0.t1	CP8_g53936_DN3_SP0_c.t1
OG0004551	ESY6_g48623_DN1_SP0_c0.t1	CP8_g53869_DN3_SP2_c.t1
OG0004552	ESY6_g48576_DN3_SP8_c0.t1	CP8_g53834_DN3_SP8_c.t1
OG0004553	ESY5_g3356_DN3_SP8_c0.t1	CP1_g37258_DN3_SP7_c.t1
OG0004554	ESY6_g48546_DN3_SP8_c0.t1	CP8_g53805_DN3_SP8_c.t1
OG0004555	ESY6_g48537_DN3_SP0_c0.t1	CP8_g53795_DN3_SP0_c.t1
OG0004556	ESY9_g43064_DN3_SP0_c0.t1	CP6_g6843_DN3_SP0_c.t1
OG0004557	ESY6_g48322_DN3_SP0_c0.t1	CP8_g53675_DN3_SP2_c.t1
OG0004558	ESY6_g48288_DN3_SP0_c0.t1, ESY6_g48286_DN3_SP0_c0.t1	CP8_g53659_DN3_SP0_c.t1
OG0004559	ESY5_g4860_DN3_SP8_c0.t1	CP1_g36556_DN3_SP8_c.t1
OG0004560	ESY6_g48173_DN3_SP0_c0.t1	CP8_g53605_DN3_SP0_c.t1
OG0004561	ESY16_g62339_DN3_SP8_c0.t1	CP5_g1304_DN3_SP8_c.t1
OG0004562	ESY6_g47918_DN3_SP0_c0.t1	CP8_g53441_DN3_SP0_c.t1
OG0004563	ESY1_g9656_DN3_SP4_c0.t1	CP3_g14433_DN3_SP7_c.t1
OG0004564	ESY1_g9612_DN3_SP0_c0.t1	CP3_g14452_DN3_SP0_c.t1, CP3_g14451_DN2_SP0_c.t1
OG0004565	ESY7_g18511_DN3_SP0_c0.t1	CP11_g33172_DN3_SP3_c.t1
OG0004566	ESY7_g19025_DN3_SP7_c0.t1	CP11_g33419_DN3_SP5_c.t1
OG0004567	ESY7_g19090_DN3_SP8_c0.t1	CP11_g33448_DN3_SP8_c.t1
OG0004569	ESY7_g19294_DN3_SP0_c0.t1	CP11_g33541_DN3_SP0_c.t1
OG0004570	ESY7_g19444_DN3_SP0_c0.t1	CP11_g33606_DN3_SP3_c.t1
OG0004571	ESY3_g30791_DN2_SP7_c0.t1	CP10_g42836_DN3_SP5_c.t1
OG0004571	ESY7_g19663_DN3_SP4_c0.t1	CP11_g33757_DN3_SP5_c.t1
OG0004572	ESY2_g36546_DN3_SP0_c0.t1	CP9_g29691_DN2_SP1_c.t1
OG0004573	ESY2_g36565_DN3_SP4_c0.t1	CP9_g29678_DN3_SP7_c.t1
OG0004574	ESY2_g36621_DN3_SP0_c0.t1, ESY2_g36620_DN3_SP0_c0.t1	CP9_g29637_DN3_SP0_c.t1
OG0004575	ESY2_g36677_DN3_SP8_c0.t1	CP9_g29595_DN3_SP8_c.t1
OG0004576	ESY2_g36121_DN3_SP3_c0.t1	CP9_g29497_DN3_SP3_c.t1
OG0004578	ESY2_g35026_DN3_SP5_c0.t1	CP9_g29466_DN3_SP4_c.t1
OG0004579	ESY2_g35073_DN3_SP0_c0.t1	CP9_g29425_DN3_SP0_c.t1
OG0004580	ESY2_g35085_DN3_SP8_c0.t1	CP9_g29418_DN3_SP8_c.t1
OG0004581	ESY2_g34692_DN3_SP0_c0.t1	CP9_g29327_DN3_SP0_c.t1
OG0004583	ESY2_g36059_DN3_SP6_c0.t1	CP9_g29193_DN3_SP7_c.t1
OG0004584	ESY2_g36054_DN3_SP2_c0.t1	CP9_g29192_DN3_SP5_c.t1
OG0004585	ESY2_g36050_DN3_SP1_c0.t1	CP7_g45254_DN3_SP3_c.t1, CP9_g29189_DN3_SP0_c.t1
OG0004586	ESY2_g36222_DN3_SP0_c0.t1	CP7_g46333_DN3_SP0_c.t1
OG0004587	ESY17_g40045_DN3_SP0_c19.t1	CP5_g2054_DN3_SP4_c.t1
OG0004588	ESY2_g36926_DN3_SP0_c0.t1	CP7_g46246_DN3_SP0_c.t1
OG0004589	ESY9_g44144_DN3_SP0_c0.t1	CP4_g25140_DN3_SP3_c.t1
OG0004591	ESY4_g24964_DN3_SP0_c0.t1	CP1_g38275_DN3_SP0_c.t1
OG0004592	ESY17_g39198_DN3_SP2_c0.t1	CP14_g22982_DN3_SP5_c.t1
OG0004593	ESY6_g47159_DN2_SP0_c0.t1	CP8_g53240_DN3_SP0_c.t1
OG0004595	ESY2_g36073_DN3_SP5_c0.t1	CP6_g7988_DN3_SP7_c.t1
OG0004596	ESY7_g17822_DN3_SP0_c0.t1, ESY7_g17825_DN3_SP7_c0.t1	CP6_g7562_DN3_SP5_c.t1
OG0004597	ESY22_g40534_DN3_SP1_c0.t1	CP6_g7504_DN3_SP5_c.t1
OG0004598	ESY22_g40929_DN3_SP0_c0.t1	CP6_g7413_DN3_SP3_c.t1
OG0004599	ESY2_g35857_DN3_SP6_c0.t1	CP9_g28920_DN3_SP6_c.t1
OG0004600	ESY9_g43762_DN3_SP2_c0.t1	CP19_g18439_DN3_SP5_c.t1
OG0004601	ESY2_g34975_DN3_SP2_c0.t1	CP9_g29089_DN3_SP3_c.t1
OG0004602	ESY2_g35384_DN3_SP1_c0.t1	CP9_g28521_DN3_SP0_c.t1
OG0004603	ESY4_g23980_DN3_SP0_c0.t1	CP5_g1167_DN3_SP2_c.t1
OG0004604	ESY4_g24221_DN3_SP0_c0.t1	CP5_g1096_DN3_SP0_c.t1
OG0004605	ESY8_g60507_DN3_SP0_c0.t1	CP5_g1459_DN3_SP0_c.t1, CP5_g1461_DN3_SP0_c.t1, CP5_g1457_DN1_SP0_c.t1
OG0004606	ESY6_g45844_DN3_SP8_c0.t1	CP8_g52957_DN3_SP8_c.t1
