Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000003	Np001G031010, Np002G099380	g8880, g21791, g21805
OG0000003	Np005G296640, Np003G168980	g34585, g38685, g33681, g53237, g30184, g21769, g48097, g15439, g38758, g38943, g35769
OG0000003	Np003G172820	g26606, g8533, g35008
OG0000003	Np006G345580	g20472, g9367, g20087, g21565, g33957, g8861, g52750, g34641, g38687, g43070, g15232, g42420, g42441
OG0000003	Np005G294070	g9347, g7984, g26551, g33767, g21045, g20998, g38763, g42487, g21234, g52986
OG0000003	Np009G429960, Np003G168500	g8364, g30181, g15105, g19836, g34664, g34657, g34660, g9423, g9443, g48369, g39153
OG0000003	Np006G354000, Np006G347320, Np006G346740, Np006G353400	g53525, g41900, g41972
OG0000003	Np001G048700	g12377
OG0000003	Np007G402470	g4552
OG0000003	Np003G170050	g45643
OG0000003	Np003G172810	g8357, g30183, g8315, g48435, g38569, g48098, g21770, g22560
OG0000003	Np006G346690	g8878
OG0000003	Np012G437010, Np004G222380, Np011G436600, Np011G436790, Np009G430460, Np003G168990, Np004G221780, Np004G221640, Np004G222040	g9440
OG0000003	Np003G172700	g48250, g7968, g53646, g21207, g42483, g22559, g3632
OG0000003	Np003G170760	g8684
OG0000004	Np002G096870, Np002G110370, Np001G020590	g10434, g43405, g12783, g14416, g3096
OG0000004	Np006G348510	g43468, g53079, g36758
OG0000004	Np005G311750, Np001G063050, Np004G215690, Np004G212780, Np005G309410, Np001G021660, Np005G303650	g32052, g40877
OG0000004	Np005G318450	g52608, g29057
OG0000004	Np005G308780, Np001G054660	g36335
OG0000004	Np006G322460, Np007G418310	g40054
OG0000005	Np002G080500	g44250
OG0000005	Np001G041490, Np001G029140, Np001G037430, Np003G173650, Np002G091710	g1512, g23979, g28647, g29131
OG0000005	Np001G027520	g36068
OG0000005	Np006G359670, Np001G029160, Np001G037420	g22668, g39670, g49313, g181, g25460
OG0000005	Np001G041480, Np003G174230, Np001G015150, Np001G036410	g50155, g5748, g1727
OG0000005	Np004G203550, Np005G265280	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090
OG0000005	Np006G352060, Np002G098830	g43359
OG0000005	Np001G012890, Np001G012870	g4402
OG0000005	Np008G427710	g43360
OG0000005	Np003G175080, Np002G106360	g14949, g4309
OG0000005	Np006G355750, Np002G110360	g14417
OG0000006	Np003G145740	g16483
OG0000006	Np005G313160	g49751, g24749, g9677, g9032, g4218, g35394, g34804, g11663, g32442, g47000, g6208, g23854, g4635, g14489, g35540, g24723, g1457, g1504, g5172, g24823, g23855, g25855, g40547, g43721, g48115, g32111, g42023, g40353, g47960, g40914, g52350, g5266
OG0000007	Np007G402890	g26700, g13385, g6388, g1660
OG0000007	Np003G126450	g11781, g52096, g4660, g33143, g43301, g11618, g54172
