Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0003952	Np002G106780	g25482
OG0003953	Np002G117220	g40986, g40987
OG0003955	Np001G025040	g10685
OG0003956	Np001G020790	g10486, g1620
OG0003957	Np005G317880	g36019, g46669
OG0003957	Np001G020680	g10479
OG0003958	Np005G312140	g46794
OG0003958	Np002G095940	g45017
OG0003959	Np006G331120	g37365, g38148, g51950
OG0003960	Np007G411670	g7424, g12367
OG0003961	Np007G411080	g12342
OG0003962	Np002G089640, Np007G410400, Np007G410410	g13118
OG0003963	Np003G178930, Np003G179220	g44249
OG0003965	Np003G171830	g1366, g28295, g22598, g22599
OG0003966	Np003G165060, Np005G276960	g28393
OG0003967	Np007G409380	g29402, g5320
OG0003968	Np003G138300	g29433
OG0003969	Np003G138090	g29444
OG0003969	Np001G013230	g609
OG0003972	Np003G133640	g29616
OG0003973	Np001G032990	g10895, g40689
OG0003974	Np001G054800	g19228
OG0003975	Np005G287100	g24043, g24044, g17372
OG0003976	Np005G284560	g23923
OG0003977	Np001G055470	g2382
OG0003978	Np007G372490	g32376
OG0003978	Np004G211840	g27671
OG0003979	Np004G217710	g50620, g27762
OG0003980	Np005G268200	g47969, g22919
OG0003981	Np005G268300	g47971
OG0003982	Np005G269410	g22830
OG0003983	Np006G368870	g36931
OG0003984	Np003G178180	g40300
OG0003985	Np003G183700	g40452
OG0003987	Np007G387940	g6405
OG0003987	Np005G307810	g24852
OG0003988	Np005G305400	g17721
OG0003989	Np005G302470	g17645, g24444
OG0003990	Np005G318810	g16803
OG0003991	Np006G321920	g37710
OG0003992	Np006G322250	g50801
OG0003993	Np001G067220	g1866
OG0003994	Np002G086440	g44729, g44728
OG0003995	Np006G326040, Np006G357010	g37527
OG0003996	Np006G326450, Np006G326500	g37521
OG0003998	Np003G126510	g45313
OG0003999	Np007G411940	g13083
OG0004000	Np003G151940	g850
OG0004001	Np002G096780, Np003G153110	g39238
OG0004002	Np001G005810	g9813
OG0004003	Np006G357910	g40101
OG0004005	Np006G348940, Np006G354050	g39886
OG0004006	Np006G357980	g40098
OG0004008	Np001G015390	g12576
OG0004009	Np004G199860	g54049
OG0004010	Np007G414800	g7560
OG0004011	Np001G060020	g2173
OG0004012	Np006G332770	g51836
OG0004013	Np001G061060	g19049, g2185
OG0004014	Np004G197620	g6473
OG0004015	Np006G334140	g51758
OG0004016	Np006G333790	g51772
OG0004019	Np006G335120	g51730
OG0004021	Np001G053460, Np001G053470	g2464
OG0004022	Np006G364790, Np006G364770	g51031, g38353
OG0004025	Np004G230560	g27545, g50280
OG0004026	Np005G281510	g23814
OG0004026	Np003G172800	g28264
OG0004027	Np005G281060	g17177, g23782
OG0004028	Np005G280560	g23752
OG0004028	Np003G156170	g23757
OG0004029	Np003G161260	g929
OG0004030	Np006G365700	g50992
OG0004031	Np006G339930	g51548
OG0004033	Np004G245710	g31369
OG0004035	Np004G251570, Np004G251800	g31074
OG0004036	Np004G196150, Np005G313970, Np001G018220	g1069
OG0004037	Np004G257480	g49394
OG0004038	Np003G143010	g29205
OG0004039	Np001G014090	g10108
OG0004041	Np001G009500	g41603, g18592
OG0004043	Np001G016660	g4634, g10208
OG0004044	Np003G129970	g29741, g5645
OG0004045	Np001G012230	g570
OG0004046	Np001G010830	g9986
OG0004047	Np001G010760	g18585
OG0004049	Np001G008980	g416
OG0004050	Np003G150970	g28857
OG0004051	Np001G043870	g11469
OG0004052	Np002G083870	g44658
OG0004053	Np002G073600	g46432
OG0004054	Np007G408430	g7273
OG0004055	Np007G406820	g12221, g7217
OG0004056	Np005G302020	g17620, g24418
OG0004057	Np007G392030	g12055, g6973
OG0004058	Np007G392040	g12051, g6968
OG0004059	Np007G393520	g6912, g12026
OG0004060	Np007G393770	g6900, g13298
OG0004061	Np007G393960	g12018
OG0004062	Np007G394490	g6870, g13308
OG0004063	Np007G394750	g13316, g11994
OG0004064	Np007G400150	g13357
OG0004065	Np007G380820	g6691
OG0004066	Np007G383030	g11823
OG0004067	Np007G386870	g11399
OG0004068	Np007G378250	g13689
OG0004069	Np004G198360	g36387, g54123
OG0004070	Np007G404810	g12157
OG0004071	Np001G061380	g2063, g19005
OG0004072	Np001G062480	g18977
OG0004072	Np006G329310	g52017
OG0004073	Np001G064560	g11201, g2011, g18899
OG0004076	Np001G039350	g11043
OG0004078	Np005G277690, Np005G277900, Np003G161650, Np001G003340, Np003G134260	g17083, g23630
OG0004082	Np003G187340	g45113, g39516
OG0004087	Np003G180030	g3959, g6639, g4830
OG0004088	Np002G070920	g25174
OG0004092	Np005G273160	g16984
OG0004093	Np005G272670	g47760
OG0004095	Np005G264080	g18183, g47859, g23150
OG0004096	Np005G264620	g47876
OG0004097	Np002G112880	g41075
OG0004099	Np001G027900	g10808
OG0004101	Np003G159630	g1016, g39371, g3761
OG0004102	Np002G124740	g40740
OG0004102	Np005G320200	g16761
OG0004103	Np007G409790	g12307
OG0004104	Np003G166970	g28358
OG0004105	Np003G162540	g39426, g954
OG0004106	Np003G163430	g39400, g973
OG0004107	Np006G324780	g37584
OG0004108	Np003G158180	g1058, g28551
OG0004109	Np003G137840	g29448
OG0004110	Np003G135980	g29547
OG0004111	Np003G134440	g29594
OG0004112	Np003G133630	g29617
OG0004112	Np001G009100	g9897
OG0004113	Np005G291480	g24178, g47275
OG0004114	Np005G291400	g24177
OG0004115	Np005G291020	g24160
OG0004116	Np005G287080	g47353
OG0004117	Np005G287570	g24031
OG0004118	Np005G286710	g17851, g23989
OG0004119	Np004G206770	g32690
OG0004120	Np005G287470	g47363, g17394
OG0004121	Np004G202900	g28172, g35943, g53793
OG0004122	Np004G203150	g53741, g28200, g28203
OG0004123	Np004G211930	g50498
OG0004124	Np001G056180, Np004G214540	g32494
OG0004125	Np005G268360	g22912
OG0004126	Np006G338190	g37190
OG0004127	Np005G269550	g38477, g25574, g25572, g38454
OG0004128	Np005G260380	g18353
OG0004129	Np004G251830	g49580
OG0004130	Np005G315870	g16887
OG0004130	Np001G019230	g10378
OG0004131	Np006G323250, Np007G371590	g14183, g43060, g14177, g14168, g14114, g14140, g14133, g14188, g14171, g14156, g14151, g14185, g32545, g14130, g14126, g14117, g14144, g14153, g14136, g14160, g14127, g14165
OG0004132	Np004G203750	g37964
OG0004133	Np001G042040	g37050
OG0004134	Np004G200290, Np001G042560	g36266
OG0004135	Np003G179800	g23863
OG0004136	Np003G181750, Np002G091740	g25671
OG0004137	Np001G033150	g40687, g10897
OG0004138	Np005G304960	g47061
OG0004140	Np006G321390	g37727
OG0004141	Np006G321940	g37708
OG0004142	Np006G325900, Np006G325910	g52161
OG0004143	Np006G326630	g38218, g52124
OG0004144	Np006G327750	g37474
OG0004145	Np006G327870	g52088
OG0004146	Np001G063470	g1984, g18945
OG0004147	Np003G149380	g745
OG0004148	Np003G150050	g28885
OG0004149	Np003G151270	g827, g826, g825
OG0004150	Np003G152170	g28798
OG0004151	Np003G153750	g1234
OG0004152	Np001G004920	g251, g9785
OG0004153	Np003G189550	g25350
OG0004154	Np003G188330	g25402, g45262
OG0004155	Np003G188280	g25404
OG0004156	Np003G186750	g39583
OG0004157	Np003G186730	g25467, g35875
OG0004158	Np001G040880	g39714
OG0004159	Np004G256030	g30862
OG0004160	Np006G355910	g39821, g51280
OG0004161	Np006G355690	g51272
OG0004162	Np006G347340, Np006G353380	g39911
OG0004163	Np006G353090	g39915
OG0004164	Np006G352590	g5558, g37895
OG0004165	Np006G360340	g40017
OG0004166	Np001G043690	g38289
OG0004167	Np005G278170	g50103, g31546, g25051, g24456, g23643
OG0004168	Np003G141150	g45656
OG0004169	Np007G422610	g12660
OG0004170	Np007G421290	g7800, g12615
OG0004172	Np007G419430	g7721, g12837
OG0004173	Np007G419520	g7726
OG0004174	Np007G415300	g7583
OG0004175	Np006G331550	g51907
OG0004177	Np006G335920	g51702
OG0004178	Np004G240030	g49964
OG0004179	Np004G236690	g50060
OG0004180	Np004G235430	g31897
OG0004181	Np004G234750	g27467
OG0004182	Np002G083090	g45969
OG0004183	Np005G282030	g17205, g23828
OG0004184	Np005G281860	g23823
OG0004185	Np005G281590, Np005G280440	g23817
OG0004186	Np005G315990, Np006G332820	g40244
OG0004187	Np005G281160	g17181, g23790
OG0004188	Np003G166120, Np003G167100	g1307
OG0004189	Np004G244570	g31415
OG0004189	Np001G022290	g10557
OG0004190	Np004G245200	g31390, g49824
OG0004192	Np001G052340	g19346
OG0004193	Np003G143110	g45718, g3836
OG0004194	Np003G143370	g5053
OG0004195	Np003G144460	g29505, g4996
OG0004196	Np001G014690	g10128, g51931, g51929, g51936, g4791
OG0004197	Np003G132710	g5574, g5570, g2956
OG0004198	Np001G013530	g10087
OG0004199	Np001G012930	g41630
OG0004200	Np001G011470, Np001G011460	g18571
OG0004202	Np001G009720	g441
OG0004203	Np001G007300	g9856, g356
OG0004204	Np001G007150	g9850, g344
OG0004205	Np003G154340	g1198
OG0004206	Np001G050560	g19394
OG0004207	Np001G045360	g2944
OG0004208	Np006G342950, Np002G080260, Np003G177010	g46093
OG0004209	Np002G083660	g45927
OG0004210	Np002G083520	g45934, g44642
OG0004211	Np002G083060	g45968, g19479
OG0004212	Np002G074470	g46387
OG0004213	Np002G079520	g44541
OG0004214	Np002G081350	g46053
OG0004215	Np002G073500	g46442
OG0004216	Np002G071260	g46556
OG0004217	Np007G408670	g7289
OG0004218	Np007G404260	g13233, g12143
OG0004219	Np007G403330	g7073
OG0004220	Np007G390240	g7046
OG0004221	Np007G393740	g6903
OG0004222	Np007G393970	g12017, g6891
OG0004223	Np007G395410	g13327
OG0004224	Np007G396030	g6815, g11961
OG0004225	Np007G396870	g6789, g11956
OG0004226	Np007G381060	g11877
OG0004227	Np007G382030	g11858, g6630
OG0004228	Np007G382040	g13396, g6629
OG0004229	Np007G382840	g11832, g11831
OG0004230	Np007G397030	g4678
OG0004230	Np007G383080	g6590
OG0004231	Np007G383750	g11787
OG0004232	Np007G384940	g11753
OG0004233	Np007G385430	g6505, g13475
OG0004234	Np005G318030, Np007G375160	g6035
OG0004235	Np007G373810, Np007G373820, Np007G373800	g5975, g13925, g53828
OG0004237	Np005G310730	g25108
OG0004239	Np004G190670	g54361, g36735
OG0004240	Np004G192040	g36681
OG0004241	Np004G192460	g36663, g54304
OG0004242	Np004G193030	g54291
OG0004243	Np004G193320	g36614
OG0004244	Np004G195710	g36493
OG0004245	Np002G086800	g28099, g45806
OG0004246	Np005G261480, Np004G199770	g54052
OG0004247	Np006G341550	g51470
OG0004248	Np007G416690	g12936, g12481
OG0004249	Np001G013660	g10094
OG0004250	Np001G039140, Np002G070960	g44291
OG0004251	Np001G062000	g11242, g18988, g2091
OG0004252	Np001G062780	g37437
OG0004253	Np001G066560	g18714
OG0004254	Np001G067550	g11165, g1834
OG0004255	Np001G068580	g36017
OG0004257	Np002G122130	g52091, g52102, g37249, g4372
OG0004263	Np006G367680	g38443
OG0004265	Np004G210650	g50439
OG0004269	Np003G179000, Np003G169720, Np003G172080, Np004G217380, Np003G166650, Np002G088270, Np002G119290, Np007G395460, Np004G216720, Np005G304710, Np005G288890, Np001G030180, Np002G119310, Np002G103050, Np003G167360, Np003G166700, Np007G395430, Np005G288860, Np001G030200, Np005G304740, Np002G088260, Np004G216700, Np003G167370, Np005G288870, Np005G304730, Np001G030190, Np007G395440, Np004G216710, Np002G119300, Np003G166690, Np002G102990	g35184
OG0004275	Np005G275620	g47688, g23511
OG0004276	Np005G264560	g18202
OG0004277	Np005G273890	g23424
OG0004278	Np005G272320	g47768, g16962
OG0004279	Np005G271840	g23331
OG0004280	Np005G263330	g47839
OG0004281	Np005G264190	g23141
OG0004282	Np005G264960	g18209, g23074
OG0004283	Np005G266010	g23021
OG0004284	Np004G215520	g27750
OG0004285	Np004G219730	g27775
OG0004286	Np002G107480, Np002G107390	g41123
OG0004287	Np001G027870	g10806
OG0004288	Np001G025230	g10702, g1523
OG0004289	Np001G023700	g10626
OG0004290	Np001G021150	g10507
OG0004291	Np007G385530	g6500
OG0004293	Np005G309390	g17888
OG0004294	Np006G328350	g52056
OG0004295	Np006G330560	g37381
OG0004297	Np007G410620	g7390, g12329
OG0004298	Np007G409800	g12308, g7349
OG0004299	Np003G171700	g41158, g28297, g1365
OG0004300	Np003G184450	g28327
OG0004301	Np004G217310	g28328
OG0004301	Np005G305830	g24546
OG0004302	Np003G168080	g41171
OG0004303	Np005G279130	g23692
OG0004303	Np003G158430	g28537
OG0004304	Np004G229640, Np003G155080	g39285, g1142
OG0004305	Np001G013820	g10098
OG0004306	Np003G140260	g5270, g29354
OG0004307	Np003G138570	g29424, g5343
OG0004308	Np003G137150	g29480
OG0004309	Np003G134790, Np003G134780	g29585
OG0004310	Np003G134330	g29598, g5513
OG0004311	Np005G292410	g24210
OG0004311	Np001G035330	g40629
OG0004312	Np005G291940	g17480
OG0004313	Np005G290500	g17452
OG0004314	Np005G288720	g24074
OG0004315	Np005G288270	g24057, g17379
OG0004316	Np005G287170	g47357
OG0004317	Np005G287460	g17393, g48347
OG0004318	Np005G284900	g23947, g17284
OG0004319	Np005G284720	g23941
OG0004321	Np005G282880	g23851
OG0004322	Np003G178810	g40329, g25780
OG0004324	Np007G383500	g13431
OG0004325	Np004G193330	g36612
OG0004326	Np004G212770	g32405
OG0004327	Np004G213860	g32469
OG0004328	Np004G214050	g50546, g32475
OG0004330	Np005G267320	g18234, g22972
OG0004331	Np005G268600	g18260, g22890
OG0004332	Np003G141350	g22884
OG0004333	Np003G177910	g40289
OG0004336	Np005G309910	g46902
OG0004337	Np007G388540	g11658
OG0004338	Np005G307500	g46942, g46811
OG0004339	Np005G305370	g17720, g24529, g41858, g1827
OG0004340	Np005G304440	g17716
OG0004341	Np005G304170	g24498
OG0004342	Np004G190260	g54375, g54379
OG0004343	Np001G069320	g18745
OG0004344	Np006G321930	g37709, g50812, g38255
OG0004345	Np006G322990	g50778, g37658
OG0004346	Np006G323210	g37646
OG0004347	Np002G076860	g37538
OG0004348	Np006G327440	g52108, g37487
OG0004349	Np001G062940	g2038
OG0004352	Np006G332450	g37345
OG0004353	Np003G150410	g41360
OG0004354	Np003G153300	g1255
OG0004355	Np001G005490	g9810
OG0004356	Np001G005090	g9789
OG0004357	Np001G003050	g9714
OG0004358	Np001G001630	g63
OG0004359	Np001G001480	g53, g9659
OG0004360	Np004G259810	g49287
OG0004361	Np003G189170, Np005G262760	g38232
OG0004362	Np004G256950	g30827
OG0004363	Np006G345560, Np009G431760	g37955
OG0004364	Np007G406610, Np009G431620	g51350
OG0004365	Np004G253760	g49525
OG0004366	Np006G354810, Np006G348090	g51237, g39856
OG0004368	Np006G347580, Np006G353190	g39913, g51210
OG0004370	Np006G352740, Np006G347950	g51195, g39926
OG0004371	Np006G352180	g51182, g39958
OG0004373	Np007G423070	g12675
OG0004374	Np007G419200	g7713, g12853
OG0004375	Np001G014930	g4781
OG0004376	Np007G418630	g53285, g7701, g12870
OG0004377	Np007G417760	g7675
OG0004378	Np007G417510	g7661
OG0004379	Np007G417170	g7648, g12491
OG0004380	Np007G415770, Np007G415780	g12446, g7602
OG0004381	Np006G339700	g37146, g51562
OG0004382	Np006G339510	g37150
OG0004383	Np006G338140	g51617
OG0004385	Np004G240180	g49957, g31632
OG0004386	Np004G238280	g50015, g31723, g27383
OG0004387	Np002G081100	g44568
OG0004389	Np004G236990	g50051
OG0004390	Np004G233930	g31996
OG0004391	Np002G083110	g45971
OG0004393	Np004G225980	g50362, g32153
OG0004394	Np004G209440	g32221, g27615
OG0004395	Np003G148360, Np005G281560	g13728, g13731
OG0004396	Np006G365990	g38390
OG0004397	Np004G243700	g31454
OG0004398	Np004G244730	g49848, g31410
OG0004399	Np004G244860	g49847, g31402
OG0004400	Np004G246200	g49787, g31344
OG0004401	Np004G247540	g49762
OG0004402	Np004G248090	g31266
OG0004403	Np004G248790	g49721
OG0004404	Np004G250160	g49640, g31156
OG0004405	Np004G251360	g31099
OG0004406	Np004G251490	g49599, g27016, g31087
OG0004407	Np003G142110	g5129
OG0004408	Np003G143300	g45724
OG0004409	Np003G144020	g5016, g29159
OG0004410	Np003G146380	g29051, g29055, g4914
OG0004411	Np003G146470	g41459
OG0004412	Np001G014130	g10111, g4851
OG0004413	Np001G014830	g4787, g10135
OG0004414	Np001G017900	g10281
OG0004415	Np003G131470	g5610
OG0004416	Np001G013240	g610, g10064
OG0004418	Np001G010670	g9971, g494
OG0004419	Np001G010180	g464
OG0004420	Np001G009330	g427
OG0004422	Np002G089510	g41557
OG0004423	Np002G086520, Np002G086530	g45811
OG0004424	Np002G085580	g45843
OG0004425	Np002G084720	g45874, g44688
OG0004426	Np002G083250	g45980
OG0004427	Np002G082970	g44618
OG0004428	Np002G077870	g44451, g46212
OG0004430	Np002G079110	g46148
OG0004430	Np002G079120	g46147
OG0004431	Np002G081730	g44588
OG0004432	Np002G073240	g46464
OG0004433	Np002G072790	g46493
OG0004434	Np002G072370	g46513
OG0004435	Np002G071980	g44315
OG0004436	Np007G408400	g13149, g12259, g7271
OG0004438	Np007G405930	g7182
OG0004440	Np007G404560	g7113, g12146
OG0004442	Np007G403640	g7077, g11394
OG0004443	Np007G390470	g13259
OG0004444	Np007G394570	g6866, g12000
OG0004445	Np007G397550	g11948
OG0004446	Np007G398340	g11940, g13366
OG0004447	Np007G380640	g11886
OG0004448	Np007G380660	g6694
OG0004449	Np007G381290	g6676
OG0004450	Np007G382350	g11855
OG0004451	Np007G384370	g6541
OG0004452	Np006G363070	g38303
OG0004453	Np007G374420	g13953
OG0004454	Np007G374890	g13979, g6025
OG0004455	Np007G373870	g5981
OG0004456	Np007G371980	g13850
OG0004458	Np004G195550	g36508, g54186
OG0004459	Np005G296150, Np004G196610	g54177
OG0004460	Np004G199210	g36339, g28100
OG0004462	Np001G053790	g2442
OG0004463	Np001G056930	g2320
OG0004464	Np001G058710	g11281, g2234
OG0004466	Np001G061190	g19015
OG0004467	Np003G164270	g912
OG0004468	Np001G062880	g2043
OG0004469	Np002G084390, Np001G062970	g18961
OG0004470	Np001G063510	g18944, g1987
OG0004471	Np006G324570	g52223
OG0004472	Np001G067280	g1859, g1860
OG0004474	Np001G069420	g18753
OG0004475	Np004G198490	g54119
OG0004477	Np003G179530	g25771
OG0004478	Np001G066170	g18823
OG0004480	Np003G127780	g5728
OG0004482	Np005G295190, Np002G107240	g50318, g50319, g50320
OG0004484	Np004G205510, Np001G043970	g29432, g50694
OG0004485	Np001G024530, Np001G064840	g41645
OG0004488	Np003G140440	g45624
OG0004490	Np007G401420	g42914, g42364, g48892, g22064, g38839
OG0004492	Np007G384740	g6526
OG0004493	Np007G387710, Np007G387650, Np007G387720, Np007G387670	g11676
OG0004498	Np005G276650	g23565
OG0004499	Np005G276310	g23545, g17037
OG0004500	Np005G275820	g23520
OG0004501	Np005G274460	g23446
OG0004502	Np003G156090	g1100
OG0004503	Np005G273540, Np005G273790	g23421
OG0004504	Np005G273210	g23392
OG0004505	Np005G273110	g16982, g23386, g47751
OG0004506	Np005G272840	g16971, g47756
OG0004507	Np001G063120, Np001G063090	g18959, g11214
OG0004508	Np005G271330	g16943
OG0004509	Np005G270780	g23285
OG0004510	Np006G364020	g16931, g23283
OG0004511	Np005G263120	g23212
OG0004512	Np005G264670	g23100
OG0004513	Np005G264800	g47881
OG0004514	Np005G299220	g24328
OG0004515	Np002G115010	g44099, g41042
OG0004516	Np002G117900	g44173
OG0004518	Np005G283370	g23880
OG0004519	Np001G027300	g10792
OG0004520	Np004G209290	g50387
OG0004521	Np001G023290	g10603
OG0004522	Np001G020090	g10439
OG0004523	Np001G019430	g10394
OG0004524	Np001G018710	g10349
OG0004525	Np005G310860	g25098
OG0004526	Np004G245410, Np002G121200	g31385
OG0004527	Np007G408820	g7301, g12275
OG0004528	Np003G158120	g28552
OG0004529	Np007G409110	g7319, g12288
OG0004530	Np003G152540	g1287
OG0004530	Np001G032830	g10831
OG0004531	Np003G158710	g1036, g28529, g39360
OG0004532	Np003G158230	g1056
OG0004533	Np003G179730, Np003G157320	g39341
OG0004534	Np003G157140	g28565, g120
OG0004536	Np003G155160	g28668
OG0004537	Np001G018200	g10303
OG0004538	Np003G139540	g29391, g5300
OG0004539	Np003G139260	g5310
OG0004540	Np003G138880	g29410
OG0004541	Np003G138580	g29423
OG0004542	Np003G137690	g29458
OG0004542	Np001G012760	g10055
OG0004543	Np003G137000	g29489
OG0004544	Np003G136570	g29504
OG0004545	Np003G135290	g45508, g29569
OG0004546	Np003G134240	g29601, g5518
OG0004547	Np003G133380	g29628
OG0004549	Np005G291510	g24180
OG0004550	Np005G290280	g17444, g47298
OG0004552	Np005G283660	g47461
OG0004553	Np005G283690	g47463
OG0004554	Np005G282910	g17232
OG0004557	Np004G201880	g53976
OG0004558	Np004G210950	g32318
OG0004559	Np004G211420	g32351, g50474
OG0004560	Np004G211450	g32354
OG0004561	Np004G213000	g32413
OG0004562	Np004G213370	g50526, g32445
OG0004563	Np004G214690	g32497, g27719
OG0004564	Np005G266510	g22999, g47919
OG0004565	Np005G266710	g22991, g47725
OG0004566	Np005G268110	g22924
OG0004567	Np005G261780, Np005G265030	g22718, g25970
OG0004568	Np005G310850	g46845
OG0004569	Np005G311170, Np002G097360	g46833
OG0004571	Np001G047480	g19507
OG0004572	Np006G340910	g51500
OG0004573	Np001G033490	g40673, g10905
OG0004574	Np006G340130	g38009, g51538
OG0004575	Np006G343720	g37073
OG0004576	Np003G179600	g25766, g25730
OG0004577	Np003G180070	g25741
OG0004578	Np003G184130	g25549
OG0004579	Np001G039780, Np001G039790	g40490
OG0004580	Np001G039740	g11053
OG0004581	Np001G035790	g40608
OG0004582	Np001G033400	g10903
OG0004583	Np005G291680, Np005G301570	g17612
OG0004584	Np005G309050, Np005G309090	g17880
OG0004585	Np005G306330	g24573
OG0004586	Np007G382740	g11835
OG0004587	Np006G324000	g37619, g52266
OG0004588	Np006G324740	g37587, g38243
OG0004589	Np006G325440	g52183, g37562
OG0004590	Np006G325450	g37561
OG0004591	Np006G325500	g37558
OG0004592	Np006G326980	g37502
OG0004593	Np003G126490	g29857
OG0004594	Np003G127600	g45352, g5737
OG0004595	Np003G148970	g28923
OG0004596	Np003G149350	g41380
OG0004597	Np003G150280	g28879, g786
OG0004598	Np003G150800	g28865, g808
OG0004599	Np001G006500	g9824
OG0004600	Np001G005470, Np001G005510	g9809, g275
OG0004601	Np001G004940	g9787, g253
OG0004602	Np001G004330	g222
OG0004604	Np001G002990	g9711, g149
OG0004605	Np001G001780	g69
OG0004606	Np001G000940	g9638, g19646
OG0004607	Np001G053020	g2486, g19318
OG0004609	Np003G186890	g39553
OG0004610	Np001G041340	g11111
OG0004611	Np006G357650	g37953
OG0004612	Np006G355260	g39838
OG0004613	Np006G360020	g51115
OG0004613	Np004G251910	g49572
OG0004614	Np006G361060	g36766
OG0004615	Np006G360690, Np006G357970	g40105
OG0004616	Np007G424930	g54308
OG0004617	Np007G425100	g18346
OG0004618	Np003G140900	g29327
OG0004618	Np007G425430	g5221
OG0004619	Np007G425470	g12725
OG0004620	Np007G414310	g7539, g12413, g12986
OG0004621	Np007G423060, Np003G143530	g12674
OG0004622	Np003G143950, Np007G422810	g7838
OG0004623	Np007G421260	g7798
OG0004624	Np007G418060	g7687, g12527
OG0004625	Np007G417880	g7683, g12516
OG0004626	Np007G417670	g7665
OG0004627	Np007G417630	g12508
OG0004628	Np007G417270	g7653, g12494
OG0004629	Np007G415510	g7594
OG0004630	Np007G415140	g12435, g7573
OG0004631	Np007G415080	g7570
OG0004632	Np007G414810	g12984
OG0004633	Np007G414780	g7558
OG0004634	Np006G331450	g51914
OG0004635	Np006G331970	g37349
OG0004636	Np006G332010	g51871, g37350
OG0004637	Np006G332350	g51861
OG0004638	Np006G333220	g51801
OG0004639	Np006G339220	g51579
OG0004640	Np006G339140	g51584
OG0004641	Np006G338240	g51609, g38050
OG0004643	Np006G335100	g37289
OG0004644	Np004G240380	g27328
OG0004645	Np004G240320	g31626, g49955
OG0004646	Np004G238110, Np004G238090	g31736, g27397
OG0004647	Np004G237210	g50049, g31788
OG0004648	Np004G235600	g50108
OG0004649	Np004G233960	g50193
OG0004650	Np004G232940	g32018, g27508
OG0004651	Np004G230400	g50293
OG0004652	Np004G230070, Np004G230100	g32095
OG0004653	Np004G230130	g50298, g32097
OG0004654	Np004G227000	g32138
OG0004655	Np005G282090	g17206
OG0004657	Np005G281570	g23816, g17192
OG0004658	Np005G280260, Np005G305270	g17155
OG0004659	Np006G364380	g51034
OG0004661	Np004G245180	g31391
OG0004662	Np004G248640	g49724
OG0004663	Np004G248920	g49719
OG0004664	Np004G249300, Np004G194760	g31214
OG0004665	Np004G249630	g31188, g27086
OG0004667	Np004G250210	g27060
OG0004668	Np004G250810	g49674, g31123
OG0004669	Np004G251410	g31097
OG0004670	Np004G252530	g31045
OG0004671	Np004G255310	g30899, g49469
OG0004672	Np003G141130	g45655
OG0004673	Np003G143550	g5045
OG0004674	Np003G145170	g29013, g4963
OG0004675	Np003G145250	g29020
OG0004676	Np003G146340	g29048, g41467
OG0004677	Np003G146420	g29062
OG0004678	Np003G147020	g29094
OG0004679	Np001G014440	g18520
OG0004680	Np001G015480	g10157
OG0004681	Np001G015890	g10181
OG0004682	Np001G016510	g10199, g4640
OG0004683	Np001G017610	g10260
OG0004685	Np003G140600	g28125, g5248, g29338
OG0004686	Np001G018090	g10295
OG0004687	Np001G064810	g2027, g18883
OG0004688	Np003G131630	g45451, g5602, g29689
OG0004689	Np003G130330	g5642, g45425
OG0004690	Np003G129020	g45400, g29790, g5688
OG0004691	Np001G013360	g35651
OG0004692	Np001G013270	g611
OG0004693	Np001G012540	g10046
OG0004694	Np001G010340	g479
OG0004695	Np001G008490	g9877
OG0004696	Np001G007750	g375
OG0004697	Np001G007560	g365, g18604
OG0004698	Np001G007450	g362
OG0004699	Np001G007320	g357, g18607
OG0004700	Np001G006870	g332
OG0004701	Np001G052690	g19336
OG0004702	Np001G049550, Np001G010900	g19440, g19452, g2681
OG0004703	Np001G048500	g2715
OG0004705	Np007G387530	g11695, g13520
OG0004706	Np001G043550	g11503
OG0004707	Np002G087290	g45787, g44766
OG0004708	Np002G087060	g45796
OG0004709	Np002G086180	g44716
OG0004710	Np002G083190	g44622
OG0004711	Np002G082760	g45957
OG0004712	Np002G076540	g46266
OG0004715	Np005G315910, Np004G208910	g27598, g50369
OG0004716	Np002G079150	g44515
OG0004717	Np004G237840	g50028
OG0004718	Np002G072670	g44342
OG0004719	Np002G071580	g46541
OG0004720	Np002G071180	g46562
OG0004721	Np002G070970	g46573
OG0004722	Np002G070890	g44288
OG0004723	Np002G070800	g44284
OG0004724	Np005G309690	g44283
OG0004725	Np004G240870	g27304, g49941, g31601
OG0004727	Np007G408440	g12260, g7275
OG0004728	Np007G408050	g13154, g12250
OG0004730	Np007G406370	g12211
OG0004731	Np007G404920	g7134, g13228
OG0004732	Np007G404750	g13230, g7122
OG0004733	Np007G403910, Np007G403920	g7083
OG0004734	Np007G391480	g13271
OG0004735	Np004G199900	g54043
OG0004737	Np003G171540	g6864
OG0004738	Np007G395060	g11988, g6855
OG0004739	Np007G395390	g13326, g11978
OG0004740	Np007G397770	g6761
OG0004741	Np007G381480	g6670
OG0004742	Np007G383300	g11817, g6580, g13426
OG0004743	Np007G383420	g6579, g13429
OG0004744	Np007G384280	g11763
OG0004745	Np007G384620	g6535, g11759, g13464
OG0004746	Np007G385920	g11733, g6485
OG0004748	Np002G081060, Np007G397420, Np002G081050, Np002G081040	g46064
OG0004749	Np007G377190, Np007G377170	g13708
OG0004750	Np007G373320	g5956
OG0004751	Np007G372150	g5911, g13858
OG0004752	Np004G190600	g36737
OG0004754	Np004G196630, Np004G196920	g28054
