Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa
OG0000867	Ag004G358980	jg2094, jg1355, jg2095
OG0000868	Ag006G504890	jg4451, jg4440
OG0000868	Ag005G472080	jg25143
OG0000869	Ag006G577470, Ag002G121910, Ag002G114230	jg20329
OG0000870	Ag007G583530	jg31345
OG0000870	Ag002G159030, Ag002G159010	jg18476
OG0000871	Ag005G489180	jg24070
OG0000872	Ag007G589670	jg18325, jg18324, jg18323
OG0000873	Ag007G631110	jg5682
OG0000875	Ag004G314340	jg29010
OG0000876	Ag005G409160, Ag008G724550, Ag008G724540	jg6137, jg6138
OG0000877	Ag003G274620	jg20005
OG0000878	Ag003G294460, Ag003G294430, Ag003G294420	jg8429
OG0000878	Ag003G294060	jg32895
OG0000883	Ag005G484870	jg24372
OG0000884	Ag004G353370	jg2396
OG0000885	Ag008G704490	jg22684
OG0000885	Ag003G253370	jg9631
OG0000886	Ag007G584700	jg32661
OG0000886	Ag002G158020	jg20963
OG0000887	Ag003G213870, Ag002G204700, Ag002G204690	jg13747
OG0000888	Ag001G088010	jg15877
OG0000888	Ag002G194610	jg19566
OG0000889	Ag001G078360	jg15476
OG0000889	Ag001G051830	jg14428
OG0000890	Ag001G073000	jg15302
OG0000890	Ag002G172480	jg18906, jg18903
OG0000891	Ag004G339540	jg30806
OG0000892	Ag008G720590, Ag008G720600, Ag008G720630, Ag008G720610	jg6431, jg6432
OG0000895	Ag008G694860	jg26907
OG0000897	Ag002G174700, Ag002G174620, Ag005G408970	jg18954
OG0000898	Ag001G009820	jg33382
OG0000900	Ag004G318270	jg29813, jg29812
OG0000901	Ag002G106430, Ag002G106470, Ag002G110090, Ag002G110360, Ag002G106760, Ag002G135500, Ag002G137030, Ag002G110470, Ag002G106810, Ag002G110430, Ag002G106860, Ag002G107110, Ag002G106330, Ag002G110030, Ag002G106310, Ag002G110010, Ag002G106320, Ag004G383690, Ag004G383680, Ag004G383700, Ag004G383670, Ag004G383660, Ag001G101940, Ag004G310630	jg10994
OG0000902	Ag005G448830, Ag006G499950, Ag006G556040, Ag004G380760, Ag006G500460	jg4293
OG0000903	Ag007G606890, Ag007G607170, Ag007G583600	jg14283
OG0000904	Ag007G604670	jg11616, jg4867
OG0000905	Ag007G604440	jg4857
OG0000906	Ag008G732010	jg23499
OG0000906	Ag007G604020	jg4825
OG0000907	Ag006G574330, Ag002G110330, Ag002G106670	jg10729
OG0000908	Ag003G295200	jg8394
OG0000908	Ag003G289930, Ag001G092530, Ag004G376260, Ag002G120590, Ag005G420800, Ag005G483400	jg24466
OG0000908	Ag006G521610	jg16581
OG0000909	Ag007G621310	jg5442
OG0000910	Ag008G711150, Ag008G711120, Ag003G236560	jg22955
OG0000911	Ag002G133270, Ag002G133320, Ag001G062160	jg14942, jg14941
OG0000912	Ag006G510040	jg7958
OG0000912	Ag002G176780, Ag004G300100	jg28612
OG0000913	Ag003G241770	jg29754
OG0000913	Ag004G344730	jg2676
OG0000914	Ag005G486360	jg24177, jg24255, jg24176, jg7690, jg24286, jg24172, jg24174, jg24193, jg24178
OG0000915	Ag001G070720	jg15216
OG0000915	Ag002G166980	jg18775
OG0000916	Ag004G320820, Ag004G320800	jg29926
OG0000917	Ag004G317260	jg29767
OG0000919	Ag005G458750, Ag005G458780, Ag005G458790, Ag005G458810	jg25817, jg25816, jg25818
OG0000920	Ag001G003990, Ag001G003980	jg12718, jg33625
OG0000921	Ag001G018380	jg33086
OG0000921	Ag001G018330	jg33085
OG0000921	Ag001G018360, Ag001G018970	jg33087
OG0000922	Ag006G509700, Ag001G082520, Ag005G427430	jg27278, jg13797, jg27161, jg18580, jg32561, jg4401, jg32394, jg26773, jg13933, jg11854, jg1315, jg15088, jg27178, jg27104, jg17082, jg1041, jg2852, jg1909, jg20322, jg6077, jg702, jg1977, jg20323, jg303, jg1835, jg32395, jg4402, jg32562, jg32563, jg4403, jg32564, jg4404, jg26772
OG0000923	Ag004G387270, Ag004G392580, Ag004G387190, Ag004G392440, Ag004G387200, Ag004G392470, Ag004G392480, Ag004G392490, Ag004G387180, Ag004G392560, Ag004G392650, Ag004G387380, Ag004G392640, Ag004G387370	jg21656, jg21659
OG0000924	Ag005G412730	jg8700, jg1421, jg27961
OG0000930	Ag005G404930	jg28171
OG0000930	Ag003G257690	jg9502
OG0000931	Ag001G080410, Ag005G478820	jg24768
OG0000931	Ag005G473850	jg25061
OG0000932	Ag002G171550	jg18876
OG0000933	Ag008G681890	jg21929
OG0000933	Ag007G585580	jg9907
OG0000935	Ag002G129910	jg7798
OG0000935	Ag006G564030	jg10452, jg7875
OG0000936	Ag006G565840	jg10403
OG0000937	Ag006G544390, Ag006G543190	jg10089, jg10087
OG0000938	Ag003G292310	jg8435
OG0000938	Ag003G294240	jg8434
OG0000939	Ag006G521150	jg16556, jg16555
OG0000940	Ag003G286800	jg8755
OG0000941	Ag001G037490	jg11370
OG0000941	Ag005G434080	jg26624
OG0000941	Ag004G304180	jg28889
OG0000943	Ag005G483340	jg6610
OG0000944	Ag002G197120	jg19679, jg16002
OG0000945	Ag005G481800	jg24564, jg24562
OG0000946	Ag006G491460	jg3859
OG0000946	Ag006G491470	jg3860, jg16714
OG0000947	Ag005G489830	jg24028
OG0000950	Ag007G635230	jg6584
OG0000952	Ag002G197770	jg19708
OG0000953	Ag001G060070	jg14879
OG0000954	Ag005G450110	jg26078
OG0000954	Ag005G450090	jg14083
OG0000955	Ag001G006030	jg32196
OG0000955	Ag004G337720	jg32224, jg32208, jg32206, jg32195, jg32207, jg32199, jg32198
OG0000961	Ag003G209290, Ag003G209170, Ag003G209180	jg2125, jg2124, jg2121, jg2120
OG0000962	Ag007G650200	jg12592
OG0000963	Ag005G477250	jg24865
OG0000964	Ag001G041470	jg21623, jg21625, jg21627, jg21626
OG0000965	Ag005G468820	jg25350, jg2759
OG0000965	Ag006G571620	jg10655
OG0000966	Ag016G742560	jg10631
OG0000966	Ag006G571080, Ag006G571000, Ag006G571070, Ag006G571040	jg10635
OG0000967	Ag006G534460	jg32270
OG0000967	Ag004G338710	jg30781
OG0000968	Ag004G372910, Ag004G372970, Ag004G388290, Ag004G388440, Ag004G387500, Ag004G393410, Ag004G388300, Ag004G393460, Ag004G388450, Ag001G022730	jg12252
OG0000969	Ag002G126260, Ag002G126300	jg20692
OG0000970	Ag008G734440	jg23657
OG0000971	Ag006G566210, Ag006G566150, Ag002G133380, Ag005G450140, Ag003G234720	jg15518, jg15536
OG0000972	Ag005G482730, Ag001G085130, Ag005G482780	jg24510
OG0000973	Ag005G482050	jg24551
OG0000974	Ag007G655720	jg18768, jg12734, jg12735
OG0000975	Ag004G332690, Ag004G332610	jg30501
OG0000976	Ag004G321840, Ag004G321930, Ag004G321920	jg29973, jg7378, jg29974, jg11940
OG0000977	Ag004G343430	jg14502
OG0000977	Ag002G104830	jg14496
OG0000978	Ag001G000370	jg14343, jg14340
OG0000979	Ag001G030400	jg11119
OG0000979	Ag001G032290	jg11120
OG0000980	Ag002G204480, Ag002G204510, Ag002G205410, Ag002G205470, Ag002G205530, Ag002G205600, Ag002G205520, Ag002G205460, Ag002G205590, Ag002G204530, Ag002G204460, Ag002G204490, Ag005G486030, Ag005G486040, Ag005G486050	jg18485, jg6472
OG0000980	Ag007G644970	jg12609
OG0000982	Ag008G687800	jg27301
OG0000983	Ag008G715890, Ag008G715860, Ag008G715790, Ag008G715650	jg2130, jg2132, jg6021, jg5565, jg6017, jg6019, jg6025
OG0000986	Ag004G401100, Ag003G268150	jg9281, jg15331
OG0000987	Ag004G384140, Ag007G578930	jg31803
OG0000988	Ag006G501550	jg4336
OG0000989	Ag002G180510	jg21043
OG0000990	Ag006G575920, Ag002G116550	jg20424
OG0000991	Ag006G540660	jg31960
OG0000991	Ag006G540640	jg31965
OG0000992	Ag006G521790	jg16591, jg16590
OG0000992	Ag003G295070	jg8403
OG0000993	Ag005G426760	jg12547
OG0000994	Ag007G592850	jg18055, jg18056
OG0000994	Ag007G592860	jg18054
OG0000995	Ag007G590980	jg18215
OG0000996	Ag004G305800	jg29018
OG0000997	Ag004G318150	jg29807
OG0000998	Ag002G182950	jg19189
OG0000998	Ag001G078690	jg15488
OG0000999	Ag003G288430, Ag003G288450, Ag003G288460, Ag003G288440	jg31133, jg7067, jg7068, jg7073, jg7069, jg7075, jg7071, jg7162
OG0001000	Ag007G615900, Ag007G615960	jg5307
OG0001001	Ag008G720120, Ag004G378400, Ag008G720060, Ag008G720070	jg6084, jg6489, jg6488
OG0001002	Ag005G469530, Ag005G469570	jg25314
OG0001003	Ag001G008110	jg33452
OG0001004	Ag002G185100	jg32567, jg21684, jg12616
OG0001008	Ag003G257270	jg9507, jg9508
OG0001008	Ag003G257150	jg9509
OG0001009	Ag003G272930	jg9458
OG0001009	Ag003G258530	jg9459
OG0001009	Ag003G229320	jg21337
OG0001010	Ag007G578710	jg31821
OG0001010	Ag002G164050	jg18686
OG0001011	Ag007G578540, Ag007G578530	jg31842, jg11449
OG0001012	Ag004G367190	jg1331
OG0001012	Ag004G310400	jg29324
OG0001013	Ag004G334210, Ag004G334230	jg1830, jg1707, jg1823, jg1828
OG0001015	Ag007G585540, Ag004G399030, Ag004G399130, Ag004G401170	jg9904
OG0001016	Ag007G606390	jg4939
OG0001017	Ag008G733230, Ag008G733300	jg23572, jg11031, jg6627
OG0001017	Ag007G605060	jg4882
OG0001018	Ag007G601520	jg4707, jg6212
OG0001019	Ag006G577240	jg10852
OG0001019	Ag001G052900	jg14044
OG0001020	Ag006G576710	jg10819
OG0001020	Ag002G119270	jg20391
OG0001021	Ag001G098280	jg16365
OG0001021	Ag002G206470	jg20203
OG0001022	Ag002G205560, Ag002G205450	jg20137
OG0001022	Ag007G616300, Ag007G616230	jg5311
OG0001022	Ag001G097170	jg16301
OG0001023	Ag008G713060	jg6134
OG0001024	Ag007G591110	jg18204
OG0001024	Ag007G591120	jg18203
OG0001025	Ag004G305870	jg29024
OG0001026	Ag005G490440	jg23976
OG0001026	Ag007G617280	jg5336
OG0001027	Ag004G316910, Ag004G316920	jg29811
OG0001027	Ag004G316860	jg29746
OG0001028	Ag001G077340	jg15453
OG0001029	Ag004G338100	jg30743
OG0001029	Ag003G216820	jg3434
OG0001030	Ag003G225590	jg3216
OG0001031	Ag004G333350	jg30524
OG0001031	Ag003G224310	jg3232
OG0001032	Ag003G219910	jg3321
OG0001032	Ag001G065830, Ag004G335930	jg30646
OG0001033	Ag001G086010	jg31189
OG0001033	Ag004G353890	jg2380
OG0001033	Ag002G190700	jg19423, jg19422
OG0001034	Ag003G241620	jg2682
OG0001035	Ag005G485720, Ag005G485730, Ag005G485740	jg24312, jg24311
OG0001036	Ag003G213340, Ag003G213360	jg3547
OG0001036	Ag003G213190, Ag003G213200	jg3549
OG0001036	Ag003G213320	jg3548
OG0001037	Ag003G210580	jg3666
OG0001037	Ag006G570330, Ag005G477620	jg33420
OG0001039	Ag001G025920	jg32909
OG0001039	Ag005G457580	jg25860
OG0001040	Ag001G010610	jg33325
OG0001040	Ag005G442290, Ag005G443580	jg26305
OG0001041	Ag006G563530	jg28144
OG0001041	Ag001G053920	jg14560
OG0001042	Ag001G009810	jg17233, jg7185, jg33590
OG0001042	Ag001G009670, Ag001G009650	jg12006, jg12011, jg12008, jg12013
OG0001043	Ag001G010130, Ag001G010170	jg33356, jg33357, jg33358
OG0001043	Ag001G010120, Ag001G010110	jg33359
OG0001043	Ag001G010100	jg33360
OG0001044	Ag001G078590	jg15482
OG0001044	Ag002G182360, Ag002G182330	jg19184
OG0001045	Ag003G229490, Ag003G227370, Ag003G227510, Ag003G227560	jg14394, jg14393
OG0001046	Ag004G360860	jg21001
OG0001047	Ag005G490120, Ag005G490210	jg24003, jg23997
OG0001048	Ag006G500370	jg3977, jg3978
OG0001048	Ag006G499720, Ag006G499410, Ag006G499420	jg4253, jg4997
OG0001051	Ag005G417440	jg27773, jg27726, jg27732, jg27719, jg27737
OG0001051	Ag003G283300	jg8852
OG0001052	Ag003G284530, Ag003G283870	jg8830, jg8829
OG0001053	Ag004G368540	jg1163
OG0001053	Ag004G310950	jg29371
OG0001056	Ag005G475450	jg24985
OG0001057	Ag004G381450	jg9678
OG0001057	Ag002G203230	jg22194
OG0001058	Ag003G286850	jg8752
OG0001059	Ag002G102850	jg20607
OG0001059	Ag008G704200, Ag006G569720	jg10607
OG0001060	Ag001G037950	jg11413
OG0001060	Ag005G432380	jg26647
OG0001061	Ag005G436340	jg26538
OG0001061	Ag001G036430	jg11306
OG0001062	Ag008G734190	jg23642
OG0001063	Ag001G022580	jg17849
OG0001064	Ag002G170730	jg18849
OG0001064	Ag001G072080	jg15258
OG0001065	Ag002G171290	jg18869
OG0001065	Ag001G072550	jg15277
OG0001066	Ag002G171350	jg18870
OG0001066	Ag001G072590	jg15273, jg15278
OG0001067	Ag003G212210	jg3588
OG0001067	Ag004G325430	jg30153, jg30176, jg30164
OG0001068	Ag005G484940	jg24364
OG0001068	Ag003G239880	jg2872
OG0001069	Ag003G227650	jg3160
OG0001069	Ag004G332070	jg30461
OG0001070	Ag003G247160	jg31165
OG0001070	Ag005G415800	jg27873
OG0001071	Ag004G319670	jg29884
OG0001071	Ag004G319700	jg29885
OG0001072	Ag005G457860, Ag004G381180, Ag002G184210, Ag006G495420, Ag008G723360	jg6239
OG0001073	Ag002G121140, Ag002G115220, Ag007G581390	jg1251, jg1262
OG0001073	Ag005G456010	jg2042, jg2041
OG0001074	Ag003G228760, Ag003G228720	jg3139
OG0001075	Ag005G462970	jg25610
OG0001076	Ag005G475140, Ag001G056780	jg25619
OG0001077	Ag003G273100, Ag003G273050, Ag003G273070, Ag003G273110, Ag003G272850, Ag003G272960, Ag003G272800	jg9188
OG0001077	Ag002G105880	jg9189
OG0001084	Ag005G403690	jg28276
OG0001084	Ag003G254320	jg9585
OG0001085	Ag005G405350	jg28168
OG0001086	Ag003G276320	jg9040
OG0001086	Ag003G276420, Ag003G276350	jg27410
OG0001087	Ag003G282330	jg8886
OG0001087	Ag003G282350	jg8885
OG0001088	Ag008G671230, Ag001G058180	jg13541
OG0001089	Ag008G678430	jg13663
OG0001089	Ag008G728030, Ag004G349920	jg13660
OG0001090	Ag002G176920	jg27422
OG0001090	Ag001G063180	jg12296
OG0001091	Ag008G691170	jg14312, jg14711
OG0001091	Ag008G677410	jg21750
OG0001092	Ag006G505480	jg4503
OG0001092	Ag006G505510, Ag006G504320, Ag006G505500, Ag006G505530, Ag006G505570, Ag006G504330, Ag006G505520	jg4502
OG0001093	Ag008G719510	jg5795
OG0001093	Ag007G609150	jg5058
OG0001094	Ag007G604040	jg4827
OG0001094	Ag008G732610	jg23531
OG0001095	Ag001G020780, Ag001G020940	jg11654, jg11656, jg11652
OG0001096	Ag001G086120	jg15824
OG0001096	Ag002G192900	jg19495
OG0001097	Ag001G023420	jg2257
OG0001097	Ag008G707570	jg22831, jg22832
OG0001097	Ag008G707580	jg32591
OG0001098	Ag008G733600	jg23601
OG0001099	Ag004G298420	jg28488, jg28485
OG0001099	Ag006G515610	jg8126
OG0001101	Ag007G614670	jg5285
OG0001101	Ag002G125370, Ag005G476370, Ag008G708680, Ag004G356080	jg5363
OG0001102	Ag005G489810	jg24030
OG0001102	Ag007G619710	jg5397
OG0001103	Ag005G485510	jg24328
OG0001104	Ag007G637790, Ag005G484730	jg6739
OG0001105	Ag003G209360	jg3703
OG0001105	Ag004G323900	jg30070
OG0001106	Ag004G325680	jg30195, jg30208
OG0001106	Ag003G212520	jg3568
OG0001108	Ag003G229540	jg3123
OG0001108	Ag004G331110	jg30415
OG0001109	Ag003G217700, Ag003G217610, Ag003G217570	jg3419
OG0001109	Ag004G337880	jg30729
OG0001110	Ag004G347160, Ag004G347010	jg2593
OG0001111	Ag004G355900	jg2271
OG0001111	Ag008G726950	jg31267
OG0001112	Ag002G130780	jg21536
OG0001113	Ag006G505670	jg4512
OG0001114	Ag006G504590, Ag006G504580	jg4429
OG0001115	Ag003G239710	jg2877
OG0001115	Ag004G327150	jg30259
OG0001116	Ag001G010770	jg33315
OG0001116	Ag005G442620, Ag005G443770	jg26291
OG0001117	Ag001G032650	jg11124
OG0001118	Ag008G687180	jg33633
OG0001120	Ag003G286910	jg8744
OG0001120	Ag005G414500	jg27913
OG0001121	Ag008G693860, Ag008G694200	jg22307, jg22306, jg1417, jg13836, jg13841, jg13833
OG0001124	Ag005G407270, Ag005G403560	jg28262
OG0001124	Ag003G251080	jg9742
OG0001125	Ag007G579160	jg31773
OG0001127	Ag004G321030	jg29938
OG0001127	Ag003G225890	jg13023
OG0001128	Ag004G318380	jg29821
OG0001129	Ag006G514020	jg13692, jg13688
OG0001130	Ag008G674550	jg13868
OG0001130	Ag007G647640	jg12423
OG0001131	Ag008G702130	jg22621
OG0001132	Ag006G494530	jg4038
OG0001132	Ag005G476670	jg24897
OG0001133	Ag003G250820, Ag008G694900	jg9766, jg22342
OG0001134	Ag007G611750, Ag007G611740	jg5156, jg5157
OG0001135	Ag008G731910	jg23492
OG0001135	Ag007G603720	jg4818
OG0001136	Ag006G576750	jg10825
OG0001136	Ag002G120100	jg20383
OG0001137	Ag002G103820	jg20557
OG0001137	Ag006G571520	jg10653
OG0001138	Ag006G553570	jg10311
OG0001138	Ag005G490060, Ag003G279670	jg24109, jg24007
OG0001139	Ag007G583870	jg31314
OG0001139	Ag004G374810	jg31258
OG0001140	Ag003G287800	jg8730, jg27924
OG0001141	Ag001G052110	jg14452
OG0001142	Ag005G437730	jg26493
OG0001142	Ag001G035250	jg11263
OG0001143	Ag002G201140	jg19898
OG0001143	Ag001G093220	jg16116
OG0001144	Ag001G092190	jg16068
OG0001144	Ag002G199410	jg19799
OG0001145	Ag005G483750, Ag005G483770, Ag005G483830	jg24450, jg24448
OG0001146	Ag008G730280, Ag002G191440	jg19447
OG0001146	Ag005G475750	jg24967
OG0001147	Ag004G381030	jg630
OG0001149	Ag001G067640	jg15001
OG0001149	Ag001G099510	jg23765
OG0001150	Ag007G621120	jg5436
OG0001150	Ag005G489140	jg24074
OG0001151	Ag005G480860	jg24624
OG0001152	Ag001G081200	jg15602
OG0001152	Ag002G187340	jg19316
OG0001154	Ag003G227190	jg3174
OG0001154	Ag004G332220	jg30473
OG0001155	Ag003G222900	jg3255
OG0001156	Ag003G242280	jg30926
OG0001156	Ag004G345210	jg2654
OG0001157	Ag004G313710, Ag004G313780, Ag004G313850, Ag007G620330, Ag004G313760, Ag004G313840, Ag004G313870, Ag004G313820, Ag004G313830	jg29566
OG0001158	Ag004G344270	jg355
OG0001158	Ag003G241390	jg30879
OG0001159	Ag003G219730	jg3327
OG0001159	Ag003G219740	jg19205, jg3326
OG0001160	Ag001G001780	jg33709
OG0001161	Ag005G443670, Ag005G442360	jg26300
OG0001161	Ag001G010660	jg33322
OG0001164	Ag008G727950, Ag008G727990, Ag008G728080, Ag006G510130	jg23220, jg23215, jg23203
OG0001165	Ag007G607380	jg4972
OG0001165	Ag007G607330, Ag007G607360	jg4971, jg4967
OG0001166	Ag008G722380	jg16599
OG0001169	Ag003G290250, Ag008G688460, Ag008G690000	jg22198, jg22200
OG0001170	Ag005G484070	jg24430
OG0001170	Ag007G636930	jg6648
OG0001171	Ag004G373820	jg886
OG0001172	Ag008G662530	jg13151
OG0001172	Ag004G319120	jg29852
OG0001173	Ag007G619670	jg9846
OG0001173	Ag004G399590	jg412
OG0001174	Ag005G474660	jg25014
OG0001175	Ag008G698260	jg22465
OG0001176	Ag008G733000	jg23556
OG0001176	Ag007G604920	jg4874
OG0001177	Ag007G600560	jg4634, jg14358, jg4637
OG0001178	Ag007G600270	jg4621
OG0001178	Ag008G725720, Ag008G725690, Ag008G725670, Ag008G725680	jg23074
OG0001179	Ag006G574110	jg10720
OG0001179	Ag001G039020	jg11529
OG0001180	Ag002G103040	jg20595
OG0001181	Ag006G566890	jg10383
OG0001181	Ag002G138060, Ag002G134550	jg7745
OG0001182	Ag002G160010	jg18509
OG0001182	Ag007G582580	jg31415
OG0001183	Ag003G286590	jg8761
OG0001183	Ag005G414160	jg27903
OG0001184	Ag001G095850	jg16249
OG0001184	Ag002G203750	jg20066
OG0001185	Ag001G095120	jg16219
OG0001185	Ag002G203300	jg20033
OG0001186	Ag001G090390	jg15975
OG0001186	Ag001G090400	jg15976, jg15977
OG0001187	Ag007G589410	jg18303
OG0001187	Ag004G303790	jg28862
OG0001188	Ag006G504540	jg4425
OG0001188	Ag001G003180, Ag007G593130	jg18046
OG0001189	Ag001G100580	jg23930
OG0001189	Ag007G614050	jg5261
OG0001190	Ag005G486330	jg24256
OG0001190	Ag007G631480	jg5660
OG0001191	Ag007G637060	jg6657
OG0001191	Ag005G484150	jg24422
OG0001192	Ag005G480920	jg24621
OG0001193	Ag001G079120	jg15507
OG0001193	Ag002G183840	jg19207
OG0001194	Ag001G080130	jg15557
OG0001194	Ag005G478840	jg24767
OG0001195	Ag004G327380	jg30264
OG0001195	Ag003G239510	jg2883
OG0001196	Ag003G227660	jg3159
OG0001196	Ag004G332040	jg30459
OG0001197	Ag008G715480, Ag001G075470	jg15387
OG0001198	Ag003G225960, Ag003G226030, Ag003G225920, Ag003G226040, Ag007G636000	jg6607
OG0001200	Ag008G719020	jg5849
OG0001200	Ag001G002520	jg33684
OG0001200	Ag001G002590, Ag001G002580	jg33683
OG0001201	Ag008G723680	jg6213
OG0001201	Ag008G690580	jg14699
OG0001202	Ag001G060360	jg14885
OG0001203	Ag001G083410	jg14145, jg14144, jg14146
OG0001204	Ag002G193050, Ag002G193140, Ag002G193160, Ag002G193200, Ag002G193070, Ag002G193130, Ag002G193220, Ag002G193180, Ag003G213790, Ag003G213830, Ag003G213680	jg11190
OG0001205	Ag005G464330	jg25545
OG0001207	Ag005G459790	jg25765
OG0001208	Ag001G021110	jg33029, jg33033
OG0001208	Ag005G452970	jg26016
OG0001209	Ag001G019490, Ag001G018930	jg33077
OG0001209	Ag005G451020	jg26048
OG0001211	Ag002G112890	jg33744
OG0001211	Ag002G176250	jg16757
OG0001213	Ag001G021790	jg21128
OG0001213	Ag006G521830, Ag004G378420	jg26658
OG0001216	Ag002G116190, Ag002G116210, Ag002G116130, Ag002G188590, Ag002G188550, Ag002G195510, Ag005G402450, Ag003G283250, Ag002G191210, Ag002G188630	jg19367
OG0001217	Ag005G465520	jg11181
OG0001218	Ag005G484660	jg24387
OG0001218	Ag005G484370	jg24407, jg24406
OG0001220	Ag008G714370	jg6092, jg7080, jg6088
OG0001222	Ag003G268120	jg9282
OG0001224	Ag004G309570	jg29280, jg29281
OG0001224	Ag004G366390	jg1418
OG0001225	Ag008G667510, Ag004G374180	jg13381, jg13382, jg13379
OG0001226	Ag002G117630	jg13572
OG0001226	Ag002G117640	jg13573
OG0001227	Ag005G476860	jg24887
OG0001227	Ag006G494080	jg4017
OG0001228	Ag002G174110, Ag001G081960	jg17395, jg17346
OG0001229	Ag004G384940, Ag004G385000, Ag004G385040, Ag004G384980, Ag004G385090, Ag004G384970	jg22576
OG0001230	Ag008G726560	jg23126
OG0001230	Ag006G507850	jg4575, jg4444
OG0001231	Ag008G726750	jg23135
OG0001231	Ag006G507570	jg4568
OG0001232	Ag006G572620	jg10699
OG0001233	Ag006G550770	jg10234
OG0001233	Ag003G263830, Ag003G263190, Ag008G694510, Ag002G143510	jg7592
OG0001234	Ag003G226160	jg3202
OG0001235	Ag005G416000	jg27866
OG0001235	Ag003G285490	jg8802
OG0001236	Ag001G034230	jg11203
OG0001236	Ag007G589320	jg18299
OG0001237	Ag002G202710	jg19988
OG0001237	Ag001G094450	jg16192
OG0001238	Ag002G202580	jg19977
OG0001238	Ag001G094230	jg16175
OG0001239	Ag001G091800	jg16050
OG0001239	Ag002G198750	jg19763
OG0001240	Ag002G197810	jg19713
OG0001240	Ag002G197860	jg19711
OG0001240	Ag002G197900	jg19712
OG0001241	Ag002G197710	jg19702, jg19703
OG0001241	Ag002G197700, Ag002G197690	jg19701
OG0001242	Ag006G495160	jg4060
OG0001242	Ag005G476520	jg24908
OG0001243	Ag008G719290	jg5820
OG0001243	Ag004G356370	jg2253
OG0001245	Ag001G063060	jg14969
OG0001245	Ag004G353940, Ag001G099840	jg23750
OG0001246	Ag006G513920	jg8077
OG0001247	Ag007G599530	jg7869
OG0001247	Ag005G479440	jg24716
OG0001248	Ag007G594610, Ag007G594590	jg17909, jg17916, jg17915
OG0001249	Ag008G725240, Ag002G176480	jg19025
OG0001250	Ag007G618640	jg5372
OG0001250	Ag005G490080	jg24005
OG0001251	Ag005G489640	jg24046
OG0001251	Ag007G619870	jg5403
OG0001252	Ag005G489110	jg24078, jg24079
OG0001253	Ag005G483320	jg24473
OG0001253	Ag007G636010	jg6608
OG0001254	Ag001G011150	jg33288
OG0001254	Ag002G164800	jg18717
OG0001255	Ag003G214230	jg3517
OG0001255	Ag004G326380	jg30238
OG0001256	Ag003G238910	jg2909
OG0001256	Ag004G327570	jg30277
OG0001257	Ag003G237120	jg2961
OG0001257	Ag004G328540	jg30306
OG0001258	Ag004G331020	jg30410
OG0001258	Ag003G229650	jg3115
OG0001259	Ag004G332360, Ag004G332350	jg30483
OG0001259	Ag003G226980	jg3181
OG0001261	Ag004G320170	jg29906
OG0001261	Ag008G661310	jg13085
OG0001262	Ag004G319930	jg29896
OG0001262	Ag004G320000, Ag004G319960, Ag004G319980, Ag004G319970, Ag004G319950	jg29898, jg29897
OG0001263	Ag004G315430	jg29666
OG0001263	Ag004G380670	jg646
OG0001264	Ag005G469500	jg25318
OG0001264	Ag001G001400	jg33718
OG0001265	Ag001G010710	jg33318
OG0001265	Ag005G442590, Ag004G323700, Ag005G443740	jg26293
OG0001267	Ag002G127560, Ag002G127540	jg20731
OG0001268	Ag003G244900	jg31088
OG0001269	Ag007G582170, Ag007G582150	jg18527, jg31462, jg31461
OG0001274	Ag006G524860	jg16909
OG0001274	Ag003G267830	jg9294
OG0001275	Ag004G334620	jg30602
OG0001275	Ag003G283500	jg8847
OG0001276	Ag004G374720	jg854
OG0001276	Ag004G313130	jg29523
OG0001277	Ag004G376210, Ag004G376220	jg799
OG0001278	Ag008G670840	jg13526, jg13525, jg27026, jg27028
OG0001279	Ag007G617160	jg5333
OG0001279	Ag005G490470	jg23973
OG0001280	Ag007G605820, Ag001G076190	jg13715
OG0001280	Ag005G473800	jg12530
OG0001281	Ag005G451920, Ag004G354800, Ag004G322220, Ag007G656770	jg12791
OG0001282	Ag008G700450	jg9842, jg22571
OG0001283	Ag001G083190	jg15688
OG0001283	Ag002G189930	jg19397
OG0001284	Ag001G040840	jg21651
OG0001284	Ag008G728600	jg23248
OG0001285	Ag001G057310	jg22246
OG0001286	Ag008G694390	jg22329
OG0001287	Ag008G694960	jg22350
OG0001288	Ag007G607390	jg4974
OG0001288	Ag008G720640	jg6430
OG0001289	Ag006G577550	jg10870
OG0001289	Ag002G114270, Ag002G121960, Ag002G121970	jg20325
OG0001290	Ag002G146290	jg7488
OG0001290	Ag006G546920, Ag006G542020	jg10132
OG0001291	Ag006G540940	jg31943
OG0001292	Ag007G593410	jg18039
OG0001292	Ag005G490570	jg23963
OG0001293	Ag001G090280	jg15968
OG0001294	Ag006G522710	jg16662
OG0001294	Ag003G293330	jg8497
OG0001295	Ag001G025870	jg12285
OG0001296	Ag006G523450	jg16701
OG0001296	Ag002G206170, Ag008G733080	jg18635
OG0001297	Ag002G138870, Ag002G138840	jg7730
OG0001298	Ag001G035220	jg11261
OG0001299	Ag002G204170	jg20082
OG0001299	Ag002G204160	jg20081
OG0001299	Ag002G204150	jg20080
OG0001300	Ag001G086290	jg15832
OG0001300	Ag002G193700	jg19542
OG0001301	Ag001G085710	jg15809
OG0001301	Ag002G193350	jg19524
OG0001302	Ag008G733920	jg23623
