Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	jg10637
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	jg1458, jg1459, jg1457, jg13392, jg13393, jg13394
OG0000076	Ag001G002030	jg13388, jg13373, jg13390
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	jg8426
OG0000077	Ag003G215720	jg24794, jg20353
OG0000077	Ag003G290220, Ag006G569300	jg26791
OG0000077	Ag006G508210	jg32692, jg26472, jg32685, jg32682, jg8427
OG0000077	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	jg8424, jg8422
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	jg1000, jg934
OG0000078	Ag001G046650, Ag002G152760	jg13800, jg25795, jg13799, jg25794
OG0000079	Ag001G089410, Ag006G550580, Ag003G233720	jg15929
OG0000079	Ag001G084480	jg15921
OG0000079	Ag001G071340	jg15922
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	jg15911, jg15928
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860	jg1961
OG0000080	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	jg32859, jg32843, jg32550, jg32855, jg32866
OG0000080	Ag001G028300	jg32551, jg32841, jg32864, jg32857
OG0000080	Ag004G375350, Ag007G650150	jg18014
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	jg18020, jg18016, jg18005, jg18012, jg25262
OG0000081	Ag007G593730	jg5636
OG0000081	Ag007G628420	jg5637
OG0000083	Ag005G483950, Ag005G483960	jg32007, jg27544, jg27541
OG0000084	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620	jg16997
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	jg17005, jg20640
OG0000084	Ag008G724370	jg16996, jg16900, jg16897, jg16899
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	jg17289
OG0000086	Ag008G709530	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973
OG0000087	Ag008G723440	jg6235
OG0000087	Ag007G593840	jg17972
OG0000087	Ag007G609260	jg5068
OG0000087	Ag002G161340	jg18593
OG0000087	Ag002G127940	jg20749
OG0000087	Ag006G562620	jg10485
OG0000087	Ag003G224140	jg3235
OG0000088	Ag007G581970	jg17633
OG0000088	Ag008G717820	jg5910
OG0000089	Ag007G603320	jg4799
OG0000089	Ag005G453100, Ag001G021310	jg26012, jg33022
OG0000089	Ag002G193060	jg19507, jg19508, jg19509
OG0000089	Ag002G172950, Ag001G073120	jg18920, jg15311
OG0000089	Ag008G712440, Ag008G708620	jg22870, jg14433
OG0000090	Ag004G333760	jg4483, jg30544, jg16631
OG0000090	Ag003G223190	jg3251
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	jg8905
