Orthogroup	Alyssum_gmelinii	Odontarrhena_muralis
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	Om001G010250
OG0000024	Ag005G441710	Om010G364470, Om004G152890
OG0000025	Ag003G230310	Om002G073490, Om002G073430
OG0000026	Ag013G741580	Om002G080990
OG0000027	Ag006G546200, Ag005G439390	Om002G070390
OG0000027	Ag007G580660	Om005G224020
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	Om003G104120, Om007G318240, Om004G149360, Om007G299950, Om006G268370, Om001G035430, Om006G267550, Om004G151300, Om007G308810, Om003G104130, Om001G019310
OG0000029	Ag006G523440	Om008G343780
OG0000029	Ag002G168100, Ag004G354120	Om005G216790
OG0000029	Ag002G175390	Om005G225700, Om001G013080
OG0000029	Ag005G441680, Ag006G519730	Om001G020560, Om002G078670, Om007G309080, Om007G298320
OG0000029	Ag002G186330, Ag006G491400	Om006G262550, Om004G151510
OG0000029	Ag003G258710	Om007G298330
OG0000030	Ag008G659630, Ag006G491030	Om020G374410, Om004G155320
OG0000030	Ag004G349980, Ag003G277490	Om004G152960
OG0000030	Ag002G201000, Ag003G292120	Om001G005680
OG0000030	Ag007G611240	Om011G364950, Om004G165220
OG0000030	Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430	Om005G215420
OG0000030	Ag004G380470	Om004G165210
OG0000030	Ag004G398140	Om001G015000
OG0000030	Ag003G263120	Om006G265800
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740, Ag003G292140	Om005G226380
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	Ag002G111150, Ag002G107580	Om007G317990
OG0000033	Ag006G547230, Ag006G549390	Om001G010240
OG0000033	Ag006G547260, Ag006G549410	Om001G010210
OG0000033	Ag006G549590, Ag006G547470	Om001G010160, Om001G021690
OG0000033	Ag006G547300, Ag006G549510, Ag006G549470, Ag006G549530	Om001G010190, Om001G010170, Om001G010150
OG0000033	Ag006G543630, Ag006G543880	Om001G011550
OG0000033	Ag006G564890, Ag003G210460	Om001G007120
OG0000033	Ag006G547250, Ag006G549400	Om001G010220
OG0000033	Ag006G547380, Ag006G549570	Om001G010110
OG0000034	Ag004G372350	Om006G264160
OG0000034	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780	Om003G107450
OG0000034	Ag005G434950	Om008G350440, Om004G148920
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870	Om003G111610
OG0000034	Ag007G644830	Om007G308590
OG0000034	Ag007G637970	Om008G343530
OG0000034	Ag007G610710, Ag002G120190	Om001G019560
OG0000034	Ag004G354480	Om008G349540
OG0000034	Ag008G692130, Ag002G161700	Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190
OG0000034	Ag005G441910	Om005G219960, Om002G081730
OG0000034	Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310	Om002G079430
OG0000034	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930	Om009G362950
OG0000035	Ag004G307250, Ag007G591050, Ag002G132200	Om007G280400
OG0000035	Ag007G593340	Om005G227290, Om004G176320
OG0000035	Ag007G591090, Ag007G591040	Om007G280390
OG0000035	Ag007G589990, Ag006G499210	Om006G273920, Om002G042810
OG0000035	Ag002G183820	Om008G331040
OG0000035	Ag005G463540, Ag005G463520, Ag005G463530	Om002G060840
OG0000035	Ag003G212430	Om004G132400
OG0000035	Ag007G589940, Ag007G589950	Om008G334460
OG0000035	Ag007G590080, Ag007G590100	Om007G279790
OG0000036	Ag006G551100, Ag001G036210	Om007G312960
OG0000037	Ag001G053350	Om001G014920
OG0000037	Ag008G688330	Om006G267090
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770	Om005G196570
OG0000038	Ag003G211230, Ag003G211160, Ag003G211040	Om004G131590
OG0000038	Ag001G003660	Om003G091800
OG0000038	Ag007G594740, Ag007G591770, Ag004G335660, Ag006G511550, Ag006G511600, Ag001G056400	Om006G262290
OG0000038	Ag003G279120	Om001G029210
OG0000038	Ag005G471060	Om001G023300
OG0000038	Ag005G474640	Om002G053860
OG0000038	Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080	Om001G005520
OG0000039	Ag004G347330, Ag007G622120	Om008G321840
OG0000039	Ag003G277700, Ag003G245930, Ag007G625110, Ag005G408330, Ag001G093090, Ag001G022570, Ag005G448620, Ag004G337020	Om006G250590, Om002G057780
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	Om008G328570
OG0000041	Ag004G400760	Om002G075010
OG0000041	Ag002G143210, Ag008G685490, Ag006G552710	Om001G018420
OG0000042	Ag007G610350, Ag001G022920	Om007G298450
OG0000042	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270	Om004G177160
OG0000044	Ag001G054960	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	Om003G112290
OG0000045	Ag002G197550, Ag008G703200	Om001G031280
OG0000046	Ag006G575360	Om001G001900, Om001G001890
OG0000046	Ag006G575430	Om001G001860, Om001G001870
OG0000046	Ag002G129690, Ag002G129740	Om005G206750
OG0000047	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790	Om006G238470
OG0000047	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	Om007G295630
OG0000047	Ag005G457670	Om002G077780
OG0000047	Ag006G528150	Om001G020530
OG0000047	Ag004G385990, Ag006G499220, Ag001G091420, Ag002G161650, Ag006G525780, Ag006G566760, Ag002G142070	Om002G043900
OG0000047	Ag001G046570	Om003G111370
OG0000047	Ag007G585730, Ag007G603890	Om007G314310, Om002G071890, Om005G222620
OG0000048	Ag005G486480	Om002G045400
OG0000048	Ag005G486490	Om002G045440
OG0000050	Ag007G641850	Om007G308990
OG0000050	Ag001G062310	Om002G080890, Om003G112360
OG0000050	Ag007G656820, Ag001G040590, Ag001G089640, Ag008G665420	Om008G323460, Om006G268120
OG0000050	Ag002G134900	Om008G343650
OG0000050	Ag006G561100	Om002G077490
OG0000052	Ag004G301370	Om005G179650, Om008G361390
OG0000052	Ag004G301320	Om005G180640
OG0000052	Ag002G194170	Om008G354070, Om008G326640
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	Om008G326650
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	Om008G326590
OG0000052	Ag002G194440, Ag002G194380	Om008G326580
OG0000053	Ag006G525960	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	Ag007G634740, Ag006G513370	Om002G043200, Om007G279110, Om006G263890
OG0000054	Ag004G350340, Ag004G360080	Om002G057290
OG0000055	Ag004G334400	Om005G202820
OG0000055	Ag004G379910	Om005G227820, Om005G224840
OG0000055	Ag004G377140	Om008G333680
OG0000055	Ag002G180760	Om008G361740
OG0000055	Ag003G281400, Ag003G282390	Om008G332920, Om003G120530, Om005G198120
OG0000056	Ag003G260670, Ag001G057120	Om007G293600, Om007G317020, Om002G062780, Om004G164880
OG0000056	Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	Om007G309970
OG0000056	Ag001G076880	Om008G340700
OG0000056	Ag008G680730	Om005G220800, Om001G027140
OG0000056	Ag002G121000, Ag006G542770	Om008G361080, Om003G090740, Om007G293830, Om008G321670, Om005G209160, Om002G073230, Om001G006930, Om005G212260, Om003G107750, Om001G017780
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	Om004G172320, Om008G335030, Om004G172300
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110	Om006G274780, Om004G171770, Om006G269070, Om006G268950, Om004G151670
OG0000058	Ag004G332280	Om007G299580, Om006G274770, Om007G313880
OG0000058	Ag001G061500	Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940
OG0000058	Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790	Om004G141540
OG0000058	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190	Om006G251390
OG0000058	Ag006G516660	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000058	Ag003G229160	Om002G075570
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	Om003G092270, Om002G088980
OG0000059	Ag002G103440, Ag002G122810	Om001G008500
OG0000061	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650	Om006G238480
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	Om003G106600, Om008G345470, Om008G347220
OG0000061	Ag004G329090, Ag006G566820, Ag002G142080	Om006G268200, Om007G301100, Om002G047100
OG0000061	Ag006G573690	Om002G043890, Om005G177780, Om008G328920, Om003G114550
OG0000061	Ag006G525790	Om005G191460, Om007G312950, Om003G111810
OG0000061	Ag006G562400, Ag003G279160, Ag007G603910	Om008G353280, Om006G242410
OG0000061	Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330	Om001G020570
OG0000061	Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720	Om005G225030, Om004G146510, Om001G027660
OG0000062	Ag002G153690, Ag002G153580	Om002G057790
OG0000063	Ag001G073100	Om005G185480
OG0000063	Ag004G307570	Om006G245470
OG0000063	Ag004G307350	Om007G283280
OG0000063	Ag002G119010	Om005G185680
OG0000064	Ag003G295980	Om001G041080
OG0000064	Ag007G620570	Om008G354180, Om008G354110, Om008G354140, Om008G354160
OG0000064	Ag001G085940, Ag001G085950, Ag001G085960	Om003G121290, Om003G121300
OG0000064	Ag002G170580, Ag007G593140, Ag007G593150, Ag002G113130, Ag002G109120, Ag003G276120, Ag003G276160, Ag003G276060, Ag004G378360, Ag007G593160	Om004G157800
OG0000064	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090	Om001G033560
OG0000065	Ag009G735570	Om006G267840, Om005G217710
OG0000066	Ag003G225470	Om004G164550
OG0000066	Ag007G604700	Om008G337830, Om006G231860
OG0000066	Ag002G125900	Om004G165570
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	Om001G023220
OG0000067	Ag005G407040, Ag005G407080, Ag005G407050	Om004G137760
OG0000067	Ag007G607200, Ag007G607230	Om004G163960, Om004G163910, Om001G022040, Om004G163900
OG0000068	Ag002G158600	Om007G308160, Om005G212100
OG0000068	Ag006G534800	Om006G266160
OG0000068	Ag005G409070, Ag001G002250	Om008G351710
OG0000068	Ag002G161400, Ag001G040620, Ag005G414380, Ag007G645610	Om005G212110, Om007G308150
OG0000069	Ag006G532130	Om005G212060
OG0000069	Ag003G258860	Om005G212160
OG0000071	Ag007G610370	Om005G192750, Om005G210750
OG0000071	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710	Om001G016290, Om004G163830
OG0000071	Ag003G234950, Ag003G217580	Om008G360280, Om004G166900
OG0000071	Ag004G389390, Ag004G339910	Om001G039370
OG0000071	Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270	Om005G207500
OG0000071	Ag002G107710	Om005G187680, Om002G068810, Om002G068800
OG0000071	Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400	Om003G110690
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000073	Ag001G101380	Om008G359430, Om008G359450, Om006G266810, Om004G145340, Om006G272440
OG0000073	Ag006G576030	Om001G008960
OG0000073	Ag002G116540	Om008G360120, Om008G360060, Om006G267080, Om008G360180
OG0000073	Ag002G117280	Om008G360260
OG0000074	Ag003G273880	Om004G144240
OG0000074	Ag003G236930	Om004G144070, Om004G144330
OG0000074	Ag003G236940	Om004G144320
OG0000074	Ag003G242350, Ag003G242390	Om004G144060
OG0000074	Ag006G500560	Om004G144020, Om001G027970, Om004G144050, Om004G171550
OG0000074	Ag005G402710	Om004G144350
OG0000074	Ag003G241550, Ag003G242320	Om004G144010
OG0000074	Ag003G241560, Ag003G242310	Om004G143980
OG0000074	Ag004G378820	Om004G144100
OG0000074	Ag006G514000	Om004G144220, Om004G144230
OG0000075	Ag006G510790	Om005G191180
OG0000075	Ag004G313480, Ag004G313520	Om008G356700
OG0000075	Ag007G599000, Ag007G598990	Om004G132620
OG0000075	Ag003G269710	Om001G003590, Om001G003700
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	Om005G194550
OG0000075	Ag004G320420, Ag004G320400, Ag004G320390, Ag004G320380, Ag004G320410, Ag004G320330, Ag004G320350, Ag004G320470, Ag006G555240, Ag006G543310, Ag006G544200, Ag006G543080, Ag006G544500	Om008G342390, Om001G025890, Om001G025920
OG0000076	Ag001G069280	Om006G255670
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	Om006G242520
OG0000076	Ag001G002030	Om003G090370
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	Om001G035000
OG0000077	Ag003G294450	Om001G040170
OG0000077	Ag003G290220, Ag006G569300	Om001G039420
OG0000077	Ag006G508210	Om001G033890
OG0000077	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000
OG0000077	Ag003G281300	Om001G033540, Om001G032490
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	Om005G195310
OG0000078	Ag001G046650, Ag002G152760	Om007G305480, Om008G337420
OG0000078	Ag003G252700	Om004G148580
OG0000078	Ag001G082530, Ag008G711670	Om008G342420, Om007G305860
OG0000078	Ag001G044370	Om007G309170
OG0000079	Ag006G550580	Om003G122890, Om003G122910
OG0000079	Ag003G233720	Om003G122930, Om003G122940
OG0000079	Ag006G550570	Om003G123020
OG0000079	Ag001G084480	Om003G122810
OG0000079	Ag001G089200	Om003G122730
OG0000079	Ag001G071240, Ag001G089380, Ag001G089370	Om003G122880, Om003G122870
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	Om001G013570
OG0000080	Ag007G610550, Ag007G610520, Ag004G375350, Ag007G650150, Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	Om003G125630, Om008G347380, Om008G343390, Om008G346000
