Orthogroup	Alyssum_gmelinii	Aethionema_saxatile
OG0000151	Ag003G253050	As007G166070
OG0000151	Ag005G478640	As006G141980, As006G133740
OG0000151	Ag005G417580	As011G263600
OG0000151	Ag008G698280	As002G047900
OG0000151	Ag004G398050	As001G030700
OG0000154	Ag004G324480	As007G152520
OG0000154	Ag005G471090	As009G210670
OG0000154	Ag005G477170	As002G034300
OG0000154	Ag006G493360	As005G107550
OG0000155	Ag002G204050, Ag006G564870, Ag006G564750	As003G059350
OG0000156	Ag002G201900	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	Ag001G093780	As001G028010
OG0000161	Ag008G725260, Ag007G588370, Ag007G588360	As001G013550, As001G029600, As001G029610
OG0000162	Ag001G075290	As012G286460
OG0000162	Ag001G092940	As012G286440
OG0000162	Ag001G093040, Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	Ag002G200850, Ag002G200800, Ag002G200670	As005G102210
OG0000162	Ag002G200700, Ag002G200830, Ag002G200780, Ag002G200840, Ag002G200790	As005G102220
OG0000165	Ag001G093340, Ag003G208890	As001G011340, As001G010810, As001G010990, As012G282150
OG0000167	Ag006G570230	As003G057890
OG0000169	Ag003G231880	As010G239290
OG0000171	Ag008G670170	As005G099780
OG0000171	Ag001G096960	As012G288230
OG0000171	Ag004G371850	As001G020870
OG0000171	Ag007G614710	As009G200410
OG0000175	Ag001G067410	As010G220360
OG0000178	Ag006G510570	As001G013240
OG0000184	Ag001G075930, Ag006G520200	As004G089570
OG0000187	Ag003G270350, Ag003G270310, Ag003G282640, Ag003G270250, Ag002G167770	As001G003940
OG0000187	Ag003G270560	As001G003960
OG0000189	Ag003G296450	As003G074800
OG0000190	Ag002G140140, Ag002G128880, Ag002G128820, Ag002G140040, Ag002G139950	As004G085680
OG0000191	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420	As007G152760
OG0000192	Ag008G727670	As007G157190
OG0000195	Ag008G716390	As005G112850
OG0000195	Ag007G646090	As001G028840
OG0000202	Ag005G454480	As002G042690, As002G042710, As011G249620
OG0000203	Ag005G485200, Ag004G387230, Ag004G392530, Ag005G485880	As006G136770
OG0000204	Ag005G437650	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000207	Ag001G022870, Ag001G022610, Ag002G183650, Ag003G219800, Ag003G215860, Ag003G215900, Ag007G645960, Ag003G212870, Ag003G212790, Ag001G022600, Ag001G022560, Ag008G734590, Ag003G212990	As003G061070
OG0000208	Ag003G294600, Ag003G294590, Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540	As003G075160
OG0000213	Ag003G288980	As002G038840
OG0000218	Ag004G322150, Ag004G322240, Ag004G322160, Ag004G322180, Ag004G322280, Ag004G322290, Ag004G318250, Ag006G542090, Ag006G547060, Ag005G439660, Ag008G718790, Ag008G689600, Ag002G177290	As001G022650
OG0000219	Ag004G357760	As001G028500, As001G028480
OG0000219	Ag006G565670	As003G064990
OG0000220	Ag001G093870	As010G225590, As010G227890
OG0000221	Ag004G396450	As002G040520
OG0000224	Ag003G217190, Ag003G217140, Ag003G217540, Ag003G217240, Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	Ag003G270550, Ag004G383650	As001G031540
OG0000225	Ag007G582050, Ag007G581990	As003G069680, As003G070050
OG0000225	Ag007G582040	As003G070030
OG0000228	Ag004G341460	As007G159250
OG0000228	Ag004G379170	As010G233780, As010G233750
OG0000228	Ag004G344170, Ag004G344160, Ag004G344130	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	Ag001G058920	As004G077900
OG0000232	Ag001G011980, Ag001G025350, Ag005G473990, Ag005G474010, Ag005G474060, Ag006G511920, Ag005G474020, Ag005G473970, Ag001G083150, Ag005G474030	As002G036540, As006G139020
OG0000233	Ag003G243370	As007G163840
OG0000234	Ag001G076940	As012G281460
OG0000234	Ag001G076930	As006G143800
OG0000234	Ag007G612020	As009G210340
OG0000238	Ag005G407390	As008G190870
OG0000242	Ag005G419410, Ag004G319220, Ag004G319260, Ag004G319640, Ag004G319270	As008G183340, As008G183330
OG0000244	Ag006G567480	As003G059930
OG0000244	Ag002G138420, Ag002G137630	As004G085820
OG0000244	Ag006G567410, Ag002G138400, Ag002G137710	As004G085870
OG0000244	Ag006G567460, Ag006G567470	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	Ag002G137640, Ag002G138410	As004G085860, As004G085850
OG0000248	Ag004G367480	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	Ag002G168370	As006G145310
OG0000249	Ag002G168420, Ag002G179380	As006G145330, As008G193990, As006G145350, As006G145320
OG0000256	Ag002G186790	As006G142420
OG0000257	Ag003G293310, Ag003G293320, Ag005G475480, Ag005G476080, Ag005G425180, Ag005G475490, Ag005G476060, Ag005G476070, Ag005G475200	As002G035710, As012G268510
OG0000258	Ag008G702170	As002G048970
OG0000264	Ag002G129660	As004G086270, As010G229170
OG0000268	Ag008G659990	As001G023230
OG0000268	Ag004G321080, Ag004G321070, Ag004G321060, Ag007G616940	As008G182800
OG0000268	Ag007G590690	As001G023220, As001G023200
OG0000268	Ag007G590680, Ag007G590670	As001G023210
OG0000268	Ag004G378440	As001G023190
OG0000268	Ag006G492050	As005G106920
OG0000268	Ag001G074460	As012G278370
OG0000270	Ag003G282610	As003G075960
OG0000270	Ag003G225130	As010G237880
OG0000270	Ag004G333220	As007G156110
OG0000271	Ag006G495010	As002G034810, As005G108140
OG0000273	Ag004G312170	As012G273500, As012G273510, As012G273490, As005G107410, As004G078260
OG0000274	Ag001G037550, Ag008G709540, Ag008G709790	As005G114920
OG0000274	Ag007G593920, Ag007G593930, Ag007G593900	As006G128840, As006G128830
OG0000276	Ag006G560370, Ag006G560510, Ag006G560400	As011G256110
OG0000276	Ag006G560660	As007G163350, As007G163430
OG0000276	Ag003G267540, Ag006G550870, Ag006G559970, Ag006G560640	As003G058440, As003G058430
OG0000277	Ag001G032920	As004G096710
OG0000282	Ag007G599660	As002G055220
OG0000283	Ag007G587950	As006G125110
OG0000283	Ag007G588000, Ag007G587960, Ag007G587970, Ag007G587990	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	Ag001G030880, Ag001G029500, Ag007G629010	As006G139300
OG0000293	Ag005G454520, Ag002G114590, Ag007G619660, Ag003G284910, Ag001G083740	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	Ag005G458030	As011G249490
OG0000294	Ag002G169270	As006G145420
OG0000294	Ag002G204660	As005G099900
OG0000294	Ag006G513280	As006G122700
OG0000294	Ag004G299490, Ag004G299500	As008G198060
OG0000295	Ag005G465340, Ag005G465350, Ag005G465370	As011G246810
OG0000297	Ag003G261170, Ag003G289210, Ag002G173860, Ag002G174020, Ag003G288940, Ag007G595310	As008G198730
OG0000297	Ag008G711840, Ag008G711790, Ag001G072030, Ag007G611180, Ag003G272910, Ag005G402300, Ag005G402290, Ag008G711950, Ag004G378870, Ag008G711910, Ag008G711870, Ag008G711810, Ag008G711970, Ag005G448670	As005G114280
OG0000299	Ag006G499870, Ag006G499900, Ag006G499860	As010G241870, As010G241880
OG0000299	Ag003G213780, Ag003G220100, Ag003G213850, Ag003G213810, Ag003G212830, Ag003G213770, Ag003G220090	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	Ag006G499850	As010G241860, As009G207860
OG0000300	Ag003G259820	As008G194750
OG0000303	Ag003G271760, Ag006G557400, Ag002G122840, Ag006G557420, Ag007G639160, Ag006G535310, Ag006G537950, Ag004G348720, Ag001G067100	As003G069740
OG0000308	Ag004G327780, Ag004G327900, Ag003G238370, Ag004G327720, Ag004G327700, Ag004G327790	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	Ag008G709240	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	Ag007G622820	As009G202530
OG0000311	Ag001G024940	As012G273730
OG0000311	Ag005G457020	As011G249880
OG0000313	Ag006G560490, Ag006G560390	As003G058420
OG0000313	Ag006G560670, Ag006G560940, Ag006G560690	As007G163450, As007G163440
OG0000313	Ag002G171170	As003G064930
OG0000314	Ag004G302930	As008G195840
OG0000314	Ag004G302940, Ag007G589110	As006G125760
OG0000314	Ag007G588560	As006G125450
OG0000315	Ag006G566290	As006G137990, As006G137760
OG0000316	Ag006G542900, Ag002G187300	As008G187440, As008G187910
OG0000319	Ag008G711750	As006G129730, As005G114310, As008G191530
OG0000321	Ag002G166480, Ag002G166840, Ag006G571830	As001G010170
OG0000322	Ag003G214240, Ag005G440770, Ag003G214260	As009G214030
OG0000322	Ag006G548230, Ag006G548240, Ag006G546460, Ag002G179620	As007G153590
OG0000323	Ag004G374940, Ag004G374900	As005G112480
OG0000327	Ag001G075570, Ag001G075560	As001G019790, As001G019810, As001G019800, As008G195090, As008G195100, As011G263130, As001G012630, As001G012670, As001G012690, As005G104980, As005G104970, As005G104990
OG0000328	Ag001G036310	As001G029880
OG0000328	Ag003G276770, Ag003G276860, Ag003G276790, Ag003G276850, Ag003G276800, Ag003G276810	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	Ag001G078090, Ag002G200020, Ag002G199980, Ag001G008470, Ag002G200000, Ag002G199990, Ag001G077310, Ag001G078150	As007G180560
OG0000332	Ag008G719120, Ag008G719130	As002G033230
OG0000334	Ag001G073280	As012G277630
OG0000334	Ag002G173720, Ag006G510580, Ag006G510710, Ag006G510520, Ag003G284660	As006G146780
OG0000338	Ag004G367200, Ag004G310510, Ag004G310410	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	Ag006G548660, Ag006G545860	As008G198990, As003G061400
OG0000339	Ag002G202770, Ag001G094740	As005G101130, As012G287430
OG0000340	Ag002G197210	As005G103820
OG0000340	Ag002G197250, Ag002G197230	As005G103800, As005G103810
OG0000347	Ag008G704910, Ag008G704900, Ag008G704890, Ag008G704940, Ag008G704920, Ag008G704930, Ag008G704970, Ag008G704820, Ag008G704810, Ag008G704960, Ag008G704870, Ag008G704860, Ag008G704950, Ag008G704880, Ag008G704650, Ag008G704740, Ag008G704690, Ag005G472160, Ag005G472170	As002G037650
OG0000348	Ag007G649350	As002G041810
OG0000348	Ag009G735950, Ag003G227730, Ag008G695200	As002G040050
OG0000350	Ag001G069780	As003G070220, As003G070200
OG0000351	Ag005G465630	As011G246700, As011G246690
OG0000351	Ag008G726010, Ag008G725990	As011G246600
