Orthogroup	Alyssum_gmelinii	Aethionema_saxatile
OG0001585	Ag001G083940	As012G283760
OG0001585	Ag002G191010	As005G106110
OG0001586	Ag008G719690, Ag008G719680	As005G109770, As005G109730, As005G109810
OG0001587	Ag008G713900, Ag008G713800, Ag008G713740, Ag008G713730	As005G113630, As005G113750, As005G113720
OG0001588	Ag008G707740	As010G223930, As005G115320
OG0001589	Ag008G729560	As005G116400
OG0001589	Ag008G690360	As010G222490
OG0001590	Ag001G078570	As012G281820
OG0001590	Ag008G733560	As006G143440, As005G118810
OG0001591	Ag004G299980, Ag006G510200	As006G123270
OG0001592	Ag004G300590	As008G197260
OG0001592	Ag007G599500, Ag007G599510	As006G123590, As006G123580
OG0001593	Ag007G588130	As006G125280
OG0001593	Ag004G302500	As008G196140
OG0001594	Ag007G589450	As006G126140
OG0001595	Ag005G487920, Ag005G487940, Ag005G487950	As006G136270, As006G136260, As006G136250
OG0001596	Ag007G628560	As009G204010
OG0001596	Ag005G486450	As006G137150
OG0001597	Ag007G634730, Ag005G482670	As009G205500, As006G139340
OG0001598	Ag005G481900	As006G139870
OG0001598	Ag007G629300	As009G204700
OG0001599	Ag003G285160, Ag005G479430	As006G141340, As006G141350
OG0001600	Ag002G167520, Ag001G070800	As006G145110
OG0001601	Ag004G328380, Ag004G328340	As007G154270
OG0001601	Ag003G237290, Ag003G237250	As010G240560
OG0001602	Ag004G337300, Ag004G337290, Ag003G218670	As007G157510
OG0001603	Ag004G344540	As010G233600
OG0001603	Ag003G241650	As007G159420
OG0001604	Ag003G241790	As007G159450
OG0001605	Ag003G241940	As007G159480
OG0001605	Ag004G344860	As010G233470
OG0001607	Ag004G316190, Ag004G382350	As008G184640
OG0001608	Ag004G313620	As008G186120, As008G186140
OG0001609	Ag007G632100	As009G204900
OG0001609	Ag004G300610	As008G197240
OG0001610	Ag005G474840, Ag006G499040	As009G214300
OG0001611	Ag003G226840, Ag003G226810	As010G238260
OG0001612	Ag005G469640	As011G245190
OG0001613	Ag001G006970	As012G270010
OG0001613	Ag005G463970	As011G247430
OG0001614	Ag001G011210, Ag001G011220	As012G271870
OG0001614	Ag005G444000, Ag005G442780	As011G253200
OG0001615	Ag005G433970, Ag005G432590	As011G261220
OG0001616	Ag005G415560, Ag003G285780	As011G264510
OG0001617	Ag005G406020, Ag003G258680	As011G266230
OG0001618	Ag001G000260	As012G267820
OG0001619	Ag001G070790, Ag002G167510	As012G276530
OG0001641	Ag006G528350	As001G011100
OG0001642	Ag003G274030	As001G012500
OG0001643	Ag005G417750	As011G263530
OG0001643	Ag003G283020	As001G014740
OG0001644	Ag004G372810	As001G021040
OG0001644	Ag004G312500	As008G186840
OG0001645	Ag001G031810, Ag001G031800	As001G024450
OG0001646	Ag008G666370	As001G025330
OG0001646	Ag004G317180	As008G184320
OG0001647	Ag007G655270	As005G112760
OG0001647	Ag008G668770	As001G026040
OG0001648	Ag007G654460	As004G097600
OG0001648	Ag008G669020	As001G026180
OG0001650	Ag008G699180	As001G028040
OG0001650	Ag007G647790	As004G078090
OG0001651	Ag008G699860	As002G048310
OG0001652	Ag005G477870	As002G034080
OG0001652	Ag006G492330	As005G107010
OG0001653	Ag005G476540	As002G034830
OG0001654	Ag006G495630	As005G108360
OG0001654	Ag005G476310	As002G034960
OG0001655	Ag006G500650	As009G213200
OG0001655	Ag005G474070	As002G036620
OG0001656	Ag005G471300	As002G039040
OG0001657	Ag008G694120	As002G046680
OG0001658	Ag008G694910	As002G047020
OG0001659	Ag006G508420, Ag006G508280, Ag006G508350, Ag006G508390, Ag006G508370	As002G055320
OG0001660	Ag006G561170	As003G058550
OG0001661	Ag002G144120, Ag002G144650	As004G084980
OG0001661	Ag006G551290	As003G060770
OG0001662	Ag006G550790	As003G060900
OG0001662	Ag002G143570	As004G084850
OG0001663	Ag002G148810	As003G062880, As004G083340
OG0001663	Ag004G340710	As007G158950
OG0001664	Ag002G161170	As012G275120
OG0001664	Ag007G580680	As003G070920
OG0001665	Ag007G580400	As012G274990
OG0001666	Ag003G286820	As003G072130
OG0001666	Ag005G414340	As011G264730
OG0001667	Ag003G290900	As003G073520
OG0001668	Ag003G291670	As003G073870
OG0001669	Ag006G522520	As007G180470
OG0001669	Ag003G293970, Ag001G077970	As003G074980
OG0001670	Ag003G296200	As003G075970
OG0001670	Ag006G520770	As007G181810
OG0001671	Ag002G155570, Ag002G149380	As004G080500
OG0001672	Ag007G584070	As009G214760
OG0001673	Ag005G426190	As004G092150, As011G259110
OG0001674	Ag001G037310, Ag001G037270, Ag001G037290, Ag001G037360, Ag001G037300, Ag001G037260	As004G095240
OG0001676	Ag002G199590	As005G102620
OG0001677	Ag001G090420	As012G285380
OG0001677	Ag002G196690	As005G104070
OG0001678	Ag001G088790	As012G285040
OG0001678	Ag002G195570	As005G104530
OG0001679	Ag001G088020	As012G284790
OG0001679	Ag002G194650	As005G104840
OG0001681	Ag001G099990	As005G120190
OG0001682	Ag007G599390	As006G123800
OG0001682	Ag004G300850	As008G197100
OG0001683	Ag007G587060	As006G124600
OG0001684	Ag007G588040	As006G125200
OG0001684	Ag004G302440	As008G196190
OG0001685	Ag004G302470	As008G196160
OG0001685	Ag007G588050	As006G125210
OG0001686	Ag007G588230	As006G125380
OG0001686	Ag004G302550	As008G196070
OG0001687	Ag007G588540	As006G125460
OG0001688	Ag004G305280	As008G193980
OG0001688	Ag007G591490	As006G127480
OG0001689	Ag004G305770	As006G127840
OG0001689	Ag007G592050	As008G193490
OG0001690	Ag007G592430	As006G128090
OG0001690	Ag004G306000	As008G193250
OG0001691	Ag004G306280	As008G193060
OG0001691	Ag007G593120	As006G128380
OG0001693	Ag004G307230	As008G192240
OG0001694	Ag007G624060	As009G202860
OG0001694	Ag005G488160	As006G136060
OG0001695	Ag004G308760	As008G190150
OG0001695	Ag005G485500	As006G137700
OG0001696	Ag005G484450	As009G206860, As006G138230
OG0001697	Ag005G481080	As006G140340
OG0001698	Ag002G184090	As006G143090
OG0001698	Ag001G079680	As012G282250
OG0001699	Ag001G072890	As012G277290
OG0001699	Ag002G171980	As006G146140
OG0001700	Ag003G211910	As010G242590
OG0001700	Ag004G325030	As007G152930
OG0001701	Ag004G334170	As007G156550
OG0001701	Ag003G222410	As010G237360
OG0001702	Ag003G219020	As010G236450
OG0001702	Ag004G336780	As007G157320
OG0001703	Ag004G338070	As007G157920
OG0001703	Ag003G216990	As010G235780
OG0001704	Ag004G340770	As007G158980
OG0001704	Ag004G343030	As010G234260
OG0001705	Ag003G241480, Ag004G344380	As007G159350
OG0001706	Ag007G613590	As007G162110
OG0001707	Ag008G715840, Ag001G052200, Ag007G581490	As008G182520
OG0001708	Ag007G634700, Ag005G482650	As009G205470
OG0001709	Ag008G728620	As009G219330
OG0001709	Ag001G055050	As010G223090
OG0001710	Ag003G219320, Ag003G219330	As010G236530
OG0001711	Ag005G460900	As011G248830
OG0001711	Ag001G031890	As012G274730
OG0001712	Ag001G018820, Ag001G019120	As012G272750
OG0001712	Ag005G450890	As011G251230
OG0001713	Ag001G017550	As012G272600
OG0001713	Ag005G449430	As011G251610
OG0001714	Ag005G445110, Ag002G102760, Ag001G012220	As011G252860
OG0001715	Ag005G428970, Ag005G430310, Ag005G430650	As011G256690
OG0001730	Ag003G253820	As001G000160
OG0001731	Ag003G260590	As001G002090
OG0001731	Ag003G260520	As001G002080
OG0001732	Ag003G261020, Ag005G408690	As001G002180
OG0001733	Ag003G264260, Ag003G265980	As001G002610
OG0001734	Ag003G267260	As001G003070
OG0001735	Ag003G274040	As001G012490
OG0001736	Ag003G284940	As001G015660
OG0001737	Ag002G162270	As004G078750
OG0001737	Ag007G579660	As001G015720
OG0001738	Ag007G578090	As001G016990, As004G079600
OG0001739	Ag004G367250	As001G019330
OG0001739	Ag004G310460, Ag006G552920	As008G188120
OG0001740	Ag004G368780	As001G019770
OG0001740	Ag004G311010	As008G187740
OG0001741	Ag004G311830, Ag004G369370, Ag004G369320	As001G020250
OG0001742	Ag004G371790	As001G020840
OG0001742	Ag006G570030	As011G257950, As011G257920, As011G257860
OG0001743	Ag004G313300	As001G021590
OG0001743	Ag004G375130	As008G186310
OG0001744	Ag007G655530, Ag008G667980	As001G025880
OG0001745	Ag008G669680	As001G026390
OG0001745	Ag007G653630	As004G097440
OG0001746	Ag003G277640	As004G096870, As001G027100, As001G027120
OG0001748	Ag007G646720	As004G077690
OG0001748	Ag004G357470	As001G028450
OG0001749	Ag004G400030	As001G030640
OG0001750	Ag008G697510, Ag006G551280	As004G097820
OG0001750	Ag004G386680	As001G031300
OG0001751	Ag005G472200	As002G037600
OG0001751	Ag006G504530	As009G212190
OG0001753	Ag005G471450	As002G038810
OG0001753	Ag006G505870	As009G211390
OG0001754	Ag008G677280, Ag007G598780, Ag001G029980, Ag001G031300	As002G042850
OG0001755	Ag003G231370, Ag007G585470	As007G165920, As002G044370
OG0001756	Ag008G684760, Ag003G252770	As002G045020
OG0001757	Ag008G696650	As002G047660, As006G134330
OG0001758	Ag008G719580, Ag007G609630	As002G050810
OG0001759	Ag008G725140	As002G054860
OG0001760	Ag006G577320	As003G055950
OG0001760	Ag002G121300, Ag002G115000	As004G089920
OG0001761	Ag002G110270, Ag002G106640	As004G088340
OG0001762	Ag006G572840	As003G057400
OG0001762	Ag002G104960	As004G088150
OG0001763	Ag006G558160, Ag003G277480	As003G058120
OG0001764	Ag002G140450	As004G085570
OG0001764	Ag006G554270	As003G060240
OG0001765	Ag006G547080, Ag006G542100	As003G061750
OG0001766	Ag002G147890	As004G083700
OG0001766	Ag006G540530	As003G062580
OG0001767	Ag004G341820	As010G234740
OG0001767	Ag006G535950	As003G063410
OG0001768	Ag007G583740	As004G081770, As003G068330
OG0001769	Ag005G414730	As011G264820
OG0001770	Ag008G734030	As003G073930
OG0001770	Ag001G058970	As010G221370
OG0001771	Ag006G523520	As007G179930
OG0001771	Ag003G292160	As003G074120
OG0001772	Ag003G296700	As003G076250
OG0001773	Ag008G682100, Ag008G682870, Ag002G160550	As004G081020
OG0001774	Ag007G584140	As004G082040
OG0001775	Ag006G555690, Ag002G139810	As004G085690
OG0001776	Ag002G103490, Ag002G103450, Ag002G103410	As004G087730
OG0001777	Ag006G512740, Ag007G652780	As004G097230
OG0001778	Ag002G206160, Ag001G098140	As005G099210
OG0001779	Ag001G097950	As012G288510
OG0001779	Ag002G206060	As005G099320
OG0001780	Ag002G201040	As005G102040
OG0001780	Ag001G093150	As012G286670
OG0001781	Ag001G092150	As012G286010
OG0001781	Ag002G199150	As005G102880
OG0001782	Ag002G196130	As005G104290
OG0001783	Ag008G669340	As010G227360, As005G111610
OG0001784	Ag008G734120	As005G119200
OG0001784	Ag001G059160	As010G221340
OG0001785	Ag004G298050, Ag004G298040	As008G198980
OG0001786	Ag004G298390	As008G198930
OG0001786	Ag006G515740	As006G122000
OG0001787	Ag006G512760	As006G122800
OG0001787	Ag004G299290	As008G197950
OG0001788	Ag006G512160, Ag004G299670	As006G123000
OG0001789	Ag006G510100	As006G123310
OG0001790	Ag007G591250	As006G127300
OG0001791	Ag007G591860	As006G127700
OG0001792	Ag007G592830	As006G128330
OG0001792	Ag004G306190	As008G193120
OG0001793	Ag004G306550	As008G193020
OG0001793	Ag007G593470	As006G128540
OG0001794	Ag004G306970	As008G192750
OG0001794	Ag007G594100	As006G128910
OG0001795	Ag005G489170, Ag007G621030	As006G135530, As009G201960
OG0001796	Ag005G488040	As006G136170
OG0001796	Ag007G624590	As009G203040
OG0001797	Ag005G487240	As006G136600
OG0001798	Ag007G634010, Ag007G617560	As009G205220
OG0001798	Ag005G482460, Ag005G482450	As006G139450
OG0001799	Ag007G636850	As009G206190
OG0001799	Ag005G482440	As006G139460
OG0001800	Ag005G481550	As006G140000
OG0001800	Ag007G630070	As009G204500
OG0001801	Ag007G642890	As009G208280
OG0001801	Ag005G480580	As006G140650
OG0001803	Ag002G167110	As006G145030
OG0001803	Ag001G070740	As012G276500
OG0001804	Ag007G587840	As010G243090
OG0001804	Ag004G324610	As007G152670
OG0001805	Ag003G212500	As010G242220
OG0001805	Ag004G325610	As007G153250
OG0001806	Ag003G239960	As010G241430
OG0001806	Ag004G326900	As007G153740
OG0001807	Ag002G164690, Ag004G332290	As007G155820
OG0001808	Ag003G222660	As010G237420
OG0001808	Ag004G333980	As007G156490
OG0001809	Ag004G346390	As010G233120
OG0001809	Ag003G243150	As007G160050
OG0001810	Ag004G349490	As007G160680
OG0001811	Ag007G596840	As007G161490
OG0001812	Ag004G354290	As010G229440, As007G161600
OG0001814	Ag006G521640	As007G180770
OG0001816	Ag007G637250	As009G206600
OG0001817	Ag006G501100, Ag005G473710	As009G213110
OG0001818	Ag008G722420	As009G216230
OG0001819	Ag001G099880, Ag001G063050	As010G220640
OG0001820	Ag008G723650, Ag008G690870, Ag008G691000	As010G222410
OG0001821	Ag001G008650	As012G270690
OG0001821	Ag005G462350	As011G248150
OG0001822	Ag005G441860	As011G253570
OG0001822	Ag001G009980	As012G271070
OG0001823	Ag005G403260	As011G267030
OG0001824	Ag002G172600, Ag001G073050	As012G277520
OG0001825	Ag001G079270	As012G282110
OG0001826	Ag001G082390	As012G283200
OG0001828	Ag002G199770, Ag001G092410	As012G286120
OG0001844	Ag005G404910	As011G266470
OG0001845	Ag003G265670, Ag003G266450	As001G002450, As001G002440
OG0001846	Ag005G416590	As011G264180
OG0001846	Ag003G285350	As001G015540
OG0001847	Ag001G101550	As001G017570
OG0001848	Ag004G311930	As008G187140
OG0001849	Ag004G375760, Ag004G375740, Ag004G375730	As001G021660
OG0001850	Ag008G668520	As001G025970
OG0001851	Ag007G654120, Ag008G669260	As001G026330, As004G097510
OG0001852	Ag007G648730	As004G078430
OG0001855	Ag004G361890, Ag003G219370, Ag006G561270	As001G029430
OG0001856	Ag004G379750	As001G032090
OG0001856	Ag004G315210	As008G185290
OG0001857	Ag008G701620	As002G048690
OG0001858	Ag006G497350	As005G109210
OG0001858	Ag005G475780	As002G035530
OG0001859	Ag005G475220	As002G035950
OG0001859	Ag006G498220	As009G214550
OG0001860	Ag006G501110	As009G213100
OG0001861	Ag005G473470	As002G037140
OG0001861	Ag006G501580	As009G212960
OG0001862	Ag006G504810	As009G211910
OG0001862	Ag005G472120	As002G046460, As002G037820
OG0001863	Ag007G586220	As007G164570
OG0001864	Ag001G057530	As002G046260
OG0001865	Ag008G693500	As002G046430
OG0001865	Ag003G251520	As006G132520
OG0001866	Ag008G694080	As002G046650
OG0001866	Ag003G251060	As006G132650
OG0001867	Ag008G702770	As002G049160
OG0001868	Ag008G719670, Ag007G609070	As002G051160, As005G109830
OG0001869	Ag008G733320, Ag004G345670	As005G118670
OG0001869	Ag007G605070	As002G052660
OG0001870	Ag008G732940	As002G052840
OG0001870	Ag007G604900	As005G118470
OG0001871	Ag008G732600	As005G118300
OG0001871	Ag007G604060	As002G053270
OG0001873	Ag007G602490	As004G079370, As010G237170, As002G053740
OG0001874	Ag004G382240, Ag004G382180	As002G054100
OG0001875	Ag007G600850	As002G054680
OG0001875	Ag008G724460	As009G217400
OG0001876	Ag008G725060, Ag002G193210, Ag007G600620	As002G054840
OG0001877	Ag005G454990, Ag005G455100, Ag008G726250, Ag006G508270	As002G055330
OG0001878	Ag006G577560	As003G055820
OG0001878	Ag002G114470, Ag002G122570	As004G091220
OG0001879	Ag006G576510	As004G089290, As003G056220
OG0001879	Ag001G072540	As003G056320, As012G271310
OG0001880	Ag006G575470	As004G088810
OG0001880	Ag006G575460	As003G056580, As003G056590
OG0001881	Ag006G563000	As010G228130, As003G064030, As003G058940
OG0001882	Ag002G132320	As004G086070
OG0001882	Ag006G565790	As003G059590
OG0001883	Ag002G137780, Ag002G138330	As004G085890
OG0001883	Ag006G567200	As003G059860
OG0001884	Ag004G322710	As007G151870
OG0001884	Ag003G207810	As003G060870
OG0001885	Ag006G540570	As003G062560
OG0001885	Ag002G147880	As004G083710
OG0001886	Ag006G535050	As003G063880
OG0001886	Ag002G153380	As004G080230
OG0001887	Ag006G533600	As003G064240
OG0001888	Ag007G582420	As003G069790, As004G081190
OG0001889	Ag005G411070	As011G265390
OG0001889	Ag003G288930	As003G072760, As003G072740
OG0001890	Ag003G292510	As003G074350
OG0001891	Ag003G248320, Ag004G312380	As004G079520
OG0001892	Ag002G158270, Ag007G584090	As004G082000
OG0001893	Ag002G147790	As004G083760, As004G083800
OG0001894	Ag002G184630	As006G143010, As004G085550
OG0001895	Ag002G122580, Ag002G114480, Ag002G114560, Ag002G122700, Ag002G122690	As004G091210
OG0001896	Ag001G043410	As004G093180
OG0001896	Ag005G479660	As006G141160
OG0001897	Ag005G432290	As011G255780
OG0001897	Ag001G038050	As004G094870
OG0001898	Ag005G437430	As011G254720
OG0001898	Ag001G035470	As004G095870
OG0001899	Ag001G034310	As004G096220
OG0001899	Ag005G439430	As011G254110
OG0001900	Ag007G656810	As004G098200
OG0001901	Ag002G206350	As005G099020
OG0001901	Ag001G097970	As012G288710
OG0001902	Ag002G204540	As005G100030
OG0001903	Ag001G093330	As012G286750
OG0001903	Ag002G201220	As005G101970
OG0001904	Ag002G201030	As012G286660, As005G102050
OG0001905	Ag001G091820	As012G285960
OG0001905	Ag002G198810	As005G103020
OG0001906	Ag001G090410	As012G285370
OG0001906	Ag002G196670	As005G104090
OG0001907	Ag001G056180	As010G222720
OG0001908	Ag008G729570, Ag003G284210, Ag003G284230, Ag003G284260, Ag003G284240	As009G208110, As005G116440, As005G116410, As005G116450
OG0001909	Ag004G299530	As008G198070
OG0001910	Ag007G586540	As006G124200
OG0001910	Ag004G301310	As008G196870
OG0001911	Ag007G587880	As006G125080
OG0001911	Ag004G302380	As008G196240
OG0001912	Ag007G590120	As006G126470
OG0001912	Ag004G304120	As008G194820
OG0001913	Ag004G304580	As008G194510
OG0001913	Ag007G590650	As006G127010
OG0001915	Ag007G591450	As006G127440
OG0001915	Ag004G305260	As008G194000
OG0001916	Ag004G306840, Ag007G593820	As006G128760
OG0001917	Ag007G595270	As006G129560
OG0001918	Ag004G343210, Ag004G340590, Ag004G340010, Ag004G340060, Ag004G340130, Ag004G340040, Ag004G339990, Ag004G340030, Ag004G340090, Ag004G340000, Ag004G340050, Ag004G340070, Ag004G340080, Ag004G340110, Ag001G056910, Ag001G056960, Ag001G056940, Ag004G324990	As006G131460, As006G131480
OG0001919	Ag007G613960	As009G200030
OG0001919	Ag001G100680	As006G132900
OG0001920	Ag007G622180, Ag005G488660	As006G135730
OG0001921	Ag007G622330	As009G202390
OG0001921	Ag005G488600	As006G135780
OG0001922	Ag005G483250	As006G139010
OG0001922	Ag007G635830	As009G205870
OG0001923	Ag002G180630	As006G143780
OG0001923	Ag001G076830	As012G281320
OG0001924	Ag001G072680, Ag001G072670, Ag001G072640, Ag002G171650, Ag002G171590	As006G145930
OG0001925	Ag002G174830	As006G147060
OG0001925	Ag001G074360	As012G278170
OG0001926	Ag002G175480	As006G147410
OG0001926	Ag001G065670	As012G278430
OG0001927	Ag004G323560	As007G152220
OG0001928	Ag003G214210	As010G241680
OG0001928	Ag004G326370	As007G153570
OG0001929	Ag003G237910	As007G154160
OG0001930	Ag004G330440	As007G155140
OG0001930	Ag003G231520	As010G239150
OG0001931	Ag003G229470	As010G238790
OG0001931	Ag004G331130	As007G155320
OG0001932	Ag004G332080	As007G155730
OG0001932	Ag003G227620	As010G238480
OG0001933	Ag004G336300	As007G157160
OG0001934	Ag004G338630, Ag004G338620	As007G158150
OG0001934	Ag003G215220	As010G235460
OG0001935	Ag003G241230	As007G159310
OG0001937	Ag003G244590	As007G160520
OG0001937	Ag004G348740	As010G232650
OG0001938	Ag008G725270	As007G162170, As007G162180
OG0001939	Ag006G521240	As007G180980
OG0001940	Ag001G097450	As009G200550
OG0001942	Ag005G467950	As012G269080, As012G281590, As012G269060
OG0001943	Ag006G496840, Ag004G381340, Ag006G504480	As009G212210
OG0001944	Ag005G472710, Ag006G503640, Ag006G503610	As009G212500
OG0001945	Ag008G722030	As010G221720
OG0001946	Ag008G691070	As010G222400
OG0001950	Ag005G467970, Ag004G374770	As011G245930
OG0001950	Ag001G003500	As012G269040
OG0001951	Ag005G464770, Ag001G006490	As011G247100
OG0001952	Ag001G031470, Ag001G030270	As012G274580
OG0001952	Ag005G460060	As011G248940
OG0001953	Ag005G450500	As011G251400
OG0001953	Ag001G018080	As012G272660
OG0001954	Ag005G444580	As011G253050
OG0001955	Ag001G010570	As011G253690
OG0001956	Ag003G273480, Ag005G419280	As011G262750
OG0001957	Ag002G161280	As012G275050
OG0001958	Ag008G697480, Ag005G415070	As012G285290
OG0001959	Ag001G091250	As012G285720
OG0001971	Ag003G256910	As001G001000
OG0001971	Ag005G404710	As011G266510
OG0001972	Ag003G261880	As001G002350
OG0001972	Ag005G409540	As011G265560
OG0001973	Ag003G267490	As001G003210
OG0001974	Ag003G268750	As001G003630
OG0001976	Ag003G282720	As001G014460
OG0001977	Ag002G164520	As004G083090
OG0001977	Ag001G101800	As001G017810
OG0001978	Ag004G313380	As008G186230
OG0001979	Ag004G320840	As008G182890
OG0001980	Ag008G660990	As001G023690
OG0001980	Ag004G320560	As008G183040
OG0001981	Ag004G317220	As008G184280
OG0001982	Ag008G667170	As001G025560
OG0001982	Ag004G316950	As008G184440
OG0001983	Ag008G668810	As001G026070
OG0001983	Ag007G654970	As005G112750
OG0001984	Ag008G669040	As001G026200
OG0001984	Ag007G654360	As004G097590
OG0001985	Ag004G315690	As003G060640, As001G031850
OG0001986	Ag001G082380	As012G283190
OG0001986	Ag002G189560	As002G033250
OG0001987	Ag006G497300, Ag006G559990	As005G109150
OG0001987	Ag005G475800	As002G035510
OG0001988	Ag005G473510	As002G037170, As012G276490
OG0001989	Ag005G473040, Ag006G502870	As002G037240, As002G037260
OG0001990	Ag008G688660, Ag008G689820	As002G046030
OG0001990	Ag003G251440	As006G132420
OG0001993	Ag008G697710	As002G047890
OG0001994	Ag008G703370	As002G049230
OG0001995	Ag007G609230, Ag008G719620	As002G051030
OG0001996	Ag007G607970	As002G051550
OG0001997	Ag007G602870, Ag007G602850	As002G053610
OG0001997	Ag006G523580	As007G179950
OG0001998	Ag007G602350	As002G053810
OG0001998	Ag008G730990	As005G117250
OG0001999	Ag007G599950	As002G055150
OG0002000	Ag008G726570	As009G218350
OG0002000	Ag006G507840	As002G055410
OG0002001	Ag002G120060	As004G089230
OG0002001	Ag006G576740	As003G056260
OG0002002	Ag006G558340, Ag006G558270	As004G087210
OG0002003	Ag006G554290	As003G060220
OG0002003	Ag002G140410	As004G085600
OG0002004	Ag002G144320, Ag002G143830	As004G084930
OG0002004	Ag006G550990	As003G060850
OG0002005	Ag006G542540, Ag006G545080	As003G061860
OG0002006	Ag006G542760, Ag006G544830	As003G061930
OG0002006	Ag002G146810	As004G084140
OG0002007	Ag006G544780, Ag006G542870	As003G061950
OG0002008	Ag002G147660	As004G083850
OG0002008	Ag006G541100	As003G062340
OG0002009	Ag007G584920	As003G065730
OG0002010	Ag007G582690	As003G069440
OG0002011	Ag007G582180	As003G069960
OG0002012	Ag005G415580	As011G264500
OG0002012	Ag003G285760	As003G071790
OG0002013	Ag005G413950	As011G264560
OG0002013	Ag003G285990	As003G071910
OG0002014	Ag003G286950, Ag005G414550	As003G072220
OG0002015	Ag005G410320, Ag003G289360	As003G073000
OG0002016	Ag004G314200	As007G179840
OG0002016	Ag003G291890, Ag003G291880	As003G073990
OG0002017	Ag003G293040	As003G074630
OG0002018	Ag006G521300	As007G180950
OG0002018	Ag003G295490	As003G075740
OG0002019	Ag002G164250	As004G079010, As004G079040
OG0002021	Ag006G543040, Ag006G544570, Ag006G561660	As004G084130
OG0002022	Ag004G327610, Ag002G111920, Ag002G108470	As004G088650
OG0002023	Ag005G436950	As011G254830
OG0002023	Ag001G036120	As004G095790
OG0002024	Ag005G438950	As011G254270
OG0002025	Ag002G203490	As005G100670
OG0002026	Ag002G200320	As005G102350
OG0002026	Ag001G092660	As012G286200
OG0002027	Ag001G084390	As012G283860
OG0002027	Ag002G191140	As005G105970
OG0002029	Ag004G298460	As008G198670
OG0002029	Ag006G515500	As006G122080
OG0002030	Ag006G510020	As006G123400
OG0002030	Ag004G300160	As008G197470
OG0002031	Ag004G302690, Ag007G588440	As008G195950, As006G125520
OG0002032	Ag007G589300	As006G125680
OG0002032	Ag004G303850	As008G194980
OG0002033	Ag004G305860	As008G193380
OG0002033	Ag007G592190	As006G127930
OG0002034	Ag004G307140, Ag007G594670	As006G129090
OG0002035	Ag008G695150	As006G134600
OG0002036	Ag007G619910	As009G201600
OG0002036	Ag005G489590	As006G135320
OG0002037	Ag007G619920	As009G201610
OG0002037	Ag005G489560	As006G135340
OG0002038	Ag005G460260	As011G248890
OG0002038	Ag005G483450	As006G138750
OG0002039	Ag003G265280, Ag008G660570, Ag001G079110	As012G282060
OG0002039	Ag002G183830	As006G143240
OG0002040	Ag002G167760	As006G145140
OG0002040	Ag001G070880	As012G276560
OG0002041	Ag002G171080	As006G145740
OG0002041	Ag001G072460	As012G277090
OG0002042	Ag002G176370	As006G148500
OG0002043	Ag004G322830	As007G151940
OG0002044	Ag004G323080	As007G152130
OG0002044	Ag003G208360	As010G243920
OG0002045	Ag004G323750	As007G152270
OG0002045	Ag003G209000	As010G243670
OG0002046	Ag004G324450	As007G152480
OG0002046	Ag003G210530	As010G243220
OG0002047	Ag004G325100	As007G152970
OG0002047	Ag003G211970	As010G242530
OG0002048	Ag004G327480	As007G153870
OG0002049	Ag003G237590	As010G240580
OG0002049	Ag004G328330, Ag004G328370	As007G154260
OG0002050	Ag004G335320	As007G156920
OG0002050	Ag003G220350	As010G237010
OG0002051	Ag004G335600, Ag002G193400	As007G157010
OG0002052	Ag004G336040	As007G157110
OG0002052	Ag003G219700	As010G236740
OG0002053	Ag004G336930	As007G157350
OG0002053	Ag003G218940	As010G236420
OG0002054	Ag004G341050	As007G159150
OG0002054	Ag004G343370	As010G234050
OG0002055	Ag003G241510	As007G159360
OG0002055	Ag004G344400	As010G233640
OG0002058	Ag005G472900	As007G179060
OG0002059	Ag004G303610	As008G195200
OG0002060	Ag004G345460	As010G233260
OG0002060	Ag007G616010	As009G200610
OG0002061	Ag006G559670, Ag003G224300	As009G216670
OG0002062	Ag008G725100, Ag008G725120	As009G217750
OG0002063	Ag006G506230, Ag008G705790	As009G220000
OG0002064	Ag001G067120, Ag001G067090	As010G220250
OG0002065	Ag002G164370, Ag002G164440	As010G234940, As010G234930
OG0002066	Ag003G219490	As010G236630
OG0002067	Ag003G223440	As010G237600
OG0002068	Ag003G211000	As010G242610
OG0002069	Ag003G211710	As010G242720
OG0002069	Ag003G211730	As010G242710
OG0002070	Ag004G324840, Ag003G211280	As010G242940
OG0002071	Ag005G469450	As011G245310
OG0002071	Ag001G001490	As012G268370
OG0002072	Ag001G002400	As012G268720
OG0002072	Ag005G468970	As011G245540
OG0002073	Ag001G006270	As012G269780
OG0002073	Ag005G464920	As011G247000
OG0002074	Ag001G028800	As012G274260
OG0002074	Ag005G459200, Ag005G459190	As011G249220
OG0002075	Ag005G402170	As011G266590
OG0002075	Ag014G741810, Ag005G402110	As011G266600, As011G266610
OG0002076	Ag001G000090	As012G267730
OG0002077	Ag001G010700, Ag005G442380, Ag005G443690	As012G271430
OG0002078	Ag001G079520, Ag001G079500, Ag001G079370	As012G282170
OG0002079	Ag002G191320, Ag002G191310, Ag001G020430, Ag002G191420	As012G289110
OG0002091	Ag003G267900, Ag003G218530	As007G165330
OG0002091	Ag006G517990	As010G228410, As005G110600, As004G088900, As007G167310, As001G011990, As001G010790, As008G190640
OG0002091	Ag002G135100	As007G164550
OG0002092	Ag004G370520	As001G011000
OG0002093	Ag003G281210	As001G012790
OG0002094	Ag001G006620	As001G014220
