Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0001925	CARHR150630, CARHR132530	As006G147060
OG0001925	CARHR163970	As012G278170
OG0001926	CARHR132770	As006G147410
OG0001926	CARHR161490	As012G278430
OG0001927	CARHR073960	As010G243720
OG0001927	CARHR016180	As007G152220
OG0001928	CARHR071950	As010G241680
OG0001928	CARHR017680	As007G153570
OG0001929	CARHR066000	As007G154160
OG0001930	CARHR067640	As010G239150
OG0001931	CARHR068040	As010G238790
OG0001931	CARHR019540	As007G155320
OG0001932	CARHR019950	As007G155730
OG0001932	CARHR068430	As010G238480
OG0001933	CARHR021640	As007G157160
OG0001934	CARHR022500	As007G158150
OG0001934	CARHR071460	As010G235460
OG0001935	CARHR023590	As007G159310
OG0001936	CARHR236790	As007G160030
OG0001937	CARHR025170	As007G160520
OG0001937	CARHR062490	As010G232650
OG0001939	CARHR112320	As007G180980
OG0001940	CARHR209510, CARHR209520	As009G200550
OG0001941	CARHR193880, CARHR193870, CARHR193850	As009G204950, As009G204960
OG0001942	CARHR088760, CARHR256100	As012G269080, As012G281590, As012G269060
OG0001944	CARHR086120, CARHR206930	As009G212500
OG0001945	CARHR158560	As010G221720
OG0001946	CARHR157610	As010G222400
OG0001947	CARHR151100, CARHR151060	As010G225810
OG0001948	CARHR191310, CARHR104630	As010G226330
OG0001949	CARHR153700, CARHR153730, CARHR153740	As010G227300
OG0001950	CARHR088740	As011G245930
OG0001950	CARHR044610	As012G269040
OG0001951	CARHR089900, CARHR043520	As011G247100
OG0001952	CARHR091970	As011G248940
OG0001953	CARHR094720	As011G251400
OG0001953	CARHR039800	As012G272660
OG0001954	CARHR096640	As011G253050
OG0001955	CARHR041850, CARHR097170	As011G253690
OG0001956	CARHR105810	As011G262750
OG0001957	CARHR128870	As012G275050
OG0001958	CARHR105210	As012G285290
OG0001959	CARHR170070	As012G285720
OG0001971	CARHR236890	As001G001000
OG0001971	CARHR110280	As011G266510
OG0001972	CARHR238240	As001G002350
OG0001972	CARHR109320	As011G265560
OG0001973	CARHR117840	As007G178320
OG0001974	CARHR117620	As007G178030
OG0001974	CARHR239240	As001G003630
OG0001975	CARHR105190	As011G262160
OG0001976	CARHR243060	As001G014460
OG0001976	CARHR106780	As011G263480
OG0001977	CARHR129950	As004G083090
OG0001977	CARHR223100	As001G017810
OG0001978	CARHR051320	As001G021620
OG0001978	CARHR011480	As008G186230
OG0001979	CARHR145010	As001G023520
OG0001979	CARHR014960	As008G182890
OG0001980	CARHR145250	As001G023690
OG0001980	CARHR014800	As008G183040
OG0001981	CARHR013390	As008G184280
OG0001981	CARHR147350	As001G025280
OG0001982	CARHR147710	As001G025560
OG0001982	CARHR013210	As008G184440
OG0001983	CARHR148390	As001G026070
OG0001983	CARHR213630	As005G112750
OG0001984	CARHR148580	As001G026200
OG0001984	CARHR213760	As004G097590
OG0001985	CARHR229630	As003G060640
OG0001986	CARHR136240	As002G033250
OG0001987	CARHR209140	As005G109150
OG0001987	CARHR084750	As002G035510
OG0001988	CARHR085830	As002G037170, As012G276490
OG0001989	CARHR086000, CARHR206810	As002G037240, As002G037260
OG0001990	CARHR267500	As002G046030
OG0001990	CARHR235000	As006G132420
OG0001991	CARHR234490	As002G046910
OG0001992	CARHR234180	As002G047670, As006G134320
OG0001993	CARHR269510	As002G047890
OG0001993	CARHR234060	As006G134180
OG0001994	CARHR271330, CARHR233260	As002G049230
OG0001995	CARHR200890, CARHR193440	As002G051030
OG0001996	CARHR201490, CARHR187230	As002G051550
OG0001997	CARHR203730	As002G053610
OG0001997	CARHR114060	As007G179950
OG0001998	CARHR203960	As002G053810
OG0001998	CARHR278170	As005G117250
OG0001999	CARHR205540	As002G055150
OG0002000	CARHR275550	As009G218350
OG0002000	CARHR205810	As002G055410
OG0002001	CARHR174740	As004G089230
OG0002001	CARHR224600	As003G056260
OG0002002	CARHR226740	As003G058140, As004G087210
OG0002003	CARHR253100	As004G085600
OG0002004	CARHR254200	As004G084930
OG0002004	CARHR229870	As003G060850
OG0002005	CARHR255440	As004G084290
OG0002005	CARHR231150	As003G061860
OG0002006	CARHR231230	As003G061930
OG0002006	CARHR255580	As004G084140
OG0002007	CARHR255590	As004G084150
OG0002007	CARHR231250	As003G061950
OG0002008	CARHR256010	As004G083850
OG0002008	CARHR032190	As003G062340
OG0002009	CARHR036980, CARHR036960	As003G065730
OG0002010	CARHR128110	As003G069430
OG0002011	CARHR028670, CARHR128350	As003G069960
OG0002012	CARHR107700	As011G264500
OG0002012	CARHR243830	As003G071790
OG0002013	CARHR107810	As011G264560
OG0002013	CARHR243960	As003G071910
OG0002014	CARHR244320, CARHR108170	As003G072220
OG0002015	CARHR109200, CARHR245160	As003G073000
OG0002016	CARHR114210	As007G179840
OG0002016	CARHR246080	As003G073990
OG0002017	CARHR089330	As003G074630
OG0002017	CARHR113610	As007G180300
OG0002018	CARHR112400	As007G180950
OG0002018	CARHR247640	As003G075740
OG0002019	CARHR030810, CARHR129860	As004G079010, As004G079040
OG0002021	CARHR231340, CARHR255640	As004G084130
OG0002022	CARHR018170, CARHR175640	As004G088650
OG0002023	CARHR098830	As011G254830
OG0002023	CARHR221060	As004G095790
OG0002024	CARHR221680	As004G096090
OG0002024	CARHR098170	As011G254270
OG0002026	CARHR140010	As005G102350
OG0002026	CARHR170610	As012G286200
OG0002027	CARHR051780, CARHR167520	As012G283860
OG0002027	CARHR136690	As005G105970
OG0002028	CARHR150570	As006G129780, As005G114290
OG0002029	CARHR001080	As008G198670
OG0002029	CARHR249310	As006G122080
OG0002030	CARHR250880	As006G123400
OG0002030	CARHR002380	As008G197470
OG0002031	CARHR003980, CARHR127230	As008G195950, As006G125520
OG0002032	CARHR126070	As006G125680
OG0002032	CARHR004790	As008G194980
OG0002033	CARHR006430	As008G193380
OG0002033	CARHR124110	As006G127930
OG0002034	CARHR007280, CARHR122360	As006G129090
OG0002035	CARHR234330, CARHR268660	As006G134600
OG0002036	CARHR197510	As009G201600
OG0002036	CARHR076300	As006G135320
OG0002037	CARHR197500	As009G201610
OG0002037	CARHR076320	As006G135340
OG0002038	CARHR091890	As011G248890
OG0002038	CARHR079930	As006G138750
OG0002039	CARHR165660	As012G282060
OG0002039	CARHR134670	As006G143240
OG0002040	CARHR130870	As006G145140
OG0002040	CARHR162880	As012G276560
OG0002041	CARHR131630	As006G145740
OG0002041	CARHR163250	As012G277090
OG0002042	CARHR133010, CARHR133460, CARHR133000, CARHR133470	As006G148500
OG0002043	CARHR038890	As007G151940
OG0002044	CARHR016060, CARHR016050	As007G152130
OG0002045	CARHR016260	As007G152270
OG0002045	CARHR074040	As010G243670
OG0002046	CARHR016500	As007G152480
OG0002046	CARHR073570	As010G243220
OG0002047	CARHR016970	As007G152970
OG0002047	CARHR072810	As010G242530
OG0002048	CARHR018050	As007G153870
OG0002048	CARHR065550	As010G241130, As010G241120
OG0002049	CARHR066100	As010G240580
OG0002049	CARHR018390	As007G154260
OG0002050	CARHR021310	As007G156920
OG0002050	CARHR070020	As010G237010
OG0002051	CARHR021420, CARHR137320	As007G157010
OG0002052	CARHR021530	As007G157110
OG0002052	CARHR070240	As010G236740
OG0002053	CARHR021800	As007G157350
OG0002053	CARHR070540	As010G236420
OG0002054	CARHR023360	As007G159150
OG0002054	CARHR064420	As010G234050
OG0002055	CARHR023670	As007G159360
OG0002055	CARHR063970	As010G233640
OG0002056	CARHR115750, CARHR115740	As007G166910
OG0002057	CARHR116290	As007G167240
OG0002059	CARHR004640	As008G195200
OG0002060	CARHR063440	As010G233260
OG0002060	CARHR198470	As009G200610
OG0002061	CARHR214990	As009G216670
OG0002062	CARHR274760, CARHR274770	As009G217750
OG0002063	CARHR206080, CARHR272220	As009G220000
OG0002064	CARHR161020, CARHR161030	As010G220250
OG0002065	CARHR064950	As010G234940, As010G234930
OG0002066	CARHR070350	As010G236630
OG0002067	CARHR069430	As010G237600
OG0002068	CARHR037800, CARHR073240, CARHR072890	As010G242610
OG0002069	CARHR073000	As010G242720
OG0002069	CARHR072980	As010G242710
OG0002070	CARHR016770, CARHR073200	As010G242940
OG0002071	CARHR088030, CARHR152870	As011G245310
OG0002071	CARHR045220	As012G268370
OG0002072	CARHR088250	As012G268720
OG0002072	CARHR088240	As011G245540
OG0002073	CARHR043590	As012G269780
OG0002073	CARHR089810	As011G247000
OG0002074	CARHR222610	As012G274260
OG0002075	CARHR110400	As011G266600, As011G266610
OG0002076	CARHR045990	As012G267730
OG0002077	CARHR041750, CARHR097040	As012G271430
OG0002078	CARHR165810, CARHR165800	As012G282170
OG0002079	CARHR285620, CARHR185540	As012G289110
OG0002093	CARHR105430	As011G262560
OG0002093	CARHR242520	As001G012790
OG0002094	CARHR242900, CARHR242890	As001G014220
OG0002095	CARHR293600	As011G264280
OG0002095	CARHR243610	As001G015590
OG0002096	CARHR054910	As001G019160
OG0002096	CARHR009320	As008G188390
OG0002097	CARHR283880	As001G020040
OG0002097	CARHR010250	As008G187890
OG0002098	CARHR051870, CARHR052350	As001G021050, As001G020990
OG0002099	CARHR011180	As008G186590
OG0002099	CARHR051990	As001G021230
OG0002100	CARHR014250	As008G183510
OG0002100	CARHR145820	As001G024090
OG0002101	CARHR213700	As004G097680
OG0002101	CARHR148500	As001G026130
OG0002102	CARHR082310	As008G193520
OG0002103	CARHR046400, CARHR212540	As001G030420
OG0002104	CARHR047340, CARHR047370	As001G031080
OG0002104	CARHR212940	As004G097980
OG0002105	CARHR013010	As008G184590
OG0002105	CARHR048420	As001G031610
OG0002106	CARHR049750	As001G032220
OG0002106	CARHR228950, CARHR012310	As008G185350
OG0002107	CARHR166770	As012G283100
OG0002107	CARHR136060	As002G033430
OG0002108	CARHR211620	As005G106800
OG0002108	CARHR083340	As002G033880
OG0002109	CARHR211310, CARHR210150, CARHR084210	As002G034790
OG0002110	CARHR084270, CARHR210040	As002G034840
OG0002112	CARHR208290	As009G214170
OG0002112	CARHR085300	As002G036200
OG0002114	CARHR266670	As002G045310
OG0002115	CARHR234470	As006G134480
OG0002115	CARHR268460	As002G046920
OG0002116	CARHR268820	As002G047280
OG0002116	CARHR234270	As006G134680
OG0002117	CARHR200360, CARHR026800	As002G050550
OG0002118	CARHR187550	As009G214970
OG0002118	CARHR201550	As002G051600
OG0002119	CARHR202580, CARHR188500	As002G052490, As009G215680
OG0002120	CARHR189960	As009G217000
OG0002120	CARHR204490	As002G054310
OG0002121	CARHR275570	As009G218370
OG0002121	CARHR205830	As002G055430
OG0002122	CARHR173930	As004G091050
OG0002122	CARHR223960	As003G055700
OG0002123	CARHR176460	As004G088050
OG0002123	CARHR225940	As003G057490
OG0002124	CARHR176670	As004G087910
OG0002125	CARHR227000	As003G058390
OG0002125	CARHR178220	As004G087050
OG0002126	CARHR252370	As004G086210
OG0002126	CARHR227860	As003G059150
OG0002127	CARHR255520	As004G084210
OG0002127	CARHR231190	As003G061890
OG0002128	CARHR255980	As004G083870
OG0002128	CARHR032170	As003G062310
OG0002129	CARHR260890	As004G083170
OG0002129	CARHR033370	As003G063110
OG0002130	CARHR126530, CARHR123860	As003G063540
OG0002131	CARHR250330, CARHR001990	As003G070530, As007G154020, As007G153030, As008G197820
OG0002132	CARHR107740	As011G264530
OG0002133	CARHR243950	As003G071900
OG0002134	CARHR244410	As003G072310
OG0002135	CARHR109210, CARHR245170	As003G073010
OG0002136	CARHR247880	As003G076020
OG0002137	CARHR262810, CARHR262760, CARHR262800	As004G078390
OG0002138	CARHR128430	As004G081040
OG0002138	CARHR128410, CARHR128420	As004G081050
OG0002139	CARHR181040	As004G082130
OG0002140	CARHR256510, CARHR256440, CARHR032790	As004G083590
OG0002141	CARHR219690	As004G094840
OG0002141	CARHR099870	As011G255830
OG0002142	CARHR173320	As012G288880
OG0002142	CARHR143430	As005G098660
OG0002143	CARHR173280	As012G288840
OG0002143	CARHR143340	As005G098750
OG0002145	CARHR137160, CARHR168340	As005G105110
OG0002146	CARHR151470	As010G226030
OG0002146	CARHR190950	As005G113570
OG0002147	CARHR273480, CARHR273460	As005G114740
OG0002148	CARHR273120	As005G114970, As010G224580
OG0002149	CARHR156980	As010G222900
OG0002149	CARHR276930	As005G116000
OG0002150	CARHR159150	As005G119390
OG0002151	CARHR280940	As005G119890
OG0002151	CARHR109040	As011G265280
OG0002152	CARHR248780	As006G121340
OG0002152	CARHR000530	As008G199170
OG0002153	CARHR000630	As008G199090
OG0002153	CARHR248670	As006G121420, As006G121450, As006G121430, As006G121440
OG0002154	CARHR179160	As006G124450
OG0002154	CARHR003230	As008G197060
OG0002155	CARHR179720	As006G124840
OG0002155	CARHR003550	As008G196370
OG0002156	CARHR127210, CARHR127220	As011G256260
OG0002157	CARHR126190	As006G126130
OG0002157	CARHR004700	As008G195150
OG0002158	CARHR235310, CARHR235320	As006G134420
OG0002159	CARHR076630	As006G135630
OG0002159	CARHR197070	As009G202140
OG0002161	CARHR185250	As006G137820
OG0002162	CARHR099540	As011G255490
OG0002162	CARHR080620	As006G139680
OG0002163	CARHR081280	As006G140350
OG0002164	CARHR182410	As006G140400
OG0002165	CARHR199950, CARHR082880	As006G141860
OG0002166	CARHR166260	As012G282620
OG0002166	CARHR135460	As006G142540
OG0002168	CARHR130120	As006G144410
OG0002168	CARHR162130	As012G275860
OG0002169	CARHR158710, CARHR133300	As006G147220
OG0002170	CARHR073640	As010G243340
OG0002171	CARHR016670	As007G152690
OG0002171	CARHR073380	As010G243080
OG0002172	CARHR016690	As007G152710
OG0002172	CARHR073360	As010G243060
OG0002174	CARHR019860	As007G155630
OG0002175	CARHR070100, CARHR021410	As007G157000
OG0002176	CARHR022920	As007G158590
OG0002177	CARHR023370	As007G159160
OG0002177	CARHR064340	As010G233980
OG0002178	CARHR063720	As010G233400
OG0002178	CARHR023820	As007G159520
OG0002179	CARHR060250	As010G228080
OG0002179	CARHR026730	As007G161940
OG0002181	CARHR242370	As007G180290
OG0002182	CARHR274990	As009G217880
OG0002182	CARHR014280	As008G183490
OG0002183	CARHR013800, CARHR146980	As008G184110
OG0002184	CARHR029740, CARHR012260	As008G185390
OG0002185	CARHR049830	As008G185450
OG0002186	CARHR051950, CARHR011150	As008G186630
OG0002187	CARHR009750, CARHR082890	As008G187990, As008G187980
OG0002188	CARHR005010	As008G194770
OG0002189	CARHR085930, CARHR207210	As009G212710
OG0002190	CARHR085220, CARHR208430	As009G214050
OG0002191	CARHR096720, CARHR187320	As009G214800, As009G214810, As009G214820, As009G214830
OG0002192	CARHR152960, CARHR191390	As010G226340, As010G226370
OG0002194	CARHR045750	As012G267860
OG0002194	CARHR087500	As011G244820
OG0002195	CARHR088040	As011G245320
OG0002195	CARHR045210	As012G268390, As012G268380
OG0002196	CARHR290520	As012G274610
OG0002196	CARHR091950	As011G248930
OG0002197	CARHR092750	As011G249530
OG0002197	CARHR037860	As012G273930
OG0002198	CARHR093310	As011G250040
OG0002198	CARHR038200	As012G273610
OG0002199	CARHR093480	As011G250200
OG0002199	CARHR038280	As012G273540
OG0002200	CARHR106420, CARHR106430	As011G263110, As011G263100, As011G263120, As011G263140
OG0002201	CARHR107320, CARHR107330	As011G263850
OG0002202	CARHR293500	As011G264220
OG0002203	CARHR109370	As011G265590
OG0002204	CARHR109670, CARHR109690, CARHR109680	As011G265910
OG0002206	CARHR039740, CARHR094680	As012G272700
OG0002207	CARHR290560	As012G274600
OG0002207	CARHR290570, CARHR290590	As012G274590
OG0002209	CARHR140630, CARHR171280	As012G287010
OG0002219	CARHR236920	As011G266500, As001G001030
OG0002220	CARHR237340	As001G001360
OG0002220	CARHR110120	As011G266370
OG0002221	CARHR237490	As001G001410
OG0002221	CARHR110010	As011G266270
OG0002222	CARHR240390	As001G003170
OG0002223	CARHR238880, CARHR024920	As001G003220
OG0002224	CARHR117320	As007G177890
OG0002224	CARHR239460	As001G003870
OG0002225	CARHR239920, CARHR116380	As001G004480, As007G167250
OG0002226	CARHR242180	As001G013710
OG0002226	CARHR105820	As011G262760
OG0002227	CARHR107410	As011G264310
OG0002228	CARHR129550	As004G079560
OG0002228	CARHR031800	As001G016920
OG0002229	CARHR143790	As001G022380
OG0002230	CARHR015170	As008G182770
OG0002230	CARHR144570	As001G023120
OG0002231	CARHR146450	As001G024520
OG0002231	CARHR013900, CARHR013910	As008G183860
OG0002232	CARHR147010	As001G025040
OG0002232	CARHR013810	As008G184120
OG0002234	CARHR262460	As004G078540
OG0002234	CARHR151960	As001G027460
OG0002236	CARHR215550	As004G077180
OG0002237	CARHR216120	As004G077070
OG0002237	CARHR057490	As001G029300
OG0002238	CARHR046660, CARHR272940	As001G030680
OG0002239	CARHR049500	As001G032110
OG0002240	CARHR270990	As002G048910
OG0002240	CARHR233450	As002G032600
OG0002241	CARHR211560	As005G106870
OG0002241	CARHR083380	As002G033920
OG0002242	CARHR084690, CARHR209210	As002G035430
OG0002243	CARHR074430	As002G035850
OG0002244	CARHR086300, CARHR276790	As002G037570
OG0002245	CARHR232540	As007G164410
OG0002245	CARHR256770	As002G043270
OG0002246	CARHR264770	As002G043800
OG0002247	CARHR264920	As002G043870
OG0002248	CARHR267790	As002G046280
OG0002248	CARHR234900	As006G132480
OG0002249	CARHR268420	As002G046860
OG0002249	CARHR234520	As006G134430
OG0002250	CARHR234170	As006G134310
OG0002251	CARHR269680	As002G048040
OG0002251	CARHR233990	As006G134130
OG0002252	CARHR271350, CARHR233250	As003G068140, As003G068150, As002G049250
OG0002253	CARHR026820	As002G050570, As007G162200
OG0002254	CARHR193510, CARHR200800	As002G050950
OG0002255	CARHR187430	As005G109480
OG0002255	CARHR201130	As002G051240
OG0002256	CARHR176400	As004G088090
OG0002256	CARHR225910	As003G057450
OG0002257	CARHR229210	As003G060360
OG0002257	CARHR229200	As003G060350
OG0002258	CARHR030280, CARHR129030	As003G071400
OG0002259	CARHR244680, CARHR244670	As003G072530
OG0002260	CARHR215910	As003G073150
OG0002261	CARHR245360, CARHR245370	As003G073200
OG0002262	CARHR245660	As003G073490
OG0002262	CARHR292900	As007G179650
OG0002263	CARHR246930	As003G074930
OG0002263	CARHR113390	As007G180440
OG0002264	CARHR294400	As003G076150
OG0002264	CARHR111900	As007G182000
OG0002265	CARHR263060, CARHR154050	As004G078230
OG0002266	CARHR181760	As004G082310
OG0002267	CARHR219350	As004G094550
OG0002267	CARHR100080	As011G256140
OG0002268	CARHR220590	As004G095460
OG0002269	CARHR220770	As004G095670
OG0002269	CARHR098960	As011G254970
OG0002270	CARHR098840, CARHR098850	As004G095780
OG0002271	CARHR098070	As011G254180
OG0002271	CARHR221780	As004G096150
OG0002273	CARHR140660	As005G101670
OG0002274	CARHR139460	As005G102930
OG0002274	CARHR170380	As012G285990
OG0002275	CARHR139320	As005G103040
OG0002276	CARHR139300	As005G103070
OG0002276	CARHR170260	As012G285930
OG0002277	CARHR168170	As012G284270
OG0002277	CARHR137300	As005G105240
OG0002278	CARHR167610	As012G283950
OG0002278	CARHR136830	As005G105690
OG0002279	CARHR211810, CARHR258990	As005G106590
OG0002279	CARHR077200	As006G136200
OG0002280	CARHR151110	As010G225820
OG0002280	CARHR190630	As005G113800
OG0002281	CARHR151020	As010G225790
OG0002281	CARHR190600	As005G113820
OG0002282	CARHR273970	As005G114390
OG0002283	CARHR279350	As005G118460
OG0002284	CARHR248990	As006G121770
OG0002285	CARHR251890, CARHR251900	As006G124180
OG0002285	CARHR002990	As008G196900
OG0002286	CARHR179140	As006G124410
OG0002287	CARHR005080	As008G194720
OG0002287	CARHR125620	As006G126840
OG0002288	CARHR124740, CARHR005730	As006G127520
OG0002289	CARHR007250, CARHR007220	As008G192670, As006G143160, As006G129000
OG0002290	CARHR119710	As006G130740
OG0002291	CARHR241060, CARHR114990	As006G131820
OG0002292	CARHR198700	As009G199850
OG0002292	CARHR075380	As006G133070
OG0002293	CARHR076020	As006G135020
OG0002293	CARHR197860	As009G201080
OG0002294	CARHR197060	As009G202150
OG0002294	CARHR076640	As006G135640
OG0002295	CARHR196810, CARHR076780	As006G135770
OG0002296	CARHR196450	As009G202680
OG0002296	CARHR076960	As006G135950
OG0002297	CARHR196360	As009G202760
OG0002298	CARHR077510	As006G136540
OG0002299	CARHR186550	As009G205760
OG0002299	CARHR080150	As006G139080
OG0002300	CARHR182300	As009G208050
OG0002301	CARHR081540, CARHR286220	As006G140570
OG0002302	CARHR131570	As006G145700
OG0002302	CARHR163240	As012G276990
OG0002303	CARHR074010	As010G243690
OG0002303	CARHR016240	As007G152260
OG0002304	CARHR016780	As007G152800
OG0002304	CARHR073180	As010G242920
OG0002305	CARHR072920	As010G242620
OG0002305	CARHR016910	As007G152910
OG0002306	CARHR017140	As007G153120
OG0002306	CARHR072700	As010G242410
OG0002307	CARHR067710	As010G239080
OG0002308	CARHR021520	As007G157100
OG0002308	CARHR070230	As010G236750
OG0002309	CARHR022220	As007G157880
OG0002309	CARHR071120	As010G235820
OG0002310	CARHR022340	As007G158020
OG0002310	CARHR071250	As010G235690
OG0002311	CARHR024280	As007G159800
OG0002311	CARHR063400	As010G233250
OG0002313	CARHR025610	As007G160900
OG0002313	CARHR062020	As010G232070
OG0002314	CARHR026750	As007G161970
OG0002314	CARHR060180	As010G228200
OG0002315	CARHR238330	As007G179120
OG0002317	CARHR007720, CARHR204760, CARHR249550	As008G191700
OG0002318	CARHR213440	As008G192040
OG0002320	CARHR001090	As009G203290, As008G198660
OG0002321	CARHR087010	As009G210450
OG0002322	CARHR065770, CARHR065760	As009G213810
OG0002324	CARHR064440, CARHR064430, CARHR063030	As010G234070, As010G234060
OG0002325	CARHR045600	As012G267960
OG0002326	CARHR087990	As011G245270
OG0002326	CARHR045310	As012G268280
OG0002327	CARHR044000	As012G269490
OG0002327	CARHR089410	As011G246480
OG0002328	CARHR090780	As011G247870
OG0002328	CARHR042790, CARHR054610	As012G270520
OG0002329	CARHR093670	As011G250400
OG0002329	CARHR038750	As012G273150
OG0002330	CARHR039120	As012G273200
OG0002330	CARHR093770	As011G250470
OG0002331	CARHR096920	As011G253230
OG0002331	CARHR041660	As012G271530
OG0002332	CARHR293280, CARHR105950, CARHR183530, CARHR292400, CARHR215450, CARHR151370, CARHR102580	As011G259980
OG0002333	CARHR242330	As011G262900
OG0002334	CARHR111340, CARHR235990	As011G267380
OG0002335	CARHR042380, CARHR091280	As012G270830
OG0002336	CARHR042360	As012G270850
OG0002337	CARHR162240	As012G276000
OG0002338	CARHR166170, CARHR135380	As012G282580
OG0002339	CARHR136480, CARHR167290	As012G283640
OG0002348	CARHR111280, CARHR236170	As001G000290
OG0002349	CARHR236330	As001G000470
OG0002349	CARHR110990	As011G267120
OG0002350	CARHR236860	As011G266520
OG0002350	CARHR110290	As001G000960
OG0002351	CARHR118290	As007G178570
OG0002351	CARHR238570	As001G002790
OG0002352	CARHR117680	As007G178130
OG0002352	CARHR239120	As001G003450
OG0002353	CARHR243470, CARHR042980	As001G015080, As001G015070
OG0002354	CARHR030910	As001G015950
OG0002354	CARHR129840	As004G079070
OG0002355	CARHR056040, CARHR079600	As001G018710
OG0002356	CARHR009680	As008G188060
OG0002356	CARHR053790	As001G019650
OG0002357	CARHR168240	As001G020450
OG0002357	CARHR010630	As008G187120
OG0002358	CARHR144540	As008G182760, As001G023080
OG0002359	CARHR015020	As008G182860
OG0002359	CARHR144870	As001G023380
OG0002360	CARHR144970, CARHR215290	As001G023460, As001G023470
OG0002361	CARHR213790	As004G097560
OG0002361	CARHR148650	As001G026270
OG0002362	CARHR149050	As001G026570
OG0002362	CARHR261560	As004G097290
OG0002363	CARHR149630, CARHR261790	As001G026840
OG0002364	CARHR057660	As001G029260
OG0002365	CARHR056580	As001G029650
OG0002365	CARHR216660	As004G076890
OG0002366	CARHR012930, CARHR048570	As001G031630
OG0002367	CARHR270170	As002G048220
OG0002367	CARHR233900	As002G033030
OG0002368	CARHR136170	As002G033500, As002G033510
OG0002369	CARHR135690	As002G033860
OG0002370	CARHR211260	As005G107180
OG0002371	CARHR084410	As002G034980
OG0002371	CARHR209830	As005G108380
OG0002372	CARHR085560	As002G036740
OG0002372	CARHR207900	As009G213590
OG0002373	CARHR086690	As002G038720
OG0002374	CARHR232020, CARHR258640	As002G040940
OG0002375	CARHR230690	As003G061380
OG0002375	CARHR264070	As002G043310
OG0002376	CARHR232950	As007G165370
OG0002376	CARHR265120	As002G044030
OG0002377	CARHR235120	As006G132320
OG0002377	CARHR267410	As002G045900
OG0002378	CARHR234750	As006G132580
OG0002378	CARHR268110	As002G046560
OG0002379	CARHR270690	As002G048600
OG0002380	CARHR278850	As005G117870
OG0002380	CARHR203400	As002G053410
OG0002381	CARHR277530	As005G116610
OG0002382	CARHR205350	As002G054990
OG0002382	CARHR275000	As009G217890
OG0002383	CARHR176000	As004G088440
OG0002383	CARHR225320	As003G056960
OG0002384	CARHR178550	As004G086770
OG0002385	CARHR252120	As004G086410
OG0002385	CARHR227670	As003G059010
OG0002386	CARHR253640	As004G085290
OG0002387	CARHR292970	As007G179590
OG0002389	CARHR294000, CARHR129590	As003G075930
OG0002390	CARHR230030, CARHR129480, CARHR031980	As004G079660
OG0002392	CARHR131210, CARHR227680, CARHR252160	As004G086380
OG0002393	CARHR218580	As004G093590
OG0002393	CARHR101290	As011G257490
OG0002394	CARHR218890	As004G094020
OG0002394	CARHR100550	As011G256530
OG0002396	CARHR099280	As011G255320
OG0002396	CARHR220560	As004G095390
OG0002397	CARHR261360, CARHR148770	As004G097460
OG0002398	CARHR143540	As005G098570
OG0002398	CARHR173380	As012G288950
OG0002399	CARHR173060	As005G099170
OG0002400	CARHR141700	As005G100690
OG0002400	CARHR172010	As012G287710
OG0002401	CARHR141080	As005G101260
OG0002401	CARHR171540	As012G287290
OG0002402	CARHR140720	As005G101600
OG0002402	CARHR171310	As012G287030
OG0002403	CARHR066760	As005G103330, As010G239880
OG0002404	CARHR138570	As005G103860
OG0002404	CARHR189520	As009G216560
OG0002406	CARHR192300, CARHR153750	As005G111770
OG0002407	CARHR152530	As010G227090
OG0002408	CARHR150700	As010G225340
OG0002408	CARHR274210	As005G114180
OG0002409	CARHR278900	As005G117920
OG0002410	CARHR158940	As010G221420
OG0002410	CARHR280010	As005G119040
OG0002411	CARHR018190	As007G154010
OG0002411	CARHR065750	As010G240950, As006G120970
OG0002412	CARHR000580, CARHR248880	As006G121270
OG0002413	CARHR000750	As008G198970
OG0002414	CARHR002740	As008G197140
OG0002414	CARHR251390	As006G123790
OG0002416	CARHR180130	As006G125040
OG0002416	CARHR003660	As008G196270
OG0002417	CARHR126790	As006G125930
OG0002417	CARHR004330	As008G195600
OG0002418	CARHR125700	As006G126740
OG0002418	CARHR005040	As008G194760
OG0002419	CARHR006460	As008G193350
OG0002419	CARHR124050	As006G127970
OG0002420	CARHR120670	As006G130200
OG0002421	CARHR008120	As006G130420
OG0002422	CARHR268150	As006G132600
OG0002423	CARHR076130, CARHR197740	As006G135160
OG0002424	CARHR197450	As009G201660
OG0002424	CARHR076380	As006G135400
OG0002425	CARHR076430	As006G135440
OG0002425	CARHR197380	As009G201750
OG0002426	CARHR197270	As009G201930
OG0002427	CARHR077140	As006G136130
OG0002427	CARHR196120	As009G202970
OG0002428	CARHR078030	As006G137190
OG0002428	CARHR194890	As009G204040
OG0002430	CARHR082940	As006G141940, As011G249920
OG0002431	CARHR165300	As012G281710
OG0002431	CARHR134350	As006G143550
OG0002432	CARHR134260	As006G143880
OG0002433	CARHR016380	As007G152330
OG0002434	CARHR017160	As007G153130
OG0002435	CARHR066670	As010G240000
OG0002435	CARHR018800	As007G154550
OG0002436	CARHR022130	As007G157780
OG0002436	CARHR071020	As010G235980
OG0002437	CARHR022520	As007G158170
OG0002438	CARHR022650, CARHR071660	As007G158300
OG0002439	CARHR065020	As010G235050
OG0002439	CARHR022880	As007G158550
