Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000089	CARHR203590	As002G053510
OG0000089	CARHR094190	As011G250900
OG0000089	CARHR131960	As012G277570
OG0000089	CARHR285740, CARHR155270	As010G224530, As005G115200
OG0000090	CARHR284690	As004G082910
OG0000090	CARHR069500	As003G065330
OG0000090	CARHR288810, CARHR145520, CARHR145510, CARHR145500, CARHR145480, CARHR010350	As012G273080
OG0000093	CARHR168740, CARHR168770, CARHR168730, CARHR168630, CARHR103160, CARHR103150, CARHR219320, CARHR168710, CARHR168690	As012G284680, As012G284700, As012G284660
OG0000096	CARHR177990	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360
OG0000098	CARHR156260, CARHR048950, CARHR048730, CARHR049190, CARHR049220, CARHR048980, CARHR048930, CARHR049010	As001G018420, As001G018430, As001G018440
OG0000098	CARHR049360	As006G138310
OG0000098	CARHR220960	As006G138320
OG0000098	CARHR220990, CARHR220970, CARHR012600, CARHR255820, CARHR012590, CARHR220850, CARHR012520, CARHR013070	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000104	CARHR122230	As006G129180, As006G129160
OG0000104	CARHR258870	As012G271240, As012G271230
OG0000104	CARHR041960	As012G271220
OG0000104	CARHR041970, CARHR041980	As012G271190, As012G271200
OG0000104	CARHR122150, CARHR122160	As006G129190
OG0000106	CARHR159080, CARHR093690, CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860, CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380	As002G041170, As002G041390, As002G041440
OG0000107	CARHR095660	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	As011G252340
OG0000108	CARHR253270, CARHR188180, CARHR174970, CARHR046250, CARHR000040, CARHR188170, CARHR103960	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	CARHR221770	As002G048150
OG0000112	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	CARHR151520, CARHR294530, CARHR078370, CARHR078360, CARHR071840, CARHR251920, CARHR071800, CARHR202050, CARHR202010, CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970, CARHR120620, CARHR054550, CARHR054640, CARHR054580, CARHR106050	As006G137050, As006G137080
OG0000122	CARHR036540	As002G036520
OG0000123	CARHR014030	As008G183790, As008G183770
OG0000123	CARHR014040	As008G183760
OG0000123	CARHR233830	As008G183750
OG0000123	CARHR009210	As008G183720
OG0000125	CARHR210790	As005G107620
OG0000125	CARHR190650	As005G113770
OG0000125	CARHR273520	As005G114700, As010G224880
OG0000125	CARHR121850	As006G129500
OG0000130	CARHR288220	As010G226930
OG0000130	CARHR294480, CARHR217380	As002G040790
OG0000133	CARHR184120	As007G167120, As007G166850, As004G092840, As011G261830
OG0000136	CARHR058600	As001G028730
OG0000136	CARHR214760, CARHR214790	As005G116580, As005G116570
OG0000138	CARHR113950	As010G224060
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	As001G027950, As001G027940, As007G161530
OG0000140	CARHR285530	As005G115230
OG0000140	CARHR285410, CARHR272760, CARHR272770, CARHR053670, CARHR272750, CARHR285460, CARHR285480	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000146	CARHR268680	As002G047180
OG0000146	CARHR268700, CARHR268690	As002G047190
OG0000147	CARHR109500	As011G265720
OG0000147	CARHR238090	As001G002190
OG0000147	CARHR271150	As002G049060
OG0000147	CARHR073860	As010G243490
OG0000147	CARHR153650	As010G227330
OG0000147	CARHR104060	As011G259420
OG0000149	CARHR154800, CARHR154790, CARHR154820	As010G224590
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220, CARHR273240, CARHR273230, CARHR273250, CARHR219850, CARHR273160, CARHR122210, CARHR273130, CARHR154780	As010G224610
OG0000150	CARHR263010, CARHR256190, CARHR207890, CARHR143200, CARHR150140, CARHR150080, CARHR114860, CARHR059580, CARHR150110	As010G225180, As010G225220, As010G225210
OG0000151	CARHR235660	As007G166070
OG0000151	CARHR082990	As006G141980, As006G133740
OG0000151	CARHR107000	As011G263600
OG0000151	CARHR269520	As002G047900
OG0000151	CARHR046700	As001G030700
OG0000154	CARHR016540	As007G152520
OG0000154	CARHR087080	As009G210670
OG0000154	CARHR083800, CARHR083820, CARHR083810	As009G210600, As007G163150, As009G210630
OG0000154	CARHR083850	As002G034300
OG0000154	CARHR210880	As005G107550
OG0000155	CARHR234950, CARHR164960, CARHR249150, CARHR164950, CARHR227980	As003G059350
OG0000156	CARHR171330	As012G287040, As012G287050
OG0000156	CARHR140780, CARHR140790, CARHR140740	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	CARHR171350	As001G028010
OG0000161	CARHR275720, CARHR275710, CARHR275730, CARHR120610, CARHR120240, CARHR120250, CARHR056680, CARHR056760, CARHR056690	As001G013550, As001G029600, As001G029610
OG0000162	CARHR069160, CARHR059610	As012G286440
OG0000162	CARHR140170, CARHR121990	As005G102210
OG0000167	CARHR266210, CARHR260280, CARHR226380	As003G057890
OG0000169	CARHR019250, CARHR067410, CARHR067450	As010G239290
OG0000171	CARHR142560	As005G099780
OG0000171	CARHR010800	As007G159620
OG0000171	CARHR052550	As001G020870
OG0000171	CARHR198650	As009G200410
OG0000175	CARHR160880	As010G220360
OG0000175	CARHR020570	As007G156270
OG0000175	CARHR243300	As011G263590
OG0000175	CARHR108220	As011G264780, As003G072250
OG0000184	CARHR157490, CARHR154180, CARHR181110	As004G089570
OG0000187	CARHR117260, CARHR037460, CARHR239530, CARHR239540, CARHR239520	As001G003940
OG0000187	CARHR239600	As001G003960
OG0000190	CARHR253020, CARHR250370, CARHR250360, CARHR259510, CARHR252970, CARHR263930, CARHR252960	As004G085680
OG0000191	CARHR091820	As007G152760
OG0000192	CARHR181970	As007G157190
OG0000192	CARHR021670	As007G157180, As007G157200, As007G157210
OG0000195	CARHR058380, CARHR215030	As001G028840
OG0000195	CARHR191680	As002G033300
OG0000200	CARHR291830, CARHR263700	As008G194290
OG0000203	CARHR201470	As006G136770
OG0000204	CARHR084930, CARHR043980	As011G253820
OG0000204	CARHR098530	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
