Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0002789	CARHR221220	El003G174430
OG0002790	CARHR098210	El005G261140
OG0002790	CARHR098230	El005G261160
OG0002791	CARHR222150	El003G173020
OG0002792	CARHR261840, CARHR261830	El003G190810
OG0002793	CARHR142370	El006G280890
OG0002793	CARHR172490	El001G034430
OG0002794	CARHR171140	El001G032610
OG0002795	CARHR170640	El001G032030
OG0002796	CARHR138700	El006G285300
OG0002796	CARHR138730	El006G285270
OG0002797	CARHR137350	El006G286840
OG0002798	CARHR136860	El006G287510
OG0002798	CARHR167620	El001G028860
OG0002799	CARHR132820	El006G292010
OG0002799	CARHR211790	El001G081610
OG0002800	CARHR209690	El001G079090, El001G079130
OG0002801	CARHR152600, CARHR152610	El001G011750
OG0002801	CARHR192020	El001G059240
OG0002802	CARHR191780	El001G058930
OG0002803	CARHR155660	El001G016500
OG0002803	CARHR272800	El007G332480
OG0002804	CARHR280640	El007G323250
OG0002805	CARHR006990	El002G089760
OG0002805	CARHR123010	El006G303140
OG0002806	CARHR001630	El002G084000
OG0002806	CARHR250030	El001G001830
OG0002808	CARHR126270	El006G299770
OG0002809	CARHR124980	El006G301090
OG0002809	CARHR005630	El002G088490
OG0002810	CARHR006350	El002G089040
OG0002810	CARHR124270	El006G301820
OG0002811	CARHR122490, CARHR122500	El006G303940, El006G303870
OG0002812	CARHR120030	El006G307010
OG0002812	CARHR008220	El002G091070
OG0002813	CARHR075230	El005G235320
OG0002813	CARHR198930	El001G067100
OG0002814	CARHR197710	El001G065770
OG0002814	CARHR076170	El005G236370
OG0002815	CARHR077390	El005G237670
OG0002815	CARHR195740	El001G063490
OG0002816	CARHR078340, CARHR078310, CARHR078330, CARHR078320	El005G238780
OG0002817	CARHR078510	El005G238940
OG0002817	CARHR194530	El001G062190
OG0002818	CARHR079330	El008G369160, El005G239850
OG0002818	CARHR185810	El001G049030
OG0002819	CARHR193980	El001G061460
OG0002819	CARHR080700	El005G241360, El004G208960
OG0002820	CARHR080980	El005G241700
OG0002821	CARHR081440	El005G242120
OG0002822	CARHR078790	El005G239190
OG0002823	CARHR162630	El001G023270
OG0002823	CARHR130520	El006G294600
OG0002824	CARHR163820	El001G024570
OG0002825	CARHR074220	El004G234250
OG0002826	CARHR073550	El004G233410
OG0002826	CARHR016520	El002G100090
OG0002827	CARHR018070	El002G101590
OG0002827	CARHR065580	El004G224750
OG0002828	CARHR018100	El002G101630
OG0002828	CARHR065620	El004G224800
OG0002829	CARHR018500	El002G102030
OG0002829	CARHR066260	El004G225420
OG0002830	CARHR067840	El004G227110
OG0002830	CARHR019450	El002G102980
OG0002831	CARHR068070	El004G227310
OG0002831	CARHR019560	El002G103110
OG0002832	CARHR069820	El004G229080
OG0002833	CARHR021020	El002G104910
OG0002833	CARHR069830	El004G229090
OG0002834	CARHR024270	El002G109260
OG0002834	CARHR063430, CARHR063420, CARHR063410	El004G221810
OG0002835	CARHR062120	El004G220280
OG0002835	CARHR025570	El002G111040
OG0002836	CARHR025890	El002G111880
OG0002837	CARHR061220	El004G219180
OG0002837	CARHR026080	El002G112080
OG0002838	CARHR216290	El003G160480
OG0002838	CARHR258810	El007G344790
OG0002840	CARHR247550	El003G142660
OG0002840	CARHR112480	El006G321040
OG0002841	CARHR126300	El006G299660
OG0002841	CARHR004610	El002G087280
OG0002842	CARHR002340	El002G085040, El004G210630
OG0002844	CARHR198400, CARHR198390, CARHR198410	El001G066560
OG0002845	CARHR194200	El001G061710
OG0002847	CARHR045790	El002G141310, El004G232590, El005G248720
OG0002848	CARHR188960	El001G055320
OG0002849	CARHR189190	El001G055610
OG0002850	CARHR275500	El005G265700
OG0002851	CARHR189850	El001G056360
OG0002851	CARHR157670	El001G018520
OG0002852	CARHR189970	El001G056450
OG0002853	CARHR275580	El007G328960, El007G329000, El007G328980, El007G328900
OG0002854	CARHR272710	El007G332630
OG0002854	CARHR272700	El007G332640
OG0002854	CARHR272690	El004G207780, El004G207740
OG0002855	CARHR075570	El005G235660
OG0002855	CARHR272590	El007G332750, El007G335530
OG0002856	CARHR155910	El001G016580
OG0002856	CARHR272510	El007G332780
OG0002857	CARHR159200	El001G020240
OG0002858	CARHR158070	El001G019110
OG0002859	CARHR273320	El007G331230
OG0002859	CARHR154570	El001G015320
OG0002860	CARHR242910	El003G147930
OG0002860	CARHR106510	El005G273490
OG0002861	CARHR001730	El002G084100
OG0002861	CARHR064270	El004G222780
OG0002862	CARHR067700	El004G226970
OG0002863	CARHR073770	El004G233640
OG0002863	CARHR016390	El002G099950
OG0002864	CARHR045170	El002G140480
OG0002864	CARHR088120	El005G249400
OG0002865	CARHR088500	El005G249770
OG0002866	CARHR044580	El002G139870
OG0002867	CARHR088920	El005G250220
OG0002867	CARHR044460	El002G139750
OG0002868	CARHR090510	El005G252020
OG0002868	CARHR043150	El002G137890
OG0002869	CARHR040840	El002G135050
OG0002869	CARHR096270	El005G258340
OG0002871	CARHR105560	El005G272660
OG0002871	CARHR105570, CARHR105610	El005G272670
OG0002872	CARHR228680	El003G163910
OG0002872	CARHR106880	El005G273840
OG0002873	CARHR238170	El003G152820
OG0002873	CARHR109400	El005G277270
OG0002874	CARHR111630	El002G125460
OG0002875	CARHR040940	El002G135170
OG0002875	CARHR096330	El005G258380
OG0002876	CARHR039330	El002G133320
OG0002877	CARHR165040	El001G025910
OG0002877	CARHR134030	El006G290710
OG0002878	CARHR135780	El006G288830
OG0002879	CARHR167280	El001G028480
OG0002879	CARHR136450, CARHR136440	El006G288020
OG0002880	CARHR167530	El001G028780
OG0002880	CARHR207530	El001G076490
OG0002881	CARHR168010	El001G029230, El001G029240
OG0002882	CARHR176780	El007G363140
OG0002882	CARHR177250	El007G365310, El007G362680
OG0002885	CARHR092260	El005G253860
OG0002886	CARHR196980, CARHR196970	El001G064950
OG0002886	CARHR196960	El001G064780, El001G064940
OG0002887	CARHR198710	El001G066880
OG0002890	CARHR111300	El005G279170
OG0002890	CARHR236110	El003G155550
OG0002891	CARHR184880	El006G317940
OG0002891	CARHR238360	El003G152590
OG0002892	CARHR116470	El006G315440
OG0002893	CARHR240030	El003G150720
OG0002893	CARHR116220	El006G314920
OG0002894	CARHR104530	El001G012650
OG0002894	CARHR240610	El003G150110
OG0002895	CARHR286470	El006G313380
OG0002895	CARHR240950	El003G149730
OG0002896	CARHR241790	El003G175600, El003G148930
OG0002896	CARHR105250	El005G272300
OG0002897	CARHR243040	El003G147680
OG0002897	CARHR106760	El005G273770, El007G357480
OG0002898	CARHR091860	El005G253390
OG0002898	CARHR091040	El005G273830, El007G350970
OG0002899	CARHR031580	El002G119590
OG0002899	CARHR129690	El006G295580
OG0002900	CARHR129910	El006G295360
OG0002900	CARHR223470	El003G170390
OG0002901	CARHR010850	El002G093720
OG0002901	CARHR051820	El004G200460
OG0002902	CARHR050550	El004G199100
OG0002902	CARHR011840	El002G094820
OG0002903	CARHR015690	El002G099220, El002G099240
OG0002904	CARHR015230	El002G098740
OG0002904	CARHR144450	El001G036860
OG0002905	CARHR149810	El001G043170
OG0002906	CARHR047700	El004G195790
OG0002906	CARHR213020	El003G192500
OG0002907	CARHR271230	El007G334240
OG0002907	CARHR233300	El003G158630
OG0002908	CARHR271800	El007G333550, El003G184560
OG0002909	CARHR085160	El005G245990
OG0002909	CARHR208510	El001G077780
OG0002910	CARHR207070	El001G075600
OG0002910	CARHR086210	El005G247340
OG0002911	CARHR086930	El005G248210
OG0002911	CARHR199570	El001G067770
OG0002912	CARHR266910	El007G338960
OG0002912	CARHR025260	El002G111380
OG0002913	CARHR267770	El007G337930
OG0002913	CARHR234940	El003G157020
OG0002914	CARHR269410	El007G336120
OG0002914	CARHR234120	El003G157890
OG0002915	CARHR271980, CARHR271860	El007G333500, El007G333360
OG0002916	CARHR027020, CARHR026790	El002G112810, El002G113060
OG0002917	CARHR201180	El001G069570
OG0002917	CARHR187410	El001G051680
OG0002918	CARHR190340	El001G056900
OG0002919	CARHR205410	El001G074050
OG0002920	CARHR275890	El007G328620
OG0002921	CARHR223970	El003G169750
OG0002921	CARHR173940	El007G366540
OG0002924	CARHR254070	El001G006670
OG0002924	CARHR229700	El003G162750
OG0002925	CARHR229960	El003G162550
OG0002926	CARHR032370, CARHR032360	El002G120620
OG0002926	CARHR256160	El001G008790
OG0002927	CARHR033200	El002G121780
OG0002928	CARHR033720	El002G122610
OG0002928	CARHR290920	El004G223620
OG0002929	CARHR034010	El002G123420
OG0002929	CARHR022680	El002G107360
OG0002930	CARHR127960	El006G297930
OG0002930	CARHR027840	El002G114100
OG0002931	CARHR243940	El003G146660
OG0002932	CARHR245430	El003G145160
OG0002932	CARHR293130	El006G318400
OG0002933	CARHR245770	El003G144720
OG0002933	CARHR114350	El006G318850
OG0002934	CARHR246270	El007G337960
OG0002934	CARHR113990	El006G319510
OG0002935	CARHR106820, CARHR247590	El003G142640
OG0002936	CARHR247660	El003G142560
OG0002936	CARHR112340	El006G321180
OG0002937	CARHR247770	El003G142450
OG0002938	CARHR294280	El003G142000
OG0002939	CARHR254210	El001G011010, El001G006850
OG0002940	CARHR128310	El006G297120
OG0002940	CARHR259450	El001G011270
OG0002941	CARHR193120	El003G179800
OG0002942	CARHR220150	El003G175870
OG0002942	CARHR099720	El005G265640
OG0002943	CARHR213250	El003G192270
OG0002943	CARHR110430, CARHR213240	El003G192320
OG0002944	CARHR172820	El001G034770
OG0002944	CARHR142830	El006G280380
OG0002945	CARHR016220	El002G099750
OG0002946	CARHR141610	El006G281740
OG0002947	CARHR170670	El001G032060, El008G369360
OG0002947	CARHR140140	El006G283620
OG0002948	CARHR202860	El001G055220
OG0002949	CARHR139620	El006G284230
OG0002949	CARHR139630, CARHR150030	El004G205200, El004G205230
OG0002950	CARHR281740	El007G322010
OG0002950	CARHR161040	El001G021700
OG0002951	CARHR139060	El006G284930
OG0002952	CARHR138810	El006G285190
OG0002952	CARHR169980	El001G031240
OG0002953	CARHR138580	El006G285380
OG0002954	CARHR169920	El001G031120
OG0002954	CARHR138490	El006G285450
OG0002955	CARHR211830	El001G081670
OG0002955	CARHR083260	El005G244030
OG0002956	CARHR118920	El001G059010
OG0002956	CARHR191720	El001G058850
OG0002957	CARHR150040	El001G014510
OG0002957	CARHR273900	El007G330710
OG0002958	CARHR190570	El001G057220, El001G057250
OG0002959	CARHR202950	El001G071650
OG0002959	CARHR279210	El007G324950
OG0002960	CARHR280250	El007G323690
OG0002961	CARHR281180	El007G322630
OG0002961	CARHR160380	El001G021040, El002G126230
OG0002962	CARHR028140	El002G114540
OG0002963	CARHR249470	El001G001460
OG0002963	CARHR001300	El002G083710
OG0002964	CARHR250510	El001G002830
OG0002965	CARHR179030	El007G360320
OG0002965	CARHR003130	El002G085610
OG0002966	CARHR003270	El002G085770
OG0002966	CARHR179170	El007G360120
OG0002967	CARHR179480	El007G359850
OG0002967	CARHR003490	El002G086000
OG0002968	CARHR003500	El002G086060
OG0002968	CARHR179530	El007G359820
OG0002969	CARHR003860	El002G086530
OG0002969	CARHR127330	El006G298630
OG0002970	CARHR127240	El006G298800
OG0002970	CARHR003960	El002G086640
OG0002971	CARHR003950	El002G086630
OG0002972	CARHR004630	El002G087300
OG0002972	CARHR126250	El006G299780
OG0002973	CARHR005720	El002G088590
OG0002973	CARHR124750	El006G301330
OG0002974	CARHR122060	El006G304390
OG0002974	CARHR007420	El002G090240
OG0002975	CARHR240820	El003G149870
OG0002975	CARHR115330	El006G313590
OG0002976	CARHR198810	El001G066980
OG0002976	CARHR075330	El005G235420
OG0002977	CARHR075410	El005G235500
OG0002977	CARHR198630	El001G066800
OG0002978	CARHR272780	El007G332510
OG0002979	CARHR268740	El007G336770
OG0002979	CARHR234310	El003G157650
OG0002980	CARHR079630	El005G240180
OG0002980	CARHR186090	El001G049590
OG0002981	CARHR080670	El005G241320
OG0002981	CARHR193930	El001G061410
OG0002982	CARHR130570	El006G294550
OG0002982	CARHR162640	El001G023280
OG0002983	CARHR130970	El006G294040
OG0002983	CARHR162970	El001G023720
OG0002984	CARHR131010	El006G294010
OG0002984	CARHR131040	El006G308160
OG0002985	CARHR131670	El006G293370
OG0002985	CARHR163280	El001G023990
OG0002986	CARHR201210	El001G011130
OG0002988	CARHR068810	El004G227990
OG0002988	CARHR034620, CARHR218780, CARHR020230	El037G374530, El002G104000
OG0002990	CARHR026010	El002G112010
OG0002990	CARHR061310	El004G219300
OG0002991	CARHR232920, CARHR232930	El003G159000, El003G158990
OG0002993	CARHR040170, CARHR189180	El002G092430, El007G344720, El002G114060, El002G114020
OG0002994	CARHR055250, CARHR004470	El002G087170
OG0002995	CARHR227350	El003G165270
OG0002995	CARHR002580	El002G085110
OG0002996	CARHR186960	El001G051310
OG0002997	CARHR185380	El001G047370
OG0002997	CARHR185360	El007G335910, El001G047430
OG0002998	CARHR206240	El001G074930
OG0002998	CARHR086750	El005G248020
OG0002999	CARHR207810	El001G076840
OG0002999	CARHR211680	El004G224780
OG0003000	CARHR274970, CARHR099960	El003G191250, El007G329650
OG0003001	CARHR276010	El007G328460
OG0003001	CARHR205970	El001G074620
OG0003003	CARHR017950	El002G101450
OG0003003	CARHR065320	El004G224460
OG0003004	CARHR043670	El002G138840
OG0003004	CARHR089770	El005G251180
OG0003005	CARHR290410	El003G172150
OG0003005	CARHR091880	El005G253400
OG0003006	CARHR222520	El003G171520
OG0003006	CARHR092220	El005G253760
OG0003007	CARHR222650	El003G171390
OG0003007	CARHR092230	El005G253830
OG0003008	CARHR038730	El002G132540
OG0003008	CARHR093630	El005G255470
OG0003009	CARHR095020	El005G257090
OG0003009	CARHR039950	El002G134090
OG0003010	CARHR041150	El002G135430
OG0003010	CARHR096580	El005G258720, El002G089400
OG0003011	CARHR099470, CARHR099460, CARHR099450	El005G265040
OG0003012	CARHR100380	El005G267400
OG0003013	CARHR107030	El005G274020
OG0003013	CARHR243330	El003G147390
OG0003014	CARHR108470	El003G173380, El003G179040, El005G275570
OG0003014	CARHR239630, CARHR286350	El007G348450
OG0003015	CARHR110170	El005G278150
OG0003015	CARHR237250	El003G154230
OG0003016	CARHR103680, CARHR041840	El002G136120
OG0003016	CARHR097140	El005G259340
OG0003017	CARHR043630, CARHR168190	El001G029380
OG0003017	CARHR041720	El002G135950
OG0003018	CARHR165200	El001G026130
OG0003018	CARHR134250	El006G290550
OG0003019	CARHR089960	El005G251400
OG0003020	CARHR139200	El006G284780
OG0003020	CARHR170220	El001G031560
OG0003021	CARHR057460	El004G213880, El004G213870, El004G213950, El004G213890
OG0003022	CARHR263470	El003G188600
OG0003023	CARHR092400	El005G254020
OG0003023	CARHR092420, CARHR092410	El005G254030
OG0003024	CARHR036640	El002G129200
OG0003024	CARHR036630	El002G129190
OG0003025	CARHR233150	El003G158810
OG0003025	CARHR233110	El003G158840
OG0003027	CARHR096520	El005G258670
OG0003028	CARHR114330	El003G143890, El001G006970
OG0003029	CARHR110840	El007G325620, El003G170150, El001G045040, El002G131570
OG0003030	CARHR223510	El007G342370
OG0003033	CARHR236560	El003G155070
OG0003033	CARHR110720	El005G278650
OG0003036	CARHR242570	El003G148280
OG0003036	CARHR105670	El005G272740
OG0003037	CARHR004760	El003G147550
OG0003038	CARHR129870	El006G295390
OG0003039	CARHR053270	El004G201800
OG0003040	CARHR053080	El004G201610, El004G201650
OG0003041	CARHR051790	El004G200490
OG0003041	CARHR010870	El002G093750
OG0003042	CARHR149390	El001G042860
OG0003042	CARHR261760	El003G190940
OG0003043	CARHR056940, CARHR056960	El004G212690
OG0003044	CARHR012580	El002G095760
OG0003044	CARHR049100	El004G197580
OG0003046	CARHR266550	El007G339690
OG0003046	CARHR235610	El003G156130
OG0003047	CARHR278240	El007G326150
OG0003047	CARHR203950	El001G072600
OG0003048	CARHR278210	El007G326880
OG0003048	CARHR204400	El001G073130
OG0003049	CARHR224300	El003G169350
OG0003049	CARHR174270	El007G366280
OG0003050	CARHR254110	El001G006710
OG0003050	CARHR229710	El003G162740
OG0003051	CARHR230050	El003G162460
OG0003051	CARHR254500	El001G007100
OG0003052	CARHR260490	El001G009940
OG0003052	CARHR033880	El002G123120
OG0003053	CARHR259310	El001G011450
OG0003053	CARHR124550	El006G301510
OG0003054	CARHR037070	El002G130190
OG0003054	CARHR181610	El007G357390
OG0003055	CARHR027730	El002G113880
OG0003056	CARHR127890	El006G298090
OG0003056	CARHR027780	El002G113930
OG0003057	CARHR244000	El003G146600
OG0003057	CARHR107890	El005G275170
OG0003058	CARHR245350	El003G145200
OG0003059	CARHR129250	El006G296000
OG0003060	CARHR252620	El001G005080
OG0003061	CARHR173920	El007G366560
OG0003062	CARHR217400	El003G182720
OG0003062	CARHR103930	El005G271300
OG0003063	CARHR101010	El005G268140
OG0003064	CARHR099290	El005G264760, El003G175160
OG0003065	CARHR221980	El003G173290
OG0003065	CARHR097840	El005G260370
OG0003066	CARHR047070	El004G195180, El004G202720, El004G195290
OG0003067	CARHR171190	El001G032660
OG0003068	CARHR138970	El001G031390, El006G285030
OG0003070	CARHR191970	El001G011840, El001G059170
OG0003071	CARHR150750	El001G014080
OG0003071	CARHR274360	El007G330260
OG0003072	CARHR289230, CARHR273950, CARHR273930, CARHR273940	El007G330680
OG0003073	CARHR080260	El005G240810
OG0003073	CARHR186760	El001G050930
OG0003074	CARHR158830	El001G019670
OG0003074	CARHR279830	El007G324230
OG0003075	CARHR279930	El007G324080
OG0003075	CARHR158880	El001G019740
OG0003076	CARHR280790	El007G323120
OG0003076	CARHR160000	El001G020560
OG0003077	CARHR231590	El003G160610
OG0003077	CARHR244400	El003G146160
OG0003078	CARHR281600	El007G322150
OG0003078	CARHR160840	El001G021500
OG0003079	CARHR248810	El001G000770
OG0003079	CARHR000570	El002G082980
OG0003080	CARHR125270	El006G300740
OG0003080	CARHR005360	El002G088130
OG0003082	CARHR123940	El006G302170
OG0003083	CARHR007020	El002G089800
OG0003083	CARHR122980	El006G303190
OG0003084	CARHR120390	El006G306330, El006G306320
OG0003085	CARHR119810	El006G307320
OG0003085	CARHR119790	El006G307340
OG0003085	CARHR119800	El006G307330
OG0003086	CARHR199500	El001G067690
OG0003087	CARHR077270	El005G237540
OG0003089	CARHR080160	El005G240680
OG0003089	CARHR186560	El001G050720
OG0003090	CARHR194040	El001G061560, El001G061550
OG0003090	CARHR080750	El005G241420, El005G241430
OG0003091	CARHR161400	El001G022040
OG0003093	CARHR074210	El004G234240
OG0003094	CARHR017580	El002G101130
OG0003094	CARHR072000	El004G231890
OG0003095	CARHR017860	El002G101380
OG0003095	CARHR257920, CARHR257910	El007G343840
OG0003096	CARHR023280	El007G356950
OG0003097	CARHR024650	El002G109700
OG0003097	CARHR063090	El004G221370
OG0003098	CARHR015350, CARHR015360	El002G098870
OG0003099	CARHR285970, CARHR288020, CARHR159870, CARHR159860, CARHR036770	El001G020450
OG0003100	CARHR123900	El006G302200
OG0003100	CARHR006560	El002G089260
OG0003101	CARHR198450	El001G066610
OG0003101	CARHR075540	El005G235630
OG0003102	CARHR107240, CARHR107230, CARHR260670	El001G067820
OG0003102	CARHR199610	El001G067830
OG0003103	CARHR275220	El007G329350
OG0003103	CARHR205510	El001G074130
OG0003104	CARHR275490	El005G265710
OG0003105	CARHR156620, CARHR156630	El001G017420, El001G017430
OG0003106	CARHR281440	El007G322320
OG0003106	CARHR160770	El001G021440
OG0003107	CARHR276190	El007G328280
OG0003107	CARHR156100	El001G016790
OG0003108	CARHR153460	El001G011780, El004G194940
OG0003108	CARHR192010	El001G059220
OG0003109	CARHR066270, CARHR066280	El004G212780, El004G225430
OG0003110	CARHR073340	El004G233200
OG0003110	CARHR046050	El002G141550
OG0003111	CARHR045240	El002G140600
OG0003112	CARHR082720	El005G243440
OG0003112	CARHR088200	El005G249470
OG0003113	CARHR090920	El005G252500
OG0003113	CARHR090910	El005G252490
OG0003114	CARHR094660	El005G256680
OG0003115	CARHR041810	El002G136030
OG0003116	CARHR099430	El005G265020
OG0003117	CARHR101140	El005G268250
OG0003117	CARHR218660	El003G178310
OG0003118	CARHR249630	El001G002330
OG0003119	CARHR106670	El005G273670
OG0003120	CARHR106720	El005G273720
OG0003120	CARHR243010	El003G147710
OG0003121	CARHR088710	El005G249990
OG0003121	CARHR044640	El002G139970
OG0003122	CARHR128980	El006G296350
OG0003122	CARHR030140	El002G117340, El002G117320
OG0003123	CARHR163450	El001G024170
OG0003125	CARHR268400, CARHR092390	El005G254010
OG0003126	CARHR102960	El006G290660
OG0003127	CARHR047840, CARHR047830	El004G195910
OG0003128	CARHR183390	El004G208970
OG0003128	CARHR283990, CARHR284030	El004G203110
OG0003130	CARHR219870, CARHR082550, CARHR258940, CARHR082590, CARHR082560	El005G243300, El007G343200
OG0003135	CARHR282070	El028G373680
OG0003139	CARHR236910	El003G154530
OG0003139	CARHR237270	El003G153880, El003G153450
OG0003141	CARHR242400	El003G148100
OG0003141	CARHR106390, CARHR289240	El005G273410
OG0003142	CARHR243600	El003G147000
OG0003142	CARHR293490	El005G274630
OG0003143	CARHR129990	El006G295260
OG0003143	CARHR222880	El003G171140
OG0003144	CARHR011070	El002G093920
OG0003144	CARHR052310	El004G200640
OG0003145	CARHR011090	El002G093940
OG0003145	CARHR051880	El004G200360
OG0003146	CARHR144880	El001G037280
OG0003146	CARHR014970	El002G098530
OG0003147	CARHR213380	El003G192100
OG0003147	CARHR148210	El001G041670
OG0003148	CARHR148540	El001G042080
OG0003150	CARHR152340	El001G045030
OG0003150	CARHR262920	El003G189230
OG0003151	CARHR216500	El003G184140
OG0003152	CARHR046750	El004G194660
OG0003152	CARHR212890	El003G193130
OG0003153	CARHR046740	El004G194670
OG0003153	CARHR212880	El003G193110
OG0003154	CARHR213070	El003G192430
OG0003154	CARHR047870	El004G195930
OG0003155	CARHR208320	El001G077440
OG0003157	CARHR268620	El007G336960
OG0003157	CARHR234340	El003G157610
OG0003158	CARHR203150	El001G071880
OG0003159	CARHR227210	El003G165430
OG0003160	CARHR181430	El007G357720
OG0003160	CARHR134160	El002G113250
OG0003161	CARHR056820	El004G212140, El004G212330
OG0003163	CARHR252810	El001G005250
OG0003163	CARHR228690	El003G163900
OG0003164	CARHR218930	El003G177750
OG0003164	CARHR100460	El005G267580
OG0003165	CARHR072440, CARHR072430	El004G216330, El004G232260
OG0003166	CARHR141220	El006G282170
OG0003166	CARHR171760	El001G033390
OG0003167	CARHR140700	El006G282910
OG0003168	CARHR083280	El005G244080, El005G244060, El005G244050
OG0003169	CARHR084000	El005G244760
OG0003169	CARHR210650	El001G080200
OG0003170	CARHR280090	El007G323860
OG0003171	CARHR250220	El001G001650
OG0003172	CARHR250120	El001G001720
OG0003173	CARHR251230	El001G003530
OG0003173	CARHR251220	El001G003520
OG0003174	CARHR251770	El001G004040
OG0003174	CARHR002880	El002G085350
OG0003175	CARHR004250	El002G086940
OG0003175	CARHR126680	El006G299310
OG0003176	CARHR126810	El006G299180, El006G299200
OG0003177	CARHR122720	El006G303460, El006G303440, El006G303450
OG0003178	CARHR075030	El005G235040
OG0003178	CARHR199220	El001G067440
OG0003179	CARHR074940	El005G234940
OG0003179	CARHR199300	El001G067540
OG0003180	CARHR185290	El001G047710
OG0003180	CARHR078920	El005G239390
OG0003181	CARHR079920	El005G240450
OG0003182	CARHR083270	El005G244040
OG0003182	CARHR211890	El001G081740
OG0003183	CARHR222400, CARHR222410	El003G171610
OG0003183	CARHR133970, CARHR133960	El006G290810
OG0003184	CARHR130330	El006G294750, El006G294760
OG0003185	CARHR132790	El006G292030, El006G292020
OG0003186	CARHR019120	El002G102670
OG0003187	CARHR069530	El004G228780
OG0003187	CARHR020700	El002G104540
OG0003188	CARHR021130	El002G105040
OG0003189	CARHR021150	El002G105060
OG0003189	CARHR021160	El002G106680, El002G105070
OG0003190	CARHR071070	El004G230610
OG0003191	CARHR070250	El004G229630, El004G229640
OG0003192	CARHR186700	El001G050850
OG0003192	CARHR018670	El002G102270
OG0003193	CARHR060100	El004G217770, El002G112780
OG0003194	CARHR238930	El003G151930
OG0003194	CARHR117800	El006G317120
OG0003195	CARHR113310	El006G320170
OG0003195	CARHR112840	El006G320520
OG0003195	CARHR113290	El006G320200
OG0003196	CARHR015510	El002G099050
OG0003197	CARHR048860	El004G197310, El004G197880
OG0003197	CARHR012690	El002G095870
OG0003198	CARHR008840	El002G091680
OG0003200	CARHR008320	El002G091160
OG0003200	CARHR008310	El007G360920
OG0003201	CARHR004090	El002G086770
OG0003201	CARHR010410	El002G093250
OG0003202	CARHR003250	El002G085750, El007G345270
OG0003203	CARHR184990	El001G048650
OG0003204	CARHR208810	El001G078070
OG0003204	CARHR085020	El005G245880
OG0003206	CARHR240250	El003G150500
OG0003206	CARHR188080	El001G052960
OG0003207	CARHR274520	El007G330090
OG0003208	CARHR070310	El004G229750
OG0003209	CARHR089170, CARHR089180	El005G250520
OG0003210	CARHR089470	El005G250630
OG0003211	CARHR090340	El001G048400
OG0003212	CARHR090980	El005G252540
OG0003213	CARHR091340	El002G120520, El005G252910
OG0003214	CARHR093340	El005G255070
OG0003214	CARHR038210	El002G132300
OG0003215	CARHR093960	El005G255900
OG0003216	CARHR108720, CARHR105920, CARHR108710, CARHR219930	El005G276360, El005G276380, El005G276370, El005G276430
OG0003217	CARHR111240	El005G279140
OG0003217	CARHR236190	El003G155470
OG0003218	CARHR043290	El002G138080
OG0003218	CARHR043300	El002G138090
OG0003219	CARHR096950	El005G259120
OG0003220	CARHR095040	El005G257110
OG0003222	CARHR165000	El001G025880
OG0003222	CARHR165010	El001G025890
OG0003223	CARHR240460	El003G150380
OG0003224	CARHR166040	El001G027230
OG0003225	CARHR166300	El001G027450
OG0003226	CARHR170140	El001G031400
OG0003226	CARHR138980	El006G285020
OG0003227	CARHR058710	El004G216020, El004G216040, El004G216050, El004G216060
OG0003227	CARHR058700	El004G216010
OG0003230	CARHR174200	El007G366320
OG0003231	CARHR226730	El003G165910
OG0003233	CARHR247450	El003G142720
OG0003234	CARHR120520	El006G306160
OG0003234	CARHR008080	El002G090960
OG0003235	CARHR013510	El002G096750
OG0003235	CARHR013520	El002G096760
OG0003236	CARHR019910	El002G103610
OG0003238	CARHR088400	El005G249660
OG0003241	CARHR063470, CARHR063490, CARHR063550, CARHR063570	El004G212710
OG0003243	CARHR114920	El003G177550
OG0003247	CARHR184720	El006G317700
OG0003248	CARHR238560	El003G152300
OG0003248	CARHR118300	El006G317670
OG0003249	CARHR240040	El003G150710
OG0003249	CARHR116210	El006G314910
OG0003250	CARHR240330	El003G150430
OG0003250	CARHR115870	El006G314370
OG0003252	CARHR241820, CARHR156580	El003G148910
OG0003253	CARHR179150	El007G360150
OG0003254	CARHR137030	El006G287240
OG0003254	CARHR137670	El006G286480
OG0003255	CARHR030680	El002G118250
OG0003255	CARHR010260	El002G093130
OG0003256	CARHR013610	El002G096880
OG0003256	CARHR288530	El001G039590
OG0003257	CARHR149790	El001G043120
OG0003258	CARHR264020	El003G187900
OG0003260	CARHR166130	El001G027340, El005G270390
OG0003261	CARHR266120	El007G340070
OG0003262	CARHR266930	El007G338940
OG0003262	CARHR235150	El003G156720
OG0003263	CARHR234560	El003G157390
OG0003263	CARHR268310	El007G337350
OG0003264	CARHR201970	El001G070380
OG0003264	CARHR188120	El001G052900
OG0003265	CARHR202600	El001G071200
OG0003266	CARHR190220	El001G056740
OG0003266	CARHR204740	El001G073450
OG0003267	CARHR067100	El004G226410
OG0003267	CARHR205000	El001G073620
OG0003268	CARHR225540	El003G167660, El003G167730
OG0003268	CARHR225550	El003G167720
OG0003269	CARHR253600	El001G006020
OG0003270	CARHR117560, CARHR120200	El002G124840
OG0003270	CARHR120210	El002G124810, El002G124800
OG0003271	CARHR027510	El002G113680
OG0003273	CARHR030110	El002G117290
OG0003274	CARHR107540	El005G274800
