Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000046	CARHR214430	El003G186880, El003G186940
OG0000048	CARHR077930	El005G238400, El005G238360
OG0000048	CARHR077950	El003G193700
OG0000048	CARHR112070	El006G321480
OG0000052	CARHR002800	El007G364450, El002G116290
OG0000052	CARHR127280	El006G286630
OG0000052	CARHR137530	El006G286590
OG0000052	CARHR137550, CARHR137540	El006G286580
OG0000055	CARHR050220	El004G198780
OG0000055	CARHR155600	El001G016330, El001G016310, El001G016300
OG0000055	CARHR050320	El004G198830
OG0000055	CARHR049990, CARHR050000	El004G198610
OG0000055	CARHR050060	El001G016290, El004G208280
OG0000055	CARHR049980, CARHR050290, CARHR050280	El004G198810
OG0000056	CARHR219260, CARHR049910	El003G179560, El006G285210, El001G008020
OG0000057	CARHR213520	El001G001400
OG0000057	CARHR111010	El005G276600, El005G276550
OG0000057	CARHR107830, CARHR108270, CARHR149830, CARHR094260	El003G184060
OG0000058	CARHR154060	El005G263190, El006G310300, El005G258260
OG0000062	CARHR100910	El003G186180, El004G203440, El004G203430, El007G346680, El005G263100
OG0000063	CARHR273260	El001G014950
OG0000063	CARHR132050	El006G292790
OG0000064	CARHR247830	El003G142390
OG0000064	CARHR127180, CARHR260300	El006G298100
OG0000065	CARHR184170	El002G116640, El002G116630
OG0000066	CARHR069000, CARHR096450, CARHR058350	El004G228220, El004G228230, El002G122920
OG0000066	CARHR202910	El001G071590, El001G071600
OG0000066	CARHR279320	El007G324790
OG0000066	CARHR279310	El007G324780
OG0000067	CARHR210190	El001G015110, El001G015090, El005G241220, El001G019940, El001G019880, El003G151620, El001G050380, El007G338720
OG0000068	CARHR216710	El004G214260
OG0000071	CARHR055550	El002G123480, El003G185050
OG0000071	CARHR082570	El005G246820
OG0000071	CARHR183910	El002G129540
OG0000073	CARHR116350	El007G355990
OG0000073	CARHR292230	El007G365480
OG0000074	CARHR024070	El002G109000, El002G108980
OG0000074	CARHR024100	El002G109050
OG0000074	CARHR024030	El002G108960
OG0000074	CARHR024020, CARHR024000	El002G108950
OG0000074	CARHR023940	El002G108840
OG0000074	CARHR023950	El002G108850
OG0000075	CARHR010330, CARHR008650, CARHR024930	El001G065030, El001G025110
OG0000076	CARHR162560	El001G023150
OG0000076	CARHR162500, CARHR162510, CARHR162540, CARHR162570	El001G023120
OG0000076	CARHR162490, CARHR162550	El001G023080
OG0000076	CARHR148060, CARHR148030	El001G041500
OG0000076	CARHR148020	El001G041490
OG0000077	CARHR286200, CARHR286190, CARHR286160	El007G346620, El007G346720, El007G346600, El004G208890, El007G346470, El006G315340, El007G346500, El007G346630, El007G346710, El007G346580, El007G346750
OG0000077	CARHR247160	El003G143070
OG0000077	CARHR214110	El007G346640
OG0000077	CARHR286090	El002G122000
OG0000077	CARHR247180	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000077	CARHR247140	El003G143090
OG0000079	CARHR111250, CARHR169300, CARHR169310	El004G207470
OG0000079	CARHR217330, CARHR182570, CARHR214210	El004G196920
OG0000080	CARHR270010	El002G131320, El002G131270
OG0000080	CARHR038000	El002G131930
OG0000080	CARHR151510, CARHR219570	El004G194360
OG0000080	CARHR123150, CARHR123070	El007G345310
OG0000080	CARHR123140	El001G043770, El001G041340
OG0000081	CARHR121110	El004G231800, El001G044440
OG0000081	CARHR194900	El001G062500
OG0000083	CARHR291360, CARHR291330	El005G265380
OG0000083	CARHR099030	El005G263680, El005G263720, El005G262910
OG0000083	CARHR118100, CARHR292140, CARHR291340	El006G317470, El006G317450
OG0000083	CARHR118080, CARHR118040	El006G313440
OG0000084	CARHR117870, CARHR117890, CARHR116980	El006G313930, El001G048100
OG0000084	CARHR116700	El006G316280, El006G316240, El006G316260
OG0000084	CARHR116880, CARHR117860	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180
OG0000084	CARHR117220, CARHR116970	El006G313950
OG0000084	CARHR116870	El006G316300
OG0000084	CARHR117230, CARHR116960, CARHR116990	El006G316230
OG0000084	CARHR117030, CARHR118620	El006G316420
OG0000084	CARHR117020	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400
OG0000085	CARHR259820	El005G263080, El005G261930
OG0000086	CARHR050760, CARHR273290	El007G331280
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	El002G123600, El004G210560
OG0000087	CARHR189700	El001G056180
OG0000087	CARHR122890	El006G303330
OG0000087	CARHR155480	El001G016250
OG0000087	CARHR200860	El001G069260
OG0000087	CARHR128920	El006G296420
OG0000087	CARHR178800	El007G360740
OG0000087	CARHR227450	El003G165170
OG0000087	CARHR020480	El002G104330
OG0000087	CARHR069200	El004G228430
OG0000088	CARHR155740	El001G016980, El001G017010
