Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0000037	AL5G11300	g50425, g35466
OG0000037	AL53U10030	g39408
OG0000037	AL6G28120, AL3G49490, AL1G47310, AL3G45700	g20917, g29939, g20308, g28559, g25198, g14254, g2520
OG0000037	AL5G15730, AL1G55420	g10090
OG0000037	AL1G56420	g6551, g27201, g54294, g38089, g14278, g52663
OG0000037	AL3G27890	g5625
OG0000038	nbis-gene-1329	g24239
OG0000038	AL8G26900	g1070
OG0000038	AL3G22250, AL3G22230	g44982, g44984, g44985
OG0000040	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180, AL3G27510	g38367, g38376, g38372, g38380
OG0000040	AL1G21870	g44631
OG0000040	AL2G23050	g13193, g13194
OG0000040	AL5G29320, AL5G29310, AL5G29340	g13797, g13799
OG0000042	AL1G40050	g26735
OG0000042	AL8G11480	g12385
OG0000042	AL3G43050	g49152
OG0000042	AL5G30010	g22786, g41711, g1466, g28310, g17388, g32821
OG0000043	AL5G21640	g48032
OG0000043	AL2G17290	g33263, g53602
OG0000043	AL5G20230	g3049, g30442
OG0000043	AL6G40400	g49166, g4254, g35754, g3543, g19674, g47268
OG0000044	AL5G16920, AL7G43910, AL3G42580	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931
OG0000045	AL2G19770	g7244, g39351, g17718, g41293
OG0000046	AL7G51420	g46717
OG0000046	AL7G52530, AL7G52540	g18113
OG0000046	AL2G25210, AL2G25320	g18042
OG0000047	AL3G45170	g42772
OG0000047	AL5G32340	g24768, g27953, g51326, g51242, g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964, g28467, g53576
OG0000048	AL6G29120, AL6G29220	g4946, g4940, g29028, g29029
OG0000049	AL1G48510	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267
OG0000049	AL1G48060	g19447
OG0000049	AL3G47420	g6205
OG0000049	AL6G41090	g4748, g12067
OG0000049	AL3G47410	g43914, g49353, g11652
OG0000049	AL5G28630, AL1G24610, AL1G18250	g37529, g36193, g23611, g11002, g2399
OG0000049	AL6G32660, AL4G11230	g23029
OG0000049	AL2G16540, AL6G28140	g22934, g376, g47861, g44112, g6602, g36505, g12095, g19466, g919, g7174, g3137, g27324, g24163, g1087, g46399, g46729, g50524, g28511, g54100, g47181, g829
