Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0001618	AL1G64380	g54383, g27975
OG0001618	AL3G24530	g7278
OG0001619	AL5G33740	g2390
OG0001619	AL4G32690	g51590
OG0001622	AL1G25910	g38543
OG0001626	AL4G41300, AL4G41290	g37057, g44964
OG0001627	AL1G40760	g50409
OG0001627	AL1G40770	g50408
OG0001629	AL990U10010	g31463
OG0001629	AL1G25300	g10627
OG0001630	AL4G27020, AL4G27030	g51265
OG0001631	AL2G26720	g44873
OG0001633	nbis-gene-1794, AL7G31100, AL7G31090	g23954, g23953
OG0001641	AL3G48830	g20186, g8152
OG0001641	AL2G20970	g19716
OG0001642	AL7G17530	g23148
OG0001643	AL3G49350	g6125
OG0001643	AL7G16270	g18224
OG0001644	AL2G15800	g41003
OG0001645	AL5G13760	g1560
OG0001645	AL5G13750	g10642, g16672
OG0001646	AL1G24670	g31422
OG0001647	AL7G48680	g16811
OG0001647	AL5G16280	g10515
OG0001648	AL7G48950	g46660
OG0001648	AL5G16470	g16826, g10503
OG0001649	AL7G50380	g16877
OG0001649	AL5G18620	g10398
OG0001650	AL5G19860	g10329
OG0001651	AL7G26680	g17138
OG0001651	AL8G32450	g39342
OG0001652	AL710U10010, AL3G20350	g7509
OG0001653	AL3G21030	g12392
OG0001653	AL6G42330	g40223
OG0001654	AL6G12850	g45356, g5729
OG0001654	AL3G21120	g7461, g13063
OG0001655	AL6G15410	g29722, g5634
OG0001655	AL3G22610	g12338, g7396
OG0001656	AL3G24050	g12282, g7311
OG0001657	AL7G25830	g23662
OG0001657	AL8G30360	g982
OG0001658	AL8G30720	g39381, g1002
OG0001658	AL7G26010	g23672, g46994
OG0001659	AL6G17730	g45478, g5543
OG0001659	AL6G17720	g5544
OG0001660	AL7G33530	g24062
OG0001661	AL7G30760	g47439, g23945
OG0001662	AL7G30630	g23932
OG0001662	AL6G46730	g40389
OG0001663	AL6G43790	g40283
OG0001663	AL1G36380	g50257
OG0001664	AL4G30650	g37099
OG0001664	AL1G44330	g50534
OG0001665	AL4G30740	g37103
OG0001666	AL7G15230	g47936, g22968
OG0001666	AL3G50740	g6047
OG0001667	AL4G13160	g50945
OG0001668	AL7G13180	g47992
OG0001668	AL4G12840	g38452
OG0001669	AL7G11930	g18141
OG0001670	AL7G10800	g18324
OG0001671	AL1G50610, AL1G50590	g27911
OG0001671	AL6G42660	g40234
OG0001672	AL1G41260	g50434
OG0001672	AL6G13960	g45395
OG0001673	AL3G42150	g25186
OG0001674	AL7G42110	g24557
OG0001674	AL7G42100	g24550
OG0001675	AL5G44860	g1777
OG0001676	AL4G43580, AL4G43570	g52171
OG0001677	AL5G41220	g2018
OG0001677	AL4G41900	g38208
OG0001678	AL5G40560	g18928
OG0001678	AL4G41440	g37465, g52084
OG0001679	AL5G40280	g1981, g18950
OG0001679	AL4G41060	g52057, g37451
OG0001680	AL6G45110, AL1G48120	g8209
OG0001681	AL5G31060	g19342
OG0001682	AL6G49920	g39630
OG0001682	AL1G12940	g49416
OG0001683	AL1G13670	g30849
OG0001683	AL8G16140	g39695
OG0001684	AL8G17050	g39735
OG0001684	AL1G14020	g49452
OG0001685	AL8G17060	g11120
OG0001686	AL4G28990	g51344
OG0001686	AL1G14160	g30874
OG0001687	AL4G28710	g51330, g39755
OG0001688	AL1G16140	g49536
OG0001689	AL1G16690	g49548, g31017
OG0001690	AL4G25320	g51209
OG0001690	AL1G16890	g31029
OG0001691	AL1G17210	g31044
OG0001691	AL4G24900, AL201U10010	g39948
OG0001692	AL4G24770	g31047, g51184
OG0001693	AL4G23480	g37853
OG0001693	AL1G17750	g49571
OG0001694	AL6G27910	g45742
OG0001694	AL3G12560	g12663
OG0001695	AL1G19060	g31130
OG0001695	AL3G14530	g7754
OG0001696	AL3G15450	g12575, g7720, g12840
OG0001697	AL3G17810	g12479
OG0001697	AL8G23020	g4650
OG0001698	AL4G37480	g51832
OG0001698	AL5G37050	g19062
OG0001699	AL5G34490	g2342
OG0001699	AL4G33790	g51635
OG0001700	AL2G39700	g44330
OG0001700	AL1G28600	g49971
OG0001701	AL1G33310	g50133
OG0001701	AL2G36190	g44411
OG0001702	AL2G37140, AL402U10010	g44369
OG0001702	AL1G34490	g31990
OG0001703	AL1G35110	g32014
OG0001703	AL2G37850	g13615
OG0001704	AL1G36410	g50262, g42087
OG0001704	AL158U10010, AL2G31070	g44653
OG0001705	AL1G36920, AL2G30160	g32064
OG0001707	AL1G43710, AL7G10960, AL5G22970, AL149U10010, AL1G43730	g27692
OG0001708	AL6G38500	g4853
OG0001708	AL3G16680	g12517
OG0001709	AL8G39930	g9836
OG0001710	AL2G37060	g31977, g44377, g45053, g45051
OG0001711	AL3G29440	g7002
OG0001711	AL7G39500	g24419
OG0001712	AL1G57010	g28075
OG0001712	AL3G32520	g6825, g11974
OG0001713	AL3G32950	g6796, g13343
OG0001714	AL3G34420	g11904
OG0001714	AL1G58680	g28047
OG0001715	AL3G40090	g11711
OG0001715	AL2G22930, AL3G40080	g13512
OG0001716	nbis-gene-478	g19752, g19711
OG0001718	AL5G25700, AL5G25680	g19543
OG0001718	AL5G25710	g19517
OG0001721	AL1G24770	g25244
OG0001721	AL5G15780, AL1G24750	g31433
OG0001724	AL4G25790	g39891
OG0001725	AL6G29570, AL6G29580, AL6G29550	g41474
OG0001729	AL7G40230, AL7G41110	g17662
OG0001730	AL7G24310	g23563
OG0001731	AL7G22090	g23431, g23435
OG0001732	AL7G22010	g23427
OG0001732	AL3G52940	g16986, g5984, g13931
OG0001733	AL7G21580	g16983
OG0001733	AL4G14010	g38402
OG0001734	AL7G21180, AL7G21170	g23368
OG0001734	AL4G14400	g38394
OG0001735	AL3G46630	g6189
OG0001735	AL7G17540	g23149
OG0001736	AL7G15800	g23007
OG0001736	AL3G50210	g13732
OG0001737	AL4G31040	g37120
OG0001737	AL1G45460	g27758
OG0001738	AL1G46720, AL4G31420	g27779
OG0001739	AL1G67420	g41079
OG0001739	AL1G20180	g27093, g49695, g31204
OG0001740	AL2G17870	g44044
OG0001740	AL1G20690	g49720
OG0001741	AL1G21160	g31248
OG0001741	AL2G17280	g38257, g28145
OG0001742	AL2G16240	g41024
OG0001742	AL3G41180	g6402
OG0001743	AL1G22200	g31302
OG0001743	AL2G15080	g44158, g40971
OG0001744	AL7G48500	g46653
OG0001744	AL5G16010	g1606
OG0001745	AL5G16840, AL2G24690, AL2G24720, AL398U10010	g10488
OG0001745	AL7G49220	g16835
OG0001746	AL5G18130, AL352U10010	g10411
OG0001747	AL5G20160	g1403, g1404, g10336
OG0001748	AL7G52500	g46749
OG0001748	AL2G25370	g44939
OG0001749	AL2G10610	g40779
OG0001749	AL7G47470	g46630
OG0001750	AL2G11740, AL2G11750	g40839
OG0001751	AL3G23340	g7353
OG0001753	AL3G23910	g7316
OG0001753	AL6G17100	g29651
OG0001754	AL8G25300	g28309
OG0001754	AL8G19190, AL7G28060	g23797
OG0001755	AL7G27380, AL8G27050	g23739, g47556
OG0001756	AL8G27530, AL8G27590, AL4G21080	g41252
OG0001756	AL7G24810	g47647
OG0001757	AL7G26280	g47591
OG0001758	AL6G30940	g29116
OG0001758	AL6G23380	g29393
OG0001759	AL6G18350, AL8G37740, AL8G37750	g9922
OG0001760	AL8G10970	g40685
OG0001761	AL8G12690	g40586
OG0001761	AL7G35650	g17468
OG0001762	AL7G35200	g17454
OG0001762	AL8G12980	g10974
OG0001763	AL7G33950	g17397
OG0001764	AL6G47850	g40431
OG0001764	AL7G31550	g17308
OG0001765	AL6G45380, AL6G45390	g25735, g25734
OG0001766	AL6G44380	g40310
OG0001766	AL1G47600	g27799
OG0001767	AL1G49000	g27863
OG0001768	AL4G29180	g37066, g51363
OG0001769	AL3G50910	g13994
OG0001769	AL7G15030	g22958, g47950, g18243
OG0001770	AL5G29920	g19380, g2598
OG0001771	AL4G12330	g50913
OG0001771	AL7G12850	g22804
OG0001772	AL7G10460	g18347
OG0001772	AL2G26920	g41582
OG0001773	AL8G26880	g41224
OG0001774	AL8G17560, AL6G42380	g18427
OG0001775	AL7G31710	g47406, g23975
OG0001776	AL8G13820	g40549
OG0001776	AL8G13860	g10998
OG0001777	AL6G51320	g25441
OG0001778	AL4G47230	g37747
OG0001778	AL5G45610	g18737
OG0001779	AL5G45440	g18717
OG0001779	AL4G47140	g37734
OG0001780	AL4G44170	g37582
OG0001780	AL5G42870	g18807
OG0001781	AL5G42300	g18860
OG0001781	AL4G43330	g37540, g52163
OG0001782	AL5G40930	g18912
OG0001782	AL4G41660	g37479
OG0001783	AL6G31840	g28941
OG0001784	AL8G43890	g96
OG0001784	AL5G29970	g19378
OG0001785	AL6G53050	g45274
OG0001785	AL1G10770	g30736
OG0001786	AL1G11010	g30743
OG0001786	AL6G52270	g25397
OG0001787	AL6G51330	g25440
OG0001787	AL1G11730	g49363
OG0001788	AL6G50980	g39548
OG0001788	AL1G12020	g30781
OG0001790	AL4G26620	g51244
OG0001790	AL1G16020	g49532, g30974
OG0001791	AL4G25980	g39881
OG0001792	AL4G24990	g39937
OG0001792	AL1G17140	g49559
OG0001793	AL1G17330	g31048, g27000
OG0001793	AL4G24740	g37884
OG0001794	AL1G17570	g31061
OG0001794	AL4G23950	g40021
OG0001795	AL3G11890	g12683
OG0001795	AL6G26950	g5070, g29203
OG0001796	AL3G12770	g7831, g12764
OG0001796	AL6G28240	g5002
OG0001797	AL6G28690	g41499
OG0001797	AL3G13310	g12626
OG0001798	AL6G38260	g10099
OG0001798	AL3G16760	g7678
OG0001799	AL6G39440	g4783, g10141
OG0001799	AL3G16770	g7677
OG0001800	AL3G17350	g7649
OG0001800	AL6G29890	g29064
OG0001801	AL8G22090	g10228
OG0001801	AL3G18220	g7614
OG0001802	AL2G24660, AL2G24840	g41876
OG0001803	AL4G32590	g51583
OG0001803	AL5G33710	g2393
OG0001804	AL2G40350	g46537, g44308
OG0001804	AL1G28300	g31638
OG0001805	AL2G39300	g46486
OG0001805	AL1G29010	g27352
OG0001806	AL2G32010, AL2G18640	g18004
OG0001806	AL1G29550	g49996
OG0001807	AL4G31870	g38011, g51543
OG0001807	AL1G32250	g50088, g31856
OG0001808	AL2G36130	g44414
OG0001808	AL1G33160	g31916
OG0001809	AL2G29340	g45827
OG0001809	AL1G38000	g32076, g50322
OG0001810	AL1G39130	g32154, g50363
OG0001811	AL2G26990	g44855
OG0001811	AL1G40090	g32219
OG0001812	AL2G26850	g44864
OG0001812	AL1G40210	g50394
OG0001814	AL4G10850	g38524
OG0001814	AL7G11230	g22697
OG0001816	AL3G15510	g7716
OG0001816	AL6G39740	g10153
OG0001817	AL6G15490, AL3G22710	g5631
OG0001818	AL5G29130	g19405
OG0001818	AL6G36010	g543
OG0001819	AL8G45050	g9630
OG0001819	AL5G31270	g19338, g2518
OG0001820	AL5G28290	g19435, g2686
OG0001821	AL1G60630	g36567, g36570, g36564
OG0001822	AL1G59950, AL1G59960	g54248
OG0001823	AL3G53290	g5913
OG0001824	AL4G34040	g38074
OG0001824	AL5G34680	g19180
OG0001825	AL4G37420	g51822
OG0001825	AL5G36870	g19071
OG0001826	AL5G38120	g19012
OG0001826	AL4G39110	g38154
OG0001827	AL5G38430, AL5G38400	g2068, g2069
OG0001828	AL4G43630	g52178
OG0001828	AL5G42400	g18842
OG0001830	AL5G40200	g18955
OG0001833	nbis-gene-1737	g47787
OG0001835	AL1G32950, AL1G32960	g50122
OG0001836	AL2G13660	g40927
OG0001836	AL2G13650	g40925
OG0001837	AL5G33880, AL6G14830	g29751
OG0001838	AL7G37180	g47207, g47209, g47208
OG0001838	AL7G37190	g24263
OG0001839	AL6G35100, AL6G35080	g6174
OG0001840	AL5G30120, AL5G30140, AL8G13560	g24581, g35924, g40550, g45129, g2969, g46849
OG0001844	AL7G23220	g17011
OG0001844	AL3G48450	g5950
OG0001846	AL3G49980	g6106
OG0001846	AL7G15910	g23015
OG0001847	AL7G37890	g47180
OG0001847	nbis-gene-1836	g24312
OG0001848	AL1G21260	g49729
OG0001849	AL2G14950	g44174
OG0001849	nbis-gene-403	g40968
OG0001851	AL5G16710	g10491
OG0001852	AL7G50700	g46697
OG0001852	nbis-gene-1252	g10375
OG0001854	AL2G23720	g45045
OG0001855	AL2G22180	g45079
OG0001855	AL7G33520	g17383
OG0001856	AL2G13430	g44231
OG0001856	AL1G23280	g31351
OG0001857	AL7G26880	g47578, g17146
OG0001857	AL8G32910	g28595
OG0001858	AL6G13790	g29802
OG0001858	AL3G21630	g13080, g13076
OG0001859	AL3G21960	g12369
OG0001860	AL3G22720	g13112, g7392
OG0001861	AL3G22830	g12325
OG0001861	AL6G15720	g5622
OG0001862	AL6G16650	g5592, g29671
OG0001862	AL3G23420	g7348, g12306
OG0001863	AL7G27900	g17176
OG0001863	AL8G25780	g41165, g1333
OG0001864	AL8G29860	g28478
OG0001864	AL7G25550	g17095
OG0001865	AL8G30120	g969
OG0001865	AL7G25620	g23654
OG0001866	AL8G30330	g979
OG0001866	AL7G25810	g23661
OG0001867	AL7G27200	g1109, g23732
OG0001868	AL6G31020	g41423
OG0001869	AL112U10040	g143
OG0001869	AL6G21070	g45544
OG0001870	AL8G42960	g9717
OG0001870	AL6G20930	g45537
OG0001871	AL8G42740, AL6G20490	g165
OG0001872	AL8G42220	g45522
OG0001872	AL6G20320	g5438
OG0001873	AL6G19930	g29556, g45516
OG0001873	AL6G19920	g45515
OG0001874	AL6G19480	g5476, g29571
OG0001875	AL6G18600	g5511
OG0001875	AL6G34280	g461
OG0001876	AL8G37660	g9928, g440
OG0001877	AL6G17710	g5545
OG0001878	AL8G10740	g40692, g10884
OG0001879	AL7G36590	g17515
OG0001879	AL8G11670	g10926
OG0001880	AL7G36190, AL7G36200	g17487
OG0001882	AL6G48580	g40459
OG0001882	AL7G32460	g24003
OG0001883	AL6G48350	g25579
OG0001884	AL1G27290	g49932
OG0001884	AL2G16880	g19265, g19275
OG0001885	AL1G47510	g50681
OG0001885	AL6G44390	g40311
OG0001886	AL1G50430	g27908
OG0001886	AL6G43070	g40261
OG0001887	AL6G42320	g40222
OG0001887	AL1G51130	g27954, g35903
OG0001888	AL1G42870, AL4G30030	g50500
OG0001889	AL3G51600	g6013
OG0001889	AL7G14490	g47970
OG0001890	AL7G12650	g22794
OG0001890	AL7G12670	g22795
OG0001891	AL7G27040	g47567
OG0001891	AL1G21540	g49736
OG0001892	AL8G17530	g11134
OG0001892	AL1G41250	g50432
OG0001893	AL6G44540	g40316
OG0001894	AL4G37540	g51840
OG0001894	AL6G47820	g40429
OG0001895	AL5G19360, AL8G11060, AL8G10710, AL8G10720	g40693
OG0001896	AL7G24650	g12970
OG0001896	nbis-gene-674	g7592
OG0001897	AL3G38820	g11743
OG0001898	AL3G37110	g11803
OG0001898	AL7G41160	g24500
OG0001899	AL3G36310	g13407
OG0001900	AL7G47490	g16772
OG0001901	AL4G47380	g37758
OG0001901	AL5G45450	g1751
OG0001902	AL5G44770, AL5G29590, AL5G44870	g1779
OG0001902	AL4G46450	g50807
OG0001903	AL5G42940	g1900
OG0001903	AL4G44270	g37588
OG0001904	AL5G42840	g18808
OG0001905	AL5G42170	g1946
OG0001906	AL5G41210	g2015
OG0001907	AL5G27860	g2709
OG0001907	AL8G40350	g9820
OG0001908	AL8G40580	g18637
OG0001909	AL6G51480	g39520
OG0001909	AL1G11870, AL1G11860	g30775
OG0001910	AL6G49370	g39651, g25519
OG0001911	AL8G16930	g39729
OG0001911	AL1G13970	g26932, g30869
OG0001912	AL4G27370	g39819
OG0001912	AL1G15320	g49500
OG0001913	AL1G15620	g49508, g30949
OG0001913	AL4G26990	g39829
OG0001915	AL4G26440	g37904
OG0001915	AL1G16130	g49535
OG0001916	AL1G17520	g27007
OG0001916	AL4G24290	g51175
OG0001917	AL4G23200	g39987
OG0001918	AL4G19450	g38265
OG0001919	AL3G10450	g5191
OG0001920	AL6G27330	g29194
OG0001920	AL3G12140	g7859
OG0001921	AL6G27370	g7857
OG0001921	AL3G12190	g12673
OG0001922	AL3G16290	g12542
OG0001922	AL6G38980	g4799
OG0001923	nbis-gene-1118, AL4G36640	g37316
OG0001923	AL5G36180	g2237
OG0001924	AL5G34400	g2348
OG0001925	AL1G35910	g37239
OG0001926	AL4G35190	g51704
OG0001927	AL1G27800	g31615, g49947
OG0001928	AL2G38800	g46453
OG0001928	AL1G29350	g27363
OG0001929	AL1G30080	g27389
OG0001929	AL2G32780	g44581, g46027
OG0001930	AL1G31140	g31800
OG0001930	AL2G34230	g44533
OG0001931	AL2G34630	g44507
OG0001931	AL1G31470	g27422, g50058
OG0001932	AL1G31950	g50085
OG0001933	AL1G34240, AL2G36980	g44384
OG0001934	AL1G35590	g50228
OG0001934	AL2G38290	g46403
OG0001935	AL2G30230	g45880, g44680
OG0001937	AL1G38930	g50346
OG0001937	AL2G28670	g44755, g45804
OG0001938	AL1G40660	g32261
OG0001938	AL1G40670	g27631
OG0001939	AL4G10600	g38531
OG0001940	AL6G13330	g10279, g12664
OG0001942	AL795U10010	g7200
OG0001943	AL3G23270	g7362
OG0001944	AL3G23120	g7373
OG0001944	AL6G16230	g29692
OG0001945	AL6G36220, AL5G29390	g10022
OG0001946	AL5G28310	g2685
OG0001946	AL6G34950	g500, g35964, g25597
OG0001947	AL5G23370	g3074
OG0001947	AL5G23390	g3073
OG0001948	AL5G22380	g3302
OG0001948	AL6G33240	g28880
OG0001949	AL5G20900	g11549, g34680, g35220
OG0001950	AL3G26110	g13205
OG0001950	AL1G62950	g27990
OG0001951	AL3G27290	g7132
OG0001951	AL1G61720	g36619
OG0001952	AL3G29650	g13270, g6997
OG0001953	AL3G32720	g6813
OG0001954	AL6G23570	g45604, g5296
OG0001954	AL3G34720	g11895, g6705
OG0001955	AL1G59630	g54225, g36517
OG0001955	AL3G35300	g6680
OG0001956	AL3G47250	g6159, g13696
OG0001957	AL4G30700	g51462
OG0001957	AL1G44520	g50540, g27704
OG0001958	AL3G46140, AL3G46130	g6198, g6199
OG0001959	AL5G41770	g11200
OG0001960	AL1G61360	g36598
OG0001961	AL3G33610	g11943
OG0001961	AL1G58000	g36441
OG0001962	AL1G17550, AL3G12670, AL1G17310, AL1G17540	g16677, g16675
OG0001963	nbis-gene-1660	g45219
OG0001964	AL1G66710, AL1G46390, AL5G38960, AL5G38980, AL4G18070, AL6G38900, AL1G51920, nbis-gene-1247, AL1G64730	g1674
OG0001965	nbis-gene-557, AL919U10020, AL3G13540	g49712
OG0001965	AL3G36620, AL998U10020	g12625, g32072
OG0001967	nbis-gene-1628	g51081
OG0001968	AL8G28990, AL8G29010, AL8G28670	g39431, g39443, g41757, g41755
OG0001971	AL7G23280	g23497
OG0001971	AL3G48370	g13812
OG0001972	AL7G21810	g47744
OG0001972	AL3G52120	g5992
OG0001973	AL7G21100	g23361
OG0001973	AL4G14550	g50979
OG0001974	AL4G14870	g50991
OG0001974	AL7G20710	g47780
OG0001975	AL3G45810	g13676
OG0001975	AL7G17850	g23162
OG0001976	AL7G16440	g47894, g23048
OG0001976	AL3G49170	g14109
OG0001977	AL4G31800	g51540
OG0001977	AL7G38160	g17570
OG0001978	AL1G22270	g49770
OG0001979	AL5G11740	g10715
OG0001979	AL1G26400	g49908
OG0001980	AL5G12020	g10694
OG0001980	AL1G26250	g31522
OG0001981	AL1G24710, AL5G15110	g31424, g49863, g27208
OG0001982	AL1G24520	g27205
OG0001983	AL7G48700	g16813
OG0001984	AL5G16530	g10501
OG0001984	AL7G48960	g16827
OG0001986	AL5G38110	g11259, g19013
OG0001986	AL4G39120	g51975
OG0001987	AL6G13750	g5703
OG0001987	AL3G21600	g13074
OG0001988	nbis-gene-1471	g45430, g5627
OG0001989	AL3G22990	g7380
OG0001989	AL6G16060	g45445
OG0001990	AL8G29560	g28469
OG0001990	AL7G25450, AL9U10820	g23640
OG0001991	AL8G30610	g996
OG0001991	AL7G25970	g28505
OG0001992	AL7G26290	g17128
OG0001992	AL8G31480	g28533
OG0001993	AL7G26460	g23695
OG0001994	AL8G33540, AL7G27230	g17882
OG0001995	AL6G23020	g5318
OG0001995	AL6G30980	g645
OG0001996	AL6G22460	g5360, g29428
OG0001996	nbis-gene-1577, AL6G37920	g18545
OG0001997	AL6G20090	g29551
OG0001997	AL4G12310	g50914
OG0001998	AL8G41610, AL8G41620	g9776
OG0001999	AL6G17930	g29618
OG0001999	AL8G38290	g9891
OG0002000	AL8G38550	g9883
OG0002001	AL8G11580	g40646
OG0002001	AL7G36650	g17511
OG0002002	AL7G33940	g11025
OG0002003	AL7G31570	g23971, g47411
OG0002003	AL6G47880	g45153
OG0002004	AL6G46830, AL7G30670	g23936
OG0002005	AL6G45320	g40350
OG0002005	AL7G29600	g23876
OG0002006	AL7G29510	g23870
OG0002006	AL6G45100	g25752
OG0002008	AL6G44620	g40320
OG0002008	AL1G47120	g27789, g50667
OG0002011	AL1G43150	g32400
OG0002012	AL7G15670	g22997
OG0002013	AL7G15530	g47926
OG0002014	AL7G15120	g22963
OG0002015	AL3G51960	g5998
OG0002015	AL7G14200	g47975
OG0002016	AL4G12520	g38456
OG0002016	AL7G13000	g18284
OG0002017	AL7G12360	g22772
OG0002018	AL7G11050	g18309, g22686
OG0002020	AL1G22560, AL1G22570	g39667, g39659
OG0002021	AL7G29400	g47482, g23861
OG0002022	AL1G29870	g31717
OG0002022	AL8G12320	g10955
OG0002023	AL3G37240	g11784
OG0002023	AL7G41330	g24513
OG0002024	AL7G40840	g17705
OG0002024	AL3G36530	g11827
OG0002025	AL2G13970, AL4G45760, AL4G45750	g37664, g37665
OG0002026	AL5G42510	g18836
OG0002027	AL5G38870	g2089
OG0002027	AL4G39660	g52000
OG0002028	AL5G23910	g847, g11561, g2990
OG0002028	AL8G37030	g41325
OG0002029	nbis-gene-1674	g39467
OG0002030	AL6G50460	g39593
OG0002030	AL1G12490	g30806
OG0002031	AL1G14310, AL4G28840	g30882
OG0002032	AL1G15100	g30925
OG0002033	AL1G16760	g31021
OG0002033	AL4G25520	g39899
OG0002034	AL1G17690	g49567
OG0002034	AL4G23650	g51123
OG0002036	AL6G26670	g5083
OG0002037	AL6G26690	g5082
OG0002037	AL3G11640	g12751
OG0002038	AL3G29560	g13267, g12076
OG0002039	AL5G36810	g19073
OG0002039	AL772U10020, AL4G37330	g38133
OG0002040	AL4G32750	g51592
OG0002040	AL5G33800	g19213, g2387
OG0002041	AL4G33470	g51628
OG0002041	AL5G34280	g19201, g2359
OG0002043	AL1G55720, AL1G55710	g36367
OG0002044	AL2G41200	g46590, g44281
OG0002045	AL1G27880	g31617
OG0002045	AL2G40950	g13599
OG0002046	AL1G28170	g31630
OG0002047	AL1G28660	g27341
OG0002047	AL2G39640	g46505
OG0002048	AL1G29740	g31709
OG0002049	AL2G32880	g46033
OG0002050	AL1G33900	g31952
OG0002050	AL2G36600	g46276
OG0002051	AL1G33990	g39849
OG0002051	AL4G40630	g52046
OG0002052	AL1G34130	g31966
OG0002053	AL1G34520	g31994
OG0002054	AL1G36550	g27541, g50275
OG0002054	AL2G30710	g45907
OG0002055	AL1G36950	g32066
OG0002055	AL2G30140	g44687, g45875
OG0002056	AL4G17050	g51050
OG0002056	AL7G19400	g23271
OG0002057	AL7G19860	g23291, g47802
OG0002059	AL1G14940	g30913
OG0002060	AL2G29600	g45844
OG0002060	AL6G25650	g5156
OG0002061	AL5G28620	g19418
OG0002063	AL6G17240	g29646
OG0002063	AL8G34540	g28729, g1167
OG0002064	AL5G31880, AL5G31870, AL5G31890	g2473
OG0002065	AL2G31730	g45965
OG0002066	AL2G36950	g46314
OG0002067	AL2G35890	g46240
OG0002068	AL2G39720	g44329
OG0002069	AL2G39950	g46520
OG0002069	AL2G39930	g14331
OG0002070	AL1G28420	g27338
OG0002071	AL3G25290	g7240
OG0002071	AL1G63560	g54317, g36719
OG0002072	AL1G63350	g27983
OG0002072	AL3G25480	g7228
OG0002073	AL3G27190	g7138
OG0002074	AL7G38820	g24374, g24365
OG0002074	AL3G30030	g12059
OG0002075	AL3G48180	g1441, g13813, g13872
OG0002075	AL3G48240	g13873
OG0002076	AL1G64540	g27974
OG0002076	AL3G24420	g7287
OG0002077	AL1G59510	g54217
OG0002077	AL3G35170	g13379
OG0002078	AL5G36970	g2187
OG0002078	AL5G36960, AL5G36950	g19068
OG0002082	AL5G35640	g19148
OG0002083	AL4G39260, AL4G39240	g51984
OG0002084	AL4G18200, AL2G41290	g14732, g28302
OG0002087	AL638U10020	g48267, g3457, g35423, g25167, g24770
OG0002092	AL7G44270	g33114
OG0002093	AL7G17010	g23109
OG0002094	AL7G16710	g23080
OG0002095	AL3G50120	g6112
OG0002095	AL7G15880	g23012
OG0002096	AL1G66490	g41103
OG0002097	AL2G17570	g44068
OG0002097	AL1G20840	g27105
OG0002098	AL2G15670	g44142
OG0002098	AL2G15980	g41008
OG0002099	AL2G15530	g40988
OG0002100	AL1G25710	g31483, g27249, g49897
OG0002100	AL5G13230	g1549
OG0002102	AL8G19000, AL3G18970	g12436
OG0002103	AL2G10250	g40755
OG0002103	AL7G47140	g7662
OG0002104	AL2G11310	g40798
OG0002104	AL7G48030	g46645
OG0002105	AL1G24310	g31400
OG0002105	AL2G12450	g40856
OG0002106	AL2G13590	g40922
OG0002107	AL5G38030	g2134
OG0002107	AL4G38920	g37375
OG0002108	AL3G20020	g7519
OG0002109	AL6G12480	g5751
OG0002110	AL1G29620, AL6G12620	g29838, g5743
OG0002111	AL6G13780	g5700
OG0002112	AL6G14680	g45411
OG0002112	AL3G22190	g7415, g12359
OG0002113	AL4G20910	g28373, g28340
OG0002114	AL7G24970	g23613
OG0002114	AL8G28260	g924
OG0002115	AL7G25990	g23671, g47607
OG0002116	AL8G31060	g39370
OG0002116	AL7G26210	g23680
OG0002117	AL1G40640	g45613, g32260
OG0002118	AL6G22390	g5365, g29430
OG0002119	AL6G21290	g29482
OG0002119	AL6G36610	g10034
OG0002120	AL6G18970, AL6G19170	g5495
OG0002121	AL6G17570	g29632
OG0002122	AL7G37360	g24269
OG0002123	AL8G13110	g10981
OG0002123	AL7G35070	g17446
OG0002124	AL1G45720	g10983
OG0002124	AL7G34960	g47299
OG0002125	AL8G14880	g40506
OG0002126	AL6G48780	g40466
OG0002126	AL7G32830	g24023
OG0002127	AL6G45220	g40347
OG0002127	AL7G29550	g23872
OG0002128	AL6G44680	g40324
OG0002128	AL1G47100	g50665, g27787
OG0002129	AL6G43620	g40276
OG0002129	AL1G48430	g32729
OG0002131	AL6G51020	g39546
OG0002131	AL1G12060	g30788
OG0002132	AL7G15590	g18229, g22987
OG0002133	AL7G15420	g47931
OG0002134	AL7G15040	g18238
OG0002135	AL7G14190	g47976
OG0002136	AL4G10340	g38546
OG0002136	AL7G10740	g18328
OG0002137	AL7G50790	g46699
OG0002137	AL7G50770	g16892
OG0002138	AL4G30310	g37085
OG0002139	AL1G52740	g37045
OG0002139	AL8G17790	g11140
OG0002141	AL7G42720	g47017
OG0002141	AL3G38840	g6494
OG0002142	AL5G45820	g18755
OG0002142	AL4G47640, AL7G30840	g37772
OG0002143	AL4G47540	g37767
OG0002144	AL4G41070, AL4G41090	g37452, g38191
OG0002145	AL4G40440	g37430
OG0002145	AL5G39680	g2046
OG0002146	AL5G22920	g3103
OG0002146	AL6G33660	g805
OG0002147	AL8G36440, AL8G36430	g28776
OG0002149	AL8G40170	g319
OG0002150	AL5G30200	g2593
OG0002150	AL8G44090	g9668
OG0002151	AL8G44700	g18262
OG0002151	AL3G51730	g13956
OG0002152	AL1G10550	g49301
OG0002153	AL1G10650	g49304
OG0002154	AL8G15930	g39682
OG0002154	AL1G41750, AL1G13490	g30843
OG0002156	AL3G39390	g39752
OG0002157	AL1G15000	g30918
OG0002158	AL7G25110	g23621, g47637
