Orthogroup	Arabidopsis_lyrata_Rawat	Aethionema_saxatile
OG0000108	nbis-gene-844, AL4G14150, AL6G37130, AL6G37020, AL6G44880, AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170, nbis-gene-805, AL3G44060, AL3G44020, AL3G44030, AL3G43980, AL2G26330	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000112	nbis-gene-1017, AL8G37620, nbis-gene-2004, nbis-gene-1178, nbis-gene-2005, nbis-gene-1177, AL4G19230	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	AL8G17970, AL8G17980, AL20U10050, AL20U10060, AL20U10040, AL20U10020, AL6G21880, AL3G14170, AL4G22780, AL8G15310, AL1G67230, AL1G67210, AL1G67280, AL3G42680, AL1G52710, AL5G19550, AL2G23230, AL686U10020, AL7G52290, AL7G52440, AL7G52360, AL7G52380, AL7G52310, AL7G52410	As006G137050, As006G137080
OG0000116	AL4G42280	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	AL5G18800	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000123	AL7G26670	As008G183750
OG0000123	AL1G25180, AL1G25190, AL2G13220	As008G183720
OG0000125	AL3G20660, AL6G11840	As005G107620
OG0000125	AL6G34020	As005G113770
OG0000125	AL189U10030, AL8G36480	As005G114700, As010G224880
OG0000125	AL4G23250	As006G129500
OG0000127	AL1G22150, AL1G22140, AL1G22160, AL1G17320, AL638U10010	As008G186430, As008G186390, As008G185640
OG0000130	AL4G15810, AL4G25960	As005G110830
OG0000130	AL667U10020	As010G226930, As002G040800, As008G191120
OG0000133	AL8G19570, AL25U10030	As004G090110, As010G227760, As002G038290, As007G165020, As007G167120, As007G166850, As004G092840, As011G261830
OG0000136	AL2G24590, AL2G24600, AL2G24580	As001G028730
OG0000138	AL5G19700, AL5G19780	As001G027950, As001G027940, As007G161530
OG0000140	AL8G35600	As005G115230
OG0000140	AL48U10040, AL8G35560, nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178, nbis-gene-2175, nbis-gene-2181, AL48U10010, nbis-gene-2180	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000146	AL8G30890	As002G047180
OG0000146	AL8G30920, AL8G30900	As002G047190
OG0000147	AL3G52950	As011G265720
OG0000147	AL7G22000	As001G002190
OG0000147	AL8G33330	As002G049060
OG0000147	AL2G40780	As010G243490
OG0000147	AL5G20850	As010G227330
OG0000147	AL3G44180	As011G259420
OG0000149	AL5G25250	As010G224590
OG0000149	AL8G36140, AL8G36180, AL8G36200, AL8G36170, AL8G36160, AL5G25230	As010G224610
OG0000150	AL5G21720, AL5G21730, AL6G15230, AL5G24190, AL4G18370, AL4G18360, AL4G18340, AL5G24110	As010G225180, As010G225220, As010G225210
OG0000151	AL7G24680	As007G166070
OG0000151	AL3G19690	As006G141980, As006G133740
OG0000151	AL3G49460	As011G263600
OG0000151	AL8G31780	As002G047900
OG0000151	AL2G10770, AL7G47650	As001G030700
OG0000154	AL1G28200	As007G152520
OG0000154	AL3G24230	As009G210670
OG0000154	AL3G20620	As002G034300
OG0000154	AL6G11740	As005G107550
OG0000155	AL7G25530, AL113U10010, AL113U10030, AL5G31320, AL7G32730, AL2G23090, AL2G23080, AL7G32710	As003G059350
OG0000155	AL6G37570, AL4G46600	As003G059230, As003G059200
OG0000156	AL5G43250	As012G287040, As012G287050
OG0000156	AL4G44730	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000161	AL8G38700, AL8G38710, AL1G60690, AL8G25830, AL4G22760, AL4G22720, AL2G20180, AL2G20130	As001G013550, As001G029600, As001G029610
OG0000162	AL4G44040, AL4G23070	As005G102210
OG0000164	AL7G23040	As011G264140, As011G262780
OG0000166	AL2G32690	As011G260470, As002G040840
OG0000167	AL7G34470	As003G057890
OG0000171	AL2G23510	As005G099780
OG0000171	AL1G21480	As007G159620
OG0000171	AL2G16210	As004G097180
OG0000171	AL6G25440	As009G200410
OG0000175	AL5G31720	As010G220360
OG0000175	AL1G32900	As007G156270
OG0000175	AL7G16200	As011G263590
OG0000175	AL3G50830	As011G264780, As003G072250
OG0000184	AL3G43630, AL5G24090	As004G089570
OG0000187	nbis-gene-1736, nbis-gene-1735, AL22U10010, nbis-gene-1954, AL7G51970	As001G003940
OG0000187	AL7G20320	As001G003960
OG0000190	AL6G47960, AL6G47980, AL6G47970, AL6G48020, AL6G47990, AL1G49990	As004G085680
OG0000191	AL3G29510	As007G152760
OG0000192	AL1G34280	As007G157190
OG0000195	AL7G46650, AL2G24200	As001G028840
OG0000195	AL5G21780	As002G033300
OG0000200	AL5G29460, AL8G22470	As008G194290
OG0000202	nbis-gene-126	As002G042690, As002G042710, As011G249620
OG0000203	AL3G14200, AL6G22600, AL6G22480, AL6G22490	As006G136770
OG0000207	AL2G39130, AL2G28790, AL2G39150, AL4G20460, AL2G39120	As003G061070
OG0000208	AL7G51580, AL7G11510, AL8G26210, AL311U10010	As003G075160
OG0000213	AL4G12610, AL4G12630, AL4G12560, AL4G12620, AL4G12650, AL4G12640, AL4G12670	As002G038840
OG0000215	AL5G34210	As011G258310
OG0000217	AL2G17650, AL2G17830, AL2G17810, AL1G65670	As001G019850
OG0000217	AL7G46780, AL2G17080, AL2G17100	As007G177020
OG0000218	AL1G26980, AL1G27000, AL1G27010, AL1G27020, AL5G15240, AL7G42370, AL5G10550, AL5G13150, AL5G10520	As001G022650
OG0000219	AL2G25070, AL2G25100	As001G028500, As001G028480
OG0000219	AL835U10030	As003G064990
OG0000220	nbis-gene-390	As010G225590, As010G227890
OG0000224	AL2G37740, AL2G37720	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	AL7G20350, AL2G12370, AL2G12360	As001G031540
OG0000225	AL1G43260, AL1G43240, AL1G43270	As003G069680, As003G070050
OG0000228	AL6G40330, AL6G40180	As007G159250
OG0000228	AL2G30290, AL173U10020	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	AL7G51760	As004G077900
OG0000231	AL2G26510, AL7G43870, AL2G25780, AL2G25790	As001G028220
OG0000232	AL3G16300, AL3G16310, AL3G22620, AL3G46870	As002G036540, As006G139020
OG0000233	AL3G36230	As007G163840
OG0000233	AL8G34590	As005G111800
OG0000233	AL3G52190	As005G111810
OG0000234	AL5G36220	As012G281460
OG0000234	AL5G36210, AL4G36690	As006G143800
OG0000234	AL6G24190	As009G210340
OG0000237	AL1G54290	As010G229740
