Orthogroup	Arabidopsis_lyrata_Rawat	Aethionema_saxatile
OG0002480	AL5G37750, AL4G38680	As012G282910
OG0002494	AL3G53990	As011G267440
OG0002494	AL7G24410	As001G000070
OG0002495	AL7G23680, AL7G23690, AL7G23700	As001G000720
OG0002496	AL4G10950, AL7G11270, AL7G31990	As007G180720, As001G002930
OG0002497	AL8G33000	As002G048780
OG0002498	AL7G20450, AL4G15300	As001G003890
OG0002499	AL6G33280	As001G012010, As001G010780, As005G113250
OG0002499	AL5G22410	As010G226320
OG0002500	AL7G17110, AL3G47060	As001G013480
OG0002502	AL4G31280, AL941U10010	As004G079730
OG0002503	AL7G50990, AL1G19310, AL1G65100	As008G189320, As001G018590, As001G018580
OG0002504	AL2G18560	As001G019510
OG0002504	AL1G20440	As008G187560
OG0002505	AL1G21090	As008G187280
OG0002505	AL2G17170	As001G020220
OG0002506	AL2G16440	As001G020640
OG0002506	AL1G21390	As008G187030
OG0002507	AL5G11780	As008G182970
OG0002508	nbis-gene-1194	As001G023960
OG0002508	AL1G25850	As008G183400
OG0002509	AL5G13300	As001G024220
OG0002510	AL1G24540	As008G184420
OG0002510	AL5G15490	As001G025530
OG0002511	AL5G18540, AL5G18840	As001G027330
OG0002512	AL5G42240	As001G030940
OG0002512	AL1G63710	As012G268260
OG0002513	AL3G22180	As002G036190
OG0002513	AL6G14670	As009G214160
OG0002514	AL6G15440	As009G213190
OG0002515	AL6G16330	As009G212380
OG0002515	AL3G23180	As002G037470
OG0002516	AL7G27420, AL7G27400	As002G044340, As007G164890
OG0002517	AL7G24930, AL8G28230	As002G045300
OG0002518	AL8G31100	As002G047320
OG0002518	AL7G26230	As006G134700
OG0002519	AL7G26250	As002G047340
OG0002520	AL8G31550	As002G047720
OG0002521	AL6G22820, AL6G22810	As002G051220
OG0002522	nbis-gene-1496	As002G053700
OG0002522	AL8G41760	As005G117400
OG0002523	AL7G37300	As003G055760
OG0002523	AL8G10630	As004G091100
OG0002524	AL6G46880	As004G084950
OG0002524	AL7G30710	As003G060810
OG0002525	AL6G42940	As004G080270
OG0002525	AL1G50310	As003G063820
OG0002526	AL1G44600	As003G071140
OG0002526	AL7G27930	As007G164530
OG0002527	AL4G30960	As004G078670
OG0002527	AL1G45190	As003G071590
OG0002528	AL3G50950	As011G264850
OG0002528	AL7G14960	As003G072370
OG0002529	AL7G13700	As003G073400
OG0002529	AL4G13330	As007G179540
OG0002530	AL7G13130	As003G073920
OG0002531	AL4G11860, AL7G12250	As003G074720
OG0002532	AL4G11070	As007G180670
OG0002532	AL2G17670	As003G075500
OG0002533	AL5G24680, AL5G24660, AL7G10270	As003G076500
OG0002534	AL6G42850, AL6G42830, AL6G42820, AL6G42860	As004G080330, As004G080320
OG0002535	AL6G46510, AL7G30520	As004G084730
OG0002536	AL6G47550	As004G085350
OG0002537	AL6G47740	As004G085480
OG0002538	AL7G42390, AL7G42400	As004G095080
OG0002539	AL7G41700	As004G095560
OG0002539	AL7G41710	As004G095510
OG0002540	AL7G39960	As004G096620
OG0002541	AL5G45890	As012G288940
OG0002541	AL4G47730	As005G098580
OG0002542	AL4G45420, AL5G43930	As005G100920
OG0002543	AL4G44950	As005G101310
OG0002543	AL5G43430	As012G287170
OG0002544	AL4G42720	As005G103360
OG0002544	AL5G41930	As008G195470
OG0002545	AL4G39740	As005G105890, As005G105610, As005G105930
OG0002545	AL5G38910	As012G283910
OG0002546	AL4G40040	As005G105700, As005G105720
OG0002547	AL5G38690	As012G283750
OG0002547	AL4G39530	As005G106150
OG0002548	AL4G35730, AL6G13070	As005G108450
OG0002549	AL1G53000, AL4G37660	As005G111540
OG0002550	AL6G32110	As010G227270
OG0002551	AL5G25510	As010G224410
OG0002551	AL8G36040	As005G115520
OG0002552	AL5G28070	As010G222510
OG0002552	AL8G40560	As005G116390
OG0002553	AL8G44290	As005G119590
OG0002553	AL5G30440	As010G221160
OG0002554	AL8G44890	As005G120110, As005G120120, As005G120130
OG0002555	AL6G52610	As006G122230
OG0002555	AL1G11340	As008G198480
OG0002556	AL6G51830	As006G122430
OG0002556	AL1G11510	As008G198330
OG0002557	AL1G15860, AL4G26720	As006G127180
OG0002558	AL2G26020	As006G132660
OG0002559	AL3G10640	As006G133130
OG0002559	AL6G25460	As009G200430
OG0002560	AL6G26200	As009G201240
OG0002560	AL3G11130	As006G134910
OG0002561	AL6G27660	As009G202670
OG0002561	AL3G12350	As006G135920
OG0002562	AL6G40350	As009G206940
OG0002562	AL3G15240	As006G138150, As006G138130
OG0002563	AL3G11490, AL8G13590	As006G138330
OG0002564	AL3G17250, AL6G30140	As006G139890
OG0002565	AL4G32150	As006G144620
OG0002566	AL4G33890, nbis-gene-1095	As006G146200
OG0002567	AL1G28440, AL2G40130, AL891U10010	As007G152810
OG0002568	AL2G35300	As010G238200
OG0002568	AL1G32370	As007G155930
OG0002569	AL2G36140	As010G237410
OG0002569	AL1G33170	As007G156520
OG0002570	AL1G33390	As007G156590
OG0002571	AL2G36670	As010G236920
OG0002571	AL1G33960	As007G156990
OG0002572	AL2G37510, AL1G34750	As007G157610
OG0002573	AL2G29410	As010G233140
OG0002573	AL1G37980	As007G160020
OG0002574	AL1G39600	As007G161070
OG0002574	AL2G27610	As010G231590
OG0002575	AL1G26580, AL3G41580, AL3G41420	As008G182790
OG0002576	AL4G20530, AL1G24780, AL165U10010	As008G184220
OG0002577	AL1G17590	As008G192700
OG0002578	AL1G16370, AL1G16360	As008G193730, As008G193760
OG0002580	AL4G27350, AL1G15350	As008G194790
OG0002581	AL1G11450, AL1G22540	As008G198400, As008G198390
OG0002582	AL4G38080	As009G213250
OG0002583	AL5G29400	As010G221700
OG0002583	AL6G36250	As009G215910
OG0002584	AL8G35080	As009G219490
OG0002585	AL5G25190, AL8G36220	As010G224650
OG0002586	AL2G27460, AL5G20720, AL5G24630	As010G231040
OG0002587	AL1G32470, AL2G35430	As010G238060
OG0002588	AL2G34170	As010G239220
OG0002589	AL2G32430	As010G241020
OG0002590	AL3G26330	As011G246160
OG0002590	AL1G62780	As010G241320, As012G269200
OG0002591	AL3G25420	As011G245450
OG0002591	AL1G63410	As012G268620
OG0002592	AL1G62850	As012G269150
OG0002592	AL3G26250	As011G246080
OG0002593	AL3G28040	As011G247650
OG0002594	AL1G61050	As012G270470
OG0002594	AL3G28250	As011G247800
OG0002595	AL3G28750	As012G270810, As011G248280
OG0002596	AL3G29570	As011G248880
OG0002596	AL7G39370	As012G274650
OG0002597	AL3G30280	As011G249380
OG0002597	AL1G54550	As012G274080
OG0002598	AL3G31010, AL1G55140	As011G249910
OG0002600	AL3G11690, AL7G41650	As011G255050
OG0002601	AL4G17060, AL7G19310	As011G263820
OG0002602	AL1G64210, AL3G24790	As012G267890
OG0002603	AL1G59240	As012G271860
OG0002604	AL1G56150, AL1G56240	As012G273030
OG0002605	AL5G37770, AL4G34480, nbis-gene-1133	As012G282930
OG0002606	AL5G39600, AL4G40540	As012G284350
OG0002607	AL5G42350	As012G286060, As012G286070
OG0002622	AL3G47830	As011G266930
OG0002622	AL7G23750	As001G000680
OG0002623	AL4G14640	As001G003260
OG0002624	AL4G17540	As006G132160
OG0002624	AL7G18930	As001G006190
OG0002625	AL3G43780	As001G011530
OG0002625	AL2G20620	As289G297790, As160G296640, As419G298080, As205G296950, As240G297400
OG0002626	AL3G52260	As011G263160
OG0002626	AL7G16780	As001G014170
OG0002627	AL7G16640	As001G014270
OG0002627	AL3G52520	As011G263300
OG0002628	AL3G49420, AL3G49430	As011G263570
OG0002628	AL7G16220	As001G014800
OG0002629	AL4G31090	As004G078820
OG0002629	AL1G45650	As001G015750
OG0002630	AL4G31610, AL212U10010	As004G079350
OG0002631	AL575U10010, AL4G31770	As004G083150
OG0002631	AL7G37930	As001G017580
OG0002632	AL1G66150, AL1G19740	As001G019060
OG0002633	AL1G20190	As008G188110
OG0002634	AL2G17680	As001G019900
OG0002634	AL1G20780	As008G187830
OG0002635	AL1G22580, AL2G14420	As001G021860
OG0002636	AL1G26730	As001G022990
OG0002637	AL1G25860	As008G183390
OG0002637	AL5G12920	As001G023970
OG0002638	AL1G24940	As008G183930
OG0002639	AL5G15970	As001G025840
OG0002639	AL6G12060	As005G107930
OG0002640	AL5G18590	As001G027310
OG0002641	AL7G50800	As004G078380
OG0002641	AL5G19000	As001G027640
OG0002642	AL2G25760	As001G028250
OG0002643	AL7G46640	As004G077380
OG0002643	AL2G24180	As001G028850
OG0002644	AL2G19630	As001G029730
OG0002645	nbis-gene-2164, AL8G33120	As002G048900
OG0002645	AL7G27030	As002G032620
OG0002646	AL3G21580	As002G035470
OG0002647	AL7G28600	As007G163080, As007G163060
OG0002647	AL8G23640	As002G039660
OG0002648	AL8G27810, nbis-gene-1768	As002G044830
OG0002649	nbis-gene-124	As004G083470, As002G045400
OG0002650	AL8G29690	As002G046120
OG0002651	AL8G30080	As002G046390
OG0002651	AL7G25580	As006G132490
OG0002652	AL8G33340	As002G049070
OG0002652	AL3G53000	As011G265690
OG0002653	AL6G21490	As002G052290
OG0002653	AL6G36760	As009G215520
OG0002654	AL8G43220, AL112U10050	As005G118680
OG0002654	AL6G21080	As002G052650
OG0002655	AL6G20510, AL8G42710	As002G053250
OG0002656	AL8G42020	As005G117600
OG0002656	AL6G20140	As002G053570
OG0002657	AL7G36380	As003G056450
OG0002657	AL8G11810, AL7G40180	As004G089010
OG0002658	AL7G33240, AL7G33230	As003G058870
OG0002659	AL7G31330	As003G060340
OG0002660	AL6G47320	As004G085180
OG0002660	AL7G30990	As003G060580
OG0002661	AL7G30000	As003G061470
OG0002661	AL6G45790	As004G084490
OG0002662	AL1G50560	As003G063950
OG0002662	AL6G43150	As004G080190
OG0002663	AL4G29200	As004G081750
OG0002663	AL1G41630	As003G068530
OG0002664	AL7G15410, AL7G15430	As003G072000, As003G071990
OG0002665	AL6G43540, AL3G51060	As011G264930
OG0002666	AL7G14560	As003G072660
OG0002667	AL7G14460	As003G072790
OG0002667	AL3G51630	As011G265360
OG0002668	AL7G13840, AL7G13850	As003G073280, As003G073270
OG0002669	AL4G12410	As007G179900
OG0002669	AL7G12920	As003G074060
OG0002670	AL4G10790	As007G180820
OG0002670	AL7G11180	As003G075640
OG0002672	AL7G50580	As004G078520
OG0002673	AL6G41440	As004G080350
OG0002674	AL6G47460, AL6G47450	As004G085250
OG0002675	AL7G32980, AL6G48990	As004G086350
OG0002676	AL9U11590	As004G093110
OG0002676	AL3G41290	As011G258120, As011G258130
OG0002677	AL9U11190, AL9U11120, AL9U11100, AL9U11080	As004G093500
OG0002678	AL3G39170	As004G093530
OG0002678	AL8G12500, AL7G42970	As004G094510
OG0002679	AL7G41590	As004G095650
OG0002679	AL3G37490	As011G254990
OG0002680	AL7G41480	As004G095740
OG0002680	AL3G37380	As011G254910
OG0002681	AL5G44160	As012G287670
OG0002683	AL5G39720	As012G284450
OG0002684	AL4G39710, AL5G38890	As005G105950
OG0002685	AL6G10730	As006G142160, As005G106640
OG0002686	AL6G13700	As005G109060
OG0002686	AL4G42800, AL6G26820	As009G201790, As009G201760
OG0002687	AL5G23920	As010G225290
OG0002687	AL8G36970	As005G114330
OG0002688	AL5G24510	As010G224920
OG0002688	AL8G36600	As005G114620
OG0002689	AL8G36070, AL8G36080, AL8G36090	As005G115500
OG0002690	AL5G25530	As010G224390
OG0002690	AL8G36060	As005G115510
OG0002691	AL5G28040	As010G222530
OG0002691	AL8G40530	As005G116360
OG0002692	AL6G53000	As006G121510
OG0002693	AL1G12860	As008G197190
OG0002693	AL6G50000	As006G123750
OG0002694	AL8G15720	As006G124270
OG0002694	AL1G13320	As008G196950
OG0002695	AL4G26920	As006G127050
OG0002695	AL1G15740	As008G194410
OG0002696	AL1G18080, nbis-gene-1031	As006G129490
OG0002697	AL3G19720	As006G142000, As006G133830
OG0002698	AL3G12910	As006G136330
OG0002698	AL6G28460	As009G203310
OG0002699	AL3G12970	As006G136410
OG0002699	AL6G28510	As009G203390
OG0002700	AL3G13810	As009G204050, As006G137200
OG0002701	AL3G18420, AL8G21740	As006G140860
OG0002702	AL5G37460	As012G282650
OG0002702	AL4G38220	As006G142520
OG0002703	AL1G44150, AL3G51290	As011G265040
OG0002704	AL4G33410	As006G145710
OG0002705	AL5G35290, AL4G36000	As006G148860
OG0002706	AL2G40080	As010G242850
OG0002706	AL1G28470	As007G152830
OG0002707	AL2G33180	As010G240220
OG0002707	AL1G30290	As007G154380
OG0002708	AL2G35310, AL1G32380	As007G155940
OG0002709	AL2G37070, AL1G34410	As007G157250
OG0002710	AL1G36420	As007G158990
OG0002710	AL2G31030	As010G234240
OG0002711	AL1G37810	As007G159880
OG0002712	AL1G39750	As007G161180
OG0002715	AL5G10700, AL1G26930	As008G182490
OG0002716	AL1G21110, AL1G21100	As008G187170
OG0002717	AL6G27290, AL2G35970	As009G202340
OG0002718	AL6G28410	As009G203250, As009G203380
OG0002719	AL6G36370, AL6G36360, AL6G36400	As009G215820
OG0002721	AL5G29120	As010G221870, As010G221880
OG0002722	AL2G28380	As010G232310
OG0002723	AL2G38400, AL1G35660	As010G235340
OG0002724	AL1G33820	As010G237080
OG0002725	AL3G24840, AL3G24830	As011G244940
OG0002726	AL3G28000	As011G247620
OG0002726	AL1G61280	As012G270130
OG0002727	AL3G28940	As011G248410
OG0002728	AL1G57020	As012G272740
OG0002728	AL3G32540	As011G251250
OG0002729	AL3G34360	As011G252830
OG0002729	nbis-gene-790, AL1G58530	As012G271580
OG0002730	AL3G35810	As011G253790
OG0002731	nbis-gene-758	As011G254440
OG0002732	AL1G60140, AL1G60120, AL1G60130, AL1G60150	As012G271000
OG0002733	AL1G56260, AL1G56180	As012G273010
OG0002734	AL4G30570	As012G275240
OG0002735	AL5G34220, AL5G32350	As012G276980
OG0002736	AL4G34960, AL5G35120	As012G278190
OG0002737	AL5G37760	As012G282920
OG0002753	AL7G24280	As001G000210
OG0002753	AL3G53770	As011G267350
OG0002754	AL7G23400	As001G000880
OG0002754	AL3G47950	As011G266760
OG0002755	AL7G20280	As001G004000
OG0002757	AL3G52320	As011G263180
OG0002758	AL3G49560	As011G263700
OG0002762	AL2G14290	As001G021940
OG0002762	AL1G22720	As008G185820
OG0002763	AL1G26970	As008G182460
OG0002764	AL1G25520	As008G183640
OG0002764	AL5G13420	As001G024270
OG0002766	AL7G46560	As004G077360
OG0002766	AL2G24000	As001G028940
OG0002767	AL2G12330	As001G031510
OG0002768	AL7G26690	As002G032910
OG0002769	AL3G20600	As002G034270
OG0002770	AL8G24880	As002G042380
OG0002771	AL6G20590	As002G053190
OG0002771	AL8G42600	As005G118190
OG0002772	AL8G41110	As005G116840
OG0002772	AL6G19650	As002G054010
OG0002773	AL6G17770	As002G055290
OG0002773	AL8G38380	As009G218230
OG0002774	AL7G33970	As003G058130
OG0002774	AL8G14640, AL8G14610	As004G087290
OG0002775	AL7G33850, AL8G14740	As003G058200
OG0002776	AL7G32480, AL7G32490	As003G059570
OG0002777	AL7G31970	As003G059960
OG0002778	AL7G30360, AL4G16290, AL5G22020	As003G061140
OG0002779	AL1G48560	As003G063190, As003G063150, As003G063170
OG0002780	AL1G50880, AL1G50870	As003G064140
OG0002781	AL4G12540, AL2G12800, nbis-gene-950	As007G179830
OG0002781	AL7G13100	As003G073970
OG0002783	AL4G10370, AL7G10790, AL2G17580	As003G075620
OG0002784	AL7G37060, AL8G10840	As004G089990
OG0002785	AL7G44190	As004G091710
OG0002785	AL3G43970	As011G259610
OG0002786	AL3G43810	As004G091990, As011G261140
OG0002787	AL7G44580	As004G092210
OG0002787	AL3G42390	As011G258720
OG0002788	AL7G41690	As004G095570
OG0002788	AL3G37790	As011G255120
OG0002789	AL166U10010, AL3G37130	As011G254740
OG0002789	AL7G41200	As004G095840
OG0002790	AL3G36580, AL3G36610	As011G254310, As004G096070
OG0002791	AL7G40160, AL3G35770	As004G096460
OG0002792	AL7G49720, AL3G17410	As004G097100
OG0002793	AL4G46490	As005G099990
OG0002793	nbis-gene-1410	As012G288160
OG0002794	AL5G43060	As012G286850
OG0002795	AL5G42540	As005G102310
OG0002796	AL4G42370	As005G103720, As005G103730
OG0002797	AL5G39450	As012G284220
OG0002797	AL4G40670	As005G105270
OG0002798	AL4G39860, AL4G40080, AL5G38950	As005G105660
OG0002799	AL4G35230	As005G106610
OG0002800	AL6G13120	As005G108500
OG0002801	AL5G21270	As005G112300, As010G227050
OG0002802	AL5G21710, AL6G32650	As005G112600
OG0002803	AL5G26300	As010G224010
OG0002803	AL3G40320, AL8G35200	As005G115960
OG0002804	AL8G44340	As005G119640
OG0002805	AL4G24450	As006G121540, As006G128670
OG0002806	AL6G51710	As006G122540
OG0002807	AL6G49870, AL1G12950	As006G123850
OG0002808	AL4G27830	As006G126320
OG0002808	AL1G14920	As008G195220
OG0002809	AL4G26590, AL1G16070	As006G127320
OG0002810	AL1G16680	As006G127830
OG0002811	AL4G23780	As006G128950, As006G128980
OG0002812	AL4G21400	As006G130890
OG0002812	AL1G18750	As008G190700
OG0002813	AL3G10460	As006G132910
OG0002814	AL6G26470	As009G200910
OG0002814	AL3G11450	As006G135200
OG0002815	AL288U10020, AL3G12980	As006G136420
OG0002815	AL6G28540	As009G203420
OG0002816	AL3G14100, AL3G14150	As006G137410
OG0002817	AL6G29740	As009G204350
OG0002818	AL3G15380	As006G138270
OG0002818	nbis-gene-1593	As009G206780
OG0002819	AL6G30380	As009G204860
OG0002819	AL3G17040	As006G139750
OG0002820	AL3G17490, AL3G17480	As006G140110
OG0002821	AL3G17950, AL8G22720	As006G140460
OG0002822	AL3G14620	As006G144050
OG0002823	AL5G33520, AL4G32350	As006G144770
OG0002824	AL5G34910, AL4G34790	As006G146920
OG0002825	AL2G41230	As010G243950
OG0002825	AL1G27600	As007G152100
OG0002826	AL2G40470	As010G243210
OG0002826	AL1G28180	As007G152490
OG0002827	AL1G29760, AL2G32340	As007G153850
OG0002828	AL1G29790	As007G153940
OG0002828	AL2G32380	As010G241060
OG0002829	AL2G33020	As007G154360
OG0002830	AL2G34450	As010G238970
OG0002830	AL1G31310	As007G155230
OG0002831	AL2G34650	As010G238770
OG0002831	AL1G31490	As007G155350
OG0002832	AL1G33470	As007G156660
OG0002832	AL2G36340	As010G237250
OG0002833	AL1G33480	As007G156670
OG0002833	AL2G36350	As010G237240
OG0002834	AL1G37620, AL2G29590	As007G159790
OG0002835	AL2G28330	As010G232250
OG0002835	AL1G39400	As007G160850
OG0002836	AL2G27810, AL1G39740	As007G161170
OG0002837	AL2G27300, AL1G39920	As007G161340
OG0002838	AL7G28960, AL8G23860	As007G162790
OG0002840	AL7G11120, AL4G10730	As007G180880
OG0002841	AL4G27860, AL1G14900	As008G195240
OG0002842	AL5G19010, AL1G12730	As008G197280, As008G197290, As008G197270
OG0002843	AL6G34820	As009G217030
OG0002844	AL6G25710	As009G200670
OG0002845	AL6G30150, AL3G17240	As009G204620
OG0002846	AL8G23320, AL253U10010, AL5G27650	As009G207360
OG0002847	AL1G64320	As009G211870, As009G211860
OG0002848	AL6G36030, AL5G29170	As009G216240
OG0002849	AL5G29020	As010G221970
OG0002849	AL6G35760	As009G216340
OG0002850	AL8G38500	As009G218290
OG0002850	AL8G38420, AL8G38460	As009G216690
OG0002851	AL6G34970	As009G216910
OG0002851	AL5G28370	As010G222370
OG0002852	AL6G34880	As009G216990
OG0002853	AL8G38580	As009G218380
OG0002854	AL4G13320, AL4G13310	As009G219520, As009G219510, As009G219570, As009G219550
OG0002855	AL3G10800, nbis-gene-2169	As009G219680
OG0002856	AL5G26470	As009G219710, As010G223780
OG0002857	AL5G30250, AL5G30260	As010G221240
OG0002858	AL5G28920	As010G222090, As010G222100, As010G222110
OG0002859	AL5G24910	As010G224720
OG0002860	AL7G16720, AL3G52360	As010G226110, As011G263240
OG0002861	AL1G11760, AL2G30540	As010G233890
OG0002862	AL2G34280	As010G239100
OG0002863	AL2G40710, AL1G28030	As010G243440
OG0002864	nbis-gene-307	As012G268420
OG0002864	AL3G25370	As011G245390
OG0002865	AL1G63130	As012G268900
OG0002865	AL3G25820	As011G245720
OG0002866	AL1G62920	As011G245990
OG0002867	AL3G26290	As011G246110
OG0002867	AL1G62830	As012G269170
OG0002868	AL3G28010, AL1G61260	As011G247630, As012G270140
OG0002869	AL1G58480	As012G271540
OG0002869	AL3G34290	As011G252800
OG0002872	AL7G31960, AL3G49330	As011G263520
OG0002873	AL3G53110	As011G265610
OG0002874	AL3G54170, AL7G24470	As011G267620
OG0002875	AL1G58630, AL8G37450	As012G271600
OG0002876	AL4G25950	As012G271660
OG0002876	AL1G56300	As012G272980
OG0002877	AL5G36140, AL5G26020, AL4G36590	As012G281230
OG0002878	AL5G37710	As012G282870
OG0002879	AL5G38570, AL4G39330	As012G283630
OG0002880	AL5G38880	As012G283930
OG0002881	AL5G39380	As012G284190
OG0002890	AL3G53730	As011G267320
OG0002890	AL7G24220	As001G000270
OG0002891	AL7G21670	As001G002500
OG0002892	AL4G16440	As007G176760
OG0002893	AL7G19740, AL4G16660	As001G004560
OG0002894	AL5G22490	As010G226250
OG0002894	AL7G19120	As001G005380
OG0002895	AL4G18020	As006G131970
OG0002895	AL7G18750	As001G005770
OG0002896	AL7G17780	As001G012130
OG0002896	AL3G46040	As011G262260
OG0002897	AL7G16460	As001G014440
OG0002897	AL3G49160	As011G263470
OG0002898	AL3G29540	As001G014610
OG0002899	AL1G46340, AL4G31570	As001G016720
OG0002900	AL4G31750	As004G079980
OG0002901	AL2G15720	As001G021000
OG0002902	AL2G14320	As001G021920
OG0002903	AL1G27220, AL1G27260, AL1G27240	As001G022250
OG0002904	AL1G26710	As008G182720
OG0002904	AL5G11000	As001G023030
OG0002905	AL5G17690	As001G026940
OG0002906	AL2G11600, AL7G48150	As001G031240
OG0002907	AL8G33410	As002G049140
OG0002907	AL7G27190	As002G032540
OG0002908	AL8G34090	As002G034870, As002G049680
OG0002909	AL3G22070	As002G036070
OG0002909	AL6G14430	As009G214320
OG0002910	AL6G16380	As009G212330
OG0002910	AL3G23210	As002G037490
OG0002911	AL3G24060, AL6G24500	As002G039050
OG0002912	AL8G28700	As002G045830
OG0002912	AL1G39010	As006G132290
OG0002913	AL8G29840, AL7G25540	As002G046250
OG0002914	AL7G26370	As002G047770, As006G134250
OG0002915	AL8G34150, AL8G34270	As002G049850
OG0002916	AL1G40840, AL1G40620	As002G050530
OG0002917	AL6G22720, AL6G38120	As002G051300
OG0002918	AL6G34400, AL6G18670	As002G054630
OG0002919	AL6G18110	As002G055050
OG0002920	AL8G38880	As002G055540
OG0002921	AL7G37350	As003G055710
OG0002921	AL8G10600	As004G091060
OG0002922	AL8G11430	As004G089490
OG0002923	AL7G32350, AL7G32370, AL7G32360	As003G059680
OG0002924	AL6G47010	As004G085010
OG0002924	AL7G30800	As003G060750
OG0002925	AL6G46650	As003G060930
OG0002926	AL1G47350, AL6G44520	As003G062430, As004G083750
OG0002927	AL6G43710	As004G083280, As004G083270
OG0002927	AL1G48220	As003G062980
OG0002928	AL1G48710	As003G063290
OG0002928	AL2G31410	As010G234620
OG0002929	AL1G49780	As003G063510
OG0002930	AL1G41950	As003G069000
OG0002931	AL7G15550	As003G071890
OG0002932	AL7G13880	As003G073230
OG0002932	AL4G13510	As007G179420
OG0002933	AL7G13440, AL2G17600, AL4G13030	As003G073620
OG0002934	AL7G12800	As003G074190
OG0002934	AL4G12230	As007G180010
OG0002936	AL7G11020	As003G075770
OG0002937	AL7G10910, AL7G10890	As003G075880, As003G075870
OG0002938	AL7G10440	As003G076270
OG0002938	AL4G10080	As007G182120
OG0002939	AL6G42310	As004G080670
OG0002940	AL4G30140, AL6G42110	As004G080970
OG0002941	AL7G15570, nbis-gene-2233	As004G092810
OG0002942	AL7G42280	As004G095150
OG0002942	AL3G38630	As011G255680
OG0002943	AL7G48430, AL7G48380	As004G097800
OG0002944	AL5G45320	As012G288390
OG0002944	AL4G47000	As005G099470
OG0002945	AL1G27830	As011G262010, As005G099620
OG0002946	AL4G45630	As005G100780
OG0002946	AL5G44040	As012G287630
OG0002947	AL5G42590	As012G286270
OG0002947	AL4G43990	As005G102260
OG0002948	AL6G36130	As005G102730, As005G102740
OG0002949	AL4G43470, AL4G43490	As005G102770
OG0002950	AL8G45600	As005G102900, As005G120840
OG0002951	AL4G42750	As005G103310
OG0002952	AL4G42450, AL5G41660	As005G103620
OG0002953	AL4G42240	As005G103850
OG0002953	AL5G41500	As012G285610
OG0002954	AL5G41460	As005G103920, As012G285590
OG0002955	AL6G10610	As005G106570
OG0002956	AL6G32580, AL6G32770	As005G112690
OG0002957	AL5G24210	As010G225170
OG0002957	AL8G36830	As005G114440
OG0002958	AL8G36590, AL6G34100	As007G178300, As005G115210, As005G115130, As005G115110
OG0002959	AL6G20840	As005G118360
OG0002960	AL8G43970	As005G119270
OG0002961	AL8G44960, AL5G31170	As005G120200
OG0002962	AL1G42320, AL1G42330	As006G120960
OG0002963	AL6G52600	As006G122220
OG0002963	AL1G11330	As008G198490
OG0002964	AL6G50820, AL6G50830	As006G123120
OG0002965	AL8G15810	As006G124330
OG0002966	AL8G15950	As006G124460
OG0002967	AL8G16200	As006G124650
OG0002967	AL1G13740	As008G196470
OG0002968	AL1G13760	As008G196450
OG0002968	AL8G16230	As006G124680
OG0002969	AL1G14170	As008G196060
OG0002969	AL4G28980	As006G125390
OG0002970	AL4G28850	As006G125530
OG0002970	AL1G14290	As008G195970
OG0002971	AL1G14280	As008G195980
OG0002971	AL4G28870	As006G125540
OG0002972	AL1G14930	As008G195210
OG0002972	AL4G27820	As006G126330
OG0002973	AL1G16170	As008G193960
OG0002973	AL4G26340, AL163U10030	As006G127510
OG0002974	AL4G23420, AL1G17820	As006G129330
OG0002975	AL7G18900, AL4G17710, AL4G17830	As006G132020
OG0002976	AL6G25250, AL3G10560	As006G133020
OG0002977	AL6G25450	As009G200420
OG0002978	AL277U10010, AL3G40350, AL6G21670	As006G134070
OG0002979	AL8G30950, AL7G26140	As006G134610
OG0002980	AL3G15730	As006G138640
OG0002981	AL6G30440	As006G139720
OG0002982	AL4G32410	As006G144850
OG0002983	AL4G32860	As006G145220
OG0002983	AL5G34000	As012G276680
OG0002984	AL4G32920, AL4G32900	As006G145240
OG0002985	AL4G33520	As006G145790, As006G145780
OG0002986	AL6G22710	As006G146440, As006G146490, As012G283220, As012G283210
OG0002987	AL1G28270, AL1G28290	As007G152650
OG0002988	AL2G35370	As010G238160
OG0002988	AL1G32430	As007G155970
OG0002989	nbis-gene-855, nbis-gene-1783, nbis-gene-33	As007G160830, As007G160820
OG0002990	AL1G39850	As010G229850, As007G161280
OG0002991	AL7G27570, AL7G27580	As007G165450
OG0002992	AL3G53940, AL1G22620	As008G185970
OG0002993	AL1G20150, AL1G57770	As008G188150
OG0002994	AL7G49800	As008G195400
OG0002995	AL1G12780	As008G197220
OG0002996	nbis-gene-1581	As009G211470
OG0002997	AL6G40930, AL6G40920	As009G207200
OG0002998	AL6G17060	As009G211120
OG0002999	AL6G15340	As009G213270
OG0003000	AL8G37880	As009G217860
OG0003001	AL8G39050	As009G218700
OG0003002	AL5G24200	As010G225190
OG0003003	AL1G29610	As010G241350
OG0003004	AL1G61960, AL3G27140	As011G246950
OG0003005	AL7G39390	As012G274670
OG0003005	AL3G29550	As011G248900
OG0003006	AL7G38960	As012G274340
OG0003006	AL3G29930	As011G249140
OG0003007	AL7G38230, AL7G38770, AL3G29960	As011G249150
OG0003008	AL1G55480	As012G273130
OG0003008	AL3G31520	As011G250370
OG0003009	AL3G33000	As011G251640
OG0003009	AL1G57430	As012G272550
OG0003010	AL1G58930	As012G271740
OG0003010	AL3G34680	As011G253010
OG0003011	AL3G38210, AL3G38220	As011G255440
