Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0002823	AL5G33520	evm.model.RL_7.1110
OG0002823	AL4G32350	evm.model.RL_6.1718
OG0002824	AL5G34910	evm.model.RL_7.989.1.687c84b7, evm.model.RL_7.629
OG0002824	AL4G34790	evm.model.RL_6.1888
OG0002825	AL2G41230	evm.model.RL_3.2449
OG0002825	AL1G27600	evm.model.RL_5.1404
OG0002826	AL2G40470	evm.model.RL_3.2381
OG0002826	AL1G28180	evm.model.RL_5.1455
OG0002827	AL1G29760	evm.model.RL_5.1585
OG0002827	AL2G32340	evm.model.RL_3.1658
OG0002828	AL1G29790	evm.model.RL_5.1588
OG0002828	AL2G32380	evm.model.RL_3.1662
OG0002829	AL1G30250	evm.model.RL_5.1622
OG0002829	AL2G33020	evm.model.RL_3.1731
OG0002830	AL2G34450	evm.model.RL_3.1870
OG0002830	AL1G31310	evm.model.RL_5.1718
OG0002831	AL2G34650	evm.model.RL_3.1889
OG0002831	AL1G31490	evm.model.RL_5.1728
OG0002832	AL1G33470	evm.model.RL_5.3683
OG0002832	AL2G36340	evm.model.RL_3.2039
OG0002833	AL1G33480	evm.model.RL_5.3682
OG0002833	AL2G36350	evm.model.RL_3.2040
OG0002834	AL1G37620	evm.model.RL_5.3392
OG0002835	AL1G39400	evm.model.RL_5.3271
OG0002836	AL1G39740	evm.model.RL_5.3244
OG0002837	AL2G27300	evm.model.RL_3.1226
OG0002837	AL1G39920	evm.model.RL_5.3227
OG0002838	AL7G28960	evm.model.RL_2.555, evm.model.RL_2.557
OG0002840	AL7G11120	evm.model.RL_2.3414
OG0002840	AL4G10730	evm.model.RL_6.62
OG0002841	AL4G27860	evm.model.RL_6.1338
OG0002841	AL1G14900	evm.model.RL_5.371
OG0002842	AL5G19010, AL1G12730	evm.model.RL_5.156
OG0002844	AL6G25710	evm.model.RL_4.2140, evm.model.RL_4.2139
OG0002845	AL6G30150	evm.model.RL_4.1775
OG0002845	AL3G17240	evm.model.RL_1.565
OG0002846	AL5G27650	evm.model.RL_3.721
OG0002847	AL3G24590, AL1G64320	evm.model.RL_5.3988
OG0002848	AL6G36030	evm.model.RL_4.1278
OG0002848	AL5G29170	evm.model.RL_7.1452
OG0002849	AL5G29020	evm.model.RL_7.1464, evm.model.RL_7.1463
OG0002849	AL6G35760	evm.model.RL_4.1297
OG0002850	AL8G38500	evm.model.RL_8.2247
OG0002851	AL6G34970	evm.model.RL_4.1358
OG0002851	AL5G28370	evm.model.RL_7.1500
OG0002852	AL6G34880	evm.model.RL_4.1369
OG0002853	AL8G38580	evm.model.RL_8.2256
OG0002854	AL4G13320, AL4G13310	evm.model.RL_8.1958
OG0002855	AL3G10800	evm.model.RL_1.80
OG0002855	nbis-gene-2169	evm.model.RL_8.1944
OG0002856	AL5G26470	evm.model.RL_7.1655
OG0002856	AL8G34920	evm.model.RL_8.1940
OG0002857	AL5G30260	evm.model.RL_7.1377
OG0002858	AL5G28930	evm.model.RL_1.1984, evm.model.RL_7.1470
OG0002859	AL8G36260	evm.model.RL_8.2051
OG0002859	AL5G24910	evm.model.RL_7.1753
OG0002860	AL7G16720	evm.model.RL_2.2976
OG0002861	AL1G11760	evm.model.RL_5.94
OG0002861	AL2G30540	evm.model.RL_3.1502
OG0002862	AL2G34280	evm.model.RL_3.1858
OG0002863	AL2G40710	evm.model.RL_3.2399
OG0002863	AL1G28030	evm.model.RL_5.1442
OG0002864	nbis-gene-307	evm.model.RL_5.3929
OG0002864	AL3G25370	evm.model.RL_1.1255
OG0002865	AL3G25820	evm.model.RL_1.1291
OG0002866	AL3G26170	evm.model.RL_1.1317
OG0002866	AL1G62920	evm.model.RL_5.3882
OG0002867	AL3G26290	evm.model.RL_1.1327
OG0002867	AL1G62830	evm.model.RL_5.3871
OG0002868	AL3G28010	evm.model.RL_1.1473
OG0002868	AL1G61260	evm.model.RL_5.3754
OG0002869	AL1G58480	evm.model.RL_5.1975
OG0002869	AL3G34290	evm.model.RL_1.1972
OG0002871	AL3G46920	evm.model.RL_1.2733
OG0002872	AL7G31960	evm.model.RL_2.1697
OG0002872	AL3G49330	evm.model.RL_1.2837
OG0002873	AL7G21890	evm.model.RL_2.2545
OG0002873	AL3G53110	evm.model.RL_1.3061
OG0002874	AL3G54170	evm.model.RL_1.3291
OG0002874	AL7G24470	evm.model.RL_2.2325
OG0002875	AL1G58630, AL8G37450	evm.model.RL_5.1970
OG0002876	AL1G56300	evm.model.RL_5.2089
OG0002877	AL5G36140	evm.model.RL_7.868
OG0002877	AL4G36590	evm.model.RL_6.2041
OG0002878	AL4G38540	evm.model.RL_6.2191
OG0002879	AL5G38570	evm.model.RL_7.658
OG0002879	AL4G39330	evm.model.RL_6.2264
OG0002880	AL5G38880	evm.model.RL_7.634
OG0002885	AL3G29990	evm.model.RL_1.1625
OG0002886	AL6G27240	evm.model.RL_4.2007, evm.model.RL_4.2006
OG0002886	AL6G27280	evm.model.RL_4.2005
OG0002890	AL3G53730	evm.model.RL_1.3256
OG0002890	AL7G24220	evm.model.RL_2.2350
OG0002891	AL7G21670	evm.model.RL_2.2561
OG0002892	AL4G16440	evm.model.RL_6.416
OG0002893	AL7G19740	evm.model.RL_2.2721
OG0002893	AL4G16660	evm.model.RL_6.433
OG0002894	AL5G22490	evm.model.RL_7.1916
OG0002894	AL7G19120	evm.model.RL_2.2778
OG0002895	AL4G18020	evm.model.RL_6.518
OG0002895	AL7G18750	evm.model.RL_2.2809
OG0002896	AL7G17780	evm.model.RL_2.2886
OG0002896	AL3G46040	evm.model.RL_1.2691
OG0002897	AL7G16460	evm.model.RL_2.2999
OG0002897	AL3G49160	evm.model.RL_1.2830
OG0002898	AL3G49320	evm.model.RL_1.2836
OG0002899	AL1G46340	evm.model.RL_5.2739
OG0002899	AL4G31570	evm.model.RL_6.1637
OG0002900	AL4G31750	evm.model.RL_6.1657
OG0002901	AL1G21530, AL1G21630	evm.model.RL_5.932
OG0002901	AL2G15720	evm.model.RL_3.389
OG0002902	AL2G14320	evm.model.RL_3.309
OG0002902	AL1G22670	evm.model.RL_5.1019
OG0002903	AL1G27220, AL1G27260, AL1G27240	evm.model.RL_5.1366
OG0002904	AL1G26710	evm.model.RL_5.1322
OG0002904	AL5G11000	evm.model.RL_7.2632
OG0002905	AL5G17690	evm.model.RL_7.2210
OG0002906	AL2G11600	evm.model.RL_3.133_evm.model.RL_3.134.1.687c975b
OG0002906	AL7G48150	evm.model.RL_2.130
OG0002907	AL8G33410	evm.model.RL_8.1821
OG0002907	AL7G27190	evm.model.RL_2.2100
OG0002908	AL8G34090	evm.model.RL_8.1874
OG0002909	AL3G22070	evm.model.RL_1.972
OG0002909	AL6G14430	evm.model.RL_4.3062
OG0002910	AL6G16380	evm.model.RL_4.2909
OG0002910	AL3G23210	evm.model.RL_1.1072
OG0002911	AL3G24060	evm.model.RL_1.1144
OG0002911	AL6G24500	evm.model.RL_4.2240
OG0002912	AL8G28700	evm.model.RL_8.1465
OG0002912	AL1G39010	evm.model.RL_5.3306
OG0002913	AL7G25540	evm.model.RL_2.2242
OG0002914	AL7G26370	evm.model.RL_2.2170
OG0002915	AL8G34150, AL8G34270	evm.model.RL_8.1892
OG0002916	AL1G40840, AL1G40620	evm.model.RL_5.3147, evm.model.RL_5.3169
OG0002917	AL6G22720	evm.model.RL_4.2390
OG0002917	AL6G38120	evm.model.RL_4.1141
OG0002918	AL6G34400	evm.model.RL_4.1404
OG0002918	AL6G18670	evm.model.RL_4.2722
OG0002919	AL6G18110	evm.model.RL_4.2775
OG0002920	AL8G38880	evm.model.RL_8.2282
OG0002920	AL6G17440	evm.model.RL_4.2826
OG0002921	AL7G37350	evm.model.RL_2.1288
OG0002921	AL8G10600	evm.model.RL_4.50
OG0002922	AL8G11430	evm.model.RL_4.118, evm.model.RL_4.109
OG0002923	AL7G32350	evm.model.RL_2.1667_evm.model.RL_2.1668_evm.model.RL_2.1669_evm.model.RL_2.1670
OG0002924	AL6G47010	evm.model.RL_8.561
OG0002924	AL7G30800	evm.model.RL_2.1780
OG0002925	AL6G46650	evm.model.RL_8.585
OG0002925	AL7G30600	evm.model.RL_2.1799
OG0002926	AL1G47350	evm.model.RL_5.2653
OG0002926	AL6G44520	evm.model.RL_8.734
OG0002927	AL1G48220	evm.model.RL_5.2599
OG0002928	AL1G48710	evm.model.RL_5.2550
OG0002928	AL2G31410	evm.model.RL_3.1575
OG0002929	AL1G49780	evm.model.RL_5.2522.1.687c88bb, evm.model.RL_5.2521
OG0002929	AL1G35750	evm.model.RL_5.3531
OG0002930	AL1G41950	evm.model.RL_5.3062
OG0002931	AL7G15550	evm.model.RL_2.3080
OG0002933	AL7G13440, AL2G17600	evm.model.RL_2.3256
OG0002933	AL4G13030	evm.model.RL_6.218
OG0002934	AL7G12800	evm.model.RL_2.3299, evm.model.RL_2.3300
OG0002934	AL4G12230	evm.model.RL_6.174
OG0002935	AL7G11100	evm.model.RL_8.36, evm.model.RL_8.6, evm.model.RL_2.3416
OG0002936	AL7G11020	evm.model.RL_2.3423
OG0002936	AL4G10610	evm.model.RL_6.48
OG0002937	AL7G10910	evm.model.RL_2.3434
OG0002937	AL7G10890	evm.model.RL_2.3435
OG0002938	AL7G10440	evm.model.RL_2.3471
OG0002940	AL4G30140	evm.model.RL_6.1510
OG0002942	AL7G42280	evm.model.RL_2.918
OG0002942	AL3G38630	evm.model.RL_1.2275
OG0002943	AL7G48430	evm.model.RL_2.106
OG0002943	AL7G48380	evm.model.RL_2.108, evm.model.RL_1.2621
OG0002944	AL5G45320	evm.model.RL_7.113
OG0002944	AL4G47000	evm.model.RL_6.2897
OG0002945	AL1G27830, AL8G34440	evm.model.RL_8.1908
OG0002946	AL4G45630	evm.model.RL_6.2776
OG0002947	AL5G42590	evm.model.RL_7.329
OG0002947	AL4G43990	evm.model.RL_6.2624
OG0002949	AL4G43490	evm.model.RL_7.1804
OG0002951	AL4G42750	evm.model.RL_6.2512
OG0002952	AL4G42450	evm.model.RL_6.2489
OG0002952	AL5G41660	evm.model.RL_7.398
OG0002953	AL4G42240	evm.model.RL_6.2472
OG0002953	AL5G41500	evm.model.RL_7.402
OG0002954	AL5G41460	evm.model.RL_7.405
OG0002954	AL4G42150	evm.model.RL_6.2465
OG0002955	AL6G10610	evm.model.RL_4.3385
OG0002955	AL3G19930	evm.model.RL_1.799
OG0002956	AL6G32770	evm.model.RL_4.1541
OG0002957	AL5G24210	evm.model.RL_7.1805
OG0002957	AL8G36830	evm.model.RL_8.2101
OG0002958	AL6G34100	evm.model.RL_4.1427
OG0002959	AL6G20840	evm.model.RL_4.2544
OG0002959	AL8G42820	evm.model.RL_8.2613
OG0002961	AL8G44960	evm.model.RL_8.2801
OG0002961	AL5G31170	evm.model.RL_7.1300
OG0002962	AL1G42320, AL1G42330	evm.model.RL_5.3035
OG0002963	AL1G11330	evm.model.RL_5.58
OG0002965	AL8G15810	evm.model.RL_4.444
OG0002965	AL1G13360	evm.model.RL_5.235
OG0002966	AL8G15950	evm.model.RL_4.460
OG0002967	AL8G16200	evm.model.RL_4.481
OG0002967	AL1G13740	evm.model.RL_5.269
OG0002968	AL1G13760	evm.model.RL_5.270
OG0002968	AL8G16230	evm.model.RL_4.484
OG0002969	AL1G14170	evm.model.RL_5.303
OG0002969	AL4G28980	evm.model.RL_6.1418
OG0002970	AL4G28850	evm.model.RL_6.1407
OG0002970	AL1G14290	evm.model.RL_5.313
OG0002971	AL1G14280	evm.model.RL_5.312
OG0002971	AL4G28870	evm.model.RL_6.1408
OG0002972	AL1G14930	evm.model.RL_5.374
OG0002972	AL4G27820	evm.model.RL_6.1333
OG0002973	AL1G16170	evm.model.RL_5.478
OG0002973	AL4G26340, AL163U10030	evm.model.RL_6.1210
OG0002974	AL4G23420	evm.model.RL_6.993
OG0002975	AL7G18900	evm.model.RL_2.2797
OG0002975	AL4G17710, AL4G17830	evm.model.RL_6.509
OG0002976	AL6G25250	evm.model.RL_4.2176
OG0002976	AL3G10560	evm.model.RL_1.56
OG0002977	AL6G25450	evm.model.RL_4.2161
OG0002978	AL277U10010, AL3G40350	evm.model.RL_8.1964
OG0002978	AL6G21670	evm.model.RL_4.2480
OG0002979	AL8G30950	evm.model.RL_8.1625
OG0002979	AL7G26140	evm.model.RL_2.2188.2.687c86e5
OG0002980	AL3G15730	evm.model.RL_1.451
OG0002981	AL3G17010	evm.model.RL_1.550
OG0002981	AL6G30440	evm.model.RL_4.1748
OG0002982	AL4G32410	evm.model.RL_6.1723
OG0002982	AL5G33530	evm.model.RL_7.1109
OG0002983	AL4G32860	evm.model.RL_6.1761
OG0002983	AL5G34000	evm.model.RL_7.1080
OG0002984	AL4G32920	evm.model.RL_6.1765, evm.model.RL_6.1763
OG0002985	AL4G33520	evm.model.RL_6.1868
OG0002985	AL5G34300	evm.model.RL_7.1050.1.687c84b7
OG0002986	AL6G22700	evm.model.RL_4.2393
OG0002988	AL2G35370	evm.model.RL_3.1956
OG0002988	AL1G32430	evm.model.RL_5.1802
OG0002990	AL1G39850	evm.model.RL_5.3232
OG0002990	AL2G27430	evm.model.RL_3.1237
OG0002991	AL7G27570, AL7G27580	evm.model.RL_2.2063, evm.model.RL_2.2064
OG0002993	AL1G20150, AL1G57770	evm.model.RL_4.1296.1.687c86d3
OG0002995	AL7G33550	evm.model.RL_2.1593
OG0002995	AL1G12780	evm.model.RL_2.3203, evm.model.RL_5.188
OG0002996	nbis-gene-1581	evm.model.RL_4.1115
OG0002997	AL6G40930, AL6G40920	evm.model.RL_4.962
OG0002998	AL6G17060	evm.model.RL_4.2857
OG0002998	AL3G23850	evm.model.RL_1.1127.1.687c87ec
OG0002999	AL6G15340	evm.model.RL_4.2997
OG0002999	AL2G31390	evm.model.RL_4.3371
OG0003000	AL8G37880	evm.model.RL_8.2194
OG0003001	AL8G39050	evm.model.RL_8.2295
OG0003001	AL6G17400	evm.model.RL_4.2831
OG0003002	AL5G24200	evm.model.RL_7.1806
OG0003003	AL1G29610	evm.model.RL_5.1575
OG0003004	AL1G61960	evm.model.RL_5.3801
OG0003004	AL3G27140	evm.model.RL_1.1402
OG0003005	AL7G39390	evm.model.RL_2.1130.2.687c86e2
OG0003005	AL3G29550	evm.model.RL_1.1590.1.687c87ed
OG0003006	AL7G38960	evm.model.RL_2.1162
OG0003006	AL3G29930	evm.model.RL_1.1620.1.687c87ed
OG0003007	AL7G38770	evm.model.RL_2.1176
OG0003007	AL3G29960	evm.model.RL_1.1622
OG0003008	AL1G55480	evm.model.RL_5.2137, evm.model.RL_5.2207
OG0003008	AL3G31520	evm.model.RL_1.1741
OG0003009	AL3G33000	evm.model.RL_1.1860
OG0003009	AL1G57430	evm.model.RL_5.2044
OG0003010	AL1G58930	evm.model.RL_5.1954
OG0003010	AL3G34680	evm.model.RL_1.1996
OG0003011	AL3G38220	evm.model.RL_1.2254
OG0003012	AL3G39710	evm.model.RL_1.2326
OG0003013	AL3G49520	evm.model.RL_1.2856
OG0003013	AL7G16170	evm.model.RL_2.3028
OG0003014	AL3G51020, AL6G43520	evm.model.RL_1.2980
OG0003014	AL7G20270	evm.model.RL_2.2685, evm.model.RL_1.2609
OG0003015	AL3G48520	evm.model.RL_1.3149
OG0003015	AL7G22960	evm.model.RL_2.2465
OG0003016	AL1G59590	evm.model.RL_5.1906
OG0003016	AL3G35270	evm.model.RL_1.2044
OG0003018	AL5G36310	evm.model.RL_7.853
OG0003018	AL4G36750	evm.model.RL_6.2051
OG0003019	AL3G27330, AL975U10010	evm.model.RL_1.1419
OG0003019	AL1G61680	evm.model.RL_5.3787
OG0003020	AL4G42910	evm.model.RL_6.2528
OG0003020	AL5G42050	evm.model.RL_7.373
OG0003021	AL2G22670	evm.model.RL_3.952
OG0003021	AL2G22680	evm.model.RL_3.953
OG0003023	AL3G30140	evm.model.RL_1.1639
OG0003025	AL7G27390	evm.model.RL_2.2085
OG0003025	AL7G27410	evm.model.RL_2.2083
OG0003028	AL7G12560, AL6G46690, AL6G46680, AL6G46670, AL6G46710	evm.model.RL_6.219, evm.model.RL_6.307
OG0003030	AL8G11940	evm.model.RL_3.303
OG0003031	AL4G19130, AL5G13820	evm.model.RL_6.436
OG0003033	AL7G23730	evm.model.RL_2.2398
OG0003033	AL3G47860	evm.model.RL_1.3196
OG0003034	AL3G47880	evm.model.RL_1.3193
OG0003036	AL7G17090	evm.model.RL_2.2943
OG0003036	AL3G47050	evm.model.RL_1.2742
OG0003037	AL7G16330	evm.model.RL_2.3009, evm.model.RL_5.388
OG0003038	AL4G31720	evm.model.RL_6.1652
OG0003039	AL2G16960	evm.model.RL_3.508
OG0003040	AL2G16800	evm.model.RL_3.498
OG0003040	AL2G16790	evm.model.RL_3.497
OG0003041	AL2G15780	evm.model.RL_3.385
OG0003041	AL1G21560	evm.model.RL_5.934
OG0003042	AL5G17370	evm.model.RL_7.2234
OG0003043	AL2G20410	evm.model.RL_3.912
OG0003044	AL1G23580	evm.model.RL_5.1095
OG0003044	AL2G13050	evm.model.RL_3.222
OG0003046	AL8G28130	evm.model.RL_8.1437
OG0003046	AL7G24720	evm.model.RL_2.2304
OG0003047	AL8G41670	evm.model.RL_8.2512
OG0003048	AL8G40820	evm.model.RL_8.2510
OG0003048	AL6G19290	evm.model.RL_4.2684
OG0003049	AL8G10960	evm.model.RL_4.86
OG0003050	AL6G46940	evm.model.RL_8.530
OG0003050	AL7G30790	evm.model.RL_2.1781
OG0003051	AL7G30530	evm.model.RL_2.1808
OG0003051	AL6G46520	evm.model.RL_8.598
OG0003052	AL6G43230	evm.model.RL_8.826
OG0003053	AL6G41830	evm.model.RL_8.896
OG0003053	AL4G26050	evm.model.RL_6.1191
OG0003054	AL1G53740	evm.model.RL_5.2256
OG0003054	AL8G18490	evm.model.RL_4.649
OG0003055	AL1G41790	evm.model.RL_5.3072
OG0003056	AL1G41840	evm.model.RL_5.3067
OG0003057	AL7G15480	evm.model.RL_2.3089
OG0003058	AL7G13940	evm.model.RL_2.3215
OG0003059	AL4G31110	evm.model.RL_6.1594
OG0003061	AL8G10580	evm.model.RL_4.48
OG0003061	AL7G37370	evm.model.RL_2.1286
OG0003062	AL3G43960	evm.model.RL_1.2574
OG0003063	AL3G40290	evm.model.RL_1.2371
OG0003064	AL3G37970, AL7G41900	evm.model.RL_1.2232
OG0003065	AL7G40360	evm.model.RL_2.1055
OG0003065	AL3G36040, AL3G36060	evm.model.RL_1.2111
OG0003066	AL2G11230	evm.model.RL_3.96
OG0003067	AL4G44520	evm.model.RL_6.2669
OG0003067	AL5G43110	evm.model.RL_7.285
OG0003068	AL4G42660, AL5G41840	evm.model.RL_6.2503
OG0003069	AL4G39500	evm.model.RL_6.2272
OG0003070	AL5G21380, AL6G32430	evm.model.RL_4.1568
OG0003071	AL5G23750	evm.model.RL_7.1827
OG0003071	AL8G37270	evm.model.RL_8.2136
OG0003073	AL3G16550	evm.model.RL_1.513
OG0003074	AL5G29710	evm.model.RL_7.1419
OG0003075	AL8G43630	evm.model.RL_8.2685
OG0003075	AL5G29800, AL8G14300	evm.model.RL_7.1413
OG0003076	AL8G44520	evm.model.RL_8.2768
OG0003077	nbis-gene-1712	evm.model.RL_2.3130
OG0003078	AL8G45450	evm.model.RL_8.2846
OG0003078	AL5G31670	evm.model.RL_7.1259
OG0003079	AL6G52780	evm.model.RL_8.87
OG0003079	AL1G10590	evm.model.RL_8.2884
OG0003080	AL4G26890	evm.model.RL_6.1258
OG0003080	AL1G15760	evm.model.RL_5.441
OG0003081	AL8G38090	evm.model.RL_8.2215
OG0003081	AL4G25440	evm.model.RL_6.1149
OG0003082	AL4G25370	evm.model.RL_6.1141
OG0003083	AL1G17450	evm.model.RL_5.581
OG0003084	AL4G22590, AL4G22580	evm.model.RL_6.870, evm.model.RL_6.871
OG0003085	AL4G21200	evm.model.RL_6.813, evm.model.RL_6.812
OG0003086	AL6G24580	evm.model.RL_4.2233
OG0003087	AL3G12860	evm.model.RL_1.244
OG0003088	AL3G36880	evm.model.RL_1.2163
OG0003089	AL88U10040, AL3G16400	evm.model.RL_1.502
OG0003089	AL6G38910	evm.model.RL_4.1079
OG0003090	AL6G30310	evm.model.RL_4.1759
OG0003090	AL3G17120	evm.model.RL_1.559
OG0003091	AL5G32230	evm.model.RL_7.1215
OG0003093	AL2G41220	evm.model.RL_3.2448
OG0003093	AL1G27610	evm.model.RL_5.1405
OG0003094	AL7G51010	evm.model.RL_5.1548
OG0003094	AL2G38910	evm.model.RL_3.2246
OG0003095	AL1G29520	evm.model.RL_5.1569
OG0003095	AL8G24650	evm.model.RL_8.1157
OG0003096	AL8G18810, AL8G18840	evm.model.RL_5.3474
OG0003096	AL1G36460	evm.model.RL_5.3476
OG0003098	AL1G32130	evm.model.RL_5.1334
OG0003100	AL4G25340	evm.model.RL_6.1138
OG0003100	AL1G16910	evm.model.RL_5.539
OG0003101	AL6G25670	evm.model.RL_4.2143
OG0003101	AL3G10750	evm.model.RL_1.77
OG0003102	AL6G24450	evm.model.RL_4.2244
OG0003103	AL8G38150	evm.model.RL_8.2222
OG0003103	AL6G18000	evm.model.RL_4.2783
OG0003104	AL8G38490	evm.model.RL_8.2246
OG0003105	AL5G27220, AL5G27230	evm.model.RL_7.1588_evm.model.RL_7.1589.1.687c976a
OG0003106	AL8G45250	evm.model.RL_8.2825
OG0003106	AL5G31600	evm.model.RL_7.1269
OG0003107	AL8G39240	evm.model.RL_8.2312
OG0003107	AL5G26680	evm.model.RL_7.1638
OG0003108	AL5G21290	evm.model.RL_7.1959
OG0003108	AL6G32350	evm.model.RL_4.1573
OG0003109	AL2G33060	evm.model.RL_3.1732, evm.model.RL_3.1733
OG0003110	AL1G64590	evm.model.RL_5.4016
OG0003112	AL3G19360	evm.model.RL_1.751
OG0003112	AL3G25440	evm.model.RL_1.1262
OG0003113	AL3G28480	evm.model.RL_1.1506
OG0003114	AL3G32660	evm.model.RL_1.1831.1.687c87ee
OG0003115	AL1G59560	evm.model.RL_5.1908
OG0003116	AL3G38190	evm.model.RL_1.2251
OG0003117	AL3G40560	evm.model.RL_1.2379
OG0003117	AL9U10840	evm.model.RL_2.819
OG0003118	AL6G51200	evm.model.RL_8.163
OG0003119	AL3G52600	evm.model.RL_1.2821
OG0003120	AL3G52690	evm.model.RL_1.2825
OG0003121	AL3G26080	evm.model.RL_1.1309
OG0003121	AL1G63040	evm.model.RL_5.3890
OG0003122	AL4G30800	evm.model.RL_6.1572
OG0003122	AL1G44730	evm.model.RL_5.2867
OG0003123	AL5G34460	evm.model.RL_7.1031
OG0003124	AL4G34930	evm.model.RL_6.1899
OG0003125	AL3G30120	evm.model.RL_8.1596
OG0003126	nbis-gene-1120, AL5G26040	evm.model.RL_1.2499
OG0003127	AL2G11670, AL2G11680	evm.model.RL_3.146.3.687c84b9, evm.model.RL_3.145
OG0003128	AL2G17420	evm.model.RL_3.550
OG0003129	AL6G33140	evm.model.RL_4.1505
OG0003129	AL2G24610	evm.model.RL_4.1507
OG0003130	AL3G19220, AL3G26240, AL286U10020	evm.model.RL_1.736, evm.model.RL_1.739, evm.model.RL_1.737, evm.model.RL_8.1052
OG0003131	AL3G33540, AL2G19060, AL7G49440, AL9U11180, AL126U10020, AL3G34330	evm.model.RL_3.2025, evm.model.RL_3.2024, evm.model.RL_4.823
OG0003139	AL7G22940	evm.model.RL_2.2467
OG0003141	AL7G16900	evm.model.RL_2.2959
OG0003141	AL3G52140	evm.model.RL_1.2802
OG0003142	AL7G15890	evm.model.RL_2.3052
OG0003142	AL3G50040	evm.model.RL_1.2894
OG0003143	AL4G31840	evm.model.RL_6.1664
OG0003143	AL7G38480	evm.model.RL_2.1201
OG0003144	AL1G21790	evm.model.RL_5.950
OG0003144	AL2G15960	evm.model.RL_3.435
OG0003145	AL1G21810	evm.model.RL_5.952
OG0003145	AL2G15660	evm.model.RL_3.391
OG0003146	AL5G11490	evm.model.RL_7.2598
OG0003147	AL5G16050	evm.model.RL_7.2324.1.687c84bc
OG0003148	AL7G48940	evm.model.RL_2.68
OG0003150	AL5G19090	evm.model.RL_7.2114
OG0003150	nbis-gene-1943	evm.model.RL_2.289
OG0003151	AL7G45160	evm.model.RL_2.568
OG0003152	AL7G47710	evm.model.RL_2.159
OG0003153	AL2G10830	evm.model.RL_3.65
OG0003153	AL7G47740	evm.model.RL_2.158.2.687c86e0
OG0003154	AL2G11720	evm.model.RL_3.149
OG0003155	AL6G14640	evm.model.RL_4.3044
OG0003156	AL1G54750	evm.model.RL_5.2194, evm.model.RL_5.2192
OG0003157	AL8G30810	evm.model.RL_8.1619
OG0003157	AL7G26110	evm.model.RL_2.2191
OG0003158	AL6G20630, AL6G20600	evm.model.RL_4.2563
OG0003159	AL7G46100, AL7G33510	evm.model.RL_2.1580
OG0003160	AL8G18200	evm.model.RL_4.628
OG0003160	AL1G41170	evm.model.RL_5.3129
OG0003161	AL7G12610	evm.model.RL_2.3314
OG0003162	AL2G23570	evm.model.RL_3.974
OG0003163	AL6G48230	evm.model.RL_8.460
OG0003164	AL9U10300	evm.model.RL_2.839
OG0003165	AL2G39260	evm.model.RL_3.2288
OG0003166	AL4G45170	evm.model.RL_6.2740
OG0003166	AL5G43710	evm.model.RL_7.230
OG0003167	AL4G44690, AL4G44680	evm.model.RL_6.2686
OG0003168	AL3G19950, AL3G19960	evm.model.RL_1.801
OG0003169	AL3G20770	evm.model.RL_1.865
OG0003169	AL6G11980	evm.model.RL_4.3268
OG0003170	AL8G43800	evm.model.RL_8.2701
OG0003171	AL6G51930	evm.model.RL_8.223
OG0003172	AL6G51790	evm.model.RL_8.215.1.687c8555, evm.model.RL_8.217
OG0003173	AL6G50080	evm.model.RL_8.315
OG0003175	AL1G14580	evm.model.RL_5.337
OG0003175	AL4G28230	evm.model.RL_6.1363
OG0003176	AL4G28370, AL4G28380	evm.model.RL_6.1376
OG0003177	AL4G24050, AL4G24030	evm.model.RL_6.1041
OG0003177	AL4G24020	evm.model.RL_6.1040
OG0003178	AL3G10200	evm.model.RL_1.24
OG0003178	AL6G24790	evm.model.RL_4.2214
OG0003179	AL6G24720	evm.model.RL_4.2221
OG0003180	AL6G40700	evm.model.RL_4.970
OG0003180	AL3G14750	evm.model.RL_1.384
OG0003181	AL1G19550	evm.model.RL_5.769
OG0003182	AL3G19940	evm.model.RL_1.800
OG0003182	AL6G10520	evm.model.RL_4.3391
OG0003183	AL100U10010, AL4G36520	evm.model.RL_6.2035, evm.model.RL_6.2034
OG0003184	AL4G32190	evm.model.RL_6.1705
OG0003185	AL4G35210, AL4G35220	evm.model.RL_6.1925
OG0003186	AL1G30940	evm.model.RL_5.1681
OG0003186	AL2G33890	evm.model.RL_3.1820
OG0003187	AL2G36010	evm.model.RL_3.2008.1.687c84bd
OG0003187	AL1G33040	evm.model.RL_5.1851
OG0003188	AL1G33670	evm.model.RL_5.3672
OG0003189	AL1G33690	evm.model.RL_5.3670
OG0003189	AL1G33700	evm.model.RL_5.3669
OG0003190	AL2G37750	evm.model.RL_3.2158
OG0003191	AL2G36830, AL2G36840	evm.model.RL_3.2078
OG0003192	AL6G38710	evm.model.RL_4.1090
OG0003192	AL1G30320	evm.model.RL_6.161
OG0003193	AL2G26200, AL1G40590	evm.model.RL_3.1131
OG0003194	AL4G14650	evm.model.RL_6.318
OG0003195	AL4G11490	evm.model.RL_6.118
OG0003195	AL4G11110	evm.model.RL_6.89
OG0003196	AL1G27040	evm.model.RL_5.1351
OG0003198	AL1G19360	evm.model.RL_5.753
OG0003199	AL3G46460	evm.model.RL_1.2703
OG0003199	AL3G46470	evm.model.RL_1.2705
OG0003200	AL1G18850	evm.model.RL_5.702
OG0003200	AL1G18840	evm.model.RL_5.701
OG0003201	AL1G14420	evm.model.RL_5.324
