Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0000008	AL2G20270, AL4G19160, AL298U10010, AL9U11800, AL4G18790, AL3G44010, AL7G44440, AL4G37240, AL4G20310, AL7G45220, AL6G27010, AL5G18950, AL2G17460, AL226U10010, AL8G21160, AL8G41980, AL6G49380, AL39U10050, AL6G25540, AL5G16170, AL7G48840, AL7G10810, AL8G17730, AL747U10010, AL4G21710, AL66U10030, AL1G63180, AL7G51050, AL1G65090, AL7G50980, AL8G11530, AL1G29200, AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160	evm.model.RL_4.1914
OG0000008	AL5G32180	evm.model.RL_7.1211
OG0000010	AL8G19810	evm.model.RL_1.2848, evm.model.RL_7.2062, evm.model.RL_2.395
OG0000012	AL5G18610, AL1G66070	evm.model.RL_4.165
OG0000012	AL4G14230, AL5G19240	evm.model.RL_7.2040
OG0000012	AL4G20380	evm.model.RL_5.2583
OG0000012	AL2G18620	evm.model.RL_2.748
OG0000012	AL8G19630, AL7G45280	evm.model.RL_3.685, evm.model.RL_2.3
OG0000013	AL3G45620	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641
OG0000013	AL6G41250	evm.model.RL_5.2507
OG0000013	AL5G20640	evm.model.RL_6.796
OG0000014	AL527U10010	evm.model.RL_3.2284
OG0000014	AL8G21700, AL8G22640, AL177U10010, AL5G19160, AL5G16500	evm.model.RL_7.2497
OG0000014	AL1G10620, AL1G57320, AL4G16410, AL1G54360	evm.model.RL_1.2667
OG0000015	AL1G20970, AL792U10020, AL429U10010, AL8G27740, AL4G24660, AL3G28900, AL4G16120, AL8G24680	evm.model.RL_4.1006
OG0000015	AL3G46060	evm.model.RL_1.2714
OG0000015	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160	evm.model.RL_4.1007
OG0000017	AL7G44020, AL3G44050, AL460U10020, AL6G40580	evm.model.RL_7.1888
OG0000018	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	evm.model.RL_4.1915
OG0000018	AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700	evm.model.RL_6.190
OG0000018	AL7G47350, AL7G51150	evm.model.RL_7.1872
OG0000019	AL1G50520, AL5G34620, AL5G17780, AL7G52850	evm.model.RL_7.2268
OG0000020	AL8G28430	evm.model.RL_2.3364
OG0000020	AL4G17980	evm.model.RL_7.2129
OG0000021	AL5G16490, AL5G19200	evm.model.RL_4.405
