Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_Rawat
OG0003103	Cg005G1644800	AL4G23520
OG0003116	Cg005G1751000	AL4G13950
OG0003116	Cg001G0097600	AL7G21660
OG0003117	Cg008G2742900	AL6G29010
OG0003118	Cg008G2724300	AL6G26850
OG0003118	Cg004G1086100	AL3G11810
OG0003119	Cg008G2713300	AL6G25710
OG0003120	Cg003G1044700	AL8G42830
OG0003121	Cg005G1604100	AL4G28370, AL4G28380
OG0003122	Cg003G0813400, Cg001G0151700, Cg001G0120600	nbis-gene-1281, AL7G27940
OG0003123	Cg006G1857100	AL1G53870
OG0003123	Cg001G0092300	AL7G21020
OG0003124	Cg005G1592300	AL4G29920
OG0003124	Cg006G1987300	AL1G42740
OG0003125	Cg006G1961800	AL1G49280
OG0003125	Cg006G2161700	AL1G20850
OG0003126	Cg006G1956700, Cg006G1957100	AL1G45780
OG0003127	Cg002G0521900	AL5G30790
OG0003127	Cg003G1061600	AL8G44680
OG0003128	Cg001G0331900	AL7G45920
OG0003129	Cg003G1026200	AL8G40650
OG0003130	Cg003G1021200	AL3G51100
OG0003131	Cg008G2646400	AL6G17750
OG0003132	Cg008G2796700	AL6G35410
OG0003133	Cg007G2290200, Cg007G2290500	AL2G14950
OG0003134	Cg004G1290400	AL3G36600
OG0003138	Cg003G0906300	AL271U10030, AL8G26690
OG0003139	Cg001G0144300	AL7G27120
OG0003140	Cg006G2047000	AL264U10030, AL1G35210, AL1G35230
OG0003141	Cg004G1234800	AL3G29990
OG0003142	Cg006G2237800	AL1G12240
OG0003143	Cg003G0723500, Cg014G3031200	AL6G50530
OG0003143	Cg014G3031500, Cg003G0723200	AL6G50570
OG0003144	Cg002G0474100, Cg002G0474200	AL5G36340, AL5G36320
OG0003146	Cg008G2616800	AL6G14090
OG0003147	Cg001G0380200	AL7G48940
OG0003148	Cg007G2269500	AL2G11720
OG0003149	Cg007G2580500	AL2G41630, AL2G41620
OG0003150	Cg007G2576700	AL2G41220
OG0003150	Cg006G2108500	AL1G27610
OG0003152	Cg007G2565600	AL2G40060
OG0003152	Cg006G2100800	AL1G28480
OG0003153	Cg007G2559500	AL2G39260
OG0003154	Cg007G2539600	AL2G36990
OG0003154	Cg006G2054800	AL1G34250
OG0003155	Cg007G2538800	AL2G36920
OG0003156	Cg002G0668300	AL5G14600
OG0003157	Cg007G2523000	AL2G35150, AL1G32220
OG0003158	Cg006G1802800	AL1G61660
OG0003159	Cg005G1572400	AL4G32190
OG0003160	Cg005G1569400	AL4G32540
OG0003161	Cg002G0574800	AL5G24010
OG0003162	Cg001G0276900	AL7G42790
OG0003163	Cg001G0262600	AL7G41230
OG0003163	Cg004G1295100	AL3G37140
OG0003164	Cg004G1282600	AL3G35540
OG0003164	Cg001G0250500	AL7G39790
OG0003165	Cg006G2082200	AL1G30770
OG0003165	Cg007G2504700	AL2G33260
OG0003166	Cg006G2083300	AL1G30630
OG0003166	Cg007G2505300	AL2G33320
OG0003167	Cg002G0629500	AL5G17370
OG0003168	Cg002G0626400	AL5G19090
OG0003169	Cg002G0649900	AL5G16990
OG0003175	Cg008G2922800	AL8G17810
OG0003175	Cg006G1872600	AL1G52820
OG0003176	Cg001G0227600	AL7G37110
OG0003177	Cg003G0894900	AL8G25540, AL8G25530
OG0003178	Cg003G0841600	AL8G23630
OG0003178	Cg006G2118800	AL1G26390
OG0003179	Cg001G0240100	AL7G38480
OG0003179	Cg005G1575900	AL4G31840
OG0003180	Cg001G0232200	AL7G37630
OG0003180	Cg005G1581600	AL4G31190
OG0003181	Cg002G0518400	AL5G31360
OG0003182	Cg002G0423300	AL5G42770
OG0003182	Cg002G0567700	AL3G24710
OG0003183	Cg002G0429600	AL5G41860
OG0003186	Cg005G1707400	AL4G19030
OG0003187	Cg002G0464100	AL5G37330
OG0003188	Cg002G0465200	AL5G37240
OG0003189	Cg005G1539800	AL4G36540
OG0003189	Cg002G0476800	AL5G36090
OG0003190	Cg002G0489700	AL5G34650
OG0003190	Cg005G1558600	AL4G34010
OG0003192	Cg004G1415800	AL3G51020, AL6G43520
OG0003192	Cg001G0085900	AL7G20270
OG0003193	Cg002G0457600	AL5G38050
OG0003193	Cg005G1520500	AL4G38930
OG0003194	Cg001G0244400, Cg005G1540000	AL100U10010, AL4G36520
OG0003195	Cg001G0031600	AL7G13940
OG0003196	Cg005G1734000	AL4G16380
OG0003197	Cg003G0756700	AL6G46240
OG0003197	Cg008G2815400, Cg008G2903400	AL6G46230
OG0003200	Cg004G1107300	AL3G14750
OG0003200	Cg008G2835500	AL6G40700
OG0003201	Cg004G1114700	AL3G15720
OG0003201	Cg008G2828500	AL6G39520
OG0003202	Cg008G2754100	AL6G30310
OG0003202	Cg004G1125700, Cg004G1125800	AL3G17120
OG0003203	Cg004G1136500	AL3G18500, AL3G18560
OG0003206	Cg004G1187300	AL3G24510
OG0003208	Cg004G1252300	AL3G31960
OG0003210	Cg001G0342800	AL7G53030
OG0003211	Cg006G2219400	AL1G14420
OG0003213	Cg006G2179500	AL1G18840
OG0003214	Cg007G2306400	AL2G16650
OG0003214	Cg006G2158000	AL1G21350
OG0003215	Cg006G2136500	AL1G24330
OG0003216	Cg007G2523900	AL7G20520
OG0003216	Cg006G2131800	AL1G24840
OG0003217	Cg002G0687100	AL5G11280, AL98U10010
OG0003217	Cg006G2117700	AL1G26560
OG0003218	Cg003G0881100, Cg003G0832200	AL8G24660
OG0003218	Cg006G2091800	AL1G29530
OG0003220	Cg006G2039900	AL1G36180
OG0003221	Cg006G2037400	AL1G36440
OG0003222	Cg007G2482900	AL2G30840
OG0003222	Cg006G2037000	AL1G36480
OG0003224	Cg007G2311300	AL2G17210
OG0003225	Cg002G0659000	nbis-gene-1846
OG0003226	Cg006G1852800	AL1G54490
OG0003227	Cg001G0058100	AL3G46700, AL7G16980
OG0003228	Cg001G0064400	AL746U10010, AL7G17750
OG0003229	Cg006G2018200	AL1G38980, AL1G50130
OG0003230	Cg001G0126700	AL7G25090
OG0003230	Cg007G2386700	AL2G19600
OG0003231	Cg002G0673900	AL5G13670
OG0003231	Cg002G0674800	AL5G13530
OG0003233	Cg001G0037400	AL7G14730
OG0003233	Cg003G0838000	AL1G65990
OG0003235	Cg004G1233100	AL3G29780
OG0003236	Cg005G1763700	AL4G12050
OG0003236	Cg001G0020200	AL7G12540
OG0003237	Cg001G0354800	AL7G51630
OG0003239	Cg002G0575200	AL5G23980
OG0003239	Cg002G0575500, Cg002G0575400, Cg002G0575300, Cg002G0575700	AL5G23970
OG0003247	Cg002G0560300	AL5G25720
OG0003247	Cg003G0982900	AL8G35700
OG0003248	Cg002G0546700	AL5G27420, AL5G27410
OG0003250	Cg008G2715700	AL6G25960
OG0003251	Cg008G2704200	AL6G24700
OG0003252	Cg008G2687100	AL6G22790
OG0003252	Cg008G2818100	AL6G38140
OG0003253	Cg001G0217200	AL7G35850, AL3G37850
OG0003254	Cg003G1043700	AL8G42510
OG0003254	Cg008G2669300	AL6G20740
OG0003255	Cg008G2669200	AL6G20720
OG0003255	Cg008G2669100	AL6G20710
OG0003256	Cg008G2668300	AL6G20630, AL6G20600
OG0003257	Cg008G2663400	AL6G20070
OG0003258	Cg003G1034300	AL8G41670
OG0003259	Cg005G1636300	AL4G24480
OG0003260	Cg005G1627600	AL4G25370
OG0003261	Cg005G1626900	AL4G25450
OG0003263	Cg006G1839200, Cg006G1839100	AL1G56240, AL1G56150
OG0003264	Cg005G1603100	AL4G28510, AL7G46580, AL7G46610, AL120U10020
OG0003265	Cg001G0292600	AL6G44170
OG0003266	Cg006G2021400	AL1G38520
OG0003267	Cg006G1970500	AL1G44360
OG0003267	Cg006G1970600	AL1G44340
OG0003268	Cg003G1007800	AL8G38440, AL8G38480
OG0003269	Cg008G2660700	AL6G19740
OG0003269	Cg003G1031400	AL8G41330
OG0003270	Cg003G1002900	AL8G37880
OG0003275	Cg004G1190500	AL3G24820
OG0003276	Cg003G0974500	AL8G34650, AL7G45810
OG0003277	Cg003G0948600	AL8G31600
OG0003277	Cg001G0137500	AL7G26350
OG0003278	Cg002G0531100	nbis-gene-1334
OG0003278	Cg003G1050300	AL8G43500
OG0003279	Cg003G1049200	AL8G43350
OG0003280	Cg008G2842800, Cg006G1828800	AL6G12940, AL6G12510
OG0003281	Cg006G2140000	AL1G23670
OG0003282	Cg006G2033200	AL1G37060, AL1G31870
OG0003283	Cg005G1722600	AL4G17320
OG0003284	Cg007G2576000	AL2G41130
OG0003285	Cg001G0211900	AL7G35260
OG0003286	Cg001G0203800	AL7G34350
OG0003287	Cg006G2043800, Cg006G2043400	AL1G35730
OG0003289	Cg004G1291700	AL3G36770
OG0003289	Cg001G0260400	AL7G40970
OG0003290	Cg004G1289300	AL3G36430
OG0003290	Cg001G0259000	AL7G40810
OG0003291	Cg007G2268600	AL2G11630
OG0003292	Cg006G2019400	AL1G38750
OG0003293	Cg001G0387100	nbis-gene-1919, nbis-gene-1920, nbis-gene-1922
OG0003295	Cg001G0218300	AL7G36000
OG0003297	Cg003G0872900, Cg003G1023200	AL835U10030
OG0003298	Cg001G0204900	AL7G34450
OG0003299	Cg003G0895100	AL2G22290, AL8G25570
OG0003300	Cg008G2915000	AL8G19340
OG0003300	Cg006G1830900	AL1G57840
OG0003301	Cg003G1069000	AL8G45520
OG0003301	Cg002G0514900	AL5G31810
OG0003302	Cg005G1467800	AL4G45430
OG0003303	Cg005G1546000	AL4G35890
OG0003303	Cg002G0485100	AL5G35220
OG0003305	Cg001G0293700	AL9U11420, AL3G41250
OG0003306	Cg004G1326200	AL3G41820
OG0003306	Cg008G2878500	AL8G21020
OG0003307	Cg007G2445200	AL2G26540
OG0003308	Cg004G1423700	AL3G53200
OG0003309	Cg006G1789600	AL1G63250
OG0003310	Cg006G1868900	AL1G52440
OG0003310	Cg003G0807000	AL6G42080
OG0003311	Cg005G1457200	AL4G46790
OG0003312	Cg007G2533000	AL2G36230
OG0003312	Cg005G1487200	AL4G43230
OG0003313	Cg004G1399600	AL8G21250, AL3G52630
OG0003313	Cg001G0054500	AL7G16570
OG0003314	Cg004G1112400, Cg008G2831900	AL3G15480
OG0003315	Cg008G2819600	AL6G38310
OG0003316	Cg004G1124900	AL3G17070
OG0003316	Cg008G2754300	AL6G30330
OG0003317	Cg004G1136000	AL3G18450
OG0003317	Cg008G2869600, Cg008G2853700	AL8G21720
OG0003318	Cg004G1216600	AL3G29360, AL3G27770
OG0003319	Cg004G1233200	AL3G29790
OG0003319	Cg001G0245100	AL7G39100
OG0003320	Cg006G1838100	AL3G32270
OG0003321	Cg001G0118200	AL7G24230
OG0003321	Cg001G0077900	AL7G19320
OG0003322	Cg001G0354700	AL7G51640
OG0003323	Cg004G1289600	AL3G36500
OG0003324	Cg001G0101000	AL7G22020
OG0003324	Cg002G0672300	AL3G52930
OG0003325	Cg007G2446100	AL2G26690
OG0003325	Cg008G2841200	AL8G23210
OG0003326	Cg002G0511100	AL5G32230
OG0003327	Cg014G3048900, Cg003G0706600	AL6G52110
OG0003328	Cg014G3046500, Cg003G0709300	AL6G52390
OG0003328	Cg006G2247700	AL1G11110
OG0003331	Cg006G2176400	AL1G19170
OG0003332	Cg006G2119700	AL1G26300
OG0003332	Cg002G0683400	AL5G11930
OG0003333	Cg006G2105000	AL1G28020
OG0003334	Cg006G2072100	AL1G31910
OG0003335	Cg006G2062000	AL1G33380, AL1G33370
OG0003336	Cg006G2037800	AL1G36420
OG0003336	Cg007G2484000	AL2G31030
OG0003337	Cg006G2034100	AL1G36860
OG0003338	Cg006G2024600	AL1G38020
OG0003338	Cg007G2470800	AL2G29300
OG0003339	Cg003G1063200	AL8G44860
OG0003340	Cg008G2983500	AL7G37400, AL8G10530
OG0003341	Cg008G2947900	AL8G15020, AL90U10020
OG0003342	Cg007G2418200, Cg001G0329700	AL2G23110
OG0003343	Cg001G0107500	AL7G22930, AL7G22920
OG0003345	Cg001G0386600	AL7G48050, AL7G48070
OG0003347	Cg001G0045100	AL7G15550
OG0003349	Cg001G0059500	AL310U10010, AL7G17140
OG0003350	Cg013G3024500	AL4G16890
OG0003350	Cg001G0079700	AL7G19510
OG0003351	Cg007G2490600, Cg007G2490500	AL2G31750, AL2G31740
OG0003352	Cg003G0705900, Cg014G3049600	AL6G52040
OG0003352	Cg006G2249800	AL1G10840
OG0003353	Cg001G0128000, Cg001G0128100	AL7G25270
OG0003355	Cg005G1712400, Cg001G0376600, Cg001G0376500	AL1G49500, AL1G49490
OG0003356	Cg006G1997500	AL1G41370
OG0003360	Cg004G1388400	AL3G47040, AL3G46980
OG0003360	Cg001G0282000	AL9U10040, AL9U10030
OG0003361	Cg003G0909200	AL8G27090, AL4G22300
OG0003362	Cg006G1816600, Cg006G2188700	AL3G46020
OG0003363	Cg002G0556800	AL5G26240
OG0003372	Cg002G0547400	AL5G27310
OG0003373	Cg006G1996100	AL1G41520
OG0003374	Cg006G1944100	AL1G47090
OG0003375	Cg003G0890900, Cg003G0891000	AL8G25150
OG0003376	Cg004G1347600	AL3G43370
OG0003377	Cg008G2727800	AL6G27230
OG0003378	Cg008G2726700	AL6G27120
OG0003381	Cg008G2688900	AL6G23000
OG0003383	Cg008G2805800	AL6G36640
OG0003384	Cg003G0893700, Cg001G0025800	AL7G13160
OG0003385	Cg008G2653700	AL6G18570
OG0003386	Cg008G2649400	AL6G18110
OG0003387	Cg003G0884400	AL8G24840
OG0003387	Cg001G0154600	AL7G28260
OG0003388	Cg001G0155000	AL7G28310
OG0003389	Cg005G1607500	AL4G27970
OG0003389	Cg005G1684400	AL4G20060
OG0003390	Cg005G1631100	AL4G25040
OG0003391	Cg008G2928600, Cg008G2928400	AL8G17040, AL6G41710
OG0003392	Cg008G2940900	AL8G15900, AL8G15910
OG0003393	Cg006G1968200	AL1G44680
OG0003394	Cg006G1968100	AL1G44690
OG0003395	Cg003G1051200	nbis-gene-632, nbis-gene-2213
OG0003396	Cg008G2664300	AL8G42060, AL6G20170
OG0003397	Cg001G0066100	AL7G17940
OG0003398	Cg003G1022700	AL8G40260
OG0003399	Cg003G1020500	AL3G51140, AL8G39970
OG0003400	Cg003G1019500	AL8G39880
OG0003401	Cg008G2796200	AL6G35300, AL6G35310
OG0003402	Cg008G2773600	AL6G32480
OG0003405	Cg003G0955800	AL8G32490, AL2G30930, AL239U10010
OG0003406	Cg009G2990000, Cg008G2888800	AL8G19870
OG0003408	Cg008G2621800	AL6G14640
OG0003409	Cg008G2606800	AL6G13010
OG0003410	Cg004G1152900	AL3G20470
OG0003410	Cg008G2593600	AL6G11350
OG0003411	Cg004G1148300	AL3G19870
OG0003412	Cg004G1148000	AL3G19840
OG0003412	Cg008G2585300	AL6G10260
OG0003413	Cg004G1182800	AL3G23980
OG0003415	Cg001G0009800	AL7G11100
OG0003416	Cg007G2536600	AL2G36660
OG0003417	Cg006G1785800, Cg004G1193600	AL1G63740
OG0003419	Cg006G1801200	AL1G61950, AL1G61940
OG0003421	Cg004G1306100	AL3G38530
OG0003422	Cg001G0028600	AL7G13570
OG0003424	Cg002G0636500	AL5G18120
OG0003424	Cg002G0636400	AL5G18110
OG0003425	Cg006G2018300	AL1G38970
OG0003426	Cg008G2970100	AL8G12270
OG0003426	Cg001G0218200	AL7G35990
OG0003427	Cg006G1817400	AL1G59730
OG0003428	Cg006G1817300	AL1G59770
OG0003429	Cg004G1445000	AL3G53880
OG0003431	Cg001G0214000	AL7G35570
OG0003431	Cg001G0214100	AL7G35560
OG0003432	Cg001G0215300	AL7G35690
OG0003432	Cg002G0501800	AL5G33410
OG0003433	Cg002G0521200	AL5G30890
OG0003434	Cg003G0895600	AL8G25630
OG0003434	Cg003G0895800	AL8G25670
OG0003435	Cg003G0894700	AL8G25510, AL1G51940, AL1G52040
OG0003437	Cg008G2951300	AL176U10010, AL7G41730, AL7G34090
OG0003438	Cg001G0197300	AL7G33430
OG0003439	Cg004G1162800	AL3G22350, AL4G14330
OG0003441	Cg006G1922300	AL7G44820, AL1G49060
OG0003442	Cg005G1484300	AL4G43550
OG0003443	Cg002G0438900	AL4G41200, AL5G40420
OG0003444	Cg005G1516200, Cg002G0452400	AL4G39500
OG0003445	Cg002G0454200, Cg002G0454300, Cg008G2927000	AL5G38460
OG0003446	Cg005G1529000	AL4G37970
OG0003447	Cg004G1339100	AL3G42760
OG0003448	Cg004G1313900	AL3G39820, AL4G17820
OG0003449	Cg001G0034400	AL7G14320
OG0003450	Cg001G0018500, Cg005G1764900	AL4G11920
OG0003451	Cg004G1445900	AL3G54010
OG0003452	Cg003G0783600	AL6G43400
OG0003452	Cg006G1926200	AL1G48590
OG0003453	Cg001G0367100, Cg003G0776300	AL5G30070, AL6G40800, AL4G46990
OG0003454	Cg005G1455700	AL4G46930, AL3G49500
OG0003455	Cg005G1471400	AL4G44960
OG0003456	Cg005G1481800	AL4G43870, AL364U10030
OG0003457	Cg005G1490100	AL4G42820
OG0003458	Cg005G1490400	AL4G42780
OG0003459	Cg008G2754400	AL3G17060
OG0003462	Cg004G1151400	AL3G20300
OG0003463	Cg002G0683100	AL3G23010
OG0003464	Cg004G1178900	AL3G23520
OG0003465	Cg004G1196300	AL3G27280, AL3G25540
OG0003466	Cg004G1197600	AL3G25750, AL3G25760
OG0003467	Cg004G1223100	AL3G28520
OG0003468	Cg001G0160400	AL7G28870, AL7G28860
OG0003469	Cg001G0094000	AL7G21230
OG0003469	Cg003G0892100	AL7G50520
OG0003470	Cg006G2174600	AL1G19360
OG0003471	Cg006G2183900	AL1G18400
OG0003471	Cg006G2184000	AL1G18390
OG0003472	Cg006G2169000	AL1G20040
OG0003473	Cg006G2163700	AL1G20580
OG0003473	Cg007G2316700	AL2G17890
OG0003474	Cg006G2161300	AL1G20910
OG0003474	Cg007G2312700	AL2G17490
OG0003475	Cg007G2274600	AL2G12700
OG0003475	Cg006G2138900	AL1G23810
OG0003476	Cg006G2134300	AL1G24550
OG0003476	Cg002G0660700	AL5G15480
OG0003477	Cg006G2117200	AL1G48800
OG0003479	Cg001G0372800, Cg001G0372200	AL7G49920
OG0003481	Cg008G2987100	AL8G11080
OG0003481	Cg001G0231200	AL7G37540
OG0003482	Cg004G1235200	AL3G53130, AL7G38810
OG0003483	Cg005G1466400	AL355U10020, nbis-gene-1167, AL4G45560
OG0003484	Cg001G0002800	AL7G10290
OG0003485	Cg001G0026200	AL7G13210
OG0003485	Cg001G0026100	AL7G13200
OG0003486	Cg001G0043200	AL7G15290
OG0003487	Cg001G0054800	AL7G16600
OG0003488	Cg005G1744100	AL4G14490
OG0003488	Cg001G0093400	AL7G21140
OG0003491	Cg006G2019700	AL1G38730
OG0003496	Cg007G2433200, Cg007G2433300	AL2G25100, AL2G25070
OG0003501	Cg008G2798700	nbis-gene-1562, AL6G35620, AL6G35640, AL6G35630, nbis-gene-1563
OG0003504	Cg004G1303200, Cg004G1303900	AL3G38120
OG0003504	Cg004G1303500, Cg004G1304000	AL3G38170, AL242U10030
OG0003512	Cg005G1706000	AL4G19430
OG0003512	Cg004G1305900	AL4G19450
OG0003514	Cg008G2732900	AL6G27900
OG0003515	Cg008G2723200	AL6G26760
OG0003516	Cg008G2681700	AL6G22130
OG0003517	Cg004G1263900	AL3G33220
OG0003518	Cg008G2657600	AL6G19240, AL5G33000
OG0003519	Cg003G1004800	AL8G38080
OG0003520	Cg008G2648500	AL6G17950
OG0003520	Cg004G1161900	AL3G21620
OG0003521	Cg005G1674200	AL4G21200
OG0003522	Cg005G1660400	AL4G22650, AL4G22670
OG0003523	Cg005G1653000	AL4G21740
OG0003525	Cg005G1628400	AL4G25280, AL136U10020
OG0003526	Cg005G1619200	AL4G26530, AL2G35340
OG0003527	Cg005G1618200	AL4G26650
OG0003529	Cg005G1610100	AL4G27630
OG0003530	Cg008G2934100	AL8G16560, AL8G16440
OG0003530	Cg006G2224700	AL1G13830
OG0003532	Cg006G1966100, Cg006G1965400	AL1G44970
OG0003533	Cg003G1058000	AL8G44260
OG0003534	Cg003G1055800, Cg008G2891300	AL8G44020
OG0003535	Cg003G1046500	AL8G43010
OG0003536	Cg003G1012700, Cg008G2644000	AL8G39020
OG0003537	Cg003G1008800	AL8G38580
OG0003538	Cg008G2813700, Cg008G2813600	AL3G41810, AL6G37550, AL6G38760
OG0003539	Cg007G2458200	AL2G27820
OG0003539	Cg008G2780500	AL6G33300
OG0003540	Cg008G2786900	AL6G34110
OG0003542	Cg003G0786300	AL6G43100
OG0003543	Cg003G0985100	AL8G35960, AL8G35970
OG0003544	Cg003G0984000	AL8G35820
OG0003545	Cg003G0972800	AL8G34390
OG0003546	Cg003G0967800	AL8G33840
OG0003547	Cg006G2183700	AL1G18420
OG0003548	Cg003G0945200	AL8G31210
OG0003549	Cg008G2644200	AL6G17430
OG0003550	Cg008G2631700	AL6G15910
OG0003551	Cg008G2624000	AL6G15010
OG0003552	Cg004G1431700	AL6G42620, AL3G48780
OG0003554	Cg002G0651000	AL5G16870
OG0003554	Cg001G0377700	AL7G49260
OG0003555	Cg007G2561200	AL2G39440
OG0003556	Cg007G2553300, Cg006G2042500	AL1G35880
OG0003557	Cg004G1407900	AL3G50130
OG0003559	Cg001G0268000	AL7G41840
OG0003560	Cg001G0265100	AL7G41570
OG0003562	Cg001G0247800	AL7G39490
OG0003563	Cg007G2502800, Cg007G2502900	AL2G33060
OG0003564	Cg006G2075700	AL1G31510
OG0003565	Cg002G0670700	AL5G14340, AL5G14330
OG0003567	Cg008G2963800	AL8G13020
OG0003568	Cg008G2922000	AL8G17920
OG0003572	Cg001G0203100	AL7G34280
OG0003573	Cg001G0239700	AL7G38440
OG0003574	Cg002G0509000	AL5G32480
OG0003575	Cg002G0401300	AL5G45730
OG0003575	Cg005G1450700	AL39U10030, AL4G47450
OG0003577	Cg005G1458500	AL4G46560
OG0003577	Cg002G0407400	AL5G44960
OG0003578	Cg004G1105200, Cg006G2212200	AL6G15510, AL5G44050
OG0003579	Cg007G2431400, Cg007G2431600	AL2G22100
OG0003579	Cg002G0421500	AL5G43050
OG0003580	Cg002G0463200	AL5G37470
OG0003581	Cg002G0443300	AL5G39800
OG0003581	Cg005G1507100	AL4G40790
OG0003582	Cg002G0447800	AL5G39310
OG0003582	Cg005G1511300	AL4G40250
OG0003583	Cg002G0475000	AL5G36240
OG0003584	Cg006G2057000	AL5G21410, AL5G34180
OG0003585	Cg003G0920100	AL8G28460
OG0003586	Cg001G0347700	AL7G52790
OG0003586	Cg007G2431700	AL2G24900
OG0003587	Cg002G0464500	AL5G37300
OG0003587	Cg005G1529100	AL4G37960
OG0003589	Cg005G1547200	AL4G35770
OG0003590	Cg005G1555800	AL4G34700
OG0003591	Cg005G1593000	AL4G29720
OG0003591	Cg008G2606200	AL6G12870
OG0003592	Cg005G1710000	AL4G18850, AL5G21960
OG0003593	Cg006G1927300	AL1G48460
OG0003594	Cg003G0759600	AL6G45780, AL6G45770
OG0003595	Cg008G2820700	AL6G38480, AL1G54410
OG0003596	Cg008G2830800	AL6G39870
OG0003597	Cg006G2225800	AL1G13720
OG0003599	Cg008G2746700	AL6G29470
OG0003599	Cg004G1101800	AL3G13950
OG0003600	Cg004G1124800, Cg004G1125400, Cg003G0890200	AL3G17020
OG0003601	Cg004G1185300	AL3G24300
OG0003604	Cg005G1744600	AL4G14630
OG0003605	Cg004G1273100	AL3G34460, AL3G34450
OG0003606	Cg006G1824100	AL1G58850
OG0003606	Cg004G1273500	AL3G34530
OG0003608	Cg004G1301600	AL3G37950
OG0003609	Cg002G0687600, Cg002G0687500	AL5G11200
OG0003610	Cg007G2358200	AL1G64960
OG0003611	Cg007G2347200, Cg007G2347100	AL1G65310
OG0003612	Cg002G0504200	AL5G33080
OG0003613	Cg006G2250200	AL1G10800
OG0003614	Cg006G2236800	AL1G12360, AL1G12370
OG0003616	Cg006G2204000	AL1G16040
OG0003617	Cg006G2202100	AL1G16310
OG0003618	Cg006G2180700	AL1G18720
OG0003619	Cg006G2162200	AL1G20790, AL1G47570, AL1G47560, AL1G20660
OG0003620	Cg007G2309600	AL2G16960
OG0003621	Cg006G2157500	nbis-gene-65
OG0003622	Cg006G2152000	AL1G22110
OG0003623	Cg006G2141200	AL1G23470
OG0003626	Cg006G2094100	AL1G29230
OG0003627	Cg006G2059600	AL1G33710
OG0003628	Cg008G2949400	AL8G14810
OG0003629	Cg001G0059600	AL5G22860, AL7G17190, AL7G17200
OG0003630	Cg001G0071600	AL7G18660
OG0003630	Cg005G1715200	AL4G18230
OG0003631	Cg001G0063800	AL5G22610, AL7G17670
OG0003632	Cg013G3026500	AL4G16790
OG0003632	Cg001G0081000	AL7G19680
OG0003633	Cg006G2024700	AL1G38010
OG0003634	Cg003G0704300, Cg014G3051300	AL6G52820
OG0003636	Cg005G1642300	AL4G23680
OG0003637	Cg006G2030000	AL1G37370
OG0003639	Cg003G0882100, Cg003G0832800	AL8G24770, AL8G24750, AL3G46350, AL8G24730
OG0003640	Cg003G1026600	AL8G40720, AL4G15580
OG0003646	Cg003G0903300	AL8G26400
OG0003647	Cg025G3077300, Cg040G3083800	AL2G21070, AL2G21520, AL2G20660
OG0003656	Cg002G0543500	AL5G27830
OG0003657	Cg002G0549300	AL5G27130
OG0003658	Cg001G0209700	AL7G35020
OG0003659	Cg004G1082200	AL3G11320, AL6G26380
OG0003660	Cg001G0180300	AL7G31260
OG0003661	Cg008G2686300	AL6G22680
OG0003662	Cg008G2683300	AL6G22340
OG0003664	Cg008G2663300	AL6G20060
OG0003665	Cg004G1167300	nbis-gene-687
OG0003666	Cg005G1630700	AL1G17000, AL4G25110
OG0003668	Cg001G0147900	AL7G27530
OG0003669	Cg006G1986900	AL7G41530, AL7G41380, AL1G42780
OG0003670	Cg008G2792600	AL6G34880
OG0003671	Cg008G2802900	AL6G36270, AL6G36260
OG0003672	Cg008G2813900	AL6G37600
OG0003673	Cg008G2774500	AL6G32570
OG0003674	Cg002G0592900	AL5G22290
OG0003674	Cg008G2779700	AL6G33200
OG0003675	Cg003G0994800	AL8G37010
OG0003676	Cg003G0991100	AL8G36620
OG0003677	Cg005G1590400, Cg005G1590500	AL4G30170, AL4G30150, AL4G30160
OG0003678	Cg001G0139200	AL7G26570
OG0003679	Cg003G0944400	AL8G31120
OG0003680	Cg002G0532200	AL5G29410
OG0003681	Cg002G0540900	AL5G28120
OG0003682	Cg003G0721700, Cg014G3033600	AL6G50720
OG0003683	Cg008G2590200	AL6G10880
OG0003684	Cg002G0650300	AL5G16940
OG0003685	Cg006G2185700	AL1G18110
OG0003686	Cg001G0393300	AL7G47190
OG0003686	Cg007G2257700	AL2G10120
OG0003688	Cg007G2574700	AL2G22300, AL8G25550
OG0003689	Cg007G2571600, Cg003G0897600	AL2G40970, AL6G52910
OG0003690	Cg008G2831100	nbis-gene-1592
OG0003691	Cg007G2521000, Cg007G2521100	AL2G34930
OG0003692	Cg006G1782100	AL1G64320
OG0003693	Cg006G1804100, Cg006G1804000	AL1G61490
OG0003694	Cg003G0873000, Cg016G3059900	AL8G24230
OG0003695	Cg001G0250600	AL7G39800
OG0003696	Cg001G0116600	AL7G24040
OG0003697	Cg001G0112900	AL7G23610
OG0003697	Cg001G0113000	AL7G23620
OG0003698	Cg001G0373600	AL7G49820
OG0003699	Cg014G3048000, Cg003G0707500	AL6G52210
OG0003700	Cg008G2970300	AL8G12250
OG0003701	Cg004G1242300	AL3G30840, AL3G30820
OG0003702	Cg005G1493500	AL4G42420
OG0003703	Cg008G2952900	nbis-gene-1992
OG0003703	Cg008G2953300	AL8G14400
OG0003704	Cg006G1828400	AL1G58810, AL1G58840, AL1G58160
OG0003705	Cg004G1408600	AL3G30480
OG0003706	Cg006G2114800	AL1G26870
OG0003707	Cg006G1817900	AL1G59650
OG0003708	Cg004G1374800	AL878U10010, AL3G46580
