Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_Rawat
OG0000015	Cg001G0251200	AL25U10010, AL6G22310, AL7G26200
OG0000015	Cg007G2289100	AL1G29330, AL6G27260
OG0000016	Cg002G0591300	AL2G23610, AL5G12380, AL5G12270
OG0000020	Cg004G1313600	AL189U10010, AL189U10020, AL3G44820, AL7G51100
OG0000020	Cg008G2915200, Cg003G0729100	AL4G19770
OG0000021	Cg006G1871200	AL39U10070
OG0000021	Cg006G1912000, Cg004G1333000	AL7G47350, AL7G51150
OG0000022	Cg007G2277400	AL2G13120
OG0000022	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000	AL2G11490
OG0000022	Cg007G2258400	AL2G10190
OG0000022	Cg001G0385000	AL7G48260
OG0000022	Cg004G1232100	AL3G29640
OG0000023	Cg003G0882200	AL1G65660
OG0000023	Cg006G1902200	AL2G18620
OG0000023	Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	AL1G45340, AL1G45540, AL1G45590, nbis-gene-188, AL1G45230, AL1G45550, AL1G45570, AL1G45600, nbis-gene-553, AL4G14930, nbis-gene-966, AL1G45610, AL1G45580, AL1G45510
OG0000024	Cg002G0647900	AL1G46280
OG0000024	Cg006G1963900, Cg006G1963800	AL3G45420, AL4G35160
OG0000024	Cg002G0447000, Cg002G0448700	AL5G38280, AL5G39160, AL5G39170, AL5G23680
OG0000025	Cg007G2444400	AL6G41860
OG0000025	Cg005G1690200, Cg004G1264500	AL9U11280, AL5G16730, AL2G12870
OG0000027	Cg003G0758600	AL6G45930
OG0000027	Cg003G0758500	AL6G45970
OG0000027	Cg003G0758900	AL6G45910
OG0000027	Cg001G0171100	AL7G30170
OG0000027	Cg003G0757800	AL1G66280
OG0000027	Cg001G0171900	AL7G30280
OG0000027	Cg001G0171700	AL7G30260
OG0000028	Cg003G0981300	AL7G42840
OG0000030	Cg004G1270000	AL3G33700, AL275U10020, AL3G33320, AL3G33690
OG0000030	Cg004G1264800	AL3G33370
OG0000030	Cg006G1982700	AL1G35700, AL1G40180, AL1G40160, AL1G40170
OG0000030	Cg001G0286900	AL3G27510
OG0000030	Cg002G0532900	AL5G29320, AL5G29310, AL5G29340
OG0000030	Cg006G2154000	AL1G21870
OG0000031	Cg003G0842000	AL3G43240, AL2G29770, AL1G56200, AL1G41870
OG0000034	Cg001G0172000	AL7G30290
OG0000034	Cg001G0190400	AL7G32680
OG0000034	Cg001G0190500	AL7G32670
OG0000034	Cg001G0172600	AL7G30340
OG0000034	Cg001G0172700	AL7G30310, AL7G30350
OG0000040	Cg003G0770800, Cg006G1822500, Cg003G0954000	AL677U10010
OG0000040	Cg008G2847400, Cg008G2861900	AL364U10020
OG0000040	Cg002G0556700	AL8G11480
OG0000041	Cg006G2127000	AL3G41190, AL6G35400, AL1G24610, AL5G28630, AL1G18250, AL6G32660
OG0000042	Cg007G2325300	AL1G42210
OG0000043	Cg014G3034000	AL4G22400
OG0000043	Cg002G0640800	AL1G50770
OG0000044	Cg008G2973700	AL8G11930
OG0000044	Cg008G2973900	AL8G11840, AL8G11900
OG0000044	Cg004G1380900	AL3G20910, AL2G19370, AL8G18470
OG0000046	Cg001G0284200	AL4G10770, AL5G16920, AL7G43910, AL3G42580
OG0000050	Cg005G1710800	AL1G24220
OG0000051	Cg006G2232100	AL1G20340
OG0000051	Cg005G1506300	AL4G40940
OG0000051	Cg013G3025800, Cg005G1600400	AL4G40920, AL4G40910, AL2G15770, AL4G40930
OG0000051	Cg003G0782100	AL4G41000, AL4G41010, AL4G41020
OG0000052	Cg007G2494300	AL1G65610
OG0000052	Cg002G0537500	AL5G28950
OG0000055	Cg004G1239300	AL3G30470
OG0000055	Cg004G1232400	AL3G29670
OG0000056	Cg007G2285200	AL2G14100
OG0000056	Cg007G2283300	AL2G13770
OG0000056	Cg007G2283500	AL2G13820
OG0000056	Cg007G2284900, Cg007G2285100	AL2G14070
OG0000056	Cg002G0557700	AL5G26170
OG0000058	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300	AL3G40670
OG0000058	Cg002G0648900	AL3G30200, AL1G60100
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	AL8G40920, AL7G34190, AL2G10380, AL1G59190
OG0000059	Cg003G0778100	AL5G34630
OG0000060	Cg005G1558200	AL5G34700
OG0000061	Cg004G1379900	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030
OG0000061	Cg004G1382400, Cg004G1390200	AL1G53180
OG0000061	Cg005G1634900	AL3G24690, AL1G35400, AL4G24650
OG0000064	Cg003G0987600	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441
OG0000065	Cg007G2435800	AL2G25320, AL2G25210
OG0000066	Cg006G2172200, Cg008G2671100, Cg003G1045600	AL6G20900
OG0000066	Cg008G2671000	AL6G20890
OG0000066	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900	AL2G35590, AL6G41640
OG0000066	Cg008G2677200, Cg001G0018800	AL6G21580
OG0000066	Cg006G2066700	AL1G32620
OG0000067	Cg004G1439200	AL1G31430
OG0000068	Cg008G2596900	AL6G15310, AL6G14890
OG0000068	Cg004G1419400	AL3G20260, AL3G20250, AL3G20240
OG0000068	Cg008G2602600, Cg008G2600100	AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550
OG0000069	Cg001G0395000	AL5G45620
OG0000069	Cg006G2225100	AL3G48630, AL1G45330, AL1G16270
OG0000069	Cg004G1201400	AL4G13470
OG0000070	Cg006G2161100	AL1G20940
OG0000070	Cg002G0680500	AL3G47920, AL5G12840, AL5G12830
OG0000070	Cg006G2064200	AL4G11370, AL1G32980, AL2G24470
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	AL2G35960
OG0000070	Cg008G2918500, Cg011G3015900	AL8G19640
OG0000070	Cg001G0056200	AL7G16760
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	AL3G47230
OG0000072	Cg005G1665600	AL8G11190
OG0000075	Cg001G0013800	AL7G11690
