Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0002214	g13653	Aa_G278940.h1.t1
OG0002218	g25073, g53280, g35586, g53384, g53960, g43662, g15802	Aa_G137590.h1.t1, Aa_G326360.h1.t1
OG0002221	g27782	Aa_G16510.h1.t1, Aa_G652130.h1.t1
OG0002223	g29130	Aa_G192770.h1.t1
OG0002224	g41151	Aa_G161780.h1.t1
OG0002225	g29301	Aa_G621820.h1.t1, Aa_G553330.h1.t1
OG0002227	g49688, g31120, g31121	Aa_G368320.h1.t1
OG0002228	g49584	Aa_G638120.h1.t1
OG0002229	g39822	Aa_G154650.h1.t1
OG0002229	g49503	Aa_G79390.h1.t1
OG0002230	g39724	Aa_G519830.h1.t1
OG0002231	g39712	Aa_G316900.h1.t1
OG0002232	g11058	Aa_G95890.h1.t1
OG0002232	g49428	Aa_G134660.h1.t1
OG0002233	g30835	Aa_G134780.h1.t1
OG0002234	g1337	Aa_G83990.h1.t1
OG0002235	g23785	Aa_G90830.h1.t1
OG0002235	g50545	Aa_G138810.h1.t1
OG0002236	g41207	Aa_G247190.h1.t1
OG0002236	g47550, g23760	Aa_G29760.h1.t1
OG0002237	g50500	Aa_G366310.h1.t1
OG0002238	g32449	Aa_G417030.h1.t1
OG0002239	g27717, g32495	Aa_G216370.h1.t1
OG0002240	g50595	Aa_G434690.h1.t1
OG0002240	g37140	Aa_G24810.h1.t1
OG0002241	g32613	Aa_G109310.h1.t1
OG0002241	g37134	Aa_G11140.h1.t1
OG0002242	g9662	Aa_G482340.h1.t1
OG0002242	g2586	Aa_G379450.h1.t1
OG0002243	g29632	Aa_G504190.h1.t1
OG0002244	g451	Aa_G165590.h1.t1
OG0002245	g37552	Aa_G1015950.h1.t1
OG0002247	g736	Aa_G314270.h1.t1
OG0002247	g11520	Aa_G252700.h1.t1
OG0002249	g28760	Aa_G620110.h1.t1
OG0002249	g19567	Aa_G99290.h1.t1
OG0002250	g1211	Aa_G147910.h1.t1
OG0002250	g12732	Aa_G326920.h1.t1
OG0002251	g39303	Aa_G729530.h1.t1
OG0002252	g17139	Aa_G115130.h1.t1
OG0002252	g1078	Aa_G22100.h1.t1
OG0002253	g23659, g47614	Aa_G149180.h1.t1
OG0002254	g30809	Aa_G228370.h1.t1
OG0002254	g39599	Aa_G180060.h1.t1
OG0002255	g14096	Aa_G323550.h1.t1
OG0002255	g23978	Aa_G213430.h1.t1
OG0002256	g12325	Aa_G195430.h1.t1
OG0002256	g5622	Aa_G261370.h1.t1
OG0002257	g7400	Aa_G743040.h1.t1
OG0002257	g45426	Aa_G170510.h1.t1
OG0002259	g5764	Aa_G478910.h1.t1
OG0002261	g46659	Aa_G229850.h1.t1
OG0002262	g49938, g27299	Aa_G121360.h1.t1
OG0002263	g44281, g46590	Aa_G497420.h1.t1
OG0002264	g46557	Aa_G21660.h1.t1
OG0002265	g46407	Aa_G204340.h1.t1
OG0002266	g46385	Aa_G121550.h1.t1
OG0002266	g50222	Aa_G272190.h1.t1
OG0002267	g44376	Aa_G447420.h1.t1
OG0002268	g31920	Aa_G622610.h1.t1
OG0002269	g46205	Aa_G198520.h1.t1
OG0002269	g50096	Aa_G544390.h1.t1
OG0002270	g31869	Aa_G628500.h1.t1
OG0002270	g46197	Aa_G348680.h1.t1
OG0002271	g1940	Aa_G349470.h1.t1
OG0002272	g7239	Aa_G176070.h1.t1
OG0002272	g54318	Aa_G193250.h1.t1
OG0002273	g54321, g36711	Aa_G231420.h1.t1
OG0002274	g47045	Aa_G291470.h1.t1
OG0002275	g47047	Aa_G670970.h1.t1
OG0002275	g47046	Aa_G55060.h1.t1
OG0002276	g46062	Aa_G303470.h1.t1
OG0002276	g31741	Aa_G557400.h1.t1
OG0002277	g45777	Aa_G283230.h1.t1
OG0002278	g17045, g47668	Aa_G44630.h1.t1
OG0002279	g17024, g23530	Aa_G182760.h1.t1
OG0002280	g16842	Aa_G495300.h1.t1
OG0002280	g10468	Aa_G27350.h1.t1
OG0002281	g10496	Aa_G437830.h1.t1
OG0002282	g49874	Aa_G398290.h1.t1
OG0002282	g10592, g1582	Aa_G83380.h1.t1
OG0002283	g36414	Aa_G92550.h1.t1
OG0002284	g7043	Aa_G241880.h1.t1
OG0002284	g13253	Aa_G256080.h1.t1
OG0002285	g37085	Aa_G484430.h1.t1
OG0002287	g51540	Aa_G24690.h1.t1
OG0002288	g10926	Aa_G41330.h1.t1
OG0002288	g17515	Aa_G152180.h1.t1
OG0002289	g24269	Aa_G96190.h1.t1
OG0002290	g7422	Aa_G398070.h1.t1
OG0002293	g28329	Aa_G84100.h1.t1
OG0002294	g40506	Aa_G123780.h1.t1
OG0002295	g40246	Aa_G61160.h1.t1, Aa_G115570.h1.t1
OG0002297	g18757	Aa_G163630.h1.t1
OG0002298	g52281	Aa_G17170.h1.t1
OG0002298	g11169	Aa_G57820.h1.t1
OG0002299	g18994	Aa_G614500.h1.t1
OG0002299	g51994	Aa_G188460.h1.t1
OG0002300	g38150	Aa_G281300.h1.t1
OG0002301	g51865	Aa_G677190.h1.t1
OG0002301	g2175	Aa_G287340.h1.t1
OG0002302	g51779	Aa_G357580.h1.t1
OG0002302	g37319	Aa_G99100.h1.t1
OG0002303	g2240	Aa_G650980.h1.t1
OG0002303	g37314	Aa_G509550.h1.t1, Aa_G417520.h1.t1, Aa_G479110.h1.t1
OG0002304	g15801	Aa_G352660.h1.t1
OG0002305	g18347	Aa_G650410.h1.t1
OG0002305	g41582	Aa_G545260.h2.t1, Aa_G545260.h1.t1
OG0002306	g30888	Aa_G493480.h1.t1
OG0002306	g40422	Aa_G561140.h1.t1
OG0002307	g22694	Aa_G537380.h1.t1
OG0002308	g22763	Aa_G486260.h1.t1
OG0002308	g38497	Aa_G407270.h1.t1
OG0002309	g35932, g35931, g35930, g53697	Aa_G514200.h1.t1
OG0002310	g40316	Aa_G480730.h1.t1
OG0002312	g24251	Aa_G601600.h1.t1, Aa_G542460.h1.t1, Aa_G352370.h1.t1
OG0002313	g7628, g10201	Aa_G47150.h1.t1
OG0002314	g1403, g1404	Aa_G999890.h1.t1, Aa_G999890.h2.t1, Aa_G786360.h1.t1, Aa_G659790.h1.t1, Aa_G659810.h1.t1, Aa_G659800.h1.t1, Aa_G493370.h1.t1, Aa_G551040.h1.t1, Aa_G551030.h1.t1
OG0002315	g12038	Aa_G682970.h1.t1
OG0002316	g12032	Aa_G498870.h1.t1
OG0002317	g36327	Aa_G110690.h1.t1
OG0002317	g13295	Aa_G310250.h1.t1
OG0002318	g6884	Aa_G82100.h1.t1
OG0002319	g2900, g2901	Aa_G858850.h1.t1
OG0002320	g49301	Aa_G94430.h1.t1
OG0002321	g25370	Aa_G425510.h1.t1
OG0002322	g25364	Aa_G299850.h2.t1, Aa_G299850.h1.t1
OG0002322	g49305, g49307	Aa_G745780.h1.t1
OG0002323	g39520	Aa_G46640.h1.t1, Aa_G247560.h1.t1
OG0002323	g30775	Aa_G6440.h1.t1
OG0002324	g31068, g49564	Aa_G310570.h1.t1, Aa_G310590.h1.t1
OG0002325	g31144	Aa_G80650.h1.t1
OG0002326	g44090	Aa_G281530.h1.t1
OG0002327	g27279	Aa_G393290.h1.t1
OG0002328	g46536	Aa_G265750.h1.t1
OG0002329	g31644	Aa_G457310.h1.t1, Aa_G65590.h1.t1
OG0002330	g50002	Aa_G188640.h1.t1
OG0002331	g50043	Aa_G132380.h1.t1, Aa_G622170.h1.t1, Aa_G30430.h1.t1
OG0002332	g44514	Aa_G548320.h1.t1, Aa_G548300.h1.t1
OG0002332	g31809	Aa_G548310.h2.t1, Aa_G548310.h1.t1
OG0002333	g45962	Aa_G252100.h1.t1
OG0002333	g27521	Aa_G198730.h1.t1
OG0002334	g50304	Aa_G562070.h1.t1
OG0002334	g32086	Aa_G189620.h1.t1
OG0002335	g50327	Aa_G352700.h1.t1
OG0002337	g44102	Aa_G139530.h1.t1, Aa_G182440.h1.t1, Aa_G5870.h1.t1
OG0002338	g10859, g40709	Aa_G248640.h2.t1, Aa_G248640.h1.t1
OG0002339	g14044	Aa_G421750.h1.t1
OG0002340	g47892	Aa_G543430.h1.t1
OG0002340	g23061	Aa_G238250.h1.t1
OG0002341	g23166	Aa_G258450.h1.t1
OG0002342	g6158	Aa_G541720.h1.t1
OG0002342	g18193	Aa_G274270.h1.t1
OG0002343	g23316	Aa_G241440.h1.t1
OG0002344	g23318	Aa_G241420.h1.t1
OG0002344	g38364	Aa_G41510.h1.t1
OG0002345	g23358	Aa_G163910.h1.t1
OG0002346	g39368	Aa_G48440.h1.t1
OG0002346	g17125, g23682	Aa_G618270.h1.t1
OG0002352	g47745	Aa_G158900.h1.t1
OG0002353	g29137	Aa_G264870.h1.t1
OG0002354	g45746	Aa_G499320.h1.t1
OG0002354	g7835	Aa_G111700.h1.t1
OG0002355	g29152	Aa_G499340.h1.t1, Aa_G499350.h1.t1
OG0002356	g5029, g29180	Aa_G447880.h1.t1, Aa_G111950.h1.t1
OG0002357	g29212	Aa_G56520.h1.t1, Aa_G56500.h1.t1
OG0002357	g5704	Aa_G140820.h1.t1
OG0002358	g29241	Aa_G71660.h1.t1, Aa_G431380.h1.t1
OG0002360	g29376	Aa_G385320.h1.t1
OG0002361	g10040	Aa_G398090.h1.t1
OG0002361	g29472	Aa_G168850.h1.t1
OG0002362	g9741	Aa_G20820.h1.t1
OG0002362	g202	Aa_G195900.h1.t1
OG0002363	g29573	Aa_G635920.h1.t1
OG0002363	g280	Aa_G335320.h1.t1, Aa_G75960.h1.t1
OG0002364	g496	Aa_G143220.h1.t1
OG0002364	g5495	Aa_G210780.h1.t1
OG0002365	g5527, g5524	Aa_G587790.h1.t1, Aa_G587750.h1.t1
OG0002366	g38072	Aa_G30090.h1.t1, Aa_G249370.h1.t1
OG0002367	g40019	Aa_G768990.h1.t1
OG0002368	g30911	Aa_G235360.h1.t1
OG0002368	g51300	Aa_G243610.h1.t1
OG0002369	g39717	Aa_G203750.h1.t1
OG0002370	g11089	Aa_G89740.h1.t1
OG0002370	g30859	Aa_G400470.h1.t1
OG0002371	g39675, g11063	Aa_G215340.h1.t1
OG0002372	g23740	Aa_G29620.h1.t1
OG0002372	g47555	Aa_G29640.h1.t1
OG0002374	g32514	Aa_G468680.h1.t1
OG0002374	g17611	Aa_G468690.h1.t1
OG0002376	g9924	Aa_G94920.h1.t1
OG0002377	g41374	Aa_G337610.h1.t1
OG0002378	g28878	Aa_G403390.h1.t1
OG0002379	g11418, g2820	Aa_G578550.h1.t1
OG0002379	g39246	Aa_G225450.h1.t1
OG0002380	g23322	Aa_G59770.h1.t1
OG0002380	g47784, g28603	Aa_G168010.h1.t1
OG0002381	g1013	Aa_G59070.h1.t1
OG0002381	g17123	Aa_G86690.h1.t1
OG0002382	g964	Aa_G123420.h1.t1
OG0002382	g23651	Aa_G129630.h1.t1
OG0002383	g17087	Aa_G184100.h1.t1
OG0002385	g12324, g39747	Aa_G195270.h1.t1, Aa_G285160.h1.t1
OG0002386	g29780	Aa_G73330.h1.t1
OG0002387	g12375	Aa_G322220.h1.t1
OG0002388	g40823	Aa_G135540.h1.t1
OG0002389	g46496, g44344	Aa_G444530.h1.t1
OG0002390	g44361	Aa_G129460.h1.t1
OG0002391	g31999	Aa_G86890.h1.t1
OG0002392	g46265	Aa_G315410.h1.t1
OG0002392	g31939	Aa_G148870.h1.t1
OG0002393	g22987	Aa_G564360.h1.t1
OG0002394	g47952	Aa_G285840.h1.t1
OG0002394	g13990	Aa_G249520.h1.t1
OG0002395	g12252	Aa_G290220.h1.t1
OG0002396	g13195, g12217	Aa_G327440.h1.t1
OG0002397	g12209	Aa_G237710.h1.t1
OG0002397	g54340	Aa_G118240.h1.t1, Aa_G118230.h1.t1
OG0002398	g54283	Aa_G501470.h1.t1
OG0002399	g23080	Aa_G110310.h1.t1
OG0002401	g37161	Aa_G282190.h1.t1
OG0002401	g19219	Aa_G100060.h1.t1
OG0002402	g13523	Aa_G326550.h1.t1
OG0002403	g11678, g11684	Aa_G380130.h1.t1
OG0002404	g47004	Aa_G198070.h1.t1
OG0002404	g13487	Aa_G568390.h1.t1
OG0002405	g47035	Aa_G367880.h1.t1
OG0002406	g24507, g17719	Aa_G361090.h1.t1
OG0002407	g13423	Aa_G31220.h1.t1, Aa_G96550.h1.t1
OG0002408	g31738	Aa_G535520.h1.t1
OG0002408	g50020	Aa_G428870.h1.t1
OG0002409	g44561	Aa_G342700.h1.t1
OG0002409	g31746	Aa_G583590.h1.t1
OG0002410	g46134	Aa_G639700.h2.t1, Aa_G639700.h1.t1
OG0002411	g31801, g27417	Aa_G308390.h1.t1
OG0002412	g44504	Aa_G64520.h1.t1
OG0002413	g19573	Aa_G318850.h1.t1
OG0002414	g32193	Aa_G596280.h1.t1
OG0002415	g44818	Aa_G159590.h1.t1
OG0002416	g44816	Aa_G159600.h1.t1
OG0002416	g32187	Aa_G283480.h1.t1
OG0002417	g32164	Aa_G92140.h1.t1
OG0002417	g45780	Aa_G733640.h1.t1
OG0002418	g50680	Aa_G305300.h1.t1
OG0002418	g46930	Aa_G317480.h1.t1
OG0002419	g13851	Aa_G815050.h1.t1
OG0002420	g16790, g44966	Aa_G668820.h1.t1
OG0002420	g40782	Aa_G234520.h1.t1
OG0002421	g31172	Aa_G19030.h1.t1
OG0002421	g41111	Aa_G365910.h1.t1
OG0002422	g10444	Aa_G34270.h1.t1
OG0002423	g31408, g10544	Aa_G292100.h1.t1
OG0002424	g25025	Aa_G469890.h1.t1
OG0002425	g43975	Aa_G385520.h1.t1
OG0002425	g24183	Aa_G339990.h1.t1
OG0002426	g10983	Aa_G239380.h1.t1
OG0002426	g47299	Aa_G78150.h1.t1
OG0002427	g51401	Aa_G438720.h1.t1
OG0002429	g47204	Aa_G96140.h1.t1
OG0002429	g10869	Aa_G162900.h1.t1
OG0002430	g40368	Aa_G39350.h1.t1
OG0002430	g23892	Aa_G537920.h1.t1
OG0002431	g22696	Aa_G352020.h1.t1, Aa_G50990.h1.t1
OG0002432	g40392	Aa_G429190.h1.t1, Aa_G35140.h1.t1
OG0002433	g23913	Aa_G448110.h1.t1
OG0002434	g40405	Aa_G522440.h1.t1
OG0002434	g47428	Aa_G42780.h1.t1
OG0002435	g25652	Aa_G300090.h1.t1
OG0002435	g47424	Aa_G419730.h1.t1
OG0002436	g40417	Aa_G337980.h1.t1
OG0002436	g17304, g47415	Aa_G517300.h1.t1
OG0002437	g24077	Aa_G204050.h1.t1
OG0002438	g24039	Aa_G621190.h1.t1
OG0002438	g24040	Aa_G580400.h1.t1
OG0002439	g23841, g17220	Aa_G135710.h1.t1
OG0002440	g47365	Aa_G41970.h1.t1, Aa_G37580.h1.t1
OG0002441	g24004, g47380	Aa_G398670.h1.t1
OG0002442	g23996	Aa_G573550.h1.t1
OG0002443	g18712	Aa_G161200.h1.t1, Aa_G49590.h1.t1
OG0002446	g18688	Aa_G57890.h1.t1
OG0002446	g52276	Aa_G15830.h1.t1
OG0002447	g38217	Aa_G284460.h1.t1
OG0002448	g36284, g42124	Aa_G41910.h1.t1, Aa_G418020.h1.t1
OG0002449	g18973	Aa_G345810.h1.t1
OG0002449	g36510	Aa_G225010.h1.t1
OG0002450	g37407	Aa_G145760.h1.t1
OG0002453	g2302	Aa_G277040.h1.t1
OG0002454	g2363	Aa_G14190.h1.t1
OG0002454	g38055	Aa_G531160.h1.t1
OG0002455	g19203	Aa_G14210.h1.t1
OG0002456	g19239, g2411	Aa_G153460.h1.t1
OG0002457	g22952, g6031	Aa_G197410.h1.t1
OG0002458	g22917	Aa_G342300.h1.t1
OG0002459	g47976	Aa_G223220.h1.t1
OG0002460	g47738	Aa_G185870.h1.t1, Aa_G156060.h1.t1
OG0002461	g23494, g13893	Aa_G64100.h1.t1
OG0002462	g51922	Aa_G144100.h1.t1
OG0002463	g51717	Aa_G730580.h1.t1
OG0002464	g40383	Aa_G409260.h1.t1
OG0002465	g22880	Aa_G214240.h1.t1
OG0002466	g32733	Aa_G27130.h1.t1
OG0002467	g40397	Aa_G35080.h1.t1
OG0002467	g47436	Aa_G585470.h1.t1
OG0002468	g10099	Aa_G141000.h1.t1
OG0002468	g7678	Aa_G205860.h1.t1
OG0002469	g5906, g13852	Aa_G422330.h1.t1
OG0002470	g37550	Aa_G288440.h1.t1
OG0002471	g37544, g13749	Aa_G218610.h1.t1
OG0002471	g38231	Aa_G479540.h1.t1
OG0002472	g52120	Aa_G125290.h1.t1
OG0002474	g12594	Aa_G65460.h1.t1
OG0002474	g12813	Aa_G4290.h1.t1
OG0002476	g12985	Aa_G271800.h1.t1
OG0002477	g5828	Aa_G54090.h1.t1
OG0002477	g7527	Aa_G24210.h1.t1
OG0002478	g12336	Aa_G333230.h1.t1
OG0002480	g7200	Aa_G472280.h1.t1, Aa_G237740.h1.t1
OG0002481	g12201	Aa_G237560.h1.t1
OG0002481	g36682	Aa_G610390.h1.t1
OG0002482	g17662	Aa_G327210.h1.t1
OG0002483	g47148	Aa_G380690.h1.t1
OG0002484	g24365, g24374	Aa_G380640.h1.t1, Aa_G380650.h1.t1
OG0002484	g12059	Aa_G56920.h1.t1
OG0002485	g53265	Aa_G308810.h1.t1, Aa_G308800.h1.t1
OG0002486	g44986	Aa_G211000.h1.t1
OG0002487	g26194, g18056	Aa_G596140.h1.t1
OG0002489	g41455	Aa_G126170.h1.t1
OG0002490	g2484	Aa_G122610.h1.t1
OG0002492	g44032	Aa_G656780.h1.t1
OG0002492	g41055	Aa_G160940.h1.t1
OG0002493	g31222	Aa_G463970.h1.t1
OG0002494	g27111	Aa_G318550.h1.t1
OG0002494	g27116	Aa_G318540.h1.t1
OG0002495	g40850, g31403	Aa_G292000.h1.t1
OG0002496	g10556	Aa_G25630.h1.t1
OG0002496	g31414	Aa_G26540.h1.t1
OG0002497	g49876	Aa_G109550.h1.t1
OG0002497	g10630	Aa_G309810.h1.t1
OG0002498	g31490	Aa_G585780.h1.t1
OG0002499	g49906	Aa_G484300.h1.t1
OG0002500	g31548	Aa_G242480.h1.t1
OG0002500	g10747	Aa_G609710.h1.t1
OG0002501	g31615, g49947	Aa_G525760.h1.t1
OG0002502	g31691	Aa_G496810.h1.t1
OG0002503	g32025	Aa_G292640.h1.t1
OG0002504	g32109	Aa_G62430.h1.t1
OG0002505	g50300	Aa_G62280.h1.t1
OG0002506	g45829	Aa_G221870.h1.t1
OG0002506	g50321	Aa_G281140.h1.t1
OG0002507	g31324	Aa_G469930.h1.t1
OG0002507	g40940	Aa_G178960.h1.t1, Aa_G35690.h1.t1
OG0002508	g18338	Aa_G138020.h1.t1
OG0002510	g22822	Aa_G561540.h1.t1
OG0002511	g47985	Aa_G688260.h1.t1
OG0002511	g38445	Aa_G288640.h1.t1
OG0002512	g22853	Aa_G748010.h1.t1
OG0002512	g50951	Aa_G253030.h1.t1
OG0002513	g23023	Aa_G395550.h1.t1, Aa_G452780.h1.t1
OG0002514	g23119	Aa_G570520.h1.t1
OG0002515	g16915	Aa_G480940.h1.t1
OG0002516	g38334	Aa_G87320.h1.t1, Aa_G87310.h1.t1
OG0002516	g16934	Aa_G315010.h1.t1
OG0002518	g44707	Aa_G189560.h1.t1
OG0002518	g32082, g50311	Aa_G274010.h1.t1
OG0002519	g23623	Aa_G141570.h1.t1
OG0002523	g25869	Aa_G61170.h1.t1
OG0002526	g19742, g19720	Aa_G321710.h1.t1
OG0002530	g36887	Aa_G166780.h1.t1
OG0002531	g53656, g22666	Aa_G137960.h1.t1
OG0002532	g28745, g2870	Aa_G28200.h1.t1
OG0002533	g19424	Aa_G737490.h1.t1
OG0002533	g296	Aa_G75190.h1.t1
OG0002534	g2753, g19492	Aa_G492020.h1.t1, Aa_G492030.h1.t1
OG0002535	g1509, g1511	Aa_G449000.h1.t1, Aa_G115560.h1.t1
OG0002536	g12771	Aa_G267820.h1.t1
OG0002536	g4991	Aa_G192850.h1.t1
OG0002537	g17970	Aa_G162310.h1.t1
OG0002538	g29196, g29197	Aa_G539800.h1.t1
OG0002539	g45711	Aa_G356640.h1.t1, Aa_G600910.h1.t1
OG0002539	g5077	Aa_G57380.h1.t1
OG0002540	g7894	Aa_G71610.h1.t1
OG0002541	g5155	Aa_G8100.h1.t1
OG0002542	g5184	Aa_G258030.h1.t1
OG0002542	g7934	Aa_G451730.h1.t1
OG0002543	g2348	Aa_G13930.h1.t1
OG0002545	g234	Aa_G51470.h1.t1
OG0002546	g267	Aa_G76140.h1.t1
OG0002546	g5471	Aa_G130450.h1.t1
OG0002547	g39624, g25489	Aa_G189040.h1.t1, Aa_G135060.h1.t1
OG0002548	g39645	Aa_G187820.h1.t1
OG0002549	g49575	Aa_G257630.h1.t1
OG0002550	g31053	Aa_G275890.h1.t1
OG0002551	g51225	Aa_G359790.h1.t1
OG0002551	g31016	Aa_G22550.h1.t1
OG0002552	g39798	Aa_G243620.h1.t1
OG0002552	g30912	Aa_G235370.h1.t1
OG0002553	g51336	Aa_G363570.h1.t1
OG0002553	g49459	Aa_G38930.h1.t1
OG0002554	g30857	Aa_G400440.h1.t1
OG0002555	g39683	Aa_G89500.h1.t1
OG0002556	g32316	Aa_G48090.h1.t1, Aa_G48060.h1.t1
OG0002557	g32325, g50461	Aa_G329870.h1.t1
OG0002559	g2566	Aa_G466830.h1.t1
OG0002560	g9718	Aa_G37450.h1.t1
OG0002561	g29545	Aa_G21030.h1.t1, Aa_G309200.h1.t1
OG0002562	g19427	Aa_G75140.h1.t1, Aa_G588190.h1.t1
OG0002563	g360	Aa_G13480.h1.t1
OG0002564	g5564	Aa_G564970.h1.t1
OG0002565	g407	Aa_G583380.h1.t1
OG0002566	g534	Aa_G46020.h1.t1
OG0002566	g19410	Aa_G102520.h1.t1
OG0002567	g2988	Aa_G280090.h1.t1
OG0002567	g28816	Aa_G362150.h1.t1
OG0002568	g28806	Aa_G234790.h1.t1
OG0002569	g1300	Aa_G33950.h1.t1
OG0002569	g2913	Aa_G699380.h1.t1
OG0002570	g2806	Aa_G88970.h1.t1
OG0002570	g1227	Aa_G246270.h1.t1
OG0002571	g1161, g44298	Aa_G344300.h1.t1
OG0002572	g54325, g46597	Aa_G484970.h1.t1
OG0002574	g28642	Aa_G607620.h1.t1
OG0002574	g17149	Aa_G760.h1.t1
OG0002575	g39328	Aa_G227090.h1.t1
OG0002577	g39375	Aa_G48300.h1.t1
OG0002578	g17911, g17918, g17900, g17896	Aa_G178120.h1.t1, Aa_G496380.h1.t1, Aa_G506220.h1.t1
OG0002580	g5581	Aa_G566920.h1.t1
OG0002581	g29712	Aa_G261310.h1.t1
OG0002581	g18990	Aa_G461250.h1.t1
OG0002582	g13104	Aa_G137140.h1.t1
OG0002582	g5667	Aa_G331850.h1.t1
OG0002583	g5700	Aa_G419550.h1.t1, Aa_G140750.h1.t1
OG0002584	g13008, g7526	Aa_G24190.h1.t1
OG0002585	g10526	Aa_G120890.h1.t1
OG0002586	g27306	Aa_G317070.h1.t1
OG0002586	g46592	Aa_G497450.h1.t1, Aa_G85640.h1.t1
OG0002587	g46480	Aa_G859400.h1.t1
OG0002588	g44395	Aa_G111040.h1.t1
OG0002588	g31956, g27479	Aa_G33350.h1.t1
OG0002589	g46270, g44400	Aa_G111180.h1.t1
OG0002590	g46264	Aa_G315420.h1.t1
OG0002590	g31924	Aa_G148860.h1.t1
OG0002591	g31917	Aa_G436670.h1.t1
OG0002591	g44413	Aa_G87870.h1.t1
OG0002592	g50127	Aa_G393460.h1.t1
OG0002592	g27452	Aa_G410810.h1.t1
OG0002593	g10125	Aa_G622180.h1.t1
OG0002594	g11152	Aa_G2570.h1.t1, Aa_G2580.h1.t1
OG0002595	g27991	Aa_G205610.h1.t1
OG0002596	g36685	Aa_G118300.h1.t1
OG0002596	g7192	Aa_G237640.h1.t1
OG0002597	g36684	Aa_G118320.h1.t1
OG0002597	g12202	Aa_G237600.h1.t1
OG0002598	g54354, g27997, g36680	Aa_G751080.h1.t1
OG0002599	g36668	Aa_G127800.h1.t1
OG0002600	g51576	Aa_G100050.h1.t1
OG0002600	g37163	Aa_G282240.h1.t1, Aa_G282240.h2.t1
OG0002601	g6510	Aa_G92480.h1.t1
OG0002602	g47067, g17714	Aa_G562250.h1.t1
OG0002603	g24438	Aa_G608520.h1.t1
OG0002604	g46140	Aa_G283750.h1.t1
OG0002604	g46129	Aa_G510540.h1.t1, Aa_G449890.h1.t1
OG0002605	g27606	Aa_G442270.h1.t1
OG0002605	g44836, g41526	Aa_G110400.h1.t1
OG0002606	g44820	Aa_G159540.h1.t1
OG0002606	g32191	Aa_G596320.h1.t1
OG0002608	g11021, g40519	Aa_G362970.h1.t1
OG0002609	g11972	Aa_G240020.h1.t1
OG0002609	g6824	Aa_G362400.h1.t1
OG0002610	g28061	Aa_G181040.h1.t1
OG0002611	g11906	Aa_G250620.h1.t1
OG0002611	g36468	Aa_G563580.h1.t1
OG0002612	g13237	Aa_G467660.h1.t1, Aa_G471360.h1.t1
OG0002612	g54278	Aa_G173460.h1.t1
OG0002613	g12140, g7079	Aa_G471380.h1.t1
OG0002614	g7080	Aa_G471390.h1.t1
OG0002616	g2514, g2515	Aa_G434320.h1.t1
OG0002617	g13683	Aa_G395360.h1.t1, Aa_G395400.h1.t1
OG0002618	g14206	Aa_G110320.h1.t1
OG0002619	g14102	Aa_G313510.h1.t1, Aa_G695260.h1.t1
OG0002620	g23034	Aa_G472290.h1.t1, Aa_G180350.h1.t1
OG0002621	g23026, g47904	Aa_G723200.h1.t1
OG0002623	g43177	Aa_G495040.h1.t1
OG0002624	g18758	Aa_G163640.h1.t1, Aa_G13240.h1.t1
OG0002625	g1861	Aa_G81050.h1.t1
OG0002626	g1959	Aa_G132730.h1.t1
OG0002626	g52133	Aa_G551990.h1.t1
OG0002627	g37438	Aa_G230740.h1.t1
OG0002628	g2126	Aa_G494420.h1.t1
OG0002628	g37440	Aa_G210120.h1.t1
OG0002629	g37398	Aa_G546870.h1.t1
OG0002630	g51882	Aa_G560420.h1.t1
OG0002632	g11754	Aa_G87580.h1.t1, Aa_G87570.h1.t1, Aa_G293300.h1.t1
OG0002633	g51674	Aa_G115320.h1.t1
OG0002633	g2324	Aa_G582260.h1.t1
OG0002634	g23612	Aa_G212590.h1.t1
OG0002635	g46863	Aa_G44170.h1.t1
OG0002636	g44918	Aa_G685650.h1.t1
OG0002637	g13899	Aa_G726610.h1.t1
OG0002638	g37321	Aa_G461900.h1.t1
OG0002639	g32224	Aa_G431880.h1.t1
OG0002641	g38544	Aa_G314660.h1.t1
OG0002642	g22693	Aa_G351950.h1.t1
OG0002642	g50872	Aa_G287860.h1.t1
OG0002643	g40315	Aa_G488650.h1.t1, Aa_G380500.h1.t1
OG0002644	g13833	Aa_G601330.h1.t1
OG0002644	g23576	Aa_G442820.h1.t1
OG0002647	g7802	Aa_G185590.h1.t1
OG0002649	g13037, g12404	Aa_G403710.h1.t1
OG0002650	g13044	Aa_G403590.h1.t1, Aa_G403570.h1.t1, Aa_G403580.h1.t1
OG0002651	g12317, g7368	Aa_G397590.h1.t1
OG0002652	g7260	Aa_G378980.h1.t1
OG0002652	g7259	Aa_G378970.h1.t1
OG0002653	g28101	Aa_G110620.h1.t1
OG0002653	g12025	Aa_G501330.h1.t1
OG0002654	g22810	Aa_G95180.h1.t1, Aa_G389590.h1.t1
OG0002656	g6554, g11770	Aa_G423890.h1.t1
OG0002657	g13450	Aa_G408700.h1.t1
OG0002658	g6593	Aa_G326770.h1.t1
OG0002660	g18119	Aa_G505930.h1.t1
OG0002661	g10179	Aa_G90290.h1.t1
OG0002662	g39513, g25421	Aa_G46840.h1.t1
OG0002663	g26904	Aa_G617740.h1.t1
OG0002665	g31205	Aa_G161030.h1.t1
OG0002666	g31236	Aa_G171380.h1.t1
