Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0000018	g16469, g34439, g48986, g3743, g49012, g26519, g30022, g23502, g4849, g25360, g26719, g25294, g43878, g34841, g33366, g21491, g33152, g34250, g53691, g26369, g29897, g3993, g17778, g52768, g49067, g39618, g42096, g6426, g52467, g14846, g30011, g7406, g27683, g24833, g33167, g14319, g53830, g54018, g33615, g33160, g52739, g50728, g34848, g24900, g50695, g30162, g42481, g3368, g39190, g8013, g30224, g41267, g2551, g22227, g35899, g43953, g3470, g52664, g14471, g26335	Aa_G290190.h1.t1
OG0000020	g32689, g14805, g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581	Aa_G135640.h1.t1
OG0000022	g5030	Aa_G447870.h1.t1
OG0000022	g40881, g40949, g40951, g40859, g40857, g6403, g40794	Aa_G357190.h1.t1
OG0000022	g13269	Aa_G97120.h1.t1
OG0000023	g34756, g6328, g34729, g21395	Aa_G297380.h1.t1
OG0000024	g22601	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	g43469	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000024	g2269	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	g28294	Aa_G230140.h1.t1
OG0000025	g14578, g6312, g29188, g6804, g23598, g43477, g7900, g49409, g28254, g25431, g36898, g44075, g2977, g33118, g17280, g46637, g25246, g50791, g4347, g33392, g34282, g46330, g15615, g19145, g14034, g6168, g23908, g35673, g4585, g51014, g14556, g39311, g34854, g31342, g21114, g35266, g14035, g52008, g46329, g17019, g23909, g34283, g6803, g6169, g35674, g1554, g46225, g9915, g31760, g25002, g4157, g41992, g4231, g43283, g2973, g25191, g33391, g33119, g51053, g2954, g3058, g11709, g27047, g32656, g47798, g43478, g23597, g14579, g3360, g43692, g7899, g4344, g49586, g31803, g4274, g46948, g14806, g32688	Aa_G387540.h1.t1
OG0000026	g28599	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	g48943	Aa_G597290.h1.t1
OG0000027	g40374	Aa_G597270.h1.t1
OG0000027	g24643, g23907	Aa_G847400.h1.t1
OG0000028	g972, g12012	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	g24597, g39418	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000030	g13799, g13797	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000032	g49592, g25930, g51375	Aa_G209100.h1.t1
OG0000034	g23911	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	g24014	Aa_G317970.h1.t1, Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1, Aa_G58920.h1.t1
OG0000034	g23912	Aa_G191690.h1.t1
OG0000034	g23905	Aa_G92800.h1.t1, Aa_G474070.h1.t1
OG0000035	g42054, g13304, g42055	Aa_G9270.h1.t1
OG0000038	g41306	Aa_G117940.h1.t1
