Orthogroup	Cochlearia_excelsa	Conringia_planisiliqua
OG0002566	g534	CP2_g48351_DN3_SP8_c.t1
OG0002566	g19410	CP3_g14448_DN3_SP8_c.t1
OG0002567	g2988	CP3_g14887_DN3_SP2_c.t1
OG0002567	g28816	CP8_g54059_DN3_SP6_c.t1
OG0002568	g28806	CP8_g54046_DN3_SP6_c.t1
OG0002569	g1300	CP8_g54024_DN3_SP8_c.t1
OG0002569	g2913	CP3_g14849_DN3_SP3_c.t1
OG0002570	g2806	CP3_g14695_DN3_SP8_c.t1
OG0002570	g1227	CP8_g53893_DN3_SP7_c.t1
OG0002571	g1161, g44298	CP8_g53835_DN3_SP0_c.t1
OG0002572	g54325, g46597	CP9_g29712_DN3_SP8_c.t1
OG0002574	g28642	CP8_g53740_DN3_SP8_c.t1
OG0002574	g17149	CP19_g18057_DN3_SP8_c.t1
OG0002577	g39375	CP8_g53519_DN3_SP0_c.t1
OG0002578	g17911, g17918, g17900, g17896	CP13_g19844_DN3_SP0_c.t1
OG0002581	g29712	CP11_g33330_DN3_SP0_c.t1
OG0002581	g18990	CP3_g13614_DN2_SP0_c.t1
OG0002582	g13104	CP10_g43025_DN3_SP8_c.t1
OG0002582	g5667	CP11_g33418_DN3_SP8_c.t1
OG0002583	g5700	CP10_g42988_DN3_SP8_c.t1
OG0002584	g7526	CP10_g42857_DN3_SP8_c.t1
OG0002586	g27306	CP7_g46179_DN3_SP1_c.t1
OG0002586	g46592	CP9_g29689_DN3_SP2_c.t1
OG0002587	g46480	CP9_g29520_DN3_SP0_c.t1
OG0002588	g44395	CP9_g29297_DN3_SP8_c.t1
OG0002588	g31956, g27479	CP7_g45674_DN3_SP8_c.t1
OG0002589	g46270, g44400	CP9_g29283_DN3_SP8_c.t1
OG0002590	g46264	CP9_g29269_DN3_SP8_c.t1
OG0002590	g31924	CP7_g45711_DN3_SP8_c.t1
OG0002591	g31917	CP7_g45730_DN3_SP0_c.t1
OG0002591	g44413	CP9_g29253_DN3_SP0_c.t1
OG0002592	g50127	CP7_g45740_DN3_SP7_c.t1
OG0002592	g27452	CP9_g29248_DN3_SP0_c.t1, CP9_g29242_DN3_SP8_c.t1
OG0002593	g10125	CP2_g48575_DN2_SP0_c.t1
OG0002594	g11152	CP16_g55148_DN1_SP0_c.t1
OG0002595	g27991	CP7_g46463_DN2_SP0_c.t1
OG0002596	g36685	CP7_g46331_DN3_SP8_c.t1
OG0002596	g7192	CP10_g43371_DN3_SP8_c.t1
OG0002597	g36684	CP7_g46329_DN3_SP0_c.t1
OG0002597	g12202	CP10_g43374_DN3_SP0_c.t1
OG0002598	g54354, g27997, g36680	CP7_g46316_DN3_SP0_c.t1, CP7_g46315_DN3_SP2_c.t1, CP7_g46313_DN3_SP2_c.t1
OG0002600	g51576	CP3_g14085_DN1_SP0_c.t1
OG0002600	g37163	CP4_g25115_DN2_SP0_c.t1
OG0002601	g6510	CP12_g30750_DN3_SP8_c.t1
OG0002602	g17714	CP6_g7452_DN3_SP8_c.t1
OG0002603	g24438	CP6_g7337_DN3_SP0_c.t1
OG0002604	g46140	CP9_g29075_DN3_SP0_c.t1
OG0002604	g46129	CP20_g4135_DN1_SP0_c.t1
OG0002605	g27606	CP7_g45233_DN3_SP3_c.t1
OG0002605	g44836, g41526	CP9_g28434_DN3_SP8_c.t1
OG0002606	g32191	CP7_g45243_DN3_SP0_c.t1
OG0002607	g25942	CP14_g23423_DN3_SP8_c.t1
OG0002608	g11021, g40519	CP13_g20088_DN2_SP0_c.t1, CP6_g6833_DN3_SP0_c.t1
OG0002609	g11972	CP12_g30256_DN3_SP8_c.t1
OG0002609	g6824	CP1_g38144_DN3_SP8_c.t1
OG0002610	g54161	CP1_g38096_DN3_SP6_c.t1
OG0002611	g11906	CP12_g30410_DN3_SP2_c.t1
OG0002611	g36468	CP1_g38034_DN3_SP4_c.t1
OG0002612	g13237	CP12_g29885_DN3_SP8_c.t1
OG0002612	g54278	CP7_g46206_DN3_SP6_c.t1
OG0002613	g12140, g7079	CP12_g29883_DN3_SP5_c.t1
OG0002614	g7080	CP12_g29882_DN3_SP7_c.t1
OG0002616	g2514, g2515	CP3_g14275_DN2_SP0_c.t1
OG0002617	g13683	CP15_g34708_DN3_SP8_c.t1, CP15_g34737_DN3_SP0_c.t1
OG0002618	g14206	CP10_g43988_DN3_SP0_c.t1
OG0002618	g23081	CP5_g556_DN3_SP0_c.t1
OG0002619	g14102	CP10_g43914_DN2_SP0_c.t1, CP12_g30011_DN2_SP0_c.t1
OG0002621	g23026, g47904	CP5_g502_DN3_SP8_c.t1
OG0002622	g25648, g25638	CP11_g31780_DN3_SP0_c.t1
OG0002623	g40360, g43177	CP20_g4331_DN3_SP1_c.t1
OG0002624	g18758	CP3_g13093_DN3_SP7_c.t1, CP4_g23913_DN3_SP8_c.t1
OG0002625	g1861	CP3_g13254_DN3_SP8_c.t1
OG0002626	g1959	CP3_g13407_DN3_SP8_c.t1
OG0002626	g52133	CP4_g24342_DN3_SP7_c.t1
OG0002627	g37438	CP4_g24506_DN3_SP0_c.t1
OG0002628	g37440	CP4_g24494_DN1_SP0_c.t1
OG0002629	g37398	CP4_g24559_DN3_SP8_c.t1
OG0002630	g2167	CP3_g13736_DN3_SP8_c.t1
OG0002630	g51882	CP4_g24681_DN3_SP8_c.t1
OG0002632	g11754	CP12_g30722_DN3_SP5_c.t1, CP1_g38471_DN3_SP1_c.t1
OG0002633	g51674	CP4_g24942_DN3_SP3_c.t1
OG0002633	g2324	CP3_g13968_DN3_SP3_c.t1
OG0002634	g23612	CP5_g1229_DN3_SP8_c.t1
OG0002635	g11650	CP12_g31130_DN2_SP0_c.t1
OG0002635	g46863	CP5_g2117_DN3_SP0_c.t1
OG0002636	g44918	CP9_g28267_DN3_SP3_c.t1
OG0002637	g23470	CP5_g1057_DN3_SP7_c.t1
OG0002637	g13899	CP10_g43560_DN3_SP6_c.t1
OG0002638	g37321	CP4_g24770_DN3_SP2_c.t1
OG0002639	g32224	CP7_g45202_DN3_SP8_c.t1
OG0002641	g38544	CP16_g54751_DN3_SP0_c.t1
OG0002642	g22693	CP5_g100_DN3_SP4_c.t1
OG0002642	g50872	CP16_g54783_DN3_SP7_c.t1
OG0002643	g40315	CP20_g4223_DN3_SP4_c.t1
OG0002644	g13833	CP12_g29802_DN3_SP8_c.t1
OG0002644	g23576	CP5_g1190_DN3_SP0_c.t1
OG0002645	g11185, g18831	CP3_g13354_DN3_SP3_c.t1
OG0002647	g7802	CP8_g54516_DN3_SP3_c.t1, CP10_g42390_DN3_SP3_c.t1
OG0002649	g13037, g12404	CP10_g42895_DN3_SP8_c.t1
OG0002650	g13044	CP10_g42905_DN3_SP3_c.t1
OG0002651	g12317, g7368	CP10_g43124_DN3_SP8_c.t1
OG0002652	g7260	CP10_g43267_DN3_SP3_c.t1
OG0002652	g7259	CP10_g43268_DN3_SP6_c.t1
OG0002653	g12025	CP12_g30132_DN3_SP8_c.t1
OG0002654	g22810	CP16_g54915_DN3_SP0_c.t1, CP5_g236_DN3_SP7_c.t1
OG0002655	g10370	CP13_g19134_DN3_SP5_c.t1
OG0002657	g47052	CP6_g7479_DN3_SP0_c.t1
OG0002658	g6593	CP12_g30602_DN3_SP8_c.t1
OG0002658	g11822, g13418	CP12_g30600_DN3_SP5_c.t1
OG0002660	g18119	CP5_g1735_DN3_SP2_c.t1
OG0002660	g45005	CP9_g28171_DN3_SP2_c.t1
OG0002661	g10179	CP2_g48666_DN3_SP7_c.t1
OG0002662	g39513, g25421	CP11_g32157_DN3_SP6_c.t1, CP1_g36533_DN3_SP6_c.t1
OG0002663	g26904	CP16_g55223_DN3_SP0_c.t1
OG0002665	g41081, g31205	CP2_g49668_DN3_SP0_c.t1
OG0002666	g31236	CP1_g37295_DN3_SP0_c.t1
OG0002666	g44057	CP2_g49404_DN3_SP8_c.t1
OG0002667	g41007	CP2_g49224_DN3_SP8_c.t1
OG0002669	g27169	CP1_g37478_DN3_SP0_c.t1
OG0002670	g10662	CP13_g19501_DN3_SP8_c.t1
OG0002671	g31497	CP1_g37712_DN3_SP0_c.t1, CP1_g37710_DN2_SP0_c.t1
OG0002672	g31563	CP1_g37801_DN2_SP0_c.t1
OG0002673	g27296, g27295	CP1_g37822_DN3_SP2_c.t1
OG0002674	g31681	CP7_g46042_DN3_SP8_c.t1
OG0002674	g46457	CP9_g29488_DN3_SP6_c.t1
OG0002675	g44606	CP9_g28878_DN3_SP8_c.t1
OG0002675	g31698	CP7_g46010_DN3_SP8_c.t1
OG0002677	g18380	CP5_g9_DN3_SP4_c.t1
OG0002679	g22750, g18302	CP5_g177_DN3_SP8_c.t1
OG0002680	g22819	CP5_g244_DN3_SP8_c.t1
OG0002681	g23076	CP5_g550_DN3_SP6_c.t1
OG0002682	g23085	CP5_g561_DN3_SP8_c.t1
OG0002683	g23117	CP5_g588_DN3_SP0_c.t1
OG0002683	g14285	CP17_g4848_DN2_SP0_c.t1
OG0002684	g47816	CP16_g55517_DN3_SP5_c.t1
OG0002685	g53184	CP18_g12567_DN3_SP7_c.t1
OG0002685	g23220	CP5_g715_DN3_SP6_c.t1
OG0002686	g18177, g18178, g18175, g18176, g18169, g18172, g18180, g18171, g18174	CP5_g639_DN3_SP0_c.t1
OG0002687	g23153	CP15_g34743_DN3_SP1_c.t1
OG0002688	g38343	CP16_g55226_DN3_SP6_c.t1
OG0002688	g23298	CP5_g814_DN3_SP3_c.t1
OG0002690	g27623	CP7_g45137_DN3_SP0_c.t1, CP7_g45162_DN3_SP0_c.t1
OG0002692	g9342, g52366, g30686	CP15_g34927_DN2_SP0_c.t1
OG0002695	g7564	CP10_g42795_DN3_SP0_c.t1, CP10_g42796_DN3_SP0_c.t1
OG0002697	g2630	CP3_g14445_DN3_SP0_c.t1
OG0002699	g1314	CP8_g53125_DN3_SP2_c.t1, CP8_g53126_DN3_SP1_c.t1
OG0002700	g41181, g41197, g11665	CP8_g53166_DN3_SP0_c.t1
OG0002705	g23646	CP5_g1285_DN3_SP0_c.t1
OG0002706	g4918, g4965	CP11_g32198_DN3_SP0_c.t1
OG0002707	g13706	CP10_g43951_DN3_SP3_c.t1
OG0002707	g14198	CP10_g43950_DN3_SP6_c.t1
OG0002708	g45676	CP11_g32472_DN3_SP1_c.t1
OG0002708	g7925	CP16_g55004_DN3_SP0_c.t1
OG0002711	g216	CP2_g47839_DN3_SP8_c.t1
OG0002713	g5485	CP11_g33020_DN3_SP8_c.t1
OG0002714	g18597	CP2_g48158_DN3_SP5_c.t1
OG0002715	g37802	CP4_g26027_DN3_SP6_c.t1
OG0002715	g40095	CP1_g37107_DN3_SP6_c.t1
OG0002716	g13631	CP4_g26016_DN3_SP8_c.t1
OG0002717	g30954	CP1_g36874_DN3_SP8_c.t1
OG0002718	g30875	CP1_g36625_DN3_SP7_c.t1
OG0002720	g23761	CP19_g18094_DN3_SP5_c.t1, CP19_g18095_DN3_SP0_c.t1
OG0002721	g36243	CP1_g38434_DN3_SP2_c.t1
OG0002722	g28133, g28132, g28131, g29183	CP1_g38501_DN2_SP0_c.t1, CP1_g38499_DN3_SP0_c.t1, CP7_g44682_DN2_SP0_c.t1
OG0002723	g51456	CP4_g25282_DN3_SP7_c.t1
OG0002723	g32446	CP7_g44886_DN3_SP7_c.t1
OG0002724	g51497	CP4_g25234_DN3_SP8_c.t1
OG0002725	g1775, g1320	CP3_g13176_DN3_SP8_c.t1
OG0002726	g10060	CP5_g773_DN3_SP1_c.t1
OG0002727	g738	CP3_g15930_DN3_SP6_c.t1
OG0002728	g834	CP3_g14901_DN2_SP0_c.t1
OG0002729	g854	CP8_g54047_DN1_SP0_c.t1
OG0002731	g1042	CP8_g53585_DN3_SP6_c.t1
OG0002731	g23690	CP19_g17985_DN3_SP3_c.t1
OG0002732	g2635	CP3_g14455_DN3_SP2_c.t1
OG0002733	g45475	CP11_g33181_DN3_SP8_c.t1
OG0002733	g370	CP2_g48081_DN3_SP8_c.t1
OG0002735	g51466	CP4_g24691_DN3_SP8_c.t1
OG0002737	g13485	CP11_g33531_DN3_SP0_c.t1, CP2_g49166_DN3_SP0_c.t1
OG0002737	g5721	CP11_g33527_DN3_SP3_c.t1
OG0002738	g23564	CP5_g1174_DN3_SP1_c.t1
OG0002739	g5802	CP5_g2261_DN3_SP0_c.t1
OG0002740	g7525, g13009	CP10_g42858_DN3_SP8_c.t1, CP11_g33724_DN3_SP5_c.t1
OG0002741	g27351	CP7_g46067_DN3_SP7_c.t1
OG0002742	g13734	CP10_g43811_DN3_SP8_c.t1
OG0002744	g7203	CP10_g43356_DN3_SP8_c.t1
OG0002744	g27988	CP7_g46350_DN3_SP8_c.t1
OG0002745	g13225	CP10_g43450_DN3_SP1_c.t1
OG0002746	g7108	CP10_g43489_DN3_SP5_c.t1
OG0002746	g36608	CP7_g46236_DN3_SP7_c.t1
OG0002747	g23250, g11464	CP3_g15261_DN3_SP6_c.t1
OG0002748	g47515, g23827	CP19_g18190_DN3_SP7_c.t1
OG0002749	g24608	CP6_g7656_DN3_SP8_c.t1
OG0002750	g18055	CP20_g3937_DN3_SP0_c.t1, CP20_g4084_DN3_SP1_c.t1, CP9_g28127_DN3_SP8_c.t1
OG0002751	g47094	CP6_g7376_DN3_SP0_c.t1, CP6_g7375_DN3_SP0_c.t1
OG0002752	g6636	CP12_g30526_DN3_SP8_c.t1
OG0002753	g44975	CP9_g28200_DN3_SP0_c.t1, CP9_g28507_DN3_SP0_c.t1
OG0002754	g24408	CP6_g7286_DN3_SP7_c.t1
OG0002754	g7001	CP12_g30012_DN3_SP8_c.t1
OG0002755	g46080	CP9_g28998_DN3_SP7_c.t1
OG0002757	g23528	CP5_g1116_DN3_SP5_c.t1
OG0002757	g5922	CP10_g43513_DN3_SP2_c.t1
OG0002759	g28238	CP3_g13095_DN3_SP0_c.t1, CP3_g13096_DN3_SP0_c.t1
OG0002759	g40802	CP2_g48893_DN3_SP8_c.t1
OG0002761	g44723	CP9_g28593_DN3_SP7_c.t1
OG0002761	g27574	CP7_g45339_DN3_SP3_c.t1
OG0002762	g22866	CP5_g293_DN3_SP8_c.t1
OG0002763	g11880	CP12_g30462_DN3_SP7_c.t1
OG0002764	g36516	CP1_g37959_DN3_SP8_c.t1, CP12_g30477_DN3_SP4_c.t1
OG0002766	g24796	CP6_g8573_DN3_SP0_c.t1
OG0002767	g38008	CP4_g25174_DN3_SP0_c.t1
OG0002769	g17553	CP6_g7093_DN3_SP8_c.t1
OG0002770	g10867	CP13_g19749_DN3_SP8_c.t1
OG0002772	g51685	CP4_g24930_DN3_SP0_c.t1
OG0002772	g2314	CP3_g13953_DN3_SP0_c.t1
OG0002773	g17288	CP19_g18420_DN2_SP0_c.t1
OG0002774	g18409	CP13_g20089_DN3_SP1_c.t1
OG0002774	g24080	CP6_g6830_DN3_SP0_c.t1
OG0002775	g29293	CP11_g32498_DN3_SP0_c.t1
OG0002776	g37730	CP4_g23977_DN3_SP5_c.t1
OG0002776	g1757	CP3_g13144_DN3_SP1_c.t1
OG0002777	g37570	CP4_g24242_DN3_SP7_c.t1, CP3_g13358_DN3_SP6_c.t1
OG0002778	g38212, g37500	CP4_g24387_DN3_SP1_c.t1
OG0002779	g51945	CP4_g24651_DN3_SP8_c.t1
OG0002779	g2148	CP3_g13708_DN3_SP7_c.t1
OG0002780	g11285	CP3_g13849_DN3_SP6_c.t1
OG0002781	g7169	CP10_g43400_DN3_SP0_c.t1
OG0002782	g38063	CP4_g25025_DN3_SP7_c.t1
OG0002782	g19199	CP3_g14021_DN3_SP8_c.t1
OG0002784	g13572	CP12_g31486_DN3_SP0_c.t1
OG0002784	g6356	CP5_g2098_DN3_SP0_c.t1
OG0002786	g5994	CP10_g43645_DN3_SP0_c.t1
OG0002787	g50865	CP1_g36684_DN3_SP8_c.t1
OG0002788	g1508	CP13_g19622_DN3_SP3_c.t1
OG0002789	g17005	CP5_g1043_DN3_SP0_c.t1
OG0002790	g51771	CP4_g24782_DN3_SP6_c.t1
OG0002791	g22683	CP5_g91_DN3_SP8_c.t1, CP16_g54772_DN3_SP1_c.t1
OG0002792	g40245	CP7_g44371_DN3_SP0_c.t1, CP20_g3970_DN3_SP0_c.t1
OG0002793	g32748	CP7_g44477_DN3_SP7_c.t1
OG0002793	g44634	CP9_g28798_DN3_SP8_c.t1
OG0002795	g10117, g4826	CP2_g48555_DN3_SP1_c.t1
OG0002796	g7710	CP10_g42519_DN3_SP2_c.t1
OG0002797	g37522, g52132	CP4_g24348_DN3_SP8_c.t1, CP3_g13411_DN3_SP0_c.t1
OG0002799	g40686	CP13_g19780_DN3_SP8_c.t1
OG0002802	g7722	CP2_g48625_DN3_SP5_c.t1
OG0002802	g12836	CP10_g42489_DN3_SP8_c.t1
OG0002803	g12923	CP10_g42618_DN3_SP0_c.t1, CP8_g54432_DN2_SP0_c.t1
OG0002804	g12500	CP10_g42622_DN2_SP0_c.t1
OG0002804	g12924	CP8_g54436_DN1_SP0_c.t1
OG0002807	g6985	CP12_g30038_DN3_SP8_c.t1
OG0002807	g47138	CP6_g7234_DN3_SP8_c.t1
OG0002808	g11999, g6865	CP12_g30196_DN3_SP1_c.t1
OG0002810	g47048	CP6_g7500_DN2_SP0_c.t1
OG0002811	g49868	CP1_g37617_DN3_SP0_c.t1
OG0002812	g44139	CP2_g49227_DN3_SP0_c.t1
OG0002814	g31325	CP1_g37457_DN3_SP7_c.t1
OG0002815	g40886	CP2_g49006_DN3_SP8_c.t1
OG0002817	g45952	CP9_g28864_DN3_SP0_c.t1, CP9_g28868_DN3_SP0_c.t1
OG0002819	g45889	CP9_g28724_DN2_SP0_c.t1
OG0002821	g40822	CP13_g19103_DN3_SP8_c.t1
OG0002823	g22874	CP5_g307_DN3_SP1_c.t1, CP5_g306_DN3_SP0_c.t1
OG0002825	g22979	CP5_g440_DN3_SP0_c.t1
OG0002826	g51040	CP16_g55389_DN3_SP5_c.t1
OG0002826	g16922, g23274	CP5_g766_DN3_SP8_c.t1
OG0002827	g23160	CP5_g641_DN3_SP8_c.t1
OG0002828	g38359	CP16_g55172_DN3_SP8_c.t1
OG0002828	g51026	CP5_g828_DN3_SP1_c.t1
OG0002833	g23441, g47729	CP5_g1001_DN1_SP0_c.t1
OG0002835	g16489	CP13_g19165_DN3_SP0_c.t1
OG0002836	g18411, g40941	CP2_g49095_DN3_SP0_c.t1
OG0002836	g47929	CP5_g443_DN2_SP0_c.t1, CP13_g20092_DN2_SP0_c.t1
OG0002837	g28408	CP8_g53279_DN3_SP8_c.t1
OG0002840	g34161	CP72_g12651_DN1_SP0_c.t1
OG0002840	g9517	CP2_g50659_DN1_SP0_c.t1
OG0002840	g22098, g39313, g21038, g9520, g43426, g15441, g34918, g39072, g22584, g42488, g22558, g43434, g53879	CP36_g51033_DN1_SP0_c.t1
OG0002844	g25042, g25065	CP5_g1846_DN3_SP0_c.t1
OG0002845	g28985	CP11_g32220_DN3_SP7_c.t1
OG0002846	g29325	CP11_g32562_DN3_SP8_c.t1
OG0002847	g5230	CP11_g32576_DN2_SP7_c.t1, CP2_g48767_DN2_SP1_c.t1, CP2_g48765_DN2_SP0_c.t1, CP10_g42093_DN2_SP0_c.t1
OG0002848	g46257	CP13_g20275_DN3_SP0_c.t1
OG0002849	g27814, g27851	CP17_g5898_DN3_SP0_c.t1, CP6_g9702_DN3_SP0_c.t1
OG0002850	g5379	CP11_g32802_DN3_SP1_c.t1
OG0002851	g29453, g5383	CP9_g29220_DN3_SP0_c.t1
OG0002852	g4815	CP2_g48558_DN3_SP5_c.t1
OG0002853	g482	CP2_g48264_DN3_SP0_c.t1
OG0002853	g5505	CP11_g33057_DN2_SP0_c.t1
OG0002854	g40134, g40132	CP4_g26252_DN3_SP5_c.t1, CP4_g26249_DN3_SP4_c.t1
OG0002855	g40083	CP4_g25984_DN3_SP0_c.t1
OG0002856	g49556	CP1_g36975_DN3_SP8_c.t1
OG0002857	g39846	CP4_g25614_DN3_SP8_c.t1
OG0002858	g39808	CP4_g25530_DN3_SP4_c.t1
OG0002858	g26953	CP1_g36566_DN3_SP2_c.t1
OG0002859	g30910	CP1_g36560_DN3_SP0_c.t1, CP4_g25520_DN3_SP0_c.t1
OG0002860	g49468	CP1_g36591_DN3_SP1_c.t1
OG0002861	g30880	CP1_g36615_DN3_SP8_c.t1
OG0002862	g47012, g49600	CP1_g37074_DN3_SP5_c.t1
OG0002863	g17157	CP19_g18075_DN3_SP0_c.t1, CP19_g18073_DN3_SP0_c.t1
OG0002864	g50449	CP3_g13766_DN1_SP0_c.t1
OG0002865	g27726	CP7_g44736_DN3_SP2_c.t1
OG0002866	g14176, g14116, g14163, g14135, g14125, g14184, g14155, g14132, g14170, g14149, g14157, g14152, g14187, g14142, g14137, g14166, g14178, g14172, g14145	CP10_g43803_DN2_SP0_c.t1, CP7_g44716_DN3_SP2_c.t1
OG0002870	g5488	CP11_g33027_DN3_SP6_c.t1
OG0002871	g9818	CP2_g47973_DN3_SP1_c.t1
OG0002871	g19420	CP3_g14525_DN3_SP0_c.t1
OG0002872	g404	CP2_g48131_DN3_SP1_c.t1
OG0002873	g41372	CP8_g54212_DN3_SP2_c.t1
OG0002874	g23677	CP19_g17962_DN3_SP8_c.t1
OG0002875	g1008	CP8_g53503_DN3_SP7_c.t1
OG0002876	g19363, g19364	CP8_g52970_DN3_SP0_c.t1, CP8_g52971_DN3_SP0_c.t1, CP11_g31816_DN1_SP0_c.t1, CP3_g14342_DN3_SP0_c.t1
OG0002879	g13072	CP11_g33484_DN3_SP0_c.t1
OG0002879	g7441	CP10_g42986_DN3_SP4_c.t1
OG0002880	g46648	CP19_g17890_DN3_SP8_c.t1
OG0002881	g28302, g14732	CP9_g29695_DN1_SP0_c.t1
OG0002883	g31680	CP7_g46043_DN3_SP2_c.t1
OG0002884	g19388	CP3_g14400_DN3_SP0_c.t1
OG0002887	g47505, g47506	CP19_g18212_DN3_SP4_c.t1
OG0002888	g25845, g18080	CP6_g9596_DN3_SP1_c.t1, CP6_g9566_DN3_SP2_c.t1
OG0002889	g6442	CP12_g30858_DN3_SP7_c.t1
OG0002889	g24730	CP6_g8652_DN3_SP6_c.t1
OG0002890	g24694	CP6_g8034_DN3_SP8_c.t1
OG0002891	g27478	CP7_g45676_DN3_SP0_c.t1
OG0002892	g44527, g46141	CP9_g29082_DN3_SP1_c.t1
OG0002893	g40567	CP13_g19964_DN3_SP8_c.t1
OG0002896	g23742	CP19_g18078_DN3_SP0_c.t1, CP19_g18080_DN3_SP0_c.t1
OG0002897	g6160	CP10_g44088_DN3_SP3_c.t1
OG0002898	g40688	CP13_g19778_DN2_SP0_c.t1, CP13_g19777_DN3_SP0_c.t1
OG0002899	g23058	CP5_g534_DN3_SP0_c.t1
OG0002901	g24061	CP6_g6795_DN3_SP6_c.t1
OG0002903	g2490	CP3_g14247_DN3_SP0_c.t1
OG0002904	g2487	CP3_g14240_DN3_SP7_c.t1
OG0002905	g19311	CP2_g47521_DN3_SP6_c.t1
OG0002905	g2472	CP3_g14222_DN3_SP8_c.t1
OG0002906	g1762	CP3_g13157_DN3_SP8_c.t1
OG0002908	g37662	CP4_g24081_DN2_SP7_c.t1
OG0002909	g37656	CP4_g24088_DN1_SP8_c.t1
OG0002910	g11184	CP4_g24203_DN3_SP7_c.t1
OG0002911	g11195	CP3_g13410_DN3_SP8_c.t1
OG0002912	g11277	CP1_g38333_DN3_SP0_c.t1, CP1_g38318_DN3_SP1_c.t1, CP1_g38327_DN3_SP2_c.t1, CP1_g38325_DN3_SP2_c.t1
OG0002914	g921	CP8_g53306_DN3_SP8_c.t1
OG0002914	g23590	CP5_g1209_DN3_SP4_c.t1
OG0002915	g25245	CP5_g2247_DN2_SP0_c.t1
OG0002915	g11580	CP17_g5405_DN2_SP0_c.t1
OG0002916	g6024	CP10_g43699_DN3_SP7_c.t1
OG0002917	g13933	CP10_g43627_DN3_SP8_c.t1
OG0002919	g29100	CP8_g54411_DN3_SP0_c.t1
OG0002920	g52255	CP4_g24179_DN3_SP2_c.t1
OG0002921	g12768	CP13_g19086_DN3_SP0_c.t1, CP10_g42319_DN3_SP8_c.t1
OG0002921	g4993	CP11_g32244_DN3_SP8_c.t1
OG0002922	g4679	CP2_g48617_DN3_SP7_c.t1
OG0002922	g12843	CP10_g42498_DN3_SP7_c.t1
OG0002923	g12535	CP10_g42563_DN3_SP8_c.t1
OG0002924	g7555	CP10_g42808_DN3_SP6_c.t1
OG0002924	g12237	CP10_g43317_DN3_SP8_c.t1
OG0002925	g13010	CP10_g42860_DN3_SP6_c.t1, CP10_g42851_DN3_SP1_c.t1, CP10_g42859_DN3_SP0_c.t1, CP10_g42850_DN3_SP0_c.t1
OG0002926	g13597	CP10_g42962_DN3_SP0_c.t1
OG0002926	g7456	CP10_g42963_DN3_SP7_c.t1
OG0002927	g13164, g13163	CP10_g43290_DN3_SP0_c.t1, CP10_g43291_DN3_SP1_c.t1
OG0002930	g7056	CP12_g29927_DN3_SP6_c.t1
OG0002931	g6906	CP12_g30145_DN3_SP7_c.t1
OG0002932	g13301	CP12_g30152_DN3_SP0_c.t1
OG0002933	g6801	CP12_g30280_DN3_SP2_c.t1
OG0002933	g6806	CP12_g30279_DN3_SP1_c.t1
OG0002934	g43358	CP3_g15798_DN2_SP0_c.t1, CP35_g52089_DN1_SP0_c.t1, CP6_g8746_DN1_SP0_c.t1
OG0002934	g4408	CP18_g12500_DN3_SP0_c.t1
OG0002934	g23388	CP1_g39689_DN3_SP0_c.t1
OG0002934	g26835	CP15_g35525_DN1_SP0_c.t1
OG0002934	g41980	CP20_g3981_DN1_SP0_c.t1, CP4_g26139_DN2_SP0_c.t1
OG0002934	g41880	CP8_g52819_DN2_SP0_c.t1
OG0002934	g24434, g41812, g1394, g43825, g16966	CP17_g5130_DN2_SP0_c.t1, CP3_g16604_DN1_SP0_c.t1, CP2_g50525_DN1_SP0_c.t1, CP1_g39879_DN3_SP0_c.t1, CP4_g26145_DN1_SP0_c.t1, CP25_g55832_DN1_SP0_c.t1, CP6_g9324_DN2_SP0_c.t1
OG0002935	g6611, g6623	CP12_g30541_DN3_SP0_c.t1
OG0002936	g11859, g6631, g6632	CP12_g30531_DN3_SP2_c.t1
OG0002937	g45098	CP5_g1991_DN3_SP1_c.t1, CP5_g1982_DN3_SP4_c.t1
OG0002938	g25357	CP8_g54644_DN3_SP8_c.t1
OG0002938	g49311	CP1_g36456_DN3_SP7_c.t1
OG0002939	g49362	CP1_g36539_DN3_SP2_c.t1
OG0002939	g45226	CP11_g32151_DN3_SP2_c.t1
OG0002940	g39862	CP4_g25637_DN3_SP1_c.t1
OG0002940	g49537	CP1_g36909_DN3_SP8_c.t1
OG0002941	g27293	CP1_g37817_DN2_SP6_c.t1
OG0002942	g31877	CP7_g45783_DN3_SP2_c.t1
OG0002943	g44256	CP2_g48928_DN3_SP0_c.t1
OG0002945	g41077	CP2_g49547_DN2_SP0_c.t1
OG0002947	g17817	CP13_g19065_DN3_SP2_c.t1
OG0002947	g25564	CP11_g31883_DN3_SP8_c.t1
OG0002949	g22698	CP13_g19222_DN2_SP0_c.t1
OG0002950	g47998	CP5_g223_DN1_SP0_c.t1
OG0002951	g22980	CP5_g445_DN2_SP0_c.t1
OG0002952	g23275	CP5_g767_DN3_SP8_c.t1
OG0002953	g38278	CP18_g11990_DN3_SP3_c.t1
OG0002954	g47803	CP5_g790_DN3_SP6_c.t1
OG0002955	g47799	CP5_g803_DN3_SP8_c.t1
OG0002955	g38336	CP16_g55273_DN3_SP3_c.t1
OG0002956	g11732, g6483	CP12_g30788_DN3_SP0_c.t1
OG0002957	g39531	CP1_g38548_DN3_SP0_c.t1
OG0002958	g23558	CP5_g1170_DN3_SP4_c.t1
