Orthogroup	Cochlearia_excelsa	Conringia_planisiliqua
OG0000002	g12570, g45323, g23052, g6837, g29104, g38549, g1173, g4356	CP4_g26881_DN2_SP0_c.t1
OG0000002	g16055, g23051, g18890, g45322	CP3_g16174_DN2_SP0_c.t1
OG0000002	g36393, g17831	CP4_g26879_DN2_SP0_c.t1
OG0000002	g22481, g22300, g26182	CP4_g26884_DN2_SP0_c.t1
OG0000002	g51104, g47320, g38468, g39577, g40258, g23771, g52214	CP3_g16153_DN2_SP0_c.t1
OG0000003	g14063	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1
OG0000003	g25137	CP10_g44057_DN2_SP0_c.t1
OG0000003	g45682, g1467, g38320, g49844	CP3_g15821_DN1_SP0_c.t1
OG0000003	g25134, g35681, g14225, g41636	CP5_g1517_DN2_SP0_c.t1
OG0000003	g18621	CP8_g52677_DN2_SP0_c.t1
OG0000003	g24632	CP14_g22797_DN2_SP0_c.t1
OG0000003	g39352, g43844, g39389	CP5_g3316_DN2_SP0_c.t1
OG0000003	g42622	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1
OG0000003	g34726	CP3_g16060_DN1_SP0_c.t1
OG0000003	g41610, g51431, g41609	CP10_g43762_DN2_SP0_c.t1, CP2_g50353_DN1_SP0_c.t1
OG0000003	g43053	CP14_g23759_DN1_SP0_c.t1
OG0000003	g12346, g2655, g14239, g52812	CP13_g20572_DN1_SP0_c.t1
OG0000003	g26213, g52072	CP4_g26010_DN1_SP0_c.t1
OG0000003	g37684, g32875, g43390	CP6_g7989_DN2_SP0_c.t1
OG0000003	g46643, g3725, g24106	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1
OG0000004	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000005	g36078, g42010	CP12_g30974_DN2_SP0_c.t1
OG0000005	g35024, g42611	CP1_g38464_DN1_SP0_c.t1
OG0000005	g32107, g3653, g8412	CP1_g39873_DN1_SP0_c.t1
OG0000005	g3362, g12133	CP1_g40746_DN3_SP0_c.t1
OG0000007	g4635	CP8_g52162_DN2_SP0_c.t1
OG0000008	g36794	CP15_g34920_DN2_SP0_c.t1
OG0000008	g5353, g35020, g27856, g27175, g1942	CP27_g41699_DN2_SP0_c.t1
OG0000008	g52586	CP8_g52854_DN2_SP0_c.t1
OG0000008	g26783	CP14_g23480_DN3_SP0_c.t1
OG0000008	g37068, g26784, g43729	CP5_g2806_DN2_SP0_c.t1
OG0000009	g2982	CP18_g12171_DN2_SP0_c.t1
OG0000009	g32059, g53845	CP29_g21990_DN1_SP0_c.t1
OG0000009	g50155, g5748, g1727	CP9_g27891_DN2_SP0_c.t1
OG0000009	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251	CP3_g16492_DN1_SP0_c.t1
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	CP12_g31672_DN2_SP0_c.t1
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1
OG0000011	g18071, g2721, g42559, g4725, g47538	CP18_g11548_DN1_SP0_c.t1
OG0000011	g33386, g45605, g4839	CP15_g34508_DN1_SP0_c.t1
OG0000011	g16516, g16593	CP15_g35900_DN1_SP0_c.t1
OG0000011	g41576	CP47_g21270_DN3_SP0_c.t1
OG0000011	g43707, g27825, g18316, g6080	CP14_g23600_DN3_SP0_c.t1
OG0000011	g450, g26627, g32634	CP17_g5859_DN2_SP0_c.t1
OG0000011	g24975	CP15_g35899_DN2_SP0_c.t1
OG0000011	g2713, g18942	CP8_g52577_DN3_SP0_c.t1, CP14_g23599_DN3_SP0_c.t1
OG0000015	g40287, g1783, g27896	CP7_g44210_DN2_SP0_c.t1
OG0000015	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702	CP12_g31767_DN3_SP0_c.t1
OG0000015	g21108, g34944, g15605, g11217, g2750, g34949, g11475	CP8_g52640_DN2_SP0_c.t1
OG0000015	g36461, g634, g23355	CP9_g27629_DN1_SP0_c.t1
OG0000015	g39566, g3152, g14756, g32935	CP3_g15512_DN1_SP0_c.t1
OG0000015	g42908, g43716, g41967, g26998, g24843, g14643, g12672, g5446, g48095, g26670	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1
OG0000015	g31975, g2748, g23354, g15603	CP9_g27744_DN1_SP0_c.t1
OG0000015	g30476, g8572	CP6_g9041_DN3_SP0_c.t1
OG0000015	g24862	CP9_g28182_DN2_SP0_c.t1
OG0000015	g47632	CP25_g55897_DN3_SP0_c.t1, CP39_g21117_DN1_SP0_c.t1, CP3_g15322_DN2_SP0_c.t1
OG0000015	g3363	CP18_g12595_DN3_SP0_c.t1
OG0000015	g40591	CP22_g17115_DN3_SP0_c.t1
OG0000015	g43089	CP16_g55608_DN2_SP0_c.t1
OG0000015	g43577, g47913	CP17_g6289_DN1_SP0_c.t1
OG0000015	g43580	CP26_g51311_DN3_SP0_c.t1
OG0000015	g47633	CP15_g34881_DN2_SP0_c.t1
OG0000015	g11559, g47481	CP7_g44360_DN2_SP0_c.t1
OG0000015	g12630, g40592, g47122	CP27_g41956_DN2_SP0_c.t1, CP27_g41954_DN2_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP22_g17112_DN1_SP0_c.t1
OG0000015	g47121	CP15_g34879_DN2_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP5_g3123_DN1_SP0_c.t1
OG0000015	g34363	CP14_g23594_DN3_SP0_c.t1
OG0000015	g41971, g39565, g4758, g26125, g35684, g3315, g8210, g24633, g8709, g3775, g53218, g42134, g3753, g42171, g26614	CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1
OG0000015	g12285	CP1_g39588_DN3_SP0_c.t1
OG0000015	g43718	CP9_g28055_DN1_SP0_c.t1
OG0000015	g40286, g1778	CP7_g44209_DN2_SP0_c.t1
OG0000015	g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977	CP12_g31541_DN2_SP0_c.t1
OG0000016	g26036	CP14_g23708_DN3_SP0_c.t1, CP9_g27907_DN2_SP0_c.t1
OG0000016	g42778, g53235, g6385, g43402, g14661, g3657	CP24_g47422_DN2_SP0_c.t1
OG0000018	g11598, g33221, g14706, g33225, g52456, g35650	CP3_g16393_DN1_SP0_c.t1
OG0000018	g35203, g24985, g20288, g20299, g52791, g52787, g20292, g46456, g42075, g42793	CP3_g15530_DN1_SP0_c.t1
OG0000020	g32689, g14805	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000020	g34543	CP6_g9455_DN3_SP0_c.t1
OG0000020	g41999, g23596, g2978, g27048, g42255, g42252, g11710, g15029, g14580	CP6_g8460_DN3_SP0_c.t1
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331, g33125, g14567, g25750, g33471	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000023	g3442, g26541, g3778, g4713, g35116, g35131, g35362, g42903, g35499, g15662, g32787, g14801, g15067, g15076, g42216, g42233, g26587, g42217, g52731, g52732, g53561, g9298, g15121, g32788, g15663, g15066, g14800, g3441, g44912, g15122, g3443, g34449, g34444, g34756, g6328, g34729, g21395	CP35_g52033_DN3_SP0_c.t1
OG0000024	g43450	CP2_g48829_DN3_SP0_c.t1
OG0000024	g2269	CP3_g13494_DN2_SP0_c.t1
