Orthogroup	Cochlearia_excelsa	Euclidium_syriacum
OG0002939	g45226	ESY20_g13131_DN2_SP0_c0.t1
OG0002940	g39862	ESY8_g58533_DN3_SP0_c0.t1
OG0002940	g49537	ESY5_g4704_DN3_SP0_c0.t1
OG0002941	g27293	ESY5_g2881_DN3_SP6_c0.t1
OG0002942	g31877	ESY5_g4029_DN2_SP0_c0.t1, ESY5_g4032_DN3_SP0_c0.t1, ESY5_g4031_DN3_SP1_c0.t1
OG0002943	g44258, g44256	ESY2_g33468_DN3_SP0_c0.t1, ESY2_g33469_DN3_SP0_c0.t1, ESY2_g33502_DN3_SP0_c0.t1, ESY2_g33466_DN3_SP0_c0.t1
OG0002945	g41077	ESY2_g34138_DN1_SP0_c0.t1, ESY2_g34132_DN2_SP0_c0.t1
OG0002946	g36913	ESY4_g26474_DN3_SP0_c0.t1
OG0002947	g40456, g17817, g25564	ESY7_g16368_DN3_SP8_c0.t1
OG0002949	g22698	ESY4_g26794_DN1_SP0_c0.t1
OG0002950	g47998	ESY4_g26595_DN3_SP0_c14.t1
OG0002950	g36927	ESY8_g59659_DN2_SP0_c23.t1
OG0002951	g22980	ESY4_g25316_DN3_SP0_c0.t1
OG0002952	g23275	ESY4_g25232_DN3_SP8_c0.t1
OG0002953	g38278	ESY8_g59216_DN3_SP3_c0.t1
OG0002953	g23196	ESY4_g25958_DN3_SP0_c11.t1
OG0002954	g47803	ESY4_g25072_DN3_SP6_c0.t1
OG0002955	g47799	ESY4_g25050_DN3_SP2_c0.t1
OG0002955	g38336	ESY8_g59362_DN3_SP0_c0.t1
OG0002956	g11732, g6483	ESY3_g28124_DN3_SP2_c0.t1
OG0002957	g39531	ESY20_g13185_DN3_SP0_c0.t1
OG0002958	g23558	ESY4_g23951_DN3_SP2_c0.t1
OG0002961	g37949, g25033	ESY10_g15055_DN3_SP0_c0.t1
OG0002962	g18291, g22790	ESY4_g26613_DN3_SP0_c11.t1
OG0002963	g13274	ESY3_g29864_DN1_SP0_c0.t1
OG0002971	g45427	ESY7_g18915_DN3_SP0_c0.t1
OG0002972	g38409	ESY8_g59518_DN3_SP7_c0.t1
OG0002973	g36013, g12436	ESY10_g14839_DN2_SP0_c0.t1, ESY2_g35278_DN3_SP0_c0.t1, ESY2_g35277_DN3_SP0_c0.t1, ESY6_g49819_DN3_SP0_c0.t1
OG0002975	g51027, g38358	ESY8_g59396_DN3_SP8_c0.t1
OG0002976	g5015, g29155	ESY7_g17241_DN3_SP8_c0.t1
OG0002977	g22287, g22468, g22507, g30097, g30090, g22343, g22274, g22486, g36091, g30096, g36092, g22485, g22467, g22271, g22286, g22506, g30089	ESY7_g17371_DN3_SP0_c0.t1
OG0002978	g5213, g45638	ESY7_g17656_DN3_SP5_c0.t1
OG0002981	g163, g9720	ESY6_g50519_DN3_SP8_c0.t1
OG0002982	g29542	ESY7_g17922_DN3_SP8_c0.t1, ESY6_g50630_DN3_SP7_c0.t1
OG0002983	g23896	ESY23_g101_DN3_SP1_c0.t1
OG0002987	g39684, g11077	ESY8_g58163_DN3_SP8_c0.t1
OG0002988	g37039, g32292	ESY4_g22508_DN1_SP0_c0.t1
OG0002989	g37103	ESY4_g23681_DN3_SP0_c0.t1
OG0002990	g27712	ESY16_g62232_DN3_SP0_c0.t1
OG0002990	g32490	ESY4_g23762_DN2_SP0_c0.t1
OG0002991	g32620	ESY16_g61672_DN3_SP8_c0.t1
OG0002992	g19372, g9672, g86	ESY6_g50401_DN3_SP0_c31.t1
OG0002993	g94, g9680	ESY6_g50406_DN3_SP1_c0.t1
OG0002994	g104	ESY6_g50417_DN3_SP7_c0.t1
OG0002996	g810	ESY6_g48999_DN3_SP8_c0.t1, ESY1_g7298_DN3_SP3_c0.t1
OG0003000	g1055	ESY6_g48167_DN2_SP1_c0.t1, ESY20_g12709_DN3_SP0_c0.t1
OG0003001	g30994	ESY5_g4686_DN3_SP0_c0.t1
OG0003002	g986	ESY6_g47971_DN1_SP0_c0.t1
OG0003002	g47612	ESY16_g62360_DN2_SP0_c0.t1
OG0003003	g17107	ESY6_g47965_DN3_SP0_c0.t1
OG0003004	g31203, g49620	ESY5_g3332_DN2_SP0_c1.t1
OG0003005	g5588	ESY7_g18714_DN3_SP8_c0.t1
OG0003006	g39607	ESY20_g13310_DN3_SP0_c0.t1
OG0003007	g12799, g36097	ESY3_g32104_DN3_SP0_c0.t1, ESY1_g8161_DN3_SP0_c0.t1
OG0003008	g18989	ESY1_g11703_DN3_SP0_c0.t1
OG0003009	g29848, g5781, g13057	ESY3_g30961_DN3_SP0_c0.t1
OG0003010	g14376	ESY8_g60140_DN3_SP0_c37.t1
OG0003011	g27510	ESY5_g2365_DN3_SP3_c0.t1
OG0003011	g46394	ESY2_g35069_DN3_SP0_c0.t1
OG0003013	g46371	ESY2_g34604_DN3_SP1_c0.t1
OG0003014	g22983	ESY4_g25325_DN3_SP0_c0.t1
OG0003015	g22982	ESY4_g25324_DN3_SP0_c0.t1
OG0003015	g6053	ESY11_g54082_DN3_SP8_c0.t1
OG0003016	g25941, g40218	ESY19_g41757_DN3_SP0_c75.t1
OG0003017	g11682	ESY3_g27566_DN2_SP8_c0.t1
OG0003018	g17884, g6437	ESY3_g27608_DN3_SP1_c28.t1
OG0003019	g52014	ESY10_g14466_DN3_SP0_c0.t1, ESY8_g58513_DN3_SP0_c15.t1, ESY12_g51744_DN3_SP0_c0.t1
OG0003020	g17813, g47020	ESY27_g13527_DN3_SP8_c0.t1
OG0003021	g50041	ESY5_g4205_DN3_SP0_c0.t1
OG0003021	g46105	ESY2_g34896_DN3_SP0_c0.t1
OG0003022	g44804	ESY2_g34417_DN3_SP7_c0.t1
OG0003023	g23495	ESY4_g24302_DN3_SP2_c7.t1
OG0003024	g31971	ESY2_g34690_DN3_SP8_c0.t1
OG0003025	g10438	ESY21_g55547_DN2_SP0_c0.t1
OG0003025	g16854	ESY8_g60359_DN3_SP0_c0.t1
OG0003026	g10433	ESY21_g55504_DN3_SP0_c0.t1, ESY8_g60369_DN3_SP0_c0.t1
OG0003027	g18395, g16730	ESY7_g16801_DN3_SP0_c0.t1
OG0003028	g6788	ESY3_g29396_DN3_SP8_c0.t1
OG0003028	g54153	ESY2_g37567_DN3_SP8_c0.t1
OG0003029	g28048	ESY2_g37381_DN3_SP1_c0.t1
OG0003030	g36389	ESY2_g37696_DN3_SP8_c0.t1
OG0003031	g11875	ESY3_g29109_DN1_SP0_c0.t1
OG0003032	g12097	ESY3_g29996_DN3_SP0_c0.t1
OG0003033	g51705	ESY9_g45248_DN3_SP0_c0.t1
OG0003034	g33	ESY6_g50278_DN3_SP0_c0.t1
OG0003034	g2526	ESY1_g10076_DN2_SP0_c0.t1
OG0003035	g17382	ESY9_g43290_DN3_SP1_c0.t1
OG0003035	g47343	ESY7_g16604_DN3_SP1_c0.t1
OG0003037	g40467	ESY7_g16474_DN3_SP8_c0.t1, ESY9_g43457_DN3_SP4_c0.t1
OG0003040	g18823	ESY1_g12066_DN3_SP0_c0.t1
OG0003041	g18857, g1932	ESY1_g11982_DN3_SP0_c0.t1, ESY1_g11983_DN3_SP0_c0.t1
OG0003043	g2039	ESY12_g51311_DN2_SP0_c0.t1
OG0003043	g11216	ESY1_g11513_DN3_SP0_c0.t1
OG0003044	g2343	ESY1_g11097_DN3_SP0_c0.t1
OG0003045	g12769, g7829	ESY3_g32346_DN3_SP0_c0.t1
OG0003047	g44902	ESY19_g42009_DN3_SP0_c0.t1
OG0003048	g41686, g32258	ESY19_g41973_DN3_SP0_c0.t1
OG0003049	g41604	ESY21_g55175_DN3_SP0_c0.t1
OG0003050	g18127	ESY2_g34371_DN3_SP8_c7.t1
OG0003051	g23819	ESY15_g65381_DN3_SP0_c0.t1
OG0003052	g18331	ESY4_g26879_DN3_SP5_c0.t1
OG0003053	g50744	ESY14_g20842_DN3_SP0_c0.t1
OG0003054	g25748, g47341	ESY18_g63696_DN3_SP0_c0.t1
OG0003055	g41438	ESY7_g16898_DN3_SP0_c0.t1, ESY7_g16900_DN3_SP0_c0.t1
OG0003056	g12908, g7674	ESY3_g31601_DN3_SP8_c0.t1
OG0003057	g4855	ESY6_g49865_DN2_SP0_c0.t1
OG0003057	g10105, g4856	ESY10_g15295_DN2_SP2_c0.t1
OG0003058	g7739	ESY3_g31926_DN3_SP8_c0.t1
OG0003058	g10163	ESY10_g15717_DN3_SP3_c0.t1
OG0003059	g50831	ESY12_g52232_DN3_SP7_c0.t1
OG0003060	g37596, g52245	ESY12_g51913_DN3_SP0_c0.t1
OG0003061	g52140	ESY12_g52155_DN3_SP0_c0.t1
OG0003061	g52138	ESY12_g52161_DN3_SP1_c0.t1
OG0003062	g37525	ESY12_g52163_DN3_SP0_c9.t1
OG0003063	g38169	ESY12_g51214_DN2_SP0_c0.t1
OG0003064	g12572	ESY3_g31798_DN3_SP8_c0.t1
OG0003064	g4691	ESY10_g15590_DN3_SP5_c0.t1
OG0003065	g12869, g7702	ESY3_g31696_DN3_SP8_c6.t1
OG0003066	g12532	ESY1_g12237_DN3_SP0_c0.t1
OG0003067	g12933	ESY3_g31496_DN3_SP8_c0.t1
OG0003068	g7537	ESY3_g30793_DN2_SP0_c0.t1, ESY7_g19659_DN3_SP0_c0.t1
OG0003069	g12345, g7407	ESY3_g31176_DN3_SP0_c0.t1
OG0003070	g13176, g7241	ESY3_g30209_DN3_SP2_c0.t1
OG0003071	g13249	ESY3_g30018_DN3_SP1_c0.t1
OG0003072	g12022	ESY2_g37975_DN3_SP4_c0.t1
OG0003073	g6887	ESY3_g29692_DN3_SP0_c0.t1
OG0003073	g36364	ESY2_g37931_DN2_SP0_c0.t1, ESY2_g37929_DN1_SP0_c0.t1
OG0003074	g44980, g46774	ESY2_g35237_DN3_SP8_c0.t1
OG0003076	g26866	ESY5_g5526_DN3_SP7_c0.t1
OG0003077	g25165	ESY5_g5507_DN3_SP0_c0.t1, ESY6_g48244_DN3_SP0_c0.t1, ESY2_g33972_DN3_SP0_c0.t1, ESY20_g12946_DN3_SP0_c0.t1
OG0003078	g26899	ESY5_g5320_DN3_SP0_c0.t1
OG0003078	g30790	ESY5_g5321_DN3_SP0_c0.t1, ESY5_g5322_DN3_SP0_c0.t1
OG0003079	g30819	ESY5_g5177_DN3_SP4_c0.t1
OG0003080	g30996	ESY5_g4681_DN3_SP6_c0.t1
OG0003082	g10776	ESY5_g2866_DN3_SP0_c0.t1
OG0003083	g27287	ESY10_g14617_DN3_SP4_c0.t1
OG0003083	g49927, g31567	ESY5_g2868_DN3_SP8_c0.t1
OG0003084	g31602	ESY5_g2925_DN3_SP7_c0.t1
OG0003085	g31785	ESY5_g4194_DN3_SP8_c0.t1
OG0003086	g17972	ESY2_g34773_DN3_SP0_c0.t1, ESY5_g3938_DN3_SP0_c0.t1
OG0003087	g27466	ESY5_g3925_DN3_SP7_c19.t1
OG0003089	g31968, g50167	ESY5_g2549_DN3_SP0_c0.t1
OG0003090	g27520	ESY2_g35772_DN3_SP7_c0.t1
OG0003091	g4663, g36833, g33369, g45024, g27444, g53577	ESY1_g6958_DN2_SP0_c0.t1
OG0003092	g11044, g40499	ESY7_g16622_DN3_SP0_c0.t1, ESY7_g16624_DN3_SP0_c0.t1
OG0003093	g22923	ESY4_g26244_DN2_SP0_c0.t1
OG0003093	g47968	ESY4_g26245_DN2_SP0_c0.t1, ESY4_g26243_DN3_SP0_c0.t1, ESY4_g26242_DN3_SP0_c0.t1
OG0003094	g47899	ESY4_g25521_DN3_SP0_c0.t1
OG0003095	g47897	ESY4_g25522_DN3_SP8_c5.t1
OG0003096	g16936, g23287	ESY4_g25065_DN3_SP0_c0.t1
OG0003097	g27582	ESY2_g35443_DN3_SP0_c0.t1
OG0003097	g32139	ESY5_g1561_DN3_SP8_c0.t1, ESY16_g62349_DN3_SP0_c0.t1
OG0003098	g39504	ESY20_g13094_DN3_SP0_c0.t1
OG0003101	g6023	ESY11_g54223_DN3_SP1_c0.t1
OG0003102	g23381	ESY4_g24717_DN3_SP0_c0.t1
OG0003103	g37858, g51119, g51117	ESY8_g58840_DN3_SP0_c0.t1
OG0003104	g39905, g39906	ESY8_g58605_DN3_SP0_c0.t1
OG0003105	g44274	ESY3_g27672_DN3_SP0_c0.t1
OG0003116	g47749, g23394	ESY4_g24640_DN3_SP2_c0.t1
OG0003117	g5969	ESY2_g35355_DN3_SP0_c0.t1, ESY7_g19168_DN3_SP0_c0.t1
OG0003119	g45675	ESY7_g17538_DN3_SP0_c0.t1
OG0003120	g45531	ESY7_g18012_DN3_SP7_c0.t1
OG0003121	g18630, g18628	ESY20_g12742_DN2_SP0_c0.t1, ESY6_g48305_DN3_SP0_c0.t1, ESY6_g48187_DN3_SP0_c0.t1
OG0003122	g17178	ESY13_g56755_DN3_SP0_c0.t1
OG0003123	g36247, g47765	ESY4_g24806_DN3_SP0_c0.t1
OG0003124	g51412	ESY1_g5863_DN3_SP6_c0.t1
OG0003125	g31237	ESY5_g3426_DN3_SP0_c0.t1
OG0003127	g2547, g47, g46	ESY6_g50311_DN2_SP0_c0.t1
OG0003128	g46818	ESY6_g49020_DN3_SP8_c0.t1
OG0003129	g287, g2697	ESY6_g49660_DN3_SP8_c0.t1
OG0003130	g18617	ESY6_g49778_DN3_SP8_c0.t1, ESY6_g49779_DN3_SP0_c0.t1
OG0003131	g406	ESY7_g18541_DN1_SP0_c0.t1
OG0003132	g520	ESY6_g50111_DN3_SP0_c0.t1
OG0003134	g28969	ESY3_g29906_DN3_SP0_c0.t1
OG0003134	g11823	ESY3_g28751_DN3_SP8_c0.t1
OG0003135	g44368	ESY5_g5260_DN3_SP0_c0.t1
OG0003135	g25966	ESY4_g26891_DN3_SP0_c0.t1
OG0003138	g28365, g41219	ESY6_g46769_DN3_SP0_c0.t1
OG0003139	g39308, g47563	ESY6_g48420_DN3_SP4_c0.t1
OG0003140	g27508, g32018	ESY5_g2376_DN2_SP0_c0.t1
OG0003141	g6981	ESY9_g42507_DN2_SP0_c0.t1
OG0003141	g12061	ESY3_g29870_DN3_SP0_c0.t1
OG0003142	g25468	ESY20_g13241_DN3_SP5_c0.t1
OG0003143	g45241	ESY20_g13268_DN3_SP0_c5.t1
OG0003144	g19113	ESY1_g10774_DN3_SP8_c0.t1, ESY1_g10775_DN3_SP1_c0.t1
OG0003145	g29777, g5683	ESY7_g19053_DN3_SP0_c0.t1
OG0003146	g5686	ESY7_g19088_DN3_SP1_c0.t1
OG0003147	g16821	ESY8_g60214_DN3_SP8_c0.t1
OG0003148	g16792	ESY8_g58730_DN3_SP0_c0.t1
OG0003148	g40781	ESY2_g33499_DN3_SP8_c0.t1
OG0003149	g27297, g36636	ESY2_g36490_DN3_SP6_c30.t1, ESY2_g36492_DN3_SP5_c29.t1
OG0003150	g44280	ESY2_g36549_DN3_SP4_c0.t1
OG0003150	g49943	ESY5_g2929_DN3_SP3_c0.t1
OG0003151	g49967, g44319	ESY2_g36688_DN3_SP8_c0.t1
OG0003152	g44322	ESY2_g36693_DN3_SP2_c0.t1
OG0003153	g46482	ESY2_g36827_DN3_SP0_c0.t1, ESY2_g36828_DN3_SP0_c0.t1
OG0003155	g46317, g17964	ESY2_g34694_DN2_SP0_c2.t1
OG0003156	g31897	ESY10_g14098_DN3_SP2_c0.t1
OG0003157	g44474, g31854	ESY2_g36000_DN1_SP0_c0.t1
OG0003158	g7129	ESY3_g30513_DN1_SP0_c0.t1
OG0003159	g38026, g51569	ESY9_g43067_DN3_SP0_c0.t1, ESY9_g43070_DN3_SP0_c0.t1
OG0003160	g37164	ESY9_g44365_DN3_SP7_c43.t1, ESY16_g62440_DN3_SP0_c0.t1
OG0003161	g27831, g27821, g2971	ESY1_g7756_DN3_SP0_c0.t1
OG0003162	g47011	ESY15_g65959_DN3_SP7_c0.t1
OG0003164	g13391	ESY3_g29047_DN3_SP0_c0.t1
OG0003164	g24445	ESY2_g38739_DN3_SP2_c0.t1
OG0003165	g31770	ESY5_g4215_DN3_SP0_c0.t1
OG0003165	g46063	ESY2_g35942_DN3_SP0_c0.t1
OG0003166	g31758, g50035	ESY5_g4230_DN3_SP8_c0.t1
OG0003167	g10453	ESY21_g55705_DN3_SP0_c0.t1, ESY8_g60334_DN3_SP0_c0.t1
OG0003168	g10367	ESY2_g34568_DN3_SP8_c0.t1
OG0003169	g16837	ESY8_g60282_DN3_SP8_c0.t1
OG0003169	g1625	ESY21_g55847_DN3_SP8_c0.t1
OG0003170	g52867, g26421, g45052, g14064	ESY26_g42375_DN3_SP0_c0.t1
OG0003170	g24907, g50219, g32768	ESY18_g63024_DN2_SP0_c100.t1
OG0003170	g15572, g14825, g41136, g4550, g52099, g36798, g12380, g36658, g53528, g35069, g43207, g41897	ESY4_g26592_DN2_SP0_c0.t1, ESY6_g46404_DN1_SP0_c91.t1
OG0003172	g45058	ESY2_g35320_DN3_SP0_c0.t1, ESY2_g35322_DN3_SP0_c0.t1
OG0003173	g19112	ESY7_g19165_DN3_SP0_c0.t1
OG0003175	g36183	ESY4_g22137_DN3_SP0_c0.t1
OG0003176	g17533, g24258	ESY9_g42453_DN3_SP7_c0.t1
OG0003177	g1336, g41160	ESY6_g46129_DN3_SP0_c0.t1
OG0003178	g1497, g27273	ESY20_g13031_DN3_SP0_c0.t1
OG0003179	g47162	ESY16_g61479_DN2_SP8_c0.t1
OG0003180	g24294, g51503	ESY16_g61626_DN3_SP8_c0.t1
OG0003181	g2512	ESY6_g50233_DN3_SP7_c0.t1
OG0003182	g1908	ESY1_g12103_DN3_SP7_c0.t1
OG0003182	g18818	ESY4_g25623_DN3_SP1_c0.t1
OG0003183	g1961	ESY1_g11897_DN3_SP8_c0.t1
OG0003184	g18955	ESY1_g11436_DN3_SP0_c0.t1
OG0003185	g1782	ESY1_g11404_DN3_SP0_c0.t1, ESY3_g32389_DN3_SP0_c0.t1, ESY3_g32390_DN3_SP0_c0.t1, ESY7_g17316_DN3_SP0_c0.t1
OG0003187	g19045	ESY1_g10602_DN3_SP0_c0.t1
OG0003188	g2178	ESY1_g10641_DN3_SP8_c0.t1
OG0003189	g38121	ESY9_g45471_DN3_SP0_c11.t1
OG0003189	g2258	ESY1_g10810_DN2_SP0_c15.t1
OG0003190	g51645	ESY9_g44847_DN3_SP4_c0.t1
OG0003191	g18026, g27614, g50390	ESY2_g34503_DN2_SP0_c0.t1
OG0003192	g6032	ESY11_g54178_DN3_SP7_c0.t1
OG0003193	g19017	ESY1_g11819_DN3_SP0_c0.t1
OG0003194	g6279, g51761	ESY9_g45467_DN3_SP2_c0.t1
OG0003195	g18263	ESY8_g59550_DN3_SP4_c0.t1
OG0003196	g51034	ESY8_g59374_DN3_SP8_c0.t1
OG0003196	g23296	ESY20_g12774_DN3_SP0_c0.t1, ESY6_g48568_DN1_SP0_c0.t1, ESY16_g62521_DN3_SP0_c0.t1
OG0003197	g25691	ESY18_g63303_DN3_SP2_c0.t1
OG0003198	g10144	ESY10_g15571_DN3_SP7_c0.t1
OG0003199	g5895, g17044	ESY4_g24005_DN3_SP0_c15.t1
OG0003200	g12814, g10174	ESY10_g15814_DN3_SP0_c43.t1
OG0003201	g12855, g7711	ESY3_g31786_DN3_SP8_c0.t1
OG0003203	g12448, g12957	ESY3_g31405_DN3_SP6_c0.t1, ESY3_g31403_DN3_SP4_c0.t1, ESY15_g64476_DN1_SP0_c0.t1
OG0003206	g12268, g7280	ESY20_g12705_DN3_SP0_c0.t1, ESY8_g58285_DN3_SP0_c0.t1, ESY8_g58283_DN3_SP0_c0.t1, ESY2_g37005_DN3_SP0_c0.t1, ESY20_g12703_DN3_SP0_c0.t1, ESY2_g33397_DN3_SP0_c0.t1, ESY3_g30119_DN3_SP0_c0.t1
OG0003207	g7166	ESY20_g13281_DN1_SP0_c0.t1, ESY20_g12994_DN1_SP0_c0.t1
OG0003208	g11997	ESY3_g29637_DN2_SP0_c0.t1
OG0003210	g46765	ESY1_g11307_DN3_SP0_c0.t1
OG0003210	g46767	ESY8_g61294_DN3_SP0_c0.t1
OG0003211	g49461	ESY5_g4957_DN2_SP0_c0.t1
OG0003213	g49687	ESY5_g3139_DN3_SP3_c0.t1
OG0003214	g44107	ESY2_g34020_DN3_SP8_c0.t1, ESY5_g3495_DN3_SP0_c0.t1
OG0003215	g49846	ESY5_g3852_DN3_SP6_c0.t1
OG0003216	g17193	ESY5_g4996_DN3_SP0_c0.t1, ESY2_g37773_DN3_SP0_c0.t1
OG0003216	g31435	ESY5_g2602_DN3_SP0_c0.t1
OG0003217	g10734	ESY5_g2824_DN3_SP3_c0.t1
OG0003218	g49995, g31692	ESY5_g4344_DN3_SP8_c31.t1
OG0003219	g27523, g50249	ESY5_g2264_DN3_SP0_c92.t1
OG0003220	g45973, g27525	ESY5_g2250_DN3_SP6_c0.t1
OG0003222	g50270	ESY5_g2174_DN3_SP8_c0.t1
OG0003223	g40986, g40987	ESY2_g33915_DN3_SP0_c0.t1
OG0003225	g17609	ESY2_g38485_DN2_SP0_c0.t1, ESY2_g38449_DN3_SP0_c0.t1
OG0003226	g54028, g28110	ESY2_g38329_DN3_SP8_c0.t1
OG0003227	g23105, g18203	ESY4_g25699_DN3_SP4_c0.t1
OG0003228	g23159, g24361	ESY4_g25821_DN3_SP0_c0.t1, ESY4_g25817_DN3_SP0_c0.t1
OG0003229	g50351	ESY5_g1475_DN3_SP0_c0.t1
OG0003230	g23620	ESY16_g62153_DN3_SP8_c0.t1
OG0003230	g45116	ESY2_g34354_DN3_SP6_c0.t1
OG0003231	g10652	ESY10_g14144_DN3_SP0_c0.t1
OG0003233	g22936, g18251	ESY4_g26204_DN3_SP0_c0.t1, ESY4_g26203_DN3_SP0_c0.t1
OG0003234	g18134, g46111, g27407	ESY5_g4196_DN3_SP0_c0.t1
OG0003235	g37175	ESY10_g14566_DN2_SP0_c0.t1
OG0003237	g10316	ESY2_g35159_DN3_SP0_c0.t1
OG0003247	g2823, g19542	ESY6_g48699_DN3_SP0_c0.t1
OG0003248	g19489, g50663, g2762	ESY1_g8991_DN3_SP0_c0.t1, ESY11_g53638_DN3_SP0_c0.t1, ESY11_g53639_DN1_SP0_c0.t1
OG0003249	g10940, g4628, g40634	ESY15_g65945_DN2_SP0_c0.t1, ESY10_g15056_DN3_SP0_c0.t1
OG0003250	g5133	ESY7_g17487_DN3_SP1_c0.t1
OG0003251	g29326, g45635	ESY7_g17668_DN3_SP8_c0.t1
OG0003252	g29416	ESY7_g18286_DN3_SP0_c26.t1
OG0003253	g47272	ESY9_g42667_DN3_SP3_c0.t1, ESY9_g42659_DN3_SP0_c0.t1
OG0003254	g29508	ESY6_g50564_DN3_SP8_c0.t1
OG0003255	g5422	ESY7_g17990_DN3_SP0_c0.t1
OG0003256	g29515, g29517, g5427	ESY7_g17980_DN3_SP3_c0.t1
OG0003257	g5449	ESY7_g17893_DN3_SP8_c0.t1
OG0003257	g229	ESY6_g50671_DN3_SP3_c0.t1
OG0003258	g9772	ESY6_g50702_DN3_SP0_c0.t1
OG0003259	g29714	ESY7_g18865_DN3_SP0_c0.t1
OG0003260	g11581	ESY8_g58617_DN3_SP0_c0.t1
OG0003261	g26991	ESY5_g4628_DN3_SP0_c0.t1
OG0003261	g39904, g51218	ESY8_g58604_DN3_SP6_c0.t1
OG0003262	g51277	ESY8_g58392_DN3_SP0_c0.t1
OG0003263	g28081	ESY2_g37730_DN2_SP0_c19.t1
OG0003264	g39760	ESY20_g12755_DN3_SP7_c0.t1
OG0003265	g18126	ESY17_g39488_DN3_SP6_c0.t1
OG0003266	g32127	ESY5_g3484_DN3_SP0_c0.t1, ESY4_g25060_DN3_SP0_c0.t1
OG0003267	g32462	ESY4_g23652_DN3_SP6_c0.t1
OG0003268	g18599	ESY6_g49458_DN3_SP0_c0.t1
OG0003269	g256	ESY6_g50729_DN3_SP8_c0.t1
OG0003270	g431	ESY6_g49538_DN3_SP0_c0.t1, ESY2_g33530_DN3_SP0_c0.t1
OG0003273	g41334, g28852	ESY6_g48970_DN3_SP8_c0.t1
OG0003274	g22918, g13960	ESY4_g26255_DN3_SP0_c0.t1
OG0003275	g7261	ESY3_g30158_DN3_SP8_c0.t1
OG0003276	g1186, g28725	ESY6_g48591_DN2_SP0_c0.t1
OG0003277	g23689, g47586	ESY16_g62504_DN3_SP6_c0.t1
OG0003278	g11372	ESY1_g9740_DN3_SP0_c0.t1
OG0003278	g128	ESY6_g50450_DN3_SP0_c0.t1
OG0003279	g2612, g11376	ESY1_g9721_DN3_SP5_c0.t1
OG0003280	g47315	ESY7_g17122_DN3_SP8_c0.t1
OG0003281	g5799	ESY7_g19533_DN3_SP2_c0.t1, ESY11_g52439_DN3_SP0_c0.t1
OG0003282	g50284	ESY5_g2094_DN3_SP5_c0.t1
OG0003283	g18613, g32838	ESY4_g25081_DN3_SP4_c0.t1
OG0003285	g17456	ESY9_g42792_DN3_SP8_c21.t1
OG0003286	g24115, g17405	ESY9_g43062_DN3_SP0_c0.t1, ESY9_g43063_DN3_SP7_c0.t1
OG0003287	g46427	ESY2_g35033_DN3_SP0_c0.t1
OG0003289	g17708, g24495	ESY22_g40908_DN3_SP8_c0.t1
OG0003292	g32130	ESY5_g1600_DN3_SP0_c0.t1
OG0003295	g24190	ESY9_g42643_DN1_SP0_c0.t1
OG0003296	g14473, g11519, g33148, g14014, g21845, g42258, g17754, g21633, g47339, g21853	ESY6_g47522_DN3_SP0_c0.t1, ESY8_g59512_DN2_SP0_c0.t1, ESY10_g14240_DN3_SP0_c0.t1
OG0003297	g311	ESY6_g49711_DN1_SP0_c0.t1
OG0003298	g17406	ESY9_g43037_DN3_SP0_c0.t1
OG0003299	g24546	ESY9_g42835_DN1_SP0_c0.t1
OG0003299	g28328	ESY3_g31043_DN2_SP0_c0.t1
OG0003300	g18459, g26657, g36500	ESY1_g6629_DN3_SP8_c0.t1
OG0003301	g2478, g19314	ESY6_g50748_DN3_SP1_c0.t1
OG0003302	g1840, g37648	ESY1_g12317_DN3_SP0_c0.t1
OG0003303	g38098	ESY9_g45359_DN3_SP6_c0.t1
OG0003303	g2307	ESY1_g10987_DN3_SP8_c0.t1
OG0003304	g47622	ESY16_g62295_DN3_SP0_c0.t1
OG0003305	g46964, g24890	ESY17_g39558_DN3_SP4_c0.t1
OG0003306	g13528	ESY3_g27321_DN3_SP6_c15.t1
OG0003306	g10280	ESY15_g64695_DN3_SP6_c15.t1
OG0003308	g5991	ESY11_g54355_DN3_SP8_c0.t1
OG0003310	g40210	ESY19_g41669_DN3_SP0_c0.t1
OG0003311	g37720	ESY12_g51430_DN3_SP8_c0.t1
OG0003312	g37538	ESY2_g34778_DN3_SP4_c0.t1, ESY12_g52100_DN3_SP8_c0.t1
OG0003313	g23068	ESY4_g25571_DN2_SP0_c3.t1
OG0003314	g7718, g12574	ESY3_g31837_DN3_SP4_c0.t1
OG0003316	g29079	ESY7_g16926_DN3_SP8_c0.t1
OG0003317	g10240	ESY15_g64472_DN3_SP3_c0.t1
OG0003318	g7098	ESY3_g30576_DN3_SP0_c0.t1, ESY3_g30559_DN3_SP0_c0.t1, ESY3_g30579_DN3_SP0_c0.t1
OG0003319	g6990	ESY3_g29890_DN3_SP8_c0.t1
OG0003320	g6849	ESY2_g37693_DN3_SP6_c0.t1
OG0003321	g47664, g23556	ESY4_g23984_DN2_SP0_c0.t1
OG0003322	g10315	ESY8_g60964_DN3_SP0_c0.t1, ESY2_g35160_DN3_SP0_c0.t1
OG0003323	g4714, g6594, g11831, g11832	ESY3_g28892_DN2_SP0_c0.t1
OG0003324	g16988, g47731	ESY4_g24526_DN3_SP4_c0.t1
OG0003325	g4661	ESY10_g15898_DN3_SP7_c0.t1
OG0003326	g37263	ESY9_g45266_DN3_SP0_c0.t1
