Orthogroup	Rorippa_islandica	Arabis_alpina
OG0000016	Roisl.0082s0070.1.p, Roisl.0010s0034.1.p, Roisl.0184s0188.1.p, Roisl.0014s0103.1.p, Roisl.0087s0003.1.p, Roisl.0191s0682.1.p, Roisl.0029s0058.1.p, Roisl.0189s0040.1.p, Roisl.0012s0157.1.p, Roisl.0020s0151.1.p, Roisl.0209s0003.1.p	Aa_G370.h1.t1
OG0000016	Roisl.0089s0006.1.p, Roisl.0021s0645.1.p	Aa_G850.h1.t1
OG0000016	Roisl.0040s0014.1.p	Aa_G830.h1.t1
OG0000016	Roisl.0053s0038.1.p, Roisl.0009s0286.1.p	Aa_G380.h1.t1, Aa_G870.h1.t1
OG0000016	Roisl.0191s0327.1.p, Roisl.0188s0008.1.p, Roisl.0082s0535.1.p, Roisl.0045s0107.1.p	Aa_G890.h1.t1
OG0000016	Roisl.0213s0002.1.p	Aa_G540.h1.t1, Aa_G280.h1.t1
OG0000020	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p, Roisl.0004s0008.1.p, Roisl.0188s0102.1.p, Roisl.0011s0407.1.p, Roisl.0184s0238.1.p, Roisl.0214s0108.1.p, Roisl.0062s0029.1.p, Roisl.0025s0013.1.p, Roisl.0188s0101.1.p, Roisl.0022s0062.1.p, Roisl.0214s0107.1.p, Roisl.0010s0023.1.p, Roisl.0011s0406.1.p, Roisl.0010s0021.1.p, Roisl.0214s0786.1.p, Roisl.0204s0002.1.p, Roisl.0005s0155.1.p, Roisl.0214s0099.1.p, Roisl.0028s0692.1.p, Roisl.0213s0860.1.p, Roisl.0210s0466.1.p, Roisl.0007s0026.1.p, Roisl.0020s0173.1.p, Roisl.0028s0007.1.p, Roisl.0184s0237.1.p, Roisl.0046s1265.1.p, Roisl.0210s2047.1.p, Roisl.0208s0011.1.p, Roisl.0056s0045.1.p, Roisl.0213s0006.1.p, Roisl.0214s0304.1.p, Roisl.0053s0189.1.p, Roisl.0027s0142.1.p, Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p, Roisl.0082s0242.1.p	Aa_G135640.h1.t1
OG0000022	Roisl.0210s1365.1.p	Aa_G447870.h1.t1
OG0000022	Roisl.0008s0014.1.p, Roisl.0010s0121.1.p	Aa_G830960.h1.t1
OG0000022	Roisl.0028s0598.1.p	Aa_G319760.h1.t1
