Orthogroup	Rorippa_islandica	Euclidium_syriacum
OG0000046	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	ESY14_g21426_DN1_SP0_c0.t1
OG0000046	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	Roisl.0214s0362.1.p	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1
OG0000048	Roisl.0017s0418.1.p, Roisl.0082s0583.1.p	ESY8_g58361_DN2_SP0_c0.t1
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1
OG0000048	Roisl.0006s0337.1.p	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1
OG0000048	Roisl.0074s0908.1.p	ESY8_g58364_DN2_SP0_c0.t1
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1, ESY3_g27061_DN1_SP0_c0.t1, ESY4_g23730_DN1_SP0_c0.t1, ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000050	Roisl.0214s0827.1.p	ESY3_g27878_DN2_SP0_c0.t1
OG0000051	Roisl.0210s2097.1.p	ESY12_g51256_DN3_SP0_c0.t1
OG0000051	Roisl.0028s0722.1.p	ESY12_g51336_DN3_SP0_c0.t1
OG0000051	Roisl.0189s0079.1.p	ESY5_g2706_DN3_SP0_c11.t1
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	Roisl.0053s0284.1.p	ESY16_g61649_DN2_SP0_c0.t1
OG0000055	Roisl.0053s0119.1.p	ESY3_g29892_DN1_SP0_c0.t1
OG0000056	Roisl.0209s0766.1.p	ESY2_g33771_DN2_SP0_c0.t1
OG0000056	Roisl.0209s0767.1.p	ESY2_g33665_DN2_SP0_c0.t1
OG0000056	Roisl.0209s0597.1.p	ESY2_g33759_DN3_SP0_c0.t1
OG0000056	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1
OG0000056	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	Roisl.0209s0402.1.p	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1
OG0000060	Roisl.0209s0337.1.p	ESY8_g58877_DN3_SP0_c0.t1
OG0000060	Roisl.0080s0305.1.p	ESY5_g4491_DN3_SP0_c0.t1
OG0000061	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p	ESY10_g14355_DN2_SP0_c0.t1
