Orthogroup	Rorippa_islandica	Euclidium_syriacum
OG0002667	Roisl.0214s0557.1.p	ESY2_g33938_DN3_SP8_c0.t1
OG0002669	Roisl.0021s0264.1.p	ESY5_g3720_DN3_SP0_c0.t1
OG0002670	Roisl.0021s0488.1.p	ESY5_g2717_DN3_SP0_c0.t1
OG0002670	Roisl.0011s0252.1.p	ESY10_g14202_DN3_SP8_c0.t1
OG0002671	Roisl.0007s0742.1.p, Roisl.0019s0128.1.p, Roisl.0019s0129.1.p, Roisl.0007s0743.1.p	ESY5_g2748_DN3_SP0_c0.t1
OG0002672	Roisl.0011s0053.1.p, Roisl.0007s0639.1.p	ESY10_g14602_DN3_SP0_c0.t1
OG0002673	Roisl.0007s0617.1.p, Roisl.0007s0616.1.p	ESY5_g2887_DN3_SP0_c0.t1
OG0002674	Roisl.0007s0425.1.p	ESY5_g4374_DN3_SP8_c0.t1
OG0002674	Roisl.0004s0045.1.p	ESY2_g36110_DN3_SP5_c0.t1
OG0002675	Roisl.0019s0258.1.p	ESY2_g35810_DN3_SP7_c0.t1
OG0002675	Roisl.0007s0393.1.p	ESY5_g4334_DN3_SP7_c0.t1
OG0002676	Roisl.0079s0339.1.p	ESY6_g49389_DN2_SP0_c0.t1
OG0002676	Roisl.0006s0406.1.p	ESY3_g30990_DN1_SP0_c0.t1
OG0002677	Roisl.0028s0961.1.p	ESY7_g18998_DN3_SP0_c0.t1
OG0002677	Roisl.0115s0769.1.p	ESY7_g18103_DN3_SP0_c0.t1, ESY4_g25558_DN3_SP0_c0.t1
OG0002678	Roisl.0115s0724.1.p	ESY4_g26893_DN3_SP0_c0.t1
OG0002679	Roisl.0001s0473.1.p	ESY4_g26687_DN3_SP8_c19.t1
OG0002679	Roisl.0046s0605.1.p	ESY8_g59707_DN3_SP3_c0.t1
OG0002680	Roisl.0046s0535.1.p	ESY4_g25891_DN2_SP0_c0.t1, ESY8_g59633_DN3_SP6_c0.t1
OG0002680	Roisl.0001s0396.1.p	ESY4_g26551_DN3_SP8_c0.t1
OG0002681	Roisl.0001s0061.1.p	ESY4_g25578_DN3_SP8_c0.t1
OG0002681	Roisl.0065s0006.1.p	ESY11_g53791_DN3_SP8_c0.t1
OG0002682	Roisl.0001s0048.1.p	ESY4_g25622_DN3_SP8_c0.t1
OG0002682	Roisl.0053s0148.1.p	ESY29_g13609_DN3_SP7_c0.t1
OG0002683	Roisl.0001s0019.1.p	ESY4_g25721_DN3_SP0_c0.t1
OG0002683	Roisl.0045s0090.1.p	ESY11_g53641_DN3_SP0_c0.t1
OG0002684	Roisl.0003s0271.1.p, Roisl.0023s0111.1.p	ESY8_g59304_DN3_SP7_c0.t1
OG0002685	Roisl.0082s0516.1.p	ESY8_g59262_DN3_SP7_c0.t1
OG0002685	Roisl.0003s0329.1.p	ESY4_g25110_DN3_SP2_c0.t1
OG0002686	Roisl.0008s0318.1.p, Roisl.0046s0695.1.p	ESY4_g25815_DN3_SP0_c0.t1
OG0002687	Roisl.0008s0326.1.p, Roisl.0047s0058.1.p, Roisl.0008s0328.1.p	ESY4_g25794_DN3_SP0_c0.t1
OG0002688	Roisl.0023s0008.1.p	ESY8_g59381_DN3_SP5_c0.t1
OG0002688	Roisl.0003s0203.1.p	ESY4_g25021_DN3_SP0_c0.t1
OG0002689	Roisl.0038s0058.1.p	ESY14_g21060_DN3_SP0_c68.t1
OG0002690	Roisl.0015s0086.1.p, Roisl.0015s0108.1.p	ESY13_g57993_DN3_SP0_c0.t1, ESY13_g57991_DN3_SP0_c0.t1
OG0002693	Roisl.0002s0211.1.p	ESY3_g31783_DN3_SP0_c57.t1
OG0002694	Roisl.0214s0660.1.p	ESY11_g54897_DN3_SP0_c0.t1, ESY11_g54904_DN3_SP0_c0.t1
OG0002695	Roisl.0179s0064.1.p, Roisl.0179s0063.1.p, Roisl.0079s0185.1.p	ESY3_g30723_DN3_SP0_c0.t1
OG0002696	Roisl.0091s0536.1.p, Roisl.0082s0033.1.p	ESY15_g64438_DN3_SP0_c0.t1, ESY1_g10208_DN1_SP0_c0.t1, ESY4_g26268_DN2_SP0_c0.t1, ESY15_g64450_DN2_SP0_c0.t1, ESY1_g10220_DN2_SP0_c0.t1, ESY1_g10205_DN2_SP0_c0.t1, ESY15_g64435_DN1_SP0_c0.t1, ESY1_g10206_DN1_SP0_c0.t1
OG0002699	Roisl.0189s0181.1.p, Roisl.0189s0180.1.p	ESY6_g46606_DN3_SP1_c0.t1
OG0002700	Roisl.0189s0152.1.p, Roisl.0189s0149.1.p	ESY6_g46718_DN2_SP0_c0.t1
OG0002705	Roisl.0022s0390.1.p	ESY16_g62281_DN2_SP0_c0.t1
OG0002705	Roisl.0052s0003.1.p	ESY6_g47872_DN3_SP0_c0.t1
OG0002706	Roisl.0210s1474.1.p, Roisl.0210s1473.1.p, Roisl.0210s1475.1.p	ESY7_g17128_DN3_SP0_c0.t1
OG0002708	Roisl.0210s1199.1.p	ESY7_g17530_DN3_SP0_c0.t1
OG0002708	Roisl.0016s0085.1.p	ESY3_g32606_DN3_SP0_c0.t1
OG0002711	Roisl.0210s0684.1.p	ESY7_g17901_DN3_SP7_c0.t1
OG0002711	Roisl.0024s0343.1.p	ESY6_g50656_DN3_SP8_c0.t1
OG0002713	Roisl.0017s0063.1.p, Roisl.0017s0064.1.p	ESY6_g49653_DN3_SP0_c0.t1
OG0002713	Roisl.0210s0616.1.p	ESY7_g17784_DN3_SP8_c0.t1
OG0002714	Roisl.0080s0108.1.p	ESY6_g49501_DN3_SP1_c0.t1
OG0002714	Roisl.0210s0507.1.p	ESY7_g18574_DN3_SP0_c0.t1
OG0002715	Roisl.0204s0047.1.p	ESY8_g59018_DN3_SP8_c0.t1
OG0002715	Roisl.0091s1108.1.p	ESY5_g3107_DN3_SP4_c0.t1
OG0002716	Roisl.0204s0032.1.p, Roisl.0204s0031.1.p	ESY4_g26729_DN3_SP3_c0.t1, ESY8_g59012_DN3_SP6_c0.t1
OG0002717	Roisl.0017s0494.1.p	ESY8_g58430_DN3_SP8_c0.t1
OG0002717	Roisl.0091s0844.1.p	ESY5_g4756_DN3_SP8_c0.t1
OG0002718	Roisl.0210s0389.1.p	ESY5_g4989_DN3_SP7_c0.t1
OG0002718	Roisl.0028s0730.1.p	ESY20_g12830_DN2_SP3_c0.t1
OG0002719	Roisl.0030s0012.1.p, Roisl.0012s0179.1.p, Roisl.0012s0156.1.p, Roisl.0012s0167.1.p, Roisl.0012s0161.1.p	ESY20_g12669_DN3_SP0_c0.t1
OG0002720	Roisl.0022s0199.1.p, Roisl.0022s0198.1.p	ESY13_g56802_DN3_SP3_c0.t1, ESY13_g56804_DN3_SP6_c0.t1
OG0002721	Roisl.0013s0203.1.p, Roisl.0055s0028.1.p	ESY1_g6203_DN3_SP1_c0.t1
OG0002722	Roisl.0066s0343.1.p, Roisl.0066s0345.1.p, Roisl.0066s0346.1.p, Roisl.0066s0344.1.p	ESY13_g56093_DN3_SP0_c0.t1, ESY5_g1943_DN3_SP0_c0.t1
OG0002723	Roisl.0028s0867.1.p, Roisl.0213s0275.1.p	ESY11_g53898_DN3_SP8_c0.t1, ESY4_g23545_DN3_SP0_c0.t1
OG0002724	Roisl.0213s0391.1.p, Roisl.0028s0922.1.p	ESY16_g61994_DN3_SP8_c16.t1
OG0002725	Roisl.0018s0342.1.p	ESY1_g12418_DN3_SP8_c0.t1
OG0002726	Roisl.0003s0250.1.p	ESY4_g25251_DN3_SP0_c0.t1
OG0002726	Roisl.0046s0217.1.p	ESY6_g49969_DN3_SP7_c0.t1
OG0002727	Roisl.0208s0037.1.p, Roisl.0210s1806.1.p	ESY2_g33947_DN3_SP0_c0.t1, ESY6_g49164_DN3_SP8_c0.t1
OG0002728	Roisl.0019s0084.1.p, Roisl.0080s0201.1.p	ESY6_g48948_DN3_SP0_c0.t1
OG0002729	Roisl.0209s0265.1.p, Roisl.0080s0244.1.p	ESY6_g48898_DN3_SP0_c0.t1
OG0002730	Roisl.0002s0264.1.p	ESY2_g37979_DN3_SP0_c0.t1
OG0002731	Roisl.0080s0726.1.p, Roisl.0022s0313.1.p	ESY6_g48149_DN3_SP5_c10.t1
OG0002732	Roisl.0046s0851.1.p	ESY1_g9568_DN3_SP0_c0.t1, ESY20_g12667_DN3_SP0_c0.t1
OG0002733	Roisl.0210s0454.1.p	ESY7_g18501_DN3_SP8_c17.t1
OG0002733	Roisl.0080s0023.1.p	ESY6_g49384_DN3_SP8_c17.t1
OG0002734	Roisl.0042s0027.1.p	ESY7_g18768_DN3_SP0_c0.t1
OG0002734	Roisl.0074s0842.1.p	ESY3_g31289_DN3_SP0_c0.t1
OG0002735	Roisl.0028s0609.1.p, Roisl.0042s0119.1.p	ESY7_g18907_DN3_SP5_c0.t1
OG0002737	Roisl.0030s0084.1.p	ESY7_g19261_DN3_SP3_c0.t1
OG0002738	Roisl.0022s0502.1.p, Roisl.0214s0493.1.p	ESY11_g54966_DN3_SP0_c0.t1
OG0002740	Roisl.0079s0251.1.p, Roisl.0034s0052.1.p	ESY3_g30817_DN3_SP8_c0.t1
OG0002741	Roisl.0007s0451.1.p, Roisl.0115s0239.1.p	ESY2_g36822_DN3_SP8_c0.t1
OG0002742	Roisl.0001s0153.1.p	ESY4_g25380_DN3_SP2_c0.t1
OG0002742	Roisl.0066s0204.1.p	ESY11_g54016_DN3_SP8_c0.t1
OG0002745	Roisl.0006s0419.1.p, Roisl.0074s0484.1.p	ESY2_g36899_DN3_SP0_c0.t1, ESY2_g36891_DN3_SP2_c0.t1, ESY2_g36882_DN3_SP1_c0.t1
OG0002746	Roisl.0074s0443.1.p	ESY3_g30539_DN3_SP2_c0.t1
OG0002746	Roisl.0006s0387.1.p	ESY2_g36948_DN3_SP5_c0.t1
OG0002747	Roisl.0037s0016.1.p, Roisl.0003s0285.1.p	ESY4_g25179_DN3_SP8_c0.t1
OG0002748	Roisl.0076s0003.1.p	ESY15_g65086_DN3_SP2_c0.t1
OG0002748	Roisl.0022s0105.1.p	ESY13_g57597_DN3_SP3_c0.t1
OG0002749	Roisl.0075s0091.1.p	ESY15_g65979_DN3_SP2_c0.t1
OG0002750	Roisl.0209s0063.1.p	ESY2_g35285_DN3_SP8_c0.t1
OG0002751	Roisl.0058s0077.1.p, Roisl.0002s0191.1.p	ESY2_g38887_DN3_SP0_c0.t1
OG0002752	Roisl.0115s0517.1.p, Roisl.0002s0166.1.p	ESY2_g38874_DN3_SP6_c0.t1
OG0002753	Roisl.0024s0031.1.p	ESY12_g51723_DN3_SP0_c0.t1, ESY12_g51722_DN3_SP0_c0.t1
OG0002754	Roisl.0002s0092.1.p	ESY2_g38580_DN3_SP7_c0.t1
OG0002754	Roisl.0074s0284.1.p	ESY3_g29910_DN3_SP8_c0.t1
OG0002755	Roisl.0007s0316.1.p, Roisl.0019s0115.1.p	ESY2_g34862_DN3_SP8_c0.t1
OG0002757	Roisl.0044s0024.1.p	ESY4_g24190_DN3_SP3_c0.t1
OG0002757	Roisl.0214s0425.1.p	ESY11_g54839_DN3_SP0_c0.t1
OG0002758	Roisl.0044s0053.1.p	ESY4_g24227_DN3_SP4_c0.t1
OG0002759	Roisl.0018s0445.1.p, Roisl.0050s0111.1.p	ESY2_g33381_DN3_SP8_c20.t1
OG0002760	Roisl.0035s0178.1.p, Roisl.0009s0139.1.p	ESY12_g51833_DN3_SP0_c0.t1
OG0002761	Roisl.0019s0550.1.p	ESY2_g35467_DN3_SP7_c0.t1
OG0002761	Roisl.0191s0296.1.p	ESY3_g28806_DN3_SP0_c0.t1
OG0002762	Roisl.0001s0345.1.p	ESY4_g26458_DN3_SP7_c0.t1
OG0002762	Roisl.0006s0585.1.p	ESY8_g59578_DN3_SP8_c0.t1
OG0002763	Roisl.0115s0445.1.p	ESY3_g29122_DN3_SP7_c0.t1
OG0002764	Roisl.0006s0223.1.p	ESY2_g37231_DN3_SP5_c0.t1
OG0002764	Roisl.0115s0466.1.p	ESY3_g29101_DN3_SP1_c0.t1
OG0002765	Roisl.0213s0808.1.p, Roisl.0213s0810.1.p	ESY5_g3467_DN2_SP0_c0.t1
OG0002765	Roisl.0006s0256.1.p	ESY2_g37159_DN3_SP0_c0.t1
OG0002766	Roisl.0058s0073.1.p, Roisl.0053s0173.1.p	ESY3_g27567_DN2_SP0_c0.t1
OG0002767	Roisl.0028s0990.1.p	ESY9_g43993_DN2_SP0_c0.t1
OG0002767	Roisl.0091s0679.1.p	ESY16_g61553_DN2_SP0_c0.t1
OG0002768	Roisl.0091s0503.1.p	ESY9_g42614_DN3_SP0_c23.t1
OG0002769	Roisl.0005s0040.1.p, Roisl.0091s0598.1.p	ESY10_g14823_DN3_SP6_c0.t1
OG0002770	Roisl.0005s0036.1.p	ESY10_g14803_DN3_SP4_c0.t1
OG0002770	Roisl.0091s0605.1.p	ESY9_g42430_DN3_SP8_c0.t1
OG0002771	Roisl.0046s0973.1.p, Roisl.0024s0564.1.p	ESY1_g9904_DN2_SP0_c0.t1
OG0002772	Roisl.0017s0153.1.p	ESY1_g10999_DN3_SP0_c14.t1
OG0002773	Roisl.0209s0262.1.p, Roisl.0091s0061.1.p	ESY9_g43804_DN3_SP0_c0.t1
OG0002774	Roisl.0012s0344.1.p	ESY1_g10949_DN3_SP0_c0.t1, ESY7_g16695_DN3_SP0_c0.t1
OG0002774	Roisl.0091s0311.1.p	ESY9_g43214_DN3_SP0_c0.t1, ESY5_g2660_DN3_SP0_c0.t1
OG0002775	Roisl.0210s1171.1.p	ESY7_g17570_DN3_SP0_c0.t1
OG0002775	Roisl.0016s0062.1.p	ESY3_g32634_DN3_SP0_c0.t1
OG0002776	Roisl.0067s0074.1.p	ESY12_g52221_DN3_SP5_c0.t1
OG0002776	Roisl.0018s0390.1.p	ESY1_g12468_DN3_SP0_c0.t1
OG0002777	Roisl.0028s0101.1.p, Roisl.0018s0146.1.p	ESY12_g52017_DN3_SP7_c0.t1
OG0002778	Roisl.0018s0067.1.p	ESY1_g11197_DN3_SP0_c0.t1
OG0002778	Roisl.0028s0266.1.p	ESY12_g51474_DN3_SP0_c0.t1
OG0002779	Roisl.0028s0559.1.p	ESY12_g50957_DN3_SP6_c0.t1
OG0002780	Roisl.0046s1492.1.p	ESY1_g10807_DN3_SP1_c0.t1
OG0002780	Roisl.0046s1493.1.p	ESY1_g10806_DN3_SP5_c0.t1
OG0002781	Roisl.0074s0540.1.p, Roisl.0074s0539.1.p	ESY3_g30375_DN3_SP0_c0.t1, ESY3_g30377_DN2_SP0_c0.t1
OG0002782	Roisl.0017s0054.1.p, Roisl.0046s1314.1.p	ESY1_g11116_DN3_SP8_c0.t1
OG0002783	Roisl.0046s1284.1.p	ESY1_g11172_DN3_SP0_c0.t1
OG0002783	Roisl.0046s1282.1.p	ESY1_g11173_DN3_SP0_c0.t1
OG0002784	Roisl.0213s0718.1.p, Roisl.0053s0079.1.p	ESY17_g39527_DN3_SP0_c0.t1
OG0002786	Roisl.0066s0033.1.p, Roisl.0066s0031.1.p	ESY11_g54345_DN2_SP0_c0.t1
OG0002787	Roisl.0210s0326.1.p	ESY3_g31064_DN3_SP1_c0.t1, ESY4_g26384_DN3_SP1_c0.t1
OG0002788	Roisl.0011s0094.1.p	ESY10_g14532_DN3_SP1_c0.t1
OG0002788	Roisl.0007s0667.1.p	ESY13_g57091_DN2_SP0_c0.t1, ESY5_g2839_DN3_SP0_c0.t1
OG0002789	Roisl.0044s0114.1.p, Roisl.0019s0040.1.p, Roisl.0214s0357.1.p	ESY11_g54641_DN2_SP0_c0.t1
OG0002790	Roisl.0017s0314.1.p, Roisl.0017s0315.1.p	ESY9_g45516_DN3_SP5_c0.t1
OG0002791	Roisl.0115s0690.1.p	ESY4_g26806_DN3_SP6_c0.t1, ESY4_g21766_DN2_SP0_c0.t1, ESY6_g48252_DN1_SP0_c0.t1
OG0002791	Roisl.0082s0140.1.p	ESY8_g59856_DN3_SP2_c0.t1
OG0002794	Roisl.0011s0118.1.p	ESY5_g2432_DN3_SP0_c0.t1, ESY5_g3604_DN2_SP0_c0.t1, ESY10_g14339_DN2_SP0_c0.t1, ESY10_g14234_DN2_SP0_c0.t1
OG0002794	Roisl.0011s0116.1.p, Roisl.0011s0117.1.p	ESY2_g36387_DN2_SP0_c0.t1
OG0002795	Roisl.0039s0116.1.p	ESY3_g31637_DN3_SP2_c0.t1
OG0002795	Roisl.0046s0337.1.p	ESY10_g15386_DN3_SP1_c0.t1
OG0002796	Roisl.0046s0457.1.p, Roisl.0039s0053.1.p	ESY10_g15690_DN3_SP7_c0.t1
OG0002797	Roisl.0028s0214.1.p, Roisl.0018s0087.1.p	ESY12_g52169_DN3_SP8_c0.t1
OG0002799	Roisl.0005s0064.1.p	ESY10_g14873_DN3_SP8_c0.t1
OG0002799	Roisl.0091s0572.1.p	ESY9_g42464_DN3_SP1_c0.t1, ESY9_g42471_DN3_SP0_c0.t1
OG0002800	Roisl.0016s0358.1.p	ESY3_g32082_DN3_SP0_c0.t1
OG0002801	Roisl.0039s0018.1.p	ESY3_g31816_DN3_SP0_c0.t1, ESY3_g31810_DN3_SP0_c0.t1, ESY3_g31431_DN3_SP0_c0.t1
OG0002802	Roisl.0046s0433.1.p	ESY10_g15668_DN3_SP0_c0.t1
OG0002802	Roisl.0039s0022.1.p	ESY3_g31826_DN3_SP8_c0.t1
OG0002803	Roisl.0039s0163.1.p, Roisl.0210s1619.1.p	ESY3_g31580_DN3_SP0_c0.t1
OG0002804	Roisl.0039s0166.1.p	ESY3_g31573_DN3_SP0_c0.t1
OG0002804	Roisl.0210s1613.1.p	ESY7_g16915_DN1_SP1_c0.t1
OG0002805	Roisl.0191s0588.1.p, Roisl.0038s0005.1.p	ESY8_g59452_DN3_SP0_c47.t1
OG0002806	Roisl.0074s0429.1.p	ESY3_g30575_DN3_SP3_c0.t1
OG0002807	Roisl.0074s0249.1.p	ESY3_g29876_DN3_SP8_c0.t1
OG0002807	Roisl.0002s0053.1.p	ESY2_g38379_DN3_SP8_c0.t1
OG0002808	Roisl.0013s0057.1.p	ESY2_g37863_DN3_SP0_c0.t1
OG0002808	Roisl.0074s0073.1.p	ESY3_g29650_DN3_SP1_c0.t1
OG0002809	Roisl.0006s0150.1.p	ESY2_g37393_DN3_SP3_c0.t1
OG0002809	Roisl.0115s0382.1.p	ESY3_g29210_DN3_SP2_c0.t1
OG0002810	Roisl.0053s0378.1.p, Roisl.0075s0195.1.p	ESY3_g28567_DN2_SP0_c0.t1
OG0002811	Roisl.0021s0412.1.p	ESY5_g2600_DN3_SP0_c0.t1
OG0002811	Roisl.0021s0411.1.p	ESY5_g2599_DN2_SP0_c0.t1
OG0002812	Roisl.0021s0138.1.p	ESY5_g3528_DN3_SP0_c0.t1
OG0002812	Roisl.0214s0562.1.p	ESY2_g33941_DN2_SP0_c0.t1
OG0002813	Roisl.0021s0226.1.p	ESY5_g3671_DN3_SP8_c0.t1
OG0002814	Roisl.0021s0242.1.p	ESY5_g3694_DN3_SP7_c0.t1
OG0002814	Roisl.0209s0647.1.p	ESY2_g33801_DN3_SP8_c0.t1
OG0002815	Roisl.0189s0250.1.p	ESY6_g46977_DN1_SP0_c0.t1
OG0002815	Roisl.0021s0318.1.p	ESY5_g3789_DN3_SP4_c0.t1
OG0002816	Roisl.0021s0330.1.p, Roisl.0010s0085.1.p	ESY2_g33604_DN3_SP0_c0.t1
OG0002817	Roisl.0007s0400.1.p, Roisl.0019s0268.1.p	ESY5_g4343_DN3_SP0_c0.t1
OG0002819	Roisl.0019s0428.1.p, Roisl.0019s0434.1.p, Roisl.0191s0141.1.p	ESY2_g35627_DN2_SP0_c0.t1
OG0002821	Roisl.0009s0063.1.p	ESY8_g60058_DN3_SP3_c0.t1
OG0002821	Roisl.0050s0078.1.p	ESY2_g33328_DN3_SP8_c0.t1
OG0002822	Roisl.0013s0018.1.p	ESY2_g37728_DN3_SP0_c0.t1
OG0002823	Roisl.0001s0324.1.p	ESY4_g26406_DN3_SP0_c14.t1
OG0002824	Roisl.0011s0138.1.p, Roisl.0005s0351.1.p	ESY10_g14404_DN3_SP0_c30.t1
OG0002825	Roisl.0001s0189.1.p	ESY4_g25306_DN3_SP0_c0.t1
OG0002826	Roisl.0023s0094.1.p	ESY8_g59323_DN3_SP5_c0.t1
OG0002826	Roisl.0003s0259.1.p	ESY4_g25227_DN3_SP8_c0.t1
OG0002827	Roisl.0008s0316.1.p	ESY4_g25824_DN3_SP8_c15.t1
OG0002827	Roisl.0040s0003.1.p	ESY11_g53375_DN3_SP8_c0.t1
OG0002828	Roisl.0214s0028.1.p, Roisl.0003s0189.1.p	ESY8_g59398_DN3_SP8_c0.t1
OG0002829	Roisl.0191s0635.1.p, Roisl.0191s0636.1.p	ESY20_g13112_DN3_SP0_c0.t1
OG0002831	Roisl.0010s0141.1.p, Roisl.0027s0007.1.p	ESY8_g58539_DN3_SP0_c0.t1, ESY2_g33513_DN3_SP0_c0.t1
OG0002832	Roisl.0074s0189.1.p	ESY7_g16736_DN2_SP0_c0.t1
OG0002833	Roisl.0003s0014.1.p, Roisl.0053s0350.1.p	ESY11_g54835_DN3_SP0_c0.t1
OG0002834	Roisl.0018s0255.1.p, Roisl.0018s0254.1.p	ESY1_g12282_DN1_SP0_c0.t1
OG0002834	Roisl.0018s0253.1.p	ESY1_g12273_DN2_SP0_c0.t1
OG0002834	Roisl.0018s0251.1.p	ESY1_g12294_DN3_SP0_c0.t1
OG0002835	Roisl.0188s0114.1.p	ESY21_g55278_DN3_SP0_c0.t1
OG0002836	Roisl.0209s0650.1.p	ESY2_g33807_DN3_SP0_c0.t1
OG0002836	Roisl.0001s0186.1.p, Roisl.0001s0187.1.p	ESY4_g25311_DN3_SP0_c0.t1, ESY4_g25313_DN3_SP0_c0.t1, ESY4_g25314_DN3_SP0_c0.t1
OG0002837	Roisl.0031s0090.1.p, Roisl.0022s0462.1.p	ESY6_g47229_DN3_SP8_c0.t1
OG0002838	Roisl.0014s0052.1.p, Roisl.0082s0013.1.p, Roisl.0185s0070.1.p, Roisl.0003s0311.1.p, Roisl.0075s0049.1.p, Roisl.0185s0074.1.p, Roisl.0058s0022.1.p, Roisl.0194s0026.1.p, Roisl.0002s0257.1.p, Roisl.0091s0612.1.p, Roisl.0028s0282.1.p, Roisl.0080s0728.1.p, Roisl.0056s0004.1.p, Roisl.0037s0013.1.p, Roisl.0040s0058.1.p, Roisl.0032s0042.1.p, Roisl.0043s0043.1.p, Roisl.0209s0545.1.p, Roisl.0029s0087.1.p, Roisl.0185s0090.1.p, Roisl.0005s0240.1.p, Roisl.0077s0004.1.p, Roisl.0078s0011.1.p, Roisl.0184s0063.1.p, Roisl.0185s0010.1.p	ESY1_g8860_DN3_SP0_c0.t1, ESY1_g8787_DN2_SP0_c0.t1
OG0002844	Roisl.0011s0186.1.p, Roisl.0200s0021.1.p	ESY1_g10629_DN3_SP0_c0.t1
OG0002845	Roisl.0016s0282.1.p	ESY3_g32294_DN3_SP0_c0.t1
OG0002845	Roisl.0210s1450.1.p	ESY7_g17158_DN3_SP7_c0.t1
OG0002846	Roisl.0016s0011.1.p	ESY3_g32687_DN3_SP6_c0.t1
OG0002846	Roisl.0210s1106.1.p	ESY7_g17666_DN3_SP8_c0.t1
OG0002847	Roisl.0210s1091.1.p	ESY7_g17680_DN2_SP7_c0.t1
OG0002848	Roisl.0075s0054.1.p	ESY16_g61760_DN3_SP0_c0.t1
OG0002848	Roisl.0053s0252.1.p	ESY2_g37678_DN2_SP0_c0.t1
OG0002849	Roisl.0017s0326.1.p	ESY33_g12630_DN2_SP0_c0.t1, ESY3_g29809_DN3_SP0_c0.t1
OG0002850	Roisl.0210s0846.1.p	ESY7_g18162_DN3_SP0_c0.t1
OG0002850	Roisl.0046s0213.1.p	ESY6_g49964_DN3_SP0_c0.t1
OG0002851	Roisl.0210s0836.1.p	ESY7_g18146_DN3_SP0_c0.t1
OG0002852	Roisl.0046s0577.1.p	ESY5_g4255_DN3_SP0_c0.t1
OG0002852	Roisl.0046s0341.1.p	ESY10_g15394_DN3_SP4_c0.t1
OG0002853	Roisl.0210s1997.1.p	ESY6_g50182_DN3_SP0_c0.t1
OG0002853	Roisl.0210s0579.1.p	ESY7_g18674_DN2_SP0_c0.t1
OG0002854	Roisl.0209s0491.1.p, Roisl.0046s0672.1.p	ESY8_g59090_DN3_SP5_c0.t1, ESY8_g59087_DN3_SP3_c0.t1
OG0002855	Roisl.0204s0016.1.p	ESY8_g58999_DN2_SP0_c12.t1
OG0002856	Roisl.0033s0064.1.p	ESY8_g58654_DN3_SP3_c0.t1
OG0002856	Roisl.0091s0953.1.p	ESY5_g4614_DN3_SP8_c0.t1
OG0002857	Roisl.0091s0879.1.p	ESY5_g4714_DN3_SP5_c0.t1
OG0002858	Roisl.0028s0641.1.p	ESY20_g12691_DN3_SP0_c0.t1
OG0002858	Roisl.0091s0759.1.p	ESY5_g4879_DN3_SP0_c0.t1
OG0002859	Roisl.0091s0766.1.p	ESY5_g4871_DN3_SP0_c0.t1, ESY5_g1073_DN2_SP0_c0.t1
OG0002859	Roisl.0028s0632.1.p	ESY20_g12680_DN3_SP0_c0.t1
OG0002860	Roisl.0028s0663.1.p	ESY20_g12727_DN3_SP0_c0.t1
OG0002860	Roisl.0091s0730.1.p	ESY5_g4930_DN3_SP0_c0.t1
OG0002861	Roisl.0028s0717.1.p	ESY20_g12805_DN3_SP0_c0.t1
OG0002861	Roisl.0091s0701.1.p	ESY5_g4970_DN3_SP8_c0.t1
OG0002862	Roisl.0091s1071.1.p	ESY5_g4453_DN3_SP2_c0.t1
OG0002863	Roisl.0022s0217.1.p, Roisl.0022s0220.1.p	ESY13_g56695_DN2_SP0_c1.t1, ESY6_g46863_DN2_SP0_c0.t1
OG0002864	Roisl.0019s0335.1.p	ESY3_g32035_DN3_SP0_c14.t1
OG0002865	Roisl.0028s0979.1.p, Roisl.0213s0450.1.p	ESY16_g61840_DN3_SP1_c0.t1
OG0002866	Roisl.0213s0470.1.p	ESY8_g58157_DN3_SP0_c0.t1
OG0002867	Roisl.0028s0974.1.p, Roisl.0213s0492.1.p	ESY16_g61778_DN3_SP8_c0.t1
OG0002868	Roisl.0024s0491.1.p, Roisl.0046s0919.1.p	ESY1_g9784_DN3_SP0_c0.t1
OG0002870	Roisl.0024s0247.1.p	ESY6_g49643_DN3_SP8_c0.t1
OG0002871	Roisl.0024s0211.1.p	ESY6_g49699_DN3_SP1_c0.t1
OG0002871	Roisl.0046s0774.1.p	ESY1_g9201_DN3_SP2_c0.t1
OG0002872	Roisl.0080s0080.1.p	ESY6_g49461_DN3_SP4_c0.t1
OG0002872	Roisl.0080s0079.1.p	ESY2_g34123_DN3_SP0_c0.t1
OG0002874	Roisl.0022s0337.1.p	ESY16_g62413_DN3_SP8_c0.t1
OG0002874	Roisl.0080s0806.1.p	ESY6_g48008_DN3_SP4_c0.t1
OG0002875	Roisl.0080s0803.1.p, Roisl.0048s0010.1.p	ESY6_g48011_DN3_SP0_c0.t1
OG0002875	Roisl.0022s0335.1.p	ESY16_g61657_DN3_SP0_c0.t1, ESY16_g62419_DN3_SP0_c0.t1
OG0002876	Roisl.0046s0978.1.p	ESY3_g29494_DN3_SP0_c0.t1
OG0002877	Roisl.0010s0138.1.p	ESY2_g33504_DN3_SP0_c0.t1
OG0002878	Roisl.0011s0194.1.p, Roisl.0030s0190.1.p	ESY7_g19059_DN3_SP0_c0.t1, ESY7_g19067_DN2_SP0_c34.t1
OG0002879	Roisl.0030s0138.1.p, Roisl.0074s1001.1.p	ESY3_g31058_DN3_SP2_c0.t1
OG0002880	Roisl.0009s0091.1.p	ESY8_g60106_DN3_SP8_c0.t1
