Orthogroup	Euclidium_syriacum	Aethionema_saxatile
OG0000021	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	As003G071480, As010G232120
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	As001G006500, As007G166710, As007G165250, As008G188870
OG0000027	ESY4_g26389_DN2_SP0_c0.t1	As003G071460
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	As004G091760, As005G112730, As001G005440, As001G005430, As004G091740, As005G109110, As009G211080, As004G091750, As003G064310, As008G192170
OG0000030	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	As011G260570, As011G260600, As010G228030, As011G258250
OG0000030	ESY17_g39786_DN2_SP0_c77.t1	As001G013350
OG0000036	ESY13_g56710_DN1_SP0_c0.t1	As008G192160
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	As007G161900, As004G089890, As009G206430, As011G257090
OG0000038	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	As009G211050, As009G210990, As009G210820
OG0000041	ESY1_g8855_DN3_SP0_c0.t1	As012G279020, As011G257710, As007G164480, As006G148790
OG0000041	ESY8_g58625_DN1_SP0_c0.t1	As002G037900
OG0000047	ESY3_g28898_DN3_SP0_c0.t1	As006G136700
OG0000054	ESY5_g2306_DN3_SP0_c0.t1	As007G163390, As001G010300
OG0000054	ESY18_g63621_DN3_SP0_c0.t1	As004G090600, As007G163400, As011G258570, As001G015330, As001G010290, As001G006440
OG0000055	ESY2_g33671_DN2_SP0_c0.t1	As001G022060
OG0000059	ESY6_g46614_DN1_SP0_c0.t1, ESY7_g19118_DN1_SP0_c62.t1	As001G005030
OG0000063	ESY9_g44877_DN3_SP0_c0.t1	As010G224630
OG0000063	ESY6_g48808_DN3_SP0_c0.t1	As006G129470
OG0000063	ESY5_g4491_DN3_SP0_c0.t1	As006G129480, As005G114650
OG0000063	ESY5_g4464_DN2_SP0_c0.t1	As010G224620
OG0000063	ESY6_g48811_DN3_SP0_c0.t1	As005G114950
OG0000063	ESY8_g58878_DN3_SP0_c0.t1	As012G277450
OG0000065	ESY17_g39007_DN1_SP0_c0.t1	As012G279540, As012G279660, As012G279640, As006G149050, As012G279570, As002G040810, As012G279710, As011G259230, As001G009860, As007G166350, As007G166440, As012G279700, As012G279680, As012G279690, As012G279630, As012G279670, As006G149040, As012G279650, As012G279560
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	As002G052230
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	As007G156090
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1	As002G052910
OG0000066	ESY7_g18022_DN3_SP0_c0.t1	As005G118450
OG0000067	ESY2_g35389_DN2_SP0_c0.t1	As011G256020
OG0000070	ESY1_g8220_DN1_SP0_c0.t1	As004G090980, As011G257970
OG0000078	ESY9_g43985_DN3_SP0_c0.t1	As004G095030
OG0000082	ESY15_g65451_DN1_SP0_c66.t1	As012G278670
OG0000082	ESY11_g54439_DN1_SP0_c0.t1	As011G260840
OG0000085	ESY3_g29295_DN1_SP0_c68.t1	As001G000080
OG0000086	ESY16_g62560_DN2_SP0_c0.t1	As009G216030, As009G216300, As009G216040
OG0000087	ESY6_g50131_DN3_SP8_c0.t1	As010G222260
OG0000087	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	As006G128780
OG0000087	ESY7_g18326_DN3_SP8_c0.t1	As002G051000
OG0000087	ESY7_g16559_DN3_SP8_c0.t1	As004G086530
OG0000087	ESY9_g43361_DN3_SP8_c0.t1	As003G058850
OG0000087	ESY2_g34829_DN3_SP8_c0.t1	As010G237710
OG0000090	ESY1_g11932_DN3_SP0_c0.t1, ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1, ESY3_g32095_DN2_SP0_c41.t1, ESY10_g14297_DN3_SP0_c35.t1	As012G273080
OG0000093	ESY1_g11462_DN3_SP0_c0.t1, ESY1_g11487_DN3_SP0_c0.t1, ESY1_g11510_DN3_SP0_c0.t1, ESY1_g11505_DN3_SP0_c21.t1, ESY1_g11460_DN3_SP0_c0.t1, ESY1_g11453_DN3_SP0_c0.t1, ESY1_g11451_DN3_SP0_c19.t1, ESY1_g11458_DN3_SP0_c0.t1, ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1, ESY1_g11463_DN3_SP0_c0.t1	As012G284680, As012G284700, As012G284660
OG0000097	ESY7_g16525_DN2_SP0_c0.t1	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	ESY5_g3820_DN1_SP0_c0.t1, ESY5_g3778_DN2_SP0_c0.t1, ESY5_g3779_DN2_SP0_c0.t1, ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000102	ESY17_g40075_DN1_SP0_c10.t1	As010G228120, As002G042100
OG0000104	ESY8_g58838_DN3_SP0_c18.t1	As006G129180, As006G129160
OG0000104	ESY2_g37201_DN3_SP0_c14.t1	As012G271250
OG0000106	ESY6_g49250_DN3_SP0_c0.t1, ESY6_g49252_DN1_SP0_c0.t1, ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1, ESY3_g29685_DN2_SP0_c0.t1	As002G041170, As002G041390, As002G041440
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220, As011G252340
OG0000108	ESY11_g53833_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY6_g47227_DN3_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY11_g53834_DN2_SP0_c0.t1, ESY7_g18472_DN3_SP0_c0.t1, ESY11_g54688_DN1_SP0_c0.t1	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	ESY20_g12773_DN2_SP0_c0.t1	As002G048150
OG0000112	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	As011G262130, As011G262140, As009G217680, As009G217690
OG0000116	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1	As011G261080, As012G277730, As011G256700, As005G108990, As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000122	ESY18_g63392_DN1_SP0_c0.t1, ESY4_g25959_DN3_SP0_c0.t1, ESY6_g48231_DN2_SP0_c0.t1	As002G036520
OG0000123	ESY5_g2687_DN3_SP0_c0.t1, ESY7_g19049_DN2_SP0_c0.t1, ESY7_g19051_DN3_SP0_c0.t1, ESY5_g3215_DN2_SP0_c2.t1	As008G183720
OG0000125	ESY1_g11076_DN3_SP0_c0.t1, ESY3_g30943_DN3_SP0_c0.t1	As006G146230
OG0000125	ESY3_g30941_DN1_SP0_c0.t1	As012G277440
OG0000125	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	As005G113770
