Orthogroup	Euclidium_syriacum	Aethionema_saxatile
OG0000855	ESY1_g8875_DN3_SP0_c0.t1, ESY11_g53422_DN2_SP0_c0.t1	As010G223210
OG0000855	ESY6_g49840_DN3_SP7_c0.t1	As009G219120
OG0000857	ESY1_g9457_DN3_SP5_c0.t1	As010G227430, As010G227420
OG0000858	ESY4_g25661_DN3_SP0_c0.t1, ESY4_g25658_DN3_SP0_c0.t1, ESY4_g25656_DN3_SP0_c0.t1, ESY15_g64475_DN3_SP0_c0.t1	As011G255880, As011G255860
OG0000867	ESY2_g35245_DN3_SP0_c0.t1	As007G161960, As001G028870
OG0000868	ESY7_g18730_DN3_SP8_c0.t1	As009G211830
OG0000868	ESY3_g31301_DN3_SP8_c4.t1	As006G130700, As002G037910
OG0000869	ESY9_g42455_DN3_SP8_c0.t1	As004G090370
OG0000869	ESY10_g14860_DN3_SP3_c0.t1	As003G055880
OG0000870	ESY2_g36020_DN3_SP0_c0.t1	As003G068700
OG0000870	ESY8_g58113_DN3_SP0_c0.t1	As004G081540
OG0000871	ESY7_g17368_DN3_SP8_c0.t1	As009G201940
OG0000871	ESY8_g61040_DN3_SP8_c0.t1	As004G077790
OG0000872	ESY20_g12686_DN3_SP1_c0.t1	As006G126250
OG0000873	ESY12_g50825_DN3_SP0_c0.t1, ESY7_g17043_DN3_SP0_c0.t1, ESY3_g32060_DN3_SP0_c0.t1	As010G233530, As006G137440, As009G204210
OG0000876	ESY6_g50212_DN3_SP0_c0.t1, ESY2_g34942_DN3_SP0_c0.t1, ESY2_g33571_DN3_SP0_c0.t1, ESY6_g49891_DN3_SP0_c0.t1	As009G217470, As009G217500, As009G217530
OG0000883	ESY4_g25567_DN3_SP7_c0.t1	As001G014390
OG0000883	ESY3_g31924_DN3_SP8_c0.t1	As006G138050
OG0000884	ESY5_g1210_DN3_SP0_c0.t1	As007G162220, As002G033790, As007G161390, As007G162230, As007G161400
OG0000885	ESY5_g2304_DN3_SP3_c0.t1	As007G158480
OG0000885	ESY6_g48514_DN3_SP5_c0.t1, ESY4_g23882_DN3_SP6_c0.t1	As002G049480
OG0000886	ESY2_g36039_DN3_SP0_c0.t1	As004G082110
OG0000887	ESY4_g23985_DN2_SP0_c0.t1, ESY12_g51385_DN3_SP0_c0.t1	As005G099860
OG0000888	ESY1_g11425_DN3_SP8_c0.t1	As012G284780
OG0000888	ESY12_g51342_DN3_SP8_c0.t1	As005G104850
OG0000889	ESY6_g48702_DN3_SP5_c0.t1	As005G114990
OG0000889	ESY1_g8084_DN3_SP8_c0.t1	As010G224550
OG0000890	ESY1_g11077_DN2_SP0_c0.t1, ESY1_g11075_DN3_SP0_c0.t1	As012G277560
OG0000890	ESY9_g44844_DN3_SP0_c0.t1	As006G146240
OG0000891	ESY9_g43733_DN3_SP0_c0.t1	As007G158460, As007G158450, As007G158470, As007G158440
OG0000892	ESY6_g49957_DN3_SP0_c0.t1	As009G215030, As009G215020
OG0000893	ESY6_g50101_DN3_SP0_c0.t1	As009G216470
OG0000895	ESY3_g27322_DN3_SP0_c0.t1	As011G258420
OG0000897	ESY1_g11014_DN3_SP0_c0.t1, ESY1_g11016_DN3_SP0_c0.t1	As012G277910, As012G277930
OG0000900	ESY5_g2642_DN3_SP0_c0.t1, ESY5_g2650_DN3_SP0_c0.t1, ESY5_g2653_DN3_SP0_c0.t1, ESY5_g2646_DN3_SP0_c0.t1, ESY5_g2645_DN3_SP0_c0.t1, ESY5_g2643_DN3_SP0_c0.t1	As001G016830, As001G016840
OG0000901	ESY16_g61482_DN3_SP0_c0.t1, ESY12_g51483_DN3_SP0_c0.t1, ESY12_g51484_DN1_SP0_c0.t1	As001G017960, As001G018000, As001G017970, As001G017990, As001G017980
OG0000902	ESY3_g31169_DN2_SP6_c0.t1	As002G036680, As002G036460
OG0000903	ESY7_g18148_DN2_SP0_c0.t1, ESY3_g32482_DN1_SP0_c0.t1, ESY2_g33830_DN3_SP0_c0.t1, ESY2_g33832_DN3_SP0_c0.t1	As002G052040
OG0000904	ESY4_g24967_DN3_SP6_c0.t1	As005G118380, As002G052940
OG0000905	ESY7_g17998_DN3_SP8_c0.t1	As002G053040
OG0000905	ESY3_g30784_DN3_SP0_c0.t1, ESY6_g50573_DN3_SP0_c0.t1, ESY6_g50576_DN3_SP0_c0.t1, ESY6_g50574_DN3_SP0_c0.t1, ESY6_g50577_DN3_SP0_c0.t1, ESY6_g50572_DN3_SP5_c0.t1	As005G118090
OG0000906	ESY7_g17947_DN3_SP0_c0.t1	As002G053300
OG0000907	ESY9_g42700_DN3_SP6_c0.t1	As003G057070
OG0000907	ESY7_g16860_DN3_SP8_c0.t1	As004G088350
OG0000908	ESY4_g26795_DN3_SP3_c0.t1	As003G075600, As010G234720
OG0000910	ESY6_g48885_DN3_SP0_c0.t1	As005G114500
OG0000911	ESY6_g50319_DN3_SP1_c0.t1	As005G119970
OG0000911	ESY1_g10030_DN3_SP0_c0.t1, ESY1_g10242_DN3_SP0_c0.t1, ESY10_g14993_DN3_SP0_c0.t1, ESY4_g22464_DN3_SP0_c0.t1, ESY1_g10243_DN3_SP0_c0.t1	As010G220810
OG0000912	ESY20_g13277_DN3_SP8_c0.t1, ESY5_g5263_DN3_SP0_c0.t1, ESY18_g63145_DN3_SP0_c0.t1	As006G123380
OG0000913	ESY2_g35584_DN3_SP0_c0.t1	As007G159440, As010G233540, As006G125620
OG0000914	ESY3_g32166_DN3_SP0_c0.t1	As006G137220, As006G137210
OG0000915	ESY1_g10494_DN3_SP4_c0.t1	As012G276470
OG0000915	ESY9_g44367_DN3_SP1_c0.t1	As006G145010
OG0000916	ESY5_g2806_DN2_SP0_c0.t1	As008G182910
OG0000916	ESY5_g5474_DN3_SP0_c0.t1	As008G182950, As008G182920, As008G182900
OG0000917	ESY5_g2582_DN3_SP0_c29.t1	As008G184260, As008G184270
OG0000918	ESY2_g37682_DN3_SP0_c0.t1	As009G205850
OG0000919	ESY3_g29825_DN2_SP0_c0.t1	As011G249370
OG0000920	ESY2_g36200_DN3_SP0_c0.t1	As012G269310
OG0000921	ESY2_g37638_DN3_SP0_c0.t1, ESY2_g37637_DN3_SP0_c0.t1	As012G272730
OG0000930	ESY6_g50557_DN3_SP0_c0.t1	As011G266460
OG0000930	ESY4_g24341_DN3_SP7_c0.t1	As001G001170
OG0000931	ESY3_g31207_DN3_SP8_c7.t1	As002G036870
OG0000932	ESY9_g44787_DN3_SP7_c0.t1	As004G079170, As002G037970
OG0000933	ESY13_g56616_DN2_SP4_c0.t1	As002G044170, As007G165200
OG0000934	ESY9_g42979_DN3_SP0_c18.t1	As003G057830
OG0000935	ESY7_g16512_DN3_SP8_c0.t1	As004G086290
OG0000935	ESY9_g43425_DN3_SP8_c0.t1	As003G059060
OG0000936	ESY9_g43622_DN3_SP0_c0.t1	As003G059620
OG0000936	ESY9_g43620_DN3_SP0_c0.t1	As003G059640
OG0000937	ESY23_g324_DN3_SP0_c0.t1	As003G062060
OG0000939	ESY4_g26832_DN3_SP4_c0.t1	As007G181030, As007G181020, As003G075790
OG0000940	ESY24_g32821_DN3_SP8_c0.t1	As004G092040
OG0000940	ESY4_g26036_DN3_SP8_c8.t1	As004G090050
OG0000941	ESY15_g65508_DN3_SP8_c0.t1	As004G095180
OG0000941	ESY8_g58381_DN3_SP0_c0.t1, ESY5_g4809_DN3_SP8_c0.t1	As008G194780
OG0000942	ESY28_g55050_DN3_SP8_c0.t1	As011G255350, As004G095350
OG0000942	ESY12_g52187_DN3_SP3_c0.t1	As005G103580
OG0000943	ESY3_g31679_DN3_SP8_c0.t1, ESY10_g15462_DN3_SP0_c0.t1	As006G138940, As009G205930, As005G099310
OG0000944	ESY1_g11196_DN2_SP7_c0.t1	As005G103890, As012G285600
OG0000947	ESY3_g32519_DN3_SP4_c0.t1	As009G200880
OG0000948	ESY1_g10768_DN3_SP0_c0.t1	As012G281630, As010G224740, As010G224730, As006G143570
OG0000950	ESY10_g15397_DN3_SP8_c0.t1, ESY3_g31644_DN3_SP0_c0.t1	As009G205820
OG0000951	ESY10_g14939_DN2_SP0_c0.t1, ESY10_g14940_DN3_SP0_c0.t1	As010G227570, As010G227580, As010G227540, As009G214750
OG0000952	ESY2_g36111_DN3_SP6_c5.t1	As009G216080
OG0000953	ESY1_g9863_DN3_SP7_c0.t1, ESY1_g9199_DN3_SP0_c0.t1, ESY1_g12327_DN3_SP0_c0.t1	As010G221250
OG0000954	ESY3_g29434_DN3_SP2_c0.t1	As011G251450
OG0000962	ESY8_g60446_DN2_SP0_c0.t1, ESY7_g18078_DN2_SP0_c0.t1, ESY7_g18079_DN3_SP0_c0.t1	As001G027150
OG0000963	ESY7_g19496_DN3_SP6_c0.t1	As005G107430
OG0000964	ESY15_g65142_DN3_SP0_c0.t1	As002G040430
OG0000965	ESY2_g33365_DN3_SP0_c0.t1	As011G245590, As011G255900
OG0000965	ESY9_g42924_DN3_SP8_c0.t1	As003G057680
OG0000967	ESY14_g20850_DN2_SP8_c0.t1	As003G064080
OG0000967	ESY2_g35046_DN3_SP0_c0.t1	As010G235350
OG0000967	ESY5_g2342_DN3_SP8_c0.t1	As007G158200
OG0000968	ESY8_g61301_DN3_SP0_c0.t1	As004G077430
OG0000969	ESY9_g43287_DN2_SP0_c0.t1	As004G086960, As004G086930, As004G086940, As004G086920, As004G086790, As004G086800
OG0000970	ESY6_g50383_DN3_SP0_c0.t1, ESY9_g42828_DN3_SP0_c0.t1	As005G119400
OG0000971	ESY1_g10664_DN3_SP1_c0.t1, ESY3_g32114_DN3_SP2_c0.t1	As006G137320
OG0000972	ESY10_g15362_DN3_SP0_c0.t1	As009G205570
OG0000972	ESY4_g24827_DN3_SP0_c0.t1, ESY3_g31628_DN3_SP0_c0.t1	As006G139250
OG0000973	ESY7_g16919_DN3_SP0_c0.t1	As009G204830
OG0000973	ESY3_g31574_DN3_SP8_c0.t1	As006G139760
OG0000975	ESY5_g4031_DN3_SP1_c0.t1, ESY5_g4032_DN3_SP0_c0.t1, ESY5_g4029_DN2_SP0_c0.t1	As007G155990
OG0000975	ESY5_g4028_DN3_SP0_c0.t1, ESY2_g36049_DN3_SP0_c0.t1, ESY2_g36047_DN3_SP0_c0.t1	As010G238030
OG0000976	ESY5_g2864_DN3_SP0_c44.t1	As008G182530
OG0000977	ESY2_g33804_DN3_SP0_c0.t1	As010G224030
OG0000977	ESY7_g19380_DN3_SP0_c0.t1	As010G224040
OG0000977	ESY1_g8304_DN3_SP1_c0.t1	As010G224050
OG0000978	ESY1_g11602_DN3_SP0_c11.t1, ESY1_g11601_DN3_SP0_c11.t1	As010G225030, As010G225040, As010G225050
OG0000979	ESY2_g38638_DN1_SP0_c0.t1, ESY2_g38673_DN1_SP0_c0.t1	As012G274790
OG0000986	ESY3_g30759_DN3_SP0_c8.t1	As012G268180
OG0000986	ESY4_g24835_DN3_SP0_c0.t1	As004G094360, As001G003430
OG0000987	ESY16_g61842_DN3_SP5_c0.t1	As001G016180
OG0000988	ESY4_g23240_DN3_SP0_c0.t1	As009G212980, As002G037150
OG0000989	ESY2_g36561_DN3_SP0_c0.t1, ESY6_g48111_DN3_SP0_c0.t1	As002G043930
OG0000990	ESY10_g15082_DN3_SP7_c0.t1	As004G088950, As003G056480, As006G141100
OG0000991	ESY14_g19768_DN3_SP8_c0.t1	As003G062520, As003G062470
OG0000992	ESY4_g26775_DN3_SP0_c0.t1	As003G075530
OG0000994	ESY8_g58688_DN3_SP0_c19.t1, ESY8_g58690_DN3_SP0_c19.t1	As005G113560
OG0000994	ESY8_g58691_DN3_SP0_c20.t1, ESY8_g58692_DN3_SP0_c19.t1	As006G128340, As006G128350, As006G128360
OG0000995	ESY8_g58447_DN3_SP7_c0.t1	As006G127150
OG0000995	ESY5_g4746_DN3_SP0_c10.t1, ESY7_g18936_DN2_SP0_c0.t1	As008G194310
OG0000996	ESY8_g58577_DN3_SP8_c24.t1	As008G193450, As006G127870
OG0000997	ESY3_g32098_DN3_SP3_c0.t1	As006G137380
OG0000997	ESY5_g2639_DN3_SP8_c0.t1	As008G184100
OG0000998	ESY9_g45574_DN3_SP8_c0.t1, ESY1_g10741_DN3_SP0_c0.t1, ESY11_g54195_DN3_SP0_c0.t1, ESY4_g25716_DN3_SP0_c0.t1, ESY1_g10740_DN3_SP8_c0.t1	As006G143360
OG0000999	ESY2_g33541_DN1_SP0_c0.t1	As007G160930
OG0001000	ESY11_g53922_DN3_SP0_c20.t1	As009G200600
OG0001001	ESY6_g49919_DN3_SP0_c0.t1	As009G214920
OG0001002	ESY3_g30194_DN3_SP0_c0.t1	As011G245250
OG0001003	ESY3_g30617_DN3_SP5_c0.t1, ESY3_g30618_DN3_SP0_c0.t1	As011G247910
OG0001003	ESY2_g37041_DN3_SP8_c0.t1	As012G270560
OG0001004	ESY9_g45709_DN3_SP0_c0.t1	As011G266800, As011G266810, As011G266820, As011G266860, As011G266830, As011G266870
OG0001008	ESY1_g11998_DN3_SP0_c0.t1, ESY3_g32211_DN3_SP0_c0.t1, ESY4_g24310_DN3_SP0_c0.t1	As001G001100
OG0001008	ESY4_g24311_DN3_SP2_c0.t1	As001G001090
OG0001009	ESY7_g16988_DN3_SP0_c0.t1	As001G001490
OG0001009	ESY4_g24389_DN1_SP0_c0.t1	As001G001470
OG0001010	ESY16_g61813_DN3_SP8_c0.t1	As003G068260, As001G016390
OG0001010	ESY9_g43934_DN3_SP8_c0.t1	As004G079320
OG0001012	ESY2_g34161_DN3_SP0_c0.t1	As001G019280
OG0001012	ESY5_g3322_DN3_SP0_c0.t1	As008G188200
OG0001013	ESY6_g49275_DN3_SP0_c0.t1, ESY6_g49096_DN3_SP0_c0.t1	As001G029630, As001G029620
OG0001014	ESY7_g19575_DN3_SP0_c0.t1	As002G035480
OG0001015	ESY13_g56678_DN3_SP8_c0.t1	As007G165030
OG0001015	ESY6_g46815_DN3_SP6_c0.t1	As002G044280
OG0001016	ESY6_g49977_DN2_SP0_c0.t1	As002G052140, As009G215410
OG0001018	ESY7_g18709_DN3_SP8_c0.t1	As002G054290
OG0001019	ESY9_g42477_DN3_SP8_c0.t1	As003G056000
OG0001020	ESY9_g42521_DN3_SP8_c0.t1	As003G056290
OG0001020	ESY10_g14989_DN3_SP0_c0.t1	As004G089150
OG0001021	ESY1_g12526_DN3_SP0_c0.t1	As012G288810
OG0001021	ESY12_g52301_DN3_SP0_c0.t1	As005G098840
OG0001022	ESY12_g51434_DN3_SP5_c0.t1	As005G099680
OG0001022	ESY1_g12441_DN3_SP8_c0.t1	As012G288250
OG0001023	ESY11_g54211_DN1_SP0_c0.t1	As006G142040
OG0001023	ESY11_g54313_DN2_SP0_c0.t1, ESY11_g54221_DN1_SP0_c0.t1, ESY11_g54312_DN2_SP0_c0.t1, ESY11_g54314_DN1_SP0_c0.t1	As005G113850, As005G114020
OG0001024	ESY8_g58463_DN3_SP0_c0.t1	As006G127250, As006G127210, As006G127200
OG0001025	ESY8_g58597_DN3_SP0_c0.t1	As006G127940
OG0001026	ESY3_g32594_DN3_SP0_c0.t1	As006G134780
OG0001026	ESY7_g17504_DN3_SP6_c0.t1	As009G200810
OG0001028	ESY9_g45507_DN3_SP0_c0.t1	As006G143850
OG0001028	ESY1_g10784_DN3_SP0_c0.t1, ESY1_g10779_DN3_SP0_c0.t1	As012G281510
OG0001029	ESY5_g2378_DN3_SP6_c0.t1	As006G146260, As007G157960
OG0001029	ESY2_g34591_DN3_SP1_c0.t1	As010G235770
OG0001030	ESY5_g4018_DN3_SP0_c0.t1	As007G156040
OG0001030	ESY2_g36067_DN3_SP0_c0.t1	As010G237920
OG0001031	ESY5_g3998_DN3_SP8_c0.t1	As007G156170
OG0001031	ESY2_g36086_DN3_SP8_c0.t1	As010G237740
OG0001032	ESY2_g34717_DN3_SP0_c0.t1	As010G236850
OG0001032	ESY5_g2558_DN3_SP0_c0.t1	As007G157060
OG0001033	ESY4_g25230_DN3_SP0_c0.t1, ESY1_g10554_DN3_SP0_c0.t1	As007G161440
OG0001034	ESY2_g35592_DN3_SP0_c0.t1	As010G233610
OG0001035	ESY12_g51330_DN2_SP0_c0.t1, ESY7_g19588_DN1_SP0_c0.t1, ESY7_g19591_DN3_SP0_c0.t1, ESY7_g19592_DN3_SP0_c0.t1	As010G235450
OG0001036	ESY2_g38241_DN3_SP0_c0.t1	As010G242060, As010G242050
OG0001037	ESY3_g31395_DN2_SP0_c0.t1, ESY3_g30926_DN1_SP0_c0.t1, ESY3_g30922_DN1_SP0_c0.t1	As010G243190
OG0001038	ESY3_g30008_DN3_SP0_c24.t1	As011G244860
OG0001039	ESY3_g29790_DN3_SP0_c0.t1	As011G249640
OG0001040	ESY2_g37234_DN3_SP0_c0.t1	As012G271380
OG0001040	ESY3_g29104_DN3_SP0_c0.t1	As011G253350
OG0001041	ESY3_g30786_DN3_SP1_c0.t1	As011G266160
OG0001042	ESY2_g34350_DN3_SP0_c9.t1	As012G270980
OG0001043	ESY2_g37181_DN3_SP0_c7.t1, ESY2_g37182_DN3_SP0_c7.t1	As012G271170
OG0001043	ESY2_g37180_DN3_SP0_c7.t1, ESY2_g37179_DN3_SP0_c7.t1	As012G271100, As012G271110
OG0001044	ESY9_g45561_DN3_SP0_c16.t1	As012G281870
OG0001051	ESY11_g53891_DN3_SP0_c0.t1	As011G263630, As005G110590
OG0001051	ESY4_g25490_DN3_SP0_c0.t1	As001G014830
OG0001053	ESY2_g34102_DN3_SP8_c0.t1	As001G019720
OG0001054	ESY2_g33800_DN3_SP0_c0.t1, ESY2_g33798_DN3_SP1_c0.t1, ESY2_g33799_DN3_SP0_c0.t1	As001G021960, As001G021950
OG0001055	ESY10_g14137_DN3_SP0_c0.t1, ESY10_g14142_DN2_SP0_c0.t1	As003G068590, As001G024380
OG0001056	ESY3_g31098_DN2_SP0_c0.t1	As002G035820
OG0001056	ESY7_g19094_DN3_SP0_c0.t1	As009G214650
OG0001057	ESY16_g62115_DN3_SP0_c0.t1, ESY6_g47563_DN3_SP0_c0.t1	As002G045470
OG0001058	ESY9_g42418_DN3_SP8_c0.t1	As003G055590
OG0001058	ESY4_g26045_DN3_SP8_c0.t1	As003G072150
OG0001059	ESY7_g16725_DN3_SP0_c0.t1	As004G087590
OG0001060	ESY27_g13467_DN3_SP8_c0.t1	As004G094900
OG0001060	ESY3_g28258_DN3_SP8_c0.t1	As011G255760
OG0001061	ESY3_g28661_DN3_SP0_c0.t1	As011G254950
OG0001061	ESY22_g40700_DN3_SP0_c0.t1	As004G095690
OG0001062	ESY6_g50403_DN3_SP7_c0.t1	As005G119250
OG0001063	ESY3_g31627_DN3_SP0_c0.t1, ESY11_g54692_DN3_SP0_c0.t1	As006G139260
OG0001064	ESY9_g44658_DN2_SP8_c0.t1, ESY1_g11132_DN2_SP8_c12.t1	As006G145650
OG0001065	ESY9_g44759_DN3_SP7_c0.t1	As006G145860
OG0001065	ESY1_g11108_DN3_SP8_c0.t1	As012G277190
OG0001066	ESY9_g44769_DN3_SP2_c0.t1	As006G145870
OG0001066	ESY1_g11107_DN3_SP5_c0.t1	As012G277200
OG0001067	ESY2_g36800_DN3_SP7_c0.t1	As010G242380
OG0001067	ESY5_g4415_DN3_SP0_c1.t1	As007G153140
OG0001068	ESY3_g31939_DN3_SP2_c0.t1	As007G153800
OG0001068	ESY2_g35805_DN3_SP7_c0.t1, ESY8_g59440_DN3_SP2_c0.t1	As010G241390
OG0001069	ESY2_g35975_DN3_SP8_c0.t1	As010G238510
OG0001069	ESY5_g4079_DN3_SP8_c0.t1	As007G155720
OG0001070	ESY5_g1189_DN3_SP8_c0.t1	As007G161250
OG0001070	ESY2_g34440_DN3_SP0_c0.t1	As010G231200
OG0001071	ESY5_g2752_DN3_SP0_c0.t1, ESY5_g2756_DN3_SP0_c0.t1	As008G183320
OG0001072	ESY6_g50127_DN3_SP3_c0.t1	As009G216760
OG0001072	ESY1_g9420_DN3_SP8_c0.t1	As010G222230
OG0001073	ESY3_g29714_DN3_SP0_c0.t1, ESY2_g36256_DN3_SP0_c0.t1, ESY2_g33547_DN3_SP0_c0.t1	As011G250190
OG0001074	ESY2_g35950_DN3_SP0_c52.t1	As011G252670
OG0001075	ESY2_g37023_DN3_SP7_c0.t1, ESY2_g37026_DN3_SP0_c0.t1	As012G270490
OG0001087	ESY4_g25570_DN3_SP8_c0.t1	As001G014350
OG0001087	ESY3_g29287_DN3_SP0_c0.t1	As001G014360
OG0001088	ESY21_g55710_DN3_SP0_c0.t1, ESY5_g4945_DN3_SP0_c0.t1	As001G026740
OG0001088	ESY21_g55718_DN2_SP0_c0.t1	As004G097170
OG0001089	ESY1_g11026_DN3_SP0_c0.t1, ESY1_g11018_DN3_SP0_c0.t1	As001G027320
OG0001090	ESY1_g9450_DN3_SP0_c0.t1, ESY5_g3977_DN3_SP0_c0.t1, ESY20_g12917_DN3_SP0_c0.t1, ESY20_g12918_DN3_SP0_c0.t1, ESY8_g58195_DN1_SP0_c0.t1, ESY20_g12916_DN3_SP0_c0.t1	As001G027490, As001G027520, As001G027510
OG0001091	ESY1_g9312_DN3_SP8_c0.t1, ESY7_g19325_DN3_SP0_c0.t1	As010G222350
OG0001091	ESY24_g33221_DN3_SP8_c0.t1	As002G042730
OG0001091	ESY4_g25978_DN3_SP0_c0.t1	As009G207490
OG0001092	ESY7_g18449_DN2_SP0_c0.t1, ESY7_g18452_DN3_SP0_c0.t1	As002G047560
OG0001092	ESY7_g18448_DN3_SP0_c0.t1	As009G210680
OG0001093	ESY6_g49869_DN3_SP7_c10.t1	As005G109890
OG0001093	ESY7_g18316_DN3_SP7_c0.t1	As002G051090
OG0001094	ESY7_g17949_DN3_SP6_c0.t1	As002G053280
OG0001094	ESY6_g50533_DN3_SP7_c0.t1	As005G118310
OG0001095	ESY8_g59726_DN3_SP0_c0.t1, ESY8_g59725_DN3_SP0_c0.t1	As004G093100, As004G093080, As004G093090
OG0001096	ESY1_g11533_DN3_SP8_c0.t1	As012G284440
OG0001096	ESY12_g51269_DN3_SP8_c0.t1	As005G105060
OG0001098	ESY1_g9741_DN3_SP6_c0.t1	As010G221570
OG0001098	ESY6_g50448_DN3_SP8_c0.t1	As005G118860
OG0001100	ESY5_g4833_DN3_SP2_c0.t1	As006G125750, As008G195360, As008G194940
OG0001101	ESY9_g43119_DN3_SP0_c0.t1, ESY7_g17576_DN3_SP0_c0.t1	As009G200370
OG0001101	ESY7_g18232_DN3_SP0_c0.t1, ESY8_g58759_DN3_SP0_c0.t1	As006G133080
OG0001102	ESY3_g32516_DN3_SP8_c0.t1	As006G135240
OG0001102	ESY7_g17411_DN3_SP8_c0.t1	As009G201520
OG0001103	ESY10_g15777_DN3_SP0_c0.t1	As009G207010
OG0001103	ESY3_g32011_DN3_SP0_c0.t1	As006G137690
OG0001104	ESY10_g15714_DN3_SP3_c0.t1	As006G138120, As009G206960
OG0001105	ESY2_g36607_DN3_SP1_c0.t1	As010G243540
OG0001105	ESY5_g2969_DN1_SP0_c0.t1, ESY2_g36608_DN3_SP0_c0.t1	As007G152280
OG0001106	ESY5_g4394_DN3_SP8_c0.t1	As007G153300
OG0001106	ESY2_g36826_DN3_SP4_c0.t1	As010G242200
OG0001107	ESY2_g35902_DN3_SP8_c0.t1	As007G154350, As010G240470
OG0001108	ESY2_g35000_DN3_SP7_c0.t1	As007G155300, As010G238820
OG0001109	ESY5_g2397_DN3_SP6_c4.t1	As010G235960, As007G157790
OG0001110	ESY16_g61752_DN3_SP0_c39.t1	As010G232990, As007G160150
OG0001111	ESY19_g42010_DN3_SP8_c14.t1	As010G228810
OG0001111	ESY5_g832_DN3_SP8_c0.t1, ESY6_g49402_DN3_SP3_c0.t1	As007G162030
OG0001112	ESY2_g33668_DN3_SP0_c7.t1	As009G207970
OG0001113	ESY7_g18457_DN3_SP0_c0.t1	As009G210730
OG0001114	ESY7_g18747_DN3_SP0_c0.t1, ESY7_g18746_DN3_SP0_c0.t1	As009G211960
OG0001115	ESY2_g35811_DN3_SP0_c0.t1, ESY5_g4335_DN2_SP0_c0.t1	As010G241340
OG0001116	ESY2_g37251_DN3_SP5_c0.t1	As012G271470
OG0001116	ESY3_g29121_DN3_SP8_c0.t1	As011G253270
OG0001117	ESY2_g38669_DN3_SP0_c0.t1, ESY12_g51421_DN3_SP0_c0.t1, ESY9_g44788_DN3_SP0_c0.t1, ESY4_g25762_DN3_SP0_c0.t1, ESY4_g25749_DN3_SP0_c0.t1, ESY4_g25754_DN3_SP0_c0.t1, ESY4_g25743_DN3_SP0_c0.t1	As012G274810, As012G274800
OG0001124	ESY11_g54556_DN3_SP5_c0.t1, ESY11_g54914_DN3_SP3_c0.t1	As011G265980
OG0001124	ESY16_g62325_DN3_SP7_c0.t1	As012G276130, As001G000460
OG0001125	ESY16_g61910_DN3_SP0_c0.t1	As001G015980
OG0001125	ESY16_g61932_DN1_SP0_c0.t1, ESY16_g61933_DN3_SP0_c0.t1	As002G043210, As004G079080
OG0001126	ESY2_g35231_DN3_SP0_c0.t1	As003G070440, As011G256560, As003G070420, As003G070430, As003G070400, As001G020030
OG0001127	ESY5_g2823_DN3_SP1_c0.t1	As008G182820
OG0001127	ESY10_g14456_DN3_SP0_c14.t1	As001G023280
OG0001128	ESY10_g14093_DN3_SP0_c0.t1	As001G024510
OG0001128	ESY5_g2668_DN1_SP0_c0.t1	As008G183850
OG0001129	ESY2_g34536_DN3_SP0_c0.t1	As001G027480
OG0001130	ESY2_g35157_DN3_SP8_c0.t1	As001G028120
OG0001130	ESY8_g59930_DN3_SP0_c0.t1, ESY8_g60963_DN3_SP0_c0.t1	As004G077980
OG0001131	ESY13_g56284_DN3_SP0_c0.t1	As002G032550
OG0001131	ESY6_g48413_DN3_SP1_c0.t1	As002G048950
OG0001132	ESY7_g19407_DN3_SP8_c0.t1	As005G107970
OG0001132	ESY3_g30978_DN3_SP0_c0.t1	As002G034660
OG0001133	ESY6_g47990_DN3_SP3_c0.t1, ESY97_g19682_DN3_SP1_c0.t1	As006G134490
OG0001133	ESY16_g62392_DN3_SP8_c0.t1	As002G047010
OG0001134	ESY7_g17755_DN3_SP1_c0.t1, ESY7_g17754_DN1_SP7_c0.t1	As002G050280, As002G050290
OG0001135	ESY6_g50604_DN3_SP6_c0.t1	As005G117880
OG0001135	ESY7_g17939_DN3_SP0_c0.t1	As002G053400
OG0001136	ESY9_g42510_DN3_SP0_c0.t1	As003G056250
OG0001136	ESY10_g14967_DN3_SP0_c0.t1	As004G089250
OG0001137	ESY7_g16781_DN3_SP8_c0.t1	As004G087840
OG0001137	ESY9_g42929_DN3_SP8_c0.t1	As003G057700
OG0001138	ESY9_g43744_DN3_SP8_c0.t1, ESY3_g28684_DN3_SP3_c0.t1, ESY7_g16133_DN3_SP0_c0.t1	As003G060280
OG0001139	ESY4_g22582_DN3_SP8_c0.t1	As003G067410
OG0001139	ESY13_g57669_DN3_SP8_c0.t1	As007G162130
OG0001140	ESY4_g26131_DN3_SP0_c0.t1	As003G072340
OG0001140	ESY11_g54154_DN2_SP0_c0.t1	As011G264830
OG0001142	ESY22_g40864_DN3_SP2_c0.t1	As004G095910
OG0001143	ESY1_g12117_DN3_SP0_c0.t1, ESY12_g51938_DN3_SP0_c0.t1	As005G102010
OG0001144	ESY1_g11979_DN3_SP7_c0.t1	As012G286050
OG0001144	ESY12_g52073_DN3_SP3_c0.t1, ESY12_g52081_DN3_SP1_c0.t1	As005G102790
OG0001146	ESY12_g51185_DN3_SP8_c0.t1, ESY1_g11692_DN3_SP0_c0.t1	As005G105940
OG0001146	ESY3_g31072_DN3_SP8_c0.t1	As005G109260
OG0001147	ESY6_g49863_DN3_SP8_c0.t1	As005G110350
OG0001148	ESY6_g50661_DN3_SP7_c0.t1	As005G117560
