Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	CARHR155740, CARHR155710, CARHR155700, CARHR156270
OG0000089	As002G053510	CARHR203590
OG0000089	As011G250900	CARHR094190
OG0000089	As012G277570	CARHR131960
OG0000089	As010G224530, As005G115200	CARHR285740, CARHR155270
OG0000090	As004G082910	CARHR284690
OG0000090	As003G065330	CARHR069500
OG0000090	As012G273080	CARHR288810, CARHR145520, CARHR145510, CARHR145500, CARHR145480, CARHR010350
OG0000093	As012G284680, As012G284700, As012G284660	CARHR168740, CARHR168770, CARHR168730, CARHR168630, CARHR103160, CARHR103150, CARHR219320, CARHR168710, CARHR168690
OG0000096	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360	CARHR177990
OG0000098	As001G018420, As001G018430, As001G018440	CARHR156260, CARHR048950, CARHR048730, CARHR049190, CARHR049220, CARHR048980, CARHR048930, CARHR049010
OG0000098	As006G138310	CARHR049360
OG0000098	As006G138320	CARHR220960
OG0000098	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330	CARHR220990, CARHR220970, CARHR012600, CARHR255820, CARHR012590, CARHR220850, CARHR012520, CARHR013070
OG0000104	As006G129180, As006G129160	CARHR122230
OG0000104	As012G271240, As012G271230	CARHR258870
OG0000104	As012G271220	CARHR041960
OG0000104	As012G271190, As012G271200	CARHR041970, CARHR041980
OG0000104	As006G129190	CARHR122150, CARHR122160
OG0000106	As002G041170, As002G041390, As002G041440	CARHR159080, CARHR093690, CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860, CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380
OG0000107	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220	CARHR095660
OG0000107	As011G252340	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	CARHR253270, CARHR188180, CARHR174970, CARHR046250, CARHR000040, CARHR188170, CARHR103960
OG0000111	As002G048150	CARHR221770
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680
