Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0002820	As006G140110	CARHR081000, CARHR080980
OG0002821	As006G140460	CARHR081440, CARHR182480
OG0002822	As006G144050	CARHR078790
OG0002823	As006G144770	CARHR162630, CARHR130520
OG0002824	As006G146920	CARHR163820
OG0002825	As010G243950	CARHR074220
OG0002826	As010G243210	CARHR073550
OG0002826	As007G152490	CARHR016520
OG0002827	As007G153850	CARHR018070, CARHR065580
OG0002828	As007G153940	CARHR018100
OG0002828	As010G241060	CARHR065620
OG0002829	As007G154360	CARHR066260
OG0002830	As010G238970	CARHR067840
OG0002830	As007G155230	CARHR019450
OG0002831	As010G238770	CARHR068070, CARHR177860, CARHR177870
OG0002831	As007G155350	CARHR019560
OG0002832	As010G237250	CARHR069820
OG0002833	As007G156670	CARHR021020
OG0002833	As010G237240	CARHR069830
OG0002834	As007G159790	CARHR024270, CARHR063430, CARHR063420, CARHR063410
OG0002835	As010G232250	CARHR062120
OG0002835	As007G160850	CARHR025570
OG0002836	As007G161170	CARHR061680, CARHR025890
OG0002837	As007G161340	CARHR061220, CARHR026080
OG0002838	As007G162790	CARHR216290, CARHR258810
OG0002840	As007G180880	CARHR247550, CARHR112480
OG0002841	As008G195240	CARHR126300, CARHR004610
OG0002842	As008G197280, As008G197290, As008G197270	CARHR002340
OG0002844	As009G200670	CARHR198400, CARHR198390, CARHR198410
OG0002845	As009G204620	CARHR194200, CARHR080830
OG0002846	As009G207360	CARHR287960, CARHR050700, CARHR050710
OG0002847	As009G211870, As009G211860	CARHR045790
OG0002848	As009G216240	CARHR188960, CARHR158380
OG0002849	As009G216340	CARHR189190
OG0002850	As009G218290	CARHR275500
OG0002851	As009G216910	CARHR189850
OG0002851	As010G222370	CARHR157670
OG0002852	As009G216990	CARHR189970
OG0002853	As009G218380	CARHR275580
OG0002854	As009G219520, As009G219510, As009G219570, As009G219550	CARHR272710, CARHR272700, CARHR272690
OG0002855	As009G219680	CARHR075570, CARHR272590
OG0002856	As009G219710, As010G223780	CARHR155910
OG0002857	As010G221240	CARHR159190, CARHR159240, CARHR159200
OG0002859	As010G224720	CARHR154570
OG0002860	As010G226110, As011G263240	CARHR242910, CARHR106510
OG0002861	As010G233890	CARHR001730, CARHR064270
OG0002862	As010G239100	CARHR067700
OG0002863	As010G243440	CARHR073770, CARHR016390
OG0002864	As012G268420	CARHR045170
OG0002864	As011G245390	CARHR088120
OG0002865	As011G245720	CARHR088500
OG0002866	As011G245990	CARHR044580
OG0002867	As011G246110	CARHR088920
OG0002867	As012G269170	CARHR044460
OG0002868	As011G247630, As012G270140	CARHR090510, CARHR043150
OG0002869	As012G271540	CARHR040840
OG0002869	As011G252800	CARHR096270
OG0002871	As011G262600	CARHR105560
OG0002872	As011G263520	CARHR228680, CARHR106880, CARHR106870
OG0002873	As011G265610	CARHR109400
OG0002874	As011G267620	CARHR111630, CARHR235840
OG0002875	As012G271600	CARHR040940, CARHR096310, CARHR040950, CARHR096330
OG0002876	As012G272980	CARHR039330
OG0002877	As012G281230	CARHR165040, CARHR134030
OG0002879	As012G283630	CARHR167280, CARHR136450, CARHR136440
OG0002880	As012G283930	CARHR167530, CARHR207530
OG0002881	As012G284190	CARHR168010
OG0002890	As011G267320	CARHR111300
OG0002890	As001G000270	CARHR236110
OG0002891	As007G179070	CARHR184880
OG0002891	As001G002500	CARHR238360
OG0002892	As007G176760	CARHR116470
OG0002893	As001G004560	CARHR240030, CARHR116220
OG0002894	As010G226250	CARHR104530
OG0002894	As001G005380	CARHR240610
OG0002895	As006G131970	CARHR286470
OG0002895	As001G005770	CARHR240950
OG0002896	As001G012130	CARHR241790
OG0002896	As011G262260	CARHR105250
OG0002897	As001G014440	CARHR243040
OG0002897	As011G263470	CARHR106760
OG0002898	As001G014610	CARHR091860
OG0002899	As001G016720	CARHR031580, CARHR129690
OG0002900	As004G079980	CARHR129910
OG0002900	As001G017470	CARHR223470
OG0002901	As001G021000	CARHR051820
OG0002902	As001G021920	CARHR050550
OG0002903	As001G022250	CARHR015690
OG0002904	As008G182720	CARHR015230
OG0002904	As001G023030	CARHR144450
OG0002905	As001G026940	CARHR149810
OG0002906	As001G031240	CARHR047700, CARHR213020
OG0002907	As002G049140	CARHR271230
OG0002907	As002G032540	CARHR233300
OG0002908	As002G034870, As002G049680	CARHR271800
OG0002909	As002G036070	CARHR085160
OG0002909	As009G214320	CARHR208510
OG0002910	As009G212330	CARHR207070
OG0002910	As002G037490	CARHR086210
OG0002911	As002G039050	CARHR086930, CARHR199570
OG0002912	As002G045830	CARHR266910
OG0002912	As006G132290	CARHR025260
OG0002913	As002G046250	CARHR267770, CARHR234940
OG0002914	As002G047770, As006G134250	CARHR234120
OG0002915	As002G049850	CARHR271980, CARHR271860
OG0002916	As002G050530	CARHR027020, CARHR026790
OG0002917	As002G051300	CARHR201180, CARHR187410
OG0002918	As002G054630	CARHR190340, CARHR204870
OG0002919	As002G055050	CARHR205410
OG0002919	As002G055040	CARHR205400
OG0002920	As002G055540	CARHR275890
OG0002921	As003G055710	CARHR223970
OG0002921	As004G091060	CARHR173940
OG0002922	As004G089490	CARHR174580
OG0002923	As003G059680	CARHR228370, CARHR228360, CARHR228330, CARHR228350
OG0002924	As004G085010	CARHR254070
OG0002924	As003G060750	CARHR229700
OG0002925	As003G060930	CARHR254360
OG0002926	As003G062430, As004G083750	CARHR032370, CARHR032360, CARHR256160
OG0002927	As003G062980	CARHR033200
OG0002928	As003G063290	CARHR033720
OG0002928	As010G234620	CARHR290920
OG0002929	As003G063510	CARHR034010
OG0002930	As003G069000	CARHR027840
OG0002931	As003G071890	CARHR243940
OG0002932	As003G073230	CARHR245430
OG0002932	As007G179420	CARHR293130
OG0002933	As003G073620	CARHR245770, CARHR114350
OG0002934	As003G074190	CARHR246270
OG0002934	As007G180010	CARHR113990
OG0002935	As003G075690	CARHR112440
OG0002936	As003G075770	CARHR247660
OG0002937	As003G075880, As003G075870	CARHR247770
OG0002938	As003G076270	CARHR294280
OG0002939	As004G080670	CARHR259530, CARHR253350, CARHR254210
OG0002940	As004G080970	CARHR128310, CARHR259450
OG0002941	As004G092810	CARHR243920, CARHR193120
OG0002942	As004G095150	CARHR220150
OG0002942	As011G255680	CARHR099720
OG0002943	As004G097800	CARHR213250, CARHR110430, CARHR213240
OG0002944	As012G288390	CARHR172820
OG0002944	As005G099470	CARHR142830
OG0002945	As011G262010, As005G099620	CARHR016220
OG0002946	As005G100780	CARHR141610
OG0002947	As012G286270	CARHR170670
OG0002947	As005G102260	CARHR140140
OG0002948	As005G102730, As005G102740	CARHR202860
OG0002949	As005G102770	CARHR139620, CARHR139630, CARHR150030
OG0002950	As005G102900, As005G120840	CARHR281740
OG0002951	As005G103310	CARHR139060, CARHR139070
OG0002952	As005G103620	CARHR138810, CARHR169980, CARHR170000
OG0002953	As005G103850	CARHR138580
OG0002953	As012G285610	CARHR169960
OG0002954	As005G103920, As012G285590	CARHR169920
OG0002955	As005G106570	CARHR211830
OG0002956	As005G112690	CARHR118920, CARHR191720
OG0002957	As010G225170	CARHR150040
OG0002957	As005G114440	CARHR273900
OG0002958	As007G178300, As005G115210, As005G115130, As005G115110	CARHR190570
OG0002959	As005G118360	CARHR202950
OG0002960	As005G119270	CARHR280250
OG0002961	As005G120200	CARHR281180, CARHR160380
OG0002962	As006G120960	CARHR028140
OG0002963	As006G122220	CARHR249470
OG0002963	As008G198490	CARHR001300
OG0002965	As006G124330	CARHR179030
OG0002966	As008G197040	CARHR003270
OG0002966	As006G124460	CARHR179170
OG0002967	As006G124650	CARHR179480
OG0002967	As008G196470	CARHR003490
OG0002968	As008G196450	CARHR003500
OG0002968	As006G124680	CARHR179530
OG0002969	As008G196060	CARHR003860
OG0002969	As006G125390	CARHR127330
OG0002970	As006G125530	CARHR127240
OG0002970	As008G195970	CARHR003960
OG0002971	As008G195980	CARHR003950
OG0002972	As008G195210	CARHR004630
OG0002972	As006G126330	CARHR126250
OG0002973	As008G193960	CARHR005720
OG0002973	As006G127510	CARHR124750
OG0002974	As006G129330	CARHR122060, CARHR007420
OG0002975	As006G132020	CARHR240820, CARHR115330
OG0002976	As006G133020	CARHR198810, CARHR075330
OG0002977	As006G133120	CARHR075410
OG0002977	As009G200420	CARHR198630
OG0002978	As006G134070	CARHR272780, CARHR202240
OG0002979	As006G134610	CARHR268740, CARHR234310
OG0002980	As006G138640	CARHR079630
OG0002980	As009G206310	CARHR186090
OG0002981	As006G139720	CARHR193930
OG0002982	As006G144850	CARHR130570
OG0002983	As006G145220	CARHR130970
OG0002983	As012G276680	CARHR162970
OG0002984	As006G145240	CARHR131010, CARHR131040
OG0002985	As006G145790, As006G145780	CARHR131670
OG0002987	As007G152650	CARHR016610
OG0002988	As010G238160	CARHR068810
OG0002988	As007G155970	CARHR034620, CARHR218780, CARHR020230
OG0002989	As007G160830, As007G160820	CARHR004020, CARHR004010, CARHR181900
OG0002990	As010G229850, As007G161280	CARHR026010
OG0002991	As007G165450	CARHR232920, CARHR232930
OG0002993	As008G188150	CARHR040170, CARHR189180
OG0002994	As008G195400	CARHR055250, CARHR004470
OG0002995	As008G197220	CARHR002580
OG0002996	As009G211470	CARHR186960
OG0002997	As009G207200	CARHR185380, CARHR185360
OG0002998	As009G211120	CARHR206240
OG0002999	As009G213270	CARHR207810
OG0003000	As009G217860	CARHR274970, CARHR099960
OG0003001	As009G218700	CARHR276010
OG0003002	As010G225190	CARHR150050
OG0003003	As010G241350	CARHR017950, CARHR065320
OG0003004	As011G246950	CARHR043670, CARHR089770
OG0003005	As012G274670	CARHR290410
OG0003005	As011G248900	CARHR091880
OG0003006	As012G274340	CARHR222520
OG0003006	As011G249140	CARHR092220
OG0003007	As011G249150	CARHR222650, CARHR092230
OG0003008	As012G273130	CARHR038730
OG0003008	As011G250370	CARHR093630
OG0003009	As011G251640	CARHR095020
OG0003009	As012G272550	CARHR039950
OG0003010	As012G271740	CARHR041150
OG0003010	As011G253010	CARHR096580
OG0003011	As011G255440	CARHR099470, CARHR099460, CARHR099450, CARHR099480
OG0003013	As011G263620	CARHR107030, CARHR243330
OG0003014	As011G264920	CARHR108470, CARHR239630, CARHR286350
OG0003015	As011G266410	CARHR110170
OG0003016	As012G271370	CARHR103680, CARHR041840, CARHR097140
OG0003017	As012G271460	CARHR041720
OG0003018	As012G281520	CARHR165200, CARHR134250
OG0003019	As012G282450, As012G282290	CARHR089960
OG0003020	As012G285870	CARHR139200, CARHR170220
OG0003033	As001G000700	CARHR236560
OG0003033	As011G266880	CARHR110720
OG0003034	As001G002000, As001G001990, As001G001960, As001G001980, As001G001970	CARHR101090, CARHR101110, CARHR101100, CARHR164790
OG0003036	As001G012870	CARHR242570, CARHR105670
OG0003038	As001G015900	CARHR030770, CARHR129870
OG0003039	As008G187230	CARHR010570
OG0003039	As001G020340	CARHR053270
OG0003040	As001G020420	CARHR053090, CARHR053080
OG0003041	As001G021030	CARHR051790
OG0003041	As008G186920	CARHR010870
OG0003042	As001G026770	CARHR149390
OG0003043	As004G076940	CARHR056950
OG0003044	As008G185100	CARHR012580
OG0003044	As001G031920	CARHR049100
OG0003045	As002G037950, As002G037960	CARHR086470, CARHR086460
OG0003046	As002G045170, As002G045180	CARHR266550, CARHR235610
OG0003047	As002G053800	CARHR203950
OG0003048	As005G116650	CARHR278210
OG0003048	As002G054230	CARHR204400
OG0003049	As003G055940	CARHR224300
OG0003049	As004G089930	CARHR174270
OG0003050	As004G085000	CARHR254110
OG0003050	As003G060760	CARHR229710
OG0003051	As003G060980	CARHR230050
OG0003051	As004G084740	CARHR254500
OG0003052	As004G080140	CARHR260490
OG0003052	As003G063420	CARHR033880
OG0003053	As004G080710	CARHR259310
OG0003053	As003G064290	CARHR124550
OG0003054	As003G065530	CARHR037070
OG0003054	As004G082430	CARHR181610
OG0003055	As003G068720	CARHR027730
OG0003056	As003G068860	CARHR127890
OG0003057	As003G071950	CARHR244000
OG0003057	As011G264610	CARHR107890
OG0003058	As003G073190	CARHR245350
OG0003059	As004G078830	CARHR129250
OG0003060	As004G085950	CARHR252620, CARHR228460
OG0003061	As004G091040	CARHR173920
OG0003062	As004G091700	CARHR217400, CARHR103930
OG0003063	As011G256870	CARHR101010
OG0003064	As004G095360	CARHR099290
OG0003065	As004G096320	CARHR221980, CARHR097840
OG0003066	As005G098610, As012G288910	CARHR047070
OG0003067	As012G286910	CARHR171190
OG0003068	As005G103410	CARHR138970
OG0003069	As012G283700	CARHR167350
OG0003070	As010G226890, As005G112350	CARHR191970
OG0003071	As010G225530	CARHR150750
OG0003072	As005G114410	CARHR289230, CARHR273950, CARHR273930, CARHR273940
OG0003073	As005G117990, As006G139190	CARHR080260
OG0003074	As010G221490	CARHR158830
OG0003074	As005G118890	CARHR279830
OG0003075	As005G118970	CARHR279930
OG0003075	As010G221440	CARHR158880
OG0003076	As005G119750	CARHR280790, CARHR160000
OG0003078	As005G120710, As005G120690	CARHR281600
OG0003079	As006G121290	CARHR248810
OG0003079	As008G199130	CARHR000570
OG0003080	As006G127070	CARHR125270
OG0003080	As008G194380	CARHR005360
OG0003082	As006G128060	CARHR123940
OG0003083	As008G192920	CARHR007020
OG0003083	As006G128710	CARHR122980
OG0003085	As006G130800	CARHR119810, CARHR119790, CARHR119800
OG0003087	As006G136280	CARHR077270
OG0003088	As006G138140	CARHR079240, CARHR079230, CARHR098470, CARHR098460
OG0003089	As006G139090	CARHR080160, CARHR186560
OG0003090	As009G204770, As009G204780	CARHR194040
OG0003090	As006G139800, As006G139810	CARHR080750
OG0003091	As012G278880	CARHR161400
OG0003092	As208G297030, As006G149250	CARHR111700
OG0003093	As010G243940	CARHR074210
OG0003094	As007G153470	CARHR017580
OG0003095	As007G153700	CARHR017860, CARHR257920, CARHR257910
OG0003096	As007G159050	CARHR023280, CARHR023260
OG0003097	As007G160110	CARHR024650, CARHR063090
OG0003098	As008G182610, As008G182620	CARHR015360
OG0003099	As010G221090, As008G186160	CARHR285970, CARHR288020, CARHR159870, CARHR159860, CARHR036770
OG0003100	As008G193240	CARHR123900
OG0003101	As009G200630	CARHR198450
OG0003101	As009G206010	CARHR075540
OG0003102	As009G211480	CARHR107240, CARHR107230, CARHR260670, CARHR199610
OG0003103	As009G218070	CARHR275220, CARHR205510
OG0003104	As009G218280	CARHR275490
OG0003105	As010G223280, As009G219090	CARHR156620, CARHR156630
OG0003106	As010G220410	CARHR160770
OG0003107	As010G223630	CARHR156100
OG0003108	As010G227010	CARHR153460
OG0003109	As010G240450	CARHR066270, CARHR066280
OG0003110	As010G243040	CARHR046050
OG0003111	As011G245300	CARHR088020
OG0003111	As012G268350	CARHR045240
OG0003112	As012G268700, As011G245490	CARHR082720
OG0003113	As011G248020	CARHR090920, CARHR090910
OG0003114	As012G272710	CARHR039730, CARHR105750
OG0003115	As012G271390, As011G253330	CARHR041810
OG0003116	As011G255420	CARHR099420, CARHR099430
OG0003117	As011G257560	CARHR101140, CARHR218660
OG0003118	As011G259380	CARHR103990, CARHR249630
OG0003119	As011G263390	CARHR106670
OG0003120	As011G263430	CARHR106720
OG0003121	As012G269010	CARHR088710, CARHR044640
OG0003122	As012G274910	CARHR128980, CARHR030140
OG0003123	As012G277270	CARHR132200
OG0003124	As012G278130	CARHR132510
OG0003139	As001G001020	CARHR236910, CARHR237270
OG0003141	As001G013880, As001G013890	CARHR242400
OG0003142	As001G015570	CARHR243600
OG0003143	As004G083010	CARHR129990
OG0003143	As001G018020	CARHR222880
OG0003144	As008G186710	CARHR011070
OG0003144	As001G021150	CARHR052310
OG0003145	As001G021160	CARHR011090, CARHR051880
OG0003146	As001G023390	CARHR144880
OG0003147	As005G112830	CARHR213380
OG0003147	As001G025910	CARHR148210
OG0003148	As001G026170	CARHR148540
OG0003148	As004G097620	CARHR213740
OG0003149	As001G027350	CARHR032520
OG0003150	As001G027700	CARHR152340
OG0003150	As004G078350	CARHR262920
OG0003151	As001G029590	CARHR216500
OG0003152	As001G030740	CARHR046750
OG0003152	As004G098120	CARHR212890
OG0003153	As001G030750	CARHR046740, CARHR212880
OG0003154	As004G097870	CARHR213070
OG0003154	As001G031280	CARHR047870
OG0003155	As009G214140, As002G036180	CARHR208320
OG0003156	As002G042480	CARHR037820, CARHR290860, CARHR289090
OG0003157	As006G134590, As002G047110	CARHR268620
OG0003158	As002G053170	CARHR203150
OG0003159	As003G058570	CARHR227210
OG0003160	As004G082280	CARHR181430
OG0003161	As003G074400	CARHR056820
OG0003163	As004G085770	CARHR252810
OG0003164	As004G094040	CARHR218930
OG0003164	As011G256430	CARHR100460
OG0003165	As010G242190, As004G096240	CARHR072440, CARHR072430
OG0003166	As005G101140	CARHR141220
OG0003166	As012G287420	CARHR171760
OG0003167	As005G101620, As005G101630	CARHR140700
OG0003168	As005G106450, As005G106500	CARHR083280
OG0003169	As005G107740	CARHR084000, CARHR210650
OG0003170	As005G119110	CARHR280090
OG0003171	As006G122380	CARHR250220
OG0003172	As006G122440	CARHR250150, CARHR250120
OG0003173	As006G123600, As006G123610	CARHR251240
OG0003174	As006G124110	CARHR251770, CARHR002880
OG0003175	As008G195660	CARHR004250
OG0003175	As006G125860	CARHR126680
OG0003176	As006G125980, As006G125970	CARHR126810
OG0003177	As006G128880	CARHR122720, CARHR122710
OG0003178	As006G133380	CARHR075030
OG0003178	As009G200280	CARHR199220
OG0003179	As006G133480	CARHR074940
OG0003179	As009G200340	CARHR199300
OG0003180	As009G207110	CARHR185290
OG0003180	As006G137880	CARHR078920
OG0003181	As006G138760	CARHR008990, CARHR079920
OG0003182	As006G142190	CARHR083270, CARHR211890
OG0003183	As006G143710	CARHR222400, CARHR222410, CARHR133970, CARHR133960
OG0003184	As006G144650	CARHR130330
OG0003185	As006G148040	CARHR132800, CARHR132810, CARHR132790
OG0003186	As007G154910	CARHR019120
OG0003186	As010G239450	CARHR067180
OG0003187	As010G237510	CARHR069530
OG0003187	As007G156370	CARHR020700
OG0003188	As007G156780	CARHR021130
OG0003189	As007G156790	CARHR021150
OG0003190	As010G235870	CARHR071070
OG0003192	As007G159840	CARHR018670
OG0003193	As010G228330, As007G162010	CARHR060100
OG0003194	As007G178260	CARHR238930, CARHR117800
OG0003195	As007G180480	CARHR113310, CARHR112840, CARHR113290
OG0003196	As008G182440	CARHR015510
OG0003197	As008G184830	CARHR012690
OG0003199	As008G190490	CARHR289400
OG0003200	As008G190800	CARHR008310
OG0003201	As008G194490	CARHR004090, CARHR010410
OG0003202	As008G197050	CARHR003250, CARHR131200, CARHR131270
OG0003203	As009G206950	CARHR184990, CARHR079640
OG0003204	As009G214600	CARHR208810, CARHR085020
OG0003206	As009G215340	CARHR188080
OG0003207	As009G217560	CARHR274520
OG0003208	As010G236670, As010G236680	CARHR070310
OG0003209	As011G246360	CARHR089170, CARHR089180
OG0003212	As011G248070	CARHR090980
OG0003213	As011G248330	CARHR091340
OG0003214	As011G250070	CARHR093340
OG0003215	As011G250690	CARHR038940
OG0003216	As011G265500	CARHR108720, CARHR105920, CARHR108710, CARHR219930
OG0003217	As011G267290	CARHR111240
OG0003218	As012G270030	CARHR043290, CARHR043300
OG0003221	As012G275000	CARHR274220, CARHR264730, CARHR190320, CARHR248460
OG0003222	As012G281200	CARHR165000, CARHR165010
OG0003223	As012G282130	CARHR240460
OG0003224	As012G282320, As012G282440	CARHR166040
OG0003225	As012G284760	CARHR098750, CARHR050030, CARHR166300
OG0003226	As012G285770	CARHR138980
OG0003247	As007G178960	CARHR184720
OG0003248	As001G002810, As007G178580	CARHR118300
OG0003249	As001G004570	CARHR240040, CARHR116210
OG0003250	As001G004950	CARHR240330, CARHR115870
OG0003251	As001G010070	CARHR221990
OG0003252	As001G012160	CARHR241820, CARHR156580
OG0003253	As006G124430, As006G124420, As001G012340	CARHR179150
OG0003254	As001G012950, As001G013440	CARHR137030
OG0003254	As005G104800, As001G012960	CARHR137670
OG0003255	As001G015840	CARHR030680
OG0003255	As004G078910	CARHR010260
OG0003256	As001G024690	CARHR013610, CARHR288530
OG0003257	As001G026920	CARHR149790, CARHR261940
OG0003258	As004G077970	CARHR264020
OG0003259	As001G032020, As001G032030	CARHR057740
OG0003260	As002G043840	CARHR166130
OG0003261	As002G044910	CARHR266120
OG0003262	As002G045810	CARHR266930
OG0003263	As006G134380	CARHR234560
OG0003263	As002G046720	CARHR268310
OG0003264	As002G051950	CARHR201970, CARHR188120
OG0003265	As002G052510	CARHR202600
OG0003265	As002G052520, As007G177780	CARHR155340
OG0003266	As009G217180	CARHR190220
OG0003266	As002G054550	CARHR204740
OG0003267	As010G239510	CARHR067100
OG0003267	As002G054690	CARHR205000
OG0003268	As003G057170	CARHR225540
OG0003269	As003G063720, As003G063650, As003G063670, As003G060450, As004G085330	CARHR253600
OG0003270	As003G064000	CARHR117560, CARHR120200
OG0003271	As003G068290	CARHR027510
OG0003272	As003G071130	CARHR030000, CARHR029990, CARHR029960
OG0003274	As003G071680	CARHR243730
OG0003275	As003G071920	CARHR243980
OG0003276	As003G072620	CARHR244780
OG0003276	As011G265520	CARHR108690, CARHR277430
OG0003277	As003G072780	CARHR118850, CARHR244930, CARHR108930
OG0003278	As003G076070	CARHR247940
OG0003279	As003G076080	CARHR294460
OG0003280	As004G079190	CARHR129790
OG0003282	As004G092460	CARHR216800, CARHR103060
OG0003283	As004G093520	CARHR218570
OG0003284	As004G094590	CARHR219500, CARHR099910
OG0003285	As004G094820	CARHR219660, CARHR219670, CARHR054020
OG0003286	As004G095820	CARHR221200, CARHR098680
OG0003287	As004G096020	CARHR221460, CARHR098370
OG0003288	As005G099390	CARHR142910
OG0003289	As005G103340	CARHR199330, CARHR058880, CARHR139040, CARHR199340
OG0003290	As005G107020	CARHR211370
OG0003291	As008G189290	CARHR103120
OG0003292	As005G113660, As010G225920	CARHR151250
OG0003293	As010G222620	CARHR157260
OG0003293	As005G116260	CARHR277200
OG0003294	As005G117700	CARHR278670
OG0003295	As010G221600	CARHR158740
OG0003295	As005G118770	CARHR279690
OG0003296	As005G120210	CARHR281190
OG0003296	As010G220690	CARHR160400
OG0003297	As005G120390	CARHR034760
OG0003298	As006G124470	CARHR179190
OG0003299	As006G126230	CARHR126430, CARHR004540
OG0003300	As006G128530	CARHR006890, CARHR123240
OG0003301	As006G130610	CARHR119470
OG0003302	As006G131610	CARHR241270
OG0003304	As006G133920	CARHR212220
OG0003304	As006G142030	CARHR083060, CARHR083080, CARHR083070, CARHR083090
OG0003305	As006G136050	CARHR077040
OG0003305	As009G202840	CARHR196280
OG0003306	As006G138040	CARHR079090
OG0003307	As006G138370	CARHR185920
OG0003308	As006G141290	CARHR259910, CARHR082280, CARHR183920
OG0003309	As006G148620, As009G212270	CARHR232610
OG0003310	As007G153460	CARHR017570
OG0003310	As010G241900	CARHR072030
OG0003311	As007G153610	CARHR017750
OG0003312	As010G240150	CARHR066520
OG0003312	As007G154450	CARHR018940
OG0003313	As010G239970	CARHR066700
OG0003313	As007G154590	CARHR018780
OG0003314	As010G238780, As007G155340	CARHR068060, CARHR019550
OG0003315	As007G157170	CARHR021650
OG0003316	As007G158290	CARHR022600, CARHR022660, CARHR022640, CARHR022630
OG0003317	As007G158600	CARHR022960, CARHR258050, CARHR022900, CARHR182360, CARHR182150
OG0003318	As007G159430	CARHR023720
OG0003319	As007G160400	CARHR062660
OG0003320	As007G161580	CARHR026340
OG0003321	As007G176610	CARHR116390
OG0003322	As008G185720	CARHR100170, CARHR011990
OG0003323	As008G192340, As008G192600	CARHR007330, CARHR007320
OG0003324	As009G200870, As009G200840	CARHR075780
OG0003325	As009G206630, As009G206770	CARHR185830
OG0003326	As009G211740	CARHR206480
OG0003327	As009G213040	CARHR165970
OG0003329	As010G229480	CARHR060520
OG0003330	As010G232880	CARHR062930, CARHR025000, CARHR024880
OG0003331	As010G235720	CARHR071210
OG0003332	As010G238330	CARHR068560
OG0003333	As010G239610	CARHR067010, CARHR019030
OG0003334	As010G242170	CARHR072410, CARHR072390
OG0003335	As010G242230	CARHR072480
OG0003336	As012G268160, As011G245170	CARHR087910
OG0003337	As012G274170	CARHR037590
OG0003338	As011G254220	CARHR098110, CARHR221720
OG0003340	As012G283900	CARHR167560
OG0003341	As012G284510, As012G284500	CARHR168400, CARHR168420, CARHR168410
OG0003359	As001G004550	CARHR239990
OG0003360	As001G004820	CARHR240230
OG0003361	As001G006980	CARHR287180
OG0003362	As001G012370	CARHR286410, CARHR106600, CARHR241900, CARHR146060
OG0003363	As001G012710	CARHR242480
OG0003364	As001G014620	CARHR243170, CARHR250380
OG0003366	As001G017300, As004G079860	CARHR223660, CARHR129330
OG0003367	As001G023260	CARHR144710, CARHR015090
OG0003368	As001G023790	CARHR145370
OG0003370	As008G184030	CARHR013730
OG0003370	As001G024850	CARHR146790
OG0003371	As004G097400	CARHR261440
OG0003371	As001G026520	CARHR148940
OG0003372	As004G078490	CARHR262560
OG0003372	As001G027560	CARHR152100
OG0003373	As004G077410	CARHR214960
OG0003374	As001G029750	CARHR057320, CARHR056390
OG0003375	As001G031110	CARHR047400
OG0003376	As002G033240, As002G032580	CARHR233370
OG0003377	As002G048700	CARHR270770
OG0003377	As002G032770	CARHR233610
OG0003378	As002G040740	CARHR258730, CARHR231800
OG0003379	As002G047130	CARHR204420, CARHR234320
OG0003380	As002G049460	CARHR271540
OG0003381	As002G049570	CARHR235800, CARHR271680
OG0003382	As002G053070	CARHR293760, CARHR203060
OG0003383	As009G218010	CARHR275170
OG0003384	As003G057350	CARHR225790
OG0003385	As003G058630, As004G086710	CARHR227270
OG0003386	As008G183260, As008G183150, As011G253860, As003G060190	CARHR228920, CARHR228930
OG0003387	As004G083680	CARHR256240
OG0003389	As003G069450	CARHR028240
OG0003390	As003G070950	CARHR029790, CARHR029800, CARHR219130
OG0003391	As003G072890	CARHR245030
OG0003392	As007G180200	CARHR113710
OG0003393	As007G180240	CARHR113670
OG0003394	As004G077150	CARHR215770
OG0003395	As004G084260	CARHR255490
OG0003396	As004G084450	CARHR255260, CARHR255270
OG0003397	As004G088040	CARHR176470
OG0003399	As004G094640	CARHR219620, CARHR219630, CARHR219550, CARHR219650
OG0003400	As004G094890	CARHR219820, CARHR179980
OG0003402	As004G096470	CARHR222160, CARHR058620, CARHR187980, CARHR058610
OG0003403	As012G288800	CARHR173240
OG0003404	As005G099700	CARHR142630
OG0003405	As012G285790, As005G103390	CARHR170150
OG0003406	As005G104810	CARHR016340
OG0003407	As005G106080, As005G106190	CARHR212130
OG0003407	As006G142110	CARHR083160
OG0003408	As010G221480	CARHR158850
OG0003408	As005G118920	CARHR279860
OG0003409	As005G119220	CARHR159040, CARHR280200
OG0003410	As006G121820	CARHR249030
OG0003410	As008G198740	CARHR000850
OG0003411	As006G123300	CARHR250810
OG0003412	As006G126310	CARHR126280
OG0003412	As008G195230	CARHR004600
OG0003413	As006G127980	CARHR124030
OG0003414	As006G128650	CARHR123040
OG0003414	As009G213050	CARHR207560
OG0003415	As006G133010, As006G132990	CARHR075320, CARHR198820
OG0003416	As009G202130	CARHR197080
OG0003417	As006G138460	CARHR186010
OG0003418	As006G138650	CARHR079620
OG0003419	As009G204810	CARHR194020
OG0003420	As006G142690, As006G142680	CARHR135290
OG0003422	As006G146040	CARHR132240
OG0003422	As012G277250	CARHR163410
OG0003424	As006G147230	CARHR133290
OG0003425	As007G152070	CARHR016010
OG0003426	As007G153720	CARHR017870
OG0003427	As007G156960	CARHR021350
OG0003428	As007G157140	CARHR021590
OG0003429	As007G157150	CARHR021630
OG0003429	As010G236620	CARHR070360
OG0003430	As010G233060	CARHR063160
OG0003431	As007G160430	CARHR025090
OG0003432	As007G161360	CARHR026100, CARHR012340
OG0003433	As007G176830	CARHR116630
