Orthogroup	Aethionema_saxatile	Conringia_planisiliqua
OG0000015	As001G010760	CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1
OG0000017	As006G147350	CP3_g16638_DN2_SP0_c.t1, CP28_g33976_DN2_SP0_c.t1, CP50_g6576_DN2_SP0_c.t1, CP1_g40651_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1
OG0000017	As001G010690	CP18_g12312_DN3_SP0_c.t1, CP44_g20955_DN3_SP0_c.t1
OG0000017	As003G065780	CP6_g9455_DN3_SP0_c.t1
OG0000019	As009G203070	CP47_g21270_DN3_SP0_c.t1
OG0000019	As001G007070	CP15_g35899_DN2_SP0_c.t1
OG0000019	As012G281430, As001G013530	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1
OG0000020	As001G015310, As011G260550	CP56_g20986_DN2_SP0_c.t1
OG0000020	As007G165150, As001G010310, As001G015320	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1
OG0000020	As009G211210, As012G277620	CP15_g35839_DN1_SP0_c.t1
OG0000020	As011G260540, As001G015300	CP5_g2289_DN2_SP0_c.t1
OG0000020	As002G039920, As009G211220	CP5_g3358_DN2_SP0_c.t1
OG0000021	As005G111040	CP6_g7966_DN2_SP0_c.t1
OG0000021	As011G259540, As001G012170	CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1
OG0000021	As001G005040	CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1
OG0000021	As003G071480, As010G232120	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000029	As005G112730, As001G005440, As001G005430, As004G091740, As005G109110, As009G211080	CP22_g17304_DN2_SP0_c.t1
