Orthogroup	Aethionema_saxatile	Conringia_planisiliqua
OG0002788	As011G255120	CP12_g30674_DN2_SP0_c.t1
OG0002789	As011G254740	CP12_g30641_DN3_SP1_c.t1
OG0002789	As004G095840	CP6_g7452_DN3_SP8_c.t1
OG0002790	As011G254310, As004G096070	CP12_g30600_DN3_SP5_c.t1, CP12_g30602_DN3_SP8_c.t1
OG0002791	As004G096460	CP6_g7361_DN3_SP6_c.t1, CP12_g30526_DN3_SP8_c.t1
OG0002794	As005G101850	CP4_g24203_DN3_SP7_c.t1
OG0002794	As012G286850	CP3_g13318_DN3_SP8_c.t1
OG0002795	As005G102310	CP3_g13358_DN3_SP6_c.t1
OG0002796	As005G103720, As005G103730	CP4_g24373_DN3_SP0_c.t1
OG0002797	As005G105270	CP4_g24494_DN1_SP0_c.t1
OG0002798	As005G105660	CP4_g24545_DN3_SP8_c.t1, CP3_g13604_DN3_SP7_c.t1
OG0002799	As005G106610	CP4_g24904_DN3_SP0_c.t1
OG0002800	As005G108500	CP11_g33527_DN3_SP3_c.t1, CP2_g49166_DN3_SP0_c.t1, CP11_g33531_DN3_SP0_c.t1
OG0002801	As005G112300, As010G227050	CP8_g54245_DN3_SP8_c.t1
OG0002802	As005G112600	CP8_g54218_DN3_SP7_c.t1
OG0002803	As010G224010	CP3_g14695_DN3_SP8_c.t1
OG0002803	As005G115960	CP8_g53893_DN3_SP7_c.t1
OG0002804	As005G119640	CP2_g47631_DN3_SP0_c.t1
OG0002805	As006G121540, As006G128670	CP4_g25782_DN3_SP4_c.t1
OG0002806	As008G198160	CP1_g36533_DN3_SP6_c.t1
OG0002806	As006G122540	CP11_g32157_DN3_SP6_c.t1
OG0002807	As006G123850	CP11_g31987_DN3_SP7_c.t1, CP4_g25986_DN3_SP0_c.t1, CP20_g4384_DN3_SP0_c.t1
OG0002808	As006G126320	CP4_g25519_DN3_SP8_c.t1
OG0002808	As008G195220	CP1_g36559_DN3_SP8_c.t1
OG0002809	As006G127320	CP4_g25614_DN3_SP8_c.t1
OG0002810	As006G127830	CP1_g36949_DN3_SP0_c.t1
OG0002812	As006G130890	CP4_g26075_DN3_SP1_c.t1
OG0002812	As008G190700	CP1_g37115_DN3_SP6_c.t1
OG0002813	As006G132910	CP10_g42127_DN3_SP5_c.t1
OG0002814	As009G200910	CP11_g32409_DN3_SP5_c.t1
OG0002814	As006G135200	CP10_g42214_DN3_SP6_c.t1
OG0002815	As006G136420	CP10_g42331_DN2_SP0_c.t1
OG0002815	As009G203420	CP11_g32224_DN3_SP0_c.t1
OG0002817	As006G137530	CP10_g42424_DN3_SP6_c.t1
OG0002817	As009G204350	CP8_g54490_DN3_SP8_c.t1
OG0002818	As006G138270	CP10_g42489_DN3_SP8_c.t1
OG0002818	As009G206780	CP2_g48625_DN3_SP5_c.t1
OG0002819	As009G204860	CP8_g54436_DN1_SP0_c.t1
OG0002819	As006G139750	CP10_g42622_DN2_SP0_c.t1
OG0002820	As006G140110	CP10_g42650_DN3_SP0_c.t1, CP10_g42651_DN3_SP0_c.t1
OG0002821	As006G140460	CP10_g42689_DN3_SP1_c.t1
OG0002822	As006G144050	CP10_g42446_DN3_SP8_c.t1
OG0002823	As006G144770	CP3_g14086_DN3_SP8_c.t1, CP4_g25121_DN3_SP8_c.t1
OG0002824	As006G146920	CP3_g13968_DN3_SP3_c.t1, CP4_g24942_DN3_SP3_c.t1
OG0002825	As010G243950	CP9_g29689_DN3_SP2_c.t1
OG0002825	As007G152100	CP7_g46179_DN3_SP1_c.t1
OG0002826	As010G243210	CP9_g29616_DN3_SP3_c.t1
OG0002826	As007G152490	CP7_g46132_DN3_SP1_c.t1
OG0002827	As007G153850	CP7_g45999_DN3_SP8_c.t1, CP9_g28905_DN3_SP7_c.t1
OG0002829	As007G154360	CP9_g28957_DN2_SP0_c.t1
OG0002830	As010G238970	CP9_g29095_DN3_SP4_c.t1
OG0002830	As007G155230	CP7_g45877_DN3_SP0_c.t1, CP7_g45875_DN3_SP8_c.t1
OG0002831	As010G238770	CP9_g29113_DN3_SP1_c.t1
OG0002831	As007G155350	CP7_g45862_DN3_SP0_c.t1
OG0002832	As007G156660	CP7_g45711_DN3_SP8_c.t1
OG0002832	As010G237250	CP9_g29269_DN3_SP8_c.t1
OG0002833	As007G156670	CP7_g45710_DN3_SP8_c.t1, CP23_g21375_DN2_SP0_c.t1
OG0002833	As010G237240	CP9_g29270_DN3_SP8_c.t1
OG0002834	As007G159790	CP7_g45398_DN3_SP8_c.t1, CP9_g28640_DN3_SP4_c.t1
OG0002835	As010G232250	CP9_g28512_DN3_SP8_c.t1
OG0002835	As007G160850	CP7_g45278_DN3_SP7_c.t1
OG0002836	As007G161170	CP9_g28473_DN3_SP0_c.t1, CP7_g45244_DN3_SP0_c.t1
OG0002837	As007G161340	CP9_g28421_DN2_SP0_c.t1, CP7_g45228_DN3_SP0_c.t1
OG0002840	As007G180880	CP5_g100_DN3_SP4_c.t1, CP16_g54783_DN3_SP7_c.t1
OG0002841	As008G195240	CP4_g25522_DN3_SP0_c.t1, CP1_g36561_DN3_SP0_c.t1
OG0002842	As008G197280, As008G197290, As008G197270	CP16_g55223_DN3_SP0_c.t1, CP1_g36745_DN3_SP0_c.t1
OG0002843	As008G197610	CP1_g36780_DN3_SP3_c.t1
OG0002844	As009G200670	CP11_g32475_DN3_SP0_c.t1
OG0002845	As009G204620	CP8_g54463_DN3_SP8_c.t1
OG0002846	As009G207360	CP2_g48685_DN3_SP1_c.t1, CP13_g20422_DN3_SP0_c.t1
OG0002848	As009G216240	CP2_g48371_DN3_SP2_c.t1, CP3_g14431_DN3_SP8_c.t1
OG0002849	As010G221970	CP3_g14448_DN3_SP8_c.t1
OG0002849	As009G216340	CP2_g48351_DN3_SP8_c.t1
OG0002850	As009G218290	CP2_g48130_DN3_SP0_c.t1
OG0002850	As009G216690	CP2_g48134_DN3_SP6_c.t1
OG0002851	As009G216910	CP2_g48296_DN3_SP0_c.t1
OG0002851	As010G222370	CP3_g14491_DN3_SP8_c.t1
OG0002852	As009G216990	CP2_g48287_DN3_SP8_c.t1
OG0002853	As009G218380	CP2_g48120_DN3_SP2_c.t1
OG0002854	As009G219520, As009G219510, As009G219570, As009G219550	CP8_g53881_DN3_SP2_c.t1
OG0002855	As009G219680	CP10_g42159_DN2_SP0_c.t1, CP8_g53871_DN3_SP0_c.t1
OG0002856	As009G219710, As010G223780	CP3_g14673_DN3_SP1_c.t1
OG0002857	As010G221240	CP3_g14364_DN3_SP0_c.t1, CP3_g14363_DN2_SP1_c.t1
OG0002858	As010G222090, As010G222100, As010G222110	CP3_g14456_DN3_SP1_c.t1
OG0002860	As010G226110, As011G263240	CP5_g556_DN3_SP0_c.t1, CP10_g43988_DN3_SP0_c.t1
OG0002861	As010G233890	CP1_g36544_DN2_SP0_c.t1, CP9_g28725_DN2_SP0_c.t1
OG0002863	As010G243440	CP9_g29636_DN3_SP2_c.t1, CP7_g46146_DN3_SP0_c.t1
OG0002864	As011G245390	CP10_g43310_DN3_SP2_c.t1
OG0002865	As012G268900	CP7_g46358_DN3_SP7_c.t1
OG0002865	As011G245720	CP10_g43339_DN3_SP8_c.t1
OG0002867	As011G246110	CP10_g43374_DN3_SP0_c.t1
OG0002867	As012G269170	CP7_g46329_DN3_SP0_c.t1
OG0002868	As011G247630, As012G270140	CP12_g29883_DN3_SP5_c.t1, CP7_g46208_DN3_SP6_c.t1
OG0002869	As012G271540	CP1_g38038_DN3_SP5_c.t1
OG0002870	As011G260220, As011G260320, As011G260230, As011G260250	CP5_g68_DN3_SP0_c.t1
OG0002871	As011G262600	CP15_g36145_DN3_SP0_c.t1, CP17_g5028_DN3_SP0_c.t1
OG0002872	As011G263520	CP19_g18492_DN3_SP2_c.t1, CP10_g43913_DN3_SP1_c.t1
OG0002873	As011G265610	CP10_g43636_DN3_SP5_c.t1
OG0002874	As011G267620	CP12_g29802_DN3_SP8_c.t1, CP5_g1190_DN3_SP0_c.t1
OG0002875	As012G271600	CP1_g38031_DN3_SP5_c.t1, CP12_g30411_DN3_SP6_c.t1
OG0002876	As012G272980	CP1_g38174_DN3_SP8_c.t1
OG0002877	As012G281230	CP3_g13846_DN3_SP8_c.t1
OG0002878	As012G282870	CP3_g13708_DN3_SP7_c.t1
OG0002879	As012G283630	CP3_g13639_DN3_SP0_c.t1, CP4_g24585_DN3_SP1_c.t1
OG0002880	As012G283930	CP3_g13614_DN2_SP0_c.t1, CP18_g11838_DN2_SP0_c.t1, CP11_g33330_DN3_SP0_c.t1
OG0002890	As011G267320	CP12_g29832_DN3_SP8_c.t1
OG0002890	As001G000270	CP5_g1164_DN3_SP8_c.t1
OG0002891	As007G179070	CP16_g55037_DN3_SP5_c.t1
OG0002891	As001G002500	CP5_g951_DN3_SP8_c.t1
OG0002892	As007G176760	CP16_g55249_DN3_SP1_c.t1
OG0002892	As001G004370	CP5_g806_DN3_SP2_c.t1
OG0002893	As001G004560	CP5_g791_DN3_SP8_c.t1, CP16_g55282_DN3_SP5_c.t1
OG0002894	As010G226250	CP3_g15261_DN3_SP6_c.t1
OG0002894	As001G005380	CP5_g743_DN3_SP8_c.t1
OG0002895	As006G131970	CP18_g12567_DN3_SP7_c.t1
OG0002895	As001G005770	CP5_g715_DN3_SP6_c.t1
OG0002896	As001G012130	CP5_g641_DN3_SP8_c.t1
OG0002896	As011G262260	CP15_g34852_DN3_SP8_c.t1
OG0002897	As001G014440	CP5_g534_DN3_SP0_c.t1
OG0002897	As011G263470	CP10_g43921_DN3_SP0_c.t1
OG0002898	As001G014610	CP10_g43914_DN2_SP0_c.t1, CP12_g30011_DN2_SP0_c.t1
OG0002899	As001G016720	CP4_g25192_DN3_SP7_c.t1
OG0002900	As004G079980	CP4_g25174_DN3_SP0_c.t1
OG0002900	As001G017470	CP6_g7149_DN1_SP0_c.t1
OG0002901	As001G021000	CP2_g49224_DN3_SP8_c.t1
OG0002902	As001G021920	CP2_g49093_DN3_SP0_c.t1
OG0002903	As001G022250	CP1_g37822_DN3_SP2_c.t1
OG0002904	As008G182720	CP1_g37780_DN3_SP1_c.t1
OG0002904	As001G023030	CP13_g19622_DN3_SP3_c.t1
OG0002906	As001G031240	CP2_g48915_DN3_SP7_c.t1, CP19_g17895_DN3_SP3_c.t1
OG0002907	As002G049140	CP8_g53740_DN3_SP8_c.t1
OG0002907	As002G032540	CP19_g18057_DN3_SP8_c.t1
OG0002909	As002G036070	CP10_g43025_DN3_SP8_c.t1
OG0002909	As009G214320	CP11_g33418_DN3_SP8_c.t1
OG0002910	As002G037490	CP10_g43127_DN3_SP0_c.t1
OG0002911	As002G039050	CP10_g43201_DN3_SP0_c.t1, CP11_g32584_DN3_SP0_c.t1
OG0002912	As002G045830	CP8_g53343_DN3_SP8_c.t1
OG0002912	As006G132290	CP7_g45306_DN3_SP7_c.t1
OG0002913	As002G046250	CP8_g53418_DN3_SP0_c.t1, CP5_g1285_DN3_SP0_c.t1
OG0002914	As002G047770, As006G134250	CP19_g17985_DN3_SP3_c.t1
OG0002916	As002G050530	CP7_g45162_DN3_SP0_c.t1, CP7_g45137_DN3_SP0_c.t1
OG0002917	As002G051300	CP11_g32735_DN3_SP8_c.t1, CP2_g48510_DN3_SP5_c.t1
OG0002918	As002G054630	CP2_g48252_DN3_SP5_c.t1
OG0002919	As002G055050	CP11_g33121_DN3_SP4_c.t1
OG0002920	As002G055540	CP11_g33175_DN3_SP4_c.t1, CP2_g48094_DN3_SP0_c.t1
OG0002921	As003G055710	CP6_g7098_DN3_SP8_c.t1
OG0002921	As004G091060	CP13_g19751_DN3_SP8_c.t1
OG0002922	As004G089490	CP13_g19817_DN3_SP3_c.t1
OG0002923	As003G059680	CP6_g6687_DN3_SP0_c.t1, CP19_g18524_DN3_SP0_c.t1, CP19_g18523_DN3_SP0_c.t1, CP19_g18526_DN3_SP0_c.t1, CP19_g18525_DN3_SP0_c.t1
OG0002924	As004G085010	CP20_g4421_DN3_SP7_c.t1
OG0002924	As003G060750	CP19_g18401_DN3_SP8_c.t1
OG0002925	As003G060930	CP20_g4398_DN3_SP0_c.t1
OG0002926	As003G062430, As004G083750	CP20_g4223_DN3_SP4_c.t1
OG0002927	As004G083280, As004G083270	CP20_g4147_DN2_SP2_c.t1, CP20_g4146_DN1_SP0_c.t1
OG0002927	As003G062980	CP7_g44519_DN3_SP8_c.t1
OG0002928	As003G063290	CP7_g44477_DN3_SP7_c.t1
OG0002928	As010G234620	CP9_g28798_DN3_SP8_c.t1
OG0002929	As003G063510	CP7_g44427_DN3_SP6_c.t1
OG0002931	As003G071890	CP5_g450_DN3_SP0_c.t1
OG0002932	As003G073230	CP5_g310_DN3_SP0_c.t1
OG0002932	As007G179420	CP16_g55005_DN2_SP0_c.t1
OG0002934	As003G074190	CP5_g223_DN1_SP0_c.t1
OG0002936	As003G075770	CP5_g91_DN3_SP8_c.t1
OG0002937	As003G075880, As003G075870	CP5_g81_DN3_SP0_c.t1
OG0002938	As003G076270	CP5_g40_DN2_SP0_c.t1
OG0002938	As007G182120	CP16_g54725_DN2_SP1_c.t1
OG0002939	As004G080670	CP14_g23298_DN2_SP0_c.t1
OG0002940	As004G080970	CP4_g25324_DN3_SP0_c.t1, CP14_g23423_DN3_SP8_c.t1
OG0002942	As004G095150	CP6_g7563_DN3_SP8_c.t1
OG0002942	As011G255680	CP12_g30750_DN3_SP8_c.t1
OG0002943	As004G097800	CP6_g8765_DN3_SP0_c.t1
OG0002944	As012G288390	CP3_g13144_DN3_SP1_c.t1
OG0002944	As005G099470	CP4_g23977_DN3_SP5_c.t1
OG0002945	As011G262010, As005G099620	CP8_g53835_DN3_SP0_c.t1
OG0002946	As005G100780	CP4_g24088_DN1_SP8_c.t1
OG0002946	As012G287630	CP3_g13233_DN3_SP4_c.t1
OG0002947	As012G286270	CP3_g13354_DN3_SP3_c.t1
OG0002949	As005G102770	CP4_g24283_DN3_SP3_c.t1, CP4_g24282_DN3_SP0_c.t1
OG0002950	As005G102900, As005G120840	CP2_g47521_DN3_SP6_c.t1
OG0002951	As005G103310	CP4_g24339_DN3_SP8_c.t1, CP4_g24338_DN3_SP0_c.t1
OG0002952	As005G103620	CP4_g24363_DN3_SP0_c.t1, CP3_g13424_DN3_SP0_c.t1
OG0002953	As005G103850	CP4_g24380_DN3_SP8_c.t1
OG0002953	As012G285610	CP3_g13430_DN3_SP0_c.t1
OG0002954	As005G103920, As012G285590	CP3_g13434_DN3_SP0_c.t1
OG0002955	As005G106570	CP11_g33718_DN3_SP7_c.t1
OG0002956	As005G112690	CP8_g54212_DN3_SP2_c.t1
OG0002957	As010G225170	CP3_g14870_DN3_SP8_c.t1
OG0002957	As005G114440	CP8_g54046_DN3_SP6_c.t1
OG0002961	As005G120200	CP2_g47579_DN3_SP4_c.t1, CP3_g14292_DN3_SP0_c.t1
OG0002962	As006G120960	CP8_g54688_DN2_SP3_c.t1, CP1_g38398_DN3_SP0_c.t1
OG0002963	As006G122220	CP8_g54554_DN3_SP0_c.t1, CP1_g36500_DN2_SP0_c.t1
OG0002965	As006G124330	CP13_g20187_DN3_SP0_c.t1
OG0002966	As006G124460	CP13_g20200_DN3_SP8_c.t1
OG0002967	As008G196470	CP1_g36664_DN3_SP8_c.t1
OG0002968	As008G196450	CP1_g36662_DN3_SP8_c.t1
OG0002968	As006G124680	CP13_g20226_DN3_SP8_c.t1
OG0002969	As008G196060	CP1_g36625_DN3_SP7_c.t1
OG0002969	As006G125390	CP4_g25416_DN3_SP4_c.t1
OG0002970	As008G195970	CP1_g36615_DN3_SP8_c.t1
OG0002971	As008G195980	CP1_g36616_DN3_SP8_c.t1
OG0002971	As006G125540	CP4_g25426_DN3_SP4_c.t1
OG0002972	As008G195210	CP1_g36558_DN3_SP8_c.t1
OG0002973	As008G193960	CP1_g36909_DN3_SP8_c.t1
OG0002973	As006G127510	CP4_g25637_DN3_SP1_c.t1
OG0002974	As006G129330	CP4_g25855_DN3_SP5_c.t1, CP1_g37044_DN3_SP6_c.t1
OG0002975	As006G132020	CP5_g726_DN3_SP7_c.t1, CP18_g12623_DN3_SP7_c.t1
OG0002976	As006G133020	CP11_g32517_DN3_SP8_c.t1, CP10_g42136_DN3_SP8_c.t1
OG0002977	As006G133120	CP10_g42142_DN3_SP2_c.t1
OG0002977	As009G200420	CP11_g32499_DN3_SP8_c.t1
OG0002978	As006G134070	CP8_g53890_DN3_SP1_c.t1, CP11_g32824_DN3_SP1_c.t1
OG0002979	As006G134610	CP8_g53518_DN3_SP8_c.t1, CP5_g1969_DN3_SP0_c.t1, CP19_g17966_DN3_SP7_c.t1
OG0002980	As009G206310	CP2_g48601_DN3_SP8_c.t1
OG0002981	As006G139720	CP8_g54432_DN2_SP0_c.t1
OG0002982	As006G144850	CP4_g25115_DN2_SP0_c.t1
OG0002983	As006G145220	CP4_g25075_DN3_SP3_c.t1
OG0002984	As006G145240	CP1_g38951_DN3_SP2_c.t1
OG0002985	As006G145790, As006G145780	CP4_g25025_DN3_SP7_c.t1
OG0002987	As007G152650	CP7_g46125_DN3_SP0_c.t1, CP7_g46123_DN3_SP0_c.t1
OG0002988	As010G238160	CP9_g29179_DN3_SP7_c.t1
OG0002988	As007G155970	CP7_g45788_DN3_SP7_c.t1
OG0002990	As007G161280	CP7_g45233_DN3_SP3_c.t1
OG0002991	As007G165450	CP19_g18094_DN3_SP5_c.t1, CP19_g18095_DN3_SP0_c.t1
OG0002993	As008G188150	CP1_g37243_DN1_SP0_c.t1
OG0002996	As009G211470	CP2_g48535_DN2_SP0_c.t1
OG0002996	As009G205440	CP2_g48534_DN2_SP3_c.t1
OG0002997	As009G207200	CP2_g48667_DN3_SP6_c.t1, CP2_g48666_DN3_SP7_c.t1
OG0002999	As009G213270	CP11_g33353_DN3_SP3_c.t1
OG0003000	As009G217860	CP2_g48181_DN3_SP0_c.t1
OG0003001	As009G218700	CP2_g48081_DN3_SP8_c.t1
OG0003002	As010G225190	CP17_g5682_DN2_SP0_c.t1
OG0003003	As010G241350	CP7_g46010_DN3_SP8_c.t1, CP9_g28878_DN3_SP8_c.t1
OG0003004	As011G246950	CP7_g46264_DN3_SP3_c.t1, CP10_g43450_DN3_SP1_c.t1
OG0003005	As012G274670	CP6_g7286_DN3_SP7_c.t1
OG0003005	As011G248900	CP12_g30012_DN3_SP8_c.t1
OG0003006	As012G274340	CP6_g7234_DN3_SP8_c.t1
OG0003006	As011G249140	CP12_g30038_DN3_SP8_c.t1
OG0003007	As011G249150	CP6_g7222_DN3_SP8_c.t1, CP12_g30039_DN3_SP6_c.t1
OG0003008	As012G273130	CP1_g38236_DN3_SP0_c.t1, CP1_g38238_DN3_SP0_c.t1
OG0003008	As011G250370	CP12_g30166_DN3_SP0_c.t1
OG0003009	As011G251640	CP12_g30300_DN3_SP0_c.t1
OG0003009	As012G272550	CP1_g38114_DN3_SP8_c.t1
OG0003011	As011G255440	CP12_g30722_DN3_SP5_c.t1, CP1_g38471_DN3_SP1_c.t1
OG0003012	As011G256320, As011G256300	CP12_g30818_DN2_SP0_c.t1
OG0003013	As011G263620	CP10_g43888_DN3_SP5_c.t1
OG0003014	As011G264920	CP10_g43721_DN3_SP7_c.t1
OG0003015	As011G266410	CP10_g43560_DN3_SP6_c.t1
OG0003016	As012G271370	CP1_g37959_DN3_SP8_c.t1, CP12_g30477_DN3_SP4_c.t1
OG0003017	As012G271460, As012G284290	CP3_g13563_DN3_SP0_c.t1
OG0003018	As012G281520	CP3_g13832_DN3_SP2_c.t1
OG0003019	As012G282450, As012G282290	CP10_g43466_DN3_SP7_c.t1
OG0003020	As012G285870	CP4_g24324_DN3_SP6_c.t1
OG0003033	As001G000700	CP5_g1116_DN3_SP5_c.t1
OG0003033	As011G266880	CP10_g43513_DN3_SP2_c.t1
OG0003034	As001G002000, As001G001990, As001G001960, As001G001980, As001G001970	CP5_g1001_DN1_SP0_c.t1
OG0003036	As001G012870	CP5_g588_DN3_SP0_c.t1, CP17_g4848_DN2_SP0_c.t1
OG0003037	As001G014600	CP12_g31295_DN2_SP0_c.t1
OG0003038	As001G015900	CP7_g44770_DN3_SP1_c.t1, CP4_g25177_DN2_SP0_c.t1
OG0003039	As008G187230	CP1_g37333_DN3_SP7_c.t1
OG0003039	As001G020340	CP2_g49349_DN3_SP8_c.t1
OG0003040	As001G020420	CP2_g49333_DN3_SP0_c.t1, CP2_g49330_DN3_SP7_c.t1
OG0003041	As001G021030	CP2_g49227_DN3_SP0_c.t1
OG0003041	As008G186920	CP1_g37368_DN3_SP0_c.t1
OG0003042	As001G026770	CP13_g19224_DN3_SP0_c.t1
OG0003043	As004G076940	CP5_g1982_DN3_SP4_c.t1, CP5_g1991_DN3_SP1_c.t1
OG0003044	As001G031920	CP2_g49006_DN3_SP8_c.t1
OG0003045	As002G037950, As002G037960	CP10_g43154_DN3_SP2_c.t1
OG0003046	As002G045170, As002G045180	CP8_g53306_DN3_SP8_c.t1, CP5_g1209_DN3_SP4_c.t1
OG0003047	As002G053800	CP11_g32982_DN3_SP0_c.t1
OG0003048	As005G116650	CP2_g47940_DN3_SP8_c.t1
OG0003048	As002G054230	CP11_g33027_DN3_SP6_c.t1
OG0003049	As004G089930	CP13_g19780_DN3_SP8_c.t1
OG0003050	As004G085000	CP20_g4416_DN3_SP0_c.t1
OG0003050	As003G060760	CP19_g18399_DN3_SP0_c.t1
OG0003051	As003G060980	CP19_g18371_DN3_SP8_c.t1
OG0003051	As004G084740	CP20_g4386_DN3_SP8_c.t1
OG0003052	As003G063420	CP7_g44450_DN3_SP3_c.t1, CP7_g44445_DN1_SP0_c.t1
OG0003053	As004G080710	CP14_g23704_DN3_SP8_c.t1
OG0003053	As003G064290	CP1_g41345_DN3_SP6_c.t1
OG0003054	As003G065530	CP1_g38434_DN3_SP2_c.t1
OG0003054	As004G082430	CP13_g20743_DN3_SP2_c.t1
OG0003055	As004G081510	CP4_g25367_DN3_SP2_c.t1
OG0003055	As003G068720	CP7_g45068_DN3_SP8_c.t1
OG0003057	As003G071950	CP5_g445_DN2_SP0_c.t1
OG0003057	As011G264610	CP10_g43779_DN3_SP0_c.t1
OG0003058	As007G179280	CP16_g55015_DN3_SP2_c.t1
OG0003058	As003G073190	CP5_g315_DN3_SP5_c.t1
OG0003059	As004G078830	CP4_g25233_DN3_SP8_c.t1
OG0003059	As004G087400	CP13_g20081_DN3_SP2_c.t1
OG0003060	As004G085950	CP11_g31883_DN3_SP8_c.t1, CP13_g19065_DN3_SP2_c.t1
OG0003061	As004G091040	CP13_g19749_DN3_SP8_c.t1
OG0003062	As004G091700	CP5_g2317_DN3_SP1_c.t1, CP17_g5783_DN3_SP1_c.t1
OG0003063	As011G256870	CP12_g30858_DN3_SP7_c.t1
OG0003063	As004G093720	CP6_g8652_DN3_SP6_c.t1
OG0003064	As004G095360	CP12_g30696_DN3_SP8_c.t1
OG0003065	As004G096320	CP12_g30549_DN3_SP0_c.t1, CP12_g30551_DN3_SP0_c.t1
OG0003066	As005G098610	CP2_g48893_DN3_SP8_c.t1
OG0003066	As012G288910	CP3_g13095_DN3_SP0_c.t1, CP3_g13096_DN3_SP0_c.t1
OG0003067	As005G101750	CP4_g24192_DN3_SP6_c.t1
OG0003068	As005G103410	CP3_g13411_DN3_SP0_c.t1
OG0003070	As010G226890	CP3_g15763_DN3_SP0_c.t1
OG0003071	As010G225530	CP3_g14901_DN2_SP0_c.t1
OG0003071	As005G114060	CP8_g54090_DN3_SP0_c.t1
OG0003073	As005G117990, As006G139190	CP2_g48555_DN3_SP1_c.t1
OG0003074	As010G221490	CP3_g14400_DN3_SP0_c.t1
OG0003074	As005G118890	CP2_g47710_DN3_SP0_c.t1
OG0003075	As005G118970	CP2_g47705_DN3_SP0_c.t1, CP2_g47699_DN3_SP0_c.t1
OG0003076	As005G119750	CP2_g47618_DN3_SP8_c.t1, CP3_g14327_DN3_SP8_c.t1
OG0003078	As005G120710, As005G120690	CP2_g47533_DN3_SP5_c.t1
OG0003079	As006G121290	CP8_g54620_DN3_SP4_c.t1
OG0003080	As006G127070	CP4_g25587_DN3_SP0_c.t1
OG0003080	As008G194380	CP1_g36876_DN3_SP7_c.t1
OG0003081	As006G127990, As007G162840, As009G218020	CP6_g8265_DN3_SP0_c.t1
OG0003082	As006G128060	CP4_g25708_DN3_SP8_c.t1, CP4_g25709_DN3_SP1_c.t1
OG0003083	As008G192920	CP1_g37015_DN3_SP0_c.t1
OG0003084	As006G130370	CP4_g26016_DN3_SP8_c.t1
OG0003085	As006G130800	CP4_g26124_DN3_SP2_c.t1
OG0003086	As011G265890	CP10_g42093_DN2_SP0_c.t1
OG0003087	As006G136280	CP10_g42319_DN3_SP8_c.t1, CP13_g19086_DN3_SP0_c.t1
OG0003087	As009G203210	CP11_g32244_DN3_SP8_c.t1
OG0003088	As006G138140	CP12_g30622_DN2_SP0_c.t1
OG0003089	As006G139090	CP10_g42563_DN3_SP8_c.t1, CP2_g48566_DN3_SP6_c.t1
OG0003091	As006G147120, As006G147140	CP4_g24896_DN3_SP2_c.t1
OG0003091	As012G278880	CP3_g14193_DN3_SP8_c.t1
OG0003093	As010G243940	CP9_g29688_DN3_SP0_c.t1
OG0003093	As007G152110	CP7_g46178_DN3_SP3_c.t1
OG0003094	As007G153470	CP7_g46042_DN3_SP8_c.t1
OG0003095	As007G153700	CP8_g52875_DN3_SP6_c.t1, CP7_g46019_DN3_SP1_c.t1
OG0003096	As007G159050	CP7_g45493_DN3_SP0_c.t1, CP7_g45873_DN3_SP0_c.t1, CP7_g45494_DN2_SP0_c.t1
OG0003097	As007G160110	CP7_g45367_DN2_SP0_c.t1, CP9_g28608_DN3_SP0_c.t1
OG0003099	As010G221090, As008G186160	CP8_g52970_DN3_SP0_c.t1, CP8_g52971_DN3_SP0_c.t1, CP3_g14342_DN3_SP0_c.t1, CP11_g31816_DN1_SP0_c.t1
OG0003101	As009G200630	CP11_g32480_DN2_SP0_c.t1
OG0003101	As009G206010	CP10_g42155_DN2_SP0_c.t1
OG0003102	As009G211480	CP11_g32588_DN3_SP0_c.t1
OG0003103	As009G218070	CP2_g48158_DN3_SP5_c.t1
OG0003104	As009G218270	CP2_g48133_DN3_SP5_c.t1
OG0003104	As009G218280	CP2_g48131_DN3_SP1_c.t1
OG0003106	As010G220410	CP3_g14247_DN3_SP0_c.t1
OG0003107	As010G223630	CP3_g14658_DN3_SP8_c.t1
OG0003108	As010G227010	CP3_g15847_DN3_SP1_c.t1
OG0003109	As010G240450	CP9_g28960_DN3_SP0_c.t1
OG0003110	As010G243040	CP7_g46479_DN2_SP7_c.t1
OG0003111	As012G268350	CP10_g43304_DN3_SP3_c.t1
OG0003112	As012G268700, As011G245490	CP10_g42808_DN3_SP6_c.t1
OG0003113	As011G248020	CP12_g29927_DN3_SP6_c.t1
OG0003114	As012G272710	CP1_g38135_DN3_SP1_c.t1
OG0003115	As012G271390, As011G253330	CP12_g30470_DN3_SP0_c.t1
OG0003116	As011G255420	CP12_g30719_DN3_SP8_c.t1
OG0003117	As011G257560	CP6_g8631_DN3_SP0_c.t1
OG0003118	As011G259380	CP10_g43929_DN3_SP0_c.t1
OG0003119	As011G263390	CP10_g43950_DN3_SP6_c.t1, CP10_g43951_DN3_SP3_c.t1
OG0003120	As011G263430	CP10_g43931_DN3_SP0_c.t1
OG0003121	As012G269010	CP10_g43356_DN3_SP8_c.t1, CP7_g46350_DN3_SP8_c.t1
OG0003122	As012G274910	CP4_g25260_DN3_SP0_c.t1, CP7_g44829_DN3_SP0_c.t1
OG0003123	As012G277270	CP4_g24998_DN3_SP0_c.t1
OG0003124	As012G278130	CP4_g24930_DN3_SP0_c.t1
OG0003139	As001G001020	CP5_g1081_DN3_SP0_c.t1
