Orthogroup	Aethionema_saxatile	Cardamine_glauca
OG0003541	As007G159720	Cg006G222080
OG0003541	As010G233300	Cg007G270810
OG0003542	As007G161510	Cg007G268130, Cg006G219890
OG0003543	As007G161830, As010G227680	Cg007G267730
OG0003544	As007G161850	Cg001G035540, Cg003G090660, Cg003G096220, Cg003G096240, Cg003G095440
OG0003545	As008G186910	Cg005G189190
OG0003547	As009G203240	Cg008G297600
OG0003549	As009G207460, As009G207450	Cg008G308350
OG0003550	As009G209470	Cg008G311570, Cg008G309730
OG0003551	As009G215900	Cg008G304320
OG0003552	As010G223170	Cg003G110640
OG0003553	As009G219420	Cg003G110850
OG0003554	As010G220780, As010G220790	Cg002G056120
OG0003555	As010G222500	Cg002G058290
OG0003556	As010G234140	Cg006G222970, Cg007G271750
OG0003558	As010G242270	Cg006G229200
OG0003559	As010G242900	Cg006G229630
OG0003561	As011G246970	Cg004G130980
OG0003562	As012G274480	Cg001G025240
OG0003562	As011G249020	Cg004G133290
OG0003563	As012G272950	Cg006G200240
OG0003564	As012G271290	Cg006G198000
OG0003566	As011G256770	Cg005G189280
OG0003567	As011G265090	Cg004G154860, Cg004G154850
OG0003568	As012G285390	Cg001G031030
OG0003584	As001G001330	Cg001G011060
OG0003585	As004G094370, As001G001560	Cg002G050790
OG0003586	As001G002510	Cg001G009990
OG0003587	As001G004330	Cg005G187280
OG0003588	As009G214690, As009G214680	Cg008G285140
OG0003589	As001G013500	Cg001G006100
OG0003590	As001G015600	Cg001G004910
OG0003591	As008G187420	Cg006G235790
OG0003591	As001G020120	Cg007G251570
OG0003592	As001G021480	Cg007G249580, Cg007G249600
OG0003593	As001G023410	Cg002G074570, Cg008G322160
OG0003594	As001G023630	Cg002G074380, Cg006G231510
OG0003595	As001G027090, As001G027080	Cg002G069200
OG0003597	As008G184580	Cg006G233210
OG0003598	As002G034020	Cg004G124810
OG0003599	As002G036480	Cg004G126650
OG0003600	As002G037270	Cg002G074350
OG0003601	As002G038900	Cg004G128090
OG0003602	As002G044960	Cg008G313300
OG0003604	As002G045700	Cg001G013160, Cg003G100920
OG0003605	As002G046590	Cg005G190040, Cg002G044390
OG0003606	As006G134260	Cg001G014150
OG0003606	As002G047760	Cg003G103310
OG0003608	As002G052010	Cg006G238230
OG0003609	As002G053090, As002G053080	Cg008G290630, Cg008G290640
OG0003610	As005G117640, As002G053540	Cg008G290120
OG0003611	As003G056740	Cg001G022490
OG0003612	As003G056880	Cg001G022380
OG0003613	As003G061640	Cg008G306150
OG0003614	As003G067760	Cg006G218680
OG0003615	As003G069250	Cg006G217850
OG0003616	As003G072090	Cg001G004380
OG0003617	As004G080040	Cg003G085060
OG0003618	As004G080680	Cg006G225040
OG0003619	As004G080810	Cg004G126440
OG0003620	As004G086980	Cg008G321050, Cg008G321020
OG0003621	As004G087120	Cg008G321230
OG0003622	As004G089020	Cg008G323990
OG0003623	As004G089520	Cg008G298260, Cg008G298300, Cg008G298310
OG0003624	As004G091020	Cg008G325000
OG0003625	As005G099540	Cg005G158300
OG0003626	As005G099800	Cg005G158540
OG0003626	As012G288200	Cg002G044360
OG0003627	As005G101300	Cg005G159960
OG0003628	As005G102640	Cg005G161300
OG0003629	As005G102860	Cg005G161470
OG0003630	As005G103250	Cg005G161840
OG0003631	As005G112390	Cg008G301350
OG0003632	As005G116550	Cg006G231260
OG0003633	As010G220870	Cg002G056200
OG0003633	As005G119880	Cg003G115010
OG0003634	As005G119910	Cg003G115040
OG0003635	As005G120780	Cg003G115790
OG0003636	As006G121740	Cg006G244800
OG0003637	As006G123230	Cg003G078450, Cg014G331150, Cg006G243540
OG0003638	As006G123700	Cg006G243230, Cg003G078880, Cg014G330650
OG0003639	As006G131900	Cg001G007310, Cg005G186340
OG0003640	As006G133050	Cg004G116470
OG0003640	As009G199910	Cg008G294750
OG0003641	As009G206890	Cg008G307310
OG0003641	As006G138200	Cg004G120850
OG0003642	As009G205990, As006G138720	Cg004G121330
OG0003644	As010G244340	Cg007G281630
OG0003645	As007G153070	Cg006G229370
OG0003646	As007G154850	Cg006G227600, Cg007G274370
OG0003647	As007G155620	Cg006G226760
OG0003648	As007G158410	Cg006G223540, Cg007G278900
OG0003649	As007G161780	Cg006G219650, Cg007G267780
OG0003650	As007G164430	Cg002G047980
OG0003651	As008G184180	Cg006G232750
OG0003652	As008G194280, As008G193860	Cg006G239910
OG0003653	As008G194560, As008G194590, As008G194680, As008G194690, As008G194540	Cg006G240620
OG0003654	As008G194630, As008G194620, As008G194610	Cg006G240640
OG0003655	As009G202850	Cg008G297150
OG0003656	As009G203220	Cg008G297590
OG0003657	As009G209290	Cg004G128350
OG0003658	As009G214410	Cg008G285540
OG0003660	As009G219910	Cg003G106040
OG0003661	As010G220530	Cg002G055790
OG0003662	As010G224350	Cg002G060350, Cg003G106920
OG0003663	As010G232730	Cg007G270030, Cg006G221160
OG0003664	As010G236810	Cg003G108580
OG0003665	As010G241450	Cg007G272770
OG0003667	As011G244920	Cg004G128880
OG0003669	As012G268950	Cg006G195180
OG0003670	As012G269210, As011G246210, As011G246190	Cg004G130240
OG0003671	As011G247450	Cg004G131640
OG0003672	As011G249210	Cg004G133500
OG0003673	As011G256420	Cg004G142180
OG0003674	As011G258320	Cg004G143480
OG0003675	As011G260870	Cg006G238030, Cg003G103650
OG0003676	As011G262250	Cg004G148400
OG0003677	As012G270250	Cg006G196860
OG0003678	As012G271670	Cg004G137540, Cg006G198720
OG0003679	As012G275890	Cg002G054480
OG0003680	As012G275950	Cg002G054380
OG0003681	As012G277550	Cg002G052840
OG0003682	As012G282610	Cg002G050220
OG0003683	As012G289380	Cg002G054870, Cg002G054860
OG0003695	As001G000260	Cg001G007970, Cg001G012210
OG0003696	As001G002170	Cg001G010360
OG0003697	As001G013520	Cg001G006110
OG0003698	As001G014650	Cg001G005350
OG0003699	As003G063440	Cg006G210400
OG0003700	As001G017940	Cg001G024680
OG0003701	As001G023150	Cg002G074830, Cg002G074820
OG0003702	As006G146620, As001G025510	Cg002G072030
OG0003703	As001G028680	Cg001G037700
OG0003704	As001G032010	Cg007G247810
OG0003705	As002G038400, As002G033540, As002G033530, As002G033330, As002G038420	Cg005G165100
OG0003706	As002G033350	Cg006G238530, Cg006G197930
OG0003707	As002G041790	Cg016G334110, Cg003G095250
OG0003708	As002G047410	Cg003G102940
OG0003709	As002G048350	Cg003G104140
OG0003710	As002G050330	Cg008G293480
OG0003711	As003G055860	Cg001G023460
OG0003712	As004G086990	Cg008G321060
OG0003712	As003G058500	Cg001G020480
OG0003713	As003G058930	Cg001G020030
OG0003714	As003G060420	Cg001G018580
OG0003716	As012G283080	Cg002G049660
OG0003717	As003G065150	Cg003G076710, Cg014G332860
OG0003718	As012G283390, As003G068900, As012G283000, As012G283420, As003G068910	Cg004G149290
OG0003719	As004G079960	Cg008G283660
OG0003720	As004G080650	Cg006G233560
OG0003721	As004G084480	Cg003G082450
OG0003722	As004G093690	Cg004G142700
OG0003723	As011G255400	Cg004G140960
OG0003724	As004G096690	Cg004G138500, Cg001G025790
OG0003725	As004G096900	Cg001G040710
OG0003726	As005G099480	Cg001G039990, Cg003G084200
OG0003727	As005G100910	Cg005G159570
OG0003728	As005G103270	Cg005G161860
OG0003728	As005G103260	Cg005G161850
OG0003729	As005G103280	Cg005G161870
OG0003730	As005G105160	Cg005G163840
OG0003730	As012G284400	Cg002G048320
OG0003731	As005G108120	Cg006G199280, Cg008G308500
OG0003732	As005G115590	Cg003G107140
OG0003733	As006G124860	Cg006G242240, Cg008G319580
OG0003735	As006G125180	Cg008G318930, Cg008G318920
OG0003736	As006G125840	Cg005G173910
OG0003738	As006G127030	Cg005G175000
OG0003739	As006G127380	Cg005G175350
OG0003740	As006G127670	Cg005G175740, Cg006G239840
OG0003741	As006G130380	Cg005G179770
OG0003742	As006G131050	Cg005G174130, Cg005G182660
OG0003743	As009G201030, As006G135070	Cg004G117200
OG0003744	As006G136120	Cg001G042260
OG0003746	As009G204820	Cg008G299380
OG0003747	As006G140970	Cg004G123310
OG0003748	As006G141550	Cg004G123930
OG0003749	As006G141820	Cg004G124130
OG0003750	As006G143250	Cg002G050830
OG0003752	As007G153770, As007G153790	Cg006G228640
OG0003753	As007G158090	Cg006G223960
OG0003754	As007G160060	Cg006G221680
OG0003755	As007G160580	Cg006G221010
OG0003756	As007G162820	Cg001G016540
OG0003758	As007G180320	Cg005G192420, Cg001G001850
OG0003759	As008G182680	Cg006G231120
OG0003760	As008G188230	Cg006G236500
OG0003761	As008G194990	Cg006G241070
OG0003763	As008G196490	Cg006G242340
OG0003764	As008G198650	Cg006G244560
OG0003765	As009G201670	Cg008G296170
OG0003766	As009G201910	Cg008G296310
OG0003767	As009G217110	Cg008G303150
OG0003768	As009G219380	Cg003G110790
OG0003769	As009G220100	Cg003G105870
OG0003770	As010G223730	Cg002G059780
OG0003771	As010G223770	Cg003G106230
OG0003772	As010G226150	Cg001G006520
OG0003773	As010G232260	Cg007G269700
OG0003774	As010G232640	Cg007G269870
OG0003775	As010G241780, As010G241710	Cg007G279150
OG0003776	As010G242140	Cg006G229030, Cg007G279480
OG0003777	As010G242360	Cg007G279670
OG0003778	As011G251910, As012G272310, As012G272320	Cg004G136600
OG0003779	As011G252740	Cg004G137320
OG0003780	As011G253670	Cg006G198060
OG0003781	As011G256130	Cg004G141690
OG0003782	As011G260900	Cg004G144980
OG0003783	As011G261510	Cg004G145890
OG0003784	As012G268240	Cg004G129190
OG0003785	As012G268460	Cg006G194830
OG0003786	As012G271300	Cg006G198010
OG0003787	As012G272640	Cg006G204470, Cg006G204460, Cg006G199860, Cg006G199840, Cg003G096930
OG0003788	As012G278110	Cg002G052520
OG0003790	As012G282770	Cg002G050020
OG0003791	As012G283110	Cg002G049620, Cg005G165040
OG0003792	As012G283540, As012G283530	Cg002G049280, Cg002G049290, Cg008G318790
OG0003823	As001G000130	Cg001G012360
OG0003824	As001G003930	Cg001G008950
OG0003827	As001G014340	Cg001G005590, Cg004G152250
OG0003829	As001G016050	Cg006G214660
OG0003830	As001G018400	Cg007G257330
OG0003831	As008G187710, As001G019740	Cg006G236020, Cg007G252030
OG0003832	As001G022590	Cg003G097150, Cg002G075420
OG0003833	As001G029870	Cg005G176340
OG0003834	As001G030450	Cg007G245770
OG0003835	As001G031760	Cg007G247430
OG0003836	As002G034190	Cg004G124950, Cg008G282940
OG0003837	As002G035690	Cg008G290020
OG0003838	As002G043340	Cg003G097860, Cg003G097840
OG0003839	As002G046090	Cg003G101580
OG0003840	As002G047330	Cg003G102850
OG0003841	As006G134090	Cg001G014320
OG0003841	As002G048100	Cg003G103670
OG0003842	As002G050720	Cg008G293070
OG0003843	As002G051750	Cg008G291970
OG0003844	As004G088690, As003G056700	Cg008G323550
OG0003845	As004G088260	Cg001G022020
OG0003846	As003G061760, As003G061770	Cg001G017220
OG0003847	As003G061780	Cg001G017210
OG0003848	As003G062940, As003G062930	Cg006G211840
OG0003849	As004G083190, As003G063100	Cg006G211000
OG0003850	As003G066510	Cg006G203140
OG0003851	As003G070320	Cg006G216580
OG0003852	As003G072180	Cg001G004210
OG0003853	As003G073840	Cg001G002650, Cg001G002660
OG0003854	As004G077370	Cg001G036720
OG0003855	As004G080850	Cg003G087610, Cg006G204010
OG0003856	As004G080910	Cg006G204920
OG0003857	As004G082830	Cg008G317370
OG0003858	As004G082850	Cg008G317310, Cg006G199520
OG0003859	As004G084640	Cg003G082090, Cg008G315800, Cg008G305620
OG0003860	As004G085360, As005G102330	Cg005G160990, Cg005G176900
OG0003861	As004G088000	Cg008G322630
OG0003862	As004G088680	Cg008G323530, Cg001G022480
OG0003863	As004G090680	Cg008G325260
OG0003864	As012G288630	Cg002G043940
OG0003865	As012G287860	Cg002G044800
OG0003865	As005G100390	Cg005G159090
OG0003868	As005G114040	Cg003G108380, Cg002G062210
OG0003869	As005G114220	Cg003G108200
OG0003870	As005G114300	Cg003G108120
OG0003871	As005G114600, As010G224930	Cg003G107730
OG0003872	As006G121350	Cg004G156300, Cg001G002350, Cg003G076560, Cg014G333010, Cg001G002340, Cg004G156310
OG0003873	As006G122480	Cg003G077870, Cg014G331780
OG0003874	As006G123540	Cg003G078800, Cg014G330730
OG0003876	As006G126090	Cg005G175100
OG0003878	As006G139920	Cg004G122290
OG0003881	As007G152470	Cg007G280450
OG0003882	As007G154510	Cg006G227780
OG0003883	As007G158890	Cg006G236680, Cg006G228010
OG0003884	As007G160570	Cg006G221020
OG0003885	As007G163750	Cg001G015910, Cg003G096590
OG0003886	As007G178360	Cg001G009560
OG0003887	As008G182590	Cg006G231000
OG0003889	As009G206560	Cg008G307090
OG0003889	As008G189240	Cg006G237120
OG0003890	As008G194200	Cg005G175250
OG0003891	As009G201620	Cg008G296130
OG0003893	As009G204140	Cg008G298600
OG0003894	As009G206320	Cg008G306970
OG0003895	As009G211380, As009G207230, As009G207290, As009G210320	Cg002G049150
OG0003896	As009G207440	Cg008G308340, Cg007G267870
OG0003897	As009G212730	Cg008G286780
OG0003898	As009G214230	Cg008G285870
OG0003899	As009G215120	Cg008G305440, Cg008G305450
OG0003900	As010G221610	Cg003G113730
OG0003901	As010G223350	Cg002G059190
OG0003902	As010G224000	Cg002G059950
OG0003903	As010G231110	Cg001G001490
OG0003904	As010G236930	Cg007G277180
OG0003905	As010G237050	Cg007G277100
OG0003906	As010G237540	Cg007G274010, Cg006G222360
OG0003907	As010G237560, As010G237570	Cg007G276530
OG0003908	As010G242240	Cg007G279560
OG0003909	As010G242780	Cg007G280060
OG0003910	As011G246310	Cg004G130330
OG0003912	As012G269980	Cg006G196580, Cg006G196570
OG0003913	As011G247940	Cg004G132130
OG0003914	As011G248290	Cg004G132480
OG0003915	As011G251160	Cg004G135720
OG0003916	As011G251860	Cg004G136540
OG0003917	As011G252470	Cg004G137040
OG0003918	As011G252890	Cg004G137490
OG0003919	As011G253850	Cg004G138780
OG0003920	As011G254760	Cg004G140080
OG0003921	As011G266120	Cg004G155790
OG0003922	As012G269750	Cg006G196240
OG0003923	As012G274150	Cg006G201930, Cg006G201940, Cg001G033670
OG0003924	As012G278770	Cg002G060670, Cg002G055040
OG0003925	As012G281550	Cg002G051300, Cg002G051290
OG0003926	As012G287150	Cg002G045600, Cg005G159980
OG0003948	As001G001850	Cg001G010570
OG0003950	As001G016530	Cg006G214150
OG0003951	As001G018200, As001G018180, As011G264680	Cg001G024860
OG0003952	As001G018840	Cg007G254860
OG0003953	As001G021240	Cg007G250160
OG0003954	As001G023250	Cg002G074790
OG0003955	As001G023780	Cg002G074230
OG0003956	As001G026420	Cg005G159430
OG0003957	As001G026450	Cg002G070850
OG0003958	As004G077260	Cg001G036310
OG0003958	As001G029020	Cg007G265340
OG0003959	As002G033730	Cg005G165320
OG0003960	As009G214470, As002G035970	Cg008G285450
OG0003961	As002G036570	Cg004G126690
OG0003962	As002G037220	Cg004G127150
OG0003963	As002G040080	Cg007G246940
OG0003965	As002G042610	Cg003G097030
OG0003966	As007G166260, As002G044520	Cg001G012670
OG0003967	As002G051060	Cg008G292650
OG0003968	As002G051630	Cg008G305530, Cg008G292070
OG0003969	As002G051810	Cg008G291910
OG0003970	As002G052470	Cg008G291190, Cg008G304610
OG0003971	As002G054270	Cg008G289420
OG0003972	As002G055130	Cg004G125900, Cg008G288470
OG0003973	As003G055920, As004G089980	Cg008G324760
OG0003974	As003G057050	Cg002G054130
OG0003975	As003G058840	Cg001G020170
OG0003976	As003G060960	Cg001G017960
OG0003977	As012G276670, As003G066850	Cg002G053510
OG0003978	As006G144580, As003G069520	Cg006G217760
OG0003980	As003G072720	Cg001G003630
OG0003981	As003G072830	Cg001G003550
OG0003982	As003G073740	Cg001G002720
OG0003983	As003G074540	Cg005G192330
OG0003984	As004G083600	Cg003G083970
OG0003985	As004G085790	Cg003G093630, Cg003G080350
OG0003986	As004G088130	Cg008G322820
OG0003987	As011G257790	Cg004G143130
OG0003987	As004G093320	Cg001G031130
OG0003988	As004G095470	Cg001G027800, Cg004G140740
OG0003989	As004G096680	Cg001G025800
OG0003990	As004G097720	Cg001G041900
OG0003991	As005G099930	Cg002G044400, Cg005G158600
OG0003993	As005G101180, As006G126880	Cg002G045360
OG0003994	As005G103050, As007G160380	Cg006G221210
OG0003995	As005G103140	Cg005G161730
OG0003996	As005G103420	Cg005G161990, Cg007G253030
OG0003997	As005G106470	Cg004G124500
OG0003998	As005G107400	Cg008G283100
OG0004001	As005G115180	Cg003G107030
OG0004002	As005G116460	Cg003G111320
OG0004003	As006G130470, As005G117650	Cg005G180420
OG0004004	As006G121940	Cg003G076920, Cg014G332680
OG0004006	As006G130440	Cg005G180300
OG0004007	As006G137920	Cg004G120350
OG0004008	As006G138240, As009G206850	Cg004G120810
OG0004009	As006G140960	Cg004G123300
OG0004010	As006G141640, As009G212110	Cg004G123990
OG0004011	As006G142700	Cg005G165910
OG0004011	As012G282540	Cg002G050300
OG0004012	As006G143040	Cg005G166270
OG0004013	As012G282260, As006G143070	Cg002G050590
OG0004014	As006G143270	Cg006G206860
OG0004015	As006G143670	Cg005G167070
OG0004016	As006G143900	Cg005G166840
OG0004017	As006G145950	Cg005G169200
OG0004020	As384G298050	Cg040G337040
OG0004021	As006G148300	Cg005G167810
OG0004022	As007G152020, As007G177620	Cg005G189150
OG0004024	As007G162480, As007G152540	Cg006G229560
OG0004025	As007G159370	Cg006G222620
OG0004026	As007G163630	Cg001G015960
OG0004027	As007G164540	Cg001G015570
OG0004028	As007G165260	Cg001G015220
OG0004030	As007G178020	Cg005G190390
OG0004031	As011G245950, As007G180840, As007G180850	Cg005G170730
OG0004032	As007G182130	Cg005G193970
OG0004033	As008G185010	Cg006G233680
OG0004034	As008G187450	Cg006G197780
OG0004035	As008G191840	Cg006G238250
OG0004036	As008G194270	Cg009G325720, Cg008G313870, Cg006G200650, Cg006G202710
OG0004037	As008G197570	Cg006G243440
OG0004038	As009G201890, As009G201900	Cg008G296300
OG0004039	As009G205460	Cg008G306160
OG0004040	As009G206590	Cg008G307110
OG0004041	As009G217840, As009G206830	Cg003G108910
OG0004043	As009G208000	Cg008G308840, Cg008G310490
OG0004044	As009G213930	Cg004G126610
OG0004045	As009G215710	Cg008G304560
OG0004046	As009G216920	Cg008G303360, Cg002G058100
OG0004047	As009G216980	Cg008G303320
OG0004048	As009G217550	Cg003G108510
OG0004049	As009G218170	Cg003G109280
OG0004050	As010G225880	Cg002G062670
OG0004051	As010G226350	Cg002G063960
OG0004052	As010G234160	Cg007G271770, Cg007G271780
OG0004053	As010G235210	Cg007G278870
OG0004054	As011G244730	Cg004G128630
OG0004055	As011G245670	Cg004G129600
OG0004056	As011G248840	Cg001G024930
OG0004056	As012G274720, As011G248850	Cg001G025520
OG0004057	As011G249280	Cg004G133570
OG0004058	As011G249290	Cg004G133580
OG0004060	As011G250180	Cg004G134700, Cg005G192760
OG0004061	As011G250270	Cg004G134770
OG0004062	As011G250550, As011G250570, As011G250600, As011G250560	Cg004G135140
OG0004063	As011G250770	Cg004G135350
OG0004064	As011G252680, As012G271950	Cg004G137270
OG0004065	As011G253220	Cg004G138010
OG0004066	As011G254320	Cg004G139560
OG0004067	As011G256390	Cg004G142170
OG0004068	As011G262720	Cg004G150070, Cg004G150650
OG0004069	As012G273000	Cg006G200310
OG0004070	As012G282310	Cg004G131130
OG0004071	As012G283350	Cg002G049380
OG0004072	As012G284150	Cg002G048630, Cg005G164060
OG0004073	As012G285330	Cg002G047190
OG0004092	As001G002580	Cg001G009930
OG0004093	As001G003020	Cg001G009630
OG0004094	As001G012290	Cg001G006540
OG0004095	As001G012460	Cg001G006460
OG0004096	As001G014080	Cg001G005940
OG0004097	As001G019550	Cg007G252530
OG0004098	As001G019910, As008G187860	Cg006G235870
OG0004099	As001G022420	Cg002G075570
OG0004100	As001G027270	Cg002G069600
OG0004101	As001G029080	Cg003G102730
OG0004102	As001G030300	Cg007G245580
OG0004102	As004G098370	Cg001G042960
OG0004103	As002G037810, As002G037800, As002G037790	Cg004G127630
OG0004104	As002G043900	Cg003G098670
OG0004105	As002G046100	Cg003G101590
OG0004106	As002G046540, As009G207520	Cg003G102030
OG0004107	As002G046780	Cg005G183370, Cg005G165750
OG0004108	As002G047980	Cg003G103530
OG0004109	As002G052000	Cg008G291720
OG0004110	As002G053550	Cg008G290110
OG0004112	As009G218120	Cg003G109230
OG0004113	As004G088410, As003G057000	Cg001G022260
OG0004114	As003G057030, As004G088400	Cg001G022200
OG0004115	As003G057230	Cg001G021960
OG0004117	As003G059100	Cg001G019820
OG0004118	As003G059740	Cg001G019290
OG0004119	As003G062860	Cg006G211870
OG0004120	As003G063760	Cg001G019910
OG0004121	As003G064620	Cg006G205080
OG0004122	As004G082890, As003G064780	Cg006G206110
OG0004123	As003G069730	Cg005G172480, Cg006G217670
OG0004124	As003G071390	Cg006G215530
OG0004125	As003G072870	Cg001G003500
OG0004126	As003G073720	Cg005G169630, Cg003G090610, Cg003G096190
OG0004127	As003G073890	Cg003G097640, Cg001G002620
OG0004128	As003G076290	Cg001G000400
OG0004129	As004G078290	Cg006G238400
OG0004130	As004G078500	Cg002G070120
OG0004131	As011G267420, As004G079300	Cg004G157280
OG0004134	As004G082540	Cg008G315820, Cg006G202030
OG0004135	As004G084160	Cg003G083040
OG0004136	As004G084940	Cg003G081680
OG0004137	As004G089940	Cg008G324720
OG0004138	As004G095680	Cg001G027440
OG0004139	As004G097850	Cg001G042100
OG0004140	As005G099510	Cg005G158260
OG0004141	As005G099950, As012G288140	Cg005G158620
OG0004142	As005G103000	Cg005G161610
OG0004143	As005G103610	Cg005G162160
OG0004145	As005G104470	Cg005G163020
OG0004146	As012G284840	Cg002G047770
OG0004147	As005G112540	Cg008G301440
OG0004148	As005G113170	Cg008G301860
OG0004149	As005G113840	Cg008G302710
OG0004150	As005G114510, As010G225010	Cg003G107870
OG0004151	As005G115870	Cg003G106560
OG0004152	As005G117090	Cg003G111960
OG0004153	As008G198700	Cg006G244820
OG0004153	As006G121660	Cg003G076200
OG0004154	As006G122110	Cg003G077130, Cg014G332500
OG0004155	As006G122150	Cg014G332430, Cg003G077180
OG0004156	As006G123180	Cg003G078370, Cg014G331250
OG0004157	As006G123200	Cg014G331230, Cg003G078390
OG0004158	As006G124850	Cg008G283700, Cg008G319610
OG0004159	As008G196350	Cg006G242220
OG0004160	As006G126710	Cg005G174700
OG0004161	As006G126870	Cg005G174810
OG0004162	As006G128050	Cg005G176200
OG0004163	As006G128110	Cg005G176350
OG0004164	As006G128260	Cg005G176620
OG0004165	As006G129050	Cg005G177800
OG0004166	As006G131720	Cg005G185710
OG0004167	As006G132450	Cg001G013420
OG0004168	As009G200130	Cg008G294420
OG0004168	As006G133220	Cg004G116260
OG0004169	As006G136100	Cg004G118260
OG0004170	As006G137240	Cg004G119650
OG0004171	As006G137640	Cg008G307770, Cg004G120070
OG0004172	As006G138260	Cg004G120720
OG0004173	As009G206620	Cg008G307150
OG0004174	As006G141250	Cg004G123650
OG0004175	As006G142360	Cg005G165610
OG0004176	As006G146830	Cg005G168700
OG0004178	As007G152740	Cg006G229710
OG0004179	As007G155390	Cg006G227030
OG0004181	As007G156800	Cg006G225300
OG0004182	As010G233100, As007G158660	Cg007G272440
OG0004183	As007G163050	Cg008G299860
OG0004184	As007G163160	Cg001G016160
OG0004185	As007G163590	Cg001G016010
OG0004186	As007G163940	Cg001G040060
OG0004187	As007G164400	Cg001G015680
OG0004188	As007G179030, As007G179010	Cg003G098590
OG0004189	As008G184410	Cg006G233000, Cg002G072010
OG0004190	As008G184700, As008G184690	Cg006G233380
OG0004192	As008G197350	Cg006G240690, Cg006G243220
OG0004194	As009G202240	Cg008G296590
OG0004195	As009G203180	Cg008G297560, Cg002G062990
OG0004197	As009G211300	Cg008G287820
OG0004198	As009G214930	Cg008G305600
OG0004200	As009G216370	Cg008G303960
OG0004201	As009G217150	Cg008G303100
OG0004203	As009G218930	Cg007G267140, Cg001G012240
OG0004204	As010G223320	Cg002G059130
OG0004204	As009G219070	Cg003G110390
OG0004205	As009G219810	Cg003G106140
OG0004206	As010G221690	Cg002G057280, Cg002G057290
OG0004207	As010G225090, As010G225080, As010G225100, As010G225060, As010G225070	Cg002G061630
OG0004208	As010G233390	Cg007G274220, Cg003G085340
OG0004209	As010G234300	Cg007G271930
OG0004210	As010G234490	Cg007G272090
OG0004211	As010G234890	Cg007G272450
OG0004212	As010G235670	Cg007G278400
OG0004213	As010G239270	Cg007G274680
OG0004214	As010G240480	Cg007G273680
OG0004215	As010G241600, As010G241620	Cg007G279050, Cg007G278980
OG0004216	As010G243430	Cg007G280940, Cg007G280610
OG0004217	As011G244640	Cg004G128430
OG0004218	As011G247420	Cg004G131610
OG0004219	As011G247730	Cg004G131940
OG0004220	As011G248180, As012G270710	Cg004G132350
OG0004223	As011G251120	Cg004G135690
OG0004224	As011G251370, As012G272690	Cg004G135970
OG0004225	As011G251650	Cg004G136300
OG0004226	As011G253300	Cg004G138120
OG0004227	As011G253800	Cg004G138730
OG0004228	As011G253810	Cg004G138740
OG0004229	As011G254240	Cg004G139480
OG0004230	As011G254340	Cg004G139600
OG0004231	As011G254780	Cg004G140090
OG0004233	As011G255710	Cg004G141400
OG0004234	As011G264880	Cg004G154040
OG0004235	As011G265830	Cg004G155380
OG0004236	As011G266690	Cg001G011640, Cg001G011650
OG0004237	As011G267270, As011G267280	Cg001G034350, Cg004G156970
OG0004238	As012G267910	Cg006G194380
OG0004239	As012G268080	Cg006G194530
OG0004240	As012G269260	Cg006G195470
OG0004241	As012G269460	Cg006G195830
OG0004242	As012G269770	Cg006G196260
OG0004243	As012G269900	Cg006G196470
OG0004244	As012G271830	Cg006G198400
OG0004245	As012G273560, As012G273570	Cg006G201240
OG0004246	As012G280620, As012G273950	Cg006G201670
OG0004247	As012G274970	Cg005G171820
OG0004251	As012G283920	Cg002G048900
OG0004252	As012G284390	Cg002G048330, Cg005G163830
OG0004253	As012G286840	Cg002G045880, Cg007G266290, Cg007G266270
OG0004254	As012G287640	Cg006G240950
OG0004255	As012G288240	Cg002G044330
OG0004275	As001G000870	Cg001G011520, Cg001G011510
OG0004276	As001G002160	Cg001G005980
OG0004277	As011G265640, As001G002210	Cg001G010280
OG0004278	As001G003370	Cg005G190260
OG0004279	As001G003660	Cg001G009170
OG0004280	As001G006810	Cg001G007120
OG0004281	As001G013770	Cg001G006320
OG0004282	As001G014300	Cg001G005630
OG0004283	As001G015050	Cg001G005030
OG0004285	As001G016710	Cg006G213890
OG0004286	As001G018890, As001G018880	Cg007G254580
OG0004287	As001G022460	Cg002G075540
OG0004288	As001G023610	Cg002G074400
OG0004289	As001G024600	Cg002G073150
OG0004290	As001G026120	Cg002G071250
OG0004292	As001G027050	Cg002G069160
OG0004294	As001G030160	Cg007G258530, Cg005G163510
OG0004295	As002G033190	Cg005G164840
OG0004296	As002G035220	Cg004G125660
OG0004297	As002G037050	Cg004G126970, Cg001G040270
OG0004298	As006G130640, As002G037710	Cg004G127620
OG0004299	As007G162270, As002G042660	Cg003G097050
OG0004300	As002G043250	Cg003G097740
OG0004301	As002G043300	Cg003G097790
OG0004302	As002G043550	Cg003G098130
OG0004303	As002G047780	Cg001G014180
OG0004304	As002G049650	Cg003G105540
OG0004305	As002G051210	Cg008G305930
OG0004306	As006G141850, As002G051270	Cg008G293590
OG0004307	As002G051350	Cg008G292330
OG0004308	As002G052440	Cg008G291230
OG0004309	As002G054450	Cg008G289290
OG0004310	As002G054710	Cg008G288990
OG0004311	As003G056500	Cg001G022720
OG0004312	As003G056690	Cg001G022530
OG0004313	As003G057420	Cg001G021750
OG0004314	As003G058230	Cg001G020700
OG0004315	As003G058610	Cg001G020350
OG0004316	As003G058920	Cg001G020040
OG0004317	As003G059020	Cg001G019920
