Orthogroup	Aethionema_saxatile	Cardamine_glauca
OG0000066	As007G156090	Cg006G226080
OG0000066	As002G052910	Cg006G236870, Cg008G290840
OG0000066	As005G118450	Cg008G290850, Cg003G113360
OG0000067	As011G256020	Cg007G270520
OG0000070	As010G229730	Cg005G186370
OG0000073	As002G034500, As002G034570, As002G034640	Cg004G150010, Cg008G302430
OG0000078	As004G095030	Cg002G071190
OG0000079	As012G285110	Cg004G118210, Cg002G047470, Cg005G185620, Cg001G038080, Cg007G249140, Cg008G310600, Cg008G310560, Cg008G308930
OG0000083	As006G138550	Cg005G178780, Cg007G271880, Cg008G322860, Cg005G190500, Cg004G140450, Cg004G140420, Cg004G140430, Cg004G140410, Cg004G140440, Cg005G190480, Cg005G190490, Cg004G121150
OG0000087	As010G222260	Cg008G303510
OG0000087	As006G128780	Cg005G177380
OG0000087	As002G051000	Cg008G292710
OG0000087	As012G274980	Cg005G171830
OG0000087	As004G086530	Cg008G320640
OG0000087	As003G058850	Cg001G020160
OG0000087	As010G237710	Cg007G276340
OG0000088	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920	Cg005G181240, Cg002G059450, Cg002G059900, Cg002G059930, Cg002G059530
OG0000089	As002G053510	Cg008G290150
OG0000089	As011G250900	Cg004G135460
OG0000089	As006G146590, As012G277570	Cg005G168860
OG0000089	As010G224530, As005G115200	Cg002G060740, Cg003G107020
OG0000090	As004G082910	Cg008G317760, Cg011G329140
OG0000090	As003G065330	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	As012G273080	Cg001G005770, Cg002G074060, Cg006G235770
OG0000093	As012G284680, As012G284700, As012G284660	Cg002G047960, Cg002G047920, Cg002G047970, Cg004G145440, Cg004G145260
OG0000097	As004G086430, As004G086420, As004G086450, As004G086440	Cg003G079780, Cg003G094240
OG0000102	As002G042100	Cg001G040220, Cg001G033570
OG0000104	As006G129180, As006G129160	Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930
OG0000104	As012G271190, As012G271200	Cg006G197920, Cg006G197960, Cg006G197910, Cg006G197970
OG0000104	As006G129190	Cg005G178050, Cg005G178070, Cg005G177950, Cg005G177970
OG0000106	As002G041170, As002G041390, As002G041440	Cg004G135900, Cg004G134980, Cg004G134990, Cg004G136130
OG0000107	As011G252340	Cg004G136920
OG0000108	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350	Cg008G306430, Cg004G146470, Cg007G245680, Cg007G245670
OG0000112	As011G262130, As011G262140, As009G217680, As009G217690	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460
OG0000114	As006G137050, As006G137080	Cg008G318090, Cg008G320920
OG0000123	As008G183730, As008G183740	Cg006G232300
OG0000123	As008G183750	Cg001G014420
OG0000123	As008G183720	Cg001G029000, Cg001G029020
OG0000125	As006G146230, As012G277440	Cg002G052860
OG0000125	As005G107620	Cg008G283340
OG0000125	As005G113770	Cg008G302630
OG0000125	As005G114700, As010G224880	Cg003G107610
OG0000125	As006G129500	Cg005G178390
OG0000127	As008G186430, As008G186390, As008G185640, As008G186440	Cg007G262280
OG0000133	As004G090110	Cg005G185140
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	Cg007G269340, Cg003G084500, Cg005G185150, Cg004G141220
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	Cg004G138210
OG0000136	As005G116580, As005G116570	Cg001G037110
OG0000138	As004G084820, As010G224060	Cg001G039000
OG0000138	As001G027950, As001G027940, As007G161530	Cg002G067580, Cg002G067290
OG0000140	As005G115230	Cg003G106820
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	Cg003G106800, Cg003G106450, Cg003G106440, Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	As003G060670	Cg005G177630
OG0000146	As002G047180	Cg003G102600, Cg003G098470, Cg003G098480
OG0000146	As002G047190	Cg003G102620, Cg003G102610
OG0000147	As011G265720	Cg004G155250
OG0000147	As001G002190	Cg001G010340
OG0000147	As002G049060	Cg003G104960
OG0000147	As010G243490	Cg007G280860
OG0000147	As011G259420	Cg001G032760, Cg004G146670
OG0000149	As010G224590	Cg002G060900
OG0000149	As010G224610	Cg003G107300, Cg003G107310, Cg003G107320, Cg003G107330, Cg003G107340, Cg001G028530, Cg003G082350, Cg003G107280, Cg002G060920
OG0000150	As010G225180, As010G225220, As010G225210	Cg002G064460, Cg001G004220, Cg002G061890, Cg002G061810, Cg005G186200
OG0000151	As007G166070	Cg001G012710
OG0000151	As006G141980, As006G133740	Cg004G124340
OG0000151	As011G263600	Cg004G152640
OG0000151	As002G047900	Cg003G103430
OG0000151	As001G030700	Cg007G246070
OG0000154	As007G152520	Cg006G229860
OG0000154	As009G210670	Cg004G128290
OG0000154	As002G034300	Cg004G125060
OG0000154	As005G107550	Cg008G283240
OG0000155	As003G059350	Cg001G013440, Cg001G019660, Cg001G019650
OG0000156	As012G287040, As012G287050	Cg002G045690
OG0000156	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580	Cg005G160250
OG0000161	As001G013550, As001G029600, As001G029610	Cg003G109710, Cg003G109720, Cg003G109690, Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820, Cg007G261690, Cg007G262070, Cg007G264010, Cg006G215310, Cg007G261320
OG0000162	As012G286440	Cg005G178220
OG0000162	As005G102210	Cg005G160860, Cg005G178250
OG0000165	As001G011340, As001G010810, As001G010990, As012G282150	Cg001G034730, Cg004G147530
OG0000167	As003G057890	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130
OG0000171	As005G099780	Cg002G044340
OG0000171	As007G159620	Cg006G235360
OG0000171	As009G200410	Cg008G294880
OG0000175	As010G220360	Cg002G055540
OG0000175	As007G156270	Cg006G225880
OG0000175	As011G263590	Cg001G005230
OG0000175	As011G264780, As003G072250	Cg004G153920
OG0000184	As004G089570	Cg008G312020, Cg006G215550
OG0000187	As001G003940	Cg001G008920, Cg001G008910
OG0000189	As003G074800	Cg004G151040
OG0000190	As004G085680	Cg003G080590, Cg003G080580, Cg006G210720, Cg006G210710, Cg003G080530, Cg003G087120, Cg003G087200
OG0000195	As001G028840	Cg001G036760, Cg007G265630
OG0000195	As002G033300	Cg008G301610
OG0000203	As006G136770	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000207	As003G061070	Cg007G279410
OG0000213	As002G038840	Cg005G191770, Cg005G191730
