Orthogroup	Conringia_planisiliqua	Arabidopsis_arenosa
OG0003881	CP10_g42792_DN3_SP8_c.t1	jg24738
OG0003882	CP10_g43101_DN3_SP5_c.t1	jg25093
OG0003883	CP10_g43928_DN3_SP0_c.t1, CP10_g43922_DN3_SP0_c.t1	jg27709, jg7825
OG0003884	CP12_g29919_DN3_SP3_c.t1	jg25617
OG0003885	CP1_g36519_DN3_SP0_c.t1	jg28527
OG0003886	CP8_g53139_DN3_SP7_c.t1	jg22534, jg21879
OG0003887	CP3_g14136_DN3_SP8_c.t1	jg15139
OG0003890	CP7_g44690_DN2_SP0_c.t1	jg14281
OG0003892	CP1_g37183_DN3_SP0_c.t1	jg29263, jg29262
OG0003894	CP1_g37236_DN3_SP6_c.t1	jg29321, jg32982
OG0003895	CP1_g37545_DN2_SP0_c.t1, CP2_g48984_DN3_SP0_c.t1	jg29687
OG0003897	CP7_g45883_DN2_SP0_c.t1	jg30394
OG0003898	CP7_g45858_DN2_SP0_c.t1, CP7_g45857_DN2_SP0_c.t1	jg30424, jg30423
OG0003900	CP8_g54522_DN3_SP0_c.t1	jg8079
OG0003902	CP2_g49170_DN3_SP5_c.t1	jg858
OG0003903	CP2_g49523_DN3_SP6_c.t1	jg1209
OG0003905	CP13_g19728_DN3_SP1_c.t1	jg20271
OG0003906	CP16_g54723_DN3_SP8_c.t1	jg16496, jg16499
OG0003907	CP3_g14694_DN3_SP0_c.t1	jg14505
OG0003908	CP5_g362_DN3_SP0_c.t1	jg8682
OG0003909	CP20_g4170_DN3_SP0_c.t1	jg8866
OG0003910	CP5_g574_DN3_SP5_c.t1	jg8923, jg8924
OG0003911	CP5_g881_DN3_SP6_c.t1	jg9286
OG0003912	CP7_g45460_DN3_SP6_c.t1	jg30889
OG0003913	CP5_g1212_DN3_SP8_c.t1	jg9652
OG0003915	CP24_g47403_DN3_SP0_c.t1	jg259
OG0003916	CP7_g45025_DN3_SP0_c.t1	jg31391
OG0003916	CP9_g29437_DN3_SP0_c.t1	jg3470, jg3468
OG0003917	CP20_g4008_DN2_SP0_c.t1	jg7242
OG0003917	CP75_g34150_DN1_SP0_c.t1	jg32212
OG0003919	CP3_g15784_DN1_SP0_c.t1	jg8333, jg6393, jg33168, jg16569, jg7949, jg25257, jg3831
OG0003919	CP15_g34706_DN3_SP0_c.t1	jg24453
OG0003920	CP16_g54886_DN3_SP0_c.t1	jg16679
OG0003922	CP13_g19108_DN3_SP2_c.t1	jg13808
OG0003923	CP3_g14671_DN2_SP0_c.t1	jg14520
OG0003924	CP12_g31031_DN3_SP0_c.t1, CP3_g15772_DN2_SP0_c.t1, CP27_g41849_DN1_SP0_c.t1, CP321_g27092_DN1_SP0_c.t1, CP20_g4064_DN3_SP0_c.t1, CP3_g15590_DN2_SP0_c.t1, CP1_g38390_DN1_SP0_c.t1, CP321_g27091_DN1_SP0_c.t1	jg4485
OG0003925	CP2_g48228_DN1_SP0_c.t1	jg23023
OG0003927	CP11_g32298_DN3_SP1_c.t1	jg5500
OG0003929	CP29_g22108_DN3_SP8_c.t1	jg7170, jg7175, jg7173
OG0003930	CP13_g20175_DN3_SP0_c.t1, CP13_g20091_DN3_SP0_c.t1, CP12_g29920_DN3_SP0_c.t1, CP13_g20090_DN2_SP0_c.t1	jg20649
OG0003941	CP10_g43809_DN3_SP8_c.t1	jg5348
OG0003944	CP11_g32671_DN3_SP0_c.t1	jg5106
OG0003945	CP2_g48501_DN3_SP0_c.t1	jg6497
OG0003946	CP10_g44087_DN3_SP1_c.t1	jg2560, jg27086
OG0003948	CP11_g32806_DN3_SP7_c.t1	jg4954
OG0003949	CP2_g48603_DN3_SP8_c.t1	jg6653
OG0003951	CP2_g48246_DN3_SP7_c.t1	jg6159
OG0003952	CP11_g33075_DN3_SP8_c.t1	jg4663
OG0003953	CP2_g48154_DN3_SP8_c.t1	jg23097
OG0003954	CP19_g18164_DN3_SP3_c.t1	jg9987
OG0003955	CP19_g18182_DN3_SP0_c.t1	jg10007
OG0003957	CP4_g26033_DN2_SP8_c.t1	jg17674
OG0003958	CP4_g25751_DN3_SP8_c.t1	jg18046
OG0003959	CP4_g25407_DN3_SP8_c.t1	jg18440
OG0003960	CP1_g36654_DN3_SP8_c.t1	jg28742
OG0003962	CP7_g44955_DN3_SP0_c.t1	jg31485, jg31488, jg31493
OG0003963	CP15_g34848_DN1_SP0_c.t1	jg8075, jg22196
OG0003963	CP3_g16603_DN1_SP0_c.t1, CP12_g31149_DN2_SP0_c.t1	jg20958
OG0003963	CP1_g38614_DN2_SP0_c.t1	jg13667
OG0003964	CP4_g24716_DN3_SP3_c.t1	jg15487
OG0003965	CP11_g32028_DN2_SP5_c.t1	jg1448
OG0003967	CP2_g47891_DN2_SP2_c.t1	jg23403
OG0003968	CP2_g47938_DN3_SP0_c.t1	jg23346
OG0003970	CP2_g48149_DN3_SP8_c.t1	jg23102
OG0003972	CP2_g48185_DN3_SP0_c.t1	jg23061, jg23063
OG0003974	CP2_g48282_DN3_SP8_c.t1	jg16943, jg6203
OG0003975	CP3_g14489_DN3_SP8_c.t1	jg14712
OG0003976	CP2_g48474_DN3_SP6_c.t1	jg6450, jg6451
OG0003977	CP2_g48490_DN3_SP0_c.t1	jg6486
OG0003978	CP1_g37465_DN3_SP8_c.t1	jg29608
OG0003979	CP8_g54055_DN1_SP0_c.t1, CP11_g31951_DN2_SP0_c.t1	jg14300
OG0003980	CP8_g54049_DN3_SP0_c.t1	jg22969
OG0003981	CP13_g19350_DN3_SP0_c.t1	jg13351, jg13355
OG0003982	CP8_g53903_DN3_SP8_c.t1	jg22819
OG0003983	CP5_g1631_DN3_SP0_c.t1, CP4_g26479_DN3_SP0_c.t1, CP4_g26497_DN3_SP0_c.t1, CP8_g53882_DN3_SP0_c.t1	jg22794
OG0003984	CP8_g53857_DN3_SP7_c.t1	jg22768
OG0003985	CP8_g53750_DN3_SP8_c.t1	jg22653
OG0003986	CP8_g53609_DN3_SP0_c.t1	jg22473
OG0003987	CP3_g14477_DN3_SP0_c.t1	jg7191, jg14727
OG0003988	CP8_g53407_DN3_SP6_c.t1	jg22226, jg22224
OG0003989	CP11_g33293_DN2_SP0_c.t1	jg4526, jg4527
OG0003990	CP8_g53291_DN3_SP0_c.t1	jg22047, jg22046
OG0003992	CP11_g33392_DN3_SP8_c.t1	jg4252
OG0003993	CP11_g33432_DN3_SP6_c.t1	jg4208
OG0003994	CP11_g33553_DN3_SP3_c.t1	jg4076
OG0003995	CP11_g33644_DN3_SP1_c.t1	jg3966
OG0003996	CP11_g33645_DN3_SP8_c.t1	jg3964
OG0003997	CP19_g17918_DN3_SP0_c.t1	jg12729
OG0003998	CP10_g42996_DN3_SP8_c.t1	jg24971
OG0004000	CP9_g29286_DN3_SP8_c.t1, CP7_g45682_DN2_SP0_c.t1	jg3305
OG0004001	CP9_g29276_DN3_SP0_c.t1	jg3293
OG0004003	CP13_g20155_DN3_SP7_c.t1	jg20721
OG0004004	CP7_g46459_DN3_SP5_c.t1	jg33598
OG0004006	CP7_g46432_DN3_SP1_c.t1, CP7_g46433_DN3_SP0_c.t1	jg33764
OG0004008	CP7_g46372_DN2_SP0_c.t1	jg33684, jg33682
OG0004009	CP1_g41044_DN3_SP5_c.t1	jg32601
OG0004010	CP7_g46297_DN3_SP8_c.t1	jg33600
OG0004011	CP4_g25105_DN3_SP8_c.t1	jg18771
OG0004012	CP8_g53262_DN2_SP7_c.t1	jg22028
OG0004013	CP6_g7503_DN3_SP8_c.t1	jg11329
OG0004014	CP6_g7455_DN3_SP4_c.t1	jg11287, jg11285
OG0004015	CP6_g7315_DN3_SP0_c.t1	jg11124
OG0004016	CP9_g28979_DN3_SP8_c.t1	jg2985, jg2984
OG0004017	CP9_g29069_DN3_SP0_c.t1	jg3082, jg3083
OG0004020	CP13_g19287_DN3_SP0_c.t1	jg13449
OG0004021	CP19_g18516_DN3_SP8_c.t1	jg10388
OG0004022	CP13_g19968_DN3_SP0_c.t1	jg20535
OG0004023	CP12_g30326_DN3_SP8_c.t1, CP1_g38085_DN3_SP4_c.t1	jg26129
OG0004024	CP12_g30327_DN3_SP3_c.t1	jg26130
OG0004025	CP4_g25245_DN3_SP0_c.t1	jg24034, jg10765, jg18614
OG0004026	CP4_g25231_DN3_SP5_c.t1	jg18628
OG0004027	CP13_g19866_DN3_SP6_c.t1	jg20426
OG0004028	CP7_g46140_DN3_SP0_c.t1	jg30085
OG0004029	CP19_g18425_DN3_SP8_c.t1	jg7648
OG0004030	CP1_g38121_DN3_SP7_c.t1	jg1912, jg32449, jg32458
OG0004031	CP20_g4259_DN3_SP0_c.t1	jg21616
OG0004032	CP6_g6820_DN3_SP2_c.t1	jg10563
OG0004033	CP13_g20131_DN3_SP0_c.t1, CP6_g6801_DN3_SP1_c.t1	jg10540
OG0004034	CP19_g18522_DN3_SP8_c.t1	jg10396
OG0004036	CP6_g6849_DN3_SP0_c.t1	jg10612
OG0004036	CP12_g30147_DN3_SP0_c.t1	jg25931
OG0004037	CP6_g7203_DN3_SP1_c.t1	jg11003
OG0004038	CP6_g7169_DN3_SP0_c.t1	jg12326, jg10952
OG0004039	CP10_g42156_DN3_SP5_c.t1	jg21502, jg23956
OG0004040	CP2_g47578_DN3_SP4_c.t1	jg23739, jg17130
OG0004041	CP3_g13125_DN3_SP8_c.t1	jg16343
OG0004043	CP18_g12522_DN3_SP3_c.t1	jg9088
OG0004044	CP3_g13252_DN3_SP8_c.t1	jg26976, jg16200
OG0004046	CP3_g13432_DN3_SP0_c.t1	jg16003
OG0004047	CP3_g13609_DN3_SP2_c.t1	jg15750
OG0004048	CP13_g19684_DN3_SP0_c.t1	jg12921
OG0004050	CP3_g13687_DN3_SP0_c.t1	jg32133, jg32129
OG0004051	CP3_g13939_DN1_SP0_c.t1	jg15360
OG0004052	CP3_g13996_DN3_SP8_c.t1	jg15291
OG0004053	CP3_g14007_DN3_SP8_c.t1	jg15284
OG0004054	CP12_g30869_DN3_SP0_c.t1	jg26820
OG0004055	CP7_g46420_DN3_SP3_c.t1, CP9_g28516_DN3_SP2_c.t1	jg33750
OG0004056	CP9_g28825_DN3_SP1_c.t1	jg2834
OG0004058	CP4_g24669_DN3_SP0_c.t1	jg19311
OG0004060	CP16_g55120_DN3_SP0_c.t1	jg16928
OG0004061	CP19_g18191_DN3_SP2_c.t1	jg10019
OG0004062	CP1_g38188_DN3_SP0_c.t1	jg33017
OG0004063	CP7_g44503_DN3_SP1_c.t1	jg32068
OG0004064	CP20_g4160_DN3_SP0_c.t1, CP20_g4164_DN3_SP0_c.t1	jg7344
OG0004065	CP20_g4302_DN3_SP8_c.t1	jg7454
OG0004066	CP8_g54403_DN3_SP8_c.t1	jg5792
OG0004069	CP4_g23981_DN3_SP0_c.t1	jg20152
OG0004070	CP4_g24073_DN3_SP0_c.t1	jg20052
OG0004071	CP10_g44097_DN3_SP8_c.t1	jg27568, jg27569
OG0004072	CP4_g24270_DN3_SP0_c.t1	jg19814, jg19813
OG0004073	CP4_g24362_DN3_SP8_c.t1	jg19705
OG0004074	CP7_g46040_DN1_SP0_c.t1	jg30228
OG0004076	CP10_g42304_DN3_SP8_c.t1	jg24138
OG0004077	CP1_g38173_DN2_SP0_c.t1	jg24183
OG0004078	CP10_g42394_DN3_SP8_c.t1	jg5662, jg24258
OG0004079	CP10_g42434_DN3_SP6_c.t1	jg24320
OG0004080	CP10_g42459_DN3_SP3_c.t1	jg24357
OG0004082	CP10_g42490_DN3_SP1_c.t1	jg24395
OG0004083	CP10_g42511_DN3_SP0_c.t1	jg24421
OG0004084	CP10_g42592_DN3_SP1_c.t1	jg24518
OG0004085	CP10_g42609_DN3_SP4_c.t1	jg16606, jg24538, jg5781
OG0004086	CP10_g42735_DN3_SP0_c.t1, CP10_g42736_DN3_SP0_c.t1	jg24681
OG0004087	CP10_g43246_DN3_SP5_c.t1	jg25245
OG0004088	CP10_g43310_DN3_SP2_c.t1	jg25328
OG0004089	CP10_g43392_DN3_SP0_c.t1, CP10_g43394_DN3_SP0_c.t1	jg25432
OG0004090	CP10_g43499_DN3_SP0_c.t1	jg12085, jg12054, jg25561
OG0004091	CP12_g29949_DN2_SP0_c.t1	jg25643
OG0004092	CP12_g30054_DN3_SP0_c.t1	jg25800
OG0004093	CP12_g30131_DN3_SP6_c.t1	jg25916
OG0004094	CP12_g30320_DN3_SP8_c.t1	jg26122
OG0004095	CP2_g48731_DN3_SP5_c.t1	jg21504, jg21535
OG0004096	CP13_g19112_DN3_SP0_c.t1	jg13788, jg13786
OG0004097	CP11_g32961_DN3_SP0_c.t1	jg29273
OG0004099	CP12_g30702_DN3_SP1_c.t1	jg26591
OG0004100	CP12_g30644_DN3_SP0_c.t1, CP12_g30645_DN3_SP8_c.t1	jg26520
OG0004102	CP12_g30515_DN3_SP0_c.t1	jg26348
OG0004103	CP5_g1007_DN3_SP3_c.t1	jg9418, jg2498
OG0004104	CP2_g48685_DN3_SP1_c.t1	jg21592, jg21593, jg14640
OG0004105	CP2_g48669_DN3_SP3_c.t1	jg6871
OG0004106	CP8_g54654_DN3_SP0_c.t1	jg8218
OG0004107	CP1_g36479_DN3_SP3_c.t1	jg28490, jg33286
OG0004109	CP1_g36921_DN3_SP0_c.t1	jg28984
OG0004111	CP1_g37179_DN3_SP4_c.t1	jg29258
OG0004113	CP1_g37404_DN3_SP8_c.t1	jg29517
OG0004114	CP2_g48982_DN3_SP6_c.t1	jg604
OG0004115	CP1_g37785_DN3_SP1_c.t1	jg29960
OG0004116	CP7_g45963_DN3_SP0_c.t1	jg30311
OG0004119	CP27_g41673_DN3_SP4_c.t1	jg21621, jg21620
OG0004120	CP9_g28770_DN2_SP0_c.t1	jg2777
OG0004121	CP7_g45392_DN2_SP0_c.t1, CP7_g45393_DN2_SP0_c.t1	jg30963
OG0004122	CP2_g48962_DN3_SP8_c.t1	jg29728, jg576
OG0004123	CP13_g19692_DN3_SP0_c.t1	jg13516
OG0004124	CP13_g19094_DN3_SP0_c.t1	jg412
OG0004125	CP11_g31925_DN3_SP0_c.t1	jg7808, jg7816
OG0004127	CP3_g15352_DN2_SP0_c.t1	jg14139, jg14137
OG0004128	CP11_g31897_DN3_SP7_c.t1	jg7764
OG0004128	CP6_g6705_DN3_SP4_c.t1	jg10416
OG0004129	CP1_g38315_DN3_SP2_c.t1	jg32897
OG0004130	CP5_g261_DN3_SP8_c.t1, CP2_g49518_DN3_SP0_c.t1	jg8586
OG0004131	CP5_g385_DN3_SP5_c.t1	jg8705
OG0004132	CP5_g421_DN3_SP1_c.t1	jg8745
OG0004134	CP12_g30764_DN2_SP0_c.t1, CP12_g30765_DN3_SP0_c.t1	jg26654
OG0004136	CP5_g224_DN3_SP5_c.t1, CP8_g54625_DN3_SP3_c.t1	jg8182
OG0004137	CP8_g53232_DN3_SP8_c.t1	jg21991
OG0004139	CP173_g41468_DN1_SP0_c.t1	jg14092, jg7316, jg12165, jg27198, jg32633, jg1318, jg17388, jg32425, jg14924, jg14341, jg32323, jg1179, jg13579, jg17245, jg1951, jg20609, jg17124, jg1473, jg27703, jg17364, jg32062, jg11548
OG0004141	CP2_g50735_DN3_SP0_c.t1	jg1525, jg1529
OG0004143	CP12_g30840_DN1_SP0_c.t1	jg26763, jg26766
OG0004144	CP12_g30998_DN3_SP0_c.t1	jg27146, jg27142, jg27151
OG0004145	CP15_g36168_DN3_SP0_c.t1	jg13849
OG0004145	CP26_g51136_DN2_SP0_c.t1	jg6933, jg6846
OG0004146	CP4_g25852_DN3_SP0_c.t1, CP1_g37040_DN2_SP0_c.t1	jg17871
OG0004148	CP13_g19685_DN2_SP0_c.t1	jg12920
OG0004149	CP13_g19223_DN3_SP7_c.t1	jg13547, jg13600
OG0004150	CP3_g13314_DN3_SP0_c.t1	jg16136
OG0004152	CP34_g51490_DN2_SP0_c.t1, CP42_g27288_DN3_SP0_c.t1	jg7121
OG0004153	CP5_g1282_DN3_SP0_c.t1	jg9723
OG0004155	CP2_g47982_DN1_SP0_c.t1	jg23295, jg23296
OG0004165	CP5_g948_DN3_SP5_c.t1	jg16853
OG0004166	CP5_g945_DN3_SP3_c.t1	jg9357
OG0004167	CP5_g940_DN3_SP0_c.t1	jg9351
OG0004168	CP2_g47989_DN3_SP5_c.t1	jg23290
OG0004168	CP3_g14547_DN3_SP0_c.t1	jg14653
OG0004169	CP11_g32237_DN3_SP0_c.t1	jg5568
OG0004170	CP11_g32280_DN3_SP5_c.t1	jg5514
OG0004171	CP11_g32299_DN3_SP0_c.t1	jg21373
OG0004174	CP11_g32453_DN2_SP8_c.t1	jg5341
OG0004175	CP11_g32459_DN3_SP7_c.t1	jg5336
OG0004176	CP11_g32468_DN2_SP0_c.t1	jg5322, jg5324
OG0004177	CP7_g45424_DN3_SP0_c.t1, CP7_g45421_DN3_SP0_c.t1	jg30928
OG0004178	CP11_g32565_DN3_SP6_c.t1	jg5217
OG0004180	CP11_g32822_DN3_SP0_c.t1	jg4937
OG0004181	CP13_g19136_DN3_SP0_c.t1	jg13715
OG0004182	CP2_g48415_DN3_SP8_c.t1	jg6376
OG0004183	CP11_g32990_DN3_SP0_c.t1	jg1325, jg1328, jg4751
OG0004185	CP11_g33052_DN3_SP8_c.t1	jg4471, jg4468
OG0004186	CP19_g18162_DN3_SP2_c.t1	jg9986, jg723
OG0004187	CP4_g26640_DN3_SP1_c.t1	jg17473, jg17474
OG0004188	CP4_g26444_DN3_SP8_c.t1	jg17560
OG0004189	CP4_g26126_DN2_SP0_c.t1	jg17626
OG0004190	CP3_g14801_DN3_SP6_c.t1, CP4_g26069_DN2_SP0_c.t1	jg17661, jg20921
OG0004191	CP4_g25898_DN3_SP7_c.t1	jg17812
OG0004192	CP4_g25720_DN3_SP0_c.t1	jg18077
OG0004193	CP4_g25716_DN2_SP0_c.t1	jg18082
OG0004194	CP4_g25707_DN3_SP0_c.t1	jg18091
OG0004195	CP4_g25626_DN2_SP0_c.t1	jg18178
OG0004196	CP20_g4099_DN2_SP0_c.t1	jg32634
OG0004198	CP4_g25496_DN3_SP6_c.t1	jg18289
OG0004199	CP1_g38392_DN3_SP6_c.t1	jg32828
OG0004200	CP30_g10023_DN2_SP0_c.t1	jg6961
OG0004201	CP1_g38491_DN3_SP3_c.t1, CP1_g38494_DN3_SP3_c.t1	jg32743
OG0004202	CP7_g45068_DN3_SP8_c.t1	jg31346
OG0004203	CP7_g45000_DN3_SP8_c.t1	jg31426
OG0004204	CP7_g44948_DN3_SP3_c.t1	jg31498
OG0004205	CP4_g25301_DN3_SP6_c.t1	jg18543
OG0004206	CP7_g44874_DN3_SP8_c.t1	jg31571
OG0004207	CP7_g44857_DN3_SP7_c.t1	jg31600
OG0004208	CP7_g44840_DN3_SP8_c.t1	jg102, jg31616
OG0004209	CP7_g44810_DN3_SP0_c.t1	jg31656
OG0004210	CP7_g44696_DN3_SP8_c.t1	jg31838
OG0004211	CP13_g19542_DN3_SP0_c.t1	jg13096
OG0004212	CP2_g47629_DN3_SP0_c.t1	jg23688
OG0004214	CP2_g47634_DN2_SP0_c.t1	jg23677
OG0004215	CP2_g47696_DN3_SP8_c.t1	jg23616
OG0004218	CP2_g48022_DN3_SP6_c.t1	jg23239
OG0004220	CP2_g48171_DN3_SP3_c.t1	jg28668, jg28403, jg23077
OG0004221	CP2_g48222_DN3_SP1_c.t1	jg23029
OG0004222	CP6_g7176_DN3_SP1_c.t1	jg10959
OG0004223	CP13_g20294_DN3_SP0_c.t1	jg20883
OG0004226	CP8_g54346_DN3_SP8_c.t1	jg5843
OG0004227	CP268_g6519_DN3_SP2_c.t1, CP8_g54258_DN3_SP2_c.t1	jg5933
OG0004228	CP8_g54172_DN3_SP0_c.t1	jg6035
OG0004229	CP8_g53934_DN3_SP3_c.t1	jg22854
OG0004230	CP8_g53910_DN3_SP5_c.t1	jg22824
OG0004232	CP8_g53668_DN3_SP0_c.t1	jg22561
OG0004233	CP19_g18373_DN3_SP0_c.t1	jg10228
OG0004234	CP8_g53564_DN3_SP2_c.t1	jg22419
OG0004235	CP3_g14412_DN3_SP0_c.t1	jg21513
OG0004236	CP8_g53443_DN3_SP8_c.t1	jg22301
OG0004237	CP11_g32072_DN3_SP5_c.t1	jg7980
OG0004238	CP11_g32029_DN3_SP0_c.t1	jg7849
OG0004239	CP11_g33228_DN3_SP1_c.t1	jg6594
OG0004240	CP10_g42993_DN3_SP8_c.t1	jg24968
OG0004241	CP11_g33482_DN3_SP0_c.t1	jg4158
OG0004242	CP11_g33592_DN3_SP0_c.t1	jg4022
OG0004243	CP11_g33733_DN3_SP0_c.t1, CP11_g33732_DN3_SP0_c.t1, CP5_g1815_DN3_SP0_c.t1	jg3852
OG0004244	CP5_g1336_DN3_SP7_c.t1	jg12693
OG0004246	CP9_g29635_DN2_SP0_c.t1	jg3688
OG0004248	CP9_g29519_DN3_SP0_c.t1	jg3563
OG0004249	CP9_g29412_DN3_SP4_c.t1	jg3440
OG0004250	CP10_g42830_DN3_SP6_c.t1	jg24780
OG0004251	CP7_g46444_DN3_SP0_c.t1	jg33774
OG0004252	CP7_g45222_DN3_SP6_c.t1	jg5834, jg2393, jg31181
OG0004253	CP7_g46242_DN3_SP8_c.t1	jg33525
OG0004254	CP6_g7985_DN3_SP0_c.t1, CP15_g35573_DN3_SP8_c.t1	jg11510
OG0004255	CP4_g24265_DN3_SP4_c.t1	jg19819
OG0004256	CP9_g28924_DN3_SP8_c.t1	jg2929
OG0004257	CP7_g45384_DN3_SP2_c.t1	jg21766
OG0004259	CP13_g19193_DN3_SP0_c.t1	jg13615
OG0004260	CP8_g52956_DN3_SP0_c.t1	jg21742
OG0004261	CP13_g19236_DN3_SP0_c.t1	jg13528, jg13529
OG0004262	CP13_g19402_DN3_SP6_c.t1	jg13288, jg13289
OG0004263	CP7_g45322_DN3_SP7_c.t1	jg31055
OG0004264	CP9_g28535_DN3_SP8_c.t1	jg2525
OG0004265	CP13_g19890_DN3_SP0_c.t1	jg20446
OG0004266	CP13_g19918_DN3_SP8_c.t1	jg20474
OG0004267	CP13_g19973_DN3_SP0_c.t1	jg20539
OG0004268	CP13_g20007_DN3_SP0_c.t1	jg20582
OG0004269	CP18_g11604_DN3_SP1_c.t1	jg17376
OG0004271	CP1_g37989_DN2_SP0_c.t1	jg33278
OG0004273	CP1_g37890_DN3_SP0_c.t1	jg33415
OG0004274	CP6_g6953_DN3_SP6_c.t1	jg10735
OG0004275	CP6_g6958_DN3_SP3_c.t1	jg10739, jg10736
OG0004277	CP6_g7090_DN3_SP0_c.t1	jg10876
OG0004278	CP3_g14252_DN3_SP1_c.t1	jg14997, jg14996
OG0004279	CP19_g18286_DN3_SP0_c.t1	jg10126
OG0004280	CP19_g18317_DN3_SP0_c.t1	jg10157
OG0004281	CP8_g53089_DN3_SP1_c.t1	jg21830
OG0004282	CP19_g18245_DN3_SP0_c.t1	jg10076
OG0004285	CP4_g26098_DN2_SP0_c.t1, CP6_g6822_DN3_SP0_c.t1	jg10565
OG0004286	CP6_g6769_DN2_SP0_c.t1	jg10486
OG0004287	CP6_g6747_DN3_SP8_c.t1	jg10458
OG0004288	CP6_g7147_DN2_SP0_c.t1	jg10925
OG0004289	CP10_g42123_DN3_SP0_c.t1	jg23920
OG0004290	CP3_g13075_DN3_SP6_c.t1, CP2_g48508_DN3_SP4_c.t1	jg6509
OG0004291	CP3_g13101_DN3_SP5_c.t1	jg16370
OG0004292	CP3_g13244_DN3_SP8_c.t1	jg16208
OG0004293	CP3_g13290_DN3_SP8_c.t1	jg16165
OG0004294	CP3_g13426_DN3_SP3_c.t1, CP7_g46348_DN3_SP5_c.t1	jg16008
OG0004295	CP3_g13496_DN3_SP8_c.t1	jg15887
OG0004296	CP3_g13520_DN3_SP0_c.t1	jg15843
OG0004297	CP3_g13523_DN3_SP8_c.t1	jg15838
OG0004298	CP3_g13584_DN3_SP8_c.t1	jg15785
OG0004299	CP3_g13661_DN3_SP0_c.t1	jg15162, jg15692
OG0004300	CP3_g13688_DN3_SP3_c.t1	jg15630
OG0004301	CP3_g13718_DN3_SP0_c.t1	jg15598
OG0004302	CP3_g13847_DN3_SP8_c.t1	jg15439
OG0004303	CP8_g53304_DN3_SP2_c.t1	jg22061
OG0004304	CP12_g30820_DN3_SP5_c.t1	jg26735
OG0004306	CP10_g43700_DN3_SP0_c.t1	jg27963
OG0004307	CP10_g43655_DN3_SP0_c.t1	jg28021, jg28026
OG0004308	CP10_g43579_DN3_SP8_c.t1	jg28133
OG0004310	CP4_g24601_DN3_SP8_c.t1	jg19395
OG0004312	CP4_g24645_DN3_SP0_c.t1	jg19340
OG0004313	CP4_g24709_DN3_SP8_c.t1	jg19251
OG0004314	CP4_g24803_DN3_SP8_c.t1	jg19134
OG0004315	CP4_g24861_DN3_SP1_c.t1	jg19050
OG0004316	CP4_g24972_DN3_SP7_c.t1	jg18917
OG0004317	CP20_g4410_DN3_SP0_c.t1	jg7605
OG0004318	CP16_g55022_DN3_SP2_c.t1, CP16_g55023_DN2_SP0_c.t1	jg16833
OG0004319	CP7_g45206_DN3_SP5_c.t1	jg31196
OG0004320	CP1_g36633_DN3_SP0_c.t1	jg28763
OG0004321	CP3_g14799_DN3_SP0_c.t1	jg14410, jg14406
OG0004322	CP2_g48538_DN3_SP0_c.t1	jg6553
OG0004323	CP1_g37052_DN3_SP0_c.t1, CP2_g48581_DN1_SP0_c.t1	jg6613
OG0004324	CP2_g48584_DN3_SP5_c.t1	jg6623
OG0004325	CP2_g48591_DN3_SP7_c.t1	jg6637
OG0004326	CP4_g24016_DN3_SP0_c.t1	jg20112
OG0004328	CP4_g24067_DN3_SP0_c.t1	jg20059
OG0004330	CP4_g24099_DN3_SP5_c.t1	jg20024, jg31102
OG0004331	CP12_g30488_DN3_SP0_c.t1	jg26321
OG0004332	CP4_g24155_DN3_SP8_c.t1	jg19964
OG0004334	CP4_g24413_DN3_SP4_c.t1	jg19639
OG0004335	CP4_g24418_DN3_SP0_c.t1	jg19633
OG0004336	CP4_g24441_DN3_SP0_c.t1	jg19609
OG0004337	CP13_g19773_DN3_SP8_c.t1	jg20330
OG0004338	CP13_g19779_DN3_SP1_c.t1	jg20337
OG0004339	CP13_g19787_DN3_SP6_c.t1	jg20352
OG0004340	CP10_g42576_DN3_SP0_c.t1	jg24504
OG0004341	CP10_g42600_DN1_SP0_c.t1	jg24527
OG0004342	CP10_g42676_DN3_SP8_c.t1	jg24619
OG0004343	CP10_g42683_DN2_SP6_c.t1	jg24625
OG0004344	CP10_g42801_DN3_SP8_c.t1	jg24746
OG0004345	CP10_g42969_DN3_SP2_c.t1	jg24936
OG0004346	CP10_g43088_DN3_SP8_c.t1	jg25070
OG0004347	CP10_g43147_DN2_SP1_c.t1	jg25138
OG0004348	CP10_g43168_DN3_SP0_c.t1	jg25156
OG0004349	CP10_g43217_DN3_SP7_c.t1	jg25215
OG0004350	CP10_g43269_DN3_SP8_c.t1	jg25282
OG0004351	CP10_g43309_DN3_SP6_c.t1	jg25327
OG0004352	CP10_g43346_DN3_SP6_c.t1	jg25380
OG0004353	CP10_g43376_DN3_SP8_c.t1	jg25416
OG0004354	CP10_g43390_DN3_SP3_c.t1	jg25429
OG0004355	CP10_g43452_DN3_SP4_c.t1	jg25501
OG0004356	CP12_g29872_DN3_SP1_c.t1	jg25570
OG0004357	CP12_g29876_DN3_SP0_c.t1	jg25581
OG0004358	CP11_g32324_DN3_SP0_c.t1	jg25584
OG0004359	CP12_g29948_DN3_SP8_c.t1	jg25640, jg25642
OG0004360	CP12_g29825_DN3_SP0_c.t1	jg28295
OG0004361	CP12_g30053_DN3_SP3_c.t1	jg25799
OG0004362	CP12_g30206_DN3_SP0_c.t1	jg26001
