Orthogroup	Conringia_planisiliqua	Arabidopsis_arenosa
OG0000048	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	jg33607
OG0000048	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1	jg18210, jg18207
OG0000048	CP9_g29505_DN2_SP0_c.t1	jg740
OG0000050	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1	jg11604
OG0000050	CP5_g3336_DN1_SP0_c.t1	jg14086
OG0000050	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1	jg19949, jg4268
OG0000051	CP4_g24481_DN3_SP0_c.t1	jg19557
OG0000051	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	jg19560
OG0000052	CP13_g19766_DN3_SP0_c.t1	jg13388, jg13390, jg13373, jg13389, jg13391, jg1458, jg1459, jg1457, jg13394, jg13392, jg13393
OG0000052	CP3_g14092_DN3_SP0_c.t1	jg20913, jg15189, jg15188, jg15190
OG0000055	CP12_g30730_DN2_SP0_c.t1	jg25886, jg26868
OG0000055	CP10_g42649_DN3_SP0_c.t1	jg26780
OG0000055	CP12_g30848_DN3_SP0_c.t1	jg26196, jg26181
OG0000055	CP10_g42516_DN3_SP0_c.t1	jg17788
OG0000055	CP10_g43729_DN2_SP0_c.t1	jg27919
OG0000056	CP2_g49077_DN3_SP0_c.t1	jg743
OG0000056	CP2_g49067_DN3_SP0_c.t1	jg747, jg744, jg745, jg746
OG0000056	CP2_g49031_DN3_SP0_c.t1	jg14491
OG0000058	CP17_g5406_DN1_SP0_c.t1	jg16618
OG0000059	CP12_g31611_DN2_SP0_c.t1	jg31675, jg32414
OG0000059	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000059	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1	jg27640, jg13837
OG0000060	CP8_g52772_DN3_SP0_c.t1	jg21260, jg17853
OG0000062	CP24_g46981_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP7_g44165_DN3_SP0_c.t1, CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	jg21178
OG0000062	CP4_g26549_DN1_SP0_c.t1	jg21177
OG0000062	CP1_g40964_DN3_SP0_c.t1	jg32622, jg13871, jg7029
OG0000063	CP21_g10524_DN1_SP0_c.t1	jg32522
OG0000064	CP18_g12051_DN1_SP0_c.t1	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	CP5_g1666_DN1_SP0_c.t1	jg12331
OG0000065	CP5_g1580_DN2_SP0_c.t1	jg12464, jg12463
OG0000066	CP4_g25642_DN3_SP0_c.t1	jg13471, jg4871
OG0000066	CP2_g49425_DN3_SP0_c.t1	jg4870, jg29279
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	jg20815, jg24929, jg28031, jg1126, jg17679, jg14038, jg32532, jg6462, jg31439, jg5264, jg14037
OG0000068	CP12_g31237_DN3_SP0_c.t1	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000070	CP17_g5790_DN3_SP0_c.t1	jg29403, jg28225, jg28226, jg13116, jg13115
OG0000070	CP7_g45746_DN3_SP0_c.t1	jg16631, jg30544, jg4483
OG0000072	CP6_g9757_DN2_SP0_c.t1	jg12110
OG0000072	CP5_g1872_DN1_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1	jg21612
OG0000072	CP6_g8612_DN2_SP0_c.t1, CP3_g16600_DN2_SP0_c.t1, CP35_g52086_DN1_SP0_c.t1, CP14_g22893_DN2_SP0_c.t1	jg6475, jg20956
OG0000072	CP2_g49697_DN3_SP0_c.t1	jg20178
OG0000072	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1	jg25787
OG0000073	CP5_g2097_DN2_SP0_c.t1, CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP15_g35379_DN3_SP0_c.t1	jg32690
OG0000073	CP6_g9731_DN1_SP0_c.t1	jg7033
OG0000073	CP6_g9730_DN1_SP0_c.t1	jg11572, jg10937, jg20466
OG0000073	CP18_g12305_DN2_SP0_c.t1	jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607
OG0000074	CP12_g31536_DN1_SP0_c.t1	jg16959
OG0000075	CP8_g52237_DN3_SP0_c.t1	jg21647
OG0000076	CP5_g77_DN1_SP0_c.t1	jg8362
OG0000076	CP4_g25364_DN3_SP0_c.t1	jg18482
OG0000077	CP13_g20085_DN3_SP0_c.t1	jg20644
OG0000077	CP2_g49683_DN2_SP0_c.t1	jg1247
OG0000077	CP13_g19516_DN3_SP0_c.t1	jg13128
OG0000077	CP2_g49677_DN1_SP0_c.t1	jg902, jg1249
OG0000078	CP10_g42381_DN3_SP0_c.t1	jg24239
OG0000078	CP10_g42379_DN1_SP0_c.t1	jg24236
OG0000078	CP10_g42380_DN2_SP0_c.t1	jg24237
OG0000078	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1	jg5644, jg5634
OG0000081	CP1_g40914_DN2_SP0_c.t1	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	CP29_g21947_DN3_SP0_c.t1	jg12265, jg12276
OG0000089	CP2_g48308_DN3_SP8_c.t1	jg6235
OG0000089	CP2_g48035_DN3_SP7_c.t1	jg23223
OG0000089	CP4_g25793_DN3_SP8_c.t1	jg17972
OG0000089	CP11_g32707_DN3_SP8_c.t1	jg5068
OG0000089	CP13_g20168_DN3_SP8_c.t1	jg20749
OG0000089	CP6_g6768_DN3_SP8_c.t1	jg10485
OG0000089	CP4_g25265_DN3_SP6_c.t1	jg18593
OG0000089	CP9_g29223_DN3_SP8_c.t1	jg3235
OG0000090	CP13_g20454_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1	jg20882
OG0000095	CP16_g55159_DN2_SP0_c.t1	jg17272
OG0000095	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1	jg1743, jg16988, jg17290, jg17390, jg16997
OG0000095	CP16_g55165_DN2_SP0_c.t1	jg17005, jg20640
OG0000095	CP16_g55163_DN2_SP0_c.t1	jg16996
OG0000096	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1	jg26888, jg26886
OG0000096	CP6_g7572_DN1_SP0_c.t1	jg6740, jg25958
OG0000097	CP29_g22155_DN1_SP0_c.t1	jg21181
OG0000097	CP1_g40642_DN2_SP0_c.t1	jg2302
OG0000098	CP17_g5784_DN1_SP0_c.t1	jg27223
OG0000098	CP2_g48438_DN1_SP0_c.t1	jg27222, jg27460, jg27464, jg17593, jg16875
OG0000100	CP2_g49326_DN3_SP0_c.t1	jg1001
OG0000100	CP2_g48891_DN3_SP0_c.t1	jg492, jg11338, jg777, jg27782
OG0000101	CP22_g17341_DN3_SP0_c.t1	jg27510
OG0000102	CP5_g1424_DN3_SP0_c.t1	jg21543, jg7817
OG0000105	CP12_g31635_DN1_SP0_c.t1	jg14191, jg14194
OG0000105	CP20_g4448_DN2_SP0_c.t1	jg508
OG0000107	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1	jg17559, jg17556
OG0000111	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1	jg7195, jg7197, jg7196, jg7198
OG0000111	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1	jg13696, jg13695, jg13697
OG0000114	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1, CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP12_g30982_DN3_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	CP18_g11868_DN3_SP0_c.t1, CP9_g27995_DN3_SP0_c.t1, CP75_g34149_DN3_SP0_c.t1, CP9_g27968_DN2_SP0_c.t1, CP9_g27996_DN3_SP0_c.t1, CP9_g28014_DN3_SP0_c.t1, CP9_g27949_DN3_SP0_c.t1, CP13_g20558_DN3_SP0_c.t1, CP18_g12093_DN3_SP0_c.t1, CP5_g2512_DN3_SP0_c.t1, CP8_g52210_DN3_SP0_c.t1, CP22_g17667_DN2_SP0_c.t1, CP12_g30983_DN3_SP0_c.t1, CP14_g23380_DN2_SP0_c.t1, CP7_g44106_DN2_SP0_c.t1, CP3_g15174_DN1_SP0_c.t1, CP2_g49797_DN1_SP0_c.t1, CP9_g27967_DN3_SP0_c.t1, CP1_g40794_DN1_SP0_c.t1	jg6733
OG0000115	CP25_g55879_DN1_SP0_c.t1	jg32874
OG0000115	CP29_g22137_DN2_SP0_c.t1	jg29546
OG0000116	CP59_g6663_DN3_SP0_c.t1, CP44_g20908_DN3_SP0_c.t1, CP18_g12569_DN3_SP0_c.t1	jg21091, jg22360, jg6813, jg6561
OG0000116	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1	jg16608, jg16609
OG0000116	CP2_g50670_DN2_SP0_c.t1	jg6560
OG0000116	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1	jg27190
OG0000117	CP7_g45432_DN3_SP0_c.t1	jg30922
OG0000117	CP7_g45431_DN3_SP0_c.t1	jg30923, jg30924
OG0000117	CP7_g45420_DN3_SP0_c.t1	jg30934
OG0000117	CP7_g45419_DN3_SP0_c.t1	jg30938
OG0000117	CP7_g45418_DN3_SP0_c.t1	jg30929
OG0000120	CP24_g46957_DN2_SP0_c.t1, CP13_g20756_DN1_SP0_c.t1	jg13974
OG0000122	CP8_g53627_DN3_SP0_c.t1	jg22508
OG0000124	CP6_g8263_DN1_SP0_c.t1, CP14_g23406_DN1_SP0_c.t1	jg27681
OG0000124	CP14_g23405_DN1_SP0_c.t1	jg17603
OG0000125	CP4_g25846_DN3_SP0_c.t1	jg17896
OG0000126	CP4_g26270_DN2_SP0_c.t1	jg17588
OG0000127	CP8_g54114_DN3_SP0_c.t1	jg6123
OG0000127	CP3_g13990_DN2_SP0_c.t1	jg15301
OG0000127	CP11_g33621_DN2_SP0_c.t1	jg24874
OG0000127	CP8_g54018_DN3_SP0_c.t1	jg22931
OG0000127	CP3_g14833_DN3_SP0_c.t1	jg14383
OG0000127	CP4_g25869_DN3_SP0_c.t1	jg17851
OG0000128	CP3_g13458_DN3_SP0_c.t1	jg15960
OG0000129	CP10_g42426_DN3_SP0_c.t1, CP14_g22722_DN3_SP0_c.t1	jg1820
OG0000129	CP9_g27597_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1	jg1847
OG0000129	CP2_g48114_DN3_SP0_c.t1	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823
OG0000130	CP127_g12823_DN1_SP0_c.t1	jg25904
OG0000130	CP3_g15569_DN2_SP0_c.t1, CP8_g54335_DN2_SP0_c.t1, CP2_g49673_DN2_SP0_c.t1	jg33171
OG0000130	CP2_g49700_DN3_SP0_c.t1	jg32651, jg20179
OG0000134	CP12_g31654_DN3_SP0_c.t1	jg27021, jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319, jg27419, jg1248
OG0000134	CP12_g31633_DN3_SP0_c.t1	jg1323
OG0000136	CP14_g23760_DN1_SP0_c.t1	jg13269
OG0000136	CP3_g15024_DN1_SP0_c.t1	jg159
OG0000137	CP29_g22095_DN2_SP0_c.t1	jg22358
OG0000138	CP4_g26545_DN2_SP0_c.t1	jg16315
OG0000140	CP12_g31007_DN2_SP0_c.t1	jg16992, jg1149
OG0000140	CP2_g49134_DN3_SP0_c.t1, CP14_g23074_DN2_SP0_c.t1	jg12153
OG0000140	CP5_g2106_DN1_SP0_c.t1	jg832
OG0000140	CP12_g31264_DN1_SP0_c.t1	jg13730
OG0000140	CP12_g31008_DN1_SP0_c.t1	jg32189
OG0000141	CP1_g37531_DN2_SP0_c.t1	jg29672
OG0000141	CP1_g37530_DN3_SP0_c.t1	jg29671
OG0000143	CP33_g3610_DN1_SP0_c.t1	jg20945
OG0000148	CP1_g38394_DN3_SP0_c.t1	jg32820, jg24959
OG0000148	CP8_g53130_DN2_SP0_c.t1	jg461
OG0000148	CP1_g38017_DN2_SP0_c.t1	jg32882, jg32881, jg32883, jg33223
OG0000148	CP7_g45047_DN1_SP0_c.t1	jg5636
OG0000148	CP1_g38033_DN1_SP0_c.t1	jg33224
OG0000154	CP1_g38036_DN1_SP0_c.t1, CP1_g38035_DN2_SP0_c.t1	jg5696, jg5697
OG0000154	CP6_g7266_DN3_SP0_c.t1	jg11063
OG0000154	CP1_g38028_DN2_SP0_c.t1	jg33213
OG0000157	CP7_g44859_DN3_SP0_c.t1	jg31645
OG0000157	CP3_g13734_DN3_SP0_c.t1	jg12097
OG0000158	CP4_g24795_DN1_SP0_c.t1	jg5270, jg28263
OG0000160	CP10_g43624_DN3_SP8_c.t1	jg28078
OG0000160	CP5_g984_DN3_SP8_c.t1	jg9392
OG0000160	CP8_g53733_DN3_SP8_c.t1	jg22635
OG0000160	CP17_g5850_DN3_SP8_c.t1	jg27288
OG0000160	CP9_g29643_DN3_SP8_c.t1	jg3697
OG0000160	CP16_g55126_DN3_SP8_c.t1	jg16942
OG0000161	CP2_g49800_DN1_SP0_c.t1	jg6881, jg12949, jg10772, jg12951
OG0000162	CP4_g25433_DN2_SP0_c.t1	jg18405, jg20943
OG0000162	CP4_g25434_DN2_SP0_c.t1	jg18404
OG0000163	CP26_g51269_DN2_SP0_c.t1	jg1575, jg27445
OG0000164	CP35_g52063_DN2_SP0_c.t1, CP5_g3147_DN2_SP0_c.t1, CP5_g3037_DN1_SP0_c.t1	jg6848, jg11792, jg7487, jg11793
OG0000164	CP35_g52064_DN1_SP0_c.t1, CP15_g35652_DN2_SP0_c.t1, CP28_g34015_DN2_SP0_c.t1	jg27251
OG0000164	CP17_g5684_DN1_SP0_c.t1	jg26448, jg6518, jg6519
OG0000164	CP18_g11984_DN2_SP0_c.t1	jg27250
OG0000166	CP16_g55346_DN3_SP0_c.t1	jg21553
OG0000166	CP16_g55347_DN1_SP0_c.t1	jg17125
OG0000167	CP12_g30688_DN2_SP0_c.t1	jg26576, jg26577
OG0000171	CP8_g53294_DN3_SP8_c.t1	jg22050
OG0000171	CP19_g17855_DN3_SP6_c.t1	jg12793
OG0000171	CP10_g43893_DN3_SP8_c.t1	jg27769
OG0000171	CP8_g53599_DN3_SP8_c.t1	jg22463
OG0000171	CP10_g42832_DN3_SP8_c.t1	jg24782
OG0000172	CP21_g11066_DN3_SP0_c.t1	jg27127
OG0000173	CP5_g175_DN2_SP0_c.t1	jg8491
OG0000175	CP11_g32500_DN3_SP8_c.t1	jg5289
OG0000175	CP4_g24004_DN3_SP6_c.t1, CP3_g13159_DN3_SP8_c.t1	jg16299
OG0000177	CP9_g29342_DN3_SP0_c.t1	jg30663, jg8064, jg3362
OG0000178	CP11_g31843_DN3_SP0_c.t1	jg7707
OG0000179	CP2_g49358_DN1_SP0_c.t1	jg1096
OG0000179	CP2_g49352_DN3_SP0_c.t1	jg1072
OG0000179	CP2_g49243_DN3_SP0_c.t1	jg1085, jg1082, jg1074, jg1073, jg1075, jg1083
OG0000179	CP2_g49361_DN3_SP0_c.t1, CP2_g49359_DN3_SP0_c.t1, CP2_g49380_DN3_SP0_c.t1	jg1022
OG0000182	CP2_g49579_DN2_SP0_c.t1	jg31826, jg16158, jg16157
OG0000182	CP3_g13758_DN3_SP0_c.t1	jg15780
OG0000183	CP5_g1726_DN3_SP8_c.t1	jg2098
OG0000183	CP3_g13675_DN3_SP8_c.t1	jg15712
OG0000183	CP4_g26440_DN3_SP8_c.t1	jg17567
OG0000187	CP7_g44449_DN3_SP0_c.t1	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978
OG0000189	CP10_g43894_DN3_SP5_c.t1	jg8854
OG0000189	CP9_g29229_DN3_SP8_c.t1	jg3242
OG0000189	CP7_g45756_DN3_SP8_c.t1	jg30537
OG0000192	CP1_g37670_DN3_SP0_c.t1, CP2_g49912_DN3_SP0_c.t1	jg647
OG0000192	CP1_g37644_DN3_SP0_c.t1	jg29805
OG0000192	CP19_g18011_DN3_SP0_c.t1	jg9826
OG0000193	CP7_g44707_DN2_SP0_c.t1	jg25724
OG0000193	CP3_g15012_DN3_SP0_c.t1, CP3_g15010_DN3_SP0_c.t1, CP3_g15011_DN3_SP0_c.t1	jg32770
OG0000195	CP15_g34742_DN3_SP0_c.t1	jg28161
OG0000196	CP19_g17880_DN3_SP0_c.t1, CP19_g17875_DN3_SP0_c.t1	jg12778
OG0000197	CP6_g6856_DN2_SP0_c.t1	jg12242
OG0000197	CP1_g38811_DN2_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38820_DN1_SP0_c.t1	jg10624
OG0000198	CP13_g19662_DN3_SP0_c.t1, CP13_g19663_DN3_SP3_c.t1, CP13_g19661_DN2_SP8_c.t1	jg11388
OG0000198	CP1_g37803_DN3_SP1_c.t1	jg29982, jg31686
OG0000198	CP1_g37802_DN3_SP1_c.t1	jg29981
OG0000198	CP19_g18287_DN3_SP0_c.t1	jg13337
OG0000199	CP5_g930_DN3_SP0_c.t1	jg9442, jg5645, jg5642, jg9443, jg9444
OG0000203	CP3_g13515_DN3_SP0_c.t1	jg15862
OG0000209	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1	jg10637, jg29693, jg29335, jg21051, jg1344, jg14429
