Orthogroup	Duplications (all)	Duplications (50% support)
OG0000753	33	23
OG0000754	64	64
OG0000755	53	41
OG0000756	63	63
OG0000757	65	65
OG0000758	65	65
OG0000759	65	65
OG0000760	64	64
OG0000761	18	12
OG0000762	27	23
OG0000763	17	13
OG0000764	10	10
OG0000765	24	15
OG0000766	17	11
OG0000767	18	13
OG0000768	20	17
OG0000769	18	10
OG0000770	13	9
OG0000771	25	23
OG0000772	16	10
OG0000773	26	20
OG0000774	22	14
OG0000775	13	8
OG0000776	25	20
OG0000777	22	17
OG0000778	64	64
OG0000779	64	64
OG0000780	64	64
OG0000781	26	24
OG0000782	12	9
OG0000783	39	36
OG0000784	22	18
OG0000785	25	18
OG0000786	29	22
OG0000787	9	8
OG0000788	15	12
OG0000789	17	12
OG0000790	13	10
OG0000791	35	34
OG0000792	34	31
OG0000793	8	7
OG0000794	18	14
OG0000795	25	16
OG0000796	17	17
OG0000797	6	4
OG0000798	23	13
OG0000799	17	14
OG0000800	17	14
OG0000801	11	10
OG0000802	22	15
OG0000803	19	17
OG0000804	26	22
OG0000805	17	14
OG0000806	58	48
OG0000807	51	48
OG0000808	31	29
OG0000809	48	40
OG0000810	62	62
OG0000811	63	63
OG0000812	22	8
OG0000813	29	27
OG0000814	27	18
OG0000815	30	19
OG0000816	16	10
OG0000817	18	17
OG0000818	16	14
OG0000819	21	15
OG0000820	20	17
OG0000821	26	18
OG0000822	24	13
OG0000823	28	20
OG0000824	22	17
OG0000825	35	28
OG0000826	25	21
OG0000827	11	11
OG0000828	17	12
OG0000829	30	24
OG0000830	60	60
OG0000831	23	16
OG0000832	9	5
OG0000833	30	29
OG0000834	12	11
OG0000835	20	15
OG0000836	25	22
OG0000837	31	22
OG0000838	61	61
OG0000839	16	13
OG0000840	19	14
OG0000841	19	13
OG0000842	11	11
OG0000843	10	10
OG0000844	20	13
OG0000845	25	23
OG0000846	23	17
OG0000847	27	23
OG0000848	30	26
OG0000849	24	15
OG0000850	35	29
OG0000851	14	11
OG0000852	21	17
OG0000853	29	21
OG0000854	59	59
OG0000855	56	53
OG0000856	60	60
OG0000857	23	23
OG0000858	14	12
OG0000859	17	13
OG0000860	19	18
OG0000861	12	11
OG0000862	33	30
OG0000863	14	7
OG0000864	29	26
OG0000865	16	14
OG0000866	25	17
OG0000867	15	14
OG0000868	10	7
OG0000869	31	26
OG0000870	11	10
OG0000871	16	12
OG0000872	12	10
OG0000873	19	9
OG0000874	13	10
OG0000875	18	11
OG0000876	36	31
OG0000877	29	22
OG0000878	57	57
OG0000879	60	60
OG0000880	60	60
OG0000881	60	60
OG0000882	13	3
OG0000883	22	17
OG0000884	27	25
OG0000885	23	18
OG0000886	17	14
OG0000887	23	19
OG0000888	18	6
OG0000889	12	12
OG0000890	25	23
OG0000891	47	45
OG0000892	55	51
OG0000893	18	16
OG0000894	10	8
OG0000895	24	18
OG0000896	26	22
OG0000897	14	13
OG0000898	19	17
OG0000899	15	14
OG0000900	28	23
OG0000901	23	19
OG0000902	18	11
OG0000903	16	13
OG0000904	14	13
OG0000905	20	13
OG0000906	16	15
OG0000907	11	9
OG0000908	17	15
OG0000909	25	21
OG0000910	22	16
OG0000911	16	12
OG0000912	20	16
OG0000913	9	9
OG0000914	12	11
OG0000915	28	24
OG0000916	21	14
OG0000917	13	9
OG0000918	46	31
OG0000919	41	31
OG0000920	19	12
OG0000921	58	58
OG0000922	25	19
OG0000923	14	13
OG0000924	10	10
OG0000925	20	19
OG0000926	21	20
OG0000927	9	9
OG0000928	17	14
OG0000929	14	10
OG0000930	19	18
OG0000931	12	10
OG0000932	13	8
OG0000933	18	12
OG0000934	15	9
OG0000935	28	27
OG0000936	22	20
OG0000937	50	49
OG0000938	17	13
OG0000939	11	8
OG0000940	30	26
OG0000941	29	11
OG0000942	25	20
OG0000943	23	17
OG0000944	15	13
OG0000945	43	34
OG0000946	18	12
OG0000947	14	13
OG0000948	21	20
OG0000949	21	13
OG0000950	15	11
OG0000951	13	12
OG0000952	22	20
OG0000953	55	55
OG0000954	24	16
OG0000955	25	23
OG0000956	8	5
OG0000957	15	12
OG0000958	26	22
OG0000959	30	26
OG0000960	42	29
OG0000961	53	51
OG0000962	20	17
OG0000963	16	15
OG0000964	29	29
OG0000965	18	15
OG0000966	20	18
OG0000967	22	21
OG0000968	12	10
OG0000969	15	11
OG0000970	19	15
OG0000971	15	13
OG0000972	19	12
OG0000973	20	11
OG0000974	13	9
OG0000975	16	15
OG0000976	20	16
OG0000977	23	16
OG0000978	18	15
OG0000979	25	22
OG0000980	22	20
OG0000981	48	46
OG0000982	20	14
OG0000983	14	14
OG0000984	14	9
OG0000985	14	10
OG0000986	12	9
OG0000987	14	10
OG0000988	16	8
OG0000989	15	11
OG0000990	16	13
OG0000991	38	34
OG0000992	15	14
OG0000993	12	8
OG0000994	11	9
OG0000995	15	8
OG0000996	30	27
OG0000997	12	8
OG0000998	14	13
OG0000999	15	9
OG0001000	21	6
OG0001001	11	9
OG0001002	12	12
OG0001003	14	13
OG0001004	19	17
OG0001005	13	10
OG0001006	42	37
OG0001007	11	9
OG0001008	21	19
OG0001009	19	14
OG0001010	15	13
OG0001011	17	15
OG0001012	12	10
OG0001013	15	12
OG0001014	16	11
OG0001015	14	14
OG0001016	14	12
OG0001017	13	10
OG0001018	25	23
OG0001019	21	16
OG0001020	23	17
OG0001021	15	14
OG0001022	24	16
OG0001023	48	47
OG0001024	48	42
OG0001025	55	55
OG0001026	55	55
OG0001027	55	55
OG0001028	55	55
OG0001029	34	26
OG0001030	24	17
OG0001031	16	14
OG0001032	12	10
OG0001033	18	17
OG0001034	12	12
OG0001035	17	13
OG0001036	34	34
OG0001037	17	15
OG0001038	14	14
OG0001039	18	14
OG0001040	18	9
OG0001041	20	15
OG0001042	11	8
OG0001043	20	14
OG0001044	11	10
OG0001045	14	12
OG0001046	12	9
OG0001047	12	11
OG0001048	34	32
OG0001049	16	14
OG0001050	21	20
OG0001051	28	24
OG0001052	12	9
OG0001053	18	14
OG0001054	11	10
OG0001055	29	19
OG0001056	14	12
OG0001057	21	18
OG0001058	18	11
OG0001059	14	12
OG0001060	18	15
OG0001061	22	19
OG0001062	18	11
OG0001063	22	20
OG0001064	19	14
OG0001065	6	5
OG0001066	15	12
OG0001067	15	11
OG0001068	36	28
OG0001069	12	9
OG0001070	9	5
OG0001071	19	17
OG0001072	40	38
OG0001073	22	18
OG0001074	53	53
OG0001075	54	54
OG0001076	18	15
OG0001077	17	10
OG0001078	17	17
OG0001079	15	11
OG0001080	16	11
OG0001081	11	8
OG0001082	11	6
OG0001083	20	14
OG0001084	35	31
OG0001085	8	8
OG0001086	12	10
OG0001087	14	11
OG0001088	18	17
OG0001089	17	14
OG0001090	21	18
OG0001091	13	11
OG0001092	13	5
OG0001093	44	42
OG0001094	13	10
OG0001095	12	9
OG0001096	17	16
OG0001097	20	16
OG0001098	12	11
OG0001099	13	11
OG0001100	24	17
OG0001101	23	19
OG0001102	13	12
OG0001103	11	10
OG0001104	18	15
OG0001105	17	17
OG0001106	18	18
OG0001107	12	10
OG0001108	27	22
OG0001109	20	18
OG0001110	24	18
OG0001111	11	8
OG0001112	13	7
OG0001113	24	19
OG0001114	39	36
OG0001115	30	28
OG0001116	25	23
OG0001117	52	52
OG0001118	49	48
OG0001119	53	53
OG0001120	12	9
OG0001121	19	19
OG0001122	13	9
OG0001123	12	11
OG0001124	24	21
OG0001125	20	17
OG0001126	27	23
OG0001127	19	16
OG0001128	12	9
OG0001129	12	12
OG0001130	14	11
OG0001131	11	10
OG0001132	11	10
OG0001133	12	10
OG0001134	11	10
OG0001135	14	7
OG0001136	10	8
OG0001137	13	9
OG0001138	13	5
OG0001139	14	7
OG0001140	11	11
OG0001141	11	10
OG0001142	12	11
OG0001143	12	8
OG0001144	10	9
OG0001145	16	12
OG0001146	12	7
OG0001147	35	30
OG0001148	13	7
OG0001149	17	14
OG0001150	14	13
OG0001151	13	12
OG0001152	20	7
OG0001153	13	11
OG0001154	11	8
OG0001155	35	28
OG0001156	20	15
OG0001157	5	5
OG0001158	17	12
OG0001159	20	17
OG0001160	10	7
OG0001161	19	11
OG0001162	10	8
OG0001163	8	7
OG0001164	13	13
OG0001165	35	28
OG0001166	16	14
OG0001167	13	10
OG0001168	14	9
OG0001169	11	8
OG0001170	19	18
OG0001171	19	17
OG0001172	52	52
OG0001173	52	52
OG0001174	11	11
OG0001175	11	10
OG0001176	9	8
OG0001177	9	6
OG0001178	11	11
OG0001179	12	10
OG0001180	19	17
OG0001181	15	9
OG0001182	10	6
OG0001183	17	15
OG0001184	10	8
OG0001185	13	12
OG0001186	11	9
OG0001187	25	19
OG0001188	21	16
OG0001189	10	7
OG0001190	9	9
OG0001191	16	11
OG0001192	12	8
OG0001193	14	12
OG0001194	13	9
OG0001195	18	13
OG0001196	17	15
OG0001197	15	12
OG0001198	20	16
OG0001199	9	8
OG0001200	19	16
OG0001201	10	8
OG0001202	12	11
OG0001203	11	11
OG0001204	13	11
OG0001205	9	7
OG0001206	24	17
OG0001207	10	8
OG0001208	11	10
OG0001209	13	10
OG0001210	9	7
OG0001211	15	13
OG0001212	19	15
OG0001213	19	15
OG0001214	12	11
OG0001215	16	12
OG0001216	11	6
OG0001217	23	19
OG0001218	20	17
OG0001219	28	21
OG0001220	12	10
OG0001221	15	12
OG0001222	10	10
OG0001223	17	15
OG0001224	27	21
OG0001225	26	23
OG0001226	35	32
OG0001227	50	50
OG0001228	51	51
OG0001229	51	51
OG0001230	51	51
OG0001231	10	10
OG0001232	14	11
OG0001233	10	8
OG0001234	13	13
OG0001235	10	8
OG0001236	10	7
OG0001237	14	13
OG0001238	20	19
OG0001239	26	14
OG0001240	12	11
OG0001241	11	10
OG0001242	14	9
OG0001243	12	9
OG0001244	9	7
OG0001245	10	8
OG0001246	10	6
OG0001247	10	10
OG0001248	11	10
OG0001249	9	6
OG0001250	18	13
OG0001251	16	6
OG0001252	11	11
OG0001253	18	16
OG0001254	10	10
OG0001255	13	13
OG0001256	10	9
OG0001257	6	3
OG0001258	12	12
OG0001259	9	8
OG0001260	11	9
OG0001261	10	8
OG0001262	10	9
OG0001263	12	10
OG0001264	13	9
OG0001265	12	11
OG0001266	10	5
OG0001267	10	8
OG0001268	23	18
OG0001269	14	8
OG0001270	14	11
OG0001271	14	11
OG0001272	12	12
OG0001273	10	9
OG0001274	16	13
OG0001275	17	14
OG0001276	10	7
OG0001277	11	11
OG0001278	12	10
OG0001279	12	10
OG0001280	10	7
OG0001281	26	21
OG0001282	11	10
OG0001283	8	5
OG0001284	10	10
OG0001285	6	5
OG0001286	10	9
OG0001287	11	7
OG0001288	11	11
OG0001289	11	10
OG0001290	14	11
OG0001291	24	21
OG0001292	15	14
OG0001293	17	12
OG0001294	16	9
OG0001295	10	10
OG0001296	23	19
OG0001297	19	14
OG0001298	13	11
OG0001299	13	7
OG0001300	14	9
OG0001301	32	31
OG0001302	50	50
OG0001303	23	18
OG0001304	26	16
OG0001305	9	8
OG0001306	8	8
OG0001307	9	8
OG0001308	23	20
OG0001309	9	8
OG0001310	8	6
OG0001311	8	8
OG0001312	10	10
OG0001313	26	22
OG0001314	10	9
OG0001315	10	8
OG0001316	11	9
OG0001317	11	9
OG0001318	12	10
OG0001319	9	5
OG0001320	22	20
OG0001321	11	8
OG0001322	10	9
OG0001323	10	9
OG0001324	12	11
OG0001325	13	11
OG0001326	9	7
OG0001327	12	10
OG0001328	12	7
OG0001329	12	9
OG0001330	11	9
OG0001331	8	7
OG0001332	10	8
OG0001333	20	9
OG0001334	13	12
OG0001335	13	7
OG0001336	16	15
OG0001337	12	8
OG0001338	11	7
OG0001339	11	11
OG0001340	8	6
OG0001341	16	9
OG0001342	8	8
OG0001343	10	9
OG0001344	10	9
OG0001345	9	9
OG0001346	9	9
OG0001347	10	9
OG0001348	11	9
OG0001349	11	7
OG0001350	11	9
OG0001351	11	10
OG0001352	19	15
OG0001353	9	8
OG0001354	24	19
OG0001355	20	6
OG0001356	9	7
OG0001357	10	8
OG0001358	9	8
OG0001359	21	11
OG0001360	10	8
OG0001361	23	17
OG0001362	9	7
OG0001363	19	12
OG0001364	9	6
OG0001365	11	10
OG0001366	11	10
OG0001367	23	17
OG0001368	10	7
OG0001369	12	7
OG0001370	16	11
OG0001371	10	8
OG0001372	10	8
OG0001373	14	13
OG0001374	16	12
OG0001375	18	14
OG0001376	11	9
OG0001377	12	11
OG0001378	11	9
OG0001379	11	8
OG0001380	16	13
OG0001381	11	8
OG0001382	14	8
OG0001383	16	11
OG0001384	10	6
OG0001385	11	10
OG0001386	29	27
OG0001387	12	12
OG0001388	40	34
OG0001389	16	13
OG0001390	18	9
OG0001391	19	17
