Orthogroup	Odontarrhena_muralis	Arabidopsis_arenosa
OG0002807	Om004G160720	jg7905
OG0002807	Om005G180360	jg28659
OG0002808	Om007G279420, Om007G279410	jg18315
OG0002808	Om005G182400	jg28850
OG0002809	Om007G280580	jg18196
OG0002810	Om005G184140	jg29015
OG0002810	Om007G281200	jg18130
OG0002812	Om007G284670	jg17651
OG0002813	Om002G042450	jg23925
OG0002813	Om007G301390	jg5258
OG0002814	Om007G299550	jg5386
OG0002814	Om002G043490	jg24025
OG0002815	Om002G044830	jg24169
OG0002816	Om002G045890	jg24295
OG0002817	Om007G295770	jg5693
OG0002818	Om002G046980	jg24394
OG0002819	Om007G295120	jg5754
OG0002819	Om002G048670	jg24550
OG0002821	Om002G049510	jg24633
OG0002821	Om007G304040	jg21539
OG0002822	Om002G046350	jg24339
OG0002823	Om006G255600	jg15199
OG0002823	Om008G337460	jg18756
OG0002824	Om006G254050	jg15327
OG0002824	Om008G334860	jg18949
OG0002825	Om004G130210	jg3744
OG0002825	Om005G196210	jg30035
OG0002826	Om004G131270	jg3668
OG0002827	Om005G198760	jg30272
OG0002827	Om004G142370	jg2900
OG0002828	Om005G198790	jg30275
OG0002828	Om004G142330	jg2905
OG0002829	Om004G141650	jg2967
OG0002830	Om004G139310	jg3109
OG0002831	Om004G138970	jg3128
OG0002831	Om005G200810	jg30419
OG0002832	Om005G202620	jg30594
OG0002832	Om004G136520	jg3286
OG0002833	Om005G202630	jg30595
OG0002833	Om004G136510	jg3287
OG0002834	Om004G144470	jg30956
OG0002834	Om005G208000	jg2639
OG0002835	Om005G209680	jg2503
OG0002835	Om004G146400	jg31124
OG0002836	Om005G210220	jg2462, jg31156
OG0002837	Om005G210950	jg2408
OG0002838	Om001G006670, Om002G051050	jg10051
OG0002840	Om001G040750	jg8388
OG0002840	Om004G155980	jg16572
OG0002841	Om007G279460	jg18318
OG0002841	Om005G182370	jg28848
OG0002842	Om005G180110, Om005G180130	jg13727, jg28639
OG0002844	Om007G300560, Om007G300550	jg5314
OG0002845	Om007G295280	jg5733
OG0002846	Om007G303550	jg21592, jg21593, jg14640
OG0002847	Om003G089590	jg33796
OG0002848	Om006G239100	jg6309
OG0002849	Om006G260470	jg14768
OG0002849	Om006G238920	jg6284
OG0002850	Om006G236350	jg23122
OG0002850	Om006G236370	jg23118
OG0002851	Om006G238240	jg6217
OG0002851	Om006G261280	jg14710
OG0002852	Om006G238130	jg6208
OG0002853	Om004G152780, Om004G152760	jg23129
OG0002854	Om006G247310	jg16801, jg16800
OG0002855	Om002G042780	jg23958
OG0002855	Om006G247440	jg22783
OG0002856	Om006G247470	jg14517, jg22779
OG0002857	Om006G259130	jg14881
OG0002858	Om006G260610, Om006G260630	jg14759
OG0002859	Om006G245760	jg22910, jg14398
OG0002860	Om001G032850	jg8902
OG0002860	Om002G082200	jg27671
OG0002861	Om005G179190	jg28549
OG0002861	Om005G206880	jg2717
OG0002862	Om004G139540	jg3095
OG0002863	Om004G130930	jg3689
OG0002863	Om005G196710	jg30078
OG0002864	Om003G090410	jg33707
OG0002864	Om002G057700	jg25328
OG0002865	Om003G090970	jg33670
OG0002865	Om002G058150	jg25370
OG0002866	Om002G058560	jg25402
OG0002867	Om002G058730	jg25414
OG0002867	Om003G091480	jg33643
OG0002868	Om002G060820	jg25589, jg17500
OG0002869	Om002G068310	jg26209
OG0002870	Om006G248710	jg8251
OG0002871	Om007G280550	jg27548
OG0002871	Om002G081120	jg27547
OG0002872	Om001G008150	jg10363, jg27754
OG0002873	Om001G025790	jg9385
OG0002873	Om002G086160	jg28061
OG0002874	Om005G177520, Om007G275560	jg28324
OG0002874	Om001G022110	jg9623
OG0002876	Om003G096250	jg17711, jg17713
OG0002876	Om003G098370	jg33038
OG0002877	Om006G252490	jg15440
OG0002877	Om008G332170	jg19126
OG0002878	Om008G329300	jg19333
OG0002878	Om003G119180	jg15609
OG0002879	Om003G120150	jg15675
OG0002879	Om008G328200	jg19413
OG0002880	Om003G120450	jg15746
OG0002881	Om003G120940	jg20295, jg15795
OG0002882	Om008G357970	jg20573
OG0002884	Om002G070180	jg26408
OG0002885	Om002G063510	jg25779
OG0002886	Om007G298510	jg5457, jg5459, jg5461
OG0002887	Om007G296100	jg5655, jg5283
OG0002890	Om002G088470	jg28288
OG0002890	Om001G022550	jg9600
OG0002891	Om001G026250	jg9365
OG0002892	Om004G148590	jg17067
OG0002892	Om001G028680	jg9201
OG0002893	Om001G028920	jg9187
OG0002894	Om006G268780	jg14149
OG0002894	Om001G029590	jg9126
OG0002895	Om001G030150	jg9093
OG0002896	Om001G031370	jg9002
OG0002897	Om001G033250, Om001G033240	jg8877
OG0002898	Om002G062900	jg25731
OG0002899	Om008G338580	jg18677
OG0002900	Om008G338290	jg18699
OG0002900	Om007G276280	jg10928
OG0002901	Om005G189330	jg29469
OG0002902	Om005G223730	jg768
OG0002903	Om005G195830, Om005G195820, Om007G305780	jg30001, jg30004, jg30003
OG0002904	Om002G087120	jg12992
OG0002905	Om006G269920	jg13580
OG0002906	Om005G226660	jg506, jg12754
OG0002907	Om006G249330	jg22645, jg9877
OG0002909	Om002G053690	jg25000
OG0002909	Om004G172520	jg4225
OG0002910	Om004G170400	jg4407
OG0002910	Om002G055210	jg25117
OG0002911	Om002G056120	jg25196
OG0002911	Om007G302130	jg5197
OG0002912	Om003G115360	jg22134
OG0002912	Om004G145600	jg31086
OG0002913	Om003G116110	jg22253
OG0002914	Om003G118210	jg22450, jg9798
OG0002915	Om006G248150, Om006G248030	jg22709, jg22722
OG0002916	Om004G149230, Om004G148230	jg31270, jg31247
OG0002917	Om004G162910	jg5035, jg6513
OG0002918	Om006G237660	jg6165
OG0002918	Om004G167780	jg4672
OG0002919	Om004G168370	jg4617
OG0002920	Om006G235920	jg23160
OG0002921	Om001G000160	jg10884
OG0002921	Om008G362540	jg20300
OG0002922	Om001G000680	jg10842, jg20374
OG0002924	Om008G352030	jg7620, jg10252
OG0002925	Om001G009780	jg10233
OG0002926	Om001G011850	jg31956, jg7395
OG0002927	Om008G346410	jg7333
OG0002927	Om001G012490	jg32038
OG0002928	Om001G013220	jg32099
OG0002928	Om005G205910	jg2806
OG0002929	Om001G013520	jg32162
OG0002929	Om005G204780	jg30793
OG0002930	Om008G340690	jg18491
OG0002931	Om001G034890, Om001G034900	jg8788
OG0002932	Om001G037170	jg8635
OG0002932	Om004G152100	jg16812
OG0002933	Om001G038130	jg8597, jg1112
OG0002934	Om001G038930	jg8548
OG0002936	Om001G040850	jg8378
OG0002937	Om001G040980, Om001G040970	jg8368
OG0002937	Om001G041020	jg8367
OG0002938	Om001G041510	jg8319
OG0002938	Om004G156600	jg16501
OG0002939	Om003G092340	jg7152, jg7089, jg7093
OG0002940	Om001G023440	jg7065
OG0002942	Om002G072800	jg26636
OG0002943	Om007G317950	jg12733, jg12736
OG0002944	Om003G128120	jg16323
OG0002944	Om008G319440	jg20156
OG0002945	Om005G196470, Om002G043780	jg30058
OG0002946	Om008G321020	jg20035
OG0002946	Om003G126830	jg16220
OG0002947	Om008G322850	jg19853
OG0002948	Om008G323360	jg19803, jg6320, jg6321, jg6319
OG0002949	Om008G323380	jg19801
OG0002949	Om008G323370	jg19802
OG0002950	Om006G229040	jg23794
OG0002950	Om006G257270	jg15032
OG0002951	Om008G324340	jg19735
OG0002952	Om008G324830	jg19704
OG0002952	Om003G123910	jg16011
OG0002953	Om008G325130	jg19684
OG0002953	Om003G123840	jg16004
OG0002954	Om003G123800	jg16001
OG0002954	Om008G325210	jg19675
OG0002955	Om004G176770	jg3870
OG0002955	Om002G051350	jg24807
OG0002956	Om006G242850	jg5968
OG0002956	Om006G243020	jg5980
OG0002957	Om006G245190	jg22967
OG0002959	Om004G165630	jg4864
OG0002960	Om006G230750	jg23644
OG0002961	Om006G229690	jg23738
OG0002962	Om004G156990, Om004G156970	jg31399, jg31398
OG0002963	Om005G178750	jg28510
OG0002964	Om004G159690	jg7987
OG0002964	Om004G159700	jg7986
OG0002965	Om007G292980	jg20772
OG0002966	Om007G292770	jg20785
OG0002967	Om005G181180	jg28732
OG0002968	Om005G181200	jg28734
OG0002968	Om007G277570	jg20809
OG0002969	Om005G181620	jg28770
OG0002969	Om007G278390	jg18431
OG0002970	Om007G278500	jg18416
OG0002970	Om005G181510	jg28782
OG0002971	Om005G181520	jg28780
OG0002972	Om005G182410	jg28851
OG0002972	Om007G279400	jg18314
OG0002973	Om005G183640	jg28968
OG0002973	Om007G280830	jg18168
OG0002974	Om007G283160	jg17867
OG0002974	Om005G185420	jg29115
OG0002975	Om001G029910	jg9106
OG0002976	Om007G301250	jg5272
OG0002976	Om002G042550	jg23936
OG0002977	Om002G042620	jg23942
OG0002977	Om007G301010	jg5291
OG0002978	Om006G247190	jg22802
OG0002978	Om004G164390	jg4935
OG0002979	Om003G117430	jg22370
OG0002981	Om002G048640	jg24547, jg5757
OG0002982	Om008G337390	jg18762
OG0002982	Om006G255590	jg15200
OG0002983	Om008G336790	jg18805
OG0002983	Om006G255080	jg15243
OG0002985	Om006G254710	jg18861
OG0002986	Om008G343030, Om004G162030	jg5033
OG0002987	Om005G197020	jg30102
OG0002988	Om004G138030	jg3199
OG0002988	Om005G201660	jg30496
OG0002990	Om005G210760	jg31168
OG0002991	Om007G286510, Om007G286520	jg9914, jg9915
OG0002992	Om005G190470	jg28308, jg29587
OG0002993	Om005G187860, Om003G105910	jg29328, jg33147
OG0002995	Om005G180200	jg28643
OG0002996	Om007G294450	jg6550
OG0002996	Om007G294460	jg6549
OG0002997	Om007G303310	jg6869, jg6868
OG0002998	Om004G169680	jg4515
OG0002998	Om002G055840	jg25176
OG0002999	Om004G171560	jg4300
OG0002999	Om008G333130	jg2804
OG0003000	Om006G236920, Om001G028230, Om002G074790	jg23066
OG0003001	Om006G235720	jg23175
OG0003001	Om004G169280	jg4548
OG0003002	Om008G340890, Om006G245180	jg22968
OG0003003	Om005G198510	jg30260
OG0003003	Om004G142600	jg2876
OG0003004	Om003G092840	jg33553
OG0003004	Om002G059900	jg25499
OG0003005	Om003G100780	jg11098
OG0003005	Om002G062940	jg25732
OG0003006	Om003G100310	jg11046
OG0003006	Om002G063460	jg25774
OG0003007	Om003G100140	jg11025
OG0003007	Om002G063480	jg25776
OG0003008	Om003G099120	jg32956
OG0003008	Om002G065210	jg25951
OG0003009	Om002G066940	jg26102
OG0003009	Om003G097710	jg33116
OG0003010	Om003G096150	jg33256
OG0003010	Om002G068630	jg26245
OG0003011	Om002G072470, Om006G253400	jg26603, jg26604
OG0003012	Om002G073660	jg26732, jg26733
OG0003013	Om002G082930	jg27774
OG0003013	Om001G033660	jg8851
OG0003014	Om002G084850	jg7308, jg27935, jg7305
OG0003014	Om001G028320, Om003G104830	jg9226
OG0003015	Om002G087410	jg28167
OG0003015	Om001G024430	jg9492
OG0003016	Om003G095590	jg33327
OG0003016	Om002G069270	jg26307
OG0003017	Om003G121110	jg15808
OG0003017	Om003G095720	jg33316
OG0003018	Om006G252250	jg15456
OG0003018	Om008G332020	jg19155, jg19113
OG0003019	Om002G060150	jg25520
OG0003019	Om003G093200	jg33530
OG0003020	Om008G324040	jg19750
OG0003020	Om003G124250	jg16039
OG0003021	Om003G097970, Om003G097990	jg1962
OG0003022	Om003G125580, Om003G125590	jg13327, jg12462, jg19201
OG0003025	Om007G286770, Om007G286750	jg9898
OG0003028	Om001G039220, Om002G082330, Om002G082340	jg8524, jg28036, jg7594, jg7593, jg7595
OG0003030	Om008G354270	jg20418
OG0003030	Om008G359440	jg21834
OG0003030	Om008G360250, Om008G360640, Om008G360770	jg20587
OG0003030	Om008G361240, Om008G361340, Om008G361210	jg7079
OG0003033	Om001G023390	jg9554
OG0003033	Om002G087960	jg28234
OG0003036	Om001G032340	jg8939
OG0003036	Om002G081370	jg27560
OG0003037	Om001G033430	jg8866
OG0003039	Om005G219900	jg1020
OG0003040	Om005G220050	jg1007, jg1006
OG0003041	Om005G189370	jg29471
OG0003042	Om006G270890	jg13546
OG0003042	Om007G316840	jg12641
OG0003043	Om005G215230	jg1866
OG0003044	Om005G191640, Om008G342460	jg29670
OG0003044	Om005G225100	jg636
OG0003046	Om003G114970	jg22063
OG0003046	Om001G021680, Om002G075500	jg9649
OG0003047	Om006G233180	jg23422
OG0003048	Om006G233930	jg23343
OG0003049	Om008G362020	jg20338
OG0003050	Om008G352040	jg7611
OG0003051	Om001G009890	jg10226
OG0003051	Om008G352820	jg7580
OG0003052	Om008G345750	jg7273
OG0003052	Om001G013420	jg32134
OG0003053	Om008G343180	jg7038
OG0003053	Om001G014860	jg18153
OG0003054	Om007G287190	jg2026, jg32781, jg32780
OG0003055	Om007G288550	jg31346
OG0003056	Om008G340750	jg18483
OG0003056	Om007G288630	jg31351
OG0003057	Om001G034980	jg8782
OG0003057	Om002G084320	jg27898
OG0003058	Om004G152190	jg16826
OG0003058	Om001G037060	jg8641
OG0003059	Om008G339200	jg18626
OG0003059	Om008G357230	jg20638
OG0003060	Om008G354520	jg7746
OG0003060	Om001G007850	jg10386, jg10265
OG0003061	Om008G362560	jg20298
OG0003061	Om001G000140	jg10886
OG0003062	Om003G106080	jg11928
OG0003062	Om002G078030	jg27216
OG0003063	Om002G074430	jg26802
OG0003063	Om003G104330	jg11569
OG0003064	Om002G072100, Om003G099860	jg11343, jg26585
OG0003065	Om002G070040	jg26393
OG0003066	Om005G227050	jg473
OG0003067	Om008G322230	jg19931
OG0003067	Om003G125870	jg16137
OG0003068	Om003G124120	jg16025
OG0003070	Om006G242640	jg14019, jg5953
OG0003071	Om006G244650	jg14284
OG0003072	Om006G245150	jg22971
OG0003073	Om002G048140	jg24505
OG0003074	Om006G259940	jg14832
OG0003075	Om006G231150	jg23613
OG0003075	Om006G259700	jg14840
OG0003076	Om006G230120	jg23700
OG0003078	Om006G257500	jg15009
OG0003080	Om007G280260	jg18226
OG0003080	Om005G183230	jg28931
OG0003081	Om006G236700	jg23086
OG0003081	Om007G281390	jg18097
OG0003083	Om005G184950	jg29084
OG0003084	Om007G284410	jg17701
OG0003085	Om007G284840	jg17631
OG0003086	Om007G302030	jg5204
OG0003087	Om002G044700	jg24157
OG0003088	Om002G070930	jg26488
OG0003089	Om002G047990	jg24489, jg6591
OG0003090	Om002G048750, Om002G048740	jg24558
OG0003091	Om006G256870	jg15076
OG0003092	Om013G369570	jg17399, jg28331, jg12879, jg28334, jg12882, jg12885, jg12888, jg33852
OG0003093	Om004G130220	jg3743
OG0003093	Om005G196220	jg30036
OG0003094	Om005G198160	jg30226
OG0003095	Om005G198400	jg21712
OG0003096	Om005G205520	jg21075
OG0003096	Om005G205510	jg30849
OG0003097	Om004G144880	jg31013
OG0003097	Om005G208380	jg2600
OG0003099	Om006G258750	jg14901
OG0003101	Om007G300660	jg5310
OG0003101	Om002G042750	jg23955
OG0003102	Om004G160860, Om001G030780	jg5193
OG0003103	Om006G236630	jg23091
OG0003103	Om004G168490	jg4609
OG0003104	Om006G236380	jg23117
OG0003104	Om006G236360	jg23121
OG0003105	Om006G263790	jg14593, jg14594
OG0003106	Om006G229300	jg23766
OG0003106	Om006G257570	jg15002
OG0003107	Om006G235560	jg23194
OG0003108	Om006G242590	jg5947
OG0003109	Om004G141640, Om004G141630, Om004G141620	jg2969
OG0003110	Om004G131470	jg3652
OG0003110	Om003G089370	jg33825
OG0003111	Om002G057580	jg25321, jg33714
OG0003112	Om002G050800	jg24755
OG0003113	Om002G061480	jg25627, jg25626
OG0003114	Om002G066610	jg26063
OG0003116	Om002G072450	jg26601
OG0003117	Om003G104350	jg11577, jg11576
OG0003118	Om004G159270	jg8029
OG0003119	Om002G082520	jg27699
OG0003120	Om001G033180	jg8880
OG0003121	Om002G058470	jg25394
OG0003121	Om003G091120	jg33660
OG0003122	Om008G339600	jg18598
OG0003122	Om007G291330	jg31625
OG0003123	Om006G254500	jg15286
OG0003124	Om008G334710	jg18962
OG0003125	Om001G021210	jg25801
OG0003126	Om008G333300, Om008G341030, Om008G343510	jg22812
OG0003127	Om005G226490	jg521, jg522
OG0003128	Om001G001610	jg21416, jg21422
OG0003128	Om001G001680	jg1097, jg1144, jg1030
OG0003133	Om003G108040, Om003G107950, Om007G286820	jg4485
OG0003139	Om001G023960	jg9516
OG0003139	Om001G024460	jg9490
OG0003141	Om001G032590	jg8919
OG0003142	Om001G034300	jg8819
OG0003142	Om002G083730	jg27841
OG0003143	Om007G275760	jg10996
OG0003144	Om005G189600	jg29490
OG0003144	Om003G110360, Om005G221180	jg926
OG0003145	Om005G189620	jg29493
OG0003146	Om006G274680	jg13037
OG0003146	Om005G194740	jg7671, jg29932
OG0003147	Om006G271760	jg13403
OG0003149	Om006G232950, Om006G232940	jg23120
OG0003150	Om006G269440	jg13735
OG0003151	Om005G215290, Om005G215260	jg1852
OG0003152	Om005G227850	jg424
OG0003153	Om005G227840	jg425
OG0003154	Om007G318090	jg12751
OG0003154	Om005G226450	jg525
OG0003155	Om004G172280	jg4244
OG0003157	Om003G117100	jg22352
OG0003157	Om001G018820	jg9777
OG0003158	Om004G165890	jg4841, jg4839, jg4842
OG0003159	Om001G005960	jg10522, jg10517, jg10529
OG0003160	Om008G341950	jg21015
OG0003161	Om001G039160	jg1851, jg8529
OG0003162	Om007G302920, Om005G214190	jg2035
OG0003163	Om008G354220	jg7728
OG0003163	Om001G008160	jg10362
OG0003164	Om003G104110	jg11526
OG0003164	Om002G073860	jg26746
OG0003165	Om004G132510, Om007G303950	jg3567
OG0003166	Om003G126500	jg16197
OG0003167	Om008G322090	jg19944, jg19943
OG0003168	Om002G051380, Om002G051370	jg24809, jg24810
OG0003169	Om002G052200	jg24885
OG0003169	Om004G175320	jg4005
OG0003170	Om006G230930	jg23628
OG0003171	Om004G158680	jg8093
OG0003172	Om004G158760	jg8084
OG0003173	Om004G160450	jg18901
OG0003174	Om007G302310	jg7929
OG0003174	Om005G180450	jg28666
OG0003175	Om005G182000	jg28807
OG0003175	Om007G278970	jg18355
OG0003177	Om007G282500	jg17960
OG0003177	Om007G282510	jg17959
OG0003178	Om007G301720	jg5227
OG0003179	Om002G042070	jg23888
OG0003179	Om007G301830	jg5220
OG0003180	Om007G303250	jg6807
OG0003180	Om002G046490	jg24352
OG0003182	Om004G176840	jg3862
OG0003183	Om008G332320	jg19133
OG0003184	Om008G337660	jg18742
OG0003186	Om005G200160	jg30373
OG0003187	Om004G136860	jg3254
OG0003187	Om005G202340	jg30548
OG0003189	Om005G202800	jg30614, jg30615
OG0003190	Om004G134590	jg3423
OG0003190	Om005G204190	jg30731
OG0003191	Om007G297700	jg3330, jg3331, jg3332
OG0003192	Om007G294260	jg6582
OG0003192	Om005G199490	jg30322
OG0003193	Om005G212300	jg2289, jg31244
OG0003194	Om001G027240	jg9297
OG0003195	Om004G153620	jg16644
OG0003195	Om004G155760	jg16596
OG0003197	Om005G225370	jg615, jg619
OG0003198	Om005G186950	jg29253
OG0003199	Om002G081040, Om002G080210	jg27502
OG0003200	Om005G186430	jg29205
OG0003201	Om005G181850	jg28793
OG0003202	Om005G180940	jg28709, jg18821
OG0003204	Om004G172870	jg4197
OG0003206	Om001G029130	jg9159
OG0003206	Om006G240090	jg6413
OG0003207	Om006G237420	jg23024
OG0003209	Om002G059040	jg25437
OG0003211	Om006G273370, Om002G060610	jg25567, jg12629, jg7767
OG0003212	Om002G061520, Om002G061560, Om002G061570	jg25631
OG0003213	Om002G062000	jg25663
OG0003213	Om003G094800	jg33399
OG0003214	Om002G064780	jg25921
OG0003215	Om002G065610	jg25990
OG0003216	Om003G093560, Om002G085160, Om003G093580, Om003G093540, Om002G085190	jg27969, jg27971, jg27972
OG0003217	Om002G088430	jg28284
OG0003217	Om001G022680	jg9591
OG0003218	Om003G093590	jg33508
OG0003218	Om003G093570	jg33509
OG0003219	Om003G095760	jg33313
OG0003219	Om002G069110	jg26286
OG0003220	Om003G097690	jg33119
OG0003222	Om006G252540	jg15437
OG0003222	Om006G252530	jg15438
OG0003223	Om001G029420	jg17144, jg9140
OG0003224	Om006G251110	jg15564
OG0003225	Om006G250800	jg15584
OG0003225	Om003G122210	jg15875
OG0003226	Om008G324500	jg19727
OG0003229	Om003G124530, Om008G354190	jg27592
OG0003230	Om008G362080, Om008G362050, Om008G362140	jg20335
OG0003231	Om001G005230	jg10573
OG0003233	Om001G040670	jg13548, jg8395
OG0003234	Om007G284290	jg17718
OG0003235	Om005G192830	jg29775
OG0003235	Om005G192840	jg29776
OG0003236	Om005G201240	jg17012, jg30458
OG0003238	Om002G054180, Om002G054190, Om002G054170	jg24599
OG0003239	Om004G159170, Om004G159180	jg8036
OG0003247	Om001G026490	jg9348
OG0003248	Om004G155000, Om004G152810	jg16869
OG0003249	Om001G028930	jg9186
OG0003250	Om001G029300	jg9152
OG0003251	Om003G101680	jg11600, jg11196, jg11193, jg11195
OG0003252	Om001G031430, Om001G031440	jg8997
OG0003253	Om007G292810, Om007G292830	jg20781, jg20782, jg20783
OG0003254	Om008G327260	jg19489
OG0003255	Om007G291900	jg31731
OG0003255	Om005G188640	jg29393
OG0003256	Om005G192950	jg29786
OG0003257	Om007G297790, Om006G269890	jg13576
OG0003258	Om007G315080	jg12421
OG0003259	Om005G224900	jg669, jg668
OG0003259	Om005G224940	jg665
OG0003260	Om006G250960	jg15574
OG0003261	Om003G114360	jg22032
OG0003263	Om003G116700	jg22322
OG0003264	Om004G164040	jg4959
OG0003265	Om004G165000	jg4901
OG0003266	Om004G167700	jg4681
OG0003267	Om004G167860	jg4665
OG0003268	Om001G002730, Om001G002720	jg10718, jg10719
OG0003269	Om008G353480	jg7660
OG0003270	Om001G014260	jg32261, jg32260
OG0003271	Om007G288320, Om001G000550, Om003G118910	jg31325
OG0003272	Om007G291170	jg31613
OG0003273	Om007G291300	jg18601
OG0003275	Om001G034950	jg8785
OG0003276	Om001G036180	jg8691
OG0003276	Om006G260160	jg27968
OG0003277	Om005G221150, Om002G085620	jg27995
OG0003278	Om004G156330	jg16523
OG0003278	Om001G041260	jg8346
OG0003279	Om001G041270	jg8344
OG0003280	Om008G338490	jg18687
OG0003281	Om008G358320	jg20540
OG0003281	Om008G358380	jg20537
OG0003282	Om002G077400, Om002G077340	jg27038
OG0003283	Om003G094490	jg11598
OG0003284	Om003G103760	jg11441, jg26669
OG0003286	Om003G102500	jg11284
OG0003287	Om003G102230	jg11252
OG0003287	Om002G070800	jg26477
OG0003288	Om008G319300	jg20164
OG0003289	Om008G324380, Om008G324370	jg19733
OG0003292	Om006G244220	jg6098, jg6100
OG0003294	Om006G232700	jg23474
OG0003294	Om004G166330	jg4801
OG0003295	Om006G231440	jg23590
OG0003296	Om006G229680	jg21597
OG0003296	Om006G258150	jg14961
OG0003297	Om006G257850	jg14977
OG0003297	Om006G229480	jg23753
OG0003298	Om007G292760	jg20786
OG0003298	Om005G180990	jg28715
OG0003299	Om007G279530	jg18329
OG0003299	Om005G182300	jg28840
OG0003300	Om007G282080	jg18034
OG0003301	Om007G285080, Om007G285060	jg17584, jg17577
OG0003302	Om001G030590	jg17354, jg9061
OG0003303	Om002G042060	jg23887
OG0003303	Om007G301850	jg5218
OG0003304	Om002G051180	jg24790
OG0003305	Om002G044450	jg24130
OG0003305	Om007G297630	jg5518
OG0003306	Om002G046640	jg24371
OG0003306	Om007G293240	jg6773
OG0003307	Om002G047110	jg24408
OG0003308	Om002G050360	jg24715
OG0003309	Om007G286100, Om008G347750	jg13922, jg13924, jg9949
OG0003310	Om005G198170	jg30225
OG0003310	Om004G133040	jg3533
OG0003311	Om005G198300, Om005G198290	jg30242
OG0003312	Om004G141070	jg2989
OG0003313	Om004G140830	jg3005, jg30342
OG0003314	Om005G200800	jg30418
OG0003315	Om004G135530	jg3349
OG0003315	Om005G203390	jg30661
OG0003316	Om004G133650	jg30789, jg30791
OG0003317	Om005G205100	jg30819
OG0003318	Om007G317980	jg30896, jg30899
OG0003319	Om004G145280	jg31054
OG0003324	Om007G300270	jg5339
OG0003325	Om007G293440	jg6689
OG0003326	Om004G169960	jg4493
OG0003326	Om004G169970	jg4492
OG0003327	Om004G171220	jg4331
OG0003327	Om006G251220	jg15542
OG0003328	Om006G238600	jg6248
OG0003328	Om006G238590, Om006G238580	jg14747
OG0003329	Om005G211810	jg2345, jg2343
OG0003330	Om005G208570	jg2583
OG0003331	Om004G134380	jg3440
OG0003332	Om005G201430	jg30475
OG0003333	Om004G140320	jg3033
OG0003333	Om005G200050	jg30365
OG0003334	Om004G132600	jg3564
OG0003335	Om004G132460	jg3572
OG0003335	Om005G197770	jg30201, jg30188
OG0003336	Om002G057380, Om002G057390	jg25306, jg25307
OG0003337	Om002G063700	jg25804
OG0003338	Om002G070480	jg26445
OG0003339	Om003G093230	jg33528
OG0003339	Om002G060160	jg25521
OG0003340	Om003G120470	jg15748
OG0003340	Om002G043680	jg24051
OG0003341	Om003G121490, Om003G121510	jg15829, jg15828
OG0003342	Om003G122450, Om008G355340	jg15893, jg19580
OG0003343	Om003G127730	jg16282
OG0003344	Om003G095290	jg12770, jg12769, jg6006, jg33366
OG0003347	Om006G255140	jg15238
OG0003350	Om001G028090	jg9236, jg9232
OG0003351	Om001G009260, Om001G009300	jg10267
OG0003352	Om007G298520	jg5456
OG0003359	Om001G028860	jg9190
OG0003360	Om001G029150	jg33364, jg9161
OG0003361	Om003G089580	jg227
OG0003364	Om001G033440	jg8865
OG0003364	Om004G159490	jg8002
OG0003365	Om001G031400, Om001G031420	jg8998, jg9000
OG0003366	Om007G276460	jg10910, jg18636
OG0003367	Om004G140190	jg16882
OG0003367	Om005G194830	jg29940
OG0003368	Om006G274340	jg13098, jg8102
OG0003369	Om006G273670	jg13175
OG0003369	Om007G316340	jg12577, jg12575
OG0003370	Om005G193070	jg15300
OG0003370	Om006G272920	jg13250
OG0003371	Om006G271110	jg13512
OG0003373	Om005G213610	jg12250, jg2106
OG0003374	Om005G215590	jg1785
OG0003374	Om001G021030	jg9682
OG0003375	Om007G318140	jg12759
OG0003376	Om001G016920, Om005G202760	jg9870
OG0003378	Om003G109000	jg21650
OG0003379	Om003G117130	jg22355, jg9778
OG0003380	Om006G248500	jg22682
OG0003381	Om001G021990	jg9628
OG0003382	Om004G165770	jg4854
OG0003383	Om006G236710	jg23085
OG0003384	Om001G003030	jg10681
OG0003385	Om001G006070	jg10508
OG0003387	Om001G012080	jg31976
OG0003389	Om008G340540	jg18507
OG0003389	Om007G289230	jg31410
OG0003390	Om007G290970	jg31586, jg31587
OG0003391	Om002G085880, Om001G036650	jg8668
OG0003392	Om001G039240	jg8522
OG0003393	Om001G039320	jg8517
OG0003393	Om004G153870	jg16674
OG0003394	Om006G243900	jg6058
OG0003396	Om008G351370, Om008G351360	jg7499, jg7498
OG0003397	Om008G358480	jg20530
OG0003398	Om003G104770	jg11641
OG0003400	Om003G103640	jg11414, jg11418
OG0003401	Om008G355330	jg11288
OG0003401	Om008G358230	jg11286
OG0003402	Om002G085790, Om002G085800, Om002G085780, Om002G085810, Om002G085820, Om001G032240, Om005G197950, Om003G101570, Om005G197940	jg11174
OG0003403	Om003G128710	jg16364
OG0003403	Om008G318900	jg20202
OG0003404	Om008G319750	jg20132
OG0003406	Om006G273650	jg13177, jg13187
OG0003407	Om004G177090	jg3838
OG0003407	Om002G051230	jg24798
OG0003408	Om006G259790	jg14834
OG0003408	Om006G231220	jg23608
OG0003409	Om006G259490	jg14857
OG0003410	Om005G178370	jg28469
OG0003411	Om004G159970	jg7965
OG0003412	Om007G279430	jg18316
OG0003412	Om005G182390	jg28849
OG0003413	Om007G281380	jg18098
OG0003414	Om007G282250	jg17993
OG0003414	Om004G171230	jg4329
OG0003415	Om002G042540	jg23935
OG0003415	Om007G301260	jg5271
OG0003416	Om007G298670	jg5447
