Orthogroup	Odontarrhena_muralis	Arabidopsis_arenosa
OG0000018	Om008G335480, Om007G284460, Om008G361630	jg4400, jg32393, jg11989, jg32560, jg26774, jg3954, jg701, jg1978, jg32225, jg20321, jg32267, jg11853, jg1316, jg17083, jg15089, jg16332, jg12414, jg15196, jg2029, jg27287, jg27179, jg25715
OG0000019	Om004G154810, Om003G104700, Om002G077910	jg13839
OG0000021	Om005G226540, Om001G020790	jg17562
OG0000021	Om001G020780, Om001G006810, Om002G059070	jg17386, jg13577, jg12206
OG0000023	Om001G010400	jg10174
OG0000023	Om001G010360, Om001G009290	jg7515, jg7514, jg10181
OG0000023	Om008G351580	jg7521
OG0000023	Om008G351620, Om008G351630	jg7533, jg7537, jg7530
OG0000023	Om001G010200	jg10191
OG0000023	Om001G010250	jg10192
OG0000023	Om001G011570	jg10199
OG0000024	Om001G030080, Om007G305000	jg2022
OG0000025	Om002G073490, Om002G073430	jg22442, jg11446
OG0000025	Om003G114490, Om003G114450	jg22244
OG0000026	Om002G080990	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349
OG0000027	Om007G316890	jg17071
OG0000027	Om002G070390	jg33002, jg33003
OG0000028	Om001G022770	jg13681, jg3965, jg11165, jg14797, jg11997, jg6737, jg2197, jg17461, jg12004, jg26958, jg13640, jg2465, jg27218, jg11460
OG0000028	Om007G308810	jg1778
OG0000029	Om005G216790	jg5864, jg27798, jg17174, jg18126
OG0000029	Om004G147450	jg1946
OG0000029	Om007G298330	jg17949
OG0000030	Om004G153710	jg32294, jg33373, jg6978
OG0000030	Om020G374410, Om004G155320	jg12236
OG0000030	Om004G152960	jg20585
OG0000030	Om001G018460, Om005G215420, Om004G165210	jg11609
OG0000030	Om005G226380	jg900, jg26487, jg11586, jg11588, jg2222, jg2223
OG0000031	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	jg29724
OG0000031	Om006G252510	jg5495
OG0000031	Om007G317990	jg12744
OG0000031	Om002G063040	jg25741
OG0000031	Om001G018890	jg9770
OG0000033	Om001G010240	jg10203, jg10197, jg10193
OG0000033	Om001G010210	jg10204
OG0000033	Om001G011550	jg10186, jg10200, jg10207
OG0000033	Om001G007120	jg10425
OG0000033	Om001G010220	jg10177
OG0000033	Om001G010110	jg10208, jg10195, jg10202
