Orthogroup	Odontarrhena_muralis	Cardamine_hirsuta
OG0000098	Om001G001780	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300
OG0000098	Om005G191670, Om008G342380	CARHR220990, CARHR220970
OG0000098	Om005G191560	CARHR255820
OG0000098	Om005G191920, Om005G192380	CARHR013070
OG0000099	Om005G227480	CARHR051500
OG0000100	Om007G304610	CARHR054110, CARHR100990
OG0000101	Om005G227120	CARHR149280, CARHR047170, CARHR047230
OG0000101	Om005G226700, Om005G227060	CARHR047460
OG0000101	Om005G227690	CARHR149290
OG0000104	Om005G185360	CARHR007350
OG0000104	Om007G283030	CARHR122230
OG0000104	Om007G283020	CARHR122240
OG0000104	Om003G095420	CARHR039100
OG0000104	Om002G069400	CARHR097260
OG0000104	Om003G095400	CARHR258870
OG0000104	Om003G095360	CARHR041960
OG0000104	Om003G095350	CARHR041980
OG0000106	Om005G222030	CARHR248580
OG0000107	Om002G067730	CARHR119260, CARHR119250
OG0000107	Om002G067740	CARHR095660
OG0000107	Om002G067770	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680
OG0000108	Om003G100270, Om003G100260	CARHR174970
OG0000108	Om006G273840, Om006G273820	CARHR046250
OG0000110	Om003G123410	CARHR169600
OG0000110	Om003G123400	CARHR169580
OG0000111	Om006G259270	CARHR221770
OG0000112	Om008G359070, Om008G359090, Om008G359060	CARHR274650, CARHR274680
OG0000113	Om005G227040	CARHR047200, CARHR047160
OG0000113	Om005G227030	CARHR262020
OG0000113	Om008G360430	CARHR175790, CARHR175830, CARHR174830
OG0000113	Om008G360410, Om008G360750	CARHR178690, CARHR116320
OG0000113	Om001G037540	CARHR047550, CARHR175180, CARHR175270
OG0000113	Om002G045450	CARHR106060
OG0000113	Om001G034170	CARHR228760
OG0000113	Om002G081270	CARHR181190
OG0000114	Om002G045910, Om002G045900	CARHR078370, CARHR078360
OG0000114	Om004G135370	CARHR071840, CARHR251920, CARHR071800
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890, Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980, Om007G284090	CARHR115250
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	CARHR292260, CARHR102990
OG0000120	Om005G221860	CARHR285170
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	Om007G296760, Om007G296900, Om004G172660	CARHR208650
OG0000122	Om004G163000	CARHR033430, CARHR033520
OG0000122	Om003G118900, Om003G118890	CARHR129080, CARHR269910, CARHR269890, CARHR031770, CARHR036540
OG0000122	Om006G231000	CARHR269760
OG0000123	Om005G193630	CARHR014050
OG0000124	Om006G259690, Om005G203070, Om006G231520, Om003G107740, Om004G176730	CARHR182430
OG0000124	Om005G206120	CARHR287060, CARHR146840, CARHR038370, CARHR217450
OG0000124	Om003G103030	CARHR036720
OG0000124	Om004G142190	CARHR117340, CARHR057000, CARHR158410, CARHR153220
OG0000125	Om002G052080	CARHR210790
OG0000125	Om006G244360	CARHR190650
OG0000125	Om005G185630	CARHR007600
OG0000125	Om006G245540	CARHR273520
OG0000125	Om007G283300	CARHR121850
OG0000127	Om004G176360	CARHR211450
OG0000128	Om004G154610	CARHR155450
OG0000131	Om003G106820	CARHR283860
OG0000131	Om007G307190	CARHR287300
OG0000136	Om002G045120	CARHR058600
OG0000136	Om003G099850	CARHR276580
OG0000137	Om010G364760, Om004G159790, Om004G151600, Om004G146850	CARHR259840
OG0000138	Om002G065910	CARHR274850
OG0000138	Om001G026370	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	Om006G246590	CARHR285530
OG0000140	Om006G247230, Om006G247200	CARHR272760, CARHR272770, CARHR053670
OG0000140	Om006G246640	CARHR285460, CARHR285480
OG0000142	Om007G282790, Om006G267630	CARHR122550
OG0000142	Om007G282780	CARHR122540
OG0000142	Om007G282660	CARHR122600, CARHR122570, CARHR122580, CARHR119640
OG0000146	Om003G117410	CARHR268710
OG0000146	Om003G117350	CARHR268680
OG0000146	Om003G117400, Om003G117360	CARHR268700
OG0000147	Om001G025660	CARHR238090
OG0000147	Om007G285990, Om006G249440	CARHR271150
OG0000147	Om004G130850	CARHR073860
OG0000147	Om006G268290	CARHR153650
OG0000147	Om002G078960	CARHR104060
OG0000149	Om006G245860	CARHR273170, CARHR273200, CARHR273210, CARHR273220
OG0000149	Om006G245840	CARHR273240, CARHR273230, CARHR273250
OG0000149	Om007G317470	CARHR219850
OG0000149	Om006G256850	CARHR273160, CARHR122210
OG0000150	Om008G323560	CARHR118700, CARHR273840
OG0000150	Om007G296930	CARHR263010, CARHR256190
OG0000150	Om001G010460	CARHR150140
OG0000150	Om005G201710	CARHR059580, CARHR150110
OG0000151	Om003G114720	CARHR266340
OG0000151	Om001G021860	CARHR235660
OG0000151	Om002G051120	CARHR082990
OG0000151	Om002G082850	CARHR107000
OG0000151	Om003G118410	CARHR269520
OG0000151	Om005G227900	CARHR046700
OG0000154	Om005G196960	CARHR016540
OG0000154	Om002G056330	CARHR087080
OG0000154	Om004G147280	CARHR000060, CARHR229590, CARHR069350
OG0000154	Om004G175620	CARHR210880
OG0000154	Om004G175630	CARHR210890
OG0000155	Om001G020030	CARHR234950
OG0000155	Om001G007100	CARHR227980
OG0000155	Om002G055620	CARHR086560
OG0000156	Om006G244600	CARHR171330
OG0000156	Om008G322060	CARHR140730
OG0000156	Om008G321950, Om008G321940	CARHR140780, CARHR140790, CARHR140740
