Orthogroup	Odontarrhena_muralis	Cardamine_hirsuta
OG0002480	Om008G329150	CARHR135890
OG0002482	Om008G362070, Om002G082070, Om002G082080	CARHR174230
OG0002483	Om003G090170, Om001G009430	CARHR075980
OG0002485	Om007G294530	CARHR187010
OG0002486	Om005G202770	CARHR020740
OG0002494	Om001G022180	CARHR235900
OG0002497	Om006G249730	CARHR270860
OG0002497	Om001G027880	CARHR239370
OG0002498	Om001G028020	CARHR239470
OG0002499	Om006G243670	CARHR191280
OG0002500	Om001G032310	CARHR060470, CARHR242600, CARHR105680
OG0002502	Om008G339020	CARHR129390
OG0002504	Om005G188200	CARHR009860
OG0002505	Om005G188870	CARHR010480
OG0002505	Om005G219760	CARHR053430
OG0002506	Om005G220560	CARHR052740
OG0002506	Om005G189200	CARHR010730
OG0002508	Om005G194000	CARHR014380
OG0002510	Om005G192470	CARHR013250, CARHR013230
OG0002511	Om006G258800	CARHR152080
OG0002512	Om003G124540	CARHR170360
OG0002512	Om003G090130	CARHR045330
OG0002513	Om002G053810	CARHR085290
OG0002513	Om004G172240	CARHR208300
OG0002514	Om002G054400	CARHR085680, CARHR207710
OG0002515	Om002G055180	CARHR086180
OG0002516	Om007G286760	CARHR233130
OG0002517	Om001G021280	CARHR235450
OG0002517	Om003G115090	CARHR266650
OG0002518	Om001G018700	CARHR234250
OG0002520	Om003G118140	CARHR269340
OG0002522	Om006G233080	CARHR278350
OG0002523	Om001G000210	CARHR224020
OG0002523	Om008G362500	CARHR173960
OG0002524	Om008G352230	CARHR254180
OG0002524	Om001G009650	CARHR229840
OG0002525	Om001G013860	CARHR034220
OG0002526	Om007G291200	CARHR030010
OG0002526	Om007G286110	CARHR232620
OG0002527	Om008G339380	CARHR129110
OG0002527	Om007G291660	CARHR030390
OG0002528	Om002G084630	CARHR108410
OG0002528	Om001G035710	CARHR244480
OG0002529	Om001G037570, Om009G363220	CARHR245570
OG0002529	Om004G152030	CARHR293030
OG0002530	Om001G038400	CARHR246020
OG0002531	Om001G039580	CARHR246720
OG0002533	Om001G041720	CARHR154330
OG0002534	Om008G343760	CARHR260150, CARHR260160
OG0002535	Om008G352840	CARHR254510, CARHR230060
OG0002536	Om001G009040	CARHR229320
OG0002536	Om008G353500	CARHR253580
OG0002537	Om008G353650	CARHR253440
OG0002537	Om005G182210	CARHR004420
OG0002538	Om003G103530	CARHR220040
OG0002539	Om003G102700	CARHR220650
OG0002539	Om003G102710	CARHR220640
OG0002542	Om008G321170	CARHR141450
OG0002542	Om003G126750	CARHR171880
OG0002543	Om008G321630	CARHR141030
OG0002543	Om003G126150	CARHR171490
OG0002544	Om008G324390	CARHR139030
OG0002544	Om003G124160	CARHR170170
OG0002545	Om008G327780	CARHR136730
OG0002545	Om003G120490	CARHR167570
OG0002546	Om001G032320, Om008G327360, Om005G223600, Om005G223580, Om005G223690	CARHR025870
OG0002547	Om008G327970	CARHR136570
OG0002548	Om007G278310, Om008G333730	CARHR133140
OG0002548	Om004G174130	CARHR209750
OG0002552	Om006G261690	CARHR157410
OG0002552	Om006G234150	CARHR277350
OG0002553	Om006G230380	CARHR280570
OG0002553	Om006G258940	CARHR159780
OG0002555	Om004G158540	CARHR249480
OG0002555	Om005G178760	CARHR001310
OG0002556	Om004G158740	CARHR250170
OG0002556	Om005G178920	CARHR001490
OG0002557	Om005G183350	CARHR005460
OG0002557	Om007G280420	CARHR125100
OG0002558	Om002G081980, Om004G142620	CARHR229800, CARHR234640
OG0002558	Om001G019410	CARHR234630, CARHR233850, CARHR229820
OG0002559	Om002G042630	CARHR075420
OG0002559	Om007G301000	CARHR198620
OG0002560	Om007G300020	CARHR197990
OG0002560	Om002G043100	CARHR075920
OG0002561	Om007G297980	CARHR196540
OG0002562	Om007G293330	CARHR184980
OG0002562	Om002G046800	CARHR079210
OG0002563	Om002G046910, Om002G046950, Om002G046940, Om008G358000	CARHR079300
OG0002564	Om002G048840, Om002G048850	CARHR080840
OG0002565	Om006G255810	CARHR130300
OG0002566	Om008G335590	CARHR132140
OG0002567	Om005G197230	CARHR016790
OG0002568	Om004G137960	CARHR068730
OG0002568	Om005G201600	CARHR020170
OG0002569	Om004G136990	CARHR069640
OG0002569	Om005G202460	CARHR020810
OG0002571	Om004G135920	CARHR070090
OG0002571	Om005G203100	CARHR021400
OG0002572	Om005G203930	CARHR021970
OG0002573	Om005G208210	CARHR063230
OG0002573	Om004G144750	CARHR024530
OG0002574	Om004G146730	CARHR025760
OG0002574	Om005G210500	CARHR061500
OG0002577	Om005G185180	CARHR007180
OG0002578	Om005G183810	CARHR005980
OG0002580	Om007G279840	CARHR125760
OG0002581	Om007G305570	CARHR001390
OG0002582	Om008G330130	CARHR103760, CARHR135360
OG0002583	Om006G260240	CARHR158570
OG0002583	Om006G239330	CARHR188810
OG0002584	Om006G247270	CARHR272730
OG0002585	Om006G245810	CARHR273270
OG0002586	Om006G267290	CARHR154320
OG0002587	Om005G201720	CARHR020270
OG0002587	Om004G138100	CARHR068870
OG0002588	Om004G139700	CARHR067570
OG0002589	Om004G142230	CARHR065670
OG0002590	Om002G058800	CARHR088960
OG0002590	Om003G091560	CARHR044410
OG0002591	Om002G057760	CARHR088180
OG0002591	Om003G090550	CARHR045020
OG0002592	Om003G091390	CARHR044480
OG0002592	Om005G219360, Om002G058660	CARHR088880
OG0002593	Om003G093810	CARHR043140
OG0002594	Om003G094080	CARHR042870
OG0002594	Om002G061220	CARHR090700
OG0002595	Om002G061900	CARHR091260
OG0002595	Om003G094740	CARHR042390
OG0002596	Om002G062960	CARHR091900
OG0002596	Om003G100750	CARHR290440
OG0002597	Om002G063790	CARHR092510
OG0002597	Om003G099940	CARHR037670
OG0002598	Om002G064590	CARHR093200
OG0002599	Om002G069870	CARHR097710, CARHR097700
OG0002600	Om002G043700	CARHR076370
OG0002601	Om001G038450	CARHR115720
OG0002601	Om001G029380	CARHR240420
OG0002602	Om002G057020	CARHR087630
OG0002603	Om002G068940, Om001G032110	CARHR096860
OG0002603	Om003G095950	CARHR041540
OG0002604	Om007G278920, Om001G026100, Om001G006080, Om007G278910	CARHR039270, CARHR039280
OG0002605	Om003G119300	CARHR166570
OG0002605	Om008G329110	CARHR135920
OG0002607	Om003G117210, Om003G124640	CARHR170440
OG0002608	Om001G031230	CARHR156370
OG0002608	Om003G092420, Om002G073240	CARHR100120, CARHR252650, CARHR100110
OG0002610	Om001G000970	CARHR224580
OG0002610	Om008G359690	CARHR175590
OG0002611	Om008G332990, Om008G332980	CARHR181290, CARHR133600
OG0002612	Om001G029260	CARHR240300
OG0002612	Om001G029250	CARHR240290
OG0002614	Om005G192350	CARHR013140, CARHR147890
OG0002616	Om007G290040	CARHR292130, CARHR038380
OG0002617	Om003G091590	CARHR036080
OG0002618	Om006G233830	CARHR277660, CARHR277670
OG0002622	Om002G088000	CARHR110760
OG0002622	Om001G023370	CARHR236540
OG0002623	Om001G027230	CARHR117810, CARHR238920
OG0002624	Om001G029870	CARHR240790
OG0002625	Om006G269700	CARHR282190
OG0002626	Om001G032770	CARHR242290
OG0002627	Om001G032930	CARHR242830
OG0002627	Om002G082410	CARHR106610
OG0002628	Om001G033610	CARHR243280
OG0002629	Om008G339210	CARHR129230
OG0002629	Om007G291820	CARHR030600
OG0002630	Om007G277280	CARHR129730, CARHR031400
OG0002631	Om007G276150	CARHR223330
OG0002632	Om005G218520, Om011G366000	CARHR055140
OG0002632	Om005G187310	CARHR009220
OG0002633	Om005G187900	CARHR009620
OG0002634	Om005G219420	CARHR283920
OG0002635	Om005G190430	CARHR011740, CARHR255430
OG0002636	Om005G195180	CARHR015250
OG0002636	Om006G275000	CARHR144410
OG0002637	Om005G193990	CARHR014390
OG0002637	Om006G274080	CARHR145600
OG0002638	Om005G192960	CARHR013620
OG0002639	Om006G271850	CARHR148100
OG0002639	Om004G175210	CARHR210530
OG0002640	Om006G270780	CARHR151830
OG0002641	Om007G315580	CARHR262820
OG0002642	Om005G212770	CARHR059720
OG0002642	Om007G314960	CARHR214090
OG0002643	Om007G314320	CARHR215040
OG0002643	Om005G213670, Om008G349440	CARHR058370
OG0002645	Om006G249620	CARHR270980
OG0002645	Om001G018010	CARHR233480
OG0002646	Om004G173350	CARHR209170
OG0002646	Om002G053090	CARHR084730
OG0002647	Om003G107520	CARHR259070
OG0002648	Om003G114570	CARHR266230
OG0002649	Om003G115280	CARHR266830, CARHR201820, CARHR266850
OG0002650	Om003G116030	CARHR267630
OG0002651	Om003G116250	CARHR267940
OG0002652	Om006G249410	CARHR271160
OG0002653	Om004G164630	CARHR202360
OG0002653	Om006G239790	CARHR188380
OG0002654	Om006G231550	CARHR279590
OG0002654	Om004G165250	CARHR202750
OG0002655	Om004G166030, Om004G166000	CARHR203230
OG0002655	Om006G232090	CARHR279100
OG0002656	Om006G232810	CARHR278580
OG0002656	Om004G166430	CARHR203660
OG0002657	Om001G001370	CARHR224820
OG0002657	Om003G101600	CARHR222130
OG0002658	Om001G006450	CARHR227470
OG0002658	Om001G006470, Om007G317650	CARHR227480
OG0002659	Om001G008860	CARHR229190
OG0002659	Om008G353580	CARHR253490
OG0002660	Om008G353270	CARHR253770
OG0002660	Om001G009240	CARHR229480
OG0002661	Om001G010660	CARHR230790
OG0002661	Om008G351450	CARHR255190
OG0002662	Om001G014200	CARHR034460
OG0002663	Om007G288370	CARHR027580
OG0002664	Om001G035050, Om001G035020, Om001G035030	CARHR244040
OG0002665	Om001G035740	CARHR244500
OG0002665	Om002G084860	CARHR108480
OG0002666	Om001G036230, Om002G068270, Om001G036220	CARHR244820
OG0002667	Om001G036470	CARHR244950
OG0002667	Om002G085650	CARHR108950
OG0002668	Om001G037280, Om001G037270	CARHR245450
OG0002669	Om004G154330	CARHR114130
OG0002669	Om001G038670, Om001G038640, Om001G038650	CARHR246150
OG0002670	Om004G155920	CARHR112540
OG0002670	Om001G040720	CARHR247510
OG0002672	Om007G315760	CARHR262480
OG0002673	Om008G343790	CARHR260110
OG0002673	Om005G195110	CARHR015180
OG0002674	Om002G074280	CARHR253680, CARHR253690
OG0002675	Om001G006840	CARHR227720
OG0002675	Om008G355470	CARHR252180
OG0002676	Om003G104840	CARHR218250
OG0002678	Om003G104450	CARHR100100
OG0002678	Om003G103880	CARHR219300
OG0002679	Om002G071590	CARHR220760, CARHR098970
OG0002680	Om002G071470	CARHR098910
OG0002681	Om008G320940	CARHR141690
OG0002681	Om003G126960	CARHR054060
OG0002682	Om008G325580	CARHR138220, CARHR169650
OG0002684	Om008G327800	CARHR136710
OG0002685	Om002G051330	CARHR083240
OG0002686	Om004G173370	CARHR209200
OG0002686	Om007G299070	CARHR197370
OG0002687	Om001G029770	CARHR150540
OG0002687	Om006G245030	CARHR274030
OG0002688	Om006G267570	CARHR154130
OG0002688	Om006G245440	CARHR273640
OG0002689	Om006G245930, Om006G245950	CARHR273060
OG0002690	Om006G267000, Om006G245960	CARHR273030
OG0002691	Om006G261800	CARHR157380
OG0002691	Om006G234180	CARHR277320
OG0002692	Om004G157620	CARHR248560
OG0002692	Om005G178060	CARHR000650
OG0002693	Om005G180250	CARHR002710, CARHR035450
OG0002693	Om004G160520	CARHR251300
OG0002694	Om007G293050	CARHR178920
OG0002695	Om007G280230	CARHR125310
OG0002695	Om005G183210	CARHR005340
OG0002696	Om005G185640	CARHR007610
OG0002696	Om007G283290	CARHR121860
OG0002697	Om002G051150	CARHR083030
OG0002697	Om002G051140	CARHR083020
OG0002698	Om002G044740	CARHR077320
OG0002698	Om007G297130	CARHR195820
OG0002699	Om004G156870, Om002G044820	CARHR077380, CARHR195770
OG0002700	Om002G045560	CARHR078040
OG0002701	Om002G049880	CARHR081810, CARHR183220
OG0002702	Om006G250810	CARHR166290
OG0002702	Om008G329930	CARHR135480
OG0002703	Om002G085030	CARHR029200
OG0002704	Om006G254790	CARHR131560
OG0002705	Om006G253600	CARHR164170
OG0002705	Om008G333280	CARHR133390
OG0002706	Om004G131710	CARHR073130
OG0002706	Om005G197250	CARHR016820
OG0002707	Om005G199470	CARHR018560
OG0002708	Om004G137980	CARHR068740
OG0002708	Om005G201610	CARHR020180
OG0002709	Om004G135410	CARHR070440
OG0002710	Om005G205410	CARHR023230
OG0002710	Om005G206380	CARHR064650
OG0002711	Om004G144560	CARHR024350
OG0002712	Om005G210530	CARHR061480, CARHR025900
OG0002713	Om005G210560	CARHR061460
OG0002713	Om004G146990	CARHR025940
OG0002714	Om005G195780	CARHR015640
OG0002715	Om008G335830, Om006G275190	CARHR144160
OG0002715	Om005G195500	CARHR015440
OG0002716	Om005G188890	CARHR010500
OG0002717	Om007G298470	CARHR196890
OG0002718	Om007G297190	CARHR195870
OG0002719	Om006G239420	CARHR188750, CARHR188720, CARHR188710
OG0002720	Om006G257880	CARHR184140, CARHR153680
OG0002721	Om006G260380	CARHR158300
OG0002721	Om006G239060	CARHR189010
OG0002722	Om005G209590	CARHR062160
OG0002723	Om004G133920	CARHR071550
OG0002723	Om005G204700	CARHR022560
OG0002724	Om005G202940	CARHR021240
OG0002724	Om004G136150	CARHR069960
OG0002725	Om002G057080	CARHR087690
OG0002725	Om002G057070	CARHR087680
OG0002726	Om002G060810	CARHR090500
OG0002726	Om003G093780	CARHR043160
OG0002728	Om003G097960	CARHR039670
OG0002728	Om002G066520	CARHR094570
OG0002729	Om002G068340	CARHR096300
OG0002730	Om002G069810	CARHR097630
OG0002731	Om002G070720	CARHR098330
OG0002731	Om003G102190	CARHR221520, CARHR221500
OG0002732	Om003G095040, Om003G095020	CARHR042200
OG0002732	Om003G095090	CARHR042190
OG0002733	Om003G098420	CARHR039300
OG0002734	Om008G339900	CARHR128690
OG0002735	Om006G254820	CARHR289330
OG0002736	Om008G334650	CARHR132540
OG0002737	Om008G329140	CARHR135900
OG0002737	Om003G119290	CARHR166560
OG0002738	Om008G362730, Om004G135450, Om008G362740	CARHR173750, CARHR173720
OG0002739	Om006G259500	CARHR159030
OG0002739	Om006G230820	CARHR280180
OG0002741	Om005G201440	CARHR061320
OG0002741	Om004G147080	CARHR026000
OG0002743	Om001G031070	CARHR217610
OG0002743	Om001G031110	CARHR241690
OG0002745	Om005G190950, Om005G190960	CARHR012110
OG0002746	Om005G193830	CARHR014230
OG0002746	Om006G273940	CARHR145830
OG0002748	Om004G166360	CARHR203600
OG0002748	Om006G232730	CARHR278640
OG0002749	Om003G119030	CARHR270040, CARHR270050, CARHR270060
OG0002750	Om005G213150	CARHR059340, CARHR059190, CARHR124310, CARHR059100, CARHR059010, CARHR214460, CARHR214370
OG0002753	Om001G022380	CARHR236020
OG0002754	Om001G023760	CARHR236780
OG0002754	Om002G087900	CARHR110650
OG0002755	Om001G028310	CARHR239620
OG0002757	Om001G032800	CARHR106460, CARHR242760
OG0002761	Om005G225420	CARHR053340, CARHR053280
OG0002762	Om005G223750	CARHR050530
OG0002762	Om005G190640	CARHR011900
OG0002763	Om005G195540	CARHR015460
OG0002763	Om006G275280	CARHR059470
OG0002764	Om005G193700	CARHR014120
OG0002764	Om006G273760	CARHR145980
OG0002765	Om004G167630	CARHR204660
OG0002766	Om007G314260	CARHR215120
OG0002767	Om005G225810	CARHR048320
OG0002768	Om006G250360	CARHR270330
OG0002769	Om002G051970, Om002G051980	CARHR083830
OG0002770	Om003G111920	CARHR257600
OG0002771	Om006G232170	CARHR279010
OG0002772	Om006G233690	CARHR277780
OG0002772	Om004G167030	CARHR204160
OG0002773	Om004G168820, Om004G168770	CARHR205670
OG0002773	Om006G236440	CARHR275440
OG0002774	Om001G005210	CARHR226710
OG0002774	Om008G356980	CARHR177950
OG0002775	Om001G005390	CARHR226800
OG0002775	Om008G356880	CARHR178090
OG0002776	Om001G007460	CARHR228210
OG0002776	Om001G007450	CARHR228200
OG0002777	Om001G008140	CARHR228660, CARHR228670
OG0002778	Om001G009340, Om001G009310, Om001G006980	CARHR230190
OG0002779	Om001G012920	CARHR033530, CARHR033490, CARHR033450
OG0002779	Om001G012910	CARHR033440, CARHR033510
OG0002780	Om001G014540	CARHR034860, CARHR034880
OG0002781	Om001G038440	CARHR246040
OG0002782	Om001G039650	CARHR246790
OG0002784	Om008G362160	CARHR174170
OG0002785	Om003G106070	CARHR217410
OG0002785	Om002G077980	CARHR103940
OG0002786	Om001G029450	CARHR217560
OG0002787	Om003G106580	CARHR216910
OG0002788	Om002G071780	CARHR099110
OG0002789	Om002G071170	CARHR098670
OG0002789	Om003G102480	CARHR221220
OG0002790	Om002G070590	CARHR098210
OG0002790	Om002G070610	CARHR098230
OG0002791	Om003G101580	CARHR222150
OG0002792	Om007G316750	CARHR261840, CARHR261830
OG0002792	Om002G054810	CARHR081050
OG0002793	Om008G320090	CARHR142370
OG0002793	Om003G127760	CARHR172490
OG0002794	Om003G125810	CARHR171140
OG0002795	Om003G124940	CARHR170640
OG0002796	Om008G324990	CARHR138700
OG0002797	Om008G326850	CARHR137350
OG0002798	Om008G327430	CARHR136860, CARHR167370
OG0002798	Om003G120540	CARHR167620
OG0002799	Om004G176720	CARHR211790
OG0002800	Om004G174080, Om004G174110	CARHR209690
OG0002801	Om006G242580	CARHR152600, CARHR152610
OG0002802	Om006G242930	CARHR191780
OG0002803	Om006G266300	CARHR155660
OG0002803	Om006G247160	CARHR272800
OG0002804	Om006G258890	CARHR159800, CARHR280640
OG0002805	Om007G282270	CARHR123010
OG0002806	Om005G179090	CARHR001630
OG0002806	Om004G158840	CARHR250030
OG0002807	Om005G180360	CARHR251500
OG0002808	Om007G279420, Om007G279410	CARHR126270
OG0002808	Om005G182400	CARHR004620
OG0002809	Om007G280580	CARHR124980
OG0002810	Om005G184140	CARHR006350
OG0002810	Om007G281200	CARHR124270
OG0002812	Om007G284670	CARHR120030
OG0002813	Om002G042450	CARHR075230
OG0002813	Om007G301390	CARHR198930
OG0002814	Om007G299550	CARHR197710
OG0002814	Om002G043490	CARHR076170
OG0002815	Om002G044830	CARHR077390
OG0002815	Om007G297030	CARHR195740
OG0002816	Om002G045890	CARHR078340, CARHR078310, CARHR078330, CARHR078320
OG0002817	Om002G046040	CARHR078510
OG0002817	Om007G295770	CARHR194530
OG0002818	Om002G046980	CARHR079330
OG0002819	Om007G295120	CARHR193980
OG0002819	Om002G048670	CARHR080700
OG0002821	Om002G049510	CARHR081440
OG0002821	Om007G304040	CARHR182480
OG0002822	Om002G072690, Om002G072720, Om002G072700	CARHR060040, CARHR078780
OG0002822	Om002G046350	CARHR078790
OG0002823	Om006G255600	CARHR162630
OG0002823	Om008G337460	CARHR130520
OG0002824	Om006G254050	CARHR163820
OG0002825	Om004G130210	CARHR074220
OG0002826	Om004G131270	CARHR073550
OG0002826	Om005G196940	CARHR016520
OG0002827	Om005G198760	CARHR018070
OG0002827	Om004G142370	CARHR065580
OG0002828	Om005G198790	CARHR018100
OG0002828	Om004G142330	CARHR065620
OG0002829	Om005G199440, Om005G199430	CARHR018500
OG0002829	Om004G141650	CARHR066260
OG0002830	Om004G139310	CARHR067840
OG0002831	Om004G138970	CARHR068070, CARHR177860, CARHR177870
OG0002831	Om005G200810	CARHR019560
OG0002832	Om004G136520	CARHR069820
OG0002833	Om005G202630	CARHR021020
OG0002833	Om004G136510	CARHR069830
OG0002834	Om004G144470	CARHR024270
OG0002834	Om005G208000	CARHR063420, CARHR063410
OG0002835	Om005G209680	CARHR062120
OG0002835	Om004G146400	CARHR025570
OG0002836	Om005G210220	CARHR061680, CARHR025890
OG0002837	Om005G210950	CARHR061220
OG0002838	Om001G006670, Om002G051050	CARHR216290
OG0002840	Om001G040750	CARHR247550
OG0002840	Om004G155980	CARHR112480
OG0002841	Om007G279460	CARHR126300
OG0002841	Om005G182370	CARHR004610
OG0002842	Om005G180110, Om005G180130	CARHR002340
OG0002843	Om006G238090	CARHR190000
OG0002844	Om007G300560, Om007G300550	CARHR198400, CARHR198390, CARHR198410
OG0002845	Om007G295280	CARHR194200
OG0002846	Om007G303550	CARHR287960, CARHR050700, CARHR050710
OG0002847	Om004G132130, Om002G056780, Om003G089590	CARHR045790
OG0002848	Om006G239100	CARHR188960
OG0002849	Om006G238920	CARHR189190
OG0002850	Om006G236350	CARHR275500
OG0002851	Om006G238240	CARHR189850
OG0002851	Om006G261280	CARHR157670
OG0002852	Om006G238130	CARHR189970
OG0002853	Om004G152780, Om004G152760, Om004G152770, Om006G236240	CARHR275580
OG0002854	Om006G247310	CARHR272690
OG0002855	Om002G042780	CARHR075570
OG0002855	Om006G247440	CARHR272590
OG0002856	Om006G247470	CARHR155910, CARHR272510
OG0002857	Om006G259130	CARHR159200
OG0002859	Om006G245760	CARHR273320, CARHR154570
OG0002860	Om001G032850	CARHR242910
OG0002860	Om002G082200	CARHR106510
OG0002861	Om005G179190	CARHR001730
OG0002861	Om005G206880	CARHR064270
OG0002862	Om004G139540	CARHR067700
OG0002863	Om004G130930	CARHR073770
OG0002863	Om005G196710	CARHR016390
OG0002864	Om003G090410	CARHR045170
OG0002864	Om002G057700	CARHR088120
OG0002865	Om002G058150	CARHR088500
OG0002866	Om003G091270	CARHR044580
OG0002867	Om002G058730	CARHR088920
OG0002867	Om003G091480	CARHR044460
OG0002868	Om002G060820	CARHR090510
OG0002869	Om003G096560	CARHR040840
OG0002869	Om002G068310	CARHR096270
OG0002871	Om007G280550	CARHR105560
OG0002872	Om001G008150	CARHR228680, CARHR106880, CARHR106870
OG0002873	Om001G025790	CARHR238170
OG0002873	Om002G086160	CARHR109400
OG0002874	Om007G275560	CARHR111630
OG0002874	Om001G022110	CARHR235840
OG0002875	Om002G068360	CARHR096310, CARHR040950, CARHR096330
OG0002876	Om003G098370	CARHR039330
OG0002877	Om006G252490	CARHR165040
OG0002877	Om008G332170	CARHR134030
OG0002878	Om008G329300	CARHR135780
OG0002879	Om003G120150	CARHR167280
OG0002879	Om008G328200	CARHR136440
OG0002880	Om003G120450	CARHR167530
OG0002880	Om004G171200	CARHR207530
OG0002881	Om003G120940	CARHR168010
OG0002882	Om008G357970	CARHR176780
OG0002885	Om002G063510	CARHR092260
OG0002886	Om007G298510	CARHR196980, CARHR196970, CARHR196960
OG0002887	Om007G296100	CARHR194910, CARHR198710
OG0002890	Om002G088470	CARHR111300
OG0002890	Om001G022550	CARHR236110
OG0002891	Om001G026250	CARHR238360
OG0002892	Om004G148590	CARHR116470
OG0002893	Om001G028920	CARHR240030
OG0002894	Om006G268780	CARHR104530
OG0002894	Om001G029590	CARHR240610
OG0002895	Om001G030150	CARHR240950
OG0002896	Om001G031370	CARHR241790
OG0002897	Om001G033250, Om001G033240	CARHR243040
OG0002898	Om002G062900	CARHR091860
OG0002899	Om008G338580	CARHR129690
OG0002900	Om008G338290	CARHR129910
OG0002900	Om007G276280	CARHR223470
OG0002901	Om005G189330	CARHR010850, CARHR113010
OG0002901	Om005G221640	CARHR051820
OG0002902	Om005G223730	CARHR050550
OG0002903	Om005G195830, Om005G195820, Om007G305780	CARHR015690
OG0002904	Om005G195160	CARHR015230
OG0002904	Om002G087120	CARHR144450
OG0002905	Om006G269920	CARHR149810
OG0002906	Om005G226660	CARHR047700, CARHR213020
OG0002907	Om006G249330	CARHR271230, CARHR233300
OG0002909	Om002G053690	CARHR085160
OG0002909	Om004G172520	CARHR208510
OG0002910	Om004G170400	CARHR207070
OG0002910	Om002G055210	CARHR086210
OG0002911	Om002G056120	CARHR086930
OG0002911	Om007G302130	CARHR199570
OG0002912	Om003G115360	CARHR266910
OG0002912	Om004G145600	CARHR025260
OG0002913	Om003G116110	CARHR267770
OG0002914	Om003G118210	CARHR269410, CARHR234120
OG0002915	Om006G248150, Om006G248030	CARHR271980, CARHR271860
OG0002916	Om004G149230, Om004G148230	CARHR027020, CARHR026790
OG0002917	Om004G162910	CARHR201180, CARHR187410
OG0002918	Om006G237660	CARHR190340
OG0002918	Om004G167780	CARHR204870
OG0002919	Om004G168370	CARHR205410
OG0002920	Om006G235920	CARHR275890
OG0002921	Om001G000160	CARHR223970
OG0002921	Om008G362540	CARHR173940
OG0002922	Om001G000680	CARHR224440, CARHR174580
OG0002924	Om008G352030	CARHR254070, CARHR229700
OG0002925	Om001G009780	CARHR229960
OG0002926	Om001G011850	CARHR032370, CARHR032360, CARHR256160
OG0002927	Om001G012490	CARHR033200
OG0002928	Om001G013220	CARHR033720
OG0002928	Om005G205910	CARHR290920
OG0002929	Om001G013520	CARHR034010
OG0002929	Om005G204780	CARHR022680
OG0002930	Om008G340690	CARHR127960
OG0002931	Om001G034890, Om001G034900	CARHR243940
OG0002932	Om001G037170	CARHR245430
OG0002932	Om004G152100	CARHR293130
OG0002933	Om001G038130	CARHR245770
OG0002934	Om001G038930	CARHR246270
OG0002935	Om007G298540, Om001G040770, Om004G151950	CARHR106830
OG0002935	Om004G151940	CARHR112440
OG0002936	Om001G040850	CARHR247660
OG0002937	Om001G040980, Om001G040970	CARHR247770
OG0002938	Om001G041510	CARHR294280
OG0002939	Om003G092340	CARHR254210
OG0002942	Om002G072800	CARHR099720
OG0002943	Om007G317950	CARHR213250, CARHR110430, CARHR213240
OG0002944	Om003G128120	CARHR172820
OG0002944	Om008G319440	CARHR142830
OG0002945	Om005G196470, Om002G043780	CARHR016220
OG0002946	Om008G321020	CARHR141610
OG0002947	Om008G322850	CARHR140140
OG0002948	Om008G323360	CARHR202860
OG0002949	Om008G323380	CARHR139620
OG0002949	Om008G323370	CARHR139630, CARHR150030
OG0002950	Om006G229040	CARHR281740
OG0002950	Om006G257270	CARHR161040
OG0002951	Om008G324340	CARHR139060
OG0002952	Om008G324830	CARHR138810
OG0002952	Om003G123910	CARHR169980
OG0002953	Om008G325130	CARHR138580
OG0002953	Om003G123840	CARHR169960
OG0002954	Om003G123800	CARHR169920
OG0002954	Om008G325210	CARHR138490
OG0002955	Om004G176770	CARHR211830
OG0002955	Om002G051350	CARHR083260
OG0002956	Om006G242850	CARHR118920
OG0002956	Om006G243020	CARHR191720
OG0002957	Om006G245190	CARHR273900
OG0002958	Om006G244470, Om006G244440, Om008G341360, Om008G341350, Om006G244450, Om008G358580	CARHR190570
OG0002959	Om004G165630	CARHR202950
OG0002960	Om006G230750	CARHR280250
OG0002961	Om006G229690	CARHR281180
OG0002962	Om004G156990, Om004G156970	CARHR028140
OG0002963	Om008G354200, Om008G354130, Om004G158530	CARHR249470
OG0002963	Om005G178750	CARHR001300
OG0002964	Om004G159700	CARHR250510
OG0002965	Om007G292980	CARHR179030
OG0002966	Om007G292770	CARHR179170
OG0002967	Om005G181180	CARHR003490
OG0002968	Om005G181200	CARHR003500
OG0002968	Om007G277570	CARHR179530
OG0002969	Om005G181620	CARHR003860
OG0002969	Om007G278390	CARHR127330
OG0002970	Om007G278500	CARHR127240
OG0002970	Om005G181510	CARHR003960
OG0002971	Om005G181520	CARHR003950
OG0002972	Om005G182410	CARHR004630
OG0002972	Om007G279400	CARHR126250
OG0002973	Om005G183640	CARHR005720
OG0002973	Om007G280830	CARHR124750
OG0002974	Om007G283160	CARHR122060
OG0002974	Om005G185420	CARHR007420
OG0002975	Om001G029910	CARHR240820
OG0002976	Om007G301250	CARHR198810
OG0002976	Om002G042550	CARHR075330
OG0002977	Om002G042620	CARHR075410
OG0002977	Om007G301010	CARHR198630
OG0002978	Om006G247190	CARHR272780
OG0002978	Om004G164390	CARHR202240
OG0002979	Om003G117430	CARHR268740
OG0002980	Om002G047350	CARHR079630
OG0002981	Om002G048640	CARHR080670, CARHR193930
OG0002982	Om008G337390	CARHR130570
OG0002982	Om006G255590	CARHR162640
OG0002983	Om008G336790	CARHR130970
OG0002983	Om006G255080	CARHR162970
OG0002984	Om008G336730	CARHR131010
OG0002984	Om008G336740	CARHR131040
OG0002985	Om006G254710	CARHR131670
OG0002986	Om008G343030, Om004G162030	CARHR201210
OG0002988	Om004G138030	CARHR068810
