Orthogroup	Odontarrhena_muralis	Cochlearia_excelsa
OG0000002	Om007G309520, Om002G043270	g22299, g22517, g35849, g15943, g22279, g17546, g39920, g50076, g50948, g9965, g36751, g31361, g40655, g36749, g37143, g29002, g12407, g13031, g36480, g51473, g1614, g15078, g35122, g9947, g12827, g14099, g16024, g3989, g16867, g54126, g32227, g12708, g12890, g2531, g40366, g51791, g33609, g22707, g54221, g17420, g33085, g52853, g12053, g57, g36475, g22753
OG0000002	Om005G222520, Om004G148400, Om001G016090	g28791
OG0000003	Om007G276690	g10483, g36078, g35024, g42010, g53526, g35068, g51377, g36656, g46847, g52100, g12379, g34343, g34347, g42612, g3007, g19913, g14065, g52866, g43208, g25223, g43589, g14824, g15574, g4576, g20561, g20558, g41973, g35025, g49126, g50218, g43737, g3006, g16692, g54200, g19882, g28837, g12132, g39267, g40928, g44467, g1720, g6104, g22734, g24732, g26067, g6791, g34544, g15875, g33596, g14436, g4314, g43590
OG0000003	Om004G173160	g11617, g8880, g21791, g21805
OG0000003	Om002G078910, Om007G310130	g34585, g38685, g33681, g53237, g30184, g21769, g48097, g15439, g38758, g38943, g35769
OG0000003	Om007G309640	g15299
OG0000003	Om003G107890, Om007G304830	g26606, g8533, g35008
OG0000003	Om006G262960	g38726, g52507, g33738, g21075, g15069, g20663, g8887, g38647, g38787, g33683, g33657, g30416, g22591, g42519, g15106, g33699, g15225, g20781, g15167, g38927, g21070, g38944, g20522, g30595, g38625, g20896, g42464, g24936, g38721, g21166
OG0000003	Om007G310100, Om005G217360, Om003G107880	g21128, g8383, g16072
OG0000003	Om001G015910	g15722
OG0000003	Om006G262980	g21798, g21724, g20472, g9367, g20087, g21565, g33957, g8861, g52750, g34641, g38687, g43070, g15232, g42420, g42441, g9347, g7984, g26551, g33767, g21045, g20998, g38763, g42487, g21234, g52986
OG0000003	Om005G217810	g8364, g30181, g15105, g19836
OG0000003	Om005G210700	g34664, g34657, g34660, g9423, g9443, g48369, g39153
OG0000003	Om001G017050	g41143
OG0000003	Om008G345700	g8878
OG0000003	Om005G217800, Om004G150180, Om001G017380	g21330, g20421, g48386, g8588, g16442
OG0000003	Om004G155100	g34632, g8186, g30075, g42471, g19890, g26435, g33523, g34553, g30141
OG0000003	Om005G217790	g8684
OG0000004	Om008G341980	g16747, g41832
OG0000004	Om007G317080, Om007G314040, Om006G243290, Om001G014830	g10434, g43405, g12783, g14416, g3096
OG0000004	Om003G099290	g31287
OG0000004	Om004G151610, Om003G106990	g43468, g53079, g36758
OG0000004	Om007G313270	g41934
OG0000004	Om001G019850	g43738
OG0000004	Om004G159780	g32052, g40877, g44562, g51061, g1238, g44545, g28474, g44506, g5899, g23419, g2263, g52921, g13894, g34861, g19097, g29058, g52608, g29057, g30907
OG0000004	Om008G320930	g36335
OG0000005	Om002G083130	g36085, g26760, g14872
OG0000005	Om005G219680, Om008G356930, Om004G145060	g44250
OG0000005	Om004G141520	g36068
OG0000005	Om007G300990, Om008G339980	g22668, g39670, g49313, g181, g25460
OG0000005	Om005G212800, Om006G268170, Om002G071580	g44061, g30358, g31394, g54192, g43888, g3832
OG0000005	Om007G299590	g32288, g54233, g4, g38135, g43677, g53580, g9848, g44251
OG0000005	Om006G258880	g10943, g48006
OG0000005	Om002G082890, Om008G348310	g23664
OG0000005	Om007G282810	g47996, g36759, g22674, g50707, g1267, g22012, g54239, g2983, g43671, g6090
OG0000005	Om003G112530, Om008G348300	g43359
OG0000005	Om002G076060	g4402, g11774, g4396
OG0000005	Om004G151870, Om002G089170, Om004G141530	g43360
OG0000005	Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940	g14417
OG0000005	Om006G261840	g43361
OG0000007	Om002G079510	g37890, g14958
OG0000007	Om007G283730	g54172
OG0000007	Om005G219310, Om006G244810, Om006G267880, Om011G365910, Om003G114390	g18049, g47718
OG0000007	Om007G299920	g30821, g46860, g26833, g14950, g41879
OG0000007	Om007G308670, Om005G224350	g25323, g24433, g4497, g26082, g34709, g48927
OG0000007	Om006G248820, Om006G248770	g4482, g23875
OG0000008	Om007G307170	g25872
OG0000008	Om009G364060	g25873, g34273, g35255
OG0000008	Om007G284450, Om008G361640, Om007G313430	g26783, g43762, g4391, g33124, g29630, g27680
OG0000008	Om007G306510	g33467, g33453
OG0000008	Om004G146620	g36794
OG0000008	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880	g13991
OG0000008	Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680	g39484
OG0000010	Om006G235910	g26448, g14316
OG0000010	Om008G341420	g35163, g21346, g4256, g14841, g35105, g53994, g48055, g21528, g3243, g30443, g48036, g47252, g39500, g24132, g5068, g50920
OG0000010	Om003G108840	g43026
OG0000010	Om002G089070	g25611, g42724, g21558, g24842, g4696, g16438, g14613, g21436, g43840, g44712, g16683, g42926, g35691, g30752, g14081
OG0000011	Om005G184900	g24832, g50752, g1458, g52713, g37833, g16484, g26075, g4219, g9033
OG0000012	Om004G146180	g6328, g21395
OG0000012	Om005G215090	g3443, g34444, g34449
OG0000012	Om002G076390	g15121
OG0000012	Om003G106630	g42217
OG0000012	Om008G345810	g3442
OG0000013	Om002G089030	g24947, g35918, g53893, g41958
OG0000014	Om004G169570	g51642, g51639, g52234
OG0000014	Om007G309000	g43483
OG0000014	Om008G343710	g17907, g43443, g40836, g15958, g51640, g52235
OG0000014	Om005G227750	g4147, g48939, g14334
OG0000014	Om008G343700	g11529
OG0000015	Om008G350280	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567
OG0000015	Om006G271980	g10054
OG0000015	Om003G098660	g42171, g26614
OG0000015	Om005G217510	g47913, g43577, g47635, g16300
OG0000015	Om003G105790, Om004G154560	g35217, g34684, g25292, g7329, g39702, g3755, g43029, g21949, g24634, g43716, g41967, g35685, g3173, g5447, g48096, g4042, g4014, g30179, g21912, g14948, g35471, g12283, g14756, g26107, g39164, g1865, g12584, g7633, g26669, g17276, g2986
OG0000015	Om007G305020	g28764, g14677, g6769, g4758, g26125, g35711, g35700
OG0000015	Om006G270800	g2048, g25181, g44770, g50053, g53467, g40288, g37977, g5196
