Orthogroup	Odontarrhena_muralis	Cochlearia_excelsa
OG0000646	Om006G269470	g10368
OG0000646	Om002G043170	g12697
OG0000648	Om003G128400, Om003G128430, Om003G128440	g18725, g18726, g18727, g18724
OG0000649	Om006G253830	g53982
OG0000649	Om004G136710	g46253
OG0000650	Om008G359240, Om008G359230, Om008G359250, Om008G359270, Om008G359310	g43973
OG0000652	Om006G237830, Om006G237880, Om006G237860	g484, g485, g9960
OG0000653	Om006G242630	g740
OG0000653	Om007G303200	g39567
OG0000653	Om007G305010, Om007G281870, Om006G265690	g4043, g32936, g3151, g14643, g16153, g24988, g30178, g14755
OG0000655	Om004G139280	g11478, g30353, g42069, g15723
OG0000655	Om004G139270	g14952, g29956, g30352, g26800, g34947, g27315, g48841, g53799, g24310, g8621, g42073
OG0000655	Om002G050770, Om005G194660, Om002G061540, Om002G056020, Om006G240500, Om005G220320, Om009G363040, Om003G099500	g31974, g24409, g23553, g44765, g15602, g31973
OG0000655	Om006G270570	g34361, g14953
OG0000655	Om003G099490	g15724, g26294, g10061
OG0000658	Om003G106660, Om007G293840, Om006G254110	g10133, g4789
OG0000660	Om005G185150	g27009
OG0000660	Om006G246670	g2820, g11418, g39246
OG0000661	Om007G280270, Om008G327370	g51258, g51261, g39834
OG0000662	Om007G299230	g5081
OG0000662	Om002G043690	g6216, g7879
OG0000663	Om005G211670	g44868
OG0000663	Om004G147530, Om004G147600	g32229
OG0000664	Om001G038790	g6058, g6063, g6054
OG0000665	Om008G325860, Om008G332120	g1443
OG0000669	Om008G323950, Om001G002100, Om001G002090	g52160, g37530
OG0000669	Om002G057870	g13190
OG0000671	Om006G248300	g28292, g22608, g22602, g46709
OG0000672	Om008G340360	g37974
OG0000672	Om007G289610	g32394
OG0000673	Om004G158090	g38393
OG0000674	Om005G179570	g30793
OG0000674	Om008G319260	g37733
OG0000674	Om004G159710	g39558
OG0000675	Om005G196790, Om007G279730	g31625, g49954, g51289
OG0000676	Om004G139720	g46133, g44537
OG0000677	Om004G136950, Om004G145150	g50336
OG0000677	Om001G025590	g50338
OG0000678	Om003G121880	g2938, g1972
OG0000679	Om002G083080	g24935
OG0000682	Om002G081140	g14429, g53126
OG0000685	Om001G024490	g47697
OG0000685	Om002G087370	g23710
OG0000686	Om001G031630, Om001G031650, Om001G031590	g23152, g11460
OG0000686	Om001G031660	g47857
OG0000687	Om007G275820	g17578
OG0000687	Om008G322470, Om008G322490	g37589
OG0000687	Om003G125660	g18804
OG0000688	Om002G067310	g1520, g1518
OG0000689	Om005G205310, Om001G012690	g40273, g32732
OG0000692	Om003G122540, Om003G122530	g18931
OG0000692	Om003G122550	g1998, g18930
OG0000693	Om006G251440	g19066, g19065
OG0000693	Om008G331200	g51826, g51831, g51825, g51828
OG0000695	Om004G140010	g17988, g10088
OG0000697	Om003G096390, Om003G096520, Om003G096400	g36466, g36467
OG0000698	Om002G052470, Om002G051930	g47464
OG0000699	Om008G338280	g25848
OG0000699	Om008G325440	g37307, g38113
OG0000700	Om007G282890, Om072G377200	g37868, g37867, g37860
OG0000702	Om007G301290	g45660, g29306
OG0000702	Om002G042520	g7936
OG0000703	Om004G173900	g29827
OG0000703	Om006G255340	g2392
OG0000704	Om001G004670, Om001G004680	g17405, g24115
OG0000706	Om006G239960	g587
OG0000706	Om006G232490	g9735
OG0000708	Om005G190620	g27159
OG0000710	Om005G193740, Om005G194960, Om005G193780	g31477, g53183, g53182, g14019, g14375, g14015, g27771
OG0000711	Om005G226640	g36985
OG0000712	Om002G049340	g12937
OG0000713	Om006G245530	g28782
OG0000714	Om005G213220, Om005G213140	g41820
OG0000715	Om008G353360	g14052, g40408, g25621, g25619, g25607, g25625, g25606, g25629, g25632, g25605
OG0000716	Om005G211830, Om008G328670	g19482, g46826, g46814
OG0000717	Om005G225940	g27487
OG0000717	Om005G203310	g31967
OG0000718	Om002G055310	g12311
OG0000718	Om004G177070	g5854
OG0000719	Om006G245640	g1290, g28768
OG0000720	Om003G128230	g1754
OG0000720	Om004G159420	g39542
OG0000722	Om005G208970	g45812
OG0000722	Om005G194430	g31518
OG0000723	Om007G294640	g4864
OG0000724	Om006G252070, Om006G252080, Om006G252100, Om006G252120	g2219
OG0000726	Om001G037180, Om001G037210	g18445, g18444
OG0000726	Om008G354650	g51076
OG0000728	Om007G295340	g29071
OG0000730	Om006G274110	g10673
OG0000730	Om005G193950	g31492
OG0000732	Om006G255490	g11321
OG0000734	Om003G112660	g41169, g1326, g28342
OG0000735	Om003G118250	g28539
OG0000735	Om003G118240	g28538
OG0000736	Om004G165740	g45529, g29507
OG0000736	Om001G039680	g22748
OG0000738	Om007G278680	g51327
OG0000739	Om005G180900	g30842, g49434
OG0000741	Om003G090420	g36715
OG0000742	Om068G377170	g20008, g19768, g19695, g19984
OG0000742	Om068G377160	g19769
OG0000747	Om003G103870	g51416, g14744, g42844, g11851, g6038, g34391, g27941, g42318, g17667, g17671, g42797, g46969, g42307, g6373, g36865, g26320, g41954, g16428, g42823, g43862, g24746, g33110, g19253, g41258, g18210, g33589, g37791, g17822, g11852, g41261, g34965, g36866, g11516, g18669, g40773, g6073, g43978, g24776, g15693, g17737, g5168, g18244, g11853, g18489, g6372, g11517, g34390, g3311, g8789, g43357, g54089, g17812, g4303, g52492, g16655, g36290, g16583, g26321, g3271, g25794, g24747, g53616, g51417, g42824, g32967, g26696, g53887, g34557, g14745, g42025, g15719, g4885, g43997, g24921, g32437, g41523, g25902, g3602, g14361, g48849, g22589, g51135
OG0000749	Om005G193040	g10608
OG0000749	Om004G147040	g32196
OG0000750	Om007G291180, Om001G009690, Om005G228190, Om005G228180	g40831
OG0000751	Om004G173690	g5711, g29815, g45374
OG0000752	Om006G239670, Om006G239690, Om006G239700, Om006G239680	g18564
OG0000752	Om004G164920	g29481
OG0000753	Om001G015620	g53790
OG0000754	Om001G015760	g28181
OG0000754	Om008G342780	g42706
OG0000755	Om008G355040	g25545
OG0000755	Om008G355050	g40463
OG0000757	Om008G335340, Om006G254280	g37224
OG0000758	Om004G131100	g46550
OG0000758	Om005G196770	g31624
OG0000759	Om006G247560	g1202, g28719
OG0000759	Om005G184700	g26999
OG0000760	Om008G329550, Om008G329460	g51911
OG0000762	Om002G087650, Om001G015670	g5941
OG0000762	Om002G087620	g5942
OG0000763	Om003G091650	g27997, g54354, g36680
OG0000763	Om003G091630	g36679
OG0000764	Om003G096160, Om003G096690, Om003G096670, Om003G096680	g28045, g28051
OG0000765	Om006G259450, Om006G259750, Om005G210270, Om005G210060, Om005G210240, Om005G210230, Om006G260090, Om007G313620	g2438, g2440, g2441
OG0000772	Om006G270510	g10410
OG0000773	Om005G209150	g44749
OG0000774	Om001G017860	g47581
OG0000775	Om004G172920	g7430, g12371, g12372
OG0000776	Om008G330800	g37342
OG0000776	Om002G051640	g13022, g7512
OG0000777	Om003G116430	g39401
OG0000779	Om001G008900	g17303, g47419
OG0000779	Om008G353570	g25661
OG0000779	Om008G353560	g25660
OG0000780	Om001G039760	g22739
OG0000780	Om004G165850	g29511
OG0000781	Om008G324460, Om008G324450, Om008G324440, Om008G324430	g37478, g38223
OG0000781	Om008G324410	g37524
OG0000783	Om006G243370	g772
OG0000783	Om006G268650	g29397
OG0000784	Om001G001310	g3089
OG0000784	Om006G244140	g807
OG0000785	Om001G030640, Om001G030650	g18150
OG0000785	Om004G172580	g29776
OG0000786	Om006G236990	g432
OG0000786	Om006G236980	g9918
OG0000788	Om006G267680	g3012
OG0000788	Om006G244510	g828
OG0000788	Om006G267760	g3011
OG0000789	Om004G131580	g44317
OG0000789	Om002G056630, Om003G089450	g13146
OG0000790	Om003G091770, Om003G091720, Om003G091750	g36677
OG0000790	Om003G091710	g36678
OG0000794	Om002G070500, Om007G283840	g51082, g51084
OG0000798	Om007G276100, Om001G000190	g24266, g17563, g47178
OG0000799	Om005G222980	g50617, g50344
OG0000800	Om006G261660	g41234
OG0000801	Om002G053550	g29782
OG0000801	Om004G172640	g29780
OG0000801	Om002G053590, Om002G053560	g13101
OG0000802	Om008G359660	g10953
OG0000803	Om003G116420, Om001G004780	g47325
OG0000804	Om005G228300	g53817, g14277, g45114
OG0000807	Om008G323720	g37537
OG0000807	Om002G042250	g7952
OG0000808	Om007G283270	g39999
OG0000808	Om006G246460	g1260
OG0000809	Om004G146010	g32151, g50360, g27587
OG0000810	Om003G096380, Om003G096550	g36472
OG0000811	Om008G352000	g43179, g33245, g49042
OG0000811	Om007G305730	g16691, g44674, g41257
OG0000812	Om007G284710	g53541
OG0000813	Om002G063830, Om002G063810, Om002G063820	g6955
OG0000814	Om002G070350, Om006G243840, Om006G245340	g28789, g41316, g41317, g41315, g862, g860
OG0000818	Om005G228870	g40738
OG0000819	Om002G053630	g12365
OG0000819	Om006G250650	g2161
OG0000821	Om003G113100	g1309
OG0000823	Om008G362180	g40691, g10891
OG0000823	Om001G000380	g47213, g24255
OG0000824	Om001G012010, Om001G012020	g32658, g27798
OG0000825	Om003G126780	g1837
OG0000825	Om008G321070	g52299, g37652
OG0000826	Om008G323390	g52166, g37548
OG0000827	Om003G116690	g985
OG0000827	Om004G176620	g5823
OG0000829	Om007G296880	g45753
OG0000830	Om005G202380	g31913, g50129
OG0000831	Om005G202570, Om005G202580, Om005G202590	g27461
OG0000833	Om002G059910	g7141
OG0000834	Om002G065630	g6862
OG0000834	Om003G098980	g54107
OG0000835	Om002G066410	g11975, g6829
OG0000835	Om003G098020	g36401
OG0000836	Om003G120360	g18992
OG0000837	Om005G190680, Om005G190690	g27166
OG0000838	Om004G164220, Om005G222840, Om001G025230, Om003G128780, Om006G254540, Om001G021790	g52396, g52380
OG0000843	Om006G236790	g45127
OG0000844	Om002G052240	g7481
OG0000844	Om004G175120	g29846, g5767
OG0000846	Om001G030620	g18149, g23193
OG0000847	Om004G166450, Om004G166440	g29549
OG0000847	Om006G232840	g219
OG0000848	Om005G178800	g49348
OG0000849	Om003G127390	g1795
OG0000850	Om003G126300	g18713
OG0000851	Om008G327440	g52005
OG0000851	Om003G120650	g2106
OG0000853	Om004G160710	g25495
OG0000854	Om007G283720	g37834, g40042
OG0000855	Om006G263670	g11395, g2757
OG0000855	Om006G235120	g340
OG0000857	Om006G263880	g14408, g6195
OG0000857	Om006G260880	g19417
OG0000858	Om002G073040	g13482
OG0000859	Om007G303050, Om007G303100, Om007G303190	g37256
OG0000861	Om005G180100	g41660, g41683, g41662, g41633, g36966, g36993, g36967
OG0000867	Om005G213710	g44989, g44988, g18054
OG0000868	Om004G170100	g45455, g5591, g29666
OG0000868	Om002G055490	g12305, g7345, g13126
OG0000869	Om001G000390, Om008G362170	g47214, g17532
OG0000870	Om007G288540	g50492, g50452
OG0000871	Om002G043820	g7867
OG0000871	Om007G314750	g18093
OG0000872	Om007G279510	g39803
OG0000873	Om007G295910	g4923, g29042
OG0000875	Om005G184100	g31012
OG0000877	Om003G127230, Om003G126920, Om007G303070, Om007G303150, Om007G303210	g37254
OG0000879	Om005G184110	g31013
OG0000883	Om001G033060	g47886
OG0000883	Om002G046650	g7738, g12824, g12583
OG0000885	Om005G204940	g50244
OG0000885	Om001G021960	g17066, g23580
OG0000886	Om008G341510	g37044
OG0000888	Om003G122230	g11209, g1980, g18951
OG0000888	Om008G326480	g52055
OG0000889	Om006G252000	g2212, g19095
OG0000890	Om006G254370	g2336, g19181
OG0000890	Om008G335550	g51643
OG0000891	Om005G204930	g32036
OG0000892	Om006G240260, Om006G240250	g602
OG0000900	Om005G193320	g49875
OG0000900	Om005G193340	g31459, g53611
OG0000901	Om002G082990, Om002G082970, Om007G275790	g2658, g2672, g24339, g17581
OG0000902	Om004G171650, Om004G171970	g5640, g29730
OG0000902	Om002G054040	g12349
OG0000903	Om004G164180, Om004G164000, Om007G288460	g46806
OG0000904	Om004G165610	g45532
OG0000904	Om001G028210	g23312
OG0000905	Om004G165730	g29506
OG0000906	Om006G232410	g18661
OG0000906	Om004G166090	g29526, g45525
OG0000907	Om001G002610, Om008G358980, Om008G358950	g24176, g17469
OG0000908	Om001G040680, Om002G047730, Om004G155910	g22696
OG0000910	Om006G245280	g28800
OG0000910	Om006G245290	g41318
OG0000911	Om006G229870	g19649
OG0000911	Om008G354630, Om006G260290	g11359, g19349
OG0000912	Om004G160050	g39592
OG0000912	Om008G333690, Om005G189560, Om005G179820	g49396
OG0000913	Om004G143650, Om005G207400	g50285, g44694
OG0000914	Om002G045570	g7801
OG0000915	Om006G255370	g2397
OG0000915	Om008G337180	g37165
OG0000916	Om005G194670	g27272
OG0000917	Om005G192690	g31431
OG0000917	Om005G192650, Om005G192670	g23320
OG0000918	Om008G337870	g46686
OG0000918	Om008G356500, Om003G106650	g40503
OG0000919	Om002G063780	g6958
OG0000920	Om003G091660, Om003G091680	g54357, g54355, g54356
OG0000921	Om003G097940	g36381, g36403
OG0000922	Om007G305520	g16101
OG0000923	Om005G226510, Om005G226520, Om005G226560	g26772, g26765, g26752, g26764
OG0000924	Om001G036070	g18251
OG0000930	Om002G087470	g13896
OG0000930	Om001G024260	g23477, g17008
OG0000931	Om002G050950	g12990
OG0000931	Om002G054470	g12335
OG0000932	Om002G055520	g13128, g12299
OG0000933	Om003G113540	g41220, g28366
OG0000933	Om007G286610	g879
OG0000934	Om001G004220	g17415
OG0000935	Om008G355400	g25539
OG0000935	Om001G006870	g17365, g24033
OG0000936	Om001G007510	g47385
OG0000937	Om001G011310	g17236
OG0000937	Om001G011350, Om001G011370, Om001G011380, Om001G011360	g23857
OG0000938	Om001G038920	g22721, g2326
OG0000938	Om001G040050	g22720
OG0000939	Om007G287520	g14026, g38532
OG0000939	Om004G156100, Om004G156110	g18311
OG0000940	Om002G077500	g11622
OG0000940	Om001G035380	g22969
OG0000941	Om003G103370	g24567
OG0000941	Om005G182890	g49502, g30936
OG0000942	Om003G103160, Om008G324770, Om002G072360	g24536, g6533, g17723
OG0000943	Om004G134220, Om002G047770	g12546
OG0000944	Om008G325180	g18884, g2026
OG0000946	Om004G176860	g5834
OG0000947	Om002G043520	g12689, g7889
OG0000948	Om006G252140, Om008G331880	g37318
OG0000950	Om007G294240	g4810, g10118
OG0000950	Om002G048110	g32990
OG0000953	Om006G259150, Om007G304210, Om007G304200, Om006G259180, Om006G259170, Om006G259120, Om008G347940	g2592
OG0000954	Om002G066730, Om002G066720, Om002G066750	g6806
OG0000954	Om002G066760	g6801
OG0000957	Om004G149410, Om008G346700, Om006G266050, Om006G259770	g42912, g8578, g19898
OG0000957	Om006G264380	g42285, g32971, g35103, g42181, g21523, g30397, g26151, g53116, g42934, g30082, g53585, g35480, g48061, g17793, g44043, g35062, g9182, g19899, g25383, g26128, g42557, g42911, g53999, g3838, g26689, g26283, g30479, g42632, g43875, g8561, g48226, g15637, g53643, g47352, g3773, g8555, g26851, g38564, g45370, g35482, g33187, g8577, g15712, g16290, g37184, g34959, g35350, g37801, g41932, g43204
OG0000958	Om005G222830	g18479
OG0000959	Om005G201330, Om006G251530, Om005G202740	g50152
OG0000962	Om007G316390, Om004G164950, Om006G241490	g45549
OG0000963	Om004G175750	g45314, g5792
OG0000963	Om002G051940	g7494
OG0000964	Om004G140590	g26701, g26717
OG0000965	Om002G074180	g7238
OG0000965	Om001G003760	g47303
OG0000967	Om001G014390	g27912
OG0000967	Om005G204690	g50234, g27514
OG0000968	Om005G222930	g46773
OG0000968	Om007G314370	g25184
OG0000969	Om008G356400, Om008G356410	g40498
OG0000970	Om006G230550	g18677, g76, g10717
OG0000971	Om001G007710	g12613
OG0000972	Om007G294350	g18527
OG0000972	Om002G048190	g12522
OG0000973	Om007G295090	g29080
OG0000973	Om002G048680	g7660, g12501
OG0000975	Om005G201730	g31877
OG0000977	Om006G266230	g1479, g2807
OG0000977	Om006G266330	g2808
OG0000978	Om003G089620	g19586
OG0000979	Om003G111780, Om003G100970	g47124, g24424
OG0000979	Om003G100980	g24425
OG0000981	Om001G007310	g3375
OG0000982	Om002G078080	g13764, g24824
OG0000983	Om006G243470, Om003G120200, Om006G243520, Om006G243580	g778
OG0000986	Om001G027480	g47772
OG0000987	Om007G292380, Om008G336690	g50608
OG0000988	Om004G171150	g29708
OG0000989	Om008G332220	g37017, g37018
OG0000990	Om001G001440, Om008G360190	g24213, g17494
OG0000991	Om001G011990	g27797, g32657
OG0000992	Om004G155780	g36959, g50882, g54088
OG0000992	Om001G040490	g22703
OG0000993	Om002G075390	g13525, g11661, g6390
OG0000994	Om007G281910, Om007G281900, Om007G281920	g39943
OG0000995	Om007G280340	g51255
OG0000995	Om004G166380	g49522
OG0000996	Om005G184170	g31018
OG0000997	Om002G045840	g12610
OG0000997	Om005G193290	g31457
OG0000998	Om008G331510	g37327, g51789
OG0000998	Om006G251870	g2194
OG0001000	Om007G300700, Om007G300710, Om007G300750	g29281
OG0001000	Om004G131560, Om002G083060	g14070
OG0001001	Om006G240650	g18547, g18546, g51023
OG0001002	Om002G057480	g13165, g7245, g54314
OG0001003	Om002G061360	g7061, g12110, g13245
OG0001003	Om003G094290	g36579
OG0001004	Om008G330570, Om008G330550	g51862
OG0001008	Om001G024130, Om001G024080, Om001G024040	g23485
OG0001008	Om001G024050	g17010
OG0001009	Om001G024740	g34447
OG0001010	Om007G292680	g27725, g50616
OG0001010	Om008G338500	g51531
OG0001011	Om007G277180, Om007G277230, Om007G277190, Om007G277170	g27768
OG0001012	Om005G217930, Om011G365520	g41088, g41084, g41091, g44006
OG0001012	Om005G187750	g27090
OG0001013	Om005G202510	g11006
OG0001014	Om003G097630	g10270
OG0001015	Om005G196870, Om007G286650	g47552, g23748
OG0001016	Om004G164330	g45562
OG0001016	Om006G240010	g10052
OG0001017	Om006G231580	g144
OG0001018	Om006G238170	g9985
OG0001019	Om001G000610	g47225
OG0001019	Om008G361980	g24245
OG0001020	Om001G001040	g47245
OG0001020	Om008G361270	g40644, g10924
OG0001021	Om003G128720	g18748
OG0001022	Om008G319700	g50817
OG0001022	Om007G300600	g38328
OG0001022	Om003G127940	g1762
OG0001023	Om008G329680, Om008G329690, Om006G244550, Om004G175290	g13766
OG0001025	Om005G184240	g31022
OG0001025	Om007G281330	g39900, g51220
OG0001026	Om002G042950	g12738, g7923
OG0001026	Om007G300350	g45683, g29274
OG0001027	Om005G192920	g31437
OG0001028	Om006G252270	g19114
OG0001029	Om005G204290	g32015, g27506
OG0001029	Om004G134460	g46377
OG0001030	Om005G201880	g50100
OG0001030	Om004G138390	g44444
OG0001031	Om005G202080	g50115
OG0001031	Om004G137500	g46230
OG0001032	Om004G135840	g46291
OG0001032	Om005G203240	g50165
OG0001034	Om004G143630	g50282
OG0001034	Om005G207300	g45873
OG0001035	Om002G046030, Om002G046020, Om002G046010, Om002G046000	g1629
OG0001036	Om004G132870, Om004G132900	g46468
OG0001036	Om004G132850	g46469
OG0001037	Om004G131290, Om010G364800	g44303
OG0001037	Om002G051910	g2455, g45188, g13042
OG0001038	Om002G057310, Om002G056940, Om002G056930, Om002G056960	g12253
OG0001038	Om002G056970	g7266
OG0001039	Om003G099660	g36304
OG0001039	Om002G064180	g6935
OG0001040	Om003G095600	g28032
OG0001040	Om002G069240	g6683
OG0001041	Om001G026750, Om006G271130, Om005G224060	g49717
OG0001041	Om006G264620	g19512, g19511
OG0001043	Om003G095340	g36524
OG0001043	Om003G095330	g36525
OG0001044	Om006G251940	g2210, g19086
OG0001045	Om004G138940, Om004G138480	g2937, g2912, g2933
OG0001048	Om004G171750	g45421, g45419
OG0001051	Om002G082920	g6121
OG0001051	Om001G033650	g23035
OG0001052	Om001G034140, Om001G033870, Om001G033860, Om001G034150, Om001G033850, Om001G034130, Om001G033880	g47909, g47910
OG0001053	Om005G218880	g41060
OG0001053	Om005G188400	g49716
OG0001054	Om005G223830	g44203
OG0001054	Om003G098880, Om005G223870	g38261
OG0001055	Om005G206280	g6371, g16676, g16674
OG0001056	Om002G053390	g13098
OG0001056	Om004G172930	g29792
OG0001057	Om001G021190, Om003G115800, Om008G321080	g47639
OG0001058	Om001G000030	g24289, g17556
OG0001058	Om001G035410	g47940, g22966
OG0001059	Om008G357520	g40535
OG0001059	Om001G004750	g24114, g17402
OG0001060	Om003G103620	g17809, g24580
OG0001060	Om002G072890	g6503
OG0001061	Om002G071530	g6557
OG0001061	Om003G102610	g47060
OG0001062	Om006G259280	g2597, g19373
OG0001063	Om005G212620, Om003G093110	g47040, g44040
OG0001063	Om004G155630, Om003G093100, Om004G155640, Om008G354590, Om002G063850	g7688
OG0001064	Om008G336220	g51622
OG0001064	Om006G254930	g19204
OG0001065	Om008G335950	g37200
OG0001065	Om006G254630	g2350
OG0001066	Om008G335940	g51631, g38065
OG0001066	Om006G254620	g2349, g19195
OG0001067	Om004G132270	g44345, g46495
OG0001067	Om005G197660	g49979, g31659
OG0001068	Om004G142650	g44609, g45995
OG0001069	Om004G138890	g46181
OG0001069	Om005G201270	g50084
OG0001070	Om002G055400, Om002G084080	g32197
OG0001071	Om005G194160, Om001G020980	g31500
OG0001071	Om005G194150	g31501, g25931
OG0001072	Om006G261020, Om006G238440	g19445
OG0001073	Om007G290400	g6899, g13299
OG0001074	Om004G138580, Om004G138590, Om002G062590, Om002G062600	g24702, g26730, g25999, g25125, g34268
OG0001075	Om003G094180, Om002G061260	g13240, g12117, g12118
OG0001084	Om002G088350	g13849
OG0001084	Om001G022740	g47674
OG0001085	Om002G087420	g13898
OG0001086	Om001G030820	g23182, g18153
OG0001087	Om001G033030	g18215
OG0001088	Om006G270910, Om006G270920	g10457
OG0001089	Om006G270670	g16485
OG0001089	Om003G100560	g10400
OG0001091	Om006G261270	g2682, g19439
OG0001091	Om003G111530	g1352
OG0001092	Om003G117920	g1033
OG0001092	Om004G169810	g5587
OG0001093	Om006G241070	g41427, g650
OG0001093	Om004G162590	g5323
OG0001094	Om004G166070	g29524
OG0001094	Om006G232040	g164
OG0001095	Om003G104930, Om003G098310	g24918
OG0001096	Om003G121440	g2044
OG0001096	Om008G327170	g52024
OG0001097	Om003G127180, Om003G098920	g1242
OG0001098	Om006G231290	g123
OG0001099	Om004G158290	g25399
OG0001100	Om005G182670	g49491
OG0001101	Om007G301060	g45664
OG0001101	Om008G356620	g13606
OG0001102	Om002G043570	g7885
OG0001102	Om007G299380	g29235
OG0001103	Om007G302690	g10167
OG0001104	Om002G046780, Om007G293310	g12579, g7735
OG0001105	Om004G130780	g46568
OG0001105	Om005G196580	g49952, g27323
OG0001106	Om005G197880	g49982, g31674
OG0001106	Om006G270430	g46483
OG0001107	Om005G199420	g50019, g31737
OG0001107	Om004G141690	g46054
OG0001108	Om004G139030, Om004G139050, Om004G139020	g44509
OG0001109	Om004G134660	g46369
OG0001109	Om005G204170	g50209, g27495
OG0001110	Om004G144960	g32116
OG0001111	Om005G212400	g41690, g44903
OG0001111	Om006G235930	g50412
OG0001112	Om005G201500, Om005G201320	g4581
OG0001114	Om001G014630, Om004G153880	g26057, g29675, g26080, g14752, g8695
OG0001115	Om004G142580	g45996
OG0001115	Om005G198490	g31697
OG0001116	Om003G095740	g28033
OG0001116	Om002G069120	g6688
OG0001117	Om003G101000, Om003G101110	g24426
OG0001117	Om003G100990, Om006G262870	g24429
OG0001120	Om001G035460	g22964, g47945
OG0001121	Om003G116500, Om003G116510	g39398
OG0001122	Om001G029970, Om005G199250	g31729
OG0001124	Om002G086830	g5968
OG0001124	Om001G019470	g17104, g23657, g47621
OG0001125	Om007G292200	g45025, g32527
OG0001125	Om008G338370	g51533
OG0001126	Om001G006460	g44067
OG0001127	Om005G194820	g31536
OG0001127	Om006G274830	g10732
OG0001128	Om005G193420	g31465, g49877
OG0001129	Om006G269590	g10382
OG0001130	Om006G268210	g10319, g16265
OG0001131	Om006G249570	g39310
OG0001132	Om004G174860	g29844, g5762
OG0001132	Om002G052350	g7476
OG0001133	Om001G018910, Om001G014980, Om003G117020	g17111, g47606, g1001
OG0001134	Om004G161390	g5272, g5271, g45622, g29355
OG0001135	Om004G166180	g29536
OG0001136	Om001G000980	g47242
OG0001136	Om008G361480	g40650
OG0001137	Om008G358120	g10993
OG0001137	Om001G003870	g17436
OG0001138	Om001G008770, Om005G215100	g23966
OG0001138	Om002G043320	g41700, g28050
OG0001138	Om008G353710	g40427
OG0001140	Om001G035650	g22956, g13993
OG0001141	Om006G251500, Om006G266990	g11423, g2867
OG0001142	Om002G070970	g6574
OG0001142	Om003G102330	g11806
OG0001143	Om008G322550	g37585, g52233
OG0001143	Om003G125560	g1906
OG0001144	Om008G323400	g37547
OG0001145	Om005G211970	g10918
OG0001146	Om008G327790	g37399
OG0001146	Om002G053170	g7437
OG0001147	Om006G241130	g652
OG0001148	Om004G166470, Om006G232850	g220
OG0001149	Om006G257580	g2491, g19321
OG0001149	Om006G229310	g19632
OG0001150	Om007G298860	g29202
OG0001150	Om002G043860	g7865
OG0001151	Om002G049430	g12476
OG0001151	Om007G303840	g10202
OG0001152	Om006G250520	g19032
OG0001152	Om008G329540	g51912
OG0001153	Om006G255540	g2407
OG0001153	Om008G337320	g38034
OG0001154	Om004G137780	g46190
OG0001155	Om005G202350	g50128
OG0001156	Om004G143890	g50299, g32096
OG0001156	Om005G207750	g45854, g35995, g22228, g22334, g35994
OG0001157	Om005G190350, Om005G190370, Om005G190400, Om005G190380	g31315
OG0001157	Om005G190210	g27152
OG0001158	Om005G207150	g35857, g44683
OG0001158	Om004G143390	g32060
OG0001159	Om004G135720	g44389
OG0001159	Om004G135760, Om004G135740	g44390
OG0001160	Om003G090340	g36717
OG0001161	Om002G069190	g6686
OG0001161	Om003G095640	g36513, g54219
OG0001163	Om008G323540	g3216, g3236
OG0001163	Om008G350030	g28291
OG0001166	Om006G239120	g38518
OG0001169	Om003G115820	g39433, g28457
OG0001170	Om007G293670	g10143
OG0001171	Om005G221900	g40989
OG0001172	Om006G273870	g10660
OG0001172	Om005G193820	g31481
OG0001173	Om001G018260	g17141
OG0001173	Om005G228160	g17145
OG0001174	Om002G053840	g12357
OG0001175	Om003G118430	g1055
OG0001176	Om006G231760	g151, g9715
OG0001176	Om004G165430	g29498, g45539
OG0001177	Om004G168130, Om004G168100	g5524, g5527
OG0001178	Om004G168330	g29609
OG0001179	Om001G002710	g24168
OG0001180	Om001G004420	g47317
OG0001180	Om008G357690	g40540
OG0001181	Om001G007890	g47399
OG0001181	Om008G354480	g40455
OG0001182	Om008G340520	g51414
OG0001182	Om007G289260	g32375
OG0001183	Om001G035210	g47934
OG0001183	Om002G084370	g6051, g14007
OG0001184	Om003G127310	g1810
OG0001184	Om008G320610	g50789
OG0001185	Om003G126820	g1835
OG0001185	Om008G321040	g37654
OG0001187	Om007G279310	g39793
OG0001187	Om005G182570	g26954
OG0001188	Om004G170230	g5594
OG0001188	Om007G281960	g39949
OG0001189	Om002G042490	g7940
OG0001189	Om007G301350	g5188
OG0001191	Om007G293620	g10149
OG0001191	Om002G047290	g12854, g12562
OG0001192	Om003G100360	g17606
OG0001192	Om002G049400	g12941, g12477
OG0001193	Om006G251660	g2189
OG0001193	Om008G331060	g51812, g37332
OG0001194	Om006G251130	g2180
OG0001194	Om002G050930	g12991, g7548
OG0001195	Om005G198660	g31703
OG0001196	Om004G138870	g46180
OG0001196	Om005G201250	g27431, g50082
OG0001197	Om006G253160	g19149
OG0001198	Om007G294050	g10125
OG0001200	Om006G241520	g672
OG0001201	Om006G238190	g499
OG0001201	Om006G261620	g2696, g19430
OG0001202	Om006G259060	g2591
OG0001203	Om003G119970	g3287
OG0001205	Om002G060410	g7109, g13232
OG0001207	Om003G100370	g24396, g17607
OG0001207	Om002G063290	g12065
OG0001208	Om003G098430	g13325
OG0001208	Om002G065980	g6854, g11987
OG0001209	Om002G066390	g11976, g6831
OG0001210	Om002G067480	g6759
OG0001214	Om002G076570	g26586
OG0001217	Om008G355510	g17661
