Orthogroup	Odontarrhena_muralis	Euclidium_syriacum
OG0000041	Om002G075010, Om001G018420	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000044	Om007G314900	ESY5_g2589_DN3_SP0_c0.t1
OG0000045	Om003G112290	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000045	Om001G031280	ESY23_g31_DN2_SP0_c0.t1, ESY5_g789_DN1_SP0_c0.t1
OG0000046	Om006G241220	ESY1_g11993_DN3_SP0_c13.t1
OG0000047	Om006G238470, Om006G268590, Om001G028180, Om007G295630, Om002G077780, Om005G225040, Om001G020530, Om002G043900, Om002G074710, Om003G111370, Om003G113410, Om007G295670, Om002G084660, Om008G332290, Om006G263590, Om004G160120, Om007G314310, Om002G071890, Om005G222620	ESY3_g28898_DN3_SP0_c0.t1
OG0000050	Om007G308990	ESY1_g11365_DN3_SP0_c59.t1, ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1
OG0000050	Om002G076710, Om007G299220, Om002G077490	ESY17_g40168_DN2_SP0_c0.t1
OG0000050	Om006G268560	ESY14_g20664_DN3_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1
OG0000050	Om008G341390, Om005G201890, Om005G219290	ESY1_g9427_DN1_SP0_c0.t1, ESY1_g8354_DN1_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY9_g44156_DN3_SP0_c0.t1, ESY6_g47209_DN3_SP0_c0.t1, ESY3_g28537_DN2_SP0_c0.t1
OG0000052	Om005G180640	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	Om008G354070, Om008G326640	ESY5_g5127_DN3_SP0_c0.t1
OG0000052	Om008G326600	ESY12_g51256_DN3_SP0_c0.t1
OG0000052	Om008G326650	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	Om008G326590	ESY5_g2706_DN3_SP0_c11.t1
OG0000052	Om008G326540	ESY5_g2705_DN3_SP0_c0.t1
OG0000053	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1
OG0000054	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320	ESY18_g63621_DN3_SP0_c0.t1
OG0000055	Om001G031910	ESY2_g33665_DN2_SP0_c0.t1
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	ESY2_g33762_DN3_SP0_c0.t1, ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1
OG0000056	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970	ESY2_g37912_DN2_SP0_c0.t1
OG0000056	Om008G340700	ESY4_g23383_DN2_SP0_c0.t1
OG0000056	Om005G209160, Om002G073230, Om001G006930, Om005G212260	ESY9_g44874_DN3_SP0_c0.t1
OG0000058	Om006G269070, Om006G268950, Om004G151670	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000058	Om006G270860, Om002G082880	ESY6_g47475_DN2_SP0_c0.t1, ESY3_g28012_DN1_SP0_c0.t1, ESY9_g45113_DN2_SP0_c0.t1
OG0000058	Om006G270870	ESY11_g53171_DN2_SP0_c0.t1
OG0000058	Om008G335110, Om007G318000, Om007G289630, Om007G296230	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1
OG0000058	Om002G075570	ESY10_g14358_DN2_SP0_c0.t1, ESY9_g45116_DN2_SP0_c0.t1, ESY4_g21923_DN3_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY16_g61681_DN2_SP0_c0.t1
OG0000061	Om003G100910	ESY4_g22453_DN2_SP0_c7.t1, ESY3_g29563_DN2_SP0_c0.t1
OG0000061	Om006G263600	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000061	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1
OG0000061	Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410	ESY3_g28672_DN3_SP0_c0.t1, ESY6_g48601_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1
OG0000061	Om001G020570, Om005G225030, Om004G146510, Om001G027660	ESY17_g40277_DN2_SP0_c0.t1
OG0000062	Om002G057790, Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	Om006G254290	ESY6_g48808_DN3_SP0_c0.t1
OG0000063	Om005G185480	ESY1_g11058_DN3_SP0_c0.t1
OG0000063	Om005G185660	ESY6_g48855_DN3_SP0_c0.t1, ESY1_g11061_DN3_SP0_c0.t1
OG0000063	Om007G283280	ESY6_g48809_DN3_SP0_c0.t1
OG0000064	Om001G041080	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	Om008G354180, Om008G354110, Om008G354140, Om008G354160, Om003G121290, Om003G121300	ESY4_g25261_DN2_SP0_c0.t1
OG0000064	Om004G157800	ESY4_g26296_DN3_SP0_c0.t1, ESY4_g26223_DN1_SP0_c0.t1, ESY1_g12221_DN1_SP0_c0.t1
OG0000064	Om001G033560	ESY2_g34030_DN3_SP0_c0.t1
OG0000065	Om006G267840, Om005G217710, Om004G149910, Om001G017300, Om005G217720, Om006G268440, Om005G217730, Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120, Om004G155340, Om007G307990, Om006G265440, Om002G078380, Om005G203450, Om007G309700, Om010G364600, Om010G364610	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	Om004G164550	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	Om008G337830, Om006G231860	ESY7_g18023_DN3_SP0_c0.t1
OG0000066	Om004G165570	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	Om001G023220	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000068	Om006G264170, Om007G304230, Om004G149200, Om004G147110, Om002G079150, Om007G308160, Om005G212100	ESY9_g44160_DN2_SP0_c0.t1
OG0000068	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940	ESY10_g13892_DN3_SP0_c0.t1
OG0000069	Om005G212060, Om005G223000	ESY4_g26580_DN3_SP0_c0.t1
OG0000069	Om005G212160	ESY4_g24685_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1, ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1
OG0000070	Om008G344650	ESY1_g9010_DN1_SP0_c0.t1
OG0000071	Om008G360280, Om004G166900	ESY22_g40814_DN2_SP0_c0.t1, ESY3_g29783_DN3_SP0_c6.t1
OG0000071	Om001G039370	ESY4_g24957_DN2_SP0_c25.t1
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000072	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200	ESY9_g44457_DN2_SP0_c0.t1
OG0000074	Om004G144240	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1
OG0000074	Om004G144060	ESY5_g5163_DN3_SP0_c0.t1, ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1
OG0000074	Om004G144100	ESY11_g54934_DN3_SP0_c0.t1
OG0000074	Om004G144220, Om004G144230	ESY11_g54277_DN1_SP0_c0.t1
OG0000074	Om004G143840	ESY5_g2024_DN3_SP0_c0.t1
OG0000075	Om008G342390, Om001G025890, Om001G025920	ESY3_g31328_DN1_SP0_c0.t1
OG0000076	Om006G242520	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000077	Om001G040170	ESY4_g26259_DN2_SP0_c32.t1
OG0000077	Om001G039420	ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1
OG0000077	Om001G033890	ESY12_g52268_DN2_SP0_c19.t1
OG0000077	Om005G195310	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1
OG0000078	Om007G305480, Om008G337420, Om004G148580, Om008G342420, Om007G305860	ESY13_g56185_DN2_SP0_c0.t1
OG0000078	Om007G309170	ESY11_g52951_DN3_SP0_c0.t1, ESY4_g21794_DN3_SP0_c0.t1, ESY4_g23139_DN3_SP0_c0.t1, ESY1_g9594_DN2_SP0_c0.t1, ESY22_g40730_DN3_SP0_c0.t1
OG0000078	Om005G215800	ESY14_g21238_DN3_SP0_c0.t1
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	Om003G096480, Om003G096490	ESY2_g37390_DN1_SP0_c0.t1, ESY8_g58410_DN2_SP0_c0.t1
OG0000081	Om003G118960, Om005G227240	ESY5_g4001_DN3_SP0_c14.t1, ESY6_g48422_DN3_SP0_c0.t1
OG0000082	Om006G274800	ESY21_g55671_DN3_SP0_c0.t1
OG0000082	Om006G275030	ESY21_g55672_DN3_SP0_c0.t1
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000086	Om004G163220	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	Om006G238380	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	Om007G282390	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	Om004G162490	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	Om008G355890	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	Om001G006430	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	Om004G137360	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Om003G098630, Om003G099040	ESY2_g37886_DN2_SP0_c0.t1, ESY2_g37816_DN3_SP0_c0.t1
OG0000090	Om003G124490, Om003G124410, Om003G124460	ESY1_g11986_DN3_SP0_c85.t1, ESY16_g62121_DN3_SP0_c87.t1, ESY2_g38808_DN1_SP0_c0.t1
OG0000090	Om002G055690, Om003G124430	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	Om006G274160	ESY3_g32095_DN2_SP0_c41.t1
OG0000091	Om006G264850	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1
OG0000093	Om003G122050	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	Om001G033140	ESY1_g11458_DN3_SP0_c0.t1
OG0000093	Om003G122020	ESY1_g11463_DN3_SP0_c0.t1
OG0000093	Om003G121760	ESY1_g11516_DN3_SP0_c0.t1
