Orthogroup	Odontarrhena_muralis	Euclidium_syriacum
OG0000416	Om005G227300, Om004G176330, Om007G280020, Om007G280180	ESY8_g58421_DN3_SP0_c0.t1, ESY8_g58425_DN3_SP0_c0.t1, ESY8_g58404_DN2_SP0_c0.t1, ESY8_g58422_DN2_SP0_c0.t1
OG0000416	Om005G182990	ESY5_g4787_DN3_SP0_c0.t1
OG0000417	Om002G073380	ESY9_g45394_DN3_SP0_c0.t1
OG0000417	Om002G073370, Om002G084920	ESY2_g34716_DN3_SP0_c0.t1
OG0000419	Om001G040100	ESY2_g33318_DN2_SP0_c34.t1, ESY4_g25945_DN2_SP0_c0.t1, ESY4_g26093_DN2_SP0_c0.t1, ESY4_g26086_DN2_SP0_c33.t1, ESY4_g26092_DN3_SP0_c0.t1
OG0000420	Om003G125710	ESY11_g54955_DN3_SP0_c0.t1
OG0000420	Om001G032410	ESY1_g12505_DN3_SP0_c0.t1
OG0000421	Om001G026550, Om001G026540, Om007G294470, Om001G013810	ESY8_g60902_DN2_SP0_c0.t1, ESY8_g60904_DN3_SP1_c0.t1, ESY8_g60901_DN3_SP0_c0.t1, ESY8_g60900_DN3_SP7_c0.t1
OG0000422	Om005G187620, Om005G187610	ESY5_g3308_DN3_SP0_c10.t1, ESY5_g3309_DN3_SP0_c17.t1
OG0000422	Om005G187660	ESY5_g3311_DN3_SP0_c17.t1
OG0000423	Om004G142290	ESY2_g35847_DN3_SP0_c0.t1, ESY2_g35849_DN3_SP0_c0.t1, ESY2_g35846_DN3_SP8_c0.t1
OG0000423	Om003G091160	ESY2_g36242_DN3_SP8_c0.t1
OG0000423	Om002G058490	ESY3_g30302_DN3_SP8_c0.t1
OG0000424	Om002G075860	ESY8_g58232_DN1_SP0_c0.t1
OG0000424	Om003G090900, Om003G090070, Om003G090080, Om003G090090	ESY4_g24369_DN3_SP0_c0.t1
OG0000424	Om007G293140	ESY8_g58233_DN3_SP0_c0.t1
OG0000424	Om004G152640, Om003G094240	ESY8_g58234_DN3_SP0_c0.t1
OG0000424	Om007G293170	ESY8_g58253_DN3_SP0_c0.t1
OG0000425	Om003G093760	ESY2_g36979_DN3_SP0_c0.t1
OG0000427	Om007G317740, Om002G047720	ESY2_g36131_DN3_SP0_c0.t1
OG0000427	Om001G021740, Om004G132930	ESY2_g36132_DN3_SP0_c0.t1, ESY2_g38245_DN3_SP0_c0.t1
OG0000427	Om004G132940	ESY2_g36125_DN3_SP0_c0.t1
OG0000429	Om004G164170	ESY7_g18153_DN3_SP0_c0.t1
OG0000429	Om001G029270	ESY4_g25234_DN2_SP0_c0.t1
OG0000430	Om002G082610, Om002G066320	ESY11_g53858_DN2_SP0_c0.t1
OG0000430	Om001G041290	ESY4_g25543_DN3_SP0_c0.t1, ESY5_g5132_DN3_SP0_c0.t1, ESY6_g50662_DN3_SP0_c0.t1, ESY4_g26893_DN3_SP0_c0.t1
OG0000431	Om005G219170	ESY2_g34094_DN3_SP3_c0.t1
OG0000431	Om005G188470	ESY5_g3403_DN3_SP0_c0.t1
OG0000431	Om005G188450	ESY5_g3402_DN3_SP0_c0.t1
OG0000432	Om003G113900	ESY6_g46873_DN3_SP7_c0.t1
OG0000432	Om003G118170, Om005G204990	ESY6_g48142_DN3_SP8_c0.t1, ESY9_g45519_DN2_SP0_c0.t1
OG0000435	Om005G200630, Om004G163840, Om005G200590, Om004G152060, Om005G200620, Om004G152070, Om005G200650, Om006G242990, Om005G200600	ESY5_g4155_DN3_SP0_c0.t1, ESY1_g12247_DN3_SP0_c0.t1
OG0000436	Om006G250310	ESY6_g48291_DN3_SP8_c0.t1
OG0000436	Om002G087440	ESY11_g54674_DN2_SP6_c0.t1
OG0000437	Om001G012410	ESY14_g20333_DN3_SP0_c0.t1, ESY1_g10421_DN3_SP0_c0.t1
OG0000439	Om005G183450	ESY5_g4725_DN3_SP7_c0.t1
OG0000439	Om003G123740	ESY1_g11207_DN3_SP8_c0.t1
OG0000439	Om007G280530	ESY8_g58480_DN3_SP8_c0.t1
OG0000440	Om004G173680	ESY16_g62420_DN3_SP0_c0.t1, ESY7_g17161_DN3_SP0_c19.t1
OG0000440	Om006G261750, Om006G261700	ESY3_g32303_DN3_SP0_c0.t1
OG0000441	Om002G062560, Om002G062550	ESY3_g29948_DN3_SP0_c14.t1, ESY3_g29953_DN3_SP0_c0.t1
OG0000441	Om002G062430	ESY3_g29961_DN3_SP0_c0.t1
OG0000441	Om002G062440	ESY3_g29960_DN3_SP0_c0.t1
OG0000441	Om002G062460	ESY3_g29954_DN3_SP0_c0.t1
OG0000442	Om001G041180	ESY4_g26869_DN3_SP0_c0.t1
OG0000442	Om008G323220	ESY8_g58165_DN3_SP0_c0.t1, ESY20_g12886_DN3_SP0_c0.t1
OG0000443	Om003G118670, Om004G142810, Om004G142760	ESY2_g35796_DN3_SP0_c0.t1
OG0000446	Om006G235370	ESY6_g49345_DN3_SP8_c0.t1
OG0000446	Om006G274450	ESY10_g14351_DN3_SP8_c0.t1
OG0000446	Om005G208660	ESY2_g35460_DN3_SP7_c0.t1
OG0000447	Om002G060230	ESY3_g30520_DN3_SP8_c0.t1
OG0000447	Om007G288920	ESY4_g22928_DN3_SP8_c0.t1
OG0000448	Om008G361730, Om008G361700, Om008G361720	ESY10_g14922_DN2_SP0_c18.t1
OG0000449	Om006G245560	ESY6_g48849_DN3_SP8_c0.t1
OG0000449	Om006G267270	ESY1_g7957_DN2_SP7_c0.t1
OG0000449	Om006G245570	ESY6_g48847_DN3_SP5_c0.t1
OG0000452	Om001G025830, Om001G025870, Om004G163540, Om001G025930, Om001G025860, Om001G025910	ESY4_g24575_DN3_SP0_c0.t1, ESY4_g24579_DN3_SP2_c0.t1, ESY4_g24581_DN3_SP3_c0.t1, ESY5_g3923_DN3_SP4_c0.t1
OG0000454	Om003G113950, Om003G113940, Om003G113960	ESY6_g46890_DN3_SP2_c10.t1, ESY6_g46878_DN3_SP2_c11.t1
OG0000456	Om001G027150	ESY6_g47599_DN1_SP0_c0.t1
OG0000456	Om003G123130, Om004G170050, Om008G350270, Om004G170060, Om008G330680	ESY3_g29337_DN2_SP0_c0.t1, ESY3_g29336_DN2_SP0_c0.t1, ESY7_g18224_DN2_SP0_c0.t1, ESY7_g18221_DN1_SP0_c0.t1, ESY7_g18727_DN3_SP0_c0.t1, ESY7_g18726_DN3_SP0_c0.t1
OG0000459	Om001G013470, Om001G006630	ESY9_g43397_DN2_SP0_c0.t1
OG0000460	Om001G008580	ESY2_g33961_DN3_SP0_c12.t1
OG0000460	Om005G220920	ESY12_g52272_DN3_SP0_c13.t1, ESY12_g51998_DN3_SP0_c17.t1, ESY12_g52271_DN3_SP0_c16.t1, ESY12_g51999_DN1_SP0_c0.t1
OG0000461	Om008G335120, Om008G335130	ESY9_g45026_DN1_SP0_c0.t1
OG0000465	Om004G158510	ESY8_g61188_DN2_SP0_c0.t1
OG0000466	Om004G174390	ESY7_g19194_DN3_SP0_c0.t1, ESY7_g19321_DN3_SP0_c0.t1, ESY7_g19322_DN3_SP0_c0.t1, ESY7_g19324_DN3_SP0_c0.t1, ESY7_g19323_DN3_SP0_c0.t1, ESY7_g19319_DN2_SP0_c0.t1
OG0000466	Om005G209820	ESY2_g35345_DN2_SP0_c0.t1
OG0000467	Om003G122490, Om001G002790, Om008G358800	ESY9_g42733_DN3_SP8_c0.t1, ESY1_g11394_DN3_SP3_c0.t1, ESY7_g16843_DN3_SP0_c0.t1
OG0000468	Om006G252980	ESY1_g10877_DN3_SP0_c0.t1
OG0000468	Om007G278880	ESY20_g12737_DN3_SP5_c0.t1
OG0000468	Om008G332830	ESY12_g51958_DN3_SP0_c0.t1
OG0000471	Om007G289330, Om007G289290	ESY4_g25329_DN3_SP0_c0.t1, ESY4_g25330_DN2_SP0_c0.t1
OG0000472	Om007G316650, Om007G316670	ESY8_g60350_DN3_SP0_c0.t1
OG0000473	Om008G319530	ESY12_g52213_DN3_SP0_c0.t1, ESY1_g12458_DN3_SP0_c0.t1
OG0000473	Om007G316920	ESY8_g60328_DN2_SP0_c0.t1
OG0000474	Om006G261160, Om006G238310	ESY1_g9327_DN3_SP3_c0.t1, ESY8_g59482_DN3_SP6_c18.t1, ESY4_g24728_DN3_SP5_c0.t1
OG0000477	Om004G169410, Om002G083900, Om006G247780, Om008G334030	ESY6_g48586_DN3_SP7_c0.t1
OG0000478	Om002G080510, Om002G080540	ESY3_g31278_DN1_SP0_c0.t1
OG0000478	Om002G080550	ESY2_g36390_DN2_SP0_c0.t1
OG0000478	Om002G083030	ESY11_g53917_DN1_SP0_c0.t1, ESY11_g53143_DN3_SP0_c0.t1
OG0000478	Om002G082030, Om002G082020, Om002G083000, Om002G083010	ESY3_g30776_DN3_SP0_c0.t1
OG0000481	Om005G223420, Om002G062340	ESY2_g33815_DN3_SP0_c0.t1
OG0000481	Om007G293590	ESY10_g15004_DN3_SP0_c0.t1
OG0000482	Om005G212960, Om005G212950	ESY8_g61081_DN3_SP7_c0.t1
OG0000483	Om003G117450	ESY6_g48034_DN1_SP0_c0.t1, ESY6_g48031_DN1_SP0_c0.t1
OG0000484	Om001G035850	ESY4_g26162_DN3_SP0_c19.t1
OG0000486	Om007G293910	ESY9_g42636_DN2_SP0_c0.t1
OG0000486	Om007G315930, Om007G316020, Om002G055740, Om002G055140, Om002G077700, Om001G017990	ESY9_g42637_DN2_SP0_c0.t1
OG0000487	Om002G046190, Om005G181670, Om007G278330	ESY3_g32029_DN3_SP7_c0.t1
OG0000488	Om006G246280, Om008G324620, Om006G256140, Om004G176270, Om006G256050, Om006G256090, Om006G256070, Om006G256080	ESY1_g10404_DN3_SP0_c0.t1
OG0000489	Om002G047940, Om002G047950, Om002G047930, Om002G047960	ESY3_g31664_DN3_SP0_c0.t1
OG0000489	Om008G324240, Om008G324170	ESY8_g58223_DN3_SP0_c0.t1, ESY8_g58220_DN3_SP0_c0.t1
OG0000490	Om005G178960	ESY11_g54720_DN3_SP0_c0.t1
OG0000491	Om004G137480, Om005G213920, Om001G003620, Om001G003610	ESY10_g14443_DN3_SP0_c14.t1, ESY2_g33417_DN3_SP0_c0.t1, ESY2_g33374_DN3_SP0_c37.t1
OG0000491	Om003G104850	ESY10_g15420_DN3_SP0_c35.t1
OG0000492	Om003G118980	ESY6_g50528_DN2_SP0_c0.t1, ESY6_g50531_DN3_SP0_c0.t1, ESY6_g50530_DN3_SP0_c0.t1, ESY6_g48233_DN2_SP0_c52.t1
OG0000495	Om006G264590, Om006G264500	ESY20_g12819_DN3_SP0_c0.t1, ESY20_g12817_DN3_SP0_c0.t1
OG0000497	Om004G146680	ESY18_g63538_DN2_SP0_c0.t1
OG0000497	Om008G341800	ESY8_g59981_DN2_SP0_c0.t1
OG0000498	Om003G114860	ESY6_g47385_DN3_SP1_c0.t1
OG0000498	Om008G361860, Om001G021660	ESY4_g25292_DN3_SP0_c0.t1, ESY1_g11203_DN2_SP0_c0.t1
OG0000499	Om001G002040, Om002G075590, Om004G133290, Om002G059420, Om003G092390	ESY9_g42638_DN3_SP0_c48.t1
OG0000500	Om008G357480, Om008G357420, Om008G357470	ESY10_g14100_DN1_SP0_c0.t1
OG0000501	Om007G291470	ESY6_g48848_DN3_SP3_c0.t1
OG0000501	Om002G068600	ESY8_g58196_DN3_SP0_c0.t1
OG0000501	Om001G008590	ESY1_g11833_DN3_SP0_c0.t1
OG0000504	Om001G012750, Om002G052110, Om008G332030	ESY3_g30950_DN3_SP8_c0.t1
OG0000505	Om006G239860	ESY16_g61782_DN3_SP0_c0.t1
OG0000505	Om006G239890	ESY3_g32286_DN3_SP0_c0.t1, ESY3_g32287_DN3_SP0_c0.t1
OG0000506	Om004G170590, Om005G205810, Om005G205820	ESY2_g35738_DN3_SP0_c0.t1
OG0000507	Om005G228600	ESY2_g35311_DN2_SP0_c0.t1
OG0000508	Om008G332530	ESY2_g34438_DN3_SP0_c0.t1
OG0000509	Om003G103700	ESY16_g61488_DN2_SP0_c0.t1, ESY2_g37229_DN2_SP0_c0.t1, ESY2_g37223_DN3_SP0_c0.t1
OG0000510	Om005G220900, Om005G220910, Om005G222650, Om005G222240, Om005G222350, Om005G222330, Om005G222290, Om005G222310, Om005G222270, Om005G222590, Om005G222560	ESY2_g33977_DN3_SP0_c0.t1
OG0000511	Om003G101890	ESY22_g41107_DN3_SP0_c0.t1
OG0000511	Om005G224850	ESY2_g33664_DN2_SP0_c0.t1
OG0000512	Om001G010440	ESY6_g50624_DN3_SP0_c0.t1
OG0000513	Om008G335560	ESY1_g11085_DN3_SP8_c0.t1
OG0000513	Om006G267240	ESY1_g8009_DN3_SP8_c0.t1
OG0000513	Om006G245660	ESY6_g48831_DN3_SP8_c0.t1
OG0000514	Om003G096660, Om002G068090, Om002G068080	ESY16_g61590_DN3_SP0_c0.t1
OG0000514	Om002G068070	ESY3_g29238_DN3_SP0_c0.t1
OG0000515	Om003G089500	ESY7_g18774_DN3_SP0_c21.t1, ESY7_g18773_DN3_SP0_c24.t1
OG0000515	Om005G207990, Om003G089490	ESY2_g36420_DN3_SP0_c20.t1, ESY2_g36419_DN3_SP0_c18.t1
OG0000516	Om001G024310, Om001G024300	ESY3_g32295_DN3_SP0_c0.t1
OG0000516	Om002G081900	ESY5_g4059_DN3_SP0_c0.t1, ESY20_g12906_DN2_SP0_c0.t1
OG0000520	Om007G301340	ESY1_g12225_DN3_SP8_c0.t1
OG0000521	Om005G204880	ESY5_g2311_DN3_SP1_c0.t1
OG0000522	Om001G011800, Om001G011810, Om008G348020, Om008G348080, Om008G348070	ESY18_g63473_DN3_SP0_c46.t1
OG0000523	Om008G320780, Om008G320790	ESY12_g51685_DN1_SP0_c0.t1
OG0000523	Om008G320770	ESY12_g51683_DN2_SP0_c0.t1
OG0000523	Om001G027610	ESY1_g12350_DN1_SP0_c0.t1
OG0000523	Om003G127080	ESY1_g12352_DN1_SP0_c0.t1, ESY1_g12353_DN1_SP0_c0.t1
OG0000524	Om002G050640	ESY3_g30721_DN3_SP0_c0.t1, ESY3_g30720_DN3_SP0_c0.t1
OG0000524	Om002G050630	ESY3_g30718_DN3_SP1_c0.t1, ESY2_g33833_DN3_SP0_c0.t1, ESY2_g33831_DN3_SP0_c0.t1
OG0000525	Om004G133010	ESY2_g36118_DN3_SP8_c0.t1
OG0000525	Om002G059840	ESY3_g30456_DN3_SP8_c0.t1
OG0000525	Om003G092800	ESY2_g36878_DN3_SP8_c0.t1
OG0000526	Om006G263940	ESY1_g8623_DN3_SP0_c0.t1, ESY7_g18664_DN3_SP0_c3.t1
OG0000526	Om006G263950	ESY1_g8619_DN3_SP0_c0.t1
OG0000529	Om006G243980	ESY6_g49015_DN3_SP0_c0.t1
OG0000529	Om008G331390, Om008G331400	ESY6_g48626_DN3_SP0_c0.t1
OG0000529	Om006G244040, Om006G244010	ESY6_g49014_DN3_SP0_c0.t1
OG0000532	Om001G040120	ESY4_g26094_DN2_SP0_c0.t1, ESY4_g26090_DN1_SP0_c78.t1
OG0000532	Om001G034110	ESY8_g60765_DN1_SP0_c0.t1
OG0000532	Om003G115390	ESY4_g26742_DN3_SP0_c0.t1
OG0000532	Om001G037010	ESY5_g3398_DN1_SP0_c0.t1, ESY4_g25991_DN1_SP0_c0.t1
OG0000532	Om001G040190	ESY7_g18970_DN2_SP0_c0.t1
OG0000533	Om004G155930	ESY8_g59823_DN3_SP8_c0.t1
OG0000533	Om001G032890, Om002G082400	ESY4_g26800_DN3_SP1_c0.t1
OG0000534	Om005G224370	ESY2_g33731_DN1_SP0_c0.t1, ESY2_g38573_DN3_SP0_c0.t1, ESY2_g33732_DN3_SP0_c0.t1, ESY17_g39970_DN3_SP0_c0.t1, ESY17_g39962_DN3_SP0_c0.t1, ESY11_g54270_DN3_SP0_c0.t1
OG0000535	Om005G222110, Om006G274720	ESY10_g14449_DN3_SP3_c0.t1
OG0000535	Om008G333800	ESY10_g14450_DN2_SP1_c0.t1
OG0000537	Om007G302270	ESY8_g58292_DN3_SP0_c0.t1
OG0000537	Om002G050220	ESY3_g31368_DN3_SP0_c0.t1
OG0000538	Om008G324960	ESY12_g52110_DN3_SP0_c0.t1, ESY12_g52204_DN3_SP0_c0.t1, ESY9_g45374_DN3_SP0_c0.t1, ESY12_g52200_DN3_SP0_c0.t1, ESY12_g52201_DN3_SP0_c0.t1
OG0000538	Om008G324980	ESY12_g52202_DN3_SP0_c0.t1
OG0000539	Om006G228950	ESY6_g50766_DN3_SP2_c0.t1
OG0000541	Om007G282590, Om007G282620	ESY7_g17859_DN3_SP0_c0.t1
OG0000542	Om007G298840	ESY7_g17353_DN3_SP8_c0.t1
OG0000542	Om003G099070	ESY8_g59558_DN2_SP0_c0.t1, ESY2_g37914_DN3_SP7_c0.t1
OG0000542	Om002G043870	ESY3_g32473_DN3_SP6_c0.t1
OG0000543	Om001G016240, Om001G004280, Om001G013170	ESY7_g16489_DN3_SP0_c0.t1
OG0000544	Om005G182550, Om005G182520	ESY5_g4850_DN3_SP0_c0.t1
OG0000544	Om005G182540	ESY5_g4849_DN3_SP0_c0.t1
OG0000545	Om004G138860, Om004G138840, Om004G138850	ESY2_g35972_DN3_SP0_c0.t1, ESY5_g4436_DN2_SP0_c0.t1, ESY5_g4438_DN3_SP0_c0.t1
OG0000545	Om004G138820, Om004G138830	ESY2_g33525_DN2_SP0_c0.t1, ESY5_g4437_DN2_SP0_c0.t1, ESY5_g4435_DN3_SP0_c0.t1
OG0000546	Om002G083470	ESY11_g53953_DN3_SP0_c0.t1
OG0000547	Om001G038480, Om001G038530	ESY11_g53818_DN2_SP0_c0.t1
OG0000547	Om007G313700, Om001G038490	ESY12_g51847_DN2_SP0_c0.t1
OG0000550	Om008G337580	ESY1_g10411_DN3_SP7_c0.t1
OG0000550	Om006G255770	ESY9_g44250_DN3_SP5_c0.t1
OG0000551	Om006G232640	ESY6_g50622_DN3_SP8_c0.t1
OG0000551	Om001G040480	ESY4_g26778_DN3_SP8_c0.t1
OG0000551	Om004G166290	ESY7_g17926_DN3_SP8_c0.t1
OG0000552	Om008G319960	ESY5_g2044_DN2_SP0_c0.t1
OG0000552	Om003G127880	ESY12_g51388_DN3_SP0_c0.t1
OG0000553	Om001G012580, Om001G012510, Om001G012520	ESY9_g42574_DN3_SP0_c0.t1
OG0000554	Om001G002110, Om005G222990, Om001G016570, Om008G342670, Om008G342700	ESY4_g21945_DN3_SP1_c82.t1, ESY4_g21954_DN3_SP8_c82.t1
OG0000555	Om008G352870, Om008G352880, Om001G004330	ESY20_g12883_DN3_SP0_c0.t1, ESY20_g12881_DN3_SP0_c0.t1
OG0000555	Om003G102250	ESY5_g4901_DN3_SP0_c0.t1
OG0000556	Om002G049820	ESY3_g31422_DN3_SP8_c0.t1
OG0000556	Om002G074570	ESY3_g27594_DN3_SP2_c0.t1
OG0000557	Om003G124890, Om003G124880	ESY1_g12024_DN3_SP0_c0.t1, ESY1_g12026_DN3_SP0_c0.t1
OG0000557	Om008G322970	ESY12_g52022_DN3_SP0_c0.t1
OG0000558	Om005G225770, Om008G337590, Om008G327270	ESY12_g51260_DN3_SP0_c0.t1, ESY12_g51307_DN3_SP0_c0.t1
OG0000561	Om006G232200	ESY6_g50556_DN3_SP0_c0.t1, ESY6_g50558_DN2_SP0_c0.t1
OG0000562	Om002G048170	ESY3_g31631_DN3_SP8_c0.t1
OG0000562	Om007G301050	ESY7_g17575_DN3_SP8_c0.t1
OG0000562	Om007G294310	ESY10_g15371_DN3_SP8_c0.t1
OG0000563	Om002G081700, Om002G081710, Om002G081690, Om005G196730	ESY5_g2986_DN1_SP0_c0.t1
OG0000564	Om001G028220	ESY4_g24981_DN3_SP0_c0.t1
OG0000565	Om005G208350	ESY2_g35524_DN3_SP0_c0.t1
OG0000566	Om006G242270, Om002G082780	ESY23_g19_DN2_SP0_c0.t1
OG0000566	Om006G242260	ESY6_g49318_DN3_SP0_c0.t1
OG0000567	Om002G063470, Om002G063590	ESY3_g29864_DN1_SP0_c0.t1
OG0000570	Om002G043360	ESY3_g32546_DN3_SP8_c0.t1
OG0000570	Om007G299740	ESY7_g17438_DN3_SP6_c0.t1
OG0000571	Om006G244500	ESY6_g48957_DN3_SP8_c0.t1
OG0000572	Om004G140900	ESY2_g34852_DN3_SP0_c0.t1, ESY2_g34856_DN3_SP0_c0.t1, ESY2_g34855_DN3_SP0_c0.t1
OG0000573	Om005G222710	ESY2_g33873_DN2_SP0_c0.t1
OG0000574	Om007G304240, Om004G154680, Om008G343660, Om010G364840, Om010G364850, Om010G364860, Om004G146380, Om008G323470, Om007G309360, Om007G309350, Om007G309340, Om004G146370	ESY10_g13893_DN3_SP0_c0.t1
OG0000574	Om007G306650	ESY14_g20662_DN3_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY1_g11366_DN3_SP0_c0.t1
OG0000575	Om001G031670, Om001G031700	ESY16_g61542_DN2_SP1_c0.t1
OG0000578	Om005G188980	ESY5_g3476_DN3_SP8_c0.t1
OG0000578	Om005G219910	ESY2_g34045_DN3_SP7_c0.t1
OG0000579	Om007G286810	ESY6_g46872_DN3_SP5_c0.t1
OG0000579	Om007G318320	ESY8_g60072_DN3_SP7_c0.t1
OG0000580	Om008G323800, Om008G323780, Om008G323790, Om008G323750, Om008G323810, Om008G323830	ESY9_g45376_DN3_SP0_c30.t1
OG0000580	Om008G323740	ESY2_g35832_DN3_SP0_c14.t1, ESY8_g61237_DN3_SP0_c0.t1
OG0000581	Om004G176190, Om004G176200	ESY7_g19547_DN3_SP2_c0.t1
OG0000581	Om002G051720	ESY3_g30889_DN3_SP1_c0.t1, ESY3_g30884_DN3_SP0_c0.t1, ESY3_g30887_DN3_SP0_c0.t1
OG0000582	Om006G243850	ESY6_g49026_DN3_SP8_c0.t1
OG0000582	Om007G284590	ESY8_g59035_DN3_SP6_c0.t1
OG0000583	Om005G183560	ESY5_g4712_DN2_SP0_c0.t1
OG0000583	Om005G183570	ESY5_g4711_DN1_SP0_c0.t1
OG0000584	Om007G292850	ESY8_g58182_DN3_SP0_c0.t1
OG0000584	Om001G022800, Om002G088330	ESY11_g54928_DN3_SP5_c0.t1
OG0000585	Om007G290440, Om008G340110, Om002G059620	ESY1_g5762_DN3_SP8_c0.t1
OG0000586	Om002G083380, Om002G083340, Om008G342910	ESY11_g53941_DN3_SP0_c0.t1
OG0000587	Om004G158710	ESY20_g13099_DN3_SP8_c0.t1
OG0000587	Om008G320250	ESY12_g51607_DN3_SP7_c0.t1
OG0000587	Om005G178890	ESY5_g5435_DN3_SP8_c0.t1
OG0000588	Om002G060100	ESY3_g30507_DN3_SP8_c1.t1
OG0000588	Om008G326370	ESY12_g51362_DN3_SP8_c0.t1
OG0000588	Om003G093150	ESY2_g36910_DN3_SP8_c4.t1
OG0000589	Om006G245680	ESY6_g48829_DN3_SP0_c0.t1
OG0000589	Om006G267230	ESY1_g8010_DN3_SP0_c0.t1
OG0000590	Om002G047710	ESY3_g31690_DN3_SP8_c0.t1
OG0000590	Om007G293960	ESY10_g15471_DN3_SP3_c0.t1
OG0000590	Om005G179630	ESY5_g5310_DN3_SP1_c0.t1
OG0000591	Om001G027320	ESY7_g19539_DN3_SP0_c9.t1, ESY4_g24819_DN3_SP0_c0.t1, ESY4_g26220_DN3_SP0_c0.t1
OG0000592	Om002G064890, Om002G064880	ESY2_g37963_DN3_SP8_c0.t1
OG0000592	Om005G199600	ESY5_g4244_DN3_SP8_c0.t1
OG0000595	Om006G269040, Om006G269050, Om006G243810, Om006G243820	ESY11_g53698_DN2_SP0_c56.t1
OG0000597	Om003G115830	ESY8_g58527_DN3_SP0_c0.t1
OG0000598	Om005G221030, Om001G004970, Om001G004930, Om002G071420, Om001G004870, Om001G004900, Om006G269200, Om001G004820, Om001G004840, Om001G004860, Om001G004810, Om006G259400, Om006G259360, Om006G269210, Om001G004850, Om001G004830, Om001G004890, Om001G004940, Om001G004950	ESY14_g19795_DN3_SP0_c28.t1
OG0000600	Om006G250410	ESY6_g48275_DN3_SP5_c0.t1
OG0000600	Om002G087460	ESY11_g54682_DN3_SP0_c0.t1
OG0000601	Om007G299770	ESY7_g17441_DN3_SP0_c0.t1
OG0000601	Om007G315410	ESY8_g60855_DN3_SP0_c23.t1
OG0000602	Om004G174460	ESY7_g19341_DN3_SP3_c0.t1
OG0000602	Om006G254960	ESY1_g11144_DN3_SP7_c0.t1
OG0000602	Om002G052520	ESY3_g30999_DN3_SP8_c0.t1
OG0000603	Om001G014500, Om008G359600, Om005G223970, Om018G373750, Om008G341190, Om001G025330	ESY3_g31875_DN1_SP0_c0.t1
OG0000605	Om004G140130	ESY2_g34909_DN2_SP0_c0.t1, ESY2_g34915_DN3_SP4_c0.t1
OG0000605	Om004G140160	ESY2_g34911_DN1_SP0_c0.t1, ESY2_g34908_DN3_SP0_c0.t1, ESY2_g34913_DN2_SP0_c0.t1
OG0000606	Om004G129810	ESY2_g36506_DN3_SP8_c0.t1
OG0000606	Om003G094590	ESY2_g37074_DN3_SP8_c0.t1
OG0000607	Om002G066240	ESY3_g29541_DN1_SP0_c0.t1
OG0000607	Om001G031830	ESY4_g25681_DN3_SP0_c0.t1
OG0000608	Om003G120910, Om004G153420, Om018G374080, Om003G120920	ESY1_g11829_DN3_SP0_c32.t1
OG0000609	Om001G034210	ESY4_g25469_DN1_SP0_c0.t1
OG0000609	Om001G033820	ESY4_g25431_DN2_SP0_c0.t1
OG0000609	Om001G033800, Om001G033790	ESY4_g25429_DN2_SP0_c0.t1
OG0000612	Om008G327550, Om005G188550	ESY1_g11652_DN3_SP0_c0.t1
OG0000613	Om002G043790	ESY3_g32484_DN3_SP3_c0.t1
OG0000613	Om003G115420	ESY6_g47509_DN3_SP4_c0.t1
OG0000614	Om004G167200, Om004G167190	ESY7_g17787_DN3_SP2_c0.t1, ESY7_g17790_DN3_SP7_c0.t1
OG0000615	Om002G084910	ESY11_g54187_DN3_SP8_c0.t1
OG0000615	Om001G035770	ESY4_g26148_DN3_SP7_c0.t1
OG0000615	Om006G257560	ESY1_g10123_DN3_SP3_c0.t1
OG0000617	Om004G159110	ESY20_g13142_DN3_SP0_c7.t1, ESY20_g13143_DN3_SP0_c18.t1, ESY20_g13140_DN3_SP0_c28.t1
OG0000617	Om004G158130	ESY20_g13138_DN3_SP0_c17.t1, ESY20_g13139_DN3_SP0_c16.t1
OG0000618	Om004G133000	ESY2_g36119_DN3_SP8_c0.t1
OG0000618	Om005G198040	ESY5_g4386_DN3_SP0_c0.t1
OG0000618	Om001G020760	ESY16_g62166_DN3_SP0_c0.t1
OG0000619	Om008G335990, Om008G336000	ESY9_g44747_DN3_SP0_c0.t1, ESY9_g44746_DN3_SP8_c0.t1
OG0000619	Om006G254680	ESY1_g11112_DN3_SP1_c0.t1, ESY1_g11113_DN3_SP8_c0.t1
OG0000620	Om007G289350, Om005G200260	ESY5_g4190_DN3_SP5_c0.t1
OG0000620	Om004G140080	ESY2_g34921_DN3_SP1_c0.t1, ESY2_g34919_DN3_SP7_c0.t1
OG0000621	Om001G034690, Om008G350020	ESY9_g45295_DN3_SP0_c0.t1
OG0000621	Om005G199690	ESY2_g37743_DN3_SP0_c0.t1
OG0000622	Om004G145830, Om004G145910	ESY8_g59744_DN2_SP0_c0.t1, ESY8_g59742_DN2_SP0_c0.t1
OG0000625	Om002G043480	ESY3_g32531_DN2_SP7_c0.t1
OG0000625	Om001G028720	ESY4_g25046_DN2_SP3_c0.t1
OG0000626	Om005G226500	ESY7_g19288_DN3_SP0_c0.t1, ESY2_g33465_DN3_SP0_c2.t1
OG0000627	Om001G018740, Om003G117480	ESY6_g48038_DN3_SP0_c28.t1
OG0000628	Om004G134080	ESY2_g35063_DN3_SP8_c0.t1
