Orthogroup	Odontarrhena_muralis	Aethionema_saxatile
OG0000322	Om008G329570	As001G014750
OG0000322	Om008G333060, Om008G330110, Om008G330430	As007G153590
OG0000323	Om003G115780	As002G045490
OG0000328	Om003G102580	As001G029880
OG0000328	Om001G030480, Om005G213750, Om001G030460, Om001G030490	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	Om008G342480, Om008G342550, Om008G323100	As007G180560
OG0000332	Om006G241390, Om006G241400	As002G033230
OG0000334	Om006G254200	As012G277630
OG0000334	Om008G335090	As006G146780
OG0000338	Om005G187760, Om005G187950	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	Om001G010480	As008G198990, As003G061400
OG0000339	Om008G321390, Om003G126510	As005G101130, As012G287430
OG0000340	Om008G325090, Om008G325100	As005G103820
OG0000340	Om008G325080, Om008G325070	As005G103800, As005G103810
OG0000344	Om006G240680	As005G110100, As009G215190, As009G215530
OG0000347	Om006G248330, Om006G248350, Om002G055420	As002G037650
OG0000348	Om007G315920, Om004G149150	As002G041810, As002G040050
OG0000350	Om007G290180	As003G070220, As003G070200
OG0000351	Om002G059530	As011G246630, As009G207800, As011G246680
OG0000351	Om002G059500	As011G246700, As011G246690
OG0000351	Om002G059520	As009G207810, As011G246650
OG0000352	Om005G197930, Om008G334130	As007G153380
OG0000358	Om005G181310, Om007G277860	As006G124930, As008G196330
OG0000358	Om007G277850	As008G196390
OG0000359	Om007G290360, Om007G290370	As003G070350, As003G070340, As003G070360, As012G275420
OG0000360	Om006G230190, Om008G362290, Om006G230130, Om006G230150, Om006G230170	As005G119730
OG0000362	Om004G145620, Om004G145610	As009G205230
OG0000362	Om004G136210	As006G134970
OG0000363	Om002G082440	As009G209420
OG0000368	Om001G038080, Om001G038070, Om001G038000, Om001G005480, Om001G037990	As003G073560, As003G073580
OG0000368	Om001G038090, Om001G038110	As003G073600, As003G073590
OG0000369	Om005G185620	As006G145250, As010G224820, As006G129520
OG0000369	Om006G245630	As008G192050
OG0000370	Om005G198190, Om005G198070	As007G153440
OG0000371	Om008G319770, Om008G319760	As005G099710, As005G099720
OG0000373	Om012G366320, Om012G366380, Om012G366350, Om013G368470, Om012G367460, Om012G368390, Om012G366180, Om012G366420, Om012G366280, Om007G310230, Om012G366210, Om012G366240, Om007G310270, Om012G366500, Om007G310370, Om012G366450, Om012G366520, Om007G310340, Om012G366580, Om012G366620, Om012G366700, Om007G310250, Om012G366560, Om007G310210, Om012G366540, Om012G366150, Om007G310310, Om007G310430, Om012G366470, Om012G366670, Om015G372170, Om012G367700, Om015G372020, Om012G367420, Om012G367040, Om015G372320, Om012G367620, Om012G367320, Om012G368100, Om012G367070, Om012G368020, Om015G371830, Om012G366980, Om012G367260, Om015G373070, Om012G367530, Om012G367550, Om015G372100, Om012G367910, Om014G371050, Om012G367210, Om012G366940, Om012G367570, Om015G371760, Om015G371870, Om012G367960, Om012G368430, Om015G372260, Om012G366880, Om012G368310, Om015G372290, Om015G371780, Om012G367780, Om012G368410, Om012G368150, Om012G367820, Om015G372120, Om012G367300, Om015G371970, Om012G366910, Om015G372070, Om012G367180, Om015G371930, Om012G367150, Om012G367660, Om015G372210, Om015G372150, Om012G367390, Om012G368350, Om012G368230, Om012G366780, Om014G371030, Om015G372270, Om015G373050, Om012G367600, Om015G371800, Om012G368330, Om012G368270, Om012G367120, Om012G367490, Om012G367990, Om014G370990, Om015G371890, Om012G368370, Om015G373100, Om012G367350, Om012G368250, Om012G368180, Om015G372190, Om012G368210, Om012G367750, Om012G367870, Om012G368050, Om012G368290, Om015G372240, Om015G372250, Om015G372050	As006G149560
OG0000374	Om003G096590, Om003G096580	As012G273470, As012G273550
OG0000377	Om005G221520	As001G021080
OG0000378	Om003G106910, Om003G106900, Om003G112050	As003G067400
OG0000382	Om004G159310, Om005G179390	As006G122900
OG0000382	Om005G187240	As008G188710
OG0000383	Om007G289040, Om007G289010, Om007G289000	As003G069230
OG0000383	Om007G288980, Om007G288960, Om007G288970, Om007G288950	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	Om008G331990, Om002G061040, Om003G093990, Om003G093980, Om003G093940, Om003G093930	As011G247740
OG0000386	Om006G254880	As012G276900, As012G276880
OG0000389	Om003G121990	As001G003830
OG0000390	Om006G238000, Om001G007860	As001G012620
OG0000390	Om002G066980, Om002G064160, Om004G151070	As011G251840
OG0000391	Om005G199920	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	Om006G258990	As010G221170
OG0000392	Om004G166970	As010G221200, As010G221190, As010G221180
OG0000396	Om006G270400	As001G026970
OG0000396	Om002G084480	As001G026990, As001G027000, As001G027010
OG0000402	Om007G317090, Om006G237690, Om005G212470, Om002G081210, Om008G352430, Om008G344500, Om005G206050	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000404	Om006G255780, Om008G337600, Om004G170670, Om002G054990	As012G276100, As006G144680, As002G037330
OG0000405	Om005G214510	As002G037730
OG0000406	Om007G297520, Om007G297510, Om003G124180, Om002G044530	As006G136090
OG0000407	Om005G226340, Om005G225250, Om007G300530, Om001G027690, Om007G277650, Om007G299400	As009G201130, As009G201860
OG0000409	Om002G081160	As001G002920
OG0000410	Om005G222940, Om005G222950	As001G021670, As001G021680
OG0000411	Om005G224040	As001G022090
OG0000411	Om008G354000	As004G085710
OG0000411	Om001G008360	As003G060010
OG0000412	Om003G116310	As002G046400
OG0000413	Om002G057770	As011G245460
OG0000413	Om003G119170	As002G048240
OG0000413	Om003G090580	As012G268650
OG0000414	Om001G006250	As003G058750, As003G058770, As003G058760
OG0000415	Om004G162740, Om008G326430	As005G104640
OG0000416	Om005G227300, Om004G176330, Om007G280020, Om007G280180	As006G125710
OG0000416	Om005G182990	As006G127220, As008G194210
OG0000417	Om002G073380, Om002G073370, Om002G084920	As007G163710, As008G186410
OG0000420	Om003G125710	As010G222670
OG0000421	Om001G026550, Om001G026540, Om007G294470, Om001G013810	As004G078160, As004G078150
OG0000422	Om005G187620, Om005G187610, Om005G187630, Om008G329040, Om005G187640, Om004G162770, Om005G187650, Om005G187660, Om005G187600, Om005G187590	As008G188280, As008G188290, As008G188300
OG0000423	Om004G142290	As010G241040
OG0000423	Om003G091160	As012G269020
OG0000429	Om006G240130	As009G215310
OG0000429	Om004G164170	As002G052030
OG0000429	Om001G029270	As001G004910
OG0000430	Om002G082610, Om002G066320	As011G263500
OG0000430	Om001G041290	As001G014590, As003G076100, As007G181940
OG0000431	Om005G219170	As001G019780
OG0000431	Om007G295500, Om005G188460, Om005G188470, Om005G188450	As008G187750
OG0000432	Om003G113900	As002G044400
OG0000432	Om003G118170, Om005G204990	As002G047750
OG0000435	Om004G163840	As001G004050, As006G138290
OG0000435	Om004G152070, Om005G200650, Om006G242990, Om005G200600	As011G260090, As011G260040
OG0000436	Om006G250310, Om001G024370, Om002G087440	As011G266430, As002G048360
OG0000437	Om001G012410	As003G062850
OG0000439	Om005G183450	As008G194170
OG0000439	Om003G123740	As012G285510
OG0000439	Om007G280530	As006G127290
OG0000440	Om004G173680, Om007G297020	As006G136440
OG0000441	Om002G062560, Om002G062550	As011G248660
OG0000441	Om002G062460	As011G248650
OG0000446	Om006G235370	As009G219000
OG0000446	Om006G274450	As001G023650
OG0000446	Om005G194520	As008G183010
OG0000447	Om002G060230	As011G247170
OG0000447	Om007G288920	As003G069220
OG0000448	Om008G361730, Om008G361700, Om008G361720	As004G089550
OG0000449	Om006G267260	As010G224860
OG0000449	Om006G245560	As005G114720
OG0000449	Om006G267270	As010G224870
OG0000449	Om006G245570	As005G114730
OG0000452	Om001G025830, Om001G025870, Om004G163540, Om001G025930, Om001G025860, Om001G025910	As001G002300, As001G002310
OG0000454	Om003G113950, Om003G113940, Om003G113960	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000457	Om003G114840	As002G045110, As002G045120, As002G041830, As002G045100, As002G045130
OG0000459	Om001G013470, Om001G006630	As003G058960
OG0000461	Om005G177540	As008G199680
OG0000461	Om008G335120, Om008G335130	As006G146770
OG0000463	Om008G355320, Om001G005850	As010G224360, As010G224370
OG0000465	Om004G158510	As001G010580, As004G090240
OG0000466	Om004G174390, Om005G209820	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000467	Om003G122490, Om001G002790, Om008G358800	As004G088230, As012G284990
OG0000468	Om006G252980	As012G280020
OG0000468	Om007G278880	As006G125920
OG0000468	Om008G332830	As006G144160
OG0000471	Om007G289330, Om007G289290	As003G069540, As003G069550
OG0000472	Om003G097580, Om003G097570, Om007G316650, Om007G316670	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	Om007G316690, Om003G102350, Om007G316680, Om007G316660	As004G097020
OG0000474	Om006G261160, Om006G238310	As009G216860
OG0000477	Om004G169410, Om002G083900, Om006G247780, Om008G334030	As003G057970
OG0000481	Om005G223420, Om002G062340	As001G021880
OG0000483	Om003G117450	As002G047220
OG0000484	Om001G035850, Om007G296400	As009G203850
OG0000486	Om007G293910	As001G013050, As001G013370
OG0000486	Om007G315930, Om007G316020, Om002G055740, Om002G055140, Om002G077700	As001G013380, As001G013070, As001G013260
OG0000487	Om007G278330	As006G137570, As008G196100
OG0000495	Om006G264600	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	Om006G264590, Om006G264500	As007G179430, As007G177930
OG0000497	Om004G146680	As009G210870, As009G211010
OG0000497	Om008G341800	As010G233080, As007G164590, As007G163820, As007G164600
