Orthogroup	Odontarrhena_muralis	Aethionema_saxatile
OG0001449	Om002G059130	As011G246410
OG0001449	Om003G091940	As012G269390
OG0001450	Om003G091950	As011G246430, As012G269400
OG0001451	Om003G093630	As012G270080
OG0001452	Om003G093850	As012G270190
OG0001452	Om002G060900	As011G247680
OG0001453	Om003G094190	As012G270500
OG0001453	Om002G061280	As011G247830
OG0001454	Om002G061580	As011G248090
OG0001454	Om003G094410	As012G270620
OG0001455	Om002G063020	As011G248920
OG0001455	Om003G100700	As012G274630
OG0001456	Om002G067510	As011G252110
OG0001456	Om003G097130	As012G272220
OG0001457	Om002G068010	As011G252570
OG0001457	Om003G096780	As012G272010
OG0001464	Om001G025060	As001G001740
OG0001465	Om002G086750	As011G265880
OG0001465	Om001G025360	As001G001900
OG0001466	Om001G027980	As001G003810
OG0001467	Om007G293930	As001G012940
OG0001468	Om001G032010	As001G014310
OG0001469	Om007G292300	As001G016070
OG0001470	Om008G338210	As004G083140
OG0001470	Om007G276130	As001G017590
OG0001471	Om005G189730	As008G186620
OG0001472	Om005G195390	As008G182540
OG0001473	Om006G274420, Om005G194490	As001G023680
OG0001474	Om005G191010, Om005G190990, Om005G191000	As002G032650, As001G030130
OG0001475	Om005G191310	As008G185330
OG0001475	Om005G224670	As001G032140
OG0001477	Om004G169220	As002G032720, As002G032730, As002G032710
OG0001478	Om002G052340	As002G034580, As002G034650, As002G034510
OG0001478	Om004G174870	As005G107960
OG0001480	Om007G285890	As002G042560
OG0001481	Om004G161670	As002G050450
OG0001482	Om004G164380	As002G052160
OG0001482	Om006G239940	As009G215450
OG0001483	Om006G239530	As009G215740
OG0001483	Om004G165050	As002G052570
OG0001484	Om004G165080	As002G052590
OG0001485	Om004G167070	As002G054040
OG0001486	Om004G167310	As002G054240
OG0001486	Om006G233960	As005G116630, As005G116640
OG0001487	Om006G237600	As002G054670
OG0001488	Om001G000580	As003G055970
OG0001488	Om008G362000	As004G089810
OG0001489	Om008G353670	As004G085500
OG0001489	Om001G008780	As003G060290
OG0001490	Om007G289490	As003G069830
OG0001490	Om008G340460	As004G081110
OG0001491	Om007G296320, Om007G292820, Om007G290420, Om001G003260	As003G070370
OG0001493	Om008G341470	As008G195740, As004G082080
OG0001494	Om008G352950, Om008G352970	As004G085100
OG0001495	Om008G362610, Om008G362600	As004G090990
OG0001496	Om002G073340, Om003G103910	As004G094470, As011G256240
OG0001497	Om003G101750, Om005G195880, Om003G101790, Om003G101760	As004G096260
OG0001498	Om005G181210	As004G098070
OG0001499	Om008G319160	As012G288560, As005G099220
OG0001500	Om008G319880	As005G099790
OG0001500	Om003G127900	As012G288210
OG0001501	Om008G320300, Om003G094850	As005G100230
OG0001502	Om008G323120	As005G102480
OG0001502	Om003G124860	As012G286170
OG0001503	Om003G124290	As012G285910
OG0001503	Om008G323980	As005G103110
OG0001504	Om008G325120	As005G103840
OG0001505	Om003G123720	As012G285480
OG0001505	Om008G325410	As005G103960
OG0001506	Om002G051310	As006G142150
OG0001506	Om004G176920	As005G106410
OG0001507	Om006G246570	As005G115720
OG0001508	Om006G261900	As010G222610
OG0001508	Om006G234200	As005G116340
OG0001509	Om006G259970	As010G221530
OG0001509	Om006G231280	As005G118870
OG0001510	Om007G280310	As006G127110
OG0001510	Om005G183290	As008G194330
OG0001511	Om005G185720	As008G191800
OG0001511	Om007G283470	As006G129670
OG0001512	Om007G284260	As006G130250
OG0001513	Om002G042980	As006G134800
OG0001514	Om002G045810, Om007G295970	As006G137350
OG0001515	Om002G048100	As006G139150, As006G139160
OG0001516	Om002G049260	As006G140260
OG0001517	Om006G251060	As012G282480
OG0001517	Om008G330500	As006G142810
OG0001518	Om008G330630, Om006G251210	As006G142890
OG0001519	Om004G140300	As010G239600
OG0001519	Om005G200090	As007G154860
OG0001520	Om006G263160	As010G223010
OG0001520	Om005G200890	As007G155440
OG0001521	Om005G203620, Om004G135310	As007G157310
OG0001522	Om005G205690	As007G159210
OG0001522	Om005G206910	As010G233860
OG0001523	Om005G207890	As007G159770, As007G159760
OG0001524	Om008G358820	As007G162280
OG0001524	Om006G236220	As009G218400
OG0001526	Om005G177980, Om006G261330, Om003G126190	As007G177880, As012G287270
OG0001527	Om007G301640	As009G200200
OG0001527	Om004G130600	As010G243610
OG0001528	Om007G300570	As009G200660
OG0001530	Om001G041070	As009G208130, As009G208140
OG0001531	Om004G170570	As009G212540
OG0001533	Om006G258630, Om006G258620	As010G220990, As010G221000
OG0001535	Om003G090220	As012G268330
OG0001535	Om002G057550	As011G245290
OG0001536	Om003G090860	As012G268830
OG0001537	Om003G094070	As012G270460
OG0001537	Om002G061210	As011G247790
OG0001538	Om002G062610	As011G248690
OG0001538	Om003G095130	As012G271020
OG0001539	Om001G007730, Om001G007640	As011G257640
OG0001540	Om008G340100	As012G275340
OG0001541	Om003G128290	As012G288500
OG0001549	Om002G088380, Om001G022730	As008G189360, As001G000350
OG0001550	Om001G026600	As001G002750
OG0001551	Om001G027710	As001G003600
OG0001551	Om004G153310, Om018G373980	As007G178090
OG0001552	Om001G028840	As001G004530
OG0001553	Om005G221080	As001G020960
OG0001553	Om005G189290	As008G186960
OG0001554	Om005G190820	As008G185750
OG0001554	Om005G223930	As001G022010
OG0001555	Om005G192930	As008G183910
OG0001555	Om006G273340	As001G024630
OG0001556	Om008G336560	As006G145370
OG0001556	Om006G272340	As001G025430
OG0001557	Om002G051870	As002G034230
OG0001558	Om004G172910, Om002G053430	As002G035840
OG0001559	Om003G107570	As002G040240
OG0001559	Om006G263210	As007G162740
OG0001560	Om005G199190, Om005G199900	As002G040690
OG0001561	Om003G113700	As002G044310
OG0001562	Om003G118300	As002G047830
OG0001562	Om004G172250, Om003G118290	As006G134190, As004G089470, As006G134210
OG0001563	Om006G241030, Om004G162330	As002G050910
OG0001564	Om008G335730, Om008G325320, Om008G325290, Om005G202470	As002G051580
OG0001565	Om004G168220	As002G054950
OG0001565	Om006G236930	As009G217850
OG0001566	Om008G358250	As004G087940
OG0001566	Om001G003510	As003G057540
OG0001567	Om001G013140, Om001G013120	As003G063270
OG0001568	Om007G289080, Om007G289090	As003G069320
OG0001569	Om008G340300	As004G081080
OG0001569	Om007G289800	As003G070040
OG0001570	Om003G123760	As012G285530
OG0001570	Om007G291650	As004G078650, As003G071580
OG0001571	Om002G084010	As011G264410
OG0001572	Om001G039360	As003G074600
OG0001573	Om001G039820	As003G074940
OG0001574	Om001G040780	As003G075700
OG0001574	Om004G156020	As007G180920
OG0001575	Om001G041040	As003G075900
OG0001576	Om001G029490, Om002G058950	As004G078100
OG0001577	Om007G315560	As004G078360
OG0001578	Om008G362670, Om006G237840	As004G090820
OG0001579	Om008G362650	As004G090830
OG0001580	Om001G013190, Om004G162930, Om001G013200, Om002G075730, Om003G119550	As004G093790
OG0001581	Om003G128570	As012G288550
OG0001581	Om008G319170	As005G099240
OG0001582	Om003G124270	As012G285890
OG0001582	Om008G324000	As005G103130
OG0001583	Om008G326860	As005G105260
OG0001583	Om003G121060	As012G284240
OG0001584	Om008G327650	As012G284070, As005G105400
OG0001585	Om003G120340	As012G283760
OG0001585	Om008G327920	As005G106110
OG0001586	Om006G240880, Om006G240890, Om006G240900	As005G109770, As005G109730, As005G109810
OG0001587	Om006G244320, Om003G104890, Om003G104910	As005G113630, As005G113750, As005G113720
OG0001588	Om006G246680	As010G223930, As005G115320
OG0001589	Om006G234140	As005G116400
OG0001589	Om006G261670	As010G222490
OG0001590	Om006G251960	As012G281820
OG0001590	Om006G231330	As006G143440, As005G118810
OG0001591	Om005G179700, Om004G159940	As006G123270
OG0001592	Om005G180140	As008G197260
OG0001592	Om004G160470, Om004G160460	As006G123590, As006G123580
OG0001593	Om007G278260	As006G125280
OG0001593	Om005G181680	As008G196140
OG0001594	Om007G279340	As006G126140
OG0001594	Om005G182490	As008G195160
OG0001595	Om002G044690	As006G136270, As006G136260, As006G136250
OG0001596	Om007G296130	As009G204010
OG0001596	Om002G045490	As006G137150
OG0001597	Om007G294390, Om002G048240	As009G205500, As006G139340
OG0001598	Om002G048810	As006G139870
OG0001599	Om001G034380, Om002G050380	As006G141340, As006G141350
OG0001600	Om008G336990, Om006G256390, Om006G255310	As006G145110
OG0001601	Om005G199270	As007G154270
OG0001601	Om004G141820	As010G240560
OG0001602	Om005G203860, Om005G203850, Om004G135040	As007G157510
OG0001603	Om005G207310	As010G233600
OG0001604	Om004G143680	As007G159450
OG0001605	Om004G143720	As007G159480
OG0001605	Om005G207530	As010G233470
OG0001607	Om005G192070, Om005G225600	As008G184640
OG0001608	Om005G190190, Om005G190200	As008G186120, As008G186140
OG0001609	Om007G294970	As009G204900
OG0001609	Om005G180160	As008G197240
OG0001610	Om002G053700, Om004G172500	As009G214300
OG0001611	Om004G137880	As010G238260
OG0001612	Om002G057420	As011G245190
OG0001613	Om003G093520	As012G270010
OG0001613	Om002G060570	As011G247430
OG0001614	Om003G095940	As012G271870
OG0001614	Om002G069020	As011G253200
OG0001615	Om002G072780	As011G261220
OG0001616	Om002G084190	As011G264510
OG0001617	Om002G087190, Om001G024810	As011G266230
OG0001618	Om003G089510	As012G267820
OG0001619	Om006G255320, Om008G337000	As012G276530
OG0001642	Om001G031720	As001G012500
OG0001643	Om001G033530	As001G014740
OG0001644	Om005G189420	As008G186840
OG0001645	Om003G100820, Om003G100810	As001G024450
OG0001646	Om006G272500	As001G025330
OG0001646	Om005G192600	As008G184320
OG0001647	Om007G317750	As005G112760
OG0001647	Om006G271590	As001G026040
OG0001648	Om007G317430	As004G097600
OG0001648	Om006G271360	As001G026180
OG0001649	Om007G316180	As004G078610
OG0001650	Om006G269250	As001G028040
OG0001650	Om007G315230	As004G078090
OG0001651	Om006G250370	As002G048310
OG0001652	Om002G051680	As002G034080
OG0001652	Om004G176210	As005G107010
OG0001653	Om002G052460	As002G034830
OG0001654	Om004G174290	As005G108360
OG0001654	Om002G052600	As002G034960
OG0001655	Om004G171470	As009G213200
OG0001655	Om002G054370	As002G036620
OG0001656	Om002G056110	As002G039040
OG0001657	Om001G019400	As006G132670
OG0001657	Om003G116630	As002G046680
OG0001658	Om003G117030, Om001G018900	As002G047020
OG0001659	Om004G168860, Om004G168870, Om004G168880	As002G055320
OG0001660	Om001G005920	As003G058550
OG0001660	Om008G356450	As004G086970
OG0001661	Om008G352120	As004G084980
OG0001661	Om001G009550	As003G060770
OG0001662	Om001G009750	As003G060900
OG0001662	Om008G352460, Om008G352390	As004G084850
OG0001663	Om008G346530	As003G062880, As004G083340
OG0001663	Om005G205360	As007G158950
OG0001664	Om008G339790	As012G275120
OG0001664	Om008G354750, Om007G290960	As003G070920
OG0001665	Om007G291250	As012G274990
OG0001666	Om001G035390	As003G072130
OG0001666	Om002G084410	As011G264730
OG0001667	Om001G037950	As003G073520
OG0001668	Om001G038350	As003G073870
OG0001669	Om004G153630	As007G180470
OG0001669	Om001G039870	As003G074980
OG0001670	Om001G041140	As003G075970
OG0001670	Om004G156260	As007G181810
OG0001671	Om001G014220, Om008G344380	As004G080500
OG0001672	Om007G287990	As009G214760
OG0001674	Om003G103260, Om003G103270, Om003G103240	As004G095240
OG0001677	Om003G123570	As012G285380
OG0001677	Om008G325460	As005G104070
OG0001678	Om003G122620	As012G285040
OG0001678	Om008G326120	As005G104530
OG0001679	Om003G122260	As012G284790
OG0001679	Om008G326460	As005G104840
OG0001680	Om005G218270, Om009G364020, Om005G218280	As005G108210
OG0001681	Om006G229710	As005G120190
OG0001682	Om004G160610	As006G123800
OG0001682	Om005G180350, Om005G180340	As008G197100
OG0001683	Om007G277500	As006G124600
OG0001684	Om007G278180	As006G125200
OG0001684	Om005G181740	As008G196190
OG0001685	Om005G181710	As008G196160
OG0001685	Om007G278190	As006G125210
OG0001686	Om007G278380	As006G125380
OG0001686	Om005G181630	As008G196070
OG0001687	Om007G278640	As006G125460
OG0001688	Om005G183630	As008G193980
OG0001689	Om005G184150	As006G127840
OG0001689	Om007G281210	As008G193490
OG0001690	Om007G281480, Om007G281580	As006G128090
OG0001690	Om005G184350	As008G193250
OG0001691	Om005G184600	As008G193060
OG0001691	Om007G281950	As006G128380
OG0001692	Om007G282070	As006G128520
OG0001693	Om005G185370	As008G192240
OG0001694	Om007G297610	As009G202860
OG0001694	Om002G044500	As006G136060
OG0001695	Om005G186660	As008G190150
OG0001695	Om002G046260	As006G137700
OG0001696	Om002G047030	As009G206860, As006G138230
OG0001697	Om002G049380	As006G140340
OG0001698	Om008G331230	As006G143090
OG0001698	Om006G251420	As012G282250
OG0001699	Om006G254450	As012G277290
OG0001699	Om008G335740	As006G146140
OG0001700	Om004G132030	As010G242590
OG0001700	Om005G197410	As007G152930
OG0001701	Om005G202490	As007G156550
OG0001701	Om004G136730	As010G237360
OG0001702	Om004G135300	As010G236450
OG0001702	Om005G203630	As007G157320
OG0001703	Om005G204270	As007G157920
OG0001703	Om004G134510, Om004G134520	As010G235780
OG0001704	Om005G205400	As007G158980
OG0001704	Om005G206360	As010G234260
OG0001705	Om004G143510, Om005G207240	As007G159350
OG0001706	Om004G170840	As007G162110
OG0001707	Om006G243500, Om001G019970, Om001G019230, Om001G019320, Om007G290330	As008G182520
OG0001708	Om007G294410, Om002G048250	As009G205470
OG0001709	Om006G234880	As009G219330
OG0001709	Om006G263370	As010G223090
OG0001710	Om004G135420	As010G236530
OG0001711	Om002G062790	As011G248830
OG0001711	Om003G100880	As012G274730
OG0001712	Om003G098000	As012G272750
OG0001712	Om002G066430	As011G251230
OG0001713	Om003G097760	As012G272600
OG0001713	Om002G066890	As011G251610
OG0001714	Om002G068390, Om003G096360	As011G252860
OG0001715	Om002G074240, Om002G073870	As011G256690
OG0001730	Om001G022330	As001G000160
OG0001731	Om001G025510	As001G002090
OG0001731	Om001G025490	As001G002080
OG0001732	Om001G025650, Om002G086510	As001G002180
OG0001733	Om001G026390	As001G002610
OG0001733	Om004G155150, Om004G152530, Om004G152500	As007G178980
OG0001734	Om001G027010	As001G003070
OG0001734	Om004G154900, Om004G152250	As001G003060
OG0001735	Om002G080750	As011G262440
OG0001735	Om001G031710	As001G012490
OG0001736	Om001G034500	As001G015660
OG0001737	Om005G224300, Om008G339290, Om005G224160	As004G078750
OG0001737	Om007G291760	As001G015720
OG0001738	Om007G276800	As001G016990, As004G079600
OG0001739	Om011G365610, Om020G374570	As001G019330
OG0001739	Om005G187890	As008G188120
OG0001740	Om005G219000	As001G019770
OG0001740	Om005G188440	As008G187740
OG0001741	Om005G188920, Om006G242680	As001G020250
OG0001742	Om005G218130	As001G020840
OG0001742	Om001G004530	As011G257950, As011G257920, As011G257860
OG0001743	Om005G189990	As001G021590
OG0001743	Om005G222730	As008G186310
OG0001744	Om007G317860, Om006G271810	As001G025880
OG0001745	Om006G271170	As001G026390
OG0001745	Om007G317150	As004G097440
OG0001746	Om001G030190	As004G096870, As001G027100, As001G027120
OG0001747	Om002G084790	As001G027980, As001G027730, As008G195410
OG0001748	Om007G314610	As004G077690
OG0001748	Om005G213090	As001G028450
OG0001749	Om005G228290	As001G030640
OG0001749	Om007G318200	As004G098210
OG0001750	Om004G171530	As004G097820
OG0001750	Om005G226430	As001G031300
OG0001751	Om002G055350	As002G037600
OG0001751	Om004G170240	As009G212190
OG0001753	Om002G055940	As002G038810
OG0001753	Om004G169640	As009G211390
OG0001754	Om003G112010, Om007G285960	As002G042850
OG0001755	Om007G286780	As007G165920, As002G044370
OG0001756	Om003G114260	As002G045020
OG0001757	Om003G118050	As002G047660, As006G134330
OG0001758	Om006G241000, Om004G162180	As002G050810
OG0001759	Om006G237060, Om006G237070	As002G054860
OG0001760	Om008G362010	As004G089920
OG0001761	Om008G358970, Om008G358940	As004G088340
OG0001762	Om008G358630	As004G088150
OG0001763	Om001G005220	As003G058120
OG0001764	Om008G353770	As004G085570
OG0001764	Om001G008640	As003G060240
OG0001766	Om008G347910	As004G083700
OG0001766	Om001G012050	As003G062580
OG0001767	Om005G205800	As010G234740
OG0001767	Om001G013410	As003G063410
OG0001768	Om007G288330	As004G081770, As003G068330
OG0001769	Om002G084600	As011G264820
OG0001769	Om001G035630	As003G072320
OG0001770	Om006G230950	As003G073930
OG0001770	Om006G259560	As010G221370
OG0001771	Om004G154310	As007G179930
OG0001771	Om001G038770	As003G074120
OG0001772	Om001G041500	As003G076250
OG0001773	Om003G113680, Om008G340200	As004G081020
OG0001774	Om007G287910	As004G082040
OG0001775	Om001G008380, Om008G353980	As004G085690
OG0001776	Om008G357950, Om008G357920	As004G087730
OG0001777	Om004G159160, Om007G316940	As004G097230
OG0001778	Om008G319150, Om003G128550	As005G099210
OG0001779	Om003G128300	As012G288510
OG0001779	Om008G319250	As005G099320
OG0001780	Om008G322630	As005G102040
OG0001780	Om003G125530	As012G286670
OG0001781	Om003G124590	As012G286010
OG0001781	Om008G323600	As005G102880
OG0001782	Om008G325780	As005G104290
OG0001783	Om006G242000	As010G227360, As005G111610
OG0001784	Om006G230840	As005G119200
OG0001784	Om006G259520	As010G221340
OG0001785	Om004G157560	As006G121560
OG0001785	Om005G178240	As008G198980
OG0001786	Om005G178470	As008G198930
OG0001786	Om004G158260	As006G122000
OG0001787	Om004G159150	As006G122800
OG0001787	Om005G179160	As008G197950
OG0001788	Om004G159460, Om005G179440, Om003G116020	As006G123000
OG0001789	Om004G159990, Om004G160000	As006G123310
OG0001790	Om007G280560	As006G127300
OG0001791	Om007G281060	As006G127700
OG0001792	Om007G281860	As006G128330
OG0001792	Om005G203340, Om005G184540	As008G193120
OG0001793	Om005G184770	As008G193020
OG0001793	Om007G282090	As006G128540
OG0001794	Om005G185160	As008G192750
OG0001794	Om007G282570	As006G128910
OG0001795	Om002G043830, Om007G298910	As006G135530, As009G201960
OG0001796	Om002G044610	As006G136170
OG0001796	Om007G297370	As009G203040
OG0001797	Om007G296780	As009G203550
OG0001797	Om002G045080	As006G136600
OG0001798	Om007G294650, Om005G212940	As009G205220
OG0001798	Om002G048320	As006G139450
OG0001799	Om007G293700	As009G206190
OG0001799	Om002G048330	As006G139460
OG0001800	Om002G048990	As006G140000
OG0001800	Om007G295460	As009G204500
OG0001801	Om007G305650	As009G208280
OG0001801	Om002G049720	As006G140650
OG0001802	Om004G157380, Om005G213450	As006G142180
OG0001803	Om008G337160	As006G145030
OG0001803	Om006G255350	As012G276500
OG0001804	Om007G278010	As010G243090
OG0001804	Om005G197040	As007G152670
OG0001805	Om004G132470	As010G242220
OG0001805	Om005G197810	As007G153250
OG0001806	Om004G142690	As010G241430
OG0001806	Om005G198420	As007G153740
OG0001807	Om008G338460, Om008G338470, Om005G201470	As007G155820
OG0001808	Om004G136980	As010G237420
OG0001808	Om005G202440	As007G156490
OG0001809	Om005G208300	As010G233120
OG0001809	Om004G144770	As007G160050
OG0001810	Om004G146130	As007G160680
OG0001811	Om005G211370	As007G161490
OG0001812	Om005G211590	As010G229440, As007G161600
OG0001814	Om004G155870	As007G180770
OG0001816	Om007G293510	As009G206600
OG0001817	Om004G171380, Om002G054530	As009G213110
OG0001818	Om006G260370	As010G221840
OG0001818	Om006G239080	As009G216230
OG0001819	Om006G229570, Om006G258020	As010G220640
OG0001820	Om006G261480, Om006G261450, Om006G261340	As010G222410
OG0001821	Om003G094580	As012G270690
OG0001821	Om002G061690	As011G248150
OG0001822	Om002G069440	As011G253570
OG0001822	Om003G095310	As012G271070
OG0001823	Om002G088090, Om003G118780	As011G267030
OG0001824	Om008G335410, Om006G254330	As012G277520
OG0001826	Om003G119720	As012G283200
OG0001828	Om008G323210, Om003G124760	As012G286120
OG0001844	Om001G024060	As001G001080
OG0001844	Om002G087490	As011G266470
OG0001845	Om001G026130, Om001G026150, Om001G026160	As001G002450, As001G002440
OG0001846	Om002G083690	As011G264180
OG0001846	Om001G034280	As001G015540
OG0001847	Om007G276170	As001G017560
OG0001847	Om007G276160	As001G017570
OG0001848	Om005G189000	As008G187140
OG0001849	Om005G222900	As001G021660
OG0001851	Om007G317310, Om006G271240	As001G026330, As004G097510
OG0001852	Om007G315660	As004G078430
OG0001854	Om005G214490	As001G029220, As001G029200, As001G029210, As012G276250
OG0001855	Om005G215030	As001G029430
OG0001856	Om005G224800	As001G032090
OG0001856	Om005G191370	As008G185290
OG0001857	Om006G249860	As002G048690
OG0001858	Om004G173240	As005G109210
OG0001858	Om002G053140	As002G035530
OG0001859	Om002G053510	As002G035950
OG0001859	Om004G172790	As009G214550
OG0001860	Om004G171350	As009G213100
OG0001861	Om002G054630	As002G037140
OG0001861	Om004G171130	As009G212960
OG0001862	Om004G170140	As009G211910
OG0001862	Om002G055460	As002G046460, As002G037820
OG0001863	Om007G286190	As007G164570
OG0001863	Om003G112570	As002G043410
OG0001864	Om003G116120	As002G046260
OG0001865	Om003G116350	As002G046430
OG0001865	Om001G020020	As006G132520
OG0001866	Om003G116580	As002G046650
OG0001866	Om001G019420	As006G132650
OG0001867	Om006G249280	As002G049160
OG0001868	Om006G240910, Om004G162720	As002G051160, As005G109830
OG0001869	Om006G231560	As005G118670
OG0001869	Om004G165280	As002G052660
OG0001870	Om006G231800	As002G052840
OG0001870	Om004G165450	As005G118470
OG0001871	Om006G232050	As005G118300
OG0001871	Om004G166020, Om004G166050	As002G053270
OG0001873	Om004G166720, Om004G166730	As004G079370, As010G237170, As002G053740
OG0001874	Om005G225550	As002G054100
OG0001875	Om004G167850	As002G054680
OG0001875	Om006G237550	As009G217400
OG0001876	Om006G237180, Om004G168040	As002G054840
OG0001877	Om004G168890	As002G055330
OG0001878	Om001G000310	As003G055820
OG0001878	Om008G362390	As004G091220
OG0001879	Om001G001080	As004G089290, As003G056220
OG0001879	Om006G254640	As003G056320, As012G271310
OG0001880	Om001G001820	As004G088810
OG0001880	Om001G001830	As003G056580, As003G056590
OG0001881	Om001G006590	As010G228130, As003G064030, As003G058940
OG0001882	Om008G354800	As004G086070
OG0001882	Om001G007480	As003G059590
OG0001883	Om008G354400	As004G085890
OG0001883	Om001G008000	As003G059860
OG0001884	Om005G195870	As007G151870
OG0001884	Om004G129530	As003G060870
OG0001885	Om001G012040	As003G062560
OG0001885	Om008G347930	As004G083710
OG0001886	Om001G014110	As003G063880
OG0001886	Om008G343340	As004G080230
OG0001887	Om008G344790, Om001G014790	As003G064240
OG0001888	Om007G289400	As003G069790, As004G081190
OG0001889	Om002G085610	As011G265390
OG0001889	Om001G036380	As003G072760, As003G072740
OG0001890	Om001G039100	As003G074350
OG0001891	Om001G017880, Om005G214820, Om005G189340	As004G079520
OG0001892	Om008G341440, Om007G287980	As004G082000
OG0001893	Om008G347980	As004G083760, As004G083800
OG0001894	Om008G330850	As006G143010, As004G085550
OG0001895	Om008G362400, Om008G362420, Om008G362410	As004G091210
OG0001896	Om003G104810	As004G093180
OG0001896	Om002G050160	As006G141160
OG0001897	Om002G072930	As011G255780
OG0001897	Om003G103660	As004G094870
OG0001898	Om002G071120	As011G254720
OG0001898	Om003G102430	As004G095870
OG0001900	Om007G318210	As004G098200
OG0001901	Om008G318990	As005G099020
OG0001901	Om003G128330	As012G288710
OG0001902	Om003G127700	As012G288050
OG0001902	Om008G320130	As005G100030
OG0001903	Om003G125620	As012G286750
OG0001903	Om008G322500	As005G101970
OG0001904	Om008G322650	As012G286660, As005G102050
OG0001905	Om003G124360	As012G285960
OG0001905	Om008G323900	As005G103020
OG0001906	Om003G123560	As012G285370
OG0001906	Om008G325480	As005G104090
OG0001907	Om006G262480	As010G222720
OG0001908	Om001G033950	As009G208110, As005G116440, As005G116410, As005G116450
OG0001909	Om005G179340	As008G198070
OG0001910	Om007G293120	As006G124200
OG0001910	Om005G180580	As008G196870
OG0001911	Om007G278040	As006G125080
OG0001911	Om005G181450	As008G196240
OG0001912	Om007G279800	As006G126470
OG0001912	Om005G182830	As008G194820
OG0001913	Om005G183110	As008G194510
OG0001913	Om007G280140	As006G127010
OG0001914	Om007G280480	As006G127230
OG0001915	Om007G280730	As006G127440
OG0001915	Om005G183620	As008G194000
OG0001916	Om007G282370	As006G128760
OG0001918	Om005G205290, Om005G197370	As006G131460, As006G131480
OG0001919	Om007G301400	As009G200030
OG0001919	Om002G042440	As006G132900
OG0001920	Om007G298360, Om002G044080	As006G135730
OG0001921	Om007G298300	As009G202390
OG0001921	Om002G044130	As006G135780
OG0001922	Om002G047840	As006G139010
OG0001922	Om007G294100	As009G205870
OG0001923	Om006G263060	As006G143780
OG0001923	Om006G252450	As012G281320
OG0001924	Om006G254590, Om006G254600, Om008G335870, Om008G335880	As006G145930
OG0001925	Om008G334680	As006G147060
OG0001926	Om008G334240	As006G147410
OG0001926	Om006G256730	As012G278430
OG0001927	Om004G130460	As010G243720
OG0001927	Om005G196440	As007G152220
OG0001928	Om004G133220	As010G241680
OG0001928	Om005G198220	As007G153570
OG0001929	Om004G141960	As010G240740
OG0001930	Om005G200480	As007G155140
OG0001930	Om004G139600	As010G239150
OG0001931	Om004G138990	As010G238790
OG0001931	Om005G200760	As007G155320
OG0001932	Om005G201280	As007G155730
OG0001932	Om004G138920	As010G238480
OG0001933	Om004G135540	As007G157160, As010G236610
OG0001934	Om005G204640	As007G158150
OG0001934	Om004G134040	As010G235460
OG0001935	Om004G143370	As007G159310
OG0001936	Om001G023770	As007G160030
OG0001937	Om004G145490	As007G160520
OG0001937	Om005G209270	As010G232650
OG0001938	Om006G237050	As007G162170, As007G162180
OG0001939	Om004G156080	As007G180980
OG0001940	Om003G128050	As009G200550
OG0001941	Om008G361130	As009G204950, As009G204960
OG0001942	Om002G058530	As012G269080, As012G281590, As012G269060
OG0001943	Om004G170270	As009G212210
OG0001944	Om002G055050, Om004G170530	As009G212500
OG0001945	Om006G239300	As010G221720
OG0001947	Om008G357080, Om008G357160	As010G225810
OG0001950	Om002G058500	As011G245930
OG0001950	Om003G091220	As012G269040
OG0001951	Om002G060120, Om003G093170	As011G247100
OG0001952	Om003G100590	As012G274580
OG0001952	Om002G063070	As011G248940
OG0001953	Om002G066670	As011G251400
OG0001953	Om003G097860	As012G272660
OG0001954	Om002G068670	As011G253050
OG0001955	Om003G095570, Om002G069310	As011G253690
OG0001956	Om001G031980, Om002G081680	As011G262750
OG0001957	Om008G339760	As012G275050
OG0001958	Om002G080310	As012G285290
OG0001959	Om003G123980	As012G285720
OG0001971	Om001G023940	As001G001000
OG0001971	Om002G087550	As011G266510
OG0001972	Om001G026000	As001G002350
OG0001972	Om002G086100	As011G265560
OG0001973	Om001G027090	As001G003210
OG0001974	Om001G027730	As001G003630
OG0001975	Om002G080030	As011G262160
OG0001976	Om001G033290	As001G014460
OG0001977	Om008G338230	As004G083090
OG0001977	Om007G275940, Om007G275980	As001G017810
OG0001978	Om005G190090	As008G186230
OG0001979	Om006G274640	As001G023520
OG0001979	Om005G194690	As008G182890
OG0001980	Om006G274410	As001G023690
OG0001980	Om005G194480	As008G183040
OG0001981	Om005G192640	As008G184280
OG0001982	Om006G272160	As001G025560
OG0001982	Om005G192430	As008G184440
OG0001983	Om006G271570	As001G026070
OG0001983	Om007G317710	As005G112750
OG0001984	Om006G271340	As001G026200
OG0001984	Om007G317420	As004G097590
OG0001985	Om005G191720	As003G060640, As001G031850
OG0001986	Om003G119710	As012G283190
OG0001986	Om008G328610	As002G033250
OG0001987	Om004G173310	As005G109150
OG0001987	Om002G053110	As002G035510
OG0001988	Om002G054590	As002G037170, As012G276490
OG0001989	Om002G054880, Om004G170700	As002G037240, As002G037260
OG0001990	Om003G115910	As002G046030
OG0001991	Om003G116940	As002G046910
OG0001993	Om003G118380	As002G047890
OG0001994	Om006G249190	As002G049230
OG0001995	Om004G162520, Om006G240960	As002G051030
OG0001996	Om004G163300, Om006G240660	As002G051550
OG0001997	Om004G166500	As002G053610
OG0001997	Om004G154290	As007G179950
OG0001998	Om004G166800	As002G053810
OG0001998	Om006G233220	As005G117250
