Orthogroup	Odontarrhena_muralis	Conringia_planisiliqua
OG0000015	Om008G350280	CP27_g41927_DN1_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP1_g39589_DN1_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP3_g15512_DN1_SP0_c.t1, CP3_g15767_DN1_SP0_c.t1
OG0000015	Om006G271980	CP6_g9041_DN3_SP0_c.t1
OG0000015	Om003G098660	CP1_g39588_DN3_SP0_c.t1
OG0000015	Om005G217510	CP5_g3123_DN1_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP17_g6289_DN1_SP0_c.t1, CP18_g12598_DN2_SP0_c.t1, CP15_g34907_DN2_SP0_c.t1, CP5_g3124_DN2_SP0_c.t1
OG0000015	Om003G105790, Om004G154560	CP12_g31767_DN3_SP0_c.t1
OG0000015	Om007G305020	CP2_g50727_DN3_SP0_c.t1
OG0000015	Om006G270800	CP12_g31541_DN2_SP0_c.t1
OG0000018	Om008G335480, Om007G284460, Om008G361630	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000020	Om002G078790	CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1
OG0000020	Om007G307160	CP56_g20986_DN2_SP0_c.t1
OG0000020	Om010G364780, Om008G361310	CP56_g20987_DN1_SP0_c.t1, CP3_g16163_DN2_SP0_c.t1
OG0000020	Om007G309390	CP5_g3358_DN2_SP0_c.t1
OG0000021	Om005G226540, Om001G020790	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1
OG0000021	Om008G331340	CP6_g7966_DN2_SP0_c.t1
OG0000021	Om001G020780, Om001G006810, Om002G059070	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000024	Om010G364470, Om004G152890, Om005G222510, Om006G264560, Om007G307780, Om002G075540, Om006G244060, Om005G218640, Om003G113030, Om004G148120, Om007G304370, Om007G308040, Om004G155450, Om002G078360, Om007G308800, Om007G309530, Om004G152880, Om007G309380, Om005G222500, Om010G364430	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1
OG0000024	Om007G304730	CP31_g46771_DN2_SP0_c.t1, CP25_g55808_DN2_SP0_c.t1, CP22_g17631_DN1_SP0_c.t1
OG0000024	Om008G342080, Om001G017150	CP6_g8243_DN1_SP0_c.t1
OG0000024	Om001G030080, Om007G305000	CP3_g16173_DN1_SP0_c.t1
OG0000028	Om001G022770, Om007G314890	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	Om003G104120	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000028	Om007G308810	CP17_g5930_DN1_SP0_c.t1
OG0000028	Om003G104130	CP17_g5538_DN2_SP0_c.t1
OG0000028	Om001G019310	CP18_g12498_DN1_SP0_c.t1
OG0000029	Om006G261190, Om008G343780, Om005G216790, Om005G225700, Om001G013080, Om001G020560, Om002G078670, Om007G309080, Om007G298320, Om004G147450, Om006G262550, Om004G151510, Om003G119560	CP22_g17304_DN2_SP0_c.t1
OG0000029	Om007G298330	CP29_g22076_DN3_SP0_c.t1
OG0000030	Om020G374410, Om004G155320	CP37_g11369_DN1_SP0_c.t1
OG0000030	Om001G005680	CP26_g51212_DN3_SP0_c.t1
OG0000030	Om011G364950, Om004G165220	CP8_g52519_DN1_SP0_c.t1
OG0000030	Om005G226380	CP26_g51211_DN3_SP0_c.t1
OG0000033	Om001G010220, Om001G010110	CP16_g55465_DN3_SP1_c.t1
OG0000034	Om010G364590, Om008G356530, Om001G014760	CP6_g8131_DN3_SP0_c.t1
OG0000034	Om003G107450	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1
OG0000034	Om003G111610, Om007G308590, Om008G343530	CP21_g11036_DN2_SP0_c.t1
OG0000034	Om005G219940, Om006G267380, Om008G344910, Om007G303110, Om003G111210, Om003G106810, Om001G013580, Om001G019560, Om008G349540, Om004G146340, Om008G350170, Om002G076250, Om008G348400, Om007G307960, Om008G348190, Om003G113750, Om005G219960, Om002G081730, Om002G079430, Om003G110790, Om009G362950, Om002G074540, Om005G222580, Om009G363250, Om008G344620	CP15_g35590_DN3_SP0_c.t1
OG0000035	Om007G280400, Om005G227290, Om004G176320, Om007G280390	CP13_g20135_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP4_g25641_DN3_SP0_c.t1
OG0000035	Om004G132400, Om008G334460, Om007G279790	CP4_g25547_DN2_SP0_c.t1, CP9_g28258_DN1_SP0_c.t1
OG0000037	Om001G014920	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000037	Om006G267090	CP1_g41262_DN3_SP0_c.t1, CP3_g16790_DN1_SP0_c.t1
OG0000038	Om005G196570, Om004G131590	CP7_g45289_DN3_SP0_c.t1
OG0000038	Om006G262290	CP3_g13999_DN3_SP0_c.t1
OG0000038	Om008G356970	CP13_g20184_DN3_SP0_c.t1
OG0000038	Om001G023300	CP10_g43043_DN3_SP0_c.t1
OG0000038	Om008G322940	CP10_g43042_DN1_SP0_c.t1
OG0000038	Om002G053860, Om001G005520	CP10_g43041_DN3_SP0_c.t1
OG0000040	Om002G084710, Om002G084780, Om002G084740, Om002G084670	CP11_g31940_DN3_SP0_c.t1
OG0000040	Om008G328570	CP10_g43630_DN1_SP0_c.t1
OG0000041	Om003G112520, Om001G018430, Om007G297590	CP15_g35167_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1
OG0000041	Om007G301270, Om004G141670, Om009G364080, Om007G307140	CP17_g5856_DN1_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1
OG0000041	Om001G021310	CP25_g55865_DN2_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1
OG0000041	Om002G075020	CP13_g20787_DN2_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP12_g31706_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1
OG0000041	Om002G075010, Om001G018420	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1
OG0000042	Om004G177160	CP13_g20255_DN1_SP0_c.t1
OG0000044	Om006G259440, Om005G221670, Om006G265780	CP30_g10197_DN3_SP0_c.t1, CP1_g41420_DN3_SP0_c.t1
OG0000045	Om003G112290	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1
OG0000045	Om001G031280	CP26_g51323_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1
OG0000046	Om008G352850, Om006G241220	CP5_g1580_DN2_SP0_c.t1
OG0000046	Om005G206750	CP9_g28234_DN3_SP0_c.t1
OG0000047	Om006G268590, Om001G028180	CP2_g50481_DN2_SP0_c.t1
OG0000048	Om002G045390	CP10_g42379_DN1_SP0_c.t1
OG0000048	Om007G296190, Om007G296250	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1
OG0000048	Om007G296260	CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1
