Orthogroup	Odontarrhena_muralis	Conringia_planisiliqua
OG0001012	Om005G187750	CP1_g37239_DN3_SP5_c.t1
OG0001013	Om005G202510	CP9_g27592_DN3_SP0_c.t1, CP9_g28029_DN3_SP0_c.t1, CP14_g22726_DN3_SP0_c.t1
OG0001015	Om005G196870, Om007G286650	CP19_g18081_DN3_SP6_c.t1
OG0001016	Om004G164330	CP11_g32820_DN3_SP0_c.t1
OG0001016	Om006G240010	CP2_g48436_DN2_SP0_c.t1
OG0001018	Om006G238170	CP2_g48291_DN3_SP0_c.t1
OG0001019	Om001G000610	CP6_g7066_DN3_SP8_c.t1
OG0001020	Om001G001040	CP6_g7035_DN3_SP7_c.t1
OG0001020	Om008G361270	CP13_g19832_DN3_SP1_c.t1
OG0001021	Om003G128720	CP3_g13106_DN3_SP0_c.t1
OG0001022	Om003G127940	CP3_g13157_DN3_SP8_c.t1
OG0001023	Om008G329680, Om008G329690, Om006G244550, Om004G175290	CP8_g54104_DN2_SP0_c.t1
OG0001024	Om007G280450	CP8_g53004_DN3_SP0_c.t1
OG0001025	Om005G184240	CP1_g36961_DN3_SP1_c.t1
OG0001025	Om007G281330	CP4_g25695_DN3_SP1_c.t1
OG0001026	Om002G042950	CP10_g42172_DN3_SP5_c.t1
OG0001026	Om007G300350	CP11_g32459_DN3_SP7_c.t1
OG0001028	Om008G332050	CP4_g24785_DN3_SP0_c.t1
OG0001028	Om006G252270	CP3_g13833_DN3_SP0_c.t1
OG0001029	Om005G204290	CP7_g45588_DN3_SP6_c.t1
OG0001029	Om004G134460	CP9_g29408_DN3_SP1_c.t1
OG0001030	Om004G138390	CP9_g29199_DN3_SP0_c.t1
OG0001031	Om005G202080	CP7_g45766_DN3_SP8_c.t1
OG0001031	Om004G137500	CP9_g29217_DN3_SP8_c.t1
OG0001032	Om004G135840	CP9_g29309_DN3_SP0_c.t1
OG0001032	Om005G203240	CP7_g45667_DN3_SP0_c.t1
OG0001034	Om004G143630	CP7_g45457_DN3_SP0_c.t1
OG0001034	Om005G207300	CP9_g28689_DN3_SP4_c.t1
OG0001035	Om002G046030, Om002G046020, Om002G046010, Om002G046000	CP2_g47509_DN1_SP0_c.t1
OG0001036	Om004G132870, Om004G132900	CP9_g29503_DN3_SP7_c.t1
OG0001036	Om004G132860	CP9_g29504_DN3_SP2_c.t1
OG0001039	Om003G099660	CP1_g38296_DN3_SP0_c.t1
OG0001039	Om002G064180	CP12_g30092_DN3_SP0_c.t1
OG0001040	Om003G095600	CP1_g37960_DN3_SP0_c.t1
OG0001040	Om002G069240	CP12_g30472_DN3_SP0_c.t1
OG0001041	Om001G026750, Om006G271130, Om005G224060	CP3_g14645_DN3_SP0_c.t1
OG0001042	Om004G167580	CP1_g37913_DN3_SP0_c.t1
OG0001042	Om003G094970	CP6_g7042_DN3_SP0_c.t1
OG0001043	Om003G095340	CP1_g37935_DN3_SP1_c.t1
OG0001043	Om003G095330	CP1_g37932_DN3_SP0_c.t1
OG0001051	Om002G082920	CP10_g43889_DN3_SP1_c.t1
OG0001051	Om001G033650	CP5_g507_DN3_SP0_c.t1
OG0001052	Om001G034140, Om001G033870	CP5_g491_DN3_SP0_c.t1, CP5_g490_DN3_SP0_c.t1
OG0001053	Om005G218880	CP2_g49440_DN3_SP8_c.t1
OG0001053	Om005G188400	CP1_g37281_DN3_SP2_c.t1
OG0001054	Om005G223880	CP2_g49090_DN3_SP3_c.t1
OG0001054	Om005G223800, Om003G098880, Om005G223870	CP2_g49091_DN3_SP0_c.t1
OG0001055	Om005G206280	CP28_g33902_DN3_SP0_c.t1, CP13_g19476_DN3_SP0_c.t1
OG0001056	Om002G053390	CP10_g43008_DN3_SP0_c.t1
OG0001057	Om001G021190	CP5_g1237_DN3_SP0_c.t1
OG0001057	Om003G115800, Om008G321080	CP8_g53390_DN3_SP0_c.t1
OG0001058	Om001G000030	CP6_g7121_DN3_SP8_c.t1
OG0001058	Om001G035410	CP5_g424_DN3_SP8_c.t1
OG0001059	Om008G357520	CP13_g20054_DN3_SP0_c.t1
OG0001059	Om001G004750	CP6_g6843_DN3_SP0_c.t1
OG0001060	Om003G103620	CP6_g7599_DN3_SP8_c.t1
OG0001060	Om002G072890	CP12_g30760_DN3_SP8_c.t1
OG0001061	Om002G071530	CP12_g30660_DN3_SP0_c.t1
OG0001061	Om003G102610	CP6_g7486_DN3_SP0_c.t1, CP6_g7485_DN1_SP0_c.t1
OG0001062	Om006G259280	CP3_g14375_DN3_SP8_c.t1
OG0001062	Om006G230770	CP2_g47669_DN3_SP7_c.t1
OG0001063	Om005G212620, Om003G093110	CP2_g49441_DN3_SP0_c.t1, CP2_g49456_DN2_SP0_c.t1, CP2_g49442_DN1_SP0_c.t1, CP2_g49468_DN3_SP0_c.t1
OG0001063	Om004G155630, Om003G093100, Om004G155640, Om008G354590, Om002G063850	CP10_g42583_DN2_SP0_c.t1
OG0001064	Om008G336220	CP4_g25036_DN3_SP8_c.t1
OG0001065	Om008G335950	CP4_g25019_DN3_SP8_c.t1
OG0001065	Om006G254630	CP3_g14015_DN3_SP8_c.t1
OG0001066	Om008G335940	CP4_g25018_DN3_SP8_c.t1
OG0001066	Om006G254620	CP3_g14014_DN3_SP7_c.t1
OG0001067	Om004G132270	CP9_g29541_DN3_SP8_c.t1
OG0001067	Om005G197660	CP7_g46077_DN3_SP1_c.t1
OG0001068	Om004G142650	CP16_g55111_DN3_SP0_c.t1, CP9_g28873_DN3_SP2_c.t1, CP9_g28874_DN3_SP2_c.t1, CP9_g28875_DN3_SP6_c.t1
OG0001069	Om004G138890	CP9_g29143_DN3_SP8_c.t1
OG0001069	Om005G201270	CP7_g45820_DN3_SP8_c.t1
OG0001070	Om002G055400	CP7_g45236_DN3_SP8_c.t1
OG0001070	Om002G084080	CP10_g43797_DN3_SP1_c.t1
OG0001071	Om005G194160, Om001G020980	CP1_g37714_DN3_SP0_c.t1
OG0001072	Om006G261020, Om006G238440	CP2_g48312_DN3_SP8_c.t1
OG0001073	Om007G290400	CP16_g55272_DN3_SP0_c.t1
OG0001075	Om002G061260	CP12_g29904_DN3_SP1_c.t1, CP12_g29905_DN3_SP8_c.t1
OG0001076	Om002G053600, Om002G053620, Om002G053580	CP20_g4381_DN2_SP0_c.t1
OG0001077	Om001G028890	CP5_g792_DN3_SP0_c.t1
OG0001077	Om008G358770	CP5_g793_DN3_SP0_c.t1
OG0001086	Om001G030820	CP5_g675_DN3_SP8_c.t1
OG0001087	Om001G033000	CP5_g543_DN3_SP8_c.t1
OG0001087	Om002G067760	CP12_g30362_DN3_SP0_c.t1
OG0001087	Om001G033030	CP5_g542_DN3_SP1_c.t1
OG0001088	Om006G270910, Om006G270920	CP13_g19228_DN3_SP0_c.t1
OG0001089	Om006G270670	CP13_g19163_DN3_SP0_c.t1
OG0001089	Om003G100560	CP13_g19164_DN3_SP0_c.t1
OG0001090	Om006G257890	CP3_g14276_DN3_SP0_c.t1
OG0001090	Om004G143350	CP7_g45470_DN3_SP0_c.t1, CP3_g14278_DN3_SP0_c.t1
OG0001090	Om006G257910	CP9_g28336_DN3_SP0_c.t1, CP3_g14279_DN3_SP2_c.t1
OG0001091	Om006G261270	CP3_g14490_DN3_SP8_c.t1
OG0001091	Om003G111530	CP8_g52972_DN3_SP8_c.t1
OG0001092	Om006G254090	CP11_g33274_DN2_SP0_c.t1
OG0001092	Om003G117920	CP8_g53563_DN2_SP0_c.t1
OG0001092	Om004G169810	CP11_g33273_DN3_SP0_c.t1
OG0001093	Om006G241070	CP8_g54398_DN3_SP7_c.t1
OG0001093	Om004G162590	CP11_g32715_DN3_SP7_c.t1
OG0001094	Om004G166070	CP11_g32926_DN3_SP6_c.t1
OG0001094	Om006G232040	CP2_g47776_DN3_SP8_c.t1
OG0001095	Om003G104930, Om003G098310	CP6_g8812_DN3_SP0_c.t1, CP6_g9463_DN3_SP0_c.t1
OG0001096	Om003G121440	CP3_g13545_DN3_SP8_c.t1
OG0001096	Om008G327170	CP4_g24520_DN3_SP8_c.t1
OG0001097	Om003G127180, Om003G098920	CP16_g55457_DN3_SP0_c.t1
OG0001098	Om006G260010	CP3_g14406_DN3_SP6_c.t1
OG0001098	Om006G231290	CP2_g47713_DN3_SP8_c.t1
OG0001100	Om007G279170	CP4_g25496_DN3_SP6_c.t1
OG0001101	Om007G301060	CP11_g32504_DN3_SP1_c.t1
OG0001101	Om008G356620	CP9_g28549_DN3_SP0_c.t1
OG0001102	Om002G043570	CP10_g42223_DN3_SP8_c.t1
OG0001102	Om007G299380	CP11_g32398_DN3_SP8_c.t1
OG0001103	Om007G302690	CP2_g48650_DN2_SP0_c.t1
OG0001104	Om002G046780, Om007G293310	CP2_g48642_DN3_SP8_c.t1
OG0001105	Om004G130780	CP9_g29649_DN3_SP1_c.t1
OG0001105	Om005G196580	CP7_g46155_DN3_SP0_c.t1
OG0001106	Om005G197880	CP7_g46059_DN3_SP8_c.t1
OG0001106	Om006G270430	CP9_g29522_DN3_SP5_c.t1
OG0001107	Om005G199420	CP7_g45961_DN3_SP8_c.t1
OG0001107	Om004G141690	CP9_g28955_DN3_SP8_c.t1
OG0001108	Om004G139030, Om004G139050, Om004G139020	CP9_g29108_DN3_SP7_c.t1
OG0001108	Om005G200740	CP7_g45866_DN3_SP4_c.t1
OG0001111	Om005G212400	CP9_g28292_DN3_SP8_c.t1
OG0001112	Om005G201500, Om005G201320	CP16_g54928_DN3_SP0_c.t1
OG0001113	Om004G169750	CP11_g33279_DN3_SP1_c.t1
OG0001114	Om001G014630, Om004G153880	CP31_g46835_DN2_SP0_c.t1
OG0001115	Om004G142580	CP9_g28879_DN3_SP0_c.t1
OG0001115	Om005G198490	CP7_g46011_DN2_SP0_c.t1
OG0001116	Om003G095740	CP1_g37971_DN3_SP8_c.t1
OG0001116	Om002G069120	CP12_g30463_DN3_SP8_c.t1
OG0001117	Om003G101000, Om003G101110	CP6_g7315_DN3_SP0_c.t1
OG0001117	Om003G100990, Om006G262870	CP6_g7397_DN3_SP0_c.t1
OG0001118	Om003G091610	CP7_g46319_DN3_SP0_c.t1, CP13_g20153_DN3_SP0_c.t1, CP7_g46320_DN3_SP0_c.t1, CP7_g46321_DN3_SP0_c.t1
OG0001119	Om003G094110, Om003G094160	CP19_g18445_DN3_SP0_c.t1, CP19_g18465_DN3_SP0_c.t1
OG0001120	Om001G035460	CP5_g420_DN2_SP3_c.t1
OG0001121	Om003G116510	CP8_g53057_DN2_SP0_c.t1, CP8_g53056_DN2_SP0_c.t1, CP8_g53090_DN3_SP0_c.t1, CP8_g53451_DN3_SP0_c.t1, CP8_g53448_DN3_SP0_c.t1
OG0001122	Om001G029970, Om005G199250	CP7_g45972_DN1_SP0_c.t1, CP9_g28347_DN3_SP0_c.t1, CP282_g12911_DN2_SP0_c.t1, CP151_g11197_DN2_SP0_c.t1, CP9_g28346_DN3_SP0_c.t1, CP410_g51852_DN1_SP0_p.t1, CP9_g28138_DN1_SP0_c.t1, CP151_g11199_DN1_SP0_c.t1, CP151_g11200_DN2_SP0_c.t1, CP9_g28146_DN2_SP0_c.t1, CP9_g28143_DN1_SP0_c.t1, CP410_g51854_DN2_SP0_c.t1, CP9_g28140_DN3_SP0_c.t1
OG0001124	Om002G086830	CP10_g43597_DN3_SP5_c.t1
OG0001124	Om001G019470	CP5_g1300_DN3_SP8_c.t1
OG0001125	Om007G292200	CP7_g44758_DN3_SP0_c.t1
OG0001125	Om008G338370	CP4_g25181_DN3_SP0_c.t1
OG0001126	Om001G006460	CP2_g50044_DN3_SP2_c.t1
OG0001127	Om005G194820	CP1_g37765_DN3_SP2_c.t1
OG0001127	Om006G274830	CP13_g19598_DN3_SP1_c.t1
OG0001128	Om005G193420	CP1_g37657_DN3_SP0_c.t1
OG0001129	Om006G269590	CP13_g19150_DN3_SP5_c.t1, CP13_g19151_DN3_SP2_c.t1
OG0001130	Om006G268210	CP2_g48849_DN3_SP8_c.t1
OG0001131	Om006G249570	CP8_g53720_DN3_SP3_c.t1
OG0001132	Om004G174860	CP11_g33586_DN3_SP8_c.t1
OG0001132	Om002G052350	CP10_g42932_DN3_SP7_c.t1
OG0001133	Om001G018910, Om001G014980, Om003G117020	CP19_g17950_DN3_SP8_c.t1, CP8_g53493_DN3_SP6_c.t1
OG0001134	Om004G161390	CP11_g32626_DN3_SP1_c.t1, CP11_g32625_DN2_SP8_c.t1
OG0001135	Om006G232510	CP2_g47811_DN3_SP0_c.t1
OG0001135	Om004G166180	CP11_g32936_DN3_SP6_c.t1
OG0001136	Om001G000980	CP6_g7039_DN3_SP0_c.t1
OG0001136	Om008G361480	CP13_g19824_DN3_SP0_c.t1
OG0001137	Om008G358120	CP13_g19993_DN3_SP8_c.t1
OG0001137	Om001G003870	CP6_g6881_DN3_SP8_c.t1
OG0001138	Om001G008770, Om005G215100	CP19_g18455_DN3_SP8_c.t1
OG0001138	Om002G043320, Om008G353710	CP11_g31817_DN3_SP0_c.t1
OG0001139	Om007G288230	CP7_g45092_DN2_SP8_c.t1
OG0001140	Om001G035650	CP5_g405_DN3_SP0_c.t1, CP10_g43734_DN3_SP0_c.t1
OG0001141	Om006G251500, Om006G266990	CP3_g14735_DN3_SP0_c.t1
OG0001142	Om002G070970	CP12_g30626_DN3_SP8_c.t1
OG0001142	Om003G102330	CP6_g7442_DN3_SP5_c.t1
OG0001143	Om008G322550	CP4_g24218_DN3_SP0_c.t1
OG0001143	Om003G125560	CP3_g13332_DN3_SP0_c.t1
OG0001144	Om008G323400	CP4_g24285_DN3_SP4_c.t1
OG0001145	Om002G047570	CP19_g18408_DN3_SP0_c.t1
OG0001146	Om008G327790	CP4_g24558_DN3_SP8_c.t1
OG0001146	Om002G053170	CP10_g42992_DN3_SP8_c.t1
OG0001147	Om005G225200	CP2_g49000_DN3_SP1_c.t1, CP2_g48999_DN3_SP3_c.t1
OG0001147	Om006G242020	CP8_g54291_DN3_SP0_c.t1
OG0001148	Om004G166470	CP11_g32959_DN3_SP2_c.t1
OG0001149	Om006G257580	CP3_g14248_DN3_SP0_c.t1
OG0001149	Om006G229310	CP2_g47561_DN3_SP0_c.t1
OG0001150	Om007G298860	CP11_g32361_DN3_SP7_c.t1
OG0001150	Om002G043860	CP10_g42250_DN3_SP1_c.t1
OG0001151	Om002G049430	CP10_g42682_DN3_SP0_c.t1
OG0001151	Om007G303840	CP2_g48704_DN2_SP0_c.t1
OG0001152	Om006G250520	CP3_g13714_DN3_SP0_c.t1, CP13_g20423_DN2_SP0_c.t1
OG0001152	Om008G329540	CP4_g24661_DN3_SP0_c.t1
OG0001153	Om008G337320	CP4_g25111_DN3_SP0_c.t1
OG0001154	Om004G137780	CP9_g29160_DN3_SP8_c.t1
OG0001154	Om005G201420	CP7_g45811_DN3_SP8_c.t1
OG0001155	Om004G136870	CP9_g29243_DN3_SP4_c.t1
OG0001155	Om005G202350	CP7_g45739_DN3_SP3_c.t1
OG0001156	Om004G143890	CP7_g45426_DN3_SP2_c.t1
OG0001156	Om005G207750	CP9_g28657_DN3_SP2_c.t1
OG0001157	Om005G190210	CP1_g37429_DN3_SP0_c.t1
OG0001158	Om005G207150	CP9_g28698_DN3_SP4_c.t1
OG0001158	Om004G143390	CP7_g45466_DN3_SP2_c.t1
OG0001159	Om004G135720	CP9_g29314_DN3_SP0_c.t1
OG0001159	Om004G135760, Om004G135740	CP9_g29313_DN3_SP0_c.t1
OG0001160	Om003G090340	CP7_g46399_DN3_SP8_c.t1
OG0001161	Om002G069190	CP12_g30468_DN3_SP8_c.t1
OG0001161	Om003G095640	CP1_g37964_DN3_SP8_c.t1
OG0001164	Om006G235230, Om006G235270	CP2_g48053_DN3_SP0_c.t1, CP10_g42500_DN1_SP0_c.t1
OG0001169	Om003G115820	CP8_g53389_DN3_SP1_c.t1
OG0001170	Om002G047380, Om002G047370	CP10_g42520_DN3_SP0_c.t1
OG0001170	Om007G293670	CP2_g48600_DN3_SP8_c.t1
OG0001171	Om005G221900	CP2_g49201_DN3_SP0_c.t1
OG0001171	Om005G189750	CP1_g37395_DN2_SP0_c.t1
OG0001172	Om006G273870	CP13_g19499_DN3_SP0_c.t1
OG0001173	Om001G018260	CP19_g18027_DN3_SP1_c.t1
OG0001173	Om005G228160	CP13_g19094_DN3_SP0_c.t1
OG0001174	Om002G053840	CP10_g43039_DN3_SP8_c.t1
OG0001175	Om003G118430	CP8_g53602_DN3_SP0_c.t1
OG0001176	Om006G231760	CP2_g47752_DN3_SP8_c.t1
OG0001176	Om004G165430	CP11_g32884_DN3_SP8_c.t1
OG0001177	Om004G168130, Om004G168100	CP11_g33095_DN3_SP0_c.t1, CP11_g33099_DN3_SP0_c.t1, CP11_g33096_DN3_SP0_c.t1
OG0001178	Om004G168330	CP11_g33115_DN3_SP8_c.t1
OG0001178	Om006G236820, Om006G236830, Om006G236840	CP2_g48173_DN3_SP0_c.t1, CP2_g48175_DN3_SP3_c.t1
OG0001179	Om001G002710	CP6_g6941_DN1_SP0_c.t1
OG0001179	Om002G074090	CP12_g30835_DN3_SP0_c.t1
OG0001179	Om003G104170	CP6_g8291_DN3_SP0_c.t1
OG0001180	Om001G004420	CP6_g6854_DN3_SP1_c.t1
OG0001180	Om008G357690	CP13_g20040_DN3_SP8_c.t1
OG0001181	Om001G007890	CP19_g18512_DN3_SP8_c.t1
OG0001181	Om008G354480	CP11_g31881_DN3_SP8_c.t1
OG0001182	Om008G340520	CP4_g25335_DN3_SP2_c.t1
OG0001182	Om007G289260	CP7_g45008_DN3_SP6_c.t1
OG0001183	Om001G035210	CP5_g433_DN3_SP8_c.t1
OG0001183	Om002G084370	CP10_g43769_DN3_SP8_c.t1
OG0001184	Om003G127310	CP3_g13207_DN1_SP5_c.t1
OG0001184	Om008G320610	CP4_g24059_DN1_SP5_c.t1
OG0001185	Om003G126820	CP3_g13234_DN3_SP0_c.t1
OG0001185	Om008G321040	CP4_g24091_DN3_SP0_c.t1
OG0001187	Om007G279310	CP4_g25510_DN3_SP1_c.t1
OG0001187	Om005G182570	CP1_g36548_DN3_SP4_c.t1
OG0001188	Om004G170230	CP11_g33238_DN3_SP8_c.t1
OG0001188	Om007G281960	CP4_g25751_DN3_SP8_c.t1
OG0001189	Om002G042490	CP10_g42130_DN3_SP6_c.t1
OG0001189	Om007G301350	CP11_g32525_DN3_SP8_c.t1
OG0001190	Om002G045600	CP10_g42392_DN3_SP8_c.t1
OG0001191	Om007G293620	CP2_g48607_DN3_SP8_c.t1
OG0001191	Om002G047290	CP10_g42512_DN3_SP8_c.t1
OG0001193	Om006G251660	CP3_g13786_DN3_SP8_c.t1
OG0001193	Om008G331060	CP4_g24745_DN3_SP8_c.t1
OG0001194	Om006G251130	CP3_g13757_DN3_SP5_c.t1
OG0001194	Om006G251160	CP71_g11195_DN3_SP0_c.t1, CP6_g7707_DN3_SP0_c.t1
OG0001194	Om002G050930	CP10_g42818_DN3_SP8_c.t1
OG0001195	Om005G198660	CP7_g46006_DN3_SP0_c.t1
OG0001196	Om004G138870	CP9_g29142_DN3_SP5_c.t1
OG0001196	Om005G201250	CP7_g45822_DN3_SP8_c.t1
OG0001197	Om006G253160	CP3_g13904_DN3_SP0_c.t1
OG0001197	Om005G188180	CP7_g46203_DN1_SP0_c.t1
OG0001198	Om007G294050	CP2_g48575_DN2_SP0_c.t1
OG0001200	Om006G241520	CP8_g54339_DN2_SP0_c.t1
OG0001200	Om003G090810	CP7_g46372_DN2_SP0_c.t1
OG0001201	Om006G238190	CP2_g48292_DN3_SP6_c.t1
OG0001201	Om006G261620	CP3_g14505_DN3_SP7_c.t1
OG0001202	Om006G259060	CP3_g14360_DN3_SP8_c.t1
OG0001202	Om006G260190	CP3_g14414_DN3_SP2_c.t1
OG0001203	Om003G119970	CP301_g18542_DN3_SP0_c.t1, CP305_g18552_DN3_SP0_c.t1, CP364_g51487_DN3_SP0_c.t1, CP3_g15445_DN3_SP0_c.t1, CP3_g15480_DN3_SP1_c.t1, CP3_g15457_DN3_SP0_c.t1, CP3_g15278_DN3_SP1_c.t1, CP3_g15272_DN3_SP0_c.t1
OG0001204	Om003G101670	CP6_g7373_DN3_SP0_c.t1, CP6_g7374_DN3_SP0_c.t1
OG0001205	Om002G060410	CP10_g43488_DN2_SP0_c.t1
OG0001207	Om003G100370	CP6_g7257_DN3_SP4_c.t1
OG0001207	Om002G063290	CP12_g30032_DN3_SP4_c.t1
OG0001208	Om003G098430	CP1_g38178_DN3_SP8_c.t1
OG0001208	Om002G065980	CP12_g30222_DN3_SP8_c.t1
OG0001209	Om003G098060	CP1_g38151_DN3_SP6_c.t1
OG0001209	Om002G066390	CP12_g30249_DN3_SP8_c.t1
OG0001211	Om008G342180	CP7_g46390_DN3_SP0_c.t1
OG0001218	Om002G046860	CP10_g42483_DN2_SP0_c.t1
OG0001219	Om003G118330	CP16_g55176_DN2_SP0_c.t1
OG0001223	Om002G082000	CP10_g44026_DN2_SP0_c.t1
OG0001223	Om001G031810	CP5_g620_DN3_SP0_c.t1
OG0001224	Om005G187250	CP1_g37200_DN3_SP8_c.t1
OG0001226	Om006G269860	CP13_g19210_DN3_SP2_c.t1
OG0001227	Om002G052210	CP10_g42921_DN3_SP7_c.t1
OG0001227	Om004G175150	CP11_g33596_DN3_SP6_c.t1
OG0001230	Om006G236280	CP2_g48124_DN3_SP6_c.t1
OG0001230	Om004G169010	CP11_g33162_DN3_SP6_c.t1
OG0001233	Om001G009770	CP19_g18384_DN3_SP8_c.t1
OG0001233	Om008G352720	CP20_g4399_DN3_SP7_c.t1
OG0001234	Om004G138070	CP9_g29182_DN3_SP8_c.t1
OG0001234	Om007G287480	CP1_g38652_DN3_SP6_c.t1
OG0001235	Om002G083990	CP10_g43806_DN3_SP6_c.t1
OG0001235	Om001G034630	CP5_g466_DN3_SP8_c.t1
OG0001236	Om008G342170	CP7_g46391_DN3_SP0_c.t1
OG0001237	Om008G321460	CP4_g24132_DN3_SP0_c.t1
OG0001237	Om005G208750, Om003G126420	CP3_g13263_DN3_SP0_c.t1
OG0001238	Om008G321570	CP4_g24142_DN3_SP8_c.t1
OG0001238	Om003G126200	CP3_g13276_DN3_SP6_c.t1
OG0001239	Om003G124340	CP3_g13391_DN3_SP8_c.t1
OG0001239	Om008G323910	CP4_g24312_DN3_SP8_c.t1
OG0001240	Om008G324610, Om008G324680	CP4_g24358_DN1_SP0_c.t1
OG0001241	Om008G324870	CP4_g24364_DN3_SP5_c.t1
OG0001241	Om008G324900, Om008G324890	CP4_g24366_DN3_SP0_c.t1, CP4_g24365_DN3_SP6_c.t1
OG0001242	Om004G174520	CP11_g33564_DN3_SP8_c.t1
OG0001242	Om002G052480	CP10_g42943_DN3_SP7_c.t1
OG0001243	Om006G241260	CP8_g54374_DN3_SP2_c.t1
OG0001243	Om005G212570	CP9_g28271_DN2_SP0_c.t1
OG0001245	Om006G258010	CP3_g14281_DN3_SP0_c.t1, CP3_g14283_DN3_SP0_c.t1
OG0001245	Om006G229530	CP2_g47565_DN3_SP2_c.t1
OG0001246	Om005G179070	CP1_g36531_DN3_SP8_c.t1
OG0001247	Om002G050370	CP10_g42773_DN3_SP5_c.t1
OG0001248	Om007G282850, Om007G282830, Om007G282860	CP4_g25831_DN3_SP8_c.t1, CP4_g25829_DN3_SP0_c.t1
OG0001249	Om008G333840	CP4_g24881_DN3_SP0_c.t1
OG0001250	Om007G299800	CP11_g32424_DN3_SP8_c.t1
OG0001250	Om002G043300	CP10_g42197_DN3_SP8_c.t1
OG0001251	Om002G043620	CP10_g42228_DN3_SP8_c.t1
OG0001251	Om007G299300	CP11_g32392_DN3_SP8_c.t1
OG0001253	Om007G294040	CP2_g48576_DN2_SP0_c.t1
OG0001254	Om003G095910	CP1_g37982_DN3_SP1_c.t1
OG0001254	Om008G338050	CP4_g25155_DN3_SP6_c.t1
OG0001255	Om004G133240	CP9_g29479_DN1_SP0_c.t1
OG0001255	Om005G198260	CP7_g46031_DN3_SP0_c.t1
OG0001256	Om004G142260	CP9_g28913_DN3_SP2_c.t1
OG0001256	Om005G198820	CP7_g45994_DN3_SP0_c.t1
OG0001257	Om004G141760	CP9_g28951_DN3_SP8_c.t1
OG0001257	Om005G199300	CP7_g45968_DN3_SP6_c.t1
OG0001258	Om005G200690	CP7_g45871_DN3_SP0_c.t1
OG0001258	Om004G139120	CP9_g29103_DN3_SP0_c.t1
OG0001259	Om005G201530	CP7_g45800_DN3_SP0_c.t1
OG0001261	Om005G194440	CP1_g37737_DN3_SP0_c.t1
OG0001262	Om005G194320	CP1_g37727_DN3_SP0_c.t1
OG0001262	Om005G194340, Om005G194330	CP1_g37729_DN3_SP0_c.t1, CP1_g37728_DN3_SP0_c.t1
OG0001263	Om005G191580	CP1_g37525_DN3_SP5_c.t1
OG0001264	Om002G057540	CP10_g43301_DN3_SP8_c.t1
OG0001264	Om003G090210	CP7_g46406_DN3_SP8_c.t1
OG0001265	Om003G095680	CP1_g37969_DN3_SP8_c.t1
OG0001265	Om002G069140	CP12_g30465_DN3_SP8_c.t1
OG0001268	Om001G028270, Om001G028250	CP5_g832_DN3_SP0_c.t1
OG0001269	Om007G289700, Om007G289710	CP4_g25316_DN3_SP0_c.t1, CP4_g25317_DN3_SP0_c.t1, CP7_g44977_DN3_SP0_c.t1
OG0001274	Om004G153070, Om018G373760	CP16_g55099_DN3_SP5_c.t1
OG0001274	Om001G027260	CP5_g892_DN3_SP8_c.t1
OG0001275	Om005G202690	CP7_g45703_DN3_SP8_c.t1
OG0001275	Om001G033720	CP5_g503_DN3_SP8_c.t1
OG0001276	Om005G222670	CP2_g49160_DN3_SP0_c.t1
OG0001276	Om005G189920	CP1_g37408_DN3_SP0_c.t1
OG0001277	Om005G222970	CP2_g49122_DN1_SP0_c.t1
OG0001278	Om002G076590	CP12_g31287_DN3_SP7_c.t1
OG0001279	Om007G300380	CP11_g32462_DN3_SP8_c.t1
OG0001279	Om002G042920	CP10_g42169_DN3_SP8_c.t1
OG0001280	Om006G269500	CP13_g19136_DN3_SP0_c.t1
OG0001280	Om002G054490	CP5_g1525_DN3_SP2_c.t1
OG0001281	Om005G227890	CP13_g19099_DN3_SP0_c.t1
OG0001281	Om007G318310	CP19_g17856_DN3_SP0_c.t1
OG0001282	Om006G250090	CP8_g53675_DN3_SP2_c.t1, CP19_g18024_DN3_SP0_c.t1
OG0001283	Om003G119930	CP3_g13649_DN3_SP8_c.t1
OG0001283	Om008G328480	CP4_g24599_DN3_SP8_c.t1
OG0001284	Om003G108870	CP8_g52357_DN3_SP8_c.t1
OG0001284	Om006G234900	CP2_g48019_DN3_SP8_c.t1
OG0001285	Om003G116080	CP8_g53415_DN2_SP0_c.t1
OG0001285	Om001G020050	CP5_g1281_DN3_SP0_c.t1
OG0001286	Om006G249100, Om003G116840	CP8_g53479_DN2_SP0_c.t1
OG0001286	Om003G116830	CP8_g53477_DN3_SP0_c.t1, CP8_g53478_DN3_SP0_c.t1
OG0001287	Om001G018860	CP19_g17957_DN3_SP6_c.t1
OG0001287	Om003G117080, Om004G145930	CP8_g53499_DN3_SP8_c.t1
OG0001288	Om004G163800	CP11_g32792_DN3_SP8_c.t1
OG0001288	Om006G240240	CP2_g48454_DN3_SP8_c.t1
OG0001289	Om001G000320	CP6_g7083_DN3_SP0_c.t1
OG0001289	Om008G362210	CP13_g19768_DN3_SP0_c.t1
OG0001290	Om008G351210	CP20_g4323_DN3_SP6_c.t1
OG0001290	Om001G010830	CP19_g18294_DN3_SP8_c.t1
OG0001291	Om001G011760, Om003G100450	CP7_g44599_DN3_SP0_c.t1
OG0001291	Om001G011750	CP7_g44598_DN1_SP0_c.t1
OG0001292	Om007G282020	CP4_g25759_DN3_SP0_c.t1
OG0001292	Om002G042860	CP10_g42165_DN3_SP0_c.t1
