Orthogroup	Conringia_planisiliqua	Erysimum_linariifolium
OG0000131	CP12_g30982_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1	El006G311530
OG0000132	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1	El005G264210
OG0000133	CP8_g52981_DN3_SP0_c.t1, CP46_g6624_DN3_SP0_c.t1, CP1_g40026_DN2_SP0_c.t1, CP18_g11985_DN2_SP0_c.t1, CP23_g21574_DN1_SP0_c.t1, CP1_g38892_DN3_SP0_c.t1, CP30_g10024_DN3_SP0_c.t1, CP10_g43905_DN3_SP0_c.t1, CP18_g11530_DN3_SP0_c.t1, CP27_g41687_DN2_SP0_c.t1, CP7_g44181_DN1_SP0_c.t1, CP36_g51006_DN1_SP0_c.t1, CP31_g46836_DN3_SP0_c.t1, CP96_g34206_DN3_SP0_c.t1	El005G265050
OG0000133	CP16_g55355_DN3_SP0_c.t1	El001G044680
OG0000135	CP18_g12231_DN1_SP0_c.t1, CP10_g43851_DN2_SP0_c.t1, CP14_g22663_DN1_SP0_c.t1, CP3_g15131_DN1_SP0_c.t1, CP5_g1428_DN2_SP0_c.t1, CP8_g52523_DN1_SP0_c.t1, CP5_g2025_DN2_SP0_c.t1, CP6_g7882_DN2_SP0_c.t1, CP20_g4161_DN1_SP0_c.t1, CP3_g15628_DN2_SP0_c.t1	El007G346110
OG0000135	CP17_g5860_DN2_SP0_c.t1	El004G202160
OG0000136	CP5_g1706_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP271_g11211_DN3_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP11_g31887_DN3_SP0_c.t1	El003G186400, El003G186460
OG0000137	CP92_g51792_DN1_SP0_c.t1	El007G356470
OG0000138	CP16_g55313_DN2_SP0_c.t1	El006G314590
OG0000138	CP16_g55443_DN2_SP0_c.t1	El001G050920
OG0000138	CP2_g48870_DN2_SP0_c.t1	El001G045840
OG0000138	CP2_g48868_DN3_SP0_c.t1	El001G045810, El001G045830
OG0000140	CP17_g5869_DN3_SP0_c.t1	El007G332560, El007G332570, El007G332540
OG0000144	CP3_g16755_DN2_SP0_c.t1, CP3_g16065_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1	El007G351410
OG0000144	CP12_g31721_DN2_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1	El006G293730
OG0000144	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1	El007G351390
OG0000144	CP35_g52082_DN2_SP0_c.t1	El007G362000
OG0000146	CP29_g22095_DN2_SP0_c.t1	El002G123070, El007G336890, El002G123110
OG0000147	CP10_g43624_DN3_SP8_c.t1	El005G277400
OG0000147	CP5_g984_DN3_SP8_c.t1	El003G152940
OG0000147	CP8_g53733_DN3_SP8_c.t1	El007G334350
OG0000147	CP9_g29643_DN3_SP8_c.t1	El004G233720
OG0000147	CP17_g5850_DN3_SP8_c.t1	El005G271430
OG0000147	CP16_g55126_DN3_SP8_c.t1	El006G316840
OG0000149	CP3_g14788_DN3_SP0_c.t1	El001G015560
OG0000149	CP8_g53985_DN3_SP0_c.t1	El006G308870, El007G331430
OG0000150	CP8_g53726_DN3_SP0_c.t1	El006G312860
OG0000151	CP8_g53294_DN3_SP8_c.t1	El007G339860
OG0000151	CP5_g1205_DN3_SP7_c.t1	El003G156070
OG0000151	CP10_g42832_DN3_SP8_c.t1	El005G243780
OG0000151	CP10_g43893_DN3_SP8_c.t1	El005G273960
OG0000151	CP8_g53599_DN3_SP8_c.t1	El007G336000
OG0000151	CP19_g17855_DN3_SP6_c.t1	El003G193180
OG0000152	CP14_g23751_DN3_SP0_c.t1	El006G310290
OG0000152	CP1_g41212_DN2_SP0_c.t1, CP6_g7472_DN3_SP0_c.t1, CP18_g11471_DN3_SP0_c.t1, CP22_g17632_DN2_SP0_c.t1	El003G177030
OG0000155	CP11_g32106_DN3_SP0_c.t1	El001G002450, El001G002560, El001G002510, El001G002610
OG0000157	CP7_g45449_DN2_SP0_c.t1	El005G238850
OG0000158	CP4_g24795_DN1_SP0_c.t1	El003G176020
OG0000160	CP15_g35835_DN2_SP0_c.t1	El007G347580, El004G202080, El002G123360, El007G360520
OG0000162	CP16_g55105_DN3_SP0_c.t1	El005G268830
OG0000162	CP8_g54067_DN2_SP0_c.t1	El007G330500
OG0000164	CP5_g1063_DN3_SP0_c.t1	El003G154310, El003G154300
OG0000165	CP6_g9735_DN1_SP0_c.t1	El006G319440
OG0000166	CP8_g54681_DN2_SP0_c.t1	El004G197940
OG0000167	CP6_g6855_DN3_SP0_c.t1	El003G166330
OG0000167	CP6_g6857_DN3_SP0_c.t1	El003G186190, El007G348790
OG0000167	CP1_g38820_DN1_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38811_DN2_SP0_c.t1	El003G166350
OG0000167	CP6_g6856_DN2_SP0_c.t1	El003G186120
OG0000168	CP15_g35379_DN3_SP0_c.t1, CP13_g20572_DN1_SP0_c.t1	El007G366060, El007G366100
OG0000168	CP8_g52217_DN1_SP0_c.t1	El006G293350, El004G205010
OG0000169	CP16_g55346_DN3_SP0_c.t1	El006G309550
OG0000171	CP4_g24004_DN3_SP6_c.t1	El006G280730
OG0000171	CP9_g28660_DN3_SP6_c.t1, CP7_g45435_DN3_SP8_c.t1	El002G108810
OG0000171	CP2_g49264_DN3_SP7_c.t1	El004G201030
OG0000171	CP11_g32500_DN3_SP8_c.t1	El001G066810
