Orthogroup	Conringia_planisiliqua	Cardamine_amara
OG0000552	CP7_g45441_DN3_SP0_c.t1	evm.model.RL_5.3425
OG0000552	CP3_g13164_DN3_SP0_c.t1	evm.model.RL_7.139, evm.model.RL_6.1199
OG0000554	CP22_g17293_DN2_SP0_c.t1	evm.model.RL_3.335
OG0000556	CP12_g30872_DN3_SP8_c.t1	evm.model.RL_1.2383
OG0000557	CP3_g13362_DN3_SP0_c.t1	evm.model.RL_7.336, evm.model.RL_7.337
OG0000558	CP2_g49162_DN3_SP0_c.t1	evm.model.RL_3.444, evm.model.RL_6.2355
OG0000558	CP4_g25639_DN3_SP0_c.t1, CP4_g26841_DN1_SP0_c.t1	evm.model.RL_3.443
OG0000559	CP11_g33591_DN3_SP1_c.t1	evm.model.RL_4.3249
OG0000559	CP11_g33603_DN3_SP0_c.t1	evm.model.RL_4.3262
OG0000562	CP10_g42579_DN3_SP8_c.t1	evm.model.RL_1.516.4.687c87ea
OG0000562	CP11_g32503_DN3_SP8_c.t1	evm.model.RL_4.2164
OG0000562	CP2_g48551_DN3_SP8_c.t1	evm.model.RL_4.1100
OG0000563	CP5_g1770_DN3_SP0_c.t1, CP5_g1776_DN2_SP0_c.t1, CP5_g1761_DN2_SP0_c.t1	evm.model.RL_2.457
OG0000564	CP16_g55169_DN3_SP0_c.t1	evm.model.RL_6.373, evm.model.RL_6.370
OG0000566	CP8_g54269_DN2_SP0_c.t1	evm.model.RL_4.1597
OG0000569	CP4_g25218_DN3_SP0_c.t1	evm.model.RL_6.1611
OG0000570	CP10_g42201_DN3_SP8_c.t1	evm.model.RL_1.121
OG0000571	CP8_g54099_DN3_SP8_c.t1	evm.model.RL_8.2145
OG0000571	CP1_g37089_DN3_SP8_c.t1, CP1_g37090_DN3_SP2_c.t1	evm.model.RL_5.659, evm.model.RL_5.658
OG0000572	CP3_g14806_DN3_SP0_c.t1, CP3_g15404_DN3_SP0_c.t1	evm.model.RL_7.1752
OG0000572	CP6_g6955_DN3_SP0_c.t1, CP9_g28994_DN3_SP0_c.t1	evm.model.RL_3.1767
OG0000573	CP2_g49157_DN3_SP1_c.t1	evm.model.RL_3.359.1.687c84ba
OG0000575	CP2_g49287_DN3_SP5_c.t1, CP3_g15566_DN3_SP2_c.t1, CP5_g629_DN3_SP1_c.t1, CP2_g49391_DN2_SP3_c.t1	evm.model.RL_7.1987
OG0000578	CP1_g37334_DN3_SP8_c.t1	evm.model.RL_5.908
OG0000578	CP2_g49347_DN3_SP8_c.t1	evm.model.RL_3.507
OG0000578	CP9_g28605_DN3_SP7_c.t1	evm.model.RL_3.1392
OG0000579	CP19_g18068_DN3_SP6_c.t1, CP8_g53215_DN3_SP4_c.t1	evm.model.RL_8.1361, evm.model.RL_8.1365
OG0000579	CP19_g17877_DN3_SP8_c.t1	evm.model.RL_2.2089
OG0000581	CP10_g42891_DN3_SP4_c.t1, CP10_g42890_DN3_SP4_c.t1	evm.model.RL_1.834, evm.model.RL_1.833
OG0000582	CP8_g54154_DN3_SP8_c.t1	evm.model.RL_7.1671, evm.model.RL_4.1470
OG0000584	CP1_g36691_DN3_SP8_c.t1, CP13_g20194_DN2_SP0_c.t1	evm.model.RL_5.241
OG0000584	CP5_g1146_DN3_SP6_c.t1	evm.model.RL_2.2368
OG0000585	CP7_g44900_DN3_SP2_c.t1, CP4_g25294_DN3_SP8_c.t1	evm.model.RL_1.1384, evm.model.RL_6.1536
OG0000586	CP22_g17593_DN2_SP0_c.t1	evm.model.RL_4.663
OG0000587	CP8_g54533_DN3_SP8_c.t1	evm.model.RL_8.220
OG0000587	CP4_g24034_DN3_SP7_c.t1	evm.model.RL_6.2828
OG0000587	CP1_g36514_DN3_SP8_c.t1	evm.model.RL_5.72
OG0000588	CP10_g43461_DN3_SP8_c.t1	evm.model.RL_1.1413
OG0000588	CP4_g24465_DN3_SP8_c.t1	evm.model.RL_6.2386
OG0000588	CP7_g46252_DN3_SP8_c.t1	evm.model.RL_5.3792
OG0000589	CP3_g14828_DN3_SP0_c.t1, CP3_g14829_DN3_SP0_c.t1	evm.model.RL_7.1759, evm.model.RL_7.1761
OG0000590	CP2_g48582_DN3_SP6_c.t1	evm.model.RL_4.1063.1.687c86d1
OG0000592	CP1_g38258_DN3_SP6_c.t1	evm.model.RL_5.2146
OG0000592	CP7_g45946_DN3_SP8_c.t1	evm.model.RL_5.1635
OG0000599	CP14_g23210_DN2_SP0_c.t1	evm.model.RL_2.1527
OG0000600	CP8_g53653_DN3_SP5_c.t1	evm.model.RL_8.1733
OG0000600	CP5_g1065_DN3_SP7_c.t1	evm.model.RL_2.2457
OG0000602	CP3_g14037_DN3_SP7_c.t1	evm.model.RL_7.1068
OG0000602	CP10_g42946_DN3_SP8_c.t1	evm.model.RL_1.894, evm.model.RL_1.895
OG0000604	CP19_g18152_DN3_SP8_c.t1	evm.model.RL_2.2009
OG0000605	CP9_g29043_DN3_SP8_c.t1	evm.model.RL_3.1817
OG0000605	CP9_g29041_DN3_SP2_c.t1	evm.model.RL_3.1815
OG0000605	CP9_g29042_DN3_SP3_c.t1	evm.model.RL_3.1816
OG0000606	CP12_g29947_DN3_SP8_c.t1	evm.model.RL_1.1521
OG0000606	CP9_g29723_DN3_SP8_c.t1	evm.model.RL_3.2481
OG0000606	CP1_g37884_DN3_SP8_c.t1	evm.model.RL_5.3705.2.687c88c4
OG0000607	CP12_g30241_DN1_SP0_c.t1	evm.model.RL_1.1811
OG0000607	CP10_g44023_DN3_SP0_c.t1	evm.model.RL_1.2784
OG0000607	CP5_g619_DN1_SP0_c.t1	evm.model.RL_2.2912
OG0000608	CP20_g4022_DN3_SP0_c.t1	evm.model.RL_7.588
OG0000612	CP3_g13598_DN3_SP2_c.t1, CP4_g24538_DN3_SP8_c.t1	evm.model.RL_8.742
OG0000612	CP1_g37293_DN3_SP3_c.t1	evm.model.RL_5.869
OG0000613	CP10_g42243_DN3_SP2_c.t1	evm.model.RL_1.163
OG0000613	CP5_g1608_DN3_SP6_c.t1	evm.model.RL_2.347, evm.model.RL_2.354
OG0000614	CP11_g33015_DN3_SP2_c.t1, CP11_g33014_DN3_SP8_c.t1, CP11_g33016_DN1_SP0_c.t1	evm.model.RL_8.730, evm.model.RL_8.731
OG0000615	CP10_g43718_DN3_SP7_c.t1	evm.model.RL_1.2984
OG0000615	CP5_g396_DN3_SP7_c.t1	evm.model.RL_2.3143
OG0000615	CP3_g14246_DN3_SP7_c.t1	evm.model.RL_7.1268
OG0000616	CP8_g54088_DN3_SP0_c.t1	evm.model.RL_8.2134
OG0000617	CP2_g49373_DN3_SP0_c.t1	evm.model.RL_8.191, evm.model.RL_8.199
OG0000618	CP9_g29495_DN3_SP8_c.t1	evm.model.RL_3.2253
OG0000618	CP5_g1252_DN3_SP7_c.t1	evm.model.RL_2.2268
OG0000619	CP3_g14018_DN3_SP8_c.t1	evm.model.RL_7.1046
OG0000620	CP64_g21061_DN3_SP1_c.t1, CP7_g45901_DN3_SP6_c.t1	evm.model.RL_5.1688
OG0000620	CP9_g29047_DN3_SP8_c.t1	evm.model.RL_3.1824
OG0000621	CP11_g31803_DN3_SP0_c.t1	evm.model.RL_8.514
OG0000621	CP5_g1833_DN3_SP0_c.t1	evm.model.RL_2.525_evm.model.RL_2.524
OG0000626	CP2_g48919_DN3_SP0_c.t1, CP2_g48921_DN3_SP0_c.t1	evm.model.RL_3.138
OG0000626	CP2_g48923_DN3_SP0_c.t1, CP2_g48920_DN2_SP0_c.t1	evm.model.RL_3.139
OG0000628	CP9_g29435_DN3_SP0_c.t1	evm.model.RL_3.2192.1.687c84bd
OG0000628	CP12_g30210_DN3_SP8_c.t1, CP12_g30211_DN3_SP2_c.t1	evm.model.RL_1.1784
OG0000630	CP5_g1674_DN2_SP0_c.t1	evm.model.RL_2.413
OG0000632	CP4_g24198_DN3_SP8_c.t1	evm.model.RL_8.20, evm.model.RL_7.287
OG0000633	CP7_g46202_DN3_SP0_c.t1	evm.model.RL_5.1382, evm.model.RL_7.2010, evm.model.RL_3.2473
OG0000635	CP4_g25595_DN3_SP0_c.t1	evm.model.RL_3.556, evm.model.RL_6.1250, evm.model.RL_6.900
OG0000636	CP11_g33317_DN3_SP0_c.t1	evm.model.RL_4.1763, evm.model.RL_4.2956, evm.model.RL_4.2955
OG0000638	CP5_g1015_DN2_SP0_c.t1	evm.model.RL_1.2536, evm.model.RL_2.150, evm.model.RL_2.2513, evm.model.RL_2.2512, evm.model.RL_2.2437, evm.model.RL_2.2496
OG0000642	CP5_g1553_DN3_SP0_c.t1	evm.model.RL_2.298
OG0000645	CP6_g7536_DN2_SP0_c.t1	evm.model.RL_2.940, evm.model.RL_2.939
OG0000645	CP6_g7537_DN3_SP0_c.t1	evm.model.RL_2.938
OG0000646	CP13_g19131_DN3_SP8_c.t1	evm.model.RL_7.2116
OG0000646	CP10_g42190_DN3_SP8_c.t1	evm.model.RL_1.113
OG0000647	CP11_g33589_DN3_SP8_c.t1	evm.model.RL_4.3244
OG0000649	CP1_g39418_DN3_SP8_c.t1	evm.model.RL_5.2409
OG0000649	CP7_g45594_DN3_SP1_c.t1	evm.model.RL_5.3571
OG0000650	CP13_g19916_DN3_SP1_c.t1	evm.model.RL_4.223
OG0000650	CP13_g19915_DN3_SP8_c.t1	evm.model.RL_4.222
OG0000653	CP8_g54240_DN2_SP0_c.t1	evm.model.RL_4.1569
OG0000653	CP3_g15766_DN1_SP0_c.t1, CP1_g41458_DN1_SP0_c.t1, CP202_g51866_DN2_SP0_c.t1, CP23_g21848_DN3_SP0_c.t1, CP6_g8538_DN2_SP0_c.t1	evm.model.RL_3.839
OG0000654	CP8_g53974_DN2_SP0_c.t1	evm.model.RL_8.2042, evm.model.RL_8.2010
OG0000658	CP3_g13971_DN3_SP7_c.t1	evm.model.RL_4.1057, evm.model.RL_7.2265, evm.model.RL_7.992
OG0000659	CP10_g43557_DN3_SP7_c.t1	evm.model.RL_8.1740, evm.model.RL_2.2460
OG0000660	CP3_g14720_DN3_SP8_c.t1	evm.model.RL_7.1691
OG0000661	CP5_g2246_DN3_SP0_c.t1	evm.model.RL_2.624
OG0000661	CP4_g25588_DN3_SP2_c.t1, CP4_g25594_DN3_SP8_c.t1	evm.model.RL_6.1256, evm.model.RL_6.1074, evm.model.RL_6.2013, evm.model.RL_6.1251
OG0000662	CP11_g32387_DN3_SP0_c.t1	evm.model.RL_4.2054
OG0000662	CP10_g42234_DN3_SP0_c.t1	evm.model.RL_1.149
OG0000662	CP11_g32386_DN3_SP0_c.t1	evm.model.RL_4.2053
OG0000663	CP7_g45199_DN3_SP3_c.t1	evm.model.RL_5.3202
OG0000663	CP9_g28369_DN3_SP5_c.t1	evm.model.RL_3.1173
OG0000666	CP4_g25815_DN2_SP0_c.t1	evm.model.RL_2.2451
OG0000669	CP4_g24316_DN3_SP8_c.t1	evm.model.RL_6.2536
OG0000669	CP10_g43322_DN3_SP6_c.t1	evm.model.RL_1.1267
OG0000669	CP13_g19690_DN3_SP7_c.t1	evm.model.RL_7.2672
OG0000672	CP7_g44981_DN3_SP8_c.t1, CP4_g25323_DN3_SP8_c.t1	evm.model.RL_3.2269, evm.model.RL_2.3046
OG0000673	CP13_g19429_DN3_SP0_c.t1, CP13_g19426_DN3_SP0_c.t1	evm.model.RL_7.2439
OG0000675	CP4_g25543_DN3_SP6_c.t1	evm.model.RL_5.1447
OG0000676	CP1_g36992_DN3_SP6_c.t1	evm.model.RL_5.557
OG0000676	CP9_g29068_DN3_SP4_c.t1	evm.model.RL_3.1843
OG0000677	CP7_g45338_DN3_SP2_c.t1	evm.model.RL_5.3344
OG0000685	CP5_g1051_DN3_SP7_c.t1	evm.model.RL_2.2469
OG0000685	CP10_g43563_DN2_SP1_c.t1	evm.model.RL_1.3145
OG0000685	CP19_g18016_DN3_SP6_c.t1	evm.model.RL_2.2139
OG0000686	CP5_g631_DN3_SP1_c.t1	evm.model.RL_2.2898
OG0000687	CP6_g7190_DN3_SP8_c.t1	evm.model.RL_2.1206
OG0000687	CP4_g24213_DN3_SP7_c.t1	evm.model.RL_6.2651
OG0000689	CP20_g4121_DN3_SP8_c.t1, CP7_g44498_DN3_SP0_c.t1	evm.model.RL_5.3488, evm.model.RL_8.807, evm.model.RL_5.2568
OG0000690	CP6_g8565_DN1_SP0_c.t1, CP12_g31275_DN1_SP0_c.t1, CP2_g50074_DN2_SP0_c.t1, CP1_g41279_DN1_SP0_c.t1	evm.model.RL_5.2417
OG0000691	CP12_g29993_DN3_SP0_c.t1	evm.model.RL_7.2071, evm.model.RL_2.1775
OG0000692	CP3_g13482_DN3_SP0_c.t1	evm.model.RL_7.488, evm.model.RL_7.487
OG0000692	CP3_g13481_DN3_SP7_c.t1	evm.model.RL_7.486
OG0000692	CP4_g24450_DN3_SP8_c.t1	evm.model.RL_6.2405
OG0000693	CP3_g13773_DN3_SP8_c.t1	evm.model.RL_7.784
OG0000693	CP4_g24736_DN3_SP3_c.t1	evm.model.RL_3.868
OG0000693	CP4_g24737_DN3_SP8_c.t1	evm.model.RL_6.2102
OG0000694	CP16_g55143_DN3_SP0_c.t1, CP13_g20293_DN3_SP0_c.t1	evm.model.RL_6.362
OG0000698	CP5_g801_DN3_SP0_c.t1	evm.model.RL_1.846
OG0000702	CP13_g19250_DN3_SP1_c.t1	evm.model.RL_7.2260, evm.model.RL_8.1025
OG0000703	CP11_g33519_DN3_SP7_c.t1	evm.model.RL_4.3162
OG0000703	CP4_g25093_DN3_SP7_c.t1	evm.model.RL_6.1743
OG0000704	CP13_g20051_DN3_SP7_c.t1	evm.model.RL_4.342
OG0000706	CP2_g48432_DN3_SP8_c.t1	evm.model.RL_4.1213, evm.model.RL_4.1214
OG0000706	CP2_g47809_DN3_SP8_c.t1	evm.model.RL_8.2572
OG0000707	CP3_g14291_DN3_SP4_c.t1	evm.model.RL_7.1299
OG0000708	CP10_g44052_DN2_SP0_c.t1, CP10_g44053_DN3_SP0_c.t1, CP12_g31072_DN3_SP0_c.t1	evm.model.RL_5.1024
OG0000709	CP13_g20014_DN3_SP0_c.t1	evm.model.RL_4.345, evm.model.RL_4.320
OG0000710	CP1_g37681_DN3_SP0_c.t1	evm.model.RL_5.1220
OG0000711	CP5_g1431_DN3_SP0_c.t1	evm.model.RL_5.119
OG0000711	CP16_g55012_DN3_SP0_c.t1	evm.model.RL_6.248
OG0000715	CP20_g4460_DN3_SP0_c.t1, CP11_g31774_DN3_SP0_c.t1, CP20_g4461_DN3_SP0_c.t1	evm.model.RL_8.536
OG0000716	CP5_g1741_DN2_SP0_c.t1, CP5_g1742_DN1_SP0_c.t1	evm.model.RL_2.516, evm.model.RL_5.2311
OG0000717	CP7_g45658_DN3_SP5_c.t1	evm.model.RL_5.3632
OG0000718	CP10_g43138_DN3_SP7_c.t1	evm.model.RL_1.1085, evm.model.RL_6.106, evm.model.RL_6.107, evm.model.RL_4.3412
OG0000720	CP3_g13135_DN1_SP0_c.t1	evm.model.RL_7.102
OG0000720	CP11_g32100_DN1_SP0_c.t1	evm.model.RL_8.234
OG0000720	CP1_g36798_DN3_SP0_c.t1	evm.model.RL_5.127
OG0000722	CP9_g28581_DN3_SP7_c.t1	evm.model.RL_3.1366
OG0000722	CP7_g45328_DN3_SP4_c.t1	evm.model.RL_5.3329
OG0000722	CP1_g37736_DN3_SP7_c.t1	evm.model.RL_5.1274
OG0000724	CP10_g43738_DN3_SP0_c.t1	evm.model.RL_7.832
OG0000730	CP13_g19524_DN3_SP3_c.t1	evm.model.RL_7.2541
OG0000730	CP1_g37706_DN3_SP3_c.t1	evm.model.RL_5.1248, evm.model.RL_5.1247
OG0000732	CP19_g18025_DN3_SP5_c.t1	evm.model.RL_2.2132
OG0000732	CP3_g14078_DN3_SP3_c.t1	evm.model.RL_7.1103.2.687c84b8
OG0000734	CP3_g14670_DN2_SP5_c.t1	evm.model.RL_7.1649
OG0000734	CP8_g53062_DN3_SP5_c.t1	evm.model.RL_8.2302
OG0000735	CP8_g53589_DN2_SP1_c.t1	evm.model.RL_8.1684
OG0000735	CP8_g53588_DN3_SP0_c.t1	evm.model.RL_4.70
OG0000736	CP11_g32903_DN3_SP7_c.t1	evm.model.RL_4.2552
OG0000736	CP16_g54856_DN3_SP7_c.t1	evm.model.RL_6.130
OG0000736	CP5_g174_DN3_SP8_c.t1	evm.model.RL_2.3349
OG0000737	CP5_g1994_DN2_SP0_c.t1, CP5_g127_DN3_SP0_c.t1	evm.model.RL_2.3388
OG0000741	CP10_g43311_DN3_SP8_c.t1	evm.model.RL_1.1256
OG0000741	CP8_g53644_DN3_SP8_c.t1	evm.model.RL_8.1724
OG0000744	CP8_g54465_DN2_SP0_c.t1	evm.model.RL_4.1776
OG0000744	CP11_g31799_DN3_SP0_c.t1, CP11_g31778_DN3_SP0_c.t1	evm.model.RL_8.517
OG0000749	CP1_g37633_DN3_SP7_c.t1	evm.model.RL_5.1185
OG0000749	CP7_g45237_DN3_SP8_c.t1	evm.model.RL_5.3237
OG0000749	CP13_g19431_DN3_SP7_c.t1	evm.model.RL_7.2441
OG0000750	CP13_g19093_DN2_SP0_c.t1	evm.model.RL_2.1099, evm.model.RL_2.1098
OG0000751	CP4_g26260_DN3_SP0_c.t1, CP11_g33507_DN3_SP0_c.t1, CP2_g47889_DN1_SP0_c.t1, CP11_g33506_DN3_SP0_c.t1	evm.model.RL_8.2493, evm.model.RL_1.918
OG0000752	CP2_g48413_DN3_SP0_c.t1	evm.model.RL_4.1230
OG0000752	CP11_g32851_DN3_SP0_c.t1	evm.model.RL_4.2510
OG0000753	CP1_g40927_DN3_SP1_c.t1, CP1_g40944_DN3_SP8_c.t1	evm.model.RL_5.2359
OG0000754	CP1_g40656_DN3_SP3_c.t1	evm.model.RL_5.2373, evm.model.RL_5.2372
OG0000755	CP11_g31904_DN3_SP7_c.t1	evm.model.RL_8.421.1.687c8556
OG0000756	CP5_g443_DN2_SP0_c.t1	evm.model.RL_2.3091, evm.model.RL_2.3092
OG0000756	CP2_g49095_DN3_SP0_c.t1	evm.model.RL_3.310
OG0000756	CP13_g20175_DN3_SP0_c.t1	evm.model.RL_4.370
OG0000757	CP11_g33632_DN3_SP3_c.t1	evm.model.RL_4.3296, evm.model.RL_4.3292
OG0000758	CP9_g29629_DN2_SP0_c.t1	evm.model.RL_3.2393
OG0000758	CP4_g25542_DN3_SP0_c.t1	evm.model.RL_6.1303
OG0000758	CP7_g46142_DN2_SP0_c.t1	evm.model.RL_5.1446
OG0000759	CP4_g25758_DN3_SP5_c.t1	evm.model.RL_6.1095
OG0000759	CP1_g36999_DN3_SP7_c.t1	evm.model.RL_5.565
OG0000760	CP3_g13712_DN3_SP8_c.t1	evm.model.RL_7.751
OG0000761	CP12_g30367_DN3_SP0_c.t1	evm.model.RL_1.1932
OG0000762	CP10_g43535_DN3_SP0_c.t1, CP10_g43534_DN3_SP0_c.t1	evm.model.RL_1.3166, evm.model.RL_1.3168, evm.model.RL_7.2018
OG0000762	CP10_g43536_DN3_SP0_c.t1	evm.model.RL_1.3167, evm.model.RL_7.2016, evm.model.RL_7.2015, evm.model.RL_1.3163
OG0000763	CP7_g46316_DN3_SP0_c.t1, CP7_g46313_DN3_SP2_c.t1	evm.model.RL_5.3861
OG0000763	CP7_g46317_DN3_SP0_c.t1	evm.model.RL_1.1345
OG0000764	CP1_g38008_DN3_SP0_c.t1	evm.model.RL_5.1955
OG0000765	CP9_g29304_DN2_SP0_c.t1	evm.model.RL_4.817, evm.model.RL_4.647
OG0000766	CP2_g49452_DN2_SP0_c.t1, CP2_g49463_DN3_SP0_c.t1, CP2_g49458_DN3_SP0_c.t1, CP2_g49444_DN2_SP0_c.t1, CP2_g49457_DN2_SP0_c.t1, CP2_g49469_DN3_SP0_c.t1, CP2_g49449_DN2_SP0_c.t1, CP2_g49443_DN3_SP0_c.t1, CP2_g49472_DN2_SP0_c.t1, CP2_g49470_DN2_SP0_c.t1, CP2_g49462_DN2_SP0_c.t1, CP2_g49471_DN2_SP0_c.t1	evm.model.RL_5.3809
OG0000772	CP13_g19187_DN3_SP0_c.t1	evm.model.RL_7.2185
OG0000773	CP7_g45326_DN3_SP2_c.t1	evm.model.RL_7.2149
OG0000774	CP19_g18009_DN3_SP4_c.t1	evm.model.RL_2.2148
OG0000775	CP10_g43010_DN3_SP5_c.t1	evm.model.RL_1.954
OG0000775	CP10_g43009_DN3_SP2_c.t1	evm.model.RL_1.956, evm.model.RL_1.955
OG0000776	CP4_g24723_DN3_SP7_c.t1	evm.model.RL_6.2113
OG0000776	CP10_g42884_DN3_SP8_c.t1	evm.model.RL_1.1031, evm.model.RL_1.827, evm.model.RL_4.2968
OG0000777	CP5_g1296_DN3_SP8_c.t1	evm.model.RL_2.2228.3.687c86e5
OG0000777	CP7_g46351_DN3_SP7_c.t1	evm.model.RL_5.3891
OG0000779	CP19_g18446_DN3_SP8_c.t1	evm.model.RL_2.1735
OG0000779	CP11_g31800_DN3_SP7_c.t1	evm.model.RL_8.516
OG0000779	CP11_g31779_DN3_SP2_c.t1, CP11_g31798_DN3_SP5_c.t1	evm.model.RL_8.518
OG0000780	CP5_g164_DN3_SP8_c.t1	evm.model.RL_2.3359
OG0000780	CP16_g54849_DN3_SP8_c.t1	evm.model.RL_6.126
OG0000780	CP11_g32912_DN3_SP8_c.t1	evm.model.RL_4.2560
OG0000781	CP4_g24344_DN3_SP3_c.t1	evm.model.RL_6.2507, evm.model.RL_6.2506
OG0000781	CP4_g24343_DN3_SP2_c.t1	evm.model.RL_6.2508
OG0000783	CP8_g54187_DN3_SP6_c.t1	evm.model.RL_4.1517
OG0000783	CP3_g15549_DN3_SP7_c.t1	evm.model.RL_7.1993
OG0000784	CP3_g15074_DN3_SP0_c.t1	evm.model.RL_7.1879
OG0000784	CP8_g54138_DN3_SP3_c.t1	evm.model.RL_4.1455
OG0000785	CP1_g37668_DN3_SP0_c.t1	evm.model.RL_5.2607_evm.model.RL_5.2609
OG0000786	CP2_g48186_DN1_SP0_c.t1	evm.model.RL_7.143
OG0000787	CP10_g43202_DN3_SP0_c.t1	evm.model.RL_1.1145
OG0000788	CP3_g14931_DN3_SP8_c.t1	evm.model.RL_7.1842
OG0000788	CP8_g54100_DN3_SP8_c.t1	evm.model.RL_8.2146
OG0000789	CP9_g29591_DN3_SP8_c.t1	evm.model.RL_3.2355
OG0000789	CP7_g46471_DN3_SP3_c.t1	evm.model.RL_5.4008
OG0000792	CP2_g47743_DN3_SP0_c.t1	evm.model.RL_1.1945
OG0000793	CP1_g37683_DN3_SP0_c.t1	evm.model.RL_5.1940
OG0000794	CP4_g25930_DN2_SP0_c.t1, CP4_g25929_DN2_SP0_c.t1, CP4_g25945_DN2_SP0_c.t1	evm.model.RL_6.924, evm.model.RL_6.923
OG0000795	CP11_g32345_DN3_SP0_c.t1	evm.model.RL_1.2723
OG0000796	CP6_g7428_DN2_SP0_c.t1, CP13_g20463_DN2_SP0_c.t1	evm.model.RL_3.1296, evm.model.RL_2.1713
OG0000798	CP6_g7096_DN3_SP0_c.t1	evm.model.RL_2.1291
OG0000799	CP2_g49118_DN1_SP0_c.t1, CP2_g50295_DN1_SP0_c.t1	evm.model.RL_5.3316
OG0000800	CP13_g19496_DN3_SP0_c.t1	evm.model.RL_7.2511
OG0000802	CP13_g19899_DN3_SP0_c.t1	evm.model.RL_4.207
OG0000802	CP7_g44881_DN3_SP0_c.t1	evm.model.RL_5.2945
OG0000802	CP6_g6975_DN3_SP3_c.t1	evm.model.RL_2.1394
OG0000805	CP6_g7411_DN2_SP0_c.t1, CP12_g30593_DN2_SP0_c.t1	evm.model.RL_1.2133
OG0000806	CP4_g24292_DN3_SP0_c.t1	evm.model.RL_6.2562
OG0000808	CP4_g25866_DN3_SP8_c.t1	evm.model.RL_6.982
OG0000808	CP3_g14779_DN3_SP7_c.t1	evm.model.RL_7.1735
OG0000808	CP8_g53939_DN3_SP8_c.t1	evm.model.RL_8.2012
OG0000812	CP4_g26086_DN3_SP0_c.t1	evm.model.RL_6.827
OG0000813	CP12_g30069_DN1_SP0_c.t1	evm.model.RL_1.1651
OG0000813	CP12_g30070_DN2_SP0_c.t1	evm.model.RL_1.1652, evm.model.RL_1.1650
OG0000814	CP8_g54032_DN3_SP0_c.t1, CP8_g54031_DN3_SP0_c.t1	evm.model.RL_8.2082, evm.model.RL_8.2083, evm.model.RL_8.862
OG0000815	CP3_g14977_DN3_SP0_c.t1, CP26_g51160_DN1_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1	evm.model.RL_8.1004
OG0000818	CP3_g14443_DN3_SP8_c.t1	evm.model.RL_7.1461
OG0000818	CP5_g1230_DN3_SP8_c.t1	evm.model.RL_2.2289
OG0000818	CP13_g19048_DN3_SP7_c.t1	evm.model.RL_3.13
OG0000819	CP10_g43023_DN3_SP8_c.t1	evm.model.RL_1.966
OG0000819	CP11_g33425_DN3_SP3_c.t1	evm.model.RL_4.3071
OG0000819	CP3_g13723_DN3_SP7_c.t1	evm.model.RL_7.744
OG0000821	CP8_g53138_DN3_SP6_c.t1	evm.model.RL_8.1294
OG0000823	CP13_g19770_DN3_SP0_c.t1	evm.model.RL_4.73
OG0000823	CP6_g7080_DN3_SP0_c.t1	evm.model.RL_2.1303
OG0000824	CP7_g44576_DN3_SP4_c.t1, CP7_g44578_DN3_SP4_c.t1	evm.model.RL_5.2646.1.687c88bc, evm.model.RL_5.2647
OG0000824	CP20_g4220_DN3_SP7_c.t1	evm.model.RL_8.737
OG0000825	CP3_g13237_DN3_SP8_c.t1	evm.model.RL_7.212
OG0000825	CP8_g54591_DN3_SP0_c.t1	evm.model.RL_2.223
OG0000825	CP4_g24095_DN3_SP8_c.t1	evm.model.RL_6.2770
OG0000826	CP3_g14515_DN3_SP2_c.t1	evm.model.RL_4.393
OG0000827	CP8_g53468_DN1_SP0_c.t1	evm.model.RL_8.1586
OG0000827	CP11_g33705_DN3_SP8_c.t1	evm.model.RL_4.3372
OG0000828	CP4_g26407_DN3_SP0_c.t1, CP69_g34242_DN2_SP0_c.t1, CP50_g6575_DN1_SP0_c.t1, CP1_g41094_DN1_SP0_c.t1, CP1_g41100_DN3_SP0_c.t1	evm.model.RL_6.1395, evm.model.RL_6.902, evm.model.RL_6.1368, evm.model.RL_4.335
OG0000829	CP11_g32217_DN3_SP0_c.t1	evm.model.RL_4.1889, evm.model.RL_4.1890
OG0000830	CP7_g45736_DN3_SP4_c.t1	evm.model.RL_2.3475
OG0000830	CP9_g29245_DN3_SP8_c.t1	evm.model.RL_3.2014
OG0000831	CP7_g45718_DN3_SP0_c.t1	evm.model.RL_5.3686, evm.model.RL_2.166
OG0000835	CP12_g30251_DN3_SP3_c.t1	evm.model.RL_1.1819
OG0000835	CP1_g38146_DN3_SP8_c.t1	evm.model.RL_5.2067
OG0000841	CP6_g7131_DN3_SP0_c.t1	evm.model.RL_2.1261
OG0000841	CP20_g4291_DN3_SP0_c.t1	evm.model.RL_3.847
OG0000841	CP20_g4298_DN3_SP0_c.t1	evm.model.RL_2.1260, evm.model.RL_3.846, evm.model.RL_1.3136
OG0000842	CP2_g49356_DN3_SP0_c.t1	evm.model.RL_7.2390, evm.model.RL_7.2392
OG0000844	CP10_g42923_DN3_SP8_c.t1	evm.model.RL_1.867
OG0000844	CP11_g33594_DN3_SP8_c.t1	evm.model.RL_4.3252
OG0000845	CP19_g18157_DN3_SP8_c.t1	evm.model.RL_2.2005, evm.model.RL_8.1161
OG0000845	CP3_g14518_DN3_SP8_c.t1	evm.model.RL_7.1523
