Orthogroup	Conringia_planisiliqua	Cardamine_amara
OG0000028	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1, CP4_g26295_DN2_SP0_c.t1, CP5_g2126_DN1_SP0_c.t1, CP3_g14601_DN2_SP0_c.t1, CP25_g55834_DN2_SP0_c.t1, CP28_g34014_DN2_SP0_c.t1, CP17_g5929_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1, CP18_g12498_DN1_SP0_c.t1	evm.model.RL_4.1689
OG0000029	CP22_g17304_DN2_SP0_c.t1	evm.model.RL_8.656, evm.model.RL_4.797, evm.model.RL_2.306, evm.model.RL_5.2382, evm.model.RL_1.2704
OG0000030	CP8_g52519_DN1_SP0_c.t1	evm.model.RL_5.2342
OG0000033	CP16_g55465_DN3_SP1_c.t1	evm.model.RL_2.1847, evm.model.RL_2.1846, evm.model.RL_2.1820_evm.model.RL_2.1823, evm.model.RL_3.424, evm.model.RL_3.1278, evm.model.RL_8.413
OG0000034	CP47_g21230_DN1_SP0_c.t1, CP47_g21257_DN2_SP0_c.t1, CP14_g23830_DN3_SP0_c.t1, CP1_g40470_DN3_SP0_c.t1, CP35_g52032_DN1_SP0_c.t1	evm.model.RL_5.2588
OG0000034	CP21_g11036_DN2_SP0_c.t1	evm.model.RL_2.4
OG0000034	CP15_g35590_DN3_SP0_c.t1	evm.model.RL_5.2587, evm.model.RL_2.749, evm.model.RL_5.2586, evm.model.RL_2.719, evm.model.RL_6.542, evm.model.RL_4.675, evm.model.RL_7.2041
OG0000036	CP13_g20701_DN3_SP0_c.t1	evm.model.RL_1.2959
OG0000036	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1, CP17_g5406_DN1_SP0_c.t1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	CP1_g38898_DN1_SP0_c.t1	evm.model.RL_8.830
OG0000037	CP3_g15633_DN2_SP0_c.t1	evm.model.RL_4.2891, evm.model.RL_5.3695
OG0000038	CP8_g53633_DN2_SP0_c.t1	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000040	CP11_g31940_DN3_SP0_c.t1	evm.model.RL_7.2097
OG0000040	CP13_g19590_DN2_SP0_c.t1	evm.model.RL_2.1272
OG0000042	CP5_g2115_DN2_SP0_c.t1	evm.model.RL_7.1372
OG0000042	CP19_g18411_DN2_SP0_c.t1	evm.model.RL_3.1047
