Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000027	Cg002G070600	Np004G214870, Np005G271730, Np004G214850
OG0000027	Cg006G215350, Cg006G215360	Np004G215070
OG0000027	Cg002G048550, Cg002G048720	Np001G057950, Np001G057940
OG0000029	Cg008G311020	Np004G209620, Np002G086870
OG0000029	Cg007G253930	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	Cg005G177640	Np004G242790, Np003G126680, Np003G167270
OG0000029	Cg006G212710	Np003G172510
OG0000030	Cg013G330360	Np002G096310
OG0000030	Cg005G188990	Np002G096140, Np004G216100
OG0000031	Cg001G042060	Np005G318980
OG0000033	Cg001G017700	Np005G284050, Np005G284060
OG0000033	Cg001G017740, Cg001G017730	Np005G284130
OG0000033	Cg001G017780	Np005G283960, Np005G284080
OG0000034	Cg002G066600	Np007G396340
OG0000036	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690	Np006G342180, Np004G233440, Np005G260660
OG0000038	Cg008G285210, Cg008G285280	Np001G060270
OG0000038	Cg005G159520	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	Cg003G103850	Np003G157800
OG0000038	Cg002G052970	Np005G318000
OG0000039	Cg005G180100, Cg002G062370, Cg002G062340	Np002G110420
OG0000040	Cg006G217350	Np001G009070
OG0000040	Cg006G235040, Cg002G057370	Np004G224970, Np004G224940
OG0000042	Cg002G059980	Np002G085480, Np007G420820
OG0000042	Cg006G216080, Cg005G157480, Cg008G309010, Cg008G310650, Cg013G330010, Cg008G311300, Cg008G309470, Cg007G265550	Np001G027800
OG0000042	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000	Np004G191660
OG0000042	Cg005G175020, Cg003G088120	Np006G336410
OG0000042	Cg002G072070	Np003G181700
OG0000044	Cg001G029670	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	Cg003G096230	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	Cg003G091810	Np006G334530
OG0000046	Cg001G022610	Np005G292150
OG0000046	Cg001G037990	Np005G313330
OG0000048	Cg004G119550	Np007G421470
OG0000048	Cg008G298370	Np003G145420
OG0000052	Cg006G242960	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	Cg005G173390, Cg013G330370	Np006G328590, Np006G328570, Np006G328580
OG0000052	Cg005G163540	Np003G173020
OG0000052	Cg003G083820	Np006G328390, Np006G328410, Np006G328470
OG0000053	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	Cg003G084420	Np001G008270, Np001G039230, Np003G166770
OG0000054	Cg001G018970	Np004G255790
OG0000054	Cg005G189800, Cg005G189790	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850
OG0000055	Cg002G060080	Np001G046730
OG0000055	Cg007G248410	Np002G119410
OG0000055	Cg007G248400	Np002G083070
OG0000055	Cg006G223020	Np002G119400
OG0000055	Cg007G248540, Cg007G248530	Np002G119520, Np002G119220, Np002G119170
OG0000056	Cg007G265440, Cg006G204190	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430
