Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0001930	Cg007G274820	Np002G079330
OG0001931	Cg007G275220	Np002G078920
OG0001931	Cg006G227090	Np004G236770
OG0001932	Cg006G226620	Np004G236220
OG0001932	Cg007G275580	Np002G078450
OG0001933	Cg006G224820	Np004G234220
OG0001933	Cg007G277470	Np002G075770
OG0001934	Cg006G223800	Np004G232640
OG0001934	Cg007G278640	Np002G074190
OG0001935	Cg006G222700	Np004G230740
OG0001935	Cg007G271240	Np002G084600, Np002G084590
OG0001937	Cg006G221060	Np004G226860
OG0001937	Cg007G269890	Np002G086860
OG0001938	Cg006G219370	Np004G210170
OG0001938	Cg006G219360	Np004G210160
OG0001939	Cg005G193460	Np006G370590
OG0001940	Cg008G284520	Np001G068720
OG0001941	Cg008G299540	Np004G205020
OG0001942	Cg004G129900	Np007G406380
OG0001943	Cg004G127510	Np007G410020
OG0001944	Cg004G127300	Np007G410220
OG0001944	Cg008G287040	Np003G131550
OG0001945	Cg002G057330	Np001G050520
OG0001946	Cg002G058130	Np001G049460
OG0001947	Cg002G062580, Cg002G062590	Np001G044620
OG0001948	Cg002G063750	Np001G043890
OG0001949	Cg008G300890	Np003G148670
OG0001950	Cg004G129880	Np007G406400
OG0001950	Cg006G195270	Np004G191680
OG0001951	Cg004G131100	Np007G404850
OG0001952	Cg004G133180	Np007G391450
OG0001953	Cg006G199870	Np004G197730
OG0001954	Cg008G293100	Np003G139650
OG0001954	Cg004G137720	Np007G380500
OG0001955	Cg006G198080	Np004G195330
OG0001955	Cg004G138250	Np007G381200
OG0001956	Cg004G150220, Cg004G151090	Np007G378180
OG0001956	Cg001G006210	Np005G264320
OG0001957	Cg005G171880	Np006G341650
OG0001957	Cg006G215940	Np004G213910
OG0001958	Cg004G148740	Np007G379260, Np007G379250
OG0001959	Cg002G046850	Np001G064960
OG0001960	Cg006G196690	Np004G193680
OG0001962	Cg006G238750	Np004G252170
OG0001962	Cg008G308430	Np004G193270
OG0001963	Cg003G078840, Cg014G330690	Np003G186160
OG0001971	Cg001G011360	Np005G275440
OG0001971	Cg004G156150	Np007G372750
OG0001972	Cg001G010150	Np005G273410
OG0001972	Cg004G154910	Np001G028870, Np007G374120
OG0001973	Cg001G009520	Np005G272490
OG0001973	Cg005G190120	Np006G366010
OG0001974	Cg001G009190	Np005G271870
OG0001975	Cg004G148270	Np007G379580
OG0001975	Cg001G006690	Np005G263840
OG0001976	Cg001G005470	Np005G265390
OG0001976	Cg004G152400	Np007G377140
OG0001977	Cg005G170850	Np006G340080
OG0001977	Cg001G024570	Np005G299270
OG0001978	Cg007G249270	Np002G117800
OG0001978	Cg006G234700	Np004G247340
OG0001979	Cg006G231410	Np004G242210
OG0001980	Cg002G074300	Np001G025140
OG0001980	Cg006G231560	Np004G242340
OG0001981	Cg006G232870	Np004G244430
OG0001981	Cg002G072290	Np001G022640
OG0001982	Cg002G071980	Np001G022250
OG0001982	Cg006G233030	Np004G244600
OG0001983	Cg002G071310	Np001G021320
OG0001983	Cg001G041670	Np005G318410, Np003G151780
OG0001984	Cg002G071100	Np001G021010
OG0001984	Cg001G041480	Np005G318240
OG0001985	Cg001G018290	Np004G245570
OG0001985	Cg006G233590	Np002G120950
OG0001986	Cg002G049560	Np001G061230
OG0001986	Cg005G164880	Np006G330610
OG0001987	Cg008G284890	Np003G128610
OG0001987	Cg004G125870	Np007G412050
OG0001988	Cg004G127010	Np007G410580
OG0001988	Cg008G286580	Np003G130770
OG0001989	Cg004G127190	Np007G410350
OG0001989	Cg008G286910	Np003G131390
OG0001990	Cg003G101490	Np003G162470
OG0001992	Cg001G014090	Np005G279000
OG0001992	Cg003G103210	Np003G158660
OG0001993	Cg003G103420	Np003G158290
OG0001993	Cg001G014210	Np005G279170
OG0001994	Cg003G105150	Np003G155830
OG0001994	Cg001G014940	Np005G280170
OG0001995	Cg008G292670	Np003G139070
OG0001995	Cg008G299970	Np003G147440
OG0001996	Cg008G292180	Np003G138430
OG0001996	Cg008G305720, Cg008G305690	Np001G013580
OG0001997	Cg008G290040	Np003G135900
OG0001997	Cg005G191980	Np006G368370
OG0001998	Cg008G289820	Np003G135630
OG0001998	Cg003G112140	Np001G004730
OG0001999	Cg008G288460	Np003G133570
OG0001999	Cg003G109300	Np001G008940
OG0002000	Cg003G109510	Np001G008710
OG0002000	Cg008G288160	Np003G133280
OG0002001	Cg008G324290	Np001G034300
OG0002001	Cg001G023040	Np005G293270
OG0002002	Cg001G020780	Np001G038530
OG0002003	Cg001G018840	Np005G285850
OG0002003	Cg003G080670	Np003G183260
OG0002004	Cg003G081690	Np003G181640
OG0002004	Cg001G018110	Np005G302070
OG0002005	Cg003G082680	Np003G180050
OG0002005	Cg001G017140	Np005G283240
OG0002006	Cg001G017060	Np005G283150
OG0002006	Cg003G083000	Np003G179840
OG0002007	Cg001G017040	Np005G283130
OG0002008	Cg003G083540	Np003G178660
OG0002008	Cg006G213040	Np004G205760
OG0002010	Cg006G217820, Cg006G217490	Np004G211770
OG0002011	Cg006G217390, Cg006G217380, Cg006G217400	Np004G212400
OG0002012	Cg004G153600	Np007G375770
OG0002012	Cg001G004690	Np005G266530
OG0002013	Cg004G153680	Np007G375680
OG0002013	Cg001G004580	Np005G267020
OG0002014	Cg001G004160	Np005G267490
OG0002014	Cg004G153890	Np007G375400
OG0002015	Cg004G154780	Np007G374260
OG0002015	Cg001G003370	Np005G268490
OG0002016	Cg005G191820	Np006G368080
OG0002016	Cg001G002510	Np030G439960, Np006G348000, Np006G352680, Np005G269660
OG0002017	Cg004G130600	Np007G405550
OG0002017	Cg001G001900	Np005G262340
OG0002017	Cg005G192410	Np006G368950
OG0002018	Cg005G193390	Np006G370550
OG0002018	Cg001G000930	Np005G261140
OG0002019	Cg006G214940	Np004G215790
OG0002021	Cg001G016980	Np005G283050
OG0002021	Cg003G083080	Np003G179710
OG0002022	Cg006G228390	Np004G238460
OG0002022	Cg008G323480	Np001G035970
OG0002023	Cg004G140130	Np007G383820
OG0002023	Cg001G027250	Np005G304510
OG0002024	Cg001G026770	Np005G303790
OG0002024	Cg004G139510	Np007G382960
OG0002026	Cg005G161020	Np006G325250
OG0002027	Cg002G048960	Np001G061930
OG0002027	Cg005G164380	Np006G329980
OG0002028	Cg002G062060	Np001G045010
OG0002028	Cg003G108150	Np003G151850
OG0002029	Cg003G077090, Cg014G332540	Np003G188380
OG0002030	Cg003G078650, Cg014G330900	Np003G186420
OG0002030	Cg006G243320	Np004G257370
OG0002032	Cg005G174410	Np006G356490
OG0002033	Cg006G239480	Np004G252980
OG0002033	Cg005G176080	Np006G347140, Np006G353660
OG0002034	Cg006G238580	Np004G251990
OG0002034	Cg005G177850	Np006G360240
OG0002035	Cg003G102560	Np003G160310
OG0002036	Cg008G296110	Np003G142740
OG0002036	Cg004G117460	Np007G423570
OG0002037	Cg008G296120	Np003G142750
OG0002037	Cg004G117480	Np007G423550
OG0002038	Cg004G133100	Np007G391400
OG0002038	Cg004G121310	Np007G418650
OG0002039	Cg002G050820	Np001G059430, Np001G059440
OG0002039	Cg005G166440	Np006G333080
OG0002040	Cg005G169960	Np006G338770
OG0002040	Cg002G053670	Np001G055330
OG0002041	Cg005G169390	Np006G337770
OG0002041	Cg002G053190	Np001G056210
OG0002043	Cg006G200780	Np004G198750
OG0002044	Cg006G230340	Np004G240780
OG0002045	Cg006G230160	Np004G240580
OG0002045	Cg005G174520	Np002G070980
OG0002046	Cg006G229890	Np004G240230
OG0002046	Cg007G280440	Np002G071560
OG0002047	Cg006G229470	Np004G239690
OG0002047	Cg007G279860	Np002G072520
OG0002048	Cg006G228520	Np004G238590
OG0002048	Cg007G273110	Np002G082190
OG0002049	Cg007G273570	Np002G081470
OG0002049	Cg006G228210	Np004G238210
OG0002050	Cg006G225110	Np004G234560
OG0002050	Cg007G277130	Np002G076410
OG0002051	Cg006G225020	Np004G234470
OG0002051	Cg005G163740	Np004G227090, Np003G173400, Np006G328800
OG0002052	Cg006G224910	Np004G234280
OG0002052	Cg007G277330	Np002G075980
OG0002053	Cg006G224600	Np002G113670
OG0002053	Cg007G277690	Np002G075500
OG0002054	Cg006G222910	Np004G231140
OG0002054	Cg007G271650	Np002G083990
OG0002055	Cg006G222630	Np004G230630
OG0002055	Cg007G271160	Np002G084710
OG0002056	Cg005G187870	Np006G363730
OG0002057	Cg001G008450	Np005G270990
OG0002057	Cg005G188390	Np006G364190
OG0002059	Cg006G241170	Np004G254910
OG0002059	Cg005G174280	Np006G356710
OG0002060	Cg007G270740	Np002G085520
OG0002060	Cg008G295090	Np003G141760
OG0002061	Cg008G303630	Np001G011110
OG0002062	Cg003G108790	Np005G316760, Np005G316750
OG0002063	Cg008G287880	Np003G132800
OG0002063	Cg003G105960	Np003G154590
OG0002064	Cg002G055410, Cg002G055400	Np001G053210
OG0002065	Cg007G272500	Np002G082980
OG0002066	Cg007G277450	Np002G075790
OG0002066	Cg006G224840	Np004G234240
OG0002067	Cg007G276470	Np002G077200
OG0002068	Cg007G279920	Np002G072410
OG0002068	Cg007G280230	Np005G304660
OG0002069	Cg007G280000	Np002G072320
OG0002070	Cg006G229670	Np004G239980
OG0002070	Cg007G280190	Np002G072070
OG0002071	Cg004G129260	Np007G407620
OG0002071	Cg006G194770	Np004G190950
OG0002072	Cg004G129430	Np007G407340
OG0002073	Cg006G196270	Np004G193040, Np004G193080
OG0002073	Cg004G131000	Np007G404970
OG0002074	Cg001G025020	Np005G307220, Np005G307210
OG0002074	Cg004G133510	Np007G391890
OG0002075	Cg004G156270	Np007G372580
OG0002075	Cg004G156260	Np007G372590
OG0002076	Cg006G194070	Np004G190110
OG0002076	Cg004G128470	Np007G408630
OG0002077	Cg006G198170	Np004G195440
OG0002077	Cg004G138110	Np007G381050
OG0002078	Cg002G050670	Np001G059630
OG0002078	Cg002G050680	Np001G059610
OG0002079	Cg008G307930	Np005G279620, Np001G016140
OG0002081	Cg005G193450, Cg013G330410, Cg013G330470, Cg013G330460	Np006G364000
OG0002082	Cg002G052020	Np001G057650
OG0002083	Cg005G164730	Np006G330490
OG0002085	Cg008G320570, Cg008G320580, Cg008G320590	Np001G039960
OG0002093	Cg004G149420	Np007G378490
OG0002093	Cg001G006000	Np005G264540
OG0002094	Cg001G005720	Np005G264860
OG0002095	Cg004G153190	Np007G376080
OG0002095	Cg001G004920	Np005G266150
OG0002096	Cg007G253730	Np002G111330
OG0002096	Cg006G236720	Np004G249790
OG0002097	Cg007G251620	Np002G114130
OG0002097	Cg006G235840	Np004G248720, Np004G248730
OG0002098	Cg007G249870	Np002G116830
OG0002098	Cg007G250330	Np002G116370
OG0002099	Cg006G234960	Np004G247620
OG0002099	Cg007G250060	Np002G117140
OG0002100	Cg006G232100	Np004G242990
OG0002100	Cg002G073720	Np001G024600
OG0002101	Cg001G041600	Np005G318300
OG0002101	Cg002G071240	Np001G021130
OG0002102	Cg004G123720, Cg007G260700	Np004G227540
OG0002103	Cg007G245740	Np002G124450
OG0002103	Cg001G042990	Np005G320270
OG0002104	Cg007G246440	Np002G123250
OG0002104	Cg001G042280	Np005G319350
OG0002105	Cg006G233240	Np004G244890
OG0002105	Cg007G247220	Np002G121470
OG0002106	Cg007G248090	Np002G119790
OG0002106	Cg006G233900	Np004G246020
OG0002107	Cg002G049630	Np001G060920
OG0002107	Cg005G165050	Np006G330790
OG0002108	Cg004G124650	Np007G413890
OG0002109	Cg008G283920, Cg004G125370	Np007G412910
OG0002110	Cg004G125420	Np007G412830
OG0002111	Cg008G284920	Np003G128640
OG0002111	Cg004G125880	Np007G412030
OG0002112	Cg004G126390	Np007G411360
OG0002113	Cg005G177230	Np001G015400
OG0002114	Cg001G012950	Np005G277340
OG0002114	Cg003G100450	Np003G163740
OG0002115	Cg001G013820	Np005G278700
OG0002116	Cg003G102760	Np003G159560
OG0002116	Cg001G014020	Np005G278930
OG0002117	Cg008G293240	Np003G139780
OG0002117	Cg006G219390	Np004G210200
OG0002118	Cg008G305570	Np001G013500
OG0002118	Cg008G292110	Np003G138360
OG0002119	Cg008G291180	Np003G137110
OG0002119	Cg008G304590	Np001G012270
OG0002120	Cg008G303290	Np001G010730
OG0002120	Cg008G289380	Np003G134880
OG0002121	Cg003G109530	Np001G008690
OG0002121	Cg008G288130	Np003G133250
OG0002122	Cg001G023660	Np005G295520
OG0002123	Cg008G322680	Np001G037080
OG0002123	Cg001G021640	Np005G290410
OG0002124	Cg008G322530	Np001G037310
OG0002125	Cg001G020580	Np005G288590
OG0002125	Cg008G321180	Np001G039270
OG0002126	Cg003G079970, Cg003G094040	Np003G184720
OG0002126	Cg001G019750	Np005G287650
OG0002127	Cg003G082800	Np003G179920
OG0002127	Cg001G017100	Np005G283200
OG0002128	Cg003G083510	Np003G178710
OG0002128	Cg006G213050	Np004G205710
OG0002129	Cg003G084520	Np003G177550
OG0002129	Cg006G210990	Np004G208340
OG0002131	Cg003G078110, Cg014G331580	Np003G187010
OG0002131	Cg006G243710	Np004G257730
OG0002132	Cg004G153650	Np007G375720
OG0002133	Cg001G004590	Np005G267010
OG0002134	Cg001G004040	Np005G267590
OG0002134	Cg004G153960	Np007G375270
OG0002135	Cg004G154790	Np007G374250
OG0002135	Cg001G003360	Np005G268500
OG0002136	Cg005G193700	Np006G370930
OG0002136	Cg001G000690	Np005G260730
OG0002137	Cg001G039620	Np005G315580, Np005G318680
OG0002137	Cg001G039650	Np005G318670, Np005G315620
OG0002138	Cg005G172260	Np006G342500
OG0002138	Cg005G172270	Np006G342520
OG0002139	Cg006G204280	Np004G201960, Np004G201950
OG0002139	Cg008G318310	Np001G041970
OG0002140	Cg003G083980	Np003G178130
OG0002141	Cg001G028740	Np005G306930
OG0002141	Cg004G141520	Np007G385620
OG0002142	Cg002G043670	Np001G069460
OG0002142	Cg005G157580	Np006G320550
OG0002143	Cg002G043710	Np001G069390
OG0002143	Cg005G157660	Np006G320660
OG0002144	Cg005G163440	Np006G328330
OG0002145	Cg005G163890	Np006G329010
OG0002145	Cg002G048290	Np001G062840
OG0002146	Cg002G062950	Np001G044390
OG0002146	Cg008G302380	Np003G150740
OG0002147	Cg003G107560, Cg003G107550	Np003G152460, Np003G152410
OG0002148	Cg002G060870, Cg003G107270	Np003G152760
OG0002149	Cg003G110930	Np001G006560
OG0002150	Cg002G056800	Np001G051280
OG0002150	Cg003G114480	Np001G001910
OG0002151	Cg003G115020	Np001G001160
OG0002152	Cg006G245080	Np004G259420, Np004G259430
OG0002153	Cg006G245000	Np004G259330
OG0002153	Cg003G076450, Cg014G333130	Np003G189240
OG0002154	Cg008G320290	Np001G040330
OG0002154	Cg006G242550	Np004G256460
OG0002155	Cg008G319640	Np001G040830
OG0002155	Cg006G242250	Np004G256060
OG0002156	Cg005G173470	Np007G386230
OG0002157	Cg005G174320	Np006G356660
OG0002157	Cg006G241120	Np004G254860
OG0002158	Cg001G013070	Np005G277490
OG0002158	Cg001G013060	Np005G277480
OG0002159	Cg004G117760	Np007G423200
OG0002160	Cg008G297770	Np003G144810
OG0002161	Cg008G307630	Np001G015750
OG0002161	Cg004G120250	Np007G420350
OG0002162	Cg004G141150	Np007G384980
OG0002162	Cg004G122020	Np007G417520
OG0002163	Cg004G122760, Cg004G122770	Np007G416600, Np007G374170
OG0002164	Cg008G310460, Cg008G308800	Np001G016610
OG0002164	Cg004G122820	Np007G416520
OG0002165	Cg008G293630	Np003G140300
OG0002165	Cg004G124230	Np007G414440
OG0002166	Cg002G050210	Np001G060120
OG0002166	Cg005G165730	Np006G331720
OG0002167	Cg005G166710	Np006G333630
OG0002168	Cg005G170700	Np006G339890
OG0002168	Cg002G054430	Np001G054420
OG0002169	Cg005G167680	Np006G335130
OG0002170	Cg007G280510	Np002G071410
OG0002171	Cg006G229760	Np004G240060
OG0002171	Cg007G280300	Np002G071710
OG0002172	Cg006G229740	Np004G240050
OG0002172	Cg007G280280	Np002G071730
OG0002173	Cg006G229500	Np002G072480
OG0002174	Cg007G275430	Np002G078630
OG0002175	Cg007G277200	Np002G076220
OG0002175	Cg006G225030	Np004G234480
OG0002176	Cg008G315760, Cg008G315770, Cg006G223390	Np004G232030
OG0002176	Cg006G223380	Np004G232020
OG0002177	Cg006G222900	Np004G231110
OG0002178	Cg007G270930	Np002G085210
OG0002178	Cg006G222460	Np004G230370
OG0002179	Cg007G267570	Np002G091230
OG0002179	Cg006G219480	Np004G209900
OG0002181	Cg001G005860	Np005G264690
OG0002182	Cg003G108970	Np001G009450
OG0002182	Cg006G232070	Np004G242950
OG0002183	Cg006G232490	Np004G243650
OG0002183	Cg002G072720	Np001G023090
OG0002184	Cg006G216090	Np005G301870
OG0002185	Cg006G233960	Np004G246130
OG0002185	Cg007G248180	Np002G119730
OG0002186	Cg007G250020	Np002G117070
OG0002186	Cg006G235000	Np004G247670
OG0002187	Cg006G236240	Np004G249290
OG0002187	Cg004G124240	Np007G414430
OG0002189	Cg004G127090	Np007G410470
OG0002189	Cg008G286800	Np003G131240
OG0002190	Cg004G126310	Np007G411480
OG0002190	Cg008G285670	Np003G129480
OG0002191	Cg004G137790, Cg004G137800	Np007G380550, Np001G013680
OG0002192	Cg002G064030	Np001G043840
OG0002192	Cg008G301910	Np003G150160
OG0002193	Cg007G246770, Cg007G245690	Np001G045630
OG0002194	Cg006G194300	Np004G190370
OG0002194	Cg004G128730	Np007G408300
OG0002195	Cg004G129270, Cg001G016900	Np005G311990
OG0002195	Cg006G194780	Np004G190960
OG0002196	Cg001G025380, Cg004G133160	Np005G301610
OG0002197	Cg004G133970	Np007G392590
OG0002197	Cg006G201650	Np004G199750
OG0002198	Cg004G134550	Np007G393540
OG0002198	Cg006G201290	Np004G199250
OG0002199	Cg004G134720	Np007G393870
OG0002199	Cg006G201210	Np004G199180
OG0002200	Cg004G151900	Np007G377630, Np003G162450
OG0002201	Cg004G152860	Np007G376510
OG0002201	Cg004G152870	Np007G376500
OG0002202	Cg004G153070	Np007G376190, Np005G266140
OG0002203	Cg008G286460	Np003G130670
OG0002203	Cg004G154950	Np007G374090
OG0002204	Cg004G155480	Np007G373690, Np007G373680
OG0002205	Cg006G199600	Np004G197040
OG0002206	Cg006G199920	Np004G197780
OG0002206	Cg004G135960	Np007G396020
OG0002207	Cg001G025360	Np005G301580
OG0002207	Cg001G025350	Np005G301540
OG0002208	Cg002G049270, Cg002G049260	Np001G061520
OG0002209	Cg005G160360	Np006G324350, Np006G324310
OG0002209	Cg002G045740	Np001G066730
OG0002210	Cg001G006380	Np005G264590, Np005G264760, Np001G040140, Np002G095440
OG0002211	Cg002G062960	Np001G044370
OG0002212	Cg007G256790	Np004G254060
OG0002213	Cg007G262860	Np002G098050, Np002G098040
OG0002215	Cg008G292860	Np002G091370
OG0002219	Cg004G156140	Np007G372780
OG0002219	Cg001G011330	Np005G275410
OG0002220	Cg001G011030	Np005G275020
OG0002221	Cg001G010950	Np005G274920
OG0002221	Cg004G155910	Np007G373210
OG0002222	Cg001G007990, Cg005G187860, Cg008G305200	Np005G270210
OG0002223	Cg001G009510	Np005G272480
OG0002224	Cg005G189770	Np006G365520
OG0002224	Cg001G008980	Np005G271630
OG0002225	Cg001G008460	Np005G271000
OG0002225	Cg005G188430	Np006G364250
OG0002226	Cg001G006260	Np005G264260
OG0002226	Cg004G151100, Cg004G150230	Np007G378160
OG0002227	Cg004G153250	Np007G376040
OG0002228	Cg005G171200	Np006G340640
OG0002228	Cg006G213670	Np004G205160
OG0002229	Cg002G075610	Np001G027960
OG0002229	Cg006G230820	Np004G241370
OG0002230	Cg006G231230	Np004G241830
OG0002230	Cg002G074860	Np001G026300
OG0002231	Cg002G073230	Np001G023750
OG0002231	Cg006G232400, Cg006G232390	Np004G243410
OG0002232	Cg002G072700	Np001G023070
OG0002232	Cg006G232480	Np004G243610
OG0002234	Cg001G040020	Np005G315950
OG0002234	Cg002G069970	Np001G019350
OG0002235	Cg007G266400	Np002G094070
OG0002236	Cg001G035960	Np005G311790
OG0002237	Cg001G035020	Np005G311130
OG0002238	Cg007G246020	Np002G124030
OG0002238	Cg001G042620	Np005G319950, Np005G319810
OG0002239	Cg007G247940	Np002G119960
OG0002239	Cg006G233830	Np004G245890
OG0002240	Cg003G104800	Np003G156310
OG0002240	Cg001G014800	Np005G279940
OG0002241	Cg008G282660	Np003G125750
OG0002241	Cg004G124690	Np007G413830
OG0002242	Cg004G125810	Np007G412110
OG0002242	Cg008G284830	Np003G128540
OG0002243	Cg001G026120	Np005G303120
OG0002243	Cg007G281470	Np002G070500
OG0002244	Cg003G110810	Np001G006690
OG0002244	Cg003G085440	Np007G409940
OG0002245	Cg001G015670	Np005G281150
OG0002245	Cg003G097750	Np003G184460
OG0002246	Cg003G098410	Np003G167400
OG0002247	Cg003G098610	Np003G167080
OG0002247	Cg001G015340	Np005G280730
OG0002248	Cg003G101740	Np003G163080, Np003G159840
OG0002248	Cg001G013470	Np005G278270
OG0002249	Cg003G102340	Np003G160620
OG0002250	Cg003G103220	Np003G158640
OG0002251	Cg003G103590	Np003G158100
OG0002251	Cg001G014270	Np005G279240
OG0002252	Cg003G105170	Np003G155760
OG0002252	Cg001G014950	Np005G280180
OG0002253	Cg008G293200	Np003G139750
OG0002253	Cg006G219380	Np004G210190
OG0002254	Cg008G299910	Np003G147380
OG0002254	Cg008G292760	Np003G139150
OG0002255	Cg008G305880	Np001G013760
OG0002255	Cg008G292450	Np003G138840
OG0002256	Cg008G322740	Np001G033960, Np001G037000
OG0002256	Cg001G021680	Np005G290440
OG0002257	Cg001G018650	Np005G285600
OG0002257	Cg001G018660	Np005G285620
OG0002258	Cg005G171740	Np003G184160
OG0002259	Cg001G003810	Np005G267960
OG0002259	Cg001G003820	Np005G267950
OG0002260	Cg001G035500	Np005G284880, Np005G284890
OG0002261	Cg001G003190	Np005G268670
OG0002262	Cg001G002910	Np005G269090
OG0002262	Cg005G191470	Np006G367520
OG0002263	Cg001G001580	Np005G261990
OG0002264	Cg005G193880	Np006G371200
OG0002264	Cg001G000540	Np005G260540
OG0002265	Cg001G039320	Np005G315110
OG0002265	Cg002G067750	Np001G018810
OG0002266	Cg008G314510	Np001G042260
OG0002266	Cg006G203110	Np004G200970
OG0002267	Cg001G029190	Np005G307150
OG0002267	Cg004G141700	Np007G386030
OG0002268	Cg004G140750	Np007G384450
OG0002268	Cg001G027810	Np005G305410
OG0002269	Cg001G027450	Np005G304970
OG0002269	Cg004G140340	Np007G383990
OG0002270	Cg004G140150, Cg004G152360, Cg004G140140	Np007G383830
OG0002271	Cg001G026680	Np005G303590
OG0002272	Cg001G025890	Np005G302520, Np005G302540
OG0002273	Cg002G045720	Np001G066760
OG0002273	Cg005G160330	Np006G324250
OG0002274	Cg005G161540	Np006G325820
OG0002274	Cg002G046540	Np001G065350
OG0002275	Cg005G161650	Np006G325950
OG0002275	Cg002G046630	Np001G065250
OG0002276	Cg005G161660	Np006G325960
OG0002276	Cg002G046640	Np001G065260
OG0002277	Cg002G048440	Np001G062650
OG0002277	Cg005G163750	Np006G328810, Np004G227080
OG0002278	Cg002G048880	Np001G062030
OG0002279	Cg003G091460	Np003G125440
OG0002279	Cg004G118350	Np007G422520
OG0002280	Cg002G062600	Np003G151110
OG0002280	Cg008G302650	Np003G151100
OG0002281	Cg002G062530	Np001G044660
OG0002281	Cg008G302680	Np003G151160
OG0002282	Cg003G108050	Np003G151960
OG0002283	Cg003G113380	Np001G003130
OG0002284	Cg006G244780	Np004G259060
OG0002284	Cg014G332830, Cg003G076740	Np003G188880
OG0002286	Cg006G242590	Np004G256500
OG0002287	Cg006G240730	Np004G254330
OG0002287	Cg005G174780	Np006G355720
OG0002288	Cg005G175520	Np006G348240, Np006G354680
OG0002288	Cg006G240010	Np004G253560
OG0002289	Cg006G238660, Cg006G238610	Np004G252050, Np004G252030
OG0002290	Cg006G237620	Np004G250920
OG0002291	Cg001G007260	Np005G263170
OG0002291	Cg005G186120	Np006G362890
OG0002292	Cg008G294830	Np003G141540
OG0002292	Cg004G116490	Np007G424860
OG0002293	Cg004G117150	Np007G424090
OG0002293	Cg008G295750	Np003G142380
OG0002294	Cg008G296540	Np003G143280
OG0002294	Cg004G117770	Np003G187980, Np007G423190
OG0002295	Cg008G296710	Np003G143500
OG0002295	Cg004G117910	Np007G423050
OG0002296	Cg004G118120	Np007G422840
OG0002297	Cg008G297060	Np003G143960
OG0002298	Cg008G297840	Np003G144880
OG0002298	Cg004G119140	Np007G422080
OG0002299	Cg008G306500	Np001G014500
OG0002300	Cg008G308740, Cg008G308720, Cg008G308730	Np001G016550
OG0002301	Cg004G123040	Np007G416270
OG0002301	Cg008G309130, Cg008G310830	Np001G016790
OG0002302	Cg005G169440	Np006G337860
OG0002302	Cg002G053210	Np001G056130
OG0002303	Cg007G280660	Np002G070950
OG0002303	Cg006G230170	Np004G240610
OG0002304	Cg006G229660	Np004G239970
OG0002304	Cg007G280170	Np002G072080
OG0002305	Cg007G279940	Np002G072390
OG0002305	Cg006G229530	Np004G239800, Np004G239830
OG0002306	Cg006G229300	Np004G239520
OG0002306	Cg007G279720	Np002G072680
OG0002307	Cg006G227290	Np004G236980
OG0002308	Cg006G224920	Np004G234290
OG0002308	Cg007G277310	Np002G076050
OG0002309	Cg006G224140	Np004G233300
OG0002309	Cg007G278240	Np002G074720
OG0002310	Cg006G224030	Np004G232850
OG0002310	Cg007G278380	Np002G074500
OG0002311	Cg006G221980	Np004G229470
OG0002311	Cg007G270730	Np002G085560
OG0002312	Cg007G270630	Np002G085720
OG0002313	Cg007G269410	Np002G087560
OG0002314	Cg006G219460	Np004G209920
OG0002314	Cg007G267530	Np002G091280
OG0002315	Cg001G010060	Np005G273280
OG0002316	Cg007G255860	Np002G106240
OG0002318	Cg006G194290	Np004G190340
OG0002319	Cg006G243620	Np004G257660
OG0002320	Cg014G332530, Cg003G077100	Np003G188370
OG0002320	Cg006G244570	Np004G258770
OG0002321	Cg004G128230	Np007G408920
OG0002321	Cg008G293680	Np003G140360
OG0002322	Cg008G286110	Np003G130130, Np003G130150, Np003G130140
OG0002324	Cg007G271660	Np002G083980
OG0002325	Cg004G128970	Np007G407990
OG0002325	Cg006G194420	Np004G190530
OG0002326	Cg004G129220	Np007G407680
OG0002326	Cg006G194680	Np004G190840
OG0002327	Cg006G195870	Np004G192510
OG0002327	Cg004G130510	Np007G405630
OG0002328	Cg004G132100	Np007G402800
OG0002328	Cg006G197110	Np004G194190
OG0002329	Cg004G134960	Np007G394150
OG0002329	Cg006G201050	Np004G199000
OG0002330	Cg004G135070	Np007G394320
OG0002331	Cg004G138020	Np007G380830
OG0002331	Cg006G198260	Np004G195560
OG0002333	Cg001G005820	Np005G264750
OG0002333	Cg004G151430	Np007G378040
OG0002334	Cg004G157080	Np007G371750
OG0002334	Cg001G012310	Np005G276630
OG0002335	Cg006G197470	Np004G194660
OG0002335	Cg004G132490	Np007G390360
OG0002336	Cg004G132510	Np007G390380
OG0002337	Cg002G054340	Np001G054590
OG0002337	Cg005G170590	Np006G339750
OG0002338	Cg002G050230	Np001G060100
OG0002338	Cg005G165830	Np006G331840
OG0002339	Cg005G164610	Np006G330260
OG0002339	Cg002G049160	Np001G061630
OG0002345	Cg006G222020	Np004G229710
OG0002345	Cg006G222010	Np004G229720
OG0002345	Cg006G222030	Np004G229730
OG0002348	Cg001G012140	Np005G276480
OG0002349	Cg001G011970	Np005G276260
OG0002349	Cg004G156820	Np007G372070
OG0002350	Cg004G156170	Np007G372730
OG0002351	Cg005G190610	Np006G366410
OG0002352	Cg005G190320	Np006G365780
OG0002352	Cg001G009300	Np005G272230
OG0002353	Cg001G005060	Np005G266000
OG0002354	Cg006G214780	Np004G215910
OG0002355	Cg007G255720	Np002G106320
OG0002355	Cg004G121050	Np007G419130
