Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0001213	g37046	Cg001G033740
OG0001216	g7095	Cg005G165110
OG0001217	g47100	Cg001G026140
OG0001217	g17661	Cg001G029840
OG0001218	g7727	Cg004G120650
OG0001218	g7717	Cg004G120860
OG0001219	g37070, g37071, g37072, g11430, g26094	Cg002G050730
OG0001220	g3079	Cg008G302410
OG0001222	g16960, g47771	Cg001G009340
OG0001224	g31167	Cg006G236860
OG0001224	g27062	Cg007G254410
OG0001225	g16608	Cg002G071800
OG0001229	g28587, g28582, g28581	Cg003G104400, Cg003G104390
OG0001230	g9884	Cg003G109500
OG0001230	g5551	Cg008G288170
OG0001231	g391	Cg003G109620
OG0001231	g29634	Cg008G288120
OG0001232	g17457	Cg001G021840
OG0001233	g23931, g47447	Cg001G018030
OG0001233	g40387, g25674	Cg003G081780
OG0001234	g36180	Cg006G204240
OG0001235	g6092, g13735	Cg004G153370
OG0001235	g23002	Cg001G004760
OG0001236	g47093	Cg001G026560
OG0001236	g51298	Cg005G174380
OG0001237	g37633	Cg005G159820
OG0001238	g37629, g52280	Cg005G159930
OG0001239	g18874	Cg002G046620
OG0001241	g38216	Cg005G162180
OG0001241	g37514	Cg005G162190
OG0001242	g5744, g45348	Cg008G284010
OG0001243	g18038	Cg007G267180
OG0001244	g28935	Cg003G101150, Cg003G101140
OG0001245	g2517	Cg002G055890
OG0001245	g25	Cg006G234390, Cg003G115430
OG0001246	g39512	Cg014G331800, Cg003G077850
OG0001247	g25488	Cg003G078950, Cg003G095000
OG0001247	g7578	Cg004G123700
OG0001249	g51720, g43710	Cg005G167910
OG0001249	g37274	Cg005G167900
OG0001250	g29244	Cg008G295770
OG0001250	g12693, g7908	Cg004G117160
OG0001251	g12687	Cg004G117450
OG0001251	g29218, g45708	Cg008G296090
OG0001252	g7863	Cg004G117720
OG0001253	g7694, g12874	Cg004G121410
OG0001253	g4796	Cg008G306620
OG0001254	g36501	Cg006G198330
OG0001254	g38012	Cg005G170720
OG0001255	g17932, g46451	Cg007G279110
OG0001256	g46014	Cg007G273220
OG0001256	g27373, g50005	Cg006G228440
OG0001257	g44576, g46050	Cg007G273640
OG0001257	g31732	Cg006G228180
OG0001258	g27419, g31810	Cg006G227160
OG0001258	g46154	Cg007G275140
OG0001259	g46192	Cg007G275770
OG0001261	g27264, g31519	Cg006G231600
OG0001261	g10688	Cg002G074260
OG0001262	g27261	Cg006G231710
OG0001262	g2886, g31511	Cg006G231700, Cg006G231720
OG0001263	g49813, g31371	Cg006G233660
OG0001264	g13174, g12242, g7243	Cg004G129230
OG0001265	g36511	Cg006G198180
OG0001265	g11879	Cg004G138100
OG0001267	g40489, g11054	Cg008G320730
OG0001268	g26757, g50357	Cg006G220960
OG0001269	g32401	Cg006G217300, Cg006G217240, Cg006G217330, Cg006G217210
OG0001274	g50980	Cg005G190230
OG0001274	g23357	Cg001G009470
OG0001275	g50146	Cg006G225390
OG0001275	g23030	Cg001G005160
OG0001276	g44155	Cg007G249500
OG0001276	g46965	Cg006G234830
OG0001278	g13569	Cg004G144900
OG0001279	g5139	Cg008G295310
OG0001279	g29275	Cg004G116820
OG0001280	g10372	Cg002G070230
OG0001280	g16891	Cg001G039680
OG0001282	g23716	Cg001G014580
OG0001283	g2067	Cg002G049330
OG0001283	g37382	Cg005G164810
OG0001284	g329, g9838	Cg003G110720
OG0001285	g959	Cg003G101660
OG0001286	g28499, g991	Cg003G102320
OG0001287	g39378, g1006	Cg003G102500
OG0001288	g45567	Cg008G291860
OG0001288	g601	Cg008G305210
OG0001289	g47211, g24261	Cg001G023490
OG0001289	g10889	Cg008G324830
OG0001290	g17264, g47466, g23883	Cg001G017270
OG0001291	g27794	Cg006G212990
OG0001292	g39954	Cg005G176860
OG0001292	g7926	Cg004G116750
OG0001293	g18901	Cg002G047210
OG0001294	g50894	Cg005G192570
OG0001294	g22760	Cg001G001760
OG0001295	g28333	Cg001G037660, Cg001G037480, Cg001G037310, Cg001G037510, Cg001G037610, Cg001G037690, Cg001G038480
OG0001296	g36926	Cg005G192030
OG0001296	g22456, g22457, g22454, g3733, g22455, g37997	Cg005G171450
OG0001297	g40451	Cg003G093600
OG0001298	g47079	Cg001G027000
OG0001299	g37691	Cg005G158940
OG0001300	g2037	Cg002G048170
OG0001300	g38182	Cg005G163630
OG0001301	g2132, g18972	Cg002G048410
OG0001301	g11224	Cg005G163780
OG0001302	g9683	Cg003G114110
OG0001302	g2601	Cg002G056970
OG0001303	g25341	Cg003G076010
OG0001303	g37594	Cg005G160500
OG0001303	g49295	Cg006G245240
OG0001304	g31093	Cg006G238170
OG0001304	g40030	Cg005G178750
OG0001305	g12556	Cg004G121200
OG0001306	g4793	Cg008G306650
OG0001306	g12547, g7697, g12871	Cg004G121380
OG0001307	g12971	Cg004G123560
OG0001309	g51683, g37238	Cg005G168500
OG0001309	g2317	Cg002G052540
OG0001310	g31671	Cg006G229110
OG0001310	g46484	Cg007G279530
OG0001311	g10158	Cg008G307410
OG0001311	g4717	Cg008G307370
OG0001312	g12956	Cg004G123280
OG0001312	g10242	Cg008G309750, Cg008G311580
OG0001313	g27894, g27907	Cg006G209750
OG0001314	g7246	Cg004G129180
OG0001314	g27980, g54312	Cg006G194620
OG0001315	g7060	Cg004G132140
OG0001315	g36576	Cg006G197200
OG0001316	g54062	Cg006G201660
OG0001316	g6946, g13282	Cg004G133940
OG0001317	g36438	Cg004G136730, Cg006G199450
OG0001318	g17609	Cg002G071840
OG0001319	g2386, g11318, g19210	Cg002G053640
OG0001321	g18477	Cg007G256700, Cg007G256650
OG0001323	g6589	Cg003G112320
OG0001328	g16953, g23326	Cg001G009110
OG0001328	g50995	Cg005G189850
OG0001329	g19754, g19709	Cg025G336190
OG0001330	g6114	Cg004G153240
OG0001330	g13727	Cg001G004890
OG0001331	g43986	Cg007G254110, Cg007G254040
OG0001332	g41073	Cg007G252460
OG0001332	g31218	Cg006G236220
OG0001333	g44147, g40990	Cg007G250040
OG0001333	g31289, g49760, g27134	Cg006G234980
OG0001334	g31562	Cg006G230940
OG0001334	g10777	Cg002G075250
OG0001335	g5680	Cg008G285370
OG0001335	g12368	Cg004G126180
OG0001336	g7363	Cg004G127500
OG0001336	g5596, g29680	Cg008G287240
OG0001337	g28452	Cg003G101270
OG0001337	g17081	Cg001G013110
OG0001338	g945	Cg003G101260
OG0001339	g26842	Cg003G102970
OG0001339	g23683	Cg001G014060
OG0001340	g29454	Cg008G291640, Cg008G291650
OG0001341	g45552, g29474	Cg008G291300
OG0001342	g45527	Cg008G290470
OG0001342	g166	Cg003G112960
OG0001343	g5508, g29591	Cg008G289110
OG0001343	g472	Cg008G302960
OG0001344	g47233	Cg001G023260
OG0001344	g10909, g40671	Cg008G324530
OG0001345	g47287	Cg001G021930
OG0001345	g10970	Cg008G322920
OG0001346	g47350	Cg001G020230
OG0001347	g17261	Cg001G017200
OG0001348	g6048	Cg004G153810, Cg001G004350
OG0001349	g22944, g47955, g47958	Cg001G003900
OG0001350	g50917	Cg005G192110
OG0001350	g18290, g22800	Cg001G002180
OG0001351	g17896, g17900, g17918, g17911	Cg007G254350, Cg007G254360, Cg007G254330, Cg007G254390
OG0001352	g25932	Cg006G208500
OG0001352	g40227	Cg003G086740
OG0001353	g16731, g18396	Cg008G322620
OG0001354	g11149, g18789	Cg002G044050
OG0001354	g50827	Cg005G158140
OG0001355	g52282, g37630	Cg005G159910
OG0001356	g1994, g18939	Cg002G047670
OG0001357	g2054	Cg002G048380
OG0001358	g37416	Cg005G164100
OG0001358	g2112	Cg002G048780
OG0001359	g2928	Cg002G061120
OG0001359	g28762	Cg003G107450
OG0001360	g49490	Cg006G240990
OG0001360	g51296	Cg005G174440
OG0001361	g37930	Cg005G174000
OG0001361	g30901	Cg006G241590
OG0001362	g6706, g11898	Cg004G137670
OG0001362	g40140	Cg005G182160
OG0001363	g23660	Cg001G013660
OG0001364	g5140	Cg008G295300
OG0001364	g12713	Cg004G116810
OG0001365	g45686, g29273	Cg008G295410
OG0001366	g5076	Cg008G296250
OG0001366	g12752, g7871	Cg004G117590
OG0001367	g10183	Cg008G307950
OG0001367	g7644	Cg004G122470
OG0001368	g25048, g36889	Cg008G294430
OG0001370	g31960	Cg006G224980
OG0001370	g46290	Cg007G277230
OG0001372	g12761	Cg004G118280
OG0001372	g45745, g29153, g5005	Cg008G297240
OG0001373	g12013, g6885	Cg006G201060, Cg004G134950
OG0001374	g44472	Cg007G275740
OG0001374	g3704, g50089, g26819	Cg006G226500
OG0001375	g49963	Cg006G229720
OG0001375	g44314	Cg007G280250
OG0001376	g7193	Cg004G129940
OG0001376	g54341	Cg006G195310
OG0001377	g12075	Cg004G133120
OG0001377	g6974	Cg004G133130
OG0001378	g28105	Cg006G201440
OG0001378	g6921	Cg004G134310
OG0001379	g3849, g4807, g43217, g11942	Cg004G136810
OG0001379	g54171	Cg006G199380
OG0001380	g54175	Cg006G199310
OG0001380	g13365	Cg004G136860
OG0001381	g43687, g43860	Cg006G234510, Cg006G234330
OG0001382	g38481	Cg005G192140
OG0001382	g22799, g18905	Cg001G002170
OG0001383	g47728, g2927	Cg001G010470
OG0001384	g50944	Cg005G191510
OG0001384	g38442	Cg005G191480
OG0001392	g18225	Cg001G005240
OG0001392	g6122	Cg004G152630
OG0001393	g13722	Cg004G153040
OG0001393	g47915	Cg001G004940
OG0001394	g50619	Cg005G178210, Cg006G214210
OG0001395	g47589	Cg001G014120
OG0001395	g39359	Cg003G103290
OG0001396	g10235, g10220	Cg008G311270, Cg008G309440
OG0001397	g31244	Cg006G235730
OG0001397	g44080, g41049	Cg007G251540
OG0001398	g10797	Cg002G075390
OG0001398	g31566	Cg006G230880
OG0001399	g10696	Cg002G074330
OG0001399	g31524	Cg006G231540
OG0001400	g31446, g27219	Cg006G232650
OG0001401	g5130, g45688	Cg008G295470
OG0001402	g46691	Cg001G039770
OG0001402	g10380	Cg002G070100
OG0001403	g40871	Cg007G247500
OG0001403	g31381	Cg006G233520
OG0001404	g40899	Cg007G247850
OG0001404	g49805	Cg006G233750
OG0001405	g45412	Cg008G285720
OG0001405	g7420	Cg004G126330
OG0001406	g22801	Cg001G002190
OG0001406	g45919, g44655	Cg008G306320
OG0001407	g895	Cg003G099590
OG0001407	g17071	Cg001G012680
OG0001409	g276	Cg003G111510
OG0001409	g29575	Cg008G289470
OG0001410	g10921	Cg008G324280
OG0001410	g24231	Cg001G023030
OG0001411	g17488	Cg001G022650
OG0001411	g47259	Cg001G022660
OG0001412	g24120	Cg001G021080
OG0001412	g11008	Cg008G321900
OG0001415	g51404	Cg005G172700
OG0001415	g50469	Cg006G218170
OG0001416	g51437	Cg005G172300
OG0001416	g50512	Cg006G216990
OG0001417	g18258	Cg001G003350
OG0001417	g38412	Cg005G191020
OG0001418	g18306	Cg001G001010
OG0001418	g50875	Cg005G193260, Cg005G193280
OG0001419	g46728	Cg001G038600
OG0001420	g25581	Cg003G080410, Cg003G093530
OG0001420	g17315	Cg001G019040
OG0001421	g6561	Cg004G140190
OG0001422	g12838	Cg004G120730
OG0001422	g4780, g10154	Cg008G307250
OG0001423	g37565	Cg005G161050
OG0001423	g11186	Cg002G046340
OG0001424	g29819	Cg008G284550, Cg008G284560
OG0001424	g45372	Cg008G284530
OG0001425	g11531	Cg002G066490
OG0001425	g28922	Cg008G301120
OG0001427	g39470	Cg003G077040, Cg014G332590
OG0001427	g30744	Cg006G244600
OG0001428	g49392	Cg006G243500
OG0001428	g39587	Cg003G078470, Cg014G331130
OG0001429	g39588	Cg014G330980, Cg003G078570
OG0001429	g1749	Cg002G043970
OG0001430	g49450	Cg006G242170
OG0001430	g39721	Cg008G319330
OG0001431	g39772	Cg006G241570
OG0001431	g51312	Cg005G173960
OG0001432	g26963	Cg006G240360
OG0001432	g51260	Cg005G175090
OG0001433	g26980, g31008	Cg006G239660
OG0001433	g51229	Cg005G175820
OG0001434	g51129	Cg005G177710
OG0001434	g29697	Cg008G286850
OG0001435	g31076, g49588	Cg006G238290
OG0001435	g39988	Cg005G178440
OG0001436	g28996, g4981	Cg008G297990
OG0001436	g12623	Cg004G119330
OG0001437	g4949, g41495, g29026	Cg008G298220
OG0001437	g12792	Cg004G119500
OG0001438	g10162	Cg008G307460
OG0001439	g44554	Cg007G274410
OG0001439	g50044	Cg006G227580
OG0001440	g27493, g32006	Cg006G224280
OG0001440	g46355	Cg007G278080
OG0001441	g45964	Cg007G272590
OG0001441	g50247	Cg006G223410
OG0001442	g45881	Cg007G271260
OG0001442	g27544	Cg006G222710
OG0001443	g32129	Cg006G221220
OG0001443	g45813, g44727	Cg007G270160
OG0001444	g17164, g47546	Cg001G015320
OG0001446	g5523	Cg008G288800
OG0001446	g18591	Cg003G108840
OG0001448	g54338	Cg006G195150
OG0001448	g7208	Cg004G129720
OG0001449	g11243, g36667	Cg006G195740
OG0001450	g12185	Cg006G195750
OG0001450	g7167	Cg004G130450
OG0001451	g12141	Cg006G196670
OG0001452	g7075	Cg004G131880
OG0001453	g54269	Cg006G197030
OG0001453	g12116, g13242	Cg004G132060
OG0001454	g7051	Cg004G132270
OG0001455	g17614, g24406	Cg001G025410
OG0001456	g13368	Cg004G136800
OG0001457	g11920	Cg004G137180
OG0001457	g54201	Cg006G199140
OG0001459	g50174	Cg006G224730, Cg006G224750, Cg006G224770
OG0001461	g51323	Cg005G173650
OG0001464	g16998	Cg001G010700
OG0001464	g13914	Cg004G155660
OG0001465	g5973	Cg004G155420
OG0001465	g23443	Cg001G010520
OG0001466	g23319	Cg001G009010
OG0001466	g16950	Cg005G189820
OG0001467	g5760	Cg008G283780
OG0001467	g36049, g3813, g25749	Cg003G082740, Cg003G082760, Cg003G082750, Cg003G082770, Cg003G082780
OG0001468	g47866	Cg001G006170, Cg001G006180
OG0001469	g4558	Cg014G331020, Cg003G078530
OG0001469	g50603, g32530	Cg006G214650
OG0001470	g51539	Cg005G170880
OG0001470	g47179	Cg001G024380
OG0001471	g31288	Cg006G234990
OG0001472	g31559	Cg006G230990
OG0001472	g10770	Cg002G075160
OG0001473	g10695	Cg002G074310
OG0001473	g31523	Cg006G231550
OG0001474	g23722, g23723	Cg001G014720, Cg001G014730
OG0001475	g49799	Cg006G233850
OG0001475	g40913, g44224	Cg007G248000
OG0001477	g41009	Cg007G250120, Cg007G250150
OG0001478	g5763	Cg008G283750
OG0001479	g1928, g18840, g42086	Cg002G046360, Cg004G126710
OG0001480	g23805, g17185	Cg001G015840
OG0001481	g29369	Cg008G293350
OG0001482	g29463	Cg008G291530
OG0001482	g585	Cg008G304840
OG0001483	g568, g10027	Cg008G304530
OG0001483	g29488	Cg008G291120
OG0001484	g29490	Cg008G291090
OG0001485	g29567	Cg008G289620
OG0001485	g9798	Cg003G111670
OG0001486	g5490	Cg008G289450
OG0001486	g279	Cg002G053030, Cg003G111490, Cg003G111480
OG0001487	g463	Cg008G302860
OG0001487	g29595, g45494	Cg008G289030
OG0001488	g24248	Cg001G023350
OG0001488	g40683, g10899	Cg008G324690
OG0001489	g40424	Cg003G080920
OG0001489	g23965	Cg001G018710
OG0001490	g50501, g32388	Cg006G217560
OG0001490	g51425	Cg005G172410
OG0001491	g32424	Cg006G216460
OG0001492	g50876	Cg005G193230
OG0001493	g53956	Cg006G203300
OG0001493	g37042	Cg008G318440
OG0001494	g40403	Cg003G081420, Cg003G081430
OG0001495	g10864	Cg008G324990, Cg008G325060
OG0001496	g11730	Cg004G141810
OG0001496	g24650	Cg001G029290
OG0001498	g26925, g30860	Cg006G242300
OG0001499	g18738	Cg005G157970, Cg002G043860
OG0001500	g37716	Cg005G158530
OG0001500	g1765	Cg002G044350
OG0001501	g47733	Cg001G043090, Cg002G047520
OG0001501	g50799	Cg005G158900
OG0001502	g38236	Cg005G161150
OG0001502	g18839	Cg002G046350
OG0001503	g18877, g1951	Cg002G046660
OG0001504	g18882	Cg002G046920
OG0001504	g38213	Cg005G162360
OG0001505	g37494	Cg002G047050, Cg005G162600
OG0001506	g13006, g7528	Cg004G124530
OG0001506	g5844	Cg008G282270
OG0001507	g1254, g39243	Cg003G106840
OG0001508	g298	Cg003G111240
OG0001509	g2610, g11370	Cg002G057130
OG0001510	g49518	Cg006G240350
OG0001511	g31085	Cg006G238200
OG0001511	g40022	Cg005G178620
OG0001512	g27025	Cg006G237850
OG0001512	g40081	Cg005G179610
OG0001513	g7922	Cg004G116890
OG0001513	g12739	Cg004G116880
OG0001514	g7791, g12800	Cg004G119780
OG0001514	g29039	Cg008G298630
OG0001515	g5386, g28104	Cg004G121610
OG0001516	g7634	Cg004G122650
OG0001517	g2175	Cg002G050350
OG0001517	g51865	Cg005G166010
OG0001518	g51849	Cg005G166090
OG0001518	g19057	Cg002G050460
OG0001519	g46106	Cg007G274380
OG0001519	g31778	Cg006G227590
OG0001520	g19484	Cg002G058850
OG0001520	g27427	Cg006G226990
OG0001521	g44370	Cg007G277630
OG0001522	g45885	Cg007G271400
OG0001523	g32089	Cg006G222040
OG0001523	g45845	Cg007G270750
OG0001524	g50413	Cg006G219160
OG0001524	g9882	Cg003G109580
OG0001526	g30730, g6246	Cg006G245090, Cg005G190450
OG0001527	g44294	Cg007G280760
OG0001528	g45674	Cg008G295140
OG0001528	g17976	Cg007G276290
OG0001529	g4879	Cg008G299550
OG0001529	g41438	Cg008G299560
OG0001530	g4756, g22671	Cg002G062860
OG0001531	g29693	Cg008G287010
OG0001531	g12318	Cg004G127280
OG0001532	g1222	Cg003G106390
OG0001533	g11362	Cg002G056370
OG0001534	g44348	Cg007G279650
OG0001535	g7242, g13175, g12241	Cg004G129240
OG0001536	g12222	Cg004G129580
OG0001536	g7220	Cg006G195040
OG0001537	g54272	Cg006G196980
OG0001537	g36582	Cg004G132010
OG0001538	g36534	Cg006G197770
OG0001546	g38090, g51725, g37282, g45032, g11626, g45094, g37283	Cg005G167770
OG0001547	g36124, g11901	Cg004G137500
OG0001548	g4151, g25111	Cg003G088510
OG0001549	g17041, g47673	Cg001G012040
OG0001550	g39747, g12324	Cg004G127100, Cg006G198570
OG0001551	g23335	Cg001G009210
OG0001551	g38382	Cg005G190360
OG0001552	g16937, g23288	Cg001G008410
OG0001552	g38335	Cg005G188350
OG0001553	g44136	Cg007G250390
OG0001553	g31267	Cg006G235350
OG0001554	g31328	Cg006G234260
OG0001554	g44204	Cg007G248640
OG0001555	g27212, g31439	Cg006G232700
OG0001555	g10625	Cg002G073120
OG0001556	g37186	Cg005G169760
OG0001556	g10564	Cg002G072140
OG0001557	g13040	Cg004G124990, Cg010G326160, Cg003G092520, Cg003G076150, Cg007G245950
OG0001558	g29791, g5690	Cg008G285240
OG0001559	g1495	Cg003G091730
OG0001559	g47498	Cg001G016630
OG0001560	g1456	Cg003G090940
OG0001560	g17218	Cg001G016550
OG0001561	g23742	Cg001G015120, Cg001G015110
OG0001562	g1044	Cg003G103370
OG0001562	g5656	Cg008G285810
OG0001563	g29114	Cg008G299900
OG0001563	g5312	Cg008G292800
OG0001564	g37211	Cg005G169090
OG0001564	g50132	Cg006G225630
OG0001565	g9917	Cg003G108940
OG0001566	g40559	Cg008G322560
OG0001566	g17445	Cg001G021550
OG0001567	g27809, g32746	Cg006G210750
OG0001568	g27669, g27668	Cg006G217940, Cg006G217930
OG0001569	g51434	Cg005G172310
OG0001569	g50510	Cg006G217080
OG0001570	g18886	Cg002G047010
OG0001570	g32505	Cg006G215380
OG0001571	g14031	Cg004G153430
OG0001571	g23001	Cg001G004750
OG0001572	g22776	Cg001G001950
OG0001572	g38492	Cg005G192390
OG0001573	g22737	Cg001G001570
OG0001574	g22691	Cg001G000970
OG0001574	g50871	Cg005G193350
OG0001575	g18320	Cg001G000780
OG0001576	g46720	Cg001G038920
OG0001576	g46715	Cg001G038940
OG0001578	g10859	Cg008G325140
OG0001579	g47200	Cg001G023720
OG0001581	g1743	Cg002G043850
OG0001581	g37744	Cg005G157980
OG0001583	g52051	Cg005G163710
OG0001583	g2127	Cg002G048470
OG0001585	g2084	Cg002G049060
OG0001585	g51997	Cg005G164460
OG0001586	g643	Cg008G300040
OG0001587	g28856	Cg008G302600
OG0001588	g28704	Cg002G060230
OG0001589	g294	Cg003G111290
OG0001589	g2698	Cg002G058270
OG0001590	g19093	Cg002G051050
OG0001590	g131	Cg003G113810
OG0001591	g45235, g25470	Cg006G243470, Cg003G078540, Cg014G331010
OG0001592	g49410	Cg006G243160
OG0001592	g45212	Cg003G094970, Cg003G078980
OG0001593	g37956	Cg005G173210
OG0001593	g26938	Cg006G241970
OG0001594	g30917, g36607	Cg005G174310
OG0001595	g12652	Cg004G118400
OG0001596	g41489	Cg008G298470
OG0001596	g7805	Cg004G119570
OG0001597	g10110	Cg008G306200, Cg004G121750
OG0001598	g29074	Cg008G299270
OG0001599	g12977	Cg004G123710
OG0001600	g38040, g51591	Cg005G170000
OG0001601	g50016, g31730	Cg006G228200
OG0001601	g46035	Cg007G273590
OG0001602	g27489	Cg006G224460
OG0001603	g44691	Cg007G271120
OG0001603	g32067, g50283	Cg006G222590
OG0001604	g32073	Cg006G222540
OG0001605	g50292	Cg006G222490
OG0001605	g45863	Cg007G270980
OG0001607	g27192, g31396	Cg006G233330
OG0001607	g40862	Cg007G247280
OG0001608	g31310	Cg006G234620
OG0001609	g29088	Cg008G299470
OG0001609	g30813	Cg006G243140
OG0001611	g35970	Cg007G275780, Cg007G275850
OG0001612	g7249	Cg004G129160
OG0001612	g54311	Cg006G194600
OG0001613	g36603	Cg006G196610
OG0001613	g7100	Cg004G131620
OG0001614	g13377	Cg006G198360
OG0001615	g6511	Cg005G175050
OG0001615	g36494, g54189	Cg006G198390
OG0001616	g6085	Cg004G153630
OG0001616	g22996	Cg001G004680
OG0001617	g13804	Cg004G155840, Cg001G010850
OG0001618	g54383, g27975	Cg006G194190
OG0001618	g7278	Cg004G128570
OG0001619	g2390	Cg002G053720
OG0001619	g51590	Cg005G170010
OG0001620	g22660, g9620	Cg001G022840
OG0001626	g37057, g44964	Cg005G163420, Cg005G163210
OG0001627	g50409	Cg006G219260
OG0001627	g50408	Cg006G219250
OG0001629	g10627	Cg006G232420
OG0001630	g51265	Cg005G174930, Cg005G174920
OG0001631	g44873	Cg007G267900
OG0001633	g23954, g23953	Cg001G018470
OG0001641	g20186, g8152	Cg019G335200, Cg019G335010, Cg019G335050
OG0001642	g23148	Cg001G006430
OG0001643	g6125	Cg004G152500
OG0001643	g18224	Cg001G005310
OG0001644	g41003	Cg007G249790
OG0001644	g31272	Cg006G235240
OG0001645	g10642, g16672	Cg002G073340
OG0001646	g31422	Cg006G232910
OG0001647	g16811	Cg001G041690
OG0001647	g10515	Cg002G071330
OG0001648	g46660	Cg001G041490
OG0001648	g16826, g10503	Cg002G071130
OG0001649	g16877	Cg001G040110
OG0001649	g10398	Cg002G069720
OG0001650	g10329	Cg002G065370
OG0001651	g17138	Cg001G014430
OG0001651	g39342	Cg003G104100
OG0001652	g7509	Cg004G124860
OG0001653	g12392	Cg004G125400
OG0001653	g40223	Cg003G087040
OG0001654	g45356, g5729	Cg008G284220
OG0001654	g7461, g13063	Cg004G125490
OG0001655	g29722, g5634	Cg008G286330
OG0001655	g12338, g7396	Cg004G126840
OG0001656	g12282, g7311	Cg004G128150
OG0001657	g23662	Cg001G013690
OG0001657	g982	Cg003G102180
OG0001658	g39381, g1002	Cg003G102450
OG0001659	g5544	Cg008G288230
OG0001660	g24062	Cg001G020420
OG0001661	g47439, g23945	Cg001G018180
OG0001662	g23932	Cg001G018060
OG0001662	g40389	Cg003G081760
OG0001663	g40283	Cg003G084290
OG0001663	g50257	Cg006G223100
OG0001664	g37099	Cg005G171930
OG0001664	g50534	Cg006G216040
OG0001665	g37103	Cg005G171840
OG0001666	g47936, g22968	Cg001G004330
OG0001666	g6047	Cg004G153820
OG0001668	g47992	Cg001G002640
OG0001668	g38452	Cg005G191700
OG0001669	g18141	Cg001G001550
OG0001670	g18324	Cg001G000730
OG0001671	g27911	Cg006G209120
OG0001671	g40234	Cg003G086300
OG0001672	g50434	Cg006G218910
OG0001672	g45395	Cg008G285120
OG0001673	g25186	Cg004G143970
OG0001674	g24557	Cg001G028050
OG0001674	g24550	Cg001G028040
OG0001675	g1777	Cg002G044520
OG0001676	g52171	Cg005G161280
OG0001677	g2018	Cg002G047140
OG0001677	g38208	Cg005G162630
OG0001678	g18928	Cg002G047560
OG0001678	g37465, g52084	Cg005G163080
OG0001679	g1981, g18950	Cg002G047830
OG0001679	g52057, g37451	Cg005G163500
OG0001681	g19342	Cg002G056000
OG0001682	g39630	Cg003G079100, Cg003G094840
OG0001682	g49416	Cg006G242970
OG0001683	g30849	Cg006G242390
OG0001683	g39695	Cg008G319910
OG0001684	g39735	Cg008G318890
OG0001685	g11120	Cg008G318880
OG0001686	g51344	Cg005G173310
OG0001686	g30874	Cg006G241920
OG0001687	g51330, g39755	Cg005G173560
OG0001688	g49536	Cg006G240030
OG0001689	g49548, g31017	Cg006G239570
OG0001690	g51209	Cg005G176270
OG0001690	g31029	Cg006G239380
OG0001691	g31044	Cg006G239100
OG0001691	g39948	Cg005G176760
OG0001693	g37853	Cg005G178110
OG0001693	g49571	Cg006G238500
OG0001694	g45742	Cg008G297160
OG0001694	g12663	Cg004G118220
OG0001695	g31130	Cg006G237400
OG0001695	g7754	Cg004G120140
OG0001696	g12575, g7720, g12840	Cg004G120820
OG0001697	g12479	Cg004G122750
OG0001697	g4650	Cg008G308400
OG0001698	g51832	Cg005G166310
OG0001698	g19062	Cg002G050600
OG0001699	g2342	Cg002G052960, Cg002G052940
OG0001699	g51635	Cg005G169100
OG0001700	g44330	Cg007G279910
OG0001700	g49971	Cg006G229510
OG0001701	g50133	Cg006G225610
OG0001701	g44411	Cg007G276750
OG0001702	g44369	Cg007G277640
OG0001702	g31990	Cg006G224640
OG0001703	g32014	Cg006G224100
OG0001703	g13615	Cg007G278270
OG0001704	g50262, g42087	Cg006G223070
OG0001704	g44653	Cg007G271890, Cg006G223350
OG0001705	g32064	Cg006G222640, Cg007G271170
OG0001707	g27692	Cg006G216560
OG0001708	g4853	Cg008G306170
OG0001708	g12517	Cg004G121760
OG0001709	g9836	Cg003G110740
OG0001710	g50179	Cg006G224740
OG0001710	g31977, g44377, g45053, g45051	Cg007G277560
OG0001711	g7002	Cg004G133000
OG0001711	g24419	Cg001G025530
OG0001712	g28075	Cg006G200020
OG0001712	g6825, g11974	Cg004G135810
OG0001713	g6796, g13343	Cg004G136250
OG0001714	g11904	Cg004G137460
OG0001714	g28047	Cg006G198840
OG0001715	g11711	Cg004G142460
OG0001715	g13512	Cg004G142240, Cg004G142220
OG0001718	g19543	Cg002G060370
OG0001721	g31433	Cg006G232820
OG0001724	g39891	Cg005G175900
OG0001724	g38172	Cg007G265430
OG0001725	g41474	Cg008G298660
OG0001727	g1115	Cg004G153410
OG0001729	g17662	Cg001G026180
OG0001730	g23563	Cg001G012300
OG0001731	g23431, g23435	Cg001G010420
OG0001732	g23427	Cg001G010350
OG0001732	g16986, g5984, g13931	Cg004G155260
OG0001733	g16983	Cg001G009910
OG0001733	g38402	Cg005G190760
OG0001734	g23368	Cg001G009590
OG0001734	g38394	Cg005G190030
OG0001735	g6189	Cg004G149320
OG0001735	g23149	Cg001G006440
OG0001736	g23007	Cg001G004840
OG0001736	g13732	Cg004G153300
OG0001737	g37120	Cg005G171590
OG0001737	g27758	Cg006G215240
OG0001738	g27779	Cg006G213460, Cg005G171220
OG0001739	g41079	Cg007G253060
OG0001739	g27093, g49695, g31204	Cg006G236420
OG0001740	g44044	Cg007G251980
OG0001740	g49720	Cg006G235990
OG0001741	g31248	Cg006G235640
OG0001741	g38257, g28145	Cg007G251450
OG0001742	g6402	Cg004G143140
OG0001743	g31302	Cg006G234770
