Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000076	g44053	Cg002G057890
OG0000076	g19225	Cg002G054100
OG0000078	g46791, g24881	Cg002G071190
OG0000079	g18915	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	g50013, g23668	Cg005G177060
OG0000081	g18040	Cg008G298360
OG0000083	g46885	Cg004G140450, Cg004G140420, Cg004G140430, Cg004G140410, Cg004G140440
OG0000084	g51024	Cg005G189580
OG0000085	g23625	Cg007G270000
OG0000087	g9991	Cg008G303510
OG0000087	g9845, g2817, g339	Cg003G110470
OG0000087	g5316	Cg008G292710
OG0000087	g40485, g11055	Cg008G320640
OG0000087	g17371, g24042	Cg001G020160
OG0000087	g46232	Cg006G225960, Cg007G276340
OG0000088	g19510, g40516, g11030	Cg005G181240
OG0000088	g28933, g28934	Cg001G039390, Cg008G300920
OG0000089	g29544	Cg008G290150
OG0000089	g13323, g11989	Cg004G135460
OG0000090	g50123	Cg006G225800
OG0000090	g46242	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	g10675	Cg001G005770, Cg002G074060, Cg006G235770
OG0000093	g2360	Cg002G047960
OG0000093	g18958	Cg002G048030
OG0000096	g1538, g1535	Cg007G252880, Cg002G073910, Cg002G073940, Cg002G073930
OG0000097	g45186, g45201	Cg003G079780, Cg003G094240
OG0000097	g40477, g40479, g40476, g40480, g1561	Cg003G079730, Cg003G094300, Cg003G094290, Cg003G079740, Cg003G079760
OG0000099	g43603, g46874, g4737	Cg007G249510
OG0000100	g17260, g37826	Cg008G316000
OG0000101	g13563	Cg007G246670
OG0000102	g24835, g4478	Cg001G033570
OG0000104	g31072	Cg006G238510
OG0000104	g51118	Cg005G178080
OG0000104	g6675	Cg004G138340
OG0000104	g18497	Cg006G197920
OG0000104	g37858	Cg005G178050
OG0000104	g51119	Cg005G178070
OG0000105	g43456	Cg003G084510
OG0000106	g6393	Cg008G322480, Cg001G042030
OG0000107	g11936	Cg004G136910
OG0000109	g43843	Cg006G218300, Cg006G206180
OG0000110	g2009	Cg002G047270
OG0000110	g2010	Cg007G269260
OG0000113	g35258	Cg007G253850
OG0000114	g4924	Cg008G320920
OG0000117	g16020, g11688, g26091, g32213	Cg006G208080
OG0000118	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430
OG0000119	g52379	Cg003G096910, Cg005G178360
OG0000119	g50178	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	g40996	Cg007G250010, Cg007G249930
OG0000120	g6424	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	g32414, g29781	Cg008G285500
OG0000123	g25911	Cg001G014410
OG0000123	g17137	Cg001G014420
OG0000123	g25912	Cg001G029000, Cg001G029020
OG0000125	g19182	Cg002G052860
OG0000125	g41348	Cg008G302630
OG0000125	g2919, g1294, g28781	Cg003G107610, Cg002G061230, Cg002G061270
OG0000125	g39998	Cg005G178390
