Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0003711	Np001G0375400	Ag031G3360300
OG0003712	Np001G0009000	Ag031G3158000
OG0003713	Np001G0685800	Ag031G3186100
OG0003714	Np001G0679400	Ag031G3197200
OG0003714	Np006G3226100	Ag003G0303400
OG0003715	Np001G0672200	Ag031G3209000
OG0003716	Np001G0669200	Ag031G3213100
OG0003716	Np006G3237100	Ag003G0315500
OG0003719	Np006G3331000	Ag039G4227500, Ag031G3340500
OG0003720	Np003G1445600	Ag031G3410000, Ag031G3410100, Ag030G3134700
OG0003722	Np007G3744300	Ag042G4392100
OG0003724	Np007G3738800	Ag042G4408000
OG0003725	Np007G3738300, Np007G3738200, Np007G3738100	Ag042G4409400
OG0003726	Np005G2746300	Ag065G5127100
OG0003727	Np005G3175100	Ag060G4999700, Ag039G4255900
OG0003728	Np002G0773100	Ag015G2196700
OG0003729	Np001G0139900	Ag011G1173000, Ag038G4156100
OG0003730	Np001G0147300	Ag038G4167800
OG0003731	Np006G3247900	Ag003G0327100
OG0003732	Np001G0409000	Ag003G0327600, Ag003G0327400, Ag003G0327500
OG0003732	Np006G3248100	Ag003G0327300
OG0003733	Np006G3260500, Np006G3570200	Ag003G0349200, Ag003G0349100
OG0003734	Np006G3262700, Np006G3262500	Ag003G0350400
OG0003735	Np006G3265100, Np006G3264600	Ag003G0353900
OG0003736	Np007G4172500	Ag014G1853800
OG0003737	Np007G4153000	Ag014G1874400
OG0003738	Np007G4145600	Ag014G1880700
OG0003739	Np007G4060000	Ag014G1981500
OG0003740	Np007G4053900	Ag014G1995600
OG0003741	Np004G2411000	Ag034G3881500
OG0003741	Np007G3903000	Ag014G2025900
OG0003742	Np007G3937800	Ag014G2072300
OG0003743	Np007G3945800	Ag014G2091500
OG0003744	Np007G3820800	Ag027G3053700
OG0003745	Np001G0536500	Ag017G2424000
OG0003746	Np001G0523400	Ag034G3679600, Ag016G2308100
OG0003747	Np004G2542000	Ag034G3718000
OG0003748	Np006G3640700	Ag034G3741900
OG0003749	Np004G2402500	Ag034G3896900
OG0003750	Np004G2392700	Ag034G3910000
OG0003751	Np004G2388300	Ag034G3920100, Ag034G3920000
OG0003752	Np002G0838700, Np007G3894300	Ag034G4048200, Ag034G4047500, Ag034G4047900, Ag034G4047800
OG0003754	Np005G3099200	Ag002G0228200
OG0003755	Np002G1244200	Ag024G2892100
OG0003756	Np001G0399500	Ag016G2361500
OG0003757	Np002G0886400, Np002G0886600, Np002G0886500, Np002G0886300, Np002G0885200, Np004G1998600	Ag025G2926100
OG0003758	Np002G0868000	Ag025G2941300
OG0003759	Np004G1983700	Ag025G2967700
OG0003760	Np005G2603900	Ag011G1030300, Ag011G1030100, Ag011G1030200
OG0003761	Np005G2617900, Np005G2650400	Ag011G1052600
OG0003762	Np005G2618400	Ag011G1053000
OG0003763	Np005G2624800	Ag011G1064200
OG0003764	Np005G2683100	Ag011G1095900, Ag011G1096200, Ag011G1096000
OG0003765	Np005G2799900, Np005G2799800	Ag018G2482300
OG0003767	Np003G1881000, Np003G1889200	Ag019G2527200
OG0003768	Np005G2767000	Ag010G1023800
OG0003790	Np002G1225700, Np001G0357800, Np003G1445700	Ag013G1367000, Ag013G1366900, Ag013G1366700
OG0003791	Np003G1444700	Ag013G1368600
OG0003792	Np003G1431200	Ag013G1396600
OG0003793	Np003G1404500	Ag013G1463200
OG0003794	Np003G1385800	Ag013G1495400
OG0003795	Np003G1370800	Ag013G1519000
OG0003796	Np003G1359900	Ag013G1539000
OG0003798	Np005G2816000, Np005G2804500	Ag013G1580900
OG0003799	Np006G3589900	Ag013G1603200, Ag013G1603300
OG0003800	Np006G3489500, Np006G3540600	Ag013G1640000, Ag013G1645600
OG0003801	Np006G3554500	Ag013G1651100
OG0003802	Np006G3559200	Ag013G1656300
OG0003803	Np009G4320000, Np006G3452300	Ag013G1675800
OG0003804	Np005G2810700	Ag013G1693800
OG0003805	Np006G3328300, Np005G3160000	Ag013G1744600
OG0003806	Np004G2162900	Ag013G1759600
OG0003807	Np004G2177200	Ag013G1763600, Ag033G3597000, Ag011G1245400
OG0003808	Np001G0017800, Np002G1114000	Ag004G0422700
OG0003809	Np007G3894400, Np001G0054700, Np001G0055100	Ag004G0463000
OG0003810	Np001G0064900	Ag004G0472300
OG0003811	Np001G0071500	Ag004G0481000
OG0003812	Np001G0073000	Ag004G0483200
OG0003813	Np001G0032500	Ag004G0513000
OG0003814	Np001G0105300	Ag004G0514900
OG0003815	Np001G0134000	Ag004G0547500
OG0003816	Np003G1500600	Ag004G0586300
OG0003817	Np003G1514900	Ag004G0612500
OG0003818	Np003G1550700	Ag004G0672400
OG0003819	Np003G1584400	Ag004G0729800
OG0003821	Np003G1606300	Ag004G0748600
OG0003822	Np003G1625400	Ag004G0783100, Ag020G2555200
OG0003823	Np005G2997400, Np003G1329200, Np002G1189900, Np002G1190200, Np006G3413100	Ag022G2666400, Ag022G2667000, Ag022G2665800, Ag022G2668100
OG0003825	Np001G0435500	Ag023G2823600, Ag022G2707300
OG0003826	Np001G0166600	Ag049G4736800, Ag022G2715300
OG0003827	Np003G1289500	Ag022G2734100, Ag022G2734300
OG0003828	Np002G0906500	Ag011G1103300, Ag011G1105200, Ag075G5291400
OG0003828	Np007G3763800	Ag011G1104800
OG0003830	Np002G0728600	Ag048G4595900
OG0003831	Np002G0735100	Ag048G4613700, Ag048G4614800
OG0003833	Np004G1906800	Ag032G3427100
OG0003834	Np004G1915900	Ag032G3442500
OG0003835	Np001G0454700	Ag041G4353400, Ag009G0982100
OG0003836	Np001G0453600	Ag019G2526400, Ag041G4353700, Ag009G0981800
OG0003837	Np005G3075100	Ag007G0866500
OG0003838	Np005G3030400	Ag007G0919100
OG0003841	Np002G0873500	Ag056G4948800
OG0003842	Np002G0864400	Ag057G4958000, Ag018G2435300
OG0003843	Np005G2961600	Ag001G0034300, Ag001G0034000
OG0003844	Np007G4001600	Ag001G0041600, Ag014G2155800
OG0003845	Np006G3648000, Np006G3647800	Ag001G0065000
OG0003846	Np005G3158800	Ag061G5020600, Ag023G2820400
OG0003847	Np002G1191200	Ag002G0205900
OG0003847	Np002G1190100, Np002G1190400, Np002G1190900	Ag011G1149500, Ag009G0981400, Ag011G1180600, Ag011G1181200
OG0003848	Np001G0521800	Ag008G0949100
OG0003849	Np005G2833400	Ag077G5315600, Ag033G3486900
OG0003850	Np005G2835000	Ag033G3490000, Ag077G5319200
OG0003851	Np007G4254700	Ag031G3148900
OG0003852	Np007G4249300	Ag034G3949600, Ag031G3153800
OG0003853	Np001G0677200	Ag031G3200600, Ag031G3200900
OG0003854	Np006G3245800, Np001G0665800	Ag031G3216500
OG0003855	Np001G0645600	Ag031G3245000
OG0003856	Np001G0629700, Np002G0843900	Ag031G3282100
OG0003857	Np001G0627900	Ag031G3284900
OG0003858	Np001G0627800	Ag031G3285400, Ag003G0394900
OG0003859	Np001G0571000	Ag031G3380000
OG0003860	Np001G0274900	Ag031G3395800
OG0003861	Np007G3885500	Ag029G3110000
OG0003862	Np007G3868800	Ag064G5114000, Ag095G5470400
OG0003864	Np001G0413100	Ag017G2420300, Ag039G4290700
OG0003865	Np006G3375700	Ag039G4315800
OG0003866	Np006G3382000	Ag039G4330000
OG0003867	Np006G3688800	Ag015G2192800
OG0003867	Np005G2625000	Ag011G1064400
OG0003868	Np004G2028100	Ag015G2242600
OG0003869	Np004G2068200	Ag015G2271400, Ag052G4863300
OG0003870	Np004G2067800	Ag021G2598700
OG0003871	Np002G1224200	Ag021G2608000
OG0003872	Np003G1805500	Ag021G2618600
OG0003873	Np007G3719900	Ag088G5438400
OG0003874	Np006G3222600	Ag003G0298900
OG0003876	Np006G3283600	Ag003G0383100
OG0003877	Np006G3283200, Np006G3291700	Ag003G0398200
OG0003878	Np006G3300800	Ag003G0408600
OG0003879	Np003G1439600, Np007G4228100	Ag014G1793500
OG0003880	Np007G4157900, Np001G0174200	Ag014G1867500
OG0003881	Np007G4149700	Ag014G1877600
OG0003882	Np002G0896400	Ag014G1933800
OG0003883	Np007G3772000, Np007G3771800	Ag014G1968600
OG0003884	Np010G4350700, Np007G4015900, Np007G3982100	Ag014G2020500
OG0003885	Np004G2583800	Ag034G3665000, Ag034G3664900, Ag026G2999300
OG0003886	Np003G1661300, Np003G1671100	Ag034G3755200, Ag061G5016800
OG0003888	Np003G1727400, Np004G2559500	Ag034G3697200, Ag034G3697300
OG0003889	Np004G2547600	Ag034G3711200
OG0003890	Np001G0448200	Ag034G3730100, Ag034G3942500, Ag034G4047600
OG0003891	Np004G2503200	Ag034G3762200
OG0003892	Np004G2501700	Ag034G3763600
OG0003894	Np004G2496100	Ag034G3774200
OG0003895	Np004G2454200, Np002G1212100	Ag034G3823700
OG0003896	Np004G2376200	Ag034G3941800
OG0003897	Np004G2370000	Ag034G3949800
OG0003898	Np004G2367000	Ag034G3957600
OG0003899	Np004G2364300	Ag034G3961300
OG0003900	Np003G1877700	Ag019G2507100, Ag034G4009300
OG0003901	Np002G1202700	Ag002G0176500
OG0003902	Np002G1174800	Ag002G0215800
OG0003903	Np002G1128900	Ag002G0261200
OG0003905	Np001G0321300	Ag016G2333500
OG0003906	Np006G3713300	Ag019G2550200
OG0003907	Np001G0468700	Ag011G1059200
OG0003908	Np005G2682100	Ag011G1098000
OG0003910	Np005G2646300	Ag011G1156600
OG0003911	Np005G2723300	Ag011G1262900
OG0003912	Np004G2305700	Ag018G2454000
OG0003913	Np005G2771500	Ag010G1017000
OG0003941	Np003G1421200	Ag048G4554800, Ag013G1419500
OG0003942	Np003G1411400	Ag013G1449700
OG0003943	Np003G1405800	Ag013G1461100, Ag013G1461000, Ag013G1460800
OG0003946	Np002G0865300, Np002G0865200	Ag013G1504200, Ag078G5342600, Ag057G4959300
OG0003947	Np001G0129300	Ag011G1231900
OG0003948	Np001G0130000	Ag004G0543500
OG0003948	Np003G1378500	Ag013G1506500
OG0003949	Np001G0149700	Ag038G4171800, Ag013G1536700
OG0003950	Np003G1344500	Ag013G1559100
OG0003951	Np001G0101800	Ag004G0511000
OG0003952	Np003G1343400	Ag013G1560100
OG0003953	Np003G1336400	Ag013G1567800
OG0003953	Np001G0091000	Ag004G0496900
OG0003954	Np005G2815700	Ag013G1580700
OG0003955	Np005G2818700	Ag013G1582500
OG0003956	Np006G3579200	Ag013G1595200
OG0003957	Np006G3579900	Ag013G1596000
OG0003958	Np006G3514100, Np006G3443300, Np006G3446500	Ag032G3444200, Ag013G1628300
OG0003959	Np009G4317700, Np006G3455700	Ag013G1675400
OG0003960	Np004G2560400	Ag034G3696000
OG0003960	Np001G0409900	Ag013G1681100
OG0003961	Np005G2811700	Ag013G1692200
OG0003962	Np004G2126700	Ag013G1732800
OG0003964	Np001G0592500	Ag004G0559800, Ag062G5065100
OG0003965	Np002G1067900	Ag004G0431700
OG0003966	Np001G0056100, Np001G0029000	Ag004G0434800
OG0003967	Np001G0049200	Ag002G0144000, Ag004G0457200
OG0003968	Np001G0054800, Np001G0055200, Np001G0054900	Ag004G0463100, Ag034G4054200
OG0003970	Np001G0089800	Ag004G0496500
OG0003972	Np001G0095000	Ag004G0502200
OG0003973	Np003G1261000	Ag004G0505200
OG0003974	Np001G0106700	Ag040G4334300, Ag004G0516300
OG0003975	Np001G0109000	Ag004G0518500
OG0003975	Np001G0495500	Ag004G0772300
OG0003976	Np001G0133200	Ag004G0546800
OG0003977	Np001G0135300	Ag004G0548600
OG0003978	Np004G2465700	Ag004G0606500, Ag034G3811800
OG0003979	Np003G1519500, Np001G0450400	Ag004G0621100
OG0003980	Np003G1520100	Ag004G0621800
OG0003982	Np003G1537600	Ag004G0655700
OG0003983	Np003G1540200	Ag004G0659300, Ag004G0659200
OG0003984	Np003G1543500	Ag004G0664300
OG0003985	Np003G1558600	Ag004G0686600, Ag004G0686700
OG0003986	Np003G1581900	Ag004G0723200
OG0003987	Np003G1750600, Np001G0498400	Ag004G0769000, Ag031G3343200, Ag011G1241100
OG0003988	Np003G1625500	Ag004G0783300, Ag020G2555100
OG0003989	Np003G1327200	Ag022G2671200
OG0003990	Np003G1642800	Ag022G2714500
OG0003991	Np003G1301400	Ag048G4672300, Ag048G4672200, Ag022G2716600, Ag022G2716500
OG0003992	Np003G1297600	Ag022G2722600, Ag033G3524200
OG0003993	Np003G1292200, Np007G4116700	Ag022G2731500
OG0003995	Np003G1265200	Ag022G2776500
OG0003996	Np003G1265000	Ag018G2458800, Ag022G2776600
OG0003997	Np005G3188200	Ag075G5294600
OG0003998	Np007G4119400	Ag048G4568100, Ag014G1910300
OG0004000	Np002G0764400	Ag048G4662300
OG0004001	Np002G0765600	Ag048G4668400
OG0004002	Np002G0771700	Ag048G4686000, Ag048G4685900
OG0004003	Np001G0397400	Ag023G2803400, Ag014G1892000, Ag082G5405400, Ag048G4709900, Ag016G2356200
OG0004004	Np004G1902700	Ag037G4133700, Ag016G2319400, Ag016G2320800, Ag037G4131500, Ag032G3421200
OG0004005	Np004G1903500	Ag032G3422000, Ag025G2911200
OG0004006	Np004G1906100	Ag032G3426300, Ag032G3426200
OG0004007	Np004G1911300	Ag032G3434500
OG0004008	Np004G1913600	Ag032G3438900, Ag032G3439200, Ag032G3439000, Ag032G3438800
OG0004009	Np004G2029100	Ag015G2241400, Ag032G3457500
OG0004010	Np004G1924700	Ag032G3457800
OG0004011	Np006G3392300	Ag054G4886200
OG0004013	Np005G3053800	Ag007G0898500
OG0004014	Np005G3044500	Ag007G0905300
OG0004015	Np005G3022700	Ag007G0927300, Ag007G0926400, Ag007G0927500
OG0004016	Np002G0811000	Ag078G5345100
OG0004017	Np002G0794200, Np002G0794500	Ag078G5379200
OG0004018	Np002G1235400	Ag024G2861800, Ag002G0091200
OG0004018	Np002G1211500	Ag002G0100000
OG0004020	Np001G0211500	Ag012G1309000
OG0004021	Np005G2867200	Ag057G4958600, Ag027G3025800, Ag033G3619000
OG0004022	Np001G0371300	Ag006G0828600, Ag006G0828500, Ag006G0830400
OG0004023	Np007G3975500	Ag014G2134900
OG0004023	Np004G1968800	Ag001G0025200
OG0004024	Np007G3975600	Ag014G2135000
OG0004025	Np006G3410600	Ag023G2829700
OG0004026	Np006G3409200	Ag023G2832400
OG0004027	Np001G0353300	Ag016G2284400
OG0004027	Np005G2924200	Ag050G4779700
OG0004028	Np004G2403300	Ag044G4492700, Ag033G3625500, Ag034G3895600
OG0004030	Np004G1976300	Ag033G3556300
OG0004031	Np003G1795400	Ag033G3560300
OG0004032	Np005G2887300	Ag033G3568200
OG0004033	Np001G0393800, Np005G2884800	Ag033G3578500
OG0004034	Np001G0471800, Np005G2867900	Ag033G3615100
OG0004035	Np005G2865000, Np005G2864700, Np005G2865600, Np005G2865800, Np005G2865900	Ag033G3620500
OG0004037	Np005G3000500	Ag031G3138800
OG0004038	Np005G2988800	Ag031G3142600, Ag031G3142700
OG0004040	Np001G0007900	Ag031G3159100
OG0004041	Np001G0691600	Ag031G3177500
OG0004042	Np006G3226200	Ag031G3197300
OG0004043	Np006G3630800	Ag031G3199500
OG0004044	Np001G0672800	Ag031G3206700
OG0004046	Np001G0180600, Np001G0648100	Ag031G3240700
OG0004047	Np001G0620000	Ag031G3296800
OG0004048	Np001G0279000	Ag031G3302300
OG0004049	Np006G3304100	Ag003G0414500
OG0004049	Np001G0615800	Ag031G3305200
OG0004050	Np001G0608400	Ag031G3316800
OG0004051	Np001G0572800	Ag031G3374100
OG0004052	Np006G3373400	Ag039G4313000
OG0004052	Np001G0564100	Ag031G3387500
OG0004054	Np007G3875400	Ag029G3100200
OG0004055	Np004G1907300	Ag067G5204000
OG0004056	Np002G0830600	Ag018G2448700, Ag042G4416900
OG0004058	Np006G3315600	Ag039G4202100
OG0004061	Np005G2820400	Ag015G2225500
OG0004062	Np004G1985000	Ag052G4869000, Ag015G2266000, Ag025G2963800, Ag025G2964200
OG0004063	Np004G2083200	Ag052G4864200, Ag015G2270500
OG0004064	Np003G1779200	Ag021G2598800
OG0004065	Np003G1798100	Ag021G2610800
OG0004066	Np003G1472900	Ag038G4152600
OG0004068	Np001G0153800	Ag038G4175900
OG0004069	Np006G3214000	Ag003G0286600
OG0004070	Np006G3228300	Ag003G0305300
OG0004071	Np007G3782600	Ag003G0321100, Ag019G2516300
OG0004072	Np006G3255100	Ag003G0340600
OG0004073	Np006G3266400	Ag003G0357700
OG0004074	Np006G3287500	Ag003G0392900
OG0004075	Np007G4234400	Ag014G1782600
OG0004075	Np007G4234700	Ag014G1782700
OG0004076	Np007G4226100	Ag014G1795900
OG0004077	Np004G1983300, Np007G4221600	Ag014G1800800
OG0004078	Np007G4212900	Ag014G1811900
OG0004079	Np007G4205400	Ag014G1818800
OG0004080	Np007G4202000	Ag014G1823400
OG0004081	Np007G4195200, Np001G0152400	Ag014G1826700
OG0004082	Np007G4194300	Ag014G1828000
OG0004084	Np007G4178800	Ag014G1846100, Ag014G1845400
OG0004085	Np007G4176300	Ag014G1848800
OG0004086	Np007G4157700, Np007G4157800	Ag014G1867600
OG0004087	Np007G4084300	Ag014G1956800
OG0004090	Np007G4042600	Ag014G2009300
OG0004091	Np007G3902600	Ag014G2023600
OG0004092	Np007G3920500	Ag014G2048900
OG0004094	Np007G3739300, Np007G3975000	Ag014G2133800
OG0004095	Np001G0168400	Ag014G2136300
OG0004096	Np001G0187800	Ag014G2142900, Ag061G5020000
OG0004097	Np005G3158300	Ag061G5021100
OG0004098	Np007G3849500	Ag027G3009800, Ag064G5094800, Ag027G3009700
OG0004099	Np007G3846300	Ag027G3014000
OG0004100	Np007G3837600	Ag027G3028500
OG0004101	Np007G3837200	Ag027G3028700
OG0004102	Np007G3816500	Ag027G3058500
OG0004103	Np005G2744400	Ag068G5228700
OG0004104	Np001G0162500	Ag043G4447400
OG0004105	Np001G0158900	Ag043G4450500
OG0004107	Np004G2587900	Ag034G3660500, Ag034G3660600
OG0004108	Np004G2562600	Ag034G3694300
OG0004109	Np004G2534000	Ag034G3726500
OG0004110	Np004G2518100, Np004G2515800	Ag034G3745100, Ag034G3746800
OG0004111	Np004G2502400	Ag034G3763100
OG0004112	Np003G1841900, Np003G1843100	Ag016G2389300
OG0004112	Np001G0328200	Ag034G3797700
OG0004113	Np004G2475500	Ag034G3799400
OG0004114	Np002G1212300	Ag002G0165400
OG0004114	Np004G2453900	Ag034G3824300
OG0004115	Np001G0266100	Ag034G3870700
OG0004116	Np004G2381200, Np004G2381000	Ag034G3934100, Ag034G3934000
OG0004117	Np004G2378500	Ag034G3938200
OG0004118	Np002G0828500	Ag034G3945800, Ag034G3945600
OG0004119	Np003G1748500	Ag034G3960200
OG0004120	Np002G0836600	Ag034G4045100
OG0004121	Np002G0855700	Ag034G4067100
OG0004122	Np002G1215300	Ag002G0157600
OG0004123	Np001G0281500	Ag002G0160100
OG0004125	Np003G1849300	Ag024G2893000, Ag024G2887400, Ag016G2376800
OG0004126	Np001G0394300	Ag016G2352700, Ag016G2352600
OG0004126	Np001G0394900	Ag016G2352300
OG0004126	Np001G0395000	Ag016G2352500
OG0004127	Np001G0431800	Ag016G2384200
OG0004128	Np003G1841400	Ag016G2390000
OG0004129	Np005G2614900, Np004G1997800	Ag025G2926400, Ag025G2925700
OG0004130	Np005G2694200	Ag011G1077800
OG0004131	Np005G2679400	Ag011G1101900
OG0004132	Np005G2674700	Ag011G1113600
OG0004134	Np007G3856100	Ag064G5102700, Ag064G5103200, Ag064G5103900
OG0004135	Np007G3859900	Ag064G5107600
OG0004136	Np003G1891800, Np005G2627700	Ag019G2530300
OG0004137	Np005G2769700	Ag010G1019100
OG0004165	Np005G2732200	Ag047G4541400, Ag046G4530200, Ag027G3023800
OG0004166	Np005G2731700	Ag047G4542000, Ag046G4531100
OG0004167	Np005G2731200	Ag047G4545200, Ag046G4533300
OG0004168	Np001G0063700	Ag004G0471900
OG0004169	Np003G1446700	Ag013G1365700
OG0004170	Np003G1440300	Ag013G1375300
OG0004171	Np003G1438300, Np003G1438400	Ag013G1382400
OG0004173	Np003G1430200	Ag013G1398800
OG0004174	Np003G1420500	Ag013G1420700
OG0004177	Np004G2300800, Np004G2301100	Ag018G2454500, Ag013G1449200
OG0004178	Np003G1409100	Ag013G1453700
OG0004180	Np003G1375900	Ag013G1512500, Ag024G2893600
OG0004181	Np001G0191400	Ag013G1516400, Ag031G3362400
OG0004182	Np001G0123200	Ag004G0537900
OG0004183	Np003G1354800	Ag013G1547000, Ag013G1546900
OG0004185	Np003G1346700	Ag013G1556500
OG0004186	Np005G2815600	Ag013G1580600
OG0004187	Np006G3620100	Ag013G1585700, Ag013G1585800, Ag013G1586000, Ag013G1585900
OG0004188	Np006G3615600	Ag013G1588200
OG0004188	Np004G2508500	Ag034G3757000
OG0004189	Np006G3610700	Ag013G1591900
OG0004190	Np006G3579800, Np006G3607000	Ag013G1594800
OG0004191	Np006G3593700	Ag013G1606400
OG0004193	Np006G3531000	Ag013G1634500
OG0004194	Np006G3533900, Np006G3473500	Ag013G1635800
OG0004195	Np006G3548200, Np006G3481000	Ag013G1644300
OG0004197	Np006G3556800	Ag013G1654300
OG0004199	Np004G2003000	Ag013G1701700
OG0004200	Np004G2013200	Ag013G1710900
OG0004201	Np004G2010200	Ag013G1711900
OG0004202	Np004G2110900	Ag013G1718400
OG0004203	Np004G2119400	Ag013G1727400
OG0004204	Np004G2128200	Ag013G1734000
OG0004205	Np006G3421200	Ag013G1737400
OG0004207	Np004G2138700	Ag013G1745100
OG0004208	Np004G2140600	Ag013G1746800
OG0004209	Np004G2147000	Ag013G1752200
OG0004210	Np004G2179100	Ag013G1763800
OG0004211	Np001G0250400	Ag062G5055800
OG0004212	Np001G0015600	Ag004G0420700
OG0004214	Np001G0016300	Ag004G0421200
OG0004215	Np001G0024300	Ag004G0429000
OG0004217	Np001G0058100	Ag004G0466900
OG0004218	Np001G0068700	Ag004G0477800, Ag016G2367600, Ag016G2367500, Ag016G2367300, Ag007G0872100, Ag007G0878500, Ag066G5150300
OG0004219	Np004G1943600	Ag004G0480900
OG0004220	Np001G0093400	Ag004G0499800
OG0004221	Np001G0098800	Ag004G0507200
OG0004222	Np005G2992300	Ag031G3141200, Ag004G0507400, Ag004G0507300, Ag003G0379400, Ag063G5068100
OG0004223	Np001G0413400	Ag004G0520300
OG0004225	Np001G0122300	Ag004G0536200
OG0004225	Np001G0122200	Ag004G0536100
OG0004226	Np003G1479000	Ag004G0557700
OG0004227	Np003G1489800	Ag004G0572400
OG0004228	Np003G1502900	Ag004G0590600
OG0004229	Np003G1533100	Ag004G0647800
OG0004230	Np003G1537200	Ag004G0653700
OG0004231	Np003G1556900	Ag004G0682200
OG0004233	Np005G2845700	Ag033G3505400, Ag004G0711900
OG0004234	Np003G1587600	Ag033G3522600, Ag033G3522500, Ag004G0734000
OG0004235	Np001G0506700, Np004G2033500	Ag004G0743500
OG0004236	Np003G1634400	Ag004G0755000
OG0004237	Np003G1867600	Ag022G2632800
OG0004238	Np003G1862000	Ag022G2644000
OG0004239	Np003G1317600	Ag022G2686200
OG0004240	Np007G4119700	Ag014G1910000
OG0004240	Np003G1287400	Ag022G2737800
OG0004241	Np003G1286000	Ag022G2739800
OG0004242	Np003G1270900, Np003G1271000	Ag022G2766600
OG0004244	Np005G3182300	Ag075G5286500
OG0004245	Np005G3190400, Np005G2975200	Ag075G5295900
OG0004246	Np002G0712600	Ag048G4574100
OG0004248	Np002G0729700	Ag048G4597500, Ag034G3908400
OG0004249	Np002G0745600	Ag048G4631200
OG0004251	Np004G1904800	Ag032G3425300
OG0004252	Np004G2093000	Ag032G3459700
OG0004253	Np004G1933300	Ag032G3472100
OG0004254	Np005G3091100	Ag007G0882500
OG0004255	Np006G3254500	Ag025G2964400, Ag007G0896200, Ag033G3576900, Ag003G0339100
OG0004256	Np002G0817300	Ag078G5330300
OG0004257	Np004G2291200	Ag078G5340400, Ag018G2463900
OG0004258	Np001G0372800, Np001G0372700	Ag056G4947800, Ag034G3836900
OG0004259	Np005G3165000	Ag071G5240100
OG0004260	Np003G1718400	Ag012G1272400
OG0004261	Np001G0204700	Ag012G1297600
OG0004262	Np001G0230300	Ag012G1328700
OG0004263	Np004G2270100	Ag018G2472900
OG0004263	Np002G0865700	Ag057G4959500
OG0004264	Np002G0870600	Ag057G4965400
OG0004265	Np001G0357900	Ag006G0797400, Ag058G4989500
OG0004266	Np001G0364400	Ag058G4978400, Ag006G0804000
OG0004267	Np001G0371700	Ag006G0830000, Ag006G0829300
OG0004269	Np006G3623900, Np006G3623800	Ag001G0001900, Ag083G5410900, Ag083G5410500, Ag083G5411000
OG0004271	Np004G1957200	Ag001G0056300
OG0004272	Np004G1951800	Ag001G0064900
OG0004273	Np004G1945300	Ag001G0076800, Ag001G0077000, Ag001G0076600
OG0004274	Np005G2914100	Ag050G4768000
OG0004275	Np005G2914900	Ag050G4769100
OG0004277	Np005G2949100	Ag050G4797100
OG0004278	Np007G4098200	Ag008G0965700
OG0004279	Np005G2833500	Ag033G3487000, Ag077G5315700
OG0004280	Np005G2835200	Ag033G3490200, Ag077G5319600
OG0004281	Np003G1680900	Ag051G4813200
OG0004282	Np005G2828500	Ag033G3535500
OG0004282	Np005G2828700	Ag033G3477200, Ag052G4847000
OG0004283	Np006G3411200, Np006G3410900	Ag033G3513800
OG0004284	Np005G2849100	Ag033G3515200, Ag033G3515300
OG0004285	Np006G3347700, Np005G2887500	Ag033G3568000
OG0004286	Np005G2871100	Ag033G3591000
OG0004287	Np005G2874800	Ag033G3598500
OG0004288	Np005G2977800	Ag031G3145100
OG0004289	Np007G4251000	Ag031G3152300
OG0004290	Np001G0136900	Ag003G0381400, Ag031G3171500
OG0004291	Np001G0694200	Ag031G3175100
OG0004292	Np001G0674000	Ag031G3205600
OG0004293	Np001G0669000	Ag014G1894600, Ag014G1894900, Ag014G1895300, Ag014G1895200, Ag031G3213300
OG0004294	Np001G0648500	Ag031G3237600
OG0004295	Np001G0635100	Ag031G3264600
OG0004296	Np001G0631200, Np001G0630900	Ag031G3275600
OG0004297	Np001G0630200	Ag031G3281400
OG0004298	Np001G0624500	Ag031G3291800
OG0004299	Np001G0613800	Ag031G3310000
OG0004300	Np001G0597300, Np001G0608300	Ag031G3317000
OG0004302	Np001G0585200	Ag031G3358100
OG0004303	Np003G1639100	Ag016G2301200, Ag016G2302300, Ag020G2573100
OG0004304	Np007G3867500	Ag095G5469400, Ag064G5112800
OG0004305	Np005G3180400, Np007G3751700	Ag086G5422500, Ag042G4377400
OG0004306	Np007G3749000	Ag042G4380800
OG0004307	Np007G3743200	Ag042G4392900
OG0004308	Np007G3733300	Ag042G4421700
OG0004309	Np001G0264400	Ag042G4423300
OG0004310	Np006G3305700	Ag039G4182400
OG0004311	Np006G3309200	Ag039G4191700
OG0004312	Np006G3311300	Ag039G4195000
OG0004313	Np006G3323600	Ag039G4217500
OG0004314	Np006G3341500	Ag039G4252900
OG0004315	Np006G3351300	Ag039G4273100, Ag039G4272400
OG0004317	Np003G1817600, Np002G0917400	Ag030G3126900, Ag021G2628200
OG0004318	Np006G3667800	Ag015G2202700
OG0004319	Np004G2094500	Ag015G2234800
OG0004320	Np002G1159300, Np004G2558600	Ag015G2263500, Ag034G3698600
OG0004321	Np004G2007000	Ag021G2624100
OG0004322	Np001G0140900	Ag038G4157700
OG0004323	Np001G0146900	Ag038G4166700, Ag027G3036600
OG0004324	Np001G0147600	Ag014G1837600, Ag038G4168600
OG0004326	Np006G3219400	Ag003G0296500
OG0004327	Np006G3219500	Ag003G0296600
OG0004328	Np006G3227600, Np006G3255700	Ag003G0304500, Ag003G0308000
OG0004329	Np006G3230000	Ag003G0307200
OG0004330	Np006G3231100	Ag003G0309600
OG0004331	Np007G3813000	Ag003G0312300
