Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000005	Np006G3534100, Np006G3467500, Np006G3473300, Np006G3540100	Ag013G1642000
OG0000005	Np006G3440400	Ag042G4407900, Ag078G5366100
OG0000007	Np003G1457500	Ag003G0374300
OG0000008	Np005G2918600, Np002G1026800	Ag027G3054100
OG0000008	Np001G0535300	Ag001G0025300
OG0000009	Np005G2652900, Np004G2035600	Ag034G3970500, Ag034G3983500
OG0000009	Np002G1195700	Ag004G0738200
OG0000009	Np002G0805000	Ag014G2149700
OG0000009	Np004G2021700	Ag034G3964200, Ag048G4700800
OG0000009	Np001G0374200, Np001G0291600	Ag058G4969600, Ag052G4854400
OG0000009	Np001G0683200	Ag019G2551400
OG0000009	Np003G1663900, Np001G0129200, Np003G1783000	Ag016G2319900, Ag025G2919200
OG0000011	Np004G2119600	Ag019G2529100, Ag039G4286000
OG0000011	Np001G0298900, Np004G2255700, Np001G0314400	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700
OG0000011	Np001G0493800, Np007G3831300, Np007G4255400	Ag027G3007700
OG0000012	Np002G0797700, Np008G4276800	Ag006G0798800
OG0000014	Np002G0952400	Ag002G0182700
OG0000014	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900	Ag012G1285000
OG0000015	Np001G0295000, Np001G0361200	Ag034G3936100
OG0000018	Np003G1756100	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500
OG0000018	Np007G3967900	Ag074G5275600, Ag020G2558600
OG0000020	Np003G1663000	Ag016G2337300
OG0000021	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400, Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200	Ag013G1488900, Ag031G3408800
OG0000022	Np005G3189900	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000023	Np002G1065700, Np005G3185500	Ag013G1378800
OG0000023	Np005G2845400	Ag039G4287100
OG0000023	Np005G3091400	Ag054G4895500, Ag002G0253500
OG0000023	Np006G3436400, Np002G1005200	Ag043G4432400
OG0000024	Np004G1980700, Np004G1980500	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	Np002G0932100	Ag013G1663800
OG0000024	Np004G2007800	Ag031G3235600
OG0000024	Np004G2150800, Np001G0579500, Np001G0579400, Np004G2148800, Np004G2148600, Np005G2717400	Ag013G1754200
OG0000025	Np006G3544700	Ag015G2255100
OG0000025	Np003G1727000	Ag067G5188200, Ag030G3132300
OG0000026	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800
OG0000026	Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700	Ag287G5488300, Ag015G2272200, Ag023G2829200
OG0000026	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000	Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000027	Np003G1806500	Ag021G2619200
OG0000027	Np005G2841300	Ag093G5459600
OG0000027	Np005G2840200	Ag033G3496400
OG0000028	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300	Ag078G5387500
OG0000030	Np001G0090700	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	Np004G2249500, Np004G2249800	Ag039G4188300, Ag003G0399100, Ag014G1840000, Ag031G3271600
OG0000030	Np004G2250000	Ag013G1357800
OG0000031	Np005G2850000	Ag030G3130300
OG0000031	Np006G3345400	Ag028G3081200, Ag048G4605200, Ag023G2817900
OG0000032	Np004G2267500	Ag037G4132500
OG0000032	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400	Ag005G0786000
OG0000032	Np004G2267700	Ag011G1160200, Ag011G1160300, Ag011G1160400
OG0000034	Np005G2840700, Np005G2840600	Ag093G5459200, Ag033G3498700
OG0000034	Np005G2841400	Ag093G5459500, Ag033G3498900
OG0000034	Np005G2839700, Np005G2840900	Ag033G3477100, Ag052G4847100
OG0000034	Np005G2841700	Ag033G3500200, Ag093G5460400
OG0000035	Np005G2976300, Np005G2976500, Np004G2088100, Np005G3165600	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	Np002G0910400	Ag093G5463700
OG0000035	Np002G1076200	Ag011G1111100, Ag055G4905000
OG0000038	Np007G3978400	Ag013G1382300, Ag066G5165400, Ag002G0115800
OG0000040	Np002G0854800	Ag031G3415700
OG0000042	Np004G2298700	Ag007G0876900, Ag096G5474100
OG0000042	Np004G2161100, Np002G0961400	Ag015G2214400
OG0000042	Np006G3309000, Np007G4027400, Np003G1737200, Np007G4178400, Np007G4238800, Np007G3908200, Np003G1737100, Np002G0963100	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000042	Np006G3478400	Ag014G2104800, Ag009G0976800, Ag006G0824100, Ag013G1471600
OG0000043	Np006G3382800, Np003G1722000, Np002G0941700, Np003G1677700	Ag036G4114100
OG0000043	Np006G3278600	Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200
OG0000043	Np002G1248100	Ag013G1650200
