Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000017	jg6914	g30038, g48861, g14716, g41612, g22553, g41591, g41917, g42730, g33087, g4586, g4118, g8531, g53693, g22539, g38773, g22282, g15584, g42729, g30512, g15505, g34207, g16197, g15658, g38826, g20856, g16242
OG0000018	jg42	g9246, g16755
OG0000018	jg2924	g33005, g53278, g19683, g22234, g51731, g34890, g3864, g10611, g28170, g22394, g33570, g53344, g35609, g51672, g49114, g49115, g30157, g43714, g28244, g43633, g17767, g35905, g2894, g43959, g41522, g3546, g48225, g53242, g30072
OG0000020	jg27354	g32689, g14805
OG0000020	jg2142	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000020	jg6884, jg7335	g34543
OG0000020	jg11846	g3669
OG0000020	jg27355, jg11845, jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883, jg32222, jg15995	g4186
OG0000021	jg25715	g33125, g14567, g25750
OG0000022	jg9770	g17118
OG0000022	jg5495	g5030
OG0000022	jg645, jg586, jg583, jg572, jg642	g40889
OG0000022	jg638	g40888
OG0000022	jg372	g40751
OG0000022	jg12744, jg25741	g13269
OG0000023	jg1550, jg27237, jg27744	g3443, g34449, g34444
OG0000023	jg12454	g6328, g34729
OG0000023	jg3735	g21395
OG0000024	jg17071	g43450
OG0000024	jg18272	g22601
OG0000024	jg31712	g43469
OG0000024	jg15695, jg15696, jg15770, jg15771, jg14278	g2269
OG0000025	jg27352	g14806, g32688
OG0000027	jg7521	g25723
OG0000027	jg7523	g25717, g25713, g48941, g48949
OG0000027	jg7537, jg7533, jg7530	g40374
OG0000027	jg7526	g25720
OG0000027	jg9025	g23101
OG0000030	jg30787, jg31203, jg31202, jg25536	g38367, g38376, g38372, g38380
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	g13799, g13797
OG0000030	jg2112	g13193, g13194
OG0000030	jg29499, jg25408, jg10900, jg11085	g44631
OG0000031	jg21055	g42618, g43456
OG0000032	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717	g49592, g25930, g51375
OG0000034	jg10193, jg10203, jg10197	g23911
OG0000034	jg10426, jg10425	g24014
OG0000034	jg8138	g50699
OG0000034	jg10202, jg10195	g23912
OG0000034	jg10177	g23905
OG0000035	jg6998, jg7008, jg32675, jg6987	g42054
OG0000035	jg1581	g42055
OG0000036	jg21340	g41663, g43194, g22574, g39945, g35836, g2951, g37862, g53162, g8562, g3621, g21982, g3535, g8184
OG0000036	jg1519	g612, g15222, g3806, g3520, g556, g34922, g3531, g27040, g9162, g15745, g21617, g8325, g3516, g20638, g14983, g12232, g48263, g3592, g52628, g32830, g26399, g49242, g15472, g15738, g52327, g52413, g26495, g23262, g5035, g15613, g13929, g52872, g38592, g14944, g21981, g24110, g3517, g12231, g53212, g8538, g53668, g20928, g9042, g50317, g53093, g15610, g41989, g54129, g35835, g9210, g24605, g18471, g33294, g20894, g30377, g47597, g34830, g30174, g22565, g35939, g14834, g20844, g16430, g22578, g8597, g17427, g52829, g20553, g35138, g35135, g43276, g3589, g25945, g8347, g15842, g33387, g42569, g33158, g33161, g48659, g35581, g33616, g15846, g3497, g22573, g22570, g53862
OG0000038	jg17779	g45065
OG0000040	jg17939	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980, g52948, g41631, g41632, g25133, g49021
OG0000041	jg28661	g11828
OG0000041	jg10344	g41708, g839, g6204
OG0000042	jg33373	g41465, g35926
OG0000042	jg12236	g31187
OG0000042	jg6978	g8527, g6175
OG0000042	jg2222	g44909, g43791
OG0000042	jg17129	g6340, g16111, g37181
OG0000042	jg6977	g53556
OG0000042	jg33374, jg32294, jg32380	g40104, g13786, g31186, g8826, g30544
OG0000043	jg17159	g18797
OG0000044	jg20412, jg20415	g18482
OG0000044	jg6091, jg1752, jg21037, jg10924, jg21833	g28154
OG0000045	jg17429	g43228, g49016, g33407, g15171, g8757, g20865, g48562, g15598, g53759, g36743, g48229, g53978, g16707, g17764, g42734, g24659, g53360, g16192, g26629, g3950, g43497, g48236, g52341, g20866, g33635, g43463, g3355, g52728, g14681, g48303, g52535, g42806, g42511, g33520, g3487, g34856, g9310, g16032, g34329, g14795, g43690, g52540, g3779, g42996, g26159, g42989, g4364, g14465, g24880, g33346, g14351, g42760, g52408, g48876, g53343, g20836, g8519, g9311, g34507, g26154, g16328, g3350, g15001, g42019, g26458, g35523, g22096, g52745, g48973, g15276, g3641, g54416, g42868, g8806, g33595, g15872, g16444, g19680, g30152, g9227, g52458, g8656, g43871, g24840, g48944, g14352, g42105, g8518, g15443, g30148, g33634, g16706, g16370, g20303, g30100, g16191, g50737, g4712, g43115, g16130, g48999, g21851, g34823, g34846, g19966, g43691, g48829, g8196, g8700, g35485, g42514, g15756, g30099, g7997, g14476, g3638, g32912, g33525, g4269, g8610, g38805, g26060, g8654, g26153, g26630, g38667, g43118, g15010, g19894, g15755, g15752, g29946, g34505, g19845, g34759, g30266, g33573, g9278, g14658, g22030, g22022, g9143, g14974, g42775, g7974, g48881, g26499, g52321, g7996, g24685, g33357, g52343, g25917, g43689, g9220, g16210, g14986, g16126, g53537, g48830, g29977, g8635, g4105, g14622, g48563, g8756, g48694, g34903, g25105, g3949, g15665, g43496, g34821, g15737, g53619, g42900, g9014, g22086, g52729, g4681, g53618, g3793, g22087, g19844, g9015, g33574, g9219, g34506, g15444, g52342, g4251, g8901, g42033, g34222, g30190, g25916, g33347, g53202, g3352, g22093, g16372, g36995, g20843, g7973, g14729, g29947, g9144, g22088, g14336, g22089, g20490, g42855, g42882, g54410, g33348, g35933, g4047, g8758, g14727, g14989, g42899, g53007, g19895, g48693, g51451, g24910, g43257, g53536, g49120, g42107, g30583, g16193, g42018, g53979, g8609, g16708, g35497, g42884, g54411, g8810, g42540, g49119, g42573, g52716, g21117, g33613, g16327, g30189, g8811, g43188, g20302, g48305, g16125, g19914, g34986, g42894, g52900, g49036, g30150, g52471, g36996, g14730, g54205, g52743, g35202, g42897, g42904, g14818, g16132, g53612, g14991, g34867, g15102, g15753, g21249, g43117, g26540, g52720, g8611, g24684, g52996, g33254, g33228, g14972, g14985, g34760, g26589
OG0000046	jg12140	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490
OG0000046	jg1035, jg17283, jg1573, jg1834, jg309, jg32416	g26196, g11589
OG0000046	jg1555, jg21339	g33267
OG0000048	jg20748, jg20747	g51285
OG0000048	jg18210, jg18207	g39852, g39841
OG0000048	jg740	g29294, g52069, g52073, g52064
OG0000050	jg11604	g32289
OG0000050	jg19949, jg4268	g44060, g31395, g44252, g3
OG0000050	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079	g182
OG0000051	jg19560	g53934, g37450
OG0000052	jg13389, jg13391	g1602, g3195
OG0000052	jg20913, jg15189	g19225
OG0000052	jg15039	g2410
OG0000052	jg14733	g44053
OG0000055	jg25886, jg26868	g27361
OG0000055	jg17788, jg8147	g50182, g50184, g50186
OG0000056	jg743	g40991, g44205
OG0000056	jg14491	g44206, g40901
