Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0001815	jg30558	g31916
OG0001818	jg30462	g50085
OG0001819	jg27886, jg8796	g22996
OG0001820	jg8733	g18238
OG0001821	jg18776	g51583
OG0001821	jg15217	g2393
OG0001822	jg13341	g10564
OG0001822	jg18822	g37186
OG0001824	jg2943	g46027
OG0001824	jg30298	g27389
OG0001826	jg3090	g44533
OG0001826	jg30392	g31800
OG0001827	jg9518	g23497
OG0001827	jg28180	g13812
OG0001828	jg31077	g50346
OG0001828	jg2539	g44755
OG0001829	jg20453	g10953
OG0001830	jg20541	g40559
OG0001830	jg10668	g17445
OG0001831	jg29070, jg29093	g16675, g16677
OG0001832	jg26313	g6680
OG0001832	jg33328	g54225, g36517
OG0001833	jg25659	g12099
OG0001834	jg21940	g41224
OG0001836	jg29090	g27006
OG0001837	jg27574	g6159, g13696
OG0001838	jg27834	g6106
OG0001838	jg8821	g47914, g23015
OG0001839	jg10110	g23872
OG0001839	jg7468	g40347
OG0001840	jg10236	g23932
OG0001840	jg7597	g40389
OG0001842	jg28643	g26905
OG0001842	jg10535	g47342
OG0001843	jg7806	g40473, g25537
OG0001844	jg7761	g40459
OG0001844	jg10406	g24003
OG0001845	jg29176	g27021
OG0001845	jg33024	g19011, g27366
OG0001846	jg15673	g18999
OG0001846	jg19419	g38158
OG0001847	jg20180	g18738
OG0001848	jg16280	g1777
OG0001849	jg16122	g1900
OG0001849	jg19903	g37588
OG0001850	jg16086	g18836
OG0001850	jg19840	g37566
OG0001851	jg16074	g18842
OG0001851	jg19816	g52178
OG0001852	jg16066	g18860
OG0001852	jg19785	g37540
OG0001853	jg16052	g1946
OG0001854	jg16018	g11200
OG0001855	jg19371	g37375
OG0001855	jg15633	g2134
OG0001856	jg19206	g38133
OG0001856	jg15506	g19073
OG0001857	jg15410	g19136, g2270
OG0001858	jg15264	g2364
OG0001858	jg18853	g51626
OG0001859	jg8680	g47970
OG0001859	jg27993	g6013
OG0001860	jg28030	g5998
OG0001861	jg1997	g11052
OG0001861	jg2006	g42039
OG0001862	jg7655, jg7654	g25637, g25647, g25634, g25644, g25646
OG0001863	jg7710	g25590
OG0001864	jg16709	g50913
OG0001864	jg8552	g22804
OG0001865	jg32330	g35903, g27954
OG0001865	jg7096, jg7149	g40222
OG0001866	jg29348	g49701, g31215
OG0001866	jg24772	g12988
OG0001867	jg19569, jg19570	g37452
OG0001868	jg16710, jg21416, jg21422, jg1097, jg1030, jg1144	g44049
OG0001869	jg30641	g39849
OG0001869	jg19528	g52046
OG0001871	jg24077	g7863
OG0001872	jg24542	g12504
OG0001872	jg26612	g6516
OG0001873	jg29872	g49901
OG0001873	jg13127	g1534
OG0001874	jg17160	g38322
OG0001875	jg12535	g46697
OG0001875	jg13709	g10375
OG0001876	jg12520	g46699
OG0001877	jg12343	g46749
OG0001877	jg2216	g44939
OG0001878	jg8204	g45274
OG0001878	jg28459	g30736
OG0001879	jg29470	g49736
OG0001879	jg9863	g47567
OG0001880	jg29476	g31272
OG0001880	jg909	g41003
OG0001881	jg29643	g49799
OG0001881	jg686	g44224, g40913
OG0001882	jg29646	g31351
OG0001882	jg678	g44231
OG0001883	jg579	g40856
OG0001883	jg29727	g31400
OG0001884	jg13222	g10625
OG0001884	jg29784	g31439
OG0001885	jg13058	g10715
OG0001885	jg29930	g49908
OG0001886	jg32974	g36367
OG0001888	jg2868	g18004
OG0001888	jg30254	g49996
OG0001890	jg13050, jg13051	g1521
OG0001891	jg2617	g45827
OG0001891	jg30992	g32076, g50322
OG0001892	jg8533	g22794
OG0001892	jg8534	g22795
OG0001893	jg17140	g51050
OG0001893	jg9149	g23271
OG0001894	jg27523	g6189
OG0001894	jg8979	g23149
OG0001895	jg9266	g47780
OG0001896	jg16925	g38382
OG0001896	jg9269	g23335
OG0001897	jg9308	g23368
OG0001897	jg16891	g38394
OG0001898	jg14020, jg1336, jg32360, jg27713, jg27342, jg27036, jg24605, jg27252, jg27253	g48892, g42364, g22064, g42914, g38839
OG0001899	jg12207, jg17387	g3726
OG0001900	jg12561	g16877
OG0001900	jg13666	g10398
OG0001902	jg21865, jg6167, jg8207	g51355, g51354
OG0001910	jg9354	g16983
OG0001910	jg16859	g38402
OG0001911	jg16870	g38398
OG0001912	jg5465	g29194
OG0001912	jg24095	g7859
OG0001913	jg9641	g12970
OG0001913	jg24697	g7592
OG0001914	jg24049	g12751
OG0001914	jg5407	g5082
OG0001915	jg5162	g29351
OG0001916	jg5802	g647
OG0001916	jg5073	g45590, g29398
OG0001917	jg5812	g644, g41423
OG0001918	jg6368	g10034
OG0001918	jg4903	g29482
OG0001919	jg6358	g566
OG0001920	jg23530, jg4828	g165
OG0001921	jg4825	g45525
OG0001921	jg22345	g29526
OG0001922	jg16707	g50914
OG0001922	jg4782	g29551
OG0001923	jg23417	g9776
OG0001924	jg23065	g9917
OG0001925	jg29025	g31023
OG0001926	jg18108	g39899
OG0001926	jg29023	g31021
OG0001927	jg28969	g26969
OG0001927	jg18167	g39863
OG0001929	jg18399	g39755, g51330
OG0001930	jg20779	g11067
OG0001931	jg9916	g47547, g23762
OG0001932	jg20055, jg20054, jg20053, jg31323	g32311, g32310, g32309
OG0001933	jg18449	g51363, g37066
OG0001934	jg31693	g27758
OG0001934	jg18619	g37120
OG0001935	jg31900	g32619
OG0001936	jg18654	g38001
OG0001937	jg14875	g2593
OG0001937	jg23656	g9668
OG0001938	jg25527	g7121, g12153
OG0001938	jg23026	g13231
OG0001939	jg6218	g18583
OG0001939	jg14710	g2683
OG0001940	jg9146	g23270
OG0001941	jg22834	g714
OG0001942	jg14242	g3075
OG0001942	jg6125	g41343
OG0001943	jg22994	g41329
OG0001943	jg14291	g2995
OG0001945	jg927	g41008
OG0001945	jg898	g44142
OG0001946	jg22756	g1184
OG0001946	jg4539	g28726
OG0001947	jg9882, jg22655	g17882
OG0001948	jg9879	g23732
OG0001949	jg27801	g13719
OG0001949	jg27802	g14053
OG0001950	jg13850	g10329
OG0001951	jg9805	g23695
OG0001952	jg22316	g982
OG0001952	jg9750	g23662
OG0001953	jg22291	g969
OG0001953	jg9734	g23654
OG0001954	jg25182	g7316
OG0001954	jg4520	g29651
OG0001955	jg4435, jg4456	g29671, g5592
OG0001955	jg25140	g12306, g7348
OG0001956	jg25004	g12363
OG0001956	jg4233	g29764
OG0001957	jg4094, jg8605	g45358, g5726
OG0001958	jg4061	g29838, g5743
OG0001959	jg9076	g7522, g47835
OG0001960	jg13473	g10491
OG0001961	jg30064	g31617
OG0001961	jg3715	g13599
OG0001962	jg3677	g46547
OG0001963	jg30092	g31630
OG0001964	jg30116	g27338
OG0001965	jg30640	g31957, g50161
OG0001965	jg3317	g46287
OG0001966	jg8773	g47931
OG0001967	jg30599	g31942, g27463
OG0001967	jg3290	g13625
OG0001969	jg27850	g6112
OG0001969	jg8818	g23012
OG0001970	jg8797	g22997
OG0001971	jg27906, jg8757	g6048
OG0001972	jg8741	g22963
OG0001973	jg25405	g12206
OG0001973	jg33650	g54343
OG0001974	jg25516	g7132
OG0001974	jg33533	g36619
OG0001975	jg15225	g19213, g2387
OG0001975	jg18794	g51592
OG0001977	jg11458	g24655
OG0001977	jg26685	g46973
OG0001978	jg11318	g36070, g15600, g45810, g37948, g36026
OG0001978	jg24053	g7878
OG0001979	jg11308	g6555
OG0001979	jg26546	g13451, g11771
OG0001980	jg11292	g24513
OG0001980	jg26525	g11784
OG0001981	jg25734	g7000
OG0001982	jg15578	g2169
OG0001982	jg19282	g51877
OG0001983	jg14421, jg14425	g36974
OG0001983	jg14423	g2887
OG0001984	jg13358	g27205
OG0001985	jg20529	g10981
OG0001985	jg10678	g17446
OG0001986	jg33092, jg33094	g28069
OG0001987	jg33230	g28047
OG0001987	jg26215	g11904
OG0001988	jg33319	g54217
OG0001989	jg25657	g7041
OG0001989	jg33409	g54255
OG0001990	jg27583	g16825
OG0001992	jg10824	g17511
OG0001992	jg20386	g40646
OG0001993	jg28526	g49357
OG0001994	jg7590	g23930
OG0001994	jg10233	g47448
OG0001995	jg10302	g47418
OG0001995	jg10301	g23963
OG0001997	jg7782	g40466
OG0001997	jg10439	g24023
OG0001998	jg20210	g37767
OG0001999	jg19936	g52248
OG0002000	jg19876, jg16114	g37582
OG0002001	jg16113	g18808
OG0002002	jg16063	g1939
OG0002002	jg19778	g37539
OG0002003	jg29440	g27120, g31253
OG0002003	jg15813	g2053
OG0002004	jg19442	g52000
OG0002004	jg15744	g2089
OG0002005	jg9674	g23613
OG0002007	jg19070	g38110
OG0002007	jg19073	g50972
OG0002008	jg19037, jg27542, jg19038	g37283, g37282, g38090
OG0002009	jg18988, jg19001	g51704
OG0002011	jg16532	g38546
OG0002011	jg8353	g18328
OG0002012	jg7318	g40276
OG0002013	jg24478	g12542
OG0002013	jg6603	g4799
OG0002014	jg20181	g37747
OG0002015	jg20171	g37734
OG0002015	jg16336	g18717
OG0002016	jg25801	g17760, g39393, g6237
OG0002017	jg19506	g37430
OG0002017	jg15822	g2046
OG0002018	jg1497	g43909
OG0002020	jg25802	g12049
OG0002021	jg25819	g6956
OG0002021	jg32878	g36277
OG0002022	jg25847	g12048
OG0002022	jg32900	g42129, g36285
OG0002023	jg13772	g10355
OG0002023	jg12495	g16897
OG0002024	jg12191	g16744
OG0002025	jg26453	g11827
OG0002025	jg11240	g17705
OG0002026	jg5711	g29065
OG0002027	jg8103	g39488
OG0002027	jg28466	g30740
OG0002028	jg8132, jg28491	g39467
OG0002029	jg8133	g39466
OG0002029	jg28493	g30746, g49328
OG0002030	jg28575, jg8003	g39548
OG0002031	jg28894	g30937
OG0002031	jg28890	g26959, g45340, g4568
OG0002032	jg1360	g41103
OG0002033	jg29452	g31259
OG0002033	jg980	g41026
OG0002034	jg29540	g49770
OG0002034	jg836	g27146
OG0002035	jg29607	g27168
OG0002035	jg756	g44204
OG0002036	jg591, jg29714	g31397, g49842
OG0002037	jg29763	g31424, g49863, g27208
OG0002038	jg29949	g49916, g31542, g27282
OG0002040	jg30664	g50174
OG0002041	jg30888	g32066
OG0002041	jg2685	g45875, g44687
OG0002042	jg406	g40832
OG0002043	jg14376, jg14377, jg8303, jg8296	g18367
OG0002044	jg27764	g14084
OG0002045	jg9078	g47833
OG0002045	jg17297	g38293
OG0002047	jg14915, jg14914	g11362
OG0002056	jg22795	g1223
OG0002056	jg14511	g19519, g2803
OG0002057	jg23250	g9836
OG0002058	jg5658	g29033
OG0002058	jg24248	g12617
OG0002059	jg5655	g29032
OG0002059	jg5283	g4935
OG0002060	jg5649	g4937
OG0002060	jg5633	g29027
OG0002061	jg24185	g7825, g12774
OG0002062	jg5509	g5019
OG0002062	jg24124	g29168, g12668
OG0002063	jg5469	g29193
OG0002064	jg5448	g5059
OG0002065	jg24069	g7868
OG0002065	jg5429	g29204
OG0002066	jg24061	g7873
OG0002067	jg5258, jg23925	g5190
OG0002068	jg5167	g29347
OG0002068	jg25206	g7306
OG0002069	jg31249	g45613, g32260
OG0002070	jg6473	g619
OG0002070	jg4999	g29430
OG0002072	jg4810	g29539, g5438
OG0002073	jg4768	g45515
OG0002073	jg4769	g29556, g45516
OG0002074	jg23070	g9910
OG0002075	jg7899	g39629
OG0002075	jg28653	g30820
OG0002076	jg17733	g40076
OG0002076	jg17735	g53433
OG0002077	jg17791	g40047
OG0002077	jg29164	g49604, g31098
OG0002078	jg28888	g30935
OG0002078	jg18267	g51282
OG0002079	jg28866	g30925
OG0002079	jg18297	g37923
OG0002080	jg20780	g39681
OG0002081	jg21021	g37031
OG0002082	jg29911	g31522
OG0002082	jg13079	g10694
OG0002083	jg23714	g18262
OG0002083	jg28006	g13956
OG0002084	jg14856, jg23637	g9681
OG0002085	jg23497	g9733
OG0002086	jg23127	g398
OG0002087	jg14810	g19395
OG0002087	jg6332	g553
OG0002088	jg6344, jg6343, jg6345	g18082, g18081
OG0002089	jg13967	g11551
OG0002089	jg5913	g28930
OG0002090	jg6128, jg14247	g41340, g3071
OG0002091	jg22906	g28757
OG0002092	jg9862	g23725
OG0002093	jg9847	g28590
OG0002093	jg22583	g1091
OG0002094	jg9812	g23702
OG0002096	jg22313	g979
OG0002096	jg9748	g23661
OG0002097	jg7942	g39602
OG0002097	jg28622	g49398
OG0002098	jg8916	g25483
OG0002099	jg4334	g29709, g45430, g5627
OG0002100	jg3905	g5815
OG0002101	jg24149	g12765
OG0002101	jg3883	g44736
OG0002102	jg12707	g16813
OG0002103	jg1013	g19275, g19265
OG0002103	jg30007	g49932
OG0002104	jg30063	g27312, g31616
OG0002105	jg30108	g31640
OG0002105	jg3656	g44309
OG0002106	jg30129	g31650
OG0002106	jg3613	g44328
OG0002107	jg30132	g31652
OG0002108	jg3603	g46505
OG0002108	jg30135	g27341
OG0002109	jg30776, jg30774	g50228
OG0002109	jg3473	g46403
OG0002110	jg30688	g31994
OG0002111	jg30650	g31965
OG0002111	jg3329	g46303
OG0002112	jg33725	g36724
OG0002112	jg25317	g13173
OG0002113	jg33711	g36719
OG0002113	jg25322	g7240
OG0002114	jg25340	g7228
OG0002114	jg33690	g27983
OG0002115	jg2301, jg2304	g41650
OG0002115	jg31239	g32254
OG0002116	jg11426, jg26652	g11743
OG0002117	jg11339	g24531
OG0002117	jg26579	g6539
OG0002118	jg11317	g24527
OG0002119	jg26430	g13407, g11843
OG0002120	jg9749	g17106
OG0002121	jg10803	g17502
OG0002121	jg11178	g24464
OG0002122	jg11151, jg26346	g24441
OG0002123	jg16587	g50880
OG0002124	jg30278	g31714
OG0002124	jg2910	g46015
OG0002125	jg9521	g47694
OG0002127	jg13450	g10506, g1611
OG0002128	jg20523	g40571, g10975
OG0002128	jg10686	g17449
OG0002129	jg33308	g36507
OG0002129	jg26283	g6690
OG0002130	jg25615	g12113
OG0002131	jg18584	g37101
OG0002131	jg20409	g18481
OG0002132	jg13661, jg13701	g10360
OG0002133	jg10128	g23880
OG0002134	jg8911	g14234
OG0002134	jg27603	g6154
OG0002135	jg27751	g6127
OG0002136	jg10095, jg7451	g47482, g23861
OG0002137	jg7458	g40342
OG0002138	jg9143	g23269
OG0002138	jg17141	g38326
OG0002139	jg13662, jg32041, jg32044, jg10259	g17283
OG0002141	jg10572	g11025
OG0002143	jg10461	g17392
OG0002143	jg7809	g40475
OG0002144	jg7266	g25851
OG0002144	jg32239	g50771
OG0002145	jg16345	g1745, g37748
OG0002146	jg20043	g37663
OG0002146	jg16232	g1824
OG0002147	jg16211	g1841
OG0002147	jg20016	g37647, g52297
OG0002148	jg16148	g1884
OG0002148	jg19939	g52250
OG0002149	jg16085	g18838
OG0002149	jg16084	g1927, g1926
OG0002150	jg15825	g18966
OG0002150	jg19493	g38175
OG0002151	jg15700	g19008, g2060
OG0002152	jg15716, jg15644	g19013
OG0002152	jg19391	g51975
OG0002153	jg15614	g2145
OG0002154	jg19046	g51729
OG0002155	jg18858	g51628
OG0002155	jg15268	g2359, g19201
OG0002156	jg9675	g47641, g23614
OG0002157	jg25764	g12070
OG0002157	jg11054	g47133
OG0002158	jg11528	g24698
OG0002160	jg2297	g44890
OG0002160	jg31242	g32256
OG0002161	jg31208	g50394
OG0002162	jg28052	g5992
OG0002162	jg9378	g47744
OG0002163	jg19406, jg19408	g51984
OG0002164	jg19238	g37343, g51846
OG0002165	jg18900	g38071
OG0002166	jg20335	g10896
OG0002167	jg8359	g18324
OG0002168	jg16558	g38531
OG0002168	jg8377	g18310
OG0002169	jg8381	g18309, g22686
OG0002170	jg16644	g36937
OG0002170	jg16596	g38519
OG0002171	jg7374	g40302, g42642, g25783
OG0002172	jg6726	g10159
OG0002172	jg24381	g7734
OG0002174	jg19970	g37626, g52274
OG0002176	jg6592	g4804
OG0002177	jg21508	g7618, g10219
OG0002178	jg21433	g12955
OG0002178	jg24669	g7608
OG0002179	jg24777	g7544, g12417
OG0002179	jg24776	g7545
OG0002180	jg4498	g29658
OG0002181	jg32901	g13285
OG0002181	jg25848	g12047
OG0002182	jg25935	g12020
OG0002183	jg25972	g6877
OG0002184	jg26069	g6813
OG0002185	jg13685	g10384
OG0002185	jg12550	g16885
OG0002186	jg26484, jg11257	g13427
OG0002187	jg12026	g46853
OG0002187	jg1811	g18061
OG0002189	jg18719	g51549
OG0002190	jg19262	g51867
OG0002191	jg28898	g49504
OG0002191	jg18256	g39824
OG0002193	jg1088	g38257, g28145
OG0002193	jg29425	g31248
OG0002194	jg29436	g49729
OG0002195	jg888	g53350
OG0002195	jg29503	g27131
OG0002196	jg29679	g49818, g31375
OG0002197	jg29990	g49929
OG0002198	jg30859	g50276
OG0002198	jg2726	g45900
OG0002199	jg2722	g44665
OG0002199	jg30864	g50277
OG0002200	jg2735, jg2736, jg2737	g45908
OG0002202	jg376	g40755
OG0002203	jg9485	g23465
OG0002203	jg28162	g17006, g13810
OG0002205	jg2048	g45045
OG0002206	jg3148, jg30453	g46175, g44490
OG0002207	jg16595	g36957
OG0002207	jg1122	g50884
OG0002208	jg8588, jg16761	g22832
OG0002209	jg8926, jg8973	g23145
OG0002210	jg8930	g23109
OG0002211	jg11433	g47017
OG0002211	jg26655	g6494
OG0002212	jg31263	g50409
OG0002213	jg9765	g23671, g47607
OG0002214	jg2135, jg2210, jg2183, jg2196, jg2191	g13653
OG0002214	jg12328, jg12334	g46751
OG0002216	jg9157	g47814
OG0002217	jg21087	g27897, g27729, g48049, g8581, g42172, g42135, g53130, g3154, g15034, g16155, g32934, g21110, g15604, g11221, g11218, g2749, g35567, g3174, g48273, g14677, g48331, g35787, g48332, g43717, g48130
OG0002221	jg31909, jg18644	g27782
OG0002224	jg21654	g41151
OG0002224	jg10015	g23824
OG0002225	jg5284	g29301
OG0002226	jg5193	g45628, g5240
OG0002227	jg29204	g49688, g31120, g31121
OG0002228	jg29137	g49584
OG0002229	jg18263	g39822
OG0002229	jg28895	g49503
OG0002230	jg20860	g39724
OG0002231	jg20833	g39712
OG0002232	jg20764	g11058
OG0002232	jg28692	g39672, g49428
OG0002233	jg28680, jg28702, jg19788, jg16077	g41344
OG0002233	jg7842	g45264
OG0002234	jg9955, jg21786	g1337
OG0002235	jg9948	g23785
OG0002235	jg31614	g50545
OG0002236	jg21912	g41207
OG0002238	jg27958, jg31567, jg19253	g27696
OG0002239	jg31652	g27717, g32495
OG0002240	jg31770	g50595
OG0002240	jg18692	g37140
OG0002241	jg31889	g32613
OG0002241	jg18662	g37134
OG0002242	jg23675	g9662
OG0002242	jg14894	g2586
OG0002243	jg4569	g29632
OG0002244	jg23024	g451
OG0002247	jg13992	g11520
OG0002249	jg22910	g28760
OG0002249	jg14398	g19567
OG0002250	jg22783	g1211
OG0002250	jg23958	g12732
OG0002251	jg22661	g39303
OG0002251	jg9885	g47558
OG0002252	jg9828	g17139
OG0002252	jg22546	g1078
OG0002253	jg22305, jg9743	g23659, g47614
OG0002254	jg28621	g30809
OG0002254	jg7945	g39599
OG0002255	jg27754	g14096
OG0002255	jg10363	g23978
OG0002256	jg25079	g12325
OG0002256	jg4338	g5622
OG0002257	jg25045	g7400
OG0002257	jg4289	g45426
OG0002258	jg19029	g51723
OG0002259	jg4024	g5764
OG0002260	jg18992	g45288, g51706
OG0002261	jg12706	g46659
OG0002261	jg13426	g10512
OG0002262	jg30024	g49938
OG0002263	jg3740	g44281, g46590
OG0002264	jg3689	g46557
OG0002264	jg30078	g31622
OG0002265	jg30778	g50229
OG0002266	jg3445	g46385
OG0002266	jg30755	g50222
OG0002267	jg3356	g44376
OG0002267	jg30676	g31984
OG0002268	jg3278	g27459, g46256, g31920
OG0002268	jg30582	g50139
OG0002269	jg30500	g50096
OG0002270	jg30491	g31869
OG0002270	jg3194	g46197
OG0002271	jg16060	g1940
OG0002271	jg33734, jg33737	g54315
OG0002272	jg25324	g7239
OG0002272	jg33710	g54318
OG0002273	jg33696	g54321, g36711
OG0002274	jg11342	g47045
OG0002275	jg11325	g47047
OG0002275	jg11326	g47046
OG0002276	jg2980	g46062
OG0002276	jg30320	g31741
OG0002277	jg2490	g45777
OG0002279	jg9556	g17024, g23530
OG0002280	jg12659	g16842
OG0002280	jg13518	g10468
OG0002281	jg13467	g10496
OG0002282	jg29810	g49874
OG0002282	jg13279	g10592, g1582
OG0002283	jg33116	g36414
OG0002284	jg25654	g7043
OG0002285	jg18535	g37085
OG0002287	jg10961	g17570
OG0002287	jg18705	g51540
OG0002288	jg20394	g10926
OG0002288	jg10816	g17515
OG0002289	jg10885	g24269
OG0002290	jg27436, jg24998, jg7251	g7422
OG0002291	jg14928	g19359, g2555
OG0002291	jg32608	g53842
OG0002292	jg14881	g11366
OG0002293	jg21792	g28329
OG0002294	jg20668	g40506
OG0002295	jg7223, jg29948	g40246
OG0002296	jg10941	g17561, g24313
OG0002297	jg16378	g18757
OG0002298	jg19978	g52281
OG0002298	jg16176	g11169
OG0002299	jg15721, jg15659	g18994
OG0002299	jg19430	g51994
OG0002300	jg15613	g19025
OG0002301	jg19258	g51865
OG0002301	jg15566	g2175
OG0002302	jg19168	g51779
OG0002302	jg15469	g37319
OG0002303	jg15440	g2240
OG0002303	jg19126	g37314
OG0002304	jg31019	g15801
OG0002305	jg8321	g18347
OG0002306	jg28830	g30888
OG0002306	jg7681	g40422
OG0002307	jg16576	g22694
OG0002308	jg8501	g22763
OG0002308	jg16664	g38497
OG0002309	jg32276	g35930
OG0002310	jg7399	g40316
OG0002312	jg10862	g24251
OG0002313	jg21556	g10201
OG0002314	jg13830	g1403, g1404
OG0002315	jg32912	g54074
OG0002316	jg25887	g12032
OG0002317	jg25901	g13295
OG0002318	jg25954	g6884
OG0002318	jg32958	g54097
OG0002319	jg14415, jg14409	g2900, g2901
OG0002320	jg28441	g49301
OG0002321	jg8171	g25370
OG0002322	jg8197	g25364
OG0002322	jg28450	g49305, g49307
OG0002323	jg8057	g39520
OG0002323	jg28560, jg28561	g30775
OG0002324	jg29100, jg29103	g31068, g49564
OG0002325	jg1521, jg29248	g31144
OG0002326	jg1059, jg1057	g44090
OG0002327	jg29934	g27279
OG0002328	jg3654	g46536
OG0002329	jg30117	g31644
OG0002330	jg30272	g50002
OG0002331	jg3034	g50043
OG0002331	jg30367	g27405
OG0002332	jg3109	g44514
OG0002332	jg30407	g31809
OG0002333	jg2850	g45962
OG0002333	jg30814	g27521
OG0002334	jg30956	g50304
OG0002334	jg2639	g32086
OG0002335	jg31013	g50327
OG0002336	jg705	g40927
OG0002336	jg699	g44209
OG0002337	jg1006, jg1007	g44102
OG0002338	jg18356	g10859
OG0002338	jg20283	g40709
OG0002339	jg27843, jg27842	g14044
OG0002340	jg27706	g47892
OG0002340	jg8880	g23061
OG0002341	jg9015	g23166
OG0002342	jg27575	g6158
OG0002342	jg8962	g18193
OG0002343	jg9243	g23316
OG0002344	jg16960	g38364
OG0002345	jg9298	g47763
OG0002346	jg22389	g39368
OG0002346	jg9785	g17125, g23682
OG0002352	jg9370	g47745
OG0002353	jg5572	g29137
OG0002353	jg24162	g12649
OG0002354	jg5536	g45746
OG0002354	jg24143	g7835
OG0002355	jg5533, jg5532, jg5535	g29152
OG0002356	jg5496, jg24116	g5029, g29180
OG0002357	jg5420	g29212
OG0002357	jg4156	g5704
OG0002358	jg24022, jg5382	g29241
OG0002360	jg5123, jg31250	g29376
OG0002361	jg6384	g10040
OG0002361	jg4922	g29472
OG0002362	jg23491	g9741
OG0002362	jg4813	g202
OG0002363	jg4716	g29573
OG0002364	jg6207	g496
OG0002364	jg4703	g5495
OG0002365	jg14358, jg4634	g5527, g5524
OG0002366	jg18901	g38072
OG0002367	jg17919, jg17920	g40019
OG0002368	jg28850	g30911
OG0002368	jg18315	g51300
OG0002369	jg20843	g39717
OG0002370	jg20809	g11089
OG0002370	jg28734	g30859
OG0002371	jg20772	g39675, g11063
OG0002372	jg9899, jg9901	g23740, g47555
OG0002374	jg11078	g17611
OG0002376	jg23050	g9924
OG0002377	jg14053	g41374
OG0002377	jg5974	g28905
OG0002378	jg14142	g28878
OG0002379	jg14470	g11418, g2820
OG0002380	jg9255	g23322
OG0002380	jg22602	g47784, g28603
OG0002381	jg22370	g1013
OG0002381	jg9779	g17123
OG0002382	jg22287	g964
OG0002382	jg9731	g23651
OG0002383	jg9706	g17087
OG0002384	jg17420	g4109, g30684, g9073, g25249, g30199, g1565, g9225, g48664, g4445, g5037, g8204, g52640, g42248, g14996, g33478, g17945, g15032, g43379, g9320, g33442, g33438, g4060, g42644, g42541, g3366, g3596, g42570, g38792, g20919, g38765, g3438, g52448, g14222, g52508, g48209, g43219, g35365, g48338
OG0002385	jg25090, jg15459, jg4357	g12324, g39747
OG0002386	jg24996	g13101
OG0002386	jg4215	g29780
OG0002387	jg24955	g12375
OG0002388	jg424	g40823
OG0002390	jg3430	g46375
OG0002391	jg30708	g31999
OG0002392	jg3287	g46265
OG0002392	jg30595	g31939
OG0002394	jg8726	g47952
OG0002394	jg27928	g13990
OG0002395	jg25274	g12252
OG0002396	jg25370	g13195, g12217
OG0002397	jg25402	g12209
OG0002399	jg8901	g23080
OG0002400	jg33503, jg33502	g54282, g36598
OG0002401	jg18756	g37161
OG0002401	jg15199	g19219
OG0002402	jg26880	g13523
OG0002403	jg26832	g11678, g11684
OG0002404	jg11479	g47004
OG0002404	jg26723	g13487
OG0002405	jg11390	g47035
OG0002406	jg11286, jg11288	g24507, g17719
OG0002407	jg11248, jg26473	g13423
OG0002408	jg2967	g50020
OG0002409	jg3011	g44561
OG0002409	jg30327	g31746
OG0002410	jg3084	g46134
OG0002411	jg30396	g31801, g27417
OG0002412	jg3128	g44504
OG0002413	jg14373	g18017, g41516
OG0002415	jg31143	g32184
OG0002416	jg2443	g44816
OG0002416	jg31145	g32187
OG0002417	jg31124	g32164
OG0002417	jg2503	g45780
OG0002418	jg2480	g50680
OG0002418	jg2508	g46930
OG0002419	jg28261	g13851
OG0002420	jg12754	g16790, g44966
OG0002420	jg506	g40782
OG0002421	jg29285	g31172
OG0002422	jg13559	g10444
OG0002424	jg29587, jg28308	g25025
OG0002425	jg20485	g43975
OG0002425	jg10744	g24183
OG0002426	jg20547	g10983
OG0002426	jg10665	g47299
OG0002427	jg18491	g51401
OG0002428	jg20278	g10853
OG0002429	jg10880	g47204
OG0002429	jg20302	g10869
OG0002430	jg7505	g40368
OG0002430	jg10156	g23892
OG0002431	jg8394, jg24466	g22696
OG0002432	jg10247, jg7606	g40392
OG0002433	jg14094, jg14087, jg17052, jg10209	g23913
OG0002434	jg7646	g40405
OG0002434	jg10272	g47428
OG0002435	jg7665	g25652
OG0002435	jg10290	g47424
OG0002436	jg7673	g40417
OG0002436	jg10303	g17304, g47415
OG0002437	jg10566	g24077
OG0002438	jg10482	g24039
OG0002438	jg10483	g24040
OG0002440	jg7804, jg10454	g47365
OG0002441	jg10408	g24004, g47380
OG0002442	jg10399	g23996
OG0002443	jg14276, jg14275	g18712
OG0002444	jg4121	g12664, g10279
OG0002446	jg16169	g18688
OG0002446	jg19973	g52276
OG0002447	jg19704	g38217
OG0002449	jg15808	g18973
OG0002449	jg33316	g36510
OG0002450	jg19466	g37407
OG0002453	jg15364	g2302
OG0002454	jg18852	g38055
OG0002455	jg15548, jg15263	g19203
OG0002456	jg15177	g19239, g2411
OG0002457	jg28072, jg27939	g6031
OG0002458	jg8676	g6010
OG0002459	jg8656	g47976
OG0002460	jg9385	g23418
OG0002460	jg28061	g47738
OG0002461	jg9515	g23494
OG0002461	jg28179	g13893
OG0002462	jg19326	g51922
OG0002463	jg19016, jg19015	g51717
OG0002464	jg7579	g40383, g25681
OG0002465	jg8635	g22880
OG0002467	jg7620	g40397
OG0002467	jg10252	g47436
OG0002468	jg6536	g10099
OG0002468	jg24525	g7678
OG0002470	jg19802	g37551
OG0002470	jg19801	g37550
OG0002471	jg27909	g37544, g13749
