Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000020	jg6965, jg21095, jg27354, jg2142, jg32618	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000020	jg11846	ESY13_g56796_DN1_SP0_c0.t1
OG0000020	jg27355, jg11845	ESY4_g22336_DN1_SP0_c100.t1
OG0000020	jg11780, jg21044, jg32221, jg11614, jg1479, jg1901, jg6982, jg14690, jg6883	ESY6_g46671_DN2_SP0_c83.t1
OG0000021	jg32225, jg20321, jg1978, jg701, jg3954, jg2029, jg15196, jg12414, jg15089, jg17083, jg11853, jg32267, jg1316, jg16332, jg27287, jg27179, jg32393, jg11989, jg32560, jg4400, jg26774	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000021	jg25715	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1
OG0000023	jg32597, jg21243, jg17207, jg1599, jg27300, jg1550, jg27237, jg27744, jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946, jg32109	ESY11_g53222_DN2_SP0_c100.t1
OG0000023	jg32331	ESY8_g61320_DN3_SP0_c0.t1
OG0000024	jg17071	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1
OG0000024	jg18272	ESY1_g10652_DN1_SP0_c0.t1
OG0000024	jg31712	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000024	jg31715	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000027	jg7523	ESY9_g42764_DN3_SP0_c0.t1
OG0000027	jg9025	ESY23_g71_DN1_SP0_c28.t1
OG0000027	jg10199, jg10187, jg10190	ESY9_g42607_DN2_SP0_c68.t1
OG0000028	jg22446, jg11446, jg22442, jg22443, jg22441, jg22952	ESY3_g32269_DN2_SP0_c54.t1
OG0000028	jg14606	ESY20_g13267_DN3_SP0_c0.t1
OG0000028	jg14605, jg28212	ESY7_g18156_DN1_SP0_c46.t1
OG0000029	jg1778	ESY10_g14733_DN2_SP0_c0.t1
OG0000030	jg2274	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1
OG0000030	jg31203, jg31202	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1
OG0000030	jg25536	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000030	jg25377, jg1071	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1
OG0000030	jg1537, jg14799, jg17824, jg14802, jg14804	ESY3_g29392_DN3_SP0_c0.t1
OG0000030	jg2112	ESY11_g54853_DN3_SP0_c0.t1
OG0000030	jg10900, jg11085	ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1
OG0000030	jg25272	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1
OG0000031	jg21055	ESY5_g789_DN1_SP0_c0.t1, ESY10_g14035_DN1_SP0_c44.t1
OG0000032	jg21068	ESY10_g15881_DN3_SP0_c0.t1, ESY18_g63136_DN2_SP0_c0.t1
